sequence,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhFzgBUiB5oB3kBWs?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeOEJvhF8kBzgBqmB/nB5o?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhF3gBumB5oB1pB8q?BTsB,v115@EhB8IeA8IeA8AeC8AeE8Kel/IvhF3gBzhB5oB2pB8q?BSxB,v115@EhB8IeA8IeA8AeC8AeE8Kem/IvhFChB/nB5oBTkB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Ke0/IvhFlgB3hB5oB2pBTn?BCrB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFzfBWmB/nB5oB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFflBlgBumB5oB8q?BTsB
TIJSZOL,O,O,O,O,X,X,X,X
TIJSOLZ,O,X,X,X,O,X,O,X
TIJSOZL,O,X,X,X,O,X,X,X
TIJZLSO,O,O,O,O,X,O,O,O
TIJZLOS,O,X,O,O,X,O,O,X
TIJZSLO,O,O,O,O,O,O,O,X
TIJZSOL,O,O,O,O,X,O,X,X
TIJZOLS,O,X,O,O,X,O,X,X
TIJZOSL,O,O,O,O,X,O,X,X
TIJOLSZ,O,X,O,O,O,O,O,X
TIJOLZS,O,X,O,O,X,O,O,X
TIJOSLZ,O,X,O,X,O,O,O,X
TIJOSZL,O,X,O,X,O,O,X,X
TIJOZLS,O,X,O,O,X,O,X,X
TIJOZSL,O,X,O,O,O,O,X,X
TISLJZO,O,O,O,X,O,X,O,X
TISLJOZ,O,O,X,X,O,X,O,X
TISLZJO,O,O,O,X,O,X,O,X
TISLZOJ,O,O,O,X,O,X,O,X
TISLOJZ,O,O,O,X,O,X,O,X
TISLOZJ,O,O,O,X,O,X,O,X
TISJLZO,O,O,O,X,O,X,O,X
TISJLOZ,O,O,X,X,O,X,O,X
TISJZLO,O,O,O,X,O,X,O,X
TISJZOL,O,O,O,X,X,X,X,X
TISJOLZ,O,X,X,X,O,X,O,X
TISJOZL,O,X,X,X,O,X,X,X
TISZLJO,O,O,O,X,O,X,O,X
TISZLOJ,O,O,O,X,O,X,O,X
TISZJLO,O,O,O,X,O,X,O,X
TISZJOL,O,O,O,X,O,X,X,X
TISZOLJ,O,O,O,X,O,X,X,X
TISZOJL,O,O,O,X,O,X,X,X
TISOLJZ,O,O,O,X,O,X,O,X
TISOLZJ,O,O,O,X,O,X,O,X
TISOJLZ,O,X,O,X,O,X,O,X
TISOJZL,O,X,O,X,O,X,X,X
TISOZLJ,O,O,O,X,O,X,X,X
TISOZJL,O,O,O,X,O,X,X,X
TIZLJSO,X,O,O,O,X,X,O,O
TIZLJOS,X,X,O,O,X,X,O,X
TIZLSJO,X,O,O,O,X,X,O,O
TIZLSOJ,X,O,O,O,X,X,O,O
TIZLOJS,X,X,O,O,X,X,O,O
TIZLOSJ,X,X,O,O,X,X,O,O
TIZJLSO,O,O,O,O,X,X,O,O
TIZJLOS,O,X,O,O,X,X,O,X
TIZJSLO,O,O,O,O,O,X,O,X
TIZJSOL,O,O,O,O,X,X,X,X
TIZJOLS,O,X,O,O,X,X,X,X
TIZJOSL,O,O,O,O,X,X,X,X
TIZSLJO,O,O,O,O,O,X,O,X
TIZSLOJ,O,O,O,O,O,X,O,X
TIZSJLO,O,O,O,O,O,X,O,X
TIZSJOL,O,O,O,O,X,X,X,X
TIZSOLJ,O,O,O,O,O,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X
TIZOLJS,X,X,O,X,X,X,X,O
TIZOLSJ,X,X,O,X,X,X,X,O
TIZOJLS,O,X,O,X,X,X,X,O
TIZOJSL,O,O,O,X,O,X,X,X
TIZOSLJ,O,O,O,X,O,X,X,X
TIZOSJL,O,O,O,X,O,X,X,X
TIOLJSZ,O,X,O,X,O,O,O,O
TIOLJZS,O,X,O,X,X,O,O,O
TIOLSJZ,O,X,O,X,O,O,O,O
TIOLSZJ,O,X,O,X,O,O,O,O
TIOLZJS,X,X,O,X,X,O,O,O
TIOLZSJ,X,X,O,X,X,O,O,O
TIOJLSZ,O,X,O,X,O,O,O,O
TIOJLZS,O,X,O,X,X,O,O,O
TIOJSLZ,O,X,O,X,O,O,O,X
TIOJSZL,O,X,O,X,O,O,X,X
TIOJZLS,O,X,O,X,X,O,X,O
TIOJZSL,O,X,O,X,O,O,X,X
TIOSLJZ,O,O,O,X,O,O,O,X
TIOSLZJ,O,O,O,X,O,O,O,X
TIOSJLZ,O,X,O,X,O,O,O,X
TIOSJZL,O,X,O,X,O,O,X,X
TIOSZLJ,O,O,O,X,O,X,X,X
TIOSZJL,O,O,O,X,O,O,X,X
TIOZLJS,X,X,O,X,X,X,X,O
TIOZLSJ,X,X,O,X,X,X,X,O
TIOZJLS,O,X,O,X,X,X,X,O
TIOZJSL,O,O,O,X,O,X,X,X
TIOZSLJ,O,O,O,X,O,X,X,X
TIOZSJL,O,O,O,X,O,X,X,X
TLIJSZO,O,X,O,O,O,O,O,O
TLIJSOZ,O,X,X,O,O,O,O,X
TLIJZSO,O,X,O,O,X,O,O,O
TLIJZOS,O,X,O,O,X,O,O,X
TLIJOSZ,O,X,O,O,X,O,O,X
TLIJOZS,O,X,O,O,X,O,O,X
TLISJZO,O,O,O,X,O,O,O,O
TLISJOZ,O,O,X,X,O,O,O,X
TLISZJO,O,O,O,X,O,O,O,O
TLISZOJ,O,O,O,X,O,X,O,O
TLISOJZ,O,O,O,X,O,O,O,O
TLISOZJ,O,O,O,X,O,X,O,O
TLIZJSO,X,O,O,O,X,O,O,O
TLIZJOS,X,X,O,O,X,O,O,X
TLIZSJO,X,O,O,O,X,O,O,O
TLIZSOJ,X,O,O,O,X,X,O,O
TLIZOJS,X,X,O,O,X,X,O,O
TLIZOSJ,X,X,O,O,X,X,O,O
TLIOJSZ,O,X,O,O,O,O,O,O
TLIOJZS,O,X,O,O,X,O,O,O
TLIOSJZ,O,X,O,X,O,O,O,O
TLIOSZJ,O,X,O,X,O,X,O,O
TLIOZJS,X,X,O,O,X,X,O,O
TLIOZSJ,X,X,O,O,X,X,O,O
TLJISZO,O,X,O,O,O,O,O,O
TLJISOZ,O,X,X,O,O,O,O,X
TLJIZSO,O,X,O,O,X,O,O,O
TLJIZOS,O,X,O,O,X,O,O,X
TLJIOSZ,O,X,O,O,X,O,O,X
TLJIOZS,O,X,O,O,X,O,O,X
TLJSIZO,O,X,O,O,O,O,O,O
TLJSIOZ,O,X,X,O,O,O,O,X
TLJSZIO,O,X,O,O,O,O,O,O
TLJSZOI,O,X,O,O,X,O,O,O
TLJSOIZ,O,X,X,O,O,O,O,X
TLJSOZI,O,X,X,O,X,O,O,X
TLJZISO,O,X,O,O,X,O,O,O
TLJZIOS,O,X,O,O,X,O,O,X
TLJZSIO,O,X,O,O,X,O,O,O
TLJZSOI,O,X,O,O,X,O,O,O
TLJZOIS,O,X,O,O,X,O,O,X
TLJZOSI,O,X,O,O,X,O,O,X
TLJOISZ,O,X,O,O,X,O,O,X
TLJOIZS,O,X,O,O,X,O,O,X
TLJOSIZ,O,X,O,O,X,O,O,X
TLJOSZI,O,X,O,O,X,O,O,X
TLJOZIS,O,X,O,O,X,O,O,X
TLJOZSI,O,X,O,O,X,O,O,X
TLSIJZO,O,O,O,X,O,O,O,O
TLSIJOZ,O,O,X,X,O,O,O,X
TLSIZJO,O,O,O,X,O,O,O,O
TLSIZOJ,O,O,O,X,O,X,O,O
TLSIOJZ,O,O,O,X,O,O,O,O
TLSIOZJ,O,O,O,X,O,X,O,O
TLSJIZO,O,O,O,X,O,O,O,O
TLSJIOZ,O,O,X,X,O,O,O,X
TLSJZIO,O,O,O,X,O,O,O,O
TLSJZOI,O,O,O,X,X,O,O,O
TLSJOIZ,O,O,X,X,O,O,O,X
TLSJOZI,O,O,X,X,O,O,O,X
TLSZIJO,O,O,O,X,O,O,O,O
TLSZIOJ,O,O,O,X,O,X,O,O
TLSZJIO,O,O,O,X,O,O,O,O
TLSZJOI,O,O,O,X,X,O,O,O
TLSZOIJ,O,O,O,X,O,X,O,O
TLSZOJI,O,O,O,X,O,X,O,O
TLSOIJZ,O,O,O,X,O,O,O,O
TLSOIZJ,O,O,O,X,O,X,O,O
TLSOJIZ,O,O,O,X,O,O,O,O
TLSOJZI,O,O,O,X,O,O,O,O
TLSOZIJ,O,O,O,X,O,X,O,O
TLSOZJI,O,O,O,X,O,X,O,O
TLZIJSO,X,O,O,O,X,O,O,O
TLZIJOS,X,X,O,O,X,O,O,X
TLZISJO,X,O,O,O,X,O,O,O
TLZISOJ,X,O,O,O,X,X,O,O
TLZIOJS,X,X,O,O,X,X,O,O
TLZIOSJ,X,X,O,O,X,X,O,O
TLZJISO,X,O,O,O,X,O,O,O
TLZJIOS,X,X,O,O,X,O,O,X
TLZJSIO,X,O,O,O,X,O,O,O
TLZJSOI,X,O,O,O,X,O,O,O
TLZJOIS,X,X,O,O,X,O,O,X
TLZJOSI,X,X,O,O,X,O,O,X
TLZSIJO,X,O,O,O,X,O,O,O
TLZSIOJ,X,O,O,O,X,X,O,O
TLZSJIO,X,O,O,O,X,O,O,O
TLZSJOI,X,O,O,O,X,O,O,O
TLZSOIJ,X,O,O,O,X,X,O,O
TLZSOJI,X,O,O,O,X,X,O,O
TLZOIJS,X,X,O,O,X,X,O,O
TLZOISJ,X,X,O,O,X,X,O,O
TLZOJIS,X,X,O,O,X,X,O,O
TLZOJSI,X,X,O,O,X,X,O,O
TLZOSIJ,X,X,O,O,X,X,O,O
TLZOSJI,X,X,O,O,X,X,O,O
TLOIJSZ,O,X,O,O,O,O,O,O
TLOIJZS,O,X,O,O,X,O,O,O
TLOISJZ,O,X,O,X,O,O,O,O
TLOISZJ,O,X,O,X,O,X,O,O
TLOIZJS,X,X,O,O,X,X,O,O
TLOIZSJ,X,X,O,O,X,X,O,O
TLOJISZ,O,X,O,O,O,O,O,O
TLOJIZS,O,X,O,O,X,O,O,O
TLOJSIZ,O,X,O,O,O,O,O,O
TLOJSZI,O,X,O,O,O,O,O,O
TLOJZIS,O,X,O,O,X,O,O,O
TLOJZSI,O,X,O,O,X,O,O,O
TLOSIJZ,O,X,O,X,O,O,O,O
TLOSIZJ,O,X,O,X,O,X,O,O
TLOSJIZ,O,X,O,X,O,O,O,O
TLOSJZI,O,X,O,X,O,O,O,O
TLOSZIJ,O,X,O,X,O,X,O,O
TLOSZJI,O,X,O,X,O,X,O,O
TLOZIJS,X,X,O,O,X,X,O,O
TLOZISJ,X,X,O,O,X,X,O,O
TLOZJIS,X,X,O,O,X,X,O,O
TLOZJSI,X,X,O,O,X,X,O,O
TLOZSIJ,X,X,O,O,X,X,O,O
TLOZSJI,X,X,O,O,X,X,O,O
TJILSZO,O,X,O,O,O,O,O,O
TJILSOZ,O,X,X,O,O,O,O,X
TJILZSO,O,X,O,O,X,O,O,O
TJILZOS,O,X,O,O,X,O,O,X
TJILOSZ,O,X,O,O,X,O,O,X
TJILOZS,O,X,O,O,X,O,O,X
TJISLZO,O,O,O,O,O,X,O,X
TJISLOZ,O,O,X,O,O,X,O,X
TJISZLO,O,O,O,O,O,X,O,X
TJISZOL,O,O,O,O,X,X,X,X
TJISOLZ,O,X,X,X,O,X,O,X
TJISOZL,O,X,X,X,O,X,X,X
TJIZLSO,O,O,O,O,X,O,O,O
TJIZLOS,O,X,O,O,X,O,O,X
TJIZSLO,O,O,O,O,O,O,O,X
TJIZSOL,O,O,O,O,X,O,X,X
TJIZOLS,O,X,O,O,X,O,X,X
TJIZOSL,O,O,O,O,X,O,X,X
TJIOLSZ,O,X,O,O,O,O,O,X
TJIOLZS,O,X,O,O,X,O,O,X
TJIOSLZ,O,X,O,X,O,O,O,X
TJIOSZL,O,X,O,X,O,O,X,X
TJIOZLS,O,X,O,O,X,O,X,X
TJIOZSL,O,X,O,O,O,O,X,X
TJLISZO,O,X,O,O,O,O,O,O
TJLISOZ,O,X,X,O,O,O,O,X
TJLIZSO,O,X,O,O,X,O,O,O
TJLIZOS,O,X,O,O,X,O,O,X
TJLIOSZ,O,X,O,O,X,O,O,X
TJLIOZS,O,X,O,O,X,O,O,X
TJLSIZO,O,X,O,O,O,O,O,O
TJLSIOZ,O,X,X,O,O,O,O,X
TJLSZIO,O,X,O,O,O,O,O,O
TJLSZOI,O,X,O,O,X,O,O,O
TJLSOIZ,O,X,X,O,O,O,O,X
TJLSOZI,O,X,X,O,X,O,O,X
TJLZISO,O,X,O,O,X,O,O,O
TJLZIOS,O,X,O,O,X,O,O,X
TJLZSIO,O,X,O,O,X,O,O,O
TJLZSOI,O,X,O,O,X,O,O,O
TJLZOIS,O,X,O,O,X,O,O,X
TJLZOSI,O,X,O,O,X,O,O,X
TJLOISZ,O,X,O,O,X,O,O,X
TJLOIZS,O,X,O,O,X,O,O,X
TJLOSIZ,O,X,O,O,X,O,O,X
TJLOSZI,O,X,O,O,X,O,O,X
TJLOZIS,O,X,O,O,X,O,O,X
TJLOZSI,O,X,O,O,X,O,O,X
TJSILZO,O,O,O,O,O,X,O,X
TJSILOZ,O,O,X,O,O,X,O,X
TJSIZLO,O,O,O,O,O,X,O,X
TJSIZOL,O,O,O,O,X,X,X,X
TJSIOLZ,O,X,X,X,O,X,O,X
TJSIOZL,O,X,X,X,O,X,X,X
TJSLIZO,O,O,O,O,O,X,O,X
TJSLIOZ,O,O,X,O,O,X,O,X
TJSLZIO,O,O,O,O,O,X,O,X
TJSLZOI,O,O,O,O,X,X,O,X
TJSLOIZ,O,O,X,O,O,X,O,X
TJSLOZI,O,O,X,O,O,X,O,X
TJSZILO,O,O,O,O,O,X,O,X
TJSZIOL,O,O,O,O,X,X,X,X
TJSZLIO,O,O,O,O,O,X,O,X
TJSZLOI,O,O,O,O,X,X,O,X
TJSZOIL,O,O,O,O,X,X,X,X
TJSZOLI,O,O,O,O,X,X,X,X
TJSOILZ,O,X,X,X,O,X,O,X
TJSOIZL,O,X,X,X,O,X,X,X
TJSOLIZ,O,X,X,X,O,X,O,X
TJSOLZI,O,X,X,X,O,X,O,X
TJSOZIL,O,X,X,X,O,X,X,X
TJSOZLI,O,X,X,X,O,X,X,X
TJZILSO,O,O,O,O,X,O,O,O
TJZILOS,O,X,O,O,X,O,O,X
TJZISLO,O,O,O,O,O,O,O,X
TJZISOL,O,O,O,O,X,O,X,X
TJZIOLS,O,X,O,O,X,O,X,X
TJZIOSL,O,O,O,O,X,O,X,X
TJZLISO,O,O,O,O,X,O,O,O
TJZLIOS,O,X,O,O,X,O,O,X
TJZLSIO,O,O,O,O,X,O,O,O
TJZLSOI,O,O,O,O,X,O,O,O
TJZLOIS,O,X,O,O,X,O,O,X
TJZLOSI,O,X,O,O,X,O,O,X
TJZSILO,O,O,O,O,O,O,O,X
TJZSIOL,O,O,O,O,X,O,X,X
TJZSLIO,O,O,O,O,O,O,O,X
TJZSLOI,O,O,O,O,X,O,O,X
TJZSOIL,O,O,O,O,X,O,X,X
TJZSOLI,O,O,O,O,X,O,X,X
TJZOILS,O,X,O,O,X,O,X,X
TJZOISL,O,O,O,O,X,O,X,X
TJZOLIS,O,X,O,O,X,O,X,X
TJZOLSI,O,X,O,O,X,O,X,X
TJZOSIL,O,O,O,O,X,O,X,X
TJZOSLI,O,O,O,O,X,O,X,X
TJOILSZ,O,X,O,O,O,O,O,X
TJOILZS,O,X,O,O,X,O,O,X
TJOISLZ,O,X,O,X,O,O,O,X
TJOISZL,O,X,O,X,O,O,X,X
TJOIZLS,O,X,O,O,X,O,X,X
TJOIZSL,O,X,O,O,O,O,X,X
TJOLISZ,O,X,O,O,O,O,O,X
TJOLIZS,O,X,O,O,X,O,O,X
TJOLSIZ,O,X,O,O,O,O,O,X
TJOLSZI,O,X,O,O,O,O,O,X
TJOLZIS,O,X,O,O,X,O,O,X
TJOLZSI,O,X,O,O,X,O,O,X
TJOSILZ,O,X,O,X,O,O,O,X
TJOSIZL,O,X,O,X,O,O,X,X
TJOSLIZ,O,X,O,X,O,O,O,X
TJOSLZI,O,X,O,X,O,O,O,X
TJOSZIL,O,X,O,X,O,O,X,X
TJOSZLI,O,X,O,X,O,O,X,X
TJOZILS,O,X,O,O,X,O,X,X
TJOZISL,O,X,O,O,O,O,X,X
TJOZLIS,O,X,O,O,X,O,X,X
TJOZLSI,O,X,O,O,X,O,X,X
TJOZSIL,O,X,O,O,O,O,X,X
TJOZSLI,O,X,O,O,O,O,X,X
TSILJZO,O,O,O,X,O,X,O,X
TSILJOZ,O,O,X,X,O,X,O,X
TSILZJO,O,O,O,X,O,X,O,X
TSILZOJ,O,O,O,X,O,X,O,X
TSILOJZ,O,O,O,X,O,X,O,X
TSILOZJ,O,O,O,X,O,X,O,X
TSIJLZO,O,O,O,X,O,X,O,X
TSIJLOZ,O,O,X,X,O,X,O,X
TSIJZLO,O,O,O,X,O,X,O,X
TSIJZOL,O,O,O,X,X,X,X,X
TSIJOLZ,O,X,X,X,O,X,O,X
TSIJOZL,O,X,X,X,O,X,X,X
TSIZLJO,O,O,O,X,O,X,O,X
TSIZLOJ,O,O,O,X,O,X,O,X
TSIZJLO,O,O,O,X,O,X,O,X
TSIZJOL,O,O,O,X,O,X,X,X
TSIZOLJ,O,O,O,X,O,X,X,X
TSIZOJL,O,O,O,X,O,X,X,X
TSIOLJZ,O,O,O,X,O,X,O,X
TSIOLZJ,O,O,O,X,O,X,O,X
TSIOJLZ,O,X,O,X,O,X,O,X
TSIOJZL,O,X,O,X,O,X,X,X
TSIOZLJ,O,O,O,X,O,X,X,X
TSIOZJL,O,O,O,X,O,X,X,X
TSLIJZO,O,O,O,X,O,X,O,X
TSLIJOZ,O,O,X,X,O,X,O,X
TSLIZJO,O,O,O,X,O,X,O,X
TSLIZOJ,O,O,O,X,O,X,O,X
TSLIOJZ,O,O,O,X,O,X,O,X
TSLIOZJ,O,O,O,X,O,X,O,X
TSLJIZO,O,O,O,X,O,X,O,X
TSLJIOZ,O,O,X,X,O,X,O,X
TSLJZIO,O,O,O,X,O,X,O,X
TSLJZOI,O,O,O,X,X,X,O,X
TSLJOIZ,O,O,X,X,O,X,O,X
TSLJOZI,O,O,X,X,O,X,O,X
TSLZIJO,O,O,O,X,O,X,O,X
TSLZIOJ,O,O,O,X,O,X,O,X
TSLZJIO,O,O,O,X,O,X,O,X
TSLZJOI,O,O,O,X,X,X,O,X
TSLZOIJ,O,O,O,X,O,X,O,X
TSLZOJI,O,O,O,X,O,X,O,X
TSLOIJZ,O,O,O,X,O,X,O,X
TSLOIZJ,O,O,O,X,O,X,O,X
TSLOJIZ,O,O,O,X,O,X,O,X
TSLOJZI,O,O,O,X,O,X,O,X
TSLOZIJ,O,O,O,X,O,X,O,X
TSLOZJI,O,O,O,X,O,X,O,X
TSJILZO,O,O,O,X,O,X,O,X
TSJILOZ,O,O,X,X,O,X,O,X
TSJIZLO,O,O,O,X,O,X,O,X
TSJIZOL,O,O,O,X,X,X,X,X
TSJIOLZ,O,X,X,X,O,X,O,X
TSJIOZL,O,X,X,X,O,X,X,X
TSJLIZO,O,O,O,X,O,X,O,X
TSJLIOZ,O,O,X,X,O,X,O,X
TSJLZIO,O,O,O,X,O,X,O,X
TSJLZOI,O,O,O,X,X,X,O,X
TSJLOIZ,O,O,X,X,O,X,O,X
TSJLOZI,O,O,X,X,O,X,O,X
TSJZILO,O,O,O,X,O,X,O,X
TSJZIOL,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,X,O,X,O,X
TSJZLOI,O,O,O,X,X,X,O,X
TSJZOIL,O,O,O,X,X,X,X,X
TSJZOLI,O,O,O,X,X,X,X,X
TSJOILZ,O,X,X,X,O,X,O,X
TSJOIZL,O,X,X,X,O,X,X,X
TSJOLIZ,O,X,X,X,O,X,O,X
TSJOLZI,O,X,X,X,O,X,O,X
TSJOZIL,O,X,X,X,O,X,X,X
TSJOZLI,O,X,X,X,O,X,X,X
TSZILJO,O,O,O,X,O,X,O,X
TSZILOJ,O,O,O,X,O,X,O,X
TSZIJLO,O,O,O,X,O,X,O,X
TSZIJOL,O,O,O,X,O,X,X,X
TSZIOLJ,O,O,O,X,O,X,X,X
TSZIOJL,O,O,O,X,O,X,X,X
TSZLIJO,O,O,O,X,O,X,O,X
TSZLIOJ,O,O,O,X,O,X,O,X
TSZLJIO,O,O,O,X,O,X,O,X
TSZLJOI,O,O,O,X,O,X,O,X
TSZLOIJ,O,O,O,X,O,X,O,X
TSZLOJI,O,O,O,X,O,X,O,X
TSZJILO,O,O,O,X,O,X,O,X
TSZJIOL,O,O,O,X,O,X,X,X
TSZJLIO,O,O,O,X,O,X,O,X
TSZJLOI,O,O,O,X,O,X,O,X
TSZJOIL,O,O,O,X,O,X,X,X
TSZJOLI,O,O,O,X,O,X,X,X
TSZOILJ,O,O,O,X,O,X,X,X
TSZOIJL,O,O,O,X,O,X,X,X
TSZOLIJ,O,O,O,X,O,X,X,X
TSZOLJI,O,O,O,X,O,X,X,X
TSZOJIL,O,O,O,X,O,X,X,X
TSZOJLI,O,O,O,X,O,X,X,X
TSOILJZ,O,O,O,X,O,X,O,X
TSOILZJ,O,O,O,X,O,X,O,X
TSOIJLZ,O,X,O,X,O,X,O,X
TSOIJZL,O,X,O,X,O,X,X,X
TSOIZLJ,O,O,O,X,O,X,X,X
TSOIZJL,O,O,O,X,O,X,X,X
TSOLIJZ,O,O,O,X,O,X,O,X
TSOLIZJ,O,O,O,X,O,X,O,X
TSOLJIZ,O,O,O,X,O,X,O,X
TSOLJZI,O,O,O,X,O,X,O,X
TSOLZIJ,O,O,O,X,O,X,O,X
TSOLZJI,O,O,O,X,O,X,O,X
TSOJILZ,O,X,O,X,O,X,O,X
TSOJIZL,O,X,O,X,O,X,X,X
TSOJLIZ,O,X,O,X,O,X,O,X
TSOJLZI,O,X,O,X,O,X,O,X
TSOJZIL,O,X,O,X,O,X,X,X
TSOJZLI,O,X,O,X,O,X,X,X
TSOZILJ,O,O,O,X,O,X,X,X
TSOZIJL,O,O,O,X,O,X,X,X
TSOZLIJ,O,O,O,X,O,X,X,X
TSOZLJI,O,O,O,X,O,X,X,X
TSOZJIL,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,X,O,X,X,X
TZILJSO,X,O,O,O,X,X,O,O
TZILJOS,X,X,O,O,X,X,O,X
TZILSJO,X,O,O,O,X,X,O,O
TZILSOJ,X,O,O,O,X,X,O,O
TZILOJS,X,X,O,O,X,X,O,O
TZILOSJ,X,X,O,O,X,X,O,O
TZIJLSO,O,O,O,O,X,X,O,O
TZIJLOS,O,X,O,O,X,X,O,X
TZIJSLO,O,O,O,O,O,X,O,X
TZIJSOL,O,O,O,O,X,X,X,X
TZIJOLS,O,X,O,O,X,X,X,X
TZIJOSL,O,O,O,O,X,X,X,X
TZISLJO,O,O,O,O,O,X,O,X
TZISLOJ,O,O,O,O,O,X,O,X
TZISJLO,O,O,O,O,O,X,O,X
TZISJOL,O,O,O,O,X,X,X,X
TZISOLJ,O,O,O,O,O,X,X,X
TZISOJL,O,O,O,X,O,X,X,X
TZIOLJS,X,X,O,X,X,X,X,O
TZIOLSJ,X,X,O,X,X,X,X,O
TZIOJLS,O,X,O,X,X,X,X,O
TZIOJSL,O,O,O,X,O,X,X,X
TZIOSLJ,O,O,O,X,O,X,X,X
TZIOSJL,O,O,O,X,O,X,X,X
TZLIJSO,X,O,O,O,X,X,O,O
TZLIJOS,X,X,O,O,X,X,O,X
TZLISJO,X,O,O,O,X,X,O,O
TZLISOJ,X,O,O,O,X,X,O,O
TZLIOJS,X,X,O,O,X,X,O,O
TZLIOSJ,X,X,O,O,X,X,O,O
TZLJISO,X,O,O,O,X,X,O,O
TZLJIOS,X,X,O,O,X,X,O,X
TZLJSIO,X,O,O,O,X,X,O,O
TZLJSOI,X,O,O,O,X,X,O,O
TZLJOIS,X,X,O,O,X,X,O,X
TZLJOSI,X,X,O,O,X,X,O,X
TZLSIJO,X,O,O,O,X,X,O,O
TZLSIOJ,X,O,O,O,X,X,O,O
TZLSJIO,X,O,O,O,X,X,O,O
TZLSJOI,X,O,O,O,X,X,O,O
TZLSOIJ,X,O,O,O,X,X,O,O
TZLSOJI,X,O,O,O,X,X,O,O
TZLOIJS,X,X,O,O,X,X,O,O
TZLOISJ,X,X,O,O,X,X,O,O
TZLOJIS,X,X,O,O,X,X,O,O
TZLOJSI,X,X,O,O,X,X,O,O
TZLOSIJ,X,X,O,O,X,X,O,O
TZLOSJI,X,X,O,O,X,X,O,O
TZJILSO,O,O,O,O,X,X,O,O
TZJILOS,O,X,O,O,X,X,O,X
TZJISLO,O,O,O,O,O,X,O,X
TZJISOL,O,O,O,O,X,X,X,X
TZJIOLS,O,X,O,O,X,X,X,X
TZJIOSL,O,O,O,O,X,X,X,X
TZJLISO,O,O,O,O,X,X,O,O
TZJLIOS,O,X,O,O,X,X,O,X
TZJLSIO,O,O,O,O,X,X,O,O
TZJLSOI,O,O,O,O,X,X,O,O
TZJLOIS,O,X,O,O,X,X,O,X
TZJLOSI,O,X,O,O,X,X,O,X
TZJSILO,O,O,O,O,O,X,O,X
TZJSIOL,O,O,O,O,X,X,X,X
TZJSLIO,O,O,O,O,O,X,O,X
TZJSLOI,O,O,O,O,X,X,O,X
TZJSOIL,O,O,O,O,X,X,X,X
TZJSOLI,O,O,O,O,X,X,X,X
TZJOILS,O,X,O,O,X,X,X,X
