sequence,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBTgB/?mB+pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeO/IvhFxbBCgBlhB/?qBUmBTpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeO/IvhFxbBflB0gBl?hBTpBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT6IvhFxbBXgBlhBK?pBUmBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBlgB+?pB/qBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT6IvhFxbB0gBlhB2?pBCrB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeK/IvhFWgBxbBlhB/?qBUmBTpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBGlBT?mB3pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBCcBlhB+?pB/qBUrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT7IvhF0cBZkBWlB/?mB6pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeK/IvhFRgB3hBUgBG?mBTpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlgB6pB/?qBTmBOpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBTgB/mB6?pBOpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBSlBlhB8?qBGmB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jez6IvhF+gB0cB/mB6?pBZkBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFlgBTmBxpBi?pB/pBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex/IvhFlhB0fBKpBu?qBXqBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFxkBTmBllBi?pB/pBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex/IvhFlhBXgBKpBu?qB0pBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlfB3gBK?pBTmBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlgBOpB/?qBTmB6pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFxfB/mBTgB6?pBOpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je36IvhF0gBlhB2kBT?pBxqBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0fBlhBKpBu?qBXqBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFufB1gB0cB6?qBTmB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBFcBclB3?hB+pBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhFXgBlhBKpBu?qB0pBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0gBlhB6pB/?qBOpBTrB
TIJLSZO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X
TIJLSOZ,O,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TIJLZOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOLSZ,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLJZO,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLJOZ,X,O,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TISLZOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLOJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TISZLOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZJLO,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOLJZ,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLSO,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOSJL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLSZ,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZLJS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOZSJL,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJSZO,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X
TLIJSOZ,X,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLIJZOS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X
TLISJOZ,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLISZJO,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O
TLISZOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLISOJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISOZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLIZJSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TLIZSOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLIZOJS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLIOJSZ,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLIOZJS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TLJISZO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,O,O,X
TLJISOZ,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TLJIZSO,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X
TLJIZOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLJIOSZ,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJIOZS,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,O,X
TLJSIOZ,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X
TLJSZIO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,O
TLJSZOI,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O
TLJSOIZ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TLJSOZI,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
TLJZISO,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X
TLJZIOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLJZSIO,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,X
TLJZSOI,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,X
TLJZOIS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLJZOSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
TLJOISZ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJOIZS,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLJOZIS,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLSIJZO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
TLSIJOZ,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
