sequence,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBzgBfnB0?iB6oBFrB,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBFhB0iB6?oBfrBzrB
TJLIZSO,X,X
TJLIZOS,X,X
TJLIOSZ,O,X
TJLIOZS,X,X
TJLSIZO,O,X
TJLSIOZ,O,X
TJLSZIO,O,X
TJLSZOI,O,X
TJLSOIZ,O,X
TJLSOZI,O,X
TJLZISO,X,X
TJLZIOS,X,X
TJLZSIO,X,X
TJLZSOI,X,X
TJLZOIS,X,X
TJLZOSI,X,X
TJLOISZ,O,X
TJLOIZS,X,X
TJLOSIZ,O,X
TJLOSZI,O,X
TJLOZIS,X,X
TJLOZSI,X,X
TJSILZO,O,X
TJSILOZ,O,X
TJSIZLO,O,X
TJSIZOL,O,X
TJSIOLZ,O,X
TJSIOZL,O,X
TJSLIZO,O,X
TJSLIOZ,O,X
TJSLZIO,O,X
TJSLZOI,O,X
TJSLOIZ,O,X
TJSLOZI,O,X
TJSZILO,O,X
TJSZIOL,O,X
TJSZLIO,O,X
TJSZLOI,O,X
TJSZOIL,O,X
TJSZOLI,O,X
TJSOILZ,O,X
TJSOIZL,O,X
TJSOLIZ,O,X
TJSOLZI,O,X
TJSOZIL,O,X
TJSOZLI,O,X
TJZILSO,X,X
TJZILOS,X,X
TJZISLO,X,X
TJZISOL,X,X
TJZIOLS,X,X
TJZIOSL,X,X
TJZLISO,X,X
TJZLIOS,X,X
TJZLSIO,X,X
TJZLSOI,X,X
TJZLOIS,X,X
TJZLOSI,X,X
TJZSILO,X,X
TJZSIOL,X,X
TJZSLIO,X,X
TJZSLOI,X,X
TJZSOIL,X,X
TJZSOLI,X,X
TJZOILS,X,X
TJZOISL,X,X
TJZOLIS,X,X
TJZOLSI,X,X
TJZOSIL,X,X
TJZOSLI,X,X
TJOILSZ,O,X
TJOILZS,X,X
TJOISLZ,O,X
TJOISZL,O,X
TJOIZLS,X,X
TJOIZSL,X,X
TJOLISZ,O,X
TJOLIZS,X,X
TJOLSIZ,O,X
TJOLSZI,O,X
TJOLZIS,X,X
TJOLZSI,X,X
TJOSILZ,O,X
TJOSIZL,O,X
TJOSLIZ,O,X
TJOSLZI,O,X
TJOSZIL,O,X
TJOSZLI,O,X
TJOZILS,X,X
TJOZISL,X,X
TJOZLIS,X,X
TJOZLSI,X,X
TJOZSIL,X,X
TJOZSLI,X,X
TSILJZO,O,X
TSILJOZ,O,X
TSILZJO,O,X
TSILZOJ,O,X
TSILOJZ,O,X
TSILOZJ,O,X
TSIJLZO,O,X
TSIJLOZ,O,X
TSIJZLO,O,X
TSIJZOL,O,X
TSIJOLZ,O,X
TSIJOZL,O,X
TSIZLJO,O,X
TSIZLOJ,O,X
TSIZJLO,O,X
TSIZJOL,O,X
TSIZOLJ,O,X
TSIZOJL,O,X
TSIOLJZ,O,X
TSIOLZJ,O,X
TSIOJLZ,O,X
TSIOJZL,O,X
TSIOZLJ,O,X
TSIOZJL,O,X
TSLIJZO,O,X
TSLIJOZ,O,X
TSLIZJO,O,X
TSLIZOJ,O,X
TSLIOJZ,O,X
TSLIOZJ,O,X
TSLJIZO,O,X
TSLJIOZ,O,X
TSLJZIO,O,X
TSLJZOI,O,X
TSLJOIZ,O,X
TSLJOZI,O,X
TSLZIJO,O,X
TSLZIOJ,O,X
TSLZJIO,O,X
TSLZJOI,O,X
TSLZOIJ,O,X
TSLZOJI,O,X
TSLOIJZ,O,X
TSLOIZJ,O,X
TSLOJIZ,O,X
TSLOJZI,O,X
TSLOZIJ,O,X
TSLOZJI,O,X
TSJILZO,O,X
TSJILOZ,O,X
TSJIZLO,O,X
TSJIZOL,O,X
TSJIOLZ,O,X
TSJIOZL,O,X
TSJLIZO,O,X
TSJLIOZ,O,X
TSJLZIO,O,X
TSJLZOI,O,X
TSJLOIZ,O,X
TSJLOZI,O,X
TSJZILO,O,X
TSJZIOL,O,X
TSJZLIO,O,X
TSJZLOI,O,X
TSJZOIL,O,X
TSJZOLI,O,X
TSJOILZ,O,X
TSJOIZL,O,X
TSJOLIZ,O,X
TSJOLZI,O,X
TSJOZIL,O,X
TSJOZLI,O,X
TSZILJO,O,X
TSZILOJ,O,X
TSZIJLO,O,X
TSZIJOL,O,X
TSZIOLJ,O,X
TSZIOJL,O,X
TSZLIJO,O,X
TSZLIOJ,O,X
TSZLJIO,O,X
TSZLJOI,O,X
TSZLOIJ,O,X
TSZLOJI,O,X
TSZJILO,O,X
TSZJIOL,O,X
TSZJLIO,O,X
TSZJLOI,O,X
TSZJOIL,O,X
TSZJOLI,O,X
TSZOILJ,O,X
TSZOIJL,O,X
TSZOLIJ,O,X
TSZOLJI,O,X
TSZOJIL,O,X
TSZOJLI,O,X
TSOILJZ,O,X
TSOILZJ,O,X
TSOIJLZ,O,X
TSOIJZL,O,X
TSOIZLJ,O,X
TSOIZJL,O,X
TSOLIJZ,O,X
TSOLIZJ,O,X
TSOLJIZ,O,X
TSOLJZI,O,X
TSOLZIJ,O,X
TSOLZJI,O,X
TSOJILZ,O,X
TSOJIZL,O,X
TSOJLIZ,O,X
TSOJLZI,O,X
TSOJZIL,O,X
TSOJZLI,O,X
TSOZILJ,O,X
TSOZIJL,O,X
TSOZLIJ,O,X
TSOZLJI,O,X
TSOZJIL,O,X
TSOZJLI,O,X
TZILJSO,X,X
TZILJOS,X,X
TZILSJO,X,X
TZILSOJ,X,X
TZILOJS,X,X
TZILOSJ,X,X
TZIJLSO,X,X
TZIJLOS,X,X
TZIJSLO,X,X
TZIJSOL,X,X
TZIJOLS,X,X
TZIJOSL,X,X
TZISLJO,X,X
TZISLOJ,X,X
TZISJLO,X,X
TZISJOL,X,X
TZISOLJ,X,X
TZISOJL,X,X
TZIOLJS,X,X
TZIOLSJ,X,X
TZIOJLS,X,X
TZIOJSL,X,X
TZIOSLJ,X,X
TZIOSJL,X,X
TZLIJSO,X,X
TZLIJOS,X,X
TZLISJO,X,X
TZLISOJ,X,X
TZLIOJS,X,X
TZLIOSJ,X,X
TZLJISO,X,X
TZLJIOS,X,X
TZLJSIO,X,X
TZLJSOI,X,X
TZLJOIS,X,X
TZLJOSI,X,X
TZLSIJO,X,X
TZLSIOJ,X,X
TZLSJIO,X,X
TZLSJOI,X,X
TZLSOIJ,X,X
TZLSOJI,X,X
TZLOIJS,X,X
TZLOISJ,X,X
TZLOJIS,X,X
TZLOJSI,X,X
TZLOSIJ,X,X
TZLOSJI,X,X
TZJILSO,X,X
TZJILOS,X,X
TZJISLO,X,X
TZJISOL,X,X
TZJIOLS,X,X
TZJIOSL,X,X
TZJLISO,X,X
TZJLIOS,X,X
TZJLSIO,X,X
TZJLSOI,X,X
TZJLOIS,X,X
TZJLOSI,X,X
TZJSILO,X,X
TZJSIOL,X,X
TZJSLIO,X,X
TZJSLOI,X,X
TZJSOIL,X,X
TZJSOLI,X,X
TZJOILS,X,X
TZJOISL,X,X
TZJOLIS,X,X
TZJOLSI,X,X
TZJOSIL,X,X
TZJOSLI,X,X
TZSILJO,X,X
TZSILOJ,X,X
TZSIJLO,X,X
TZSIJOL,X,X
TZSIOLJ,X,X
TZSIOJL,X,X
TZSLIJO,X,X
TZSLIOJ,X,X
TZSLJIO,X,X
TZSLJOI,X,X
TZSLOIJ,X,X
TZSLOJI,X,X
TZSJILO,X,X
TZSJIOL,X,X
TZSJLIO,X,X
TZSJLOI,X,X
TZSJOIL,X,X
TZSJOLI,X,X
TZSOILJ,X,X
TZSOIJL,X,X
TZSOLIJ,X,X
TZSOLJI,X,X
TZSOJIL,X,X
TZSOJLI,X,X
TZOILJS,X,X
TZOILSJ,X,X
TZOIJLS,X,X
TZOIJSL,X,X
TZOISLJ,X,X
TZOISJL,X,X
TZOLIJS,X,X
TZOLISJ,X,X
TZOLJIS,X,X
TZOLJSI,X,X
TZOLSIJ,X,X
TZOLSJI,X,X
TZOJILS,X,X
TZOJISL,X,X
TZOJLIS,X,X
TZOJLSI,X,X
TZOJSIL,X,X
TZOJSLI,X,X
TZOSILJ,X,X
TZOSIJL,X,X
TZOSLIJ,X,X
TZOSLJI,X,X
TZOSJIL,X,X
TZOSJLI,X,X
TOILJSZ,O,X
TOILJZS,X,X
TOILSJZ,O,X
TOILSZJ,O,X
TOILZJS,X,X
TOILZSJ,X,X
TOIJLSZ,O,X
TOIJLZS,X,X
TOIJSLZ,O,X
TOIJSZL,O,X
TOIJZLS,X,X
TOIJZSL,X,X
TOISLJZ,O,X
TOISLZJ,O,X
TOISJLZ,O,X
TOISJZL,O,X
TOISZLJ,O,X
TOISZJL,O,X
TOIZLJS,X,X
TOIZLSJ,X,X
TOIZJLS,X,X
TOIZJSL,X,X
TOIZSLJ,X,X
TOIZSJL,X,X
TOLIJSZ,O,X
TOLIJZS,X,X
TOLISJZ,O,X
TOLISZJ,O,X
TOLIZJS,X,X
TOLIZSJ,X,X
TOLJISZ,O,X
TOLJIZS,X,X
TOLJSIZ,O,X
TOLJSZI,O,X
TOLJZIS,X,X
TOLJZSI,X,X
TOLSIJZ,O,X
TOLSIZJ,O,X
TOLSJIZ,O,X
TOLSJZI,O,X
TOLSZIJ,O,X
TOLSZJI,O,X
TOLZIJS,X,X
TOLZISJ,X,X
TOLZJIS,X,X
TOLZJSI,X,X
TOLZSIJ,X,X
TOLZSJI,X,X
TOJILSZ,O,X
TOJILZS,X,X
TOJISLZ,O,X
TOJISZL,O,X
TOJIZLS,X,X
TOJIZSL,X,X
TOJLISZ,O,X
TOJLIZS,X,X
TOJLSIZ,O,X
TOJLSZI,O,X
TOJLZIS,X,X
TOJLZSI,X,X
TOJSILZ,O,X
TOJSIZL,O,X
TOJSLIZ,O,X
TOJSLZI,O,X
TOJSZIL,O,X
TOJSZLI,O,X
TOJZILS,X,X
TOJZISL,X,X
TOJZLIS,X,X
TOJZLSI,X,X
TOJZSIL,X,X
TOJZSLI,X,X
TOSILJZ,O,X
TOSILZJ,O,X
TOSIJLZ,O,X
TOSIJZL,O,X
TOSIZLJ,O,X
TOSIZJL,O,X
TOSLIJZ,O,X
TOSLIZJ,O,X
TOSLJIZ,O,X
TOSLJZI,O,X
TOSLZIJ,O,X
TOSLZJI,O,X
TOSJILZ,O,X
TOSJIZL,O,X
TOSJLIZ,O,X
TOSJLZI,O,X
TOSJZIL,O,X
TOSJZLI,O,X
TOSZILJ,O,X
TOSZIJL,O,X
TOSZLIJ,O,X
TOSZLJI,O,X
TOSZJIL,O,X
TOSZJLI,O,X
TOZILJS,X,X
TOZILSJ,X,X
TOZIJLS,X,X
TOZIJSL,X,X
TOZISLJ,X,X
TOZISJL,X,X
TOZLIJS,X,X
TOZLISJ,X,X
TOZLJIS,X,X
TOZLJSI,X,X
TOZLSIJ,X,X
TOZLSJI,X,X
TOZJILS,X,X
TOZJISL,X,X
TOZJLIS,X,X
TOZJLSI,X,X
TOZJSIL,X,X
TOZJSLI,X,X
TOZSILJ,X,X
TOZSIJL,X,X
TOZSLIJ,X,X
TOZSLJI,X,X
TOZSJIL,X,X
TOZSJLI,X,X
ITLJSZO,O,X
ITLJSOZ,O,X
ITLJZSO,X,X
ITLJZOS,X,X
ITLJOSZ,O,X
ITLJOZS,X,X
ITLSJZO,O,X
ITLSJOZ,O,X
ITLSZJO,O,X
ITLSZOJ,O,X
ITLSOJZ,O,X
ITLSOZJ,O,X
ITLZJSO,X,X
ITLZJOS,X,X
ITLZSJO,X,X
ITLZSOJ,X,X
ITLZOJS,X,X
ITLZOSJ,X,X
ITLOJSZ,O,X
ITLOJZS,X,X
ITLOSJZ,O,X
ITLOSZJ,O,X
ITLOZJS,X,X
ITLOZSJ,X,X
ITJLSZO,O,X
ITJLSOZ,O,X
ITJLZSO,X,X
ITJLZOS,X,X
ITJLOSZ,O,X
ITJLOZS,X,X
ITJSLZO,O,X
ITJSLOZ,O,X
ITJSZLO,O,X
ITJSZOL,O,X
ITJSOLZ,O,X
ITJSOZL,O,X
ITJZLSO,X,X
ITJZLOS,X,X
ITJZSLO,X,X
ITJZSOL,X,X
ITJZOLS,X,X
ITJZOSL,X,X
ITJOLSZ,O,X
ITJOLZS,X,X
ITJOSLZ,O,X
ITJOSZL,O,X
ITJOZLS,X,X
ITJOZSL,X,X
ITSLJZO,O,X
ITSLJOZ,O,X
ITSLZJO,O,X
ITSLZOJ,O,X
ITSLOJZ,O,X
ITSLOZJ,O,X
ITSJLZO,O,X
ITSJLOZ,O,X
ITSJZLO,O,X
ITSJZOL,O,X
ITSJOLZ,O,X
ITSJOZL,O,X
ITSZLJO,O,X
ITSZLOJ,O,X
ITSZJLO,O,X
ITSZJOL,O,X
ITSZOLJ,O,X
ITSZOJL,O,X
ITSOLJZ,O,X
ITSOLZJ,O,X
ITSOJLZ,O,X
ITSOJZL,O,X
ITSOZLJ,O,X
ITSOZJL,O,X
ITZLJSO,X,X
ITZLJOS,X,X
ITZLSJO,X,X
ITZLSOJ,X,X
ITZLOJS,X,X
ITZLOSJ,X,X
ITZJLSO,X,X
ITZJLOS,X,X
ITZJSLO,X,X
ITZJSOL,X,X
ITZJOLS,X,X
ITZJOSL,X,X
ITZSLJO,X,X
ITZSLOJ,X,X
ITZSJLO,X,X
ITZSJOL,X,X
ITZSOLJ,X,X
ITZSOJL,X,X
ITZOLJS,X,X
ITZOLSJ,X,X
ITZOJLS,X,X
ITZOJSL,X,X
ITZOSLJ,X,X
ITZOSJL,X,X
ITOLJSZ,O,X
ITOLJZS,X,X
ITOLSJZ,O,X
ITOLSZJ,O,X
ITOLZJS,X,X
ITOLZSJ,X,X
ITOJLSZ,O,X
ITOJLZS,X,X
ITOJSLZ,O,X
ITOJSZL,O,X
ITOJZLS,X,X
ITOJZSL,X,X
ITOSLJZ,O,X
ITOSLZJ,O,X
ITOSJLZ,O,X
ITOSJZL,O,X
ITOSZLJ,O,X
ITOSZJL,O,X
ITOZLJS,X,X
ITOZLSJ,X,X
ITOZJLS,X,X
ITOZJSL,X,X
ITOZSLJ,X,X
ITOZSJL,X,X
ILTJSZO,O,X
ILTJSOZ,O,X
ILTJZSO,X,X
ILTJZOS,X,X
ILTJOSZ,O,X
ILTJOZS,X,X
ILTSJZO,O,X
ILTSJOZ,O,X
ILTSZJO,O,X
ILTSZOJ,O,X
ILTSOJZ,O,X
ILTSOZJ,O,X
ILTZJSO,X,X
ILTZJOS,X,X
ILTZSJO,X,X
ILTZSOJ,X,X
ILTZOJS,X,X
ILTZOSJ,X,X
ILTOJSZ,O,X
ILTOJZS,X,X
ILTOSJZ,O,X
ILTOSZJ,O,X
ILTOZJS,X,X
ILTOZSJ,X,X
ILJTSZO,O,X
ILJTSOZ,O,X
ILJTZSO,X,X
ILJTZOS,X,X
ILJTOSZ,O,X
ILJTOZS,X,X
ILJSTZO,O,O
ILJSTOZ,O,X
ILJSZTO,O,O
ILJSZOT,X,X
ILJSOTZ,X,O
ILJSOZT,X,O
ILJZTSO,X,X
ILJZTOS,X,X
ILJZSTO,O,O
ILJZSOT,X,X
ILJZOTS,X,X
ILJZOST,X,O
ILJOTSZ,X,X
ILJOTZS,X,X
ILJOSTZ,X,O
ILJOSZT,X,O
ILJOZTS,X,X
ILJOZST,X,O
ILSTJZO,O,O
ILSTJOZ,O,X
ILSTZJO,O,O
ILSTZOJ,O,X
ILSTOJZ,O,X
ILSTOZJ,O,X
ILSJTZO,O,O
ILSJTOZ,O,X
ILSJZTO,O,O
ILSJZOT,X,X
ILSJOTZ,X,O
ILSJOZT,X,O
ILSZTJO,O,O
ILSZTOJ,O,X
ILSZJTO,O,O
ILSZJOT,X,X
ILSZOTJ,X,X
ILSZOJT,X,X
ILSOTJZ,X,O
