sequence,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF6iBTeBclBm?hBXmBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF8hBGeBamB3?iBTlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je07IvhFxdBzhBCjBX?hB2qBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je38IvhF5iBTeBclBy?mBllBmrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhFTeBclBXmBO?sB6sBlrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JeVBJvhFaiB5iBTeB0?gB2qBfsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JefCJvhFxdBUhBCjBT?lBmlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je3AJvhFcmBxiBmhBC?jBTlBFsB
TLJZOSI,O,O,O,X,X,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X,X
TLJOZIS,O,O,O,X,X,X,X,X
TLJOZSI,O,O,O,X,X,X,O,X
TLSIJZO,O,O,X,X,X,X,O,X
TLSIJOZ,O,X,O,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,X,X,O,X
TLSIOJZ,O,X,O,X,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,O,X
TLSJIZO,O,O,X,X,X,X,O,X
TLSJIOZ,O,X,O,X,X,X,X,X
TLSJZIO,O,O,X,X,X,X,O,X
TLSJZOI,O,O,O,X,X,X,O,X
TLSJOIZ,O,O,O,X,X,X,X,X
TLSJOZI,O,O,O,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X,O,X
TLSZIOJ,O,O,X,X,X,X,O,X
TLSZJIO,O,O,X,X,X,X,O,X
TLSZJOI,O,O,X,X,X,X,O,X
TLSZOIJ,O,O,O,X,X,X,O,X
TLSZOJI,O,O,O,X,X,X,O,X
TLSOIJZ,O,O,O,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,O,X
TLSOJIZ,O,O,O,X,X,X,X,X
TLSOJZI,O,O,O,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,O,X
TLSOZJI,O,O,O,X,X,X,O,X
TLZIJSO,O,O,X,X,X,X,X,X
TLZIJOS,O,O,O,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,O,O
TLZISOJ,O,X,X,X,X,X,O,O
TLZIOJS,O,O,O,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,X,X,X
TLZJISO,O,O,X,X,X,X,X,X
TLZJIOS,O,O,O,X,X,X,X,X
TLZJSIO,O,O,X,X,X,X,O,X
TLZJSOI,O,O,O,X,X,X,O,X
TLZJOIS,O,O,O,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,O,O
TLZSIOJ,O,O,X,X,X,X,O,O
TLZSJIO,O,O,X,X,X,X,O,X
TLZSJOI,O,O,X,X,X,X,O,X
TLZSOIJ,O,O,O,X,X,X,O,X
TLZSOJI,O,O,O,X,X,X,O,X
TLZOIJS,O,O,O,X,X,X,X,X
TLZOISJ,O,O,O,X,X,X,O,X
TLZOJIS,O,O,O,X,X,X,X,X
TLZOJSI,O,O,O,X,X,X,O,X
TLZOSIJ,O,O,O,X,X,X,O,X
TLZOSJI,O,O,O,X,X,X,O,X
TLOIJSZ,X,O,O,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X
TLOISJZ,O,O,O,X,X,X,X,X
TLOISZJ,O,O,O,X,X,X,O,X
TLOIZJS,O,O,O,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,O,X
TLOJISZ,X,O,O,X,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,X,X,X
TLOJSZI,O,O,O,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,O,X
TLOSIJZ,O,O,O,X,X,X,X,X
TLOSIZJ,O,O,O,X,X,X,O,X
TLOSJIZ,O,O,O,X,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,O,X
TLOSZJI,O,O,O,X,X,X,O,X
TLOZIJS,O,O,O,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,O,X
TLOZJIS,O,O,O,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,O,X
TLOZSIJ,O,O,O,X,X,X,O,X
TLOZSJI,O,O,O,X,X,X,O,X
TJILSZO,X,O,X,O,X,X,X,X
TJILSOZ,X,X,O,O,X,X,X,X
TJILZSO,O,O,X,O,X,X,X,X
TJILZOS,O,O,O,O,X,X,X,X
TJILOSZ,X,X,O,O,X,X,X,X
TJILOZS,O,X,O,O,X,X,X,X
TJISLZO,X,O,X,X,X,O,X,X
TJISLOZ,X,X,X,X,X,O,X,X
TJISZLO,X,O,X,X,X,O,X,X
TJISZOL,X,O,X,X,X,O,X,X
TJISOLZ,X,O,X,X,X,O,X,X
TJISOZL,X,O,X,X,X,O,X,X
TJIZLSO,O,O,X,O,X,X,X,X
TJIZLOS,O,O,O,O,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,O
TJIZSOL,O,O,X,X,X,X,X,O
TJIZOLS,O,O,O,O,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X
TJIOLSZ,X,O,O,O,X,X,X,X
TJIOLZS,O,O,O,O,X,X,X,X
TJIOSLZ,X,O,X,X,X,O,X,X
TJIOSZL,X,O,X,X,X,O,X,X
TJIOZLS,O,O,O,O,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X
TJLISZO,X,O,X,O,X,X,O,X
TJLISOZ,X,X,O,O,X,X,X,X
TJLIZSO,O,O,X,O,X,X,X,X
TJLIZOS,O,O,O,O,X,X,X,X
TJLIOSZ,X,X,O,O,X,X,X,X
TJLIOZS,O,X,O,O,X,X,X,X
TJLSIZO,O,O,X,O,X,X,O,X
TJLSIOZ,O,X,O,O,X,X,X,X
TJLSZIO,O,O,X,O,X,X,O,X
TJLSZOI,O,O,O,O,X,X,O,X
TJLSOIZ,O,O,O,O,X,X,X,X
TJLSOZI,O,O,O,O,X,X,X,X
TJLZISO,O,O,X,O,X,X,X,X
TJLZIOS,O,O,O,O,X,X,X,X
TJLZSIO,O,O,X,O,X,X,O,X
TJLZSOI,O,O,O,O,X,X,O,X
TJLZOIS,O,O,O,O,X,X,X,X
TJLZOSI,O,O,O,O,X,X,X,X
TJLOISZ,X,O,O,O,X,X,X,X
TJLOIZS,O,O,O,O,X,X,X,X
TJLOSIZ,O,O,O,O,X,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X
TJLOZIS,O,O,O,O,X,X,X,X
TJLOZSI,O,O,O,O,X,X,O,X
TJSILZO,O,O,X,X,X,O,X,X
TJSILOZ,O,X,X,X,X,O,X,X
TJSIZLO,O,O,X,X,X,O,X,X
TJSIZOL,O,O,X,X,X,O,X,X
TJSIOLZ,O,O,X,X,X,O,X,X
TJSIOZL,O,O,X,X,X,O,X,X
TJSLIZO,O,O,X,X,X,O,O,X
TJSLIOZ,O,X,O,X,X,O,X,X
TJSLZIO,O,O,X,X,X,O,O,X
TJSLZOI,O,O,O,X,X,O,O,X
TJSLOIZ,O,O,O,X,X,O,X,X
TJSLOZI,O,O,O,X,X,O,X,X
TJSZILO,O,O,X,X,O,O,X,X
TJSZIOL,O,O,X,X,O,O,X,X
TJSZLIO,O,O,X,X,O,O,O,X
TJSZLOI,O,O,O,X,O,O,O,X
TJSZOIL,O,O,X,X,O,O,X,X
TJSZOLI,O,O,O,X,O,O,X,X
TJSOILZ,O,O,X,X,X,O,X,X
TJSOIZL,O,O,X,X,X,O,X,X
TJSOLIZ,O,O,O,X,X,O,X,X
TJSOLZI,O,O,O,X,X,O,X,X
TJSOZIL,O,O,X,X,O,O,X,X
TJSOZLI,O,O,O,X,O,O,X,X
TJZILSO,O,O,X,O,X,X,X,X
TJZILOS,O,O,O,O,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,O
TJZISOL,O,O,X,X,X,X,X,O
TJZIOLS,O,O,O,O,X,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X
TJZLISO,O,O,X,O,X,X,X,X
TJZLIOS,O,O,O,O,X,X,X,X
TJZLSIO,O,O,X,O,X,X,O,X
TJZLSOI,O,O,O,O,X,X,O,X
TJZLOIS,O,O,O,O,X,X,X,X
TJZLOSI,O,O,O,O,X,X,X,X
TJZSILO,O,O,X,X,O,X,X,O
TJZSIOL,O,O,X,X,O,X,X,O
TJZSLIO,O,O,X,X,O,X,O,X
TJZSLOI,O,O,O,X,O,X,O,X
TJZSOIL,O,O,X,X,O,X,X,X
TJZSOLI,O,O,O,X,O,X,X,X
TJZOILS,O,O,O,O,X,X,X,X
TJZOISL,O,O,X,X,X,X,X,X
TJZOLIS,O,O,O,O,X,X,X,X
TJZOLSI,O,O,O,O,X,X,X,X
TJZOSIL,O,O,X,X,O,X,X,X
TJZOSLI,O,O,O,X,O,X,X,X
TJOILSZ,X,O,O,O,X,X,X,X
TJOILZS,O,O,O,O,X,X,X,X
TJOISLZ,X,O,X,X,X,O,X,X
TJOISZL,X,O,X,X,X,O,X,X
TJOIZLS,O,O,O,O,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X
TJOLISZ,X,O,O,O,X,X,X,X
TJOLIZS,O,O,O,O,X,X,X,X
TJOLSIZ,O,O,O,O,X,X,X,X
TJOLSZI,O,O,O,O,X,X,X,X
TJOLZIS,O,O,O,O,X,X,X,X
TJOLZSI,O,O,O,O,X,X,O,X
TJOSILZ,O,O,X,X,X,O,X,X
TJOSIZL,O,O,X,X,X,O,X,X
TJOSLIZ,O,O,O,X,X,O,X,X
TJOSLZI,O,O,O,X,X,O,X,X
TJOSZIL,O,O,X,X,O,O,X,X
TJOSZLI,O,O,O,X,O,O,X,X
TJOZILS,O,O,O,O,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X
TJOZLIS,O,O,O,O,X,X,X,X
TJOZLSI,O,O,O,O,X,X,O,X
TJOZSIL,O,O,X,X,O,X,X,X
TJOZSLI,O,O,O,X,O,X,O,X
TSILJZO,O,O,X,X,X,O,O,X
TSILJOZ,O,X,X,X,X,O,X,X
TSILZJO,O,O,X,X,X,X,O,X
TSILZOJ,O,O,X,X,X,O,O,X
TSILOJZ,O,X,X,X,X,O,X,X
TSILOZJ,O,X,X,X,X,O,O,X
TSIJLZO,O,O,X,X,X,O,X,X
TSIJLOZ,O,X,X,X,X,O,X,X
TSIJZLO,O,O,X,X,X,O,X,X
TSIJZOL,O,O,X,X,X,O,X,X
TSIJOLZ,O,O,X,X,X,O,X,X
TSIJOZL,O,O,X,X,X,O,X,X
TSIZLJO,O,O,X,X,X,X,O,O
TSIZLOJ,O,O,X,X,X,O,O,O
TSIZJLO,O,O,X,X,X,X,X,O
TSIZJOL,O,O,X,X,X,X,X,O
TSIZOLJ,O,O,X,X,X,O,X,O
TSIZOJL,O,O,X,X,X,X,X,O
TSIOLJZ,O,O,X,X,X,O,X,X
TSIOLZJ,O,O,X,X,X,O,X,X
TSIOJLZ,O,O,X,X,X,O,X,X
TSIOJZL,O,O,X,X,X,O,X,X
TSIOZLJ,O,O,X,X,X,O,X,X
TSIOZJL,O,O,X,X,X,X,X,X
TSLIJZO,O,O,X,X,X,O,O,X
TSLIJOZ,O,X,O,X,X,O,X,X
TSLIZJO,O,O,X,X,X,X,O,X
TSLIZOJ,O,O,X,X,X,O,O,X
TSLIOJZ,O,X,O,X,X,O,X,X
TSLIOZJ,O,X,O,X,X,O,O,X
TSLJIZO,O,O,X,X,X,O,O,X
TSLJIOZ,O,X,O,X,X,O,X,X
TSLJZIO,O,O,X,X,X,O,O,X
TSLJZOI,O,O,O,X,X,O,O,X
TSLJOIZ,O,O,O,X,X,O,X,X
TSLJOZI,O,O,O,X,X,O,X,X
TSLZIJO,O,O,X,X,X,X,O,X
TSLZIOJ,O,O,X,X,X,O,O,X
TSLZJIO,O,O,X,X,X,X,O,X
TSLZJOI,O,O,X,X,X,X,O,X
TSLZOIJ,O,O,O,X,X,O,O,X
TSLZOJI,O,O,O,X,X,X,O,X
TSLOIJZ,O,O,O,X,X,O,X,X
TSLOIZJ,O,O,O,X,X,O,O,X
TSLOJIZ,O,O,O,X,X,O,X,X
TSLOJZI,O,O,O,X,X,O,X,X
TSLOZIJ,O,O,O,X,X,O,O,X
TSLOZJI,O,O,O,X,X,X,O,X
TSJILZO,O,O,X,X,X,O,X,X
TSJILOZ,O,X,X,X,X,O,X,X
TSJIZLO,O,O,X,X,X,O,X,X
TSJIZOL,O,O,X,X,X,O,X,X
TSJIOLZ,O,O,X,X,X,O,X,X
TSJIOZL,O,O,X,X,X,O,X,X
TSJLIZO,O,O,X,X,X,O,O,X
TSJLIOZ,O,X,O,X,X,O,X,X
TSJLZIO,O,O,X,X,X,O,O,X
TSJLZOI,O,O,O,X,X,O,O,X
TSJLOIZ,O,O,O,X,X,O,X,X
TSJLOZI,O,O,O,X,X,O,X,X
TSJZILO,O,O,X,X,O,O,X,X
TSJZIOL,O,O,X,X,O,O,X,X
TSJZLIO,O,O,X,X,O,O,O,X
TSJZLOI,O,O,O,X,O,O,O,X
TSJZOIL,O,O,X,X,O,O,X,X
TSJZOLI,O,O,O,X,O,O,X,X
TSJOILZ,O,O,X,X,X,O,X,X
TSJOIZL,O,O,X,X,X,O,X,X
TSJOLIZ,O,O,O,X,X,O,X,X
TSJOLZI,O,O,O,X,X,O,X,X
TSJOZIL,O,O,X,X,O,O,X,X
TSJOZLI,O,O,O,X,O,O,X,X
TSZILJO,O,O,X,X,X,X,O,O
TSZILOJ,O,O,X,X,X,O,O,O
TSZIJLO,O,O,X,X,O,X,X,O
TSZIJOL,O,O,X,X,O,X,X,O
TSZIOLJ,O,O,X,X,X,O,X,O
TSZIOJL,O,O,X,X,O,X,X,O
TSZLIJO,O,O,X,X,X,X,O,O
TSZLIOJ,O,O,X,X,X,O,O,O
TSZLJIO,O,O,X,X,X,X,O,X
TSZLJOI,O,O,X,X,X,X,O,X
TSZLOIJ,O,O,O,X,X,O,O,X
TSZLOJI,O,O,O,X,X,X,O,X
TSZJILO,O,O,X,X,O,X,X,O
TSZJIOL,O,O,X,X,O,X,X,O
TSZJLIO,O,O,X,X,O,X,O,X
TSZJLOI,O,O,X,X,O,X,O,X
TSZJOIL,O,O,X,X,O,X,X,X
TSZJOLI,O,O,X,X,O,X,X,X
TSZOILJ,O,O,X,X,X,O,X,O
TSZOIJL,O,O,X,X,O,X,X,O
TSZOLIJ,O,O,O,X,X,O,O,X
TSZOLJI,O,O,O,X,X,X,O,X
TSZOJIL,O,O,X,X,O,X,X,X
TSZOJLI,O,O,X,X,O,X,X,X
TSOILJZ,O,O,X,X,X,O,X,X
TSOILZJ,O,O,X,X,X,O,X,X
TSOIJLZ,O,O,X,X,X,O,X,X
TSOIJZL,O,O,X,X,X,O,X,X
TSOIZLJ,O,O,X,X,X,O,X,X
TSOIZJL,O,O,X,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,O,X,X
TSOLIZJ,O,O,O,X,X,O,O,X
TSOLJIZ,O,O,O,X,X,O,X,X
TSOLJZI,O,O,O,X,X,O,X,X
TSOLZIJ,O,O,O,X,X,O,O,X
TSOLZJI,O,O,O,X,X,X,O,X
TSOJILZ,O,O,X,X,X,O,X,X
TSOJIZL,O,O,X,X,X,O,X,X
TSOJLIZ,O,O,O,X,X,O,X,X
TSOJLZI,O,O,O,X,X,O,X,X
TSOJZIL,O,O,X,X,O,O,X,X
TSOJZLI,O,O,O,X,O,O,X,X
TSOZILJ,O,O,X,X,X,O,O,X
TSOZIJL,O,O,X,X,O,X,X,X
TSOZLIJ,O,O,O,X,X,O,O,X
TSOZLJI,O,O,O,X,X,X,O,X
TSOZJIL,O,O,X,X,O,X,X,X
TSOZJLI,O,O,X,X,O,X,O,X
TZILJSO,O,O,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X
TZILSJO,X,O,X,X,X,X,O,O
TZILSOJ,O,X,X,X,X,X,O,O
TZILOJS,O,O,O,X,X,X,X,X
TZILOSJ,O,X,O,X,X,X,X,X
TZIJLSO,O,O,X,O,X,X,X,X
TZIJLOS,O,O,X,O,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,O
TZIJSOL,O,O,X,X,X,X,X,O
TZIJOLS,O,O,X,O,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X
TZISLJO,O,X,X,X,X,X,O,O
TZISLOJ,O,X,X,X,X,X,O,O
TZISJLO,O,O,X,X,O,X,X,O
TZISJOL,O,O,X,X,O,X,X,O
TZISOLJ,O,X,X,X,X,X,X,O
TZISOJL,O,X,X,X,O,X,X,O
TZIOLJS,O,O,O,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,X
TZIOJLS,O,O,X,O,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,O
TZIOSJL,O,O,X,X,O,X,X,O
TZLIJSO,O,O,X,X,X,X,X,X
TZLIJOS,O,O,O,X,X,X,X,X
TZLISJO,X,O,X,X,X,X,O,O
TZLISOJ,O,X,X,X,X,X,O,O
TZLIOJS,O,O,O,X,X,X,X,X
TZLIOSJ,O,X,O,X,X,X,X,X
TZLJISO,O,O,X,X,X,X,X,X
TZLJIOS,O,O,O,X,X,X,X,X
TZLJSIO,O,O,X,X,X,X,O,X
TZLJSOI,O,O,O,X,X,X,O,X
TZLJOIS,O,O,O,X,X,X,X,X
TZLJOSI,O,O,O,X,X,X,X,X
TZLSIJO,O,O,X,X,X,X,O,O
TZLSIOJ,O,O,X,X,X,X,O,O
TZLSJIO,O,O,X,X,X,X,O,X
TZLSJOI,O,O,X,X,X,X,O,X
TZLSOIJ,O,O,O,X,X,X,O,X
TZLSOJI,O,O,O,X,X,X,O,X
TZLOIJS,O,O,O,X,X,X,X,X
TZLOISJ,O,O,O,X,X,X,O,X
TZLOJIS,O,O,O,X,X,X,X,X
TZLOJSI,O,O,O,X,X,X,O,X
TZLOSIJ,O,O,O,X,X,X,O,X
TZLOSJI,O,O,O,X,X,X,O,X
TZJILSO,O,O,X,O,X,X,X,X
TZJILOS,O,O,O,O,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,O
TZJISOL,O,O,X,X,X,X,X,O
TZJIOLS,O,O,O,O,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X
TZJLISO,O,O,X,O,X,X,X,X
TZJLIOS,O,O,O,O,X,X,X,X
TZJLSIO,O,O,X,O,X,X,O,X
TZJLSOI,O,O,O,O,X,X,O,X
TZJLOIS,O,O,O,O,X,X,X,X
TZJLOSI,O,O,O,O,X,X,X,X
TZJSILO,O,O,X,X,O,X,X,O
TZJSIOL,O,O,X,X,O,X,X,O
TZJSLIO,O,O,X,X,O,X,O,X
TZJSLOI,O,O,O,X,O,X,O,X
TZJSOIL,O,O,X,X,O,X,X,X
