sequence,v115@5gB8GeC8HeD8FeE8AeH8JeO/IvhFxbBTeBCgB/mB0l?BlpB,v115@5gB8GeC8HeD8FeE8AeH8JeU7IvhFFcBTeBikBGmBRq?B/pB,v115@5gB8GeC8HeD8FeE8AeH8Jex6IvhFOhBTeBlfBclB/p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jey/IvhFFcBTeBWmB0fB/p?BxvB,v115@5gB8GeC8HeD8FeE8AeH8JeZ/IvhFufB1gBTeBXhB8p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jex7IvhFTeB/mB6pB0qBOp?BFqB
TJLSZOI,O,X,O,X,X,X
TJLSOIZ,O,O,X,X,X,X
TJLSOZI,O,X,O,X,X,X
TJLZISO,O,O,X,X,X,X
TJLZIOS,O,O,O,X,X,X
TJLZSIO,O,X,O,X,X,X
TJLZSOI,O,X,O,X,X,X
TJLZOIS,O,O,O,X,X,X
TJLZOSI,O,X,O,X,X,X
TJLOISZ,O,O,X,X,X,X
TJLOIZS,X,O,X,X,X,X
TJLOSIZ,O,O,X,X,X,X
TJLOSZI,O,X,O,X,X,X
TJLOZIS,O,O,O,X,X,X
TJLOZSI,O,X,O,X,X,X
TJSILZO,O,O,X,O,X,X
TJSILOZ,O,O,X,O,X,X
TJSIZLO,X,X,X,O,X,X
TJSIZOL,O,X,X,O,X,X
TJSIOLZ,O,O,X,O,X,X
TJSIOZL,O,X,X,O,X,X
TJSLIZO,O,O,X,X,X,X
TJSLIOZ,O,O,X,X,X,X
TJSLZIO,O,X,O,X,X,X
TJSLZOI,O,X,O,X,X,X
TJSLOIZ,O,O,X,X,X,X
TJSLOZI,O,X,O,X,X,X
TJSZILO,O,X,O,X,X,X
TJSZIOL,O,X,O,X,X,X
TJSZLIO,O,X,O,X,X,X
TJSZLOI,O,X,O,X,X,X
TJSZOIL,O,X,O,X,X,X
TJSZOLI,O,X,O,X,X,X
TJSOILZ,O,O,X,O,X,X
TJSOIZL,O,X,X,O,X,X
TJSOLIZ,O,O,X,X,X,X
TJSOLZI,O,X,O,X,X,X
TJSOZIL,O,X,O,X,X,X
TJSOZLI,O,X,O,X,X,X
TJZILSO,O,O,X,X,X,X
TJZILOS,O,O,X,X,X,X
TJZISLO,O,X,X,X,X,X
TJZISOL,O,X,X,X,X,X
TJZIOLS,O,O,X,X,X,X
TJZIOSL,O,X,O,X,X,X
TJZLISO,O,O,X,X,X,X
TJZLIOS,O,O,X,X,X,X
TJZLSIO,O,X,X,X,X,X
TJZLSOI,O,X,X,X,X,X
TJZLOIS,O,O,X,X,X,X
TJZLOSI,O,X,X,X,X,X
TJZSILO,O,X,O,X,X,X
TJZSIOL,O,X,O,X,X,X
TJZSLIO,O,X,O,X,X,X
TJZSLOI,O,X,O,X,X,X
TJZSOIL,O,X,O,X,X,X
TJZSOLI,O,X,O,X,X,X
TJZOILS,O,O,X,X,X,X
TJZOISL,O,X,O,X,X,X
TJZOLIS,O,O,X,X,X,X
TJZOLSI,O,X,X,X,X,X
TJZOSIL,O,X,O,X,X,X
TJZOSLI,O,X,O,X,X,X
TJOILSZ,O,O,X,O,X,X
TJOILZS,X,O,X,X,X,X
TJOISLZ,O,O,X,O,X,X
TJOISZL,O,X,X,O,X,X
TJOIZLS,O,O,X,X,X,X
TJOIZSL,O,X,X,O,X,X
TJOLISZ,O,O,X,X,X,X
TJOLIZS,X,O,X,X,X,X
TJOLSIZ,O,O,X,X,X,X
TJOLSZI,O,X,O,X,X,X
TJOLZIS,O,O,O,X,X,X
TJOLZSI,O,X,O,X,X,X
TJOSILZ,O,O,X,O,X,X
TJOSIZL,O,X,X,O,X,X
TJOSLIZ,O,O,X,X,X,X
TJOSLZI,O,X,O,X,X,X
TJOSZIL,O,X,O,X,X,X
TJOSZLI,O,X,O,X,X,X
TJOZILS,O,O,X,X,X,X
TJOZISL,O,X,O,X,X,X
TJOZLIS,O,O,X,X,X,X
TJOZLSI,O,X,X,X,X,X
TJOZSIL,O,X,O,X,X,X
TJOZSLI,O,X,O,X,X,X
TSILJZO,O,X,X,O,X,X
TSILJOZ,O,X,X,O,X,X
TSILZJO,O,X,O,X,X,X
TSILZOJ,O,X,O,X,X,X
TSILOJZ,O,X,X,O,X,X
TSILOZJ,O,X,O,X,X,X
TSIJLZO,O,O,X,O,X,X
TSIJLOZ,O,O,X,O,X,X
TSIJZLO,X,X,O,O,X,X
TSIJZOL,O,X,O,O,X,X
TSIJOLZ,O,O,X,O,X,X
TSIJOZL,O,X,O,O,X,X
TSIZLJO,O,X,O,X,X,O
TSIZLOJ,O,X,O,X,X,O
TSIZJLO,O,X,O,O,X,X
TSIZJOL,O,X,O,O,X,X
TSIZOLJ,O,X,O,X,X,O
TSIZOJL,O,X,O,O,X,X
TSIOLJZ,O,X,X,O,X,X
TSIOLZJ,O,X,O,X,X,X
TSIOJLZ,O,O,X,O,X,X
TSIOJZL,O,X,O,O,X,X
TSIOZLJ,O,X,O,X,X,O
TSIOZJL,O,X,O,O,X,X
TSLIJZO,O,X,X,O,X,X
TSLIJOZ,O,X,X,O,X,X
TSLIZJO,O,X,O,X,X,X
TSLIZOJ,O,X,O,X,X,X
TSLIOJZ,O,X,X,O,X,X
TSLIOZJ,O,X,O,X,X,X
TSLJIZO,O,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X
TSLJZIO,O,X,O,X,X,X
TSLJZOI,O,X,O,X,X,X
TSLJOIZ,O,X,X,X,X,X
TSLJOZI,O,X,O,X,X,X
TSLZIJO,O,X,O,X,X,O
TSLZIOJ,O,X,O,X,X,O
TSLZJIO,O,X,O,X,X,O
TSLZJOI,O,X,O,X,X,O
TSLZOIJ,O,X,O,X,X,O
TSLZOJI,O,X,O,X,X,O
TSLOIJZ,O,X,X,O,X,X
TSLOIZJ,O,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,X
TSLOJZI,O,X,O,X,X,X
TSLOZIJ,O,X,O,X,X,O
TSLOZJI,O,X,O,X,X,O
TSJILZO,O,O,X,O,X,X
TSJILOZ,O,O,X,O,X,X
TSJIZLO,X,X,O,O,X,X
TSJIZOL,O,X,O,O,X,X
TSJIOLZ,O,O,X,O,X,X
TSJIOZL,O,X,O,O,X,X
TSJLIZO,O,O,X,X,X,X
TSJLIOZ,O,O,X,X,X,X
TSJLZIO,O,X,O,X,X,X
TSJLZOI,O,X,O,X,X,X
TSJLOIZ,O,O,X,X,X,X
TSJLOZI,O,X,O,X,X,X
TSJZILO,O,X,O,X,X,X
TSJZIOL,O,X,O,X,X,X
TSJZLIO,O,X,O,X,X,X
TSJZLOI,O,X,O,X,X,X
TSJZOIL,O,X,O,X,X,X
TSJZOLI,O,X,O,X,X,X
TSJOILZ,O,O,X,O,X,X
TSJOIZL,O,X,O,O,X,X
TSJOLIZ,O,O,X,X,X,X
TSJOLZI,O,X,O,X,X,X
TSJOZIL,O,X,O,X,X,X
TSJOZLI,O,X,O,X,X,X
TSZILJO,O,X,O,X,X,O
TSZILOJ,O,X,O,X,X,O
TSZIJLO,O,X,O,O,X,X
TSZIJOL,O,X,O,O,X,X
TSZIOLJ,O,X,O,X,X,O
TSZIOJL,O,X,O,O,X,X
TSZLIJO,O,X,O,X,X,O
TSZLIOJ,O,X,O,X,X,O
TSZLJIO,O,X,O,X,X,O
TSZLJOI,O,X,O,X,X,O
TSZLOIJ,O,X,O,X,X,O
TSZLOJI,O,X,O,X,X,O
TSZJILO,O,X,O,X,X,X
TSZJIOL,O,X,O,X,X,X
TSZJLIO,O,X,O,X,X,X
TSZJLOI,O,X,O,X,X,X
TSZJOIL,O,X,O,X,X,X
TSZJOLI,O,X,O,X,X,X
TSZOILJ,O,X,O,X,X,O
TSZOIJL,O,X,O,O,X,X
TSZOLIJ,O,X,O,X,X,O
TSZOLJI,O,X,O,X,X,O
TSZOJIL,O,X,O,X,X,X
TSZOJLI,O,X,O,X,X,X
TSOILJZ,O,X,X,O,X,X
TSOILZJ,O,X,O,X,X,X
TSOIJLZ,O,O,X,O,X,X
TSOIJZL,O,X,O,O,X,X
TSOIZLJ,O,X,O,X,X,O
TSOIZJL,O,X,O,O,X,X
TSOLIJZ,O,X,X,O,X,X
TSOLIZJ,O,X,O,X,X,X
TSOLJIZ,O,X,X,X,X,X
TSOLJZI,O,X,O,X,X,X
TSOLZIJ,O,X,O,X,X,O
TSOLZJI,O,X,O,X,X,O
TSOJILZ,O,O,X,O,X,X
TSOJIZL,O,X,O,O,X,X
TSOJLIZ,O,O,X,X,X,X
TSOJLZI,O,X,O,X,X,X
TSOJZIL,O,X,O,X,X,X
TSOJZLI,O,X,O,X,X,X
TSOZILJ,O,X,O,X,X,O
TSOZIJL,O,X,O,O,X,X
TSOZLIJ,O,X,O,X,X,O
TSOZLJI,O,X,O,X,X,O
TSOZJIL,O,X,O,X,X,X
TSOZJLI,O,X,O,X,X,X
TZILJSO,O,X,X,X,O,X
TZILJOS,O,X,X,X,O,X
TZILSJO,O,X,X,X,O,X
TZILSOJ,O,X,X,X,O,X
TZILOJS,O,X,X,X,O,X
TZILOSJ,O,X,X,X,O,X
TZIJLSO,O,O,X,X,O,X
TZIJLOS,O,O,X,X,O,X
TZIJSLO,O,X,X,O,X,X
TZIJSOL,O,X,X,O,O,X
TZIJOLS,O,O,X,X,O,X
TZIJOSL,O,X,O,O,O,X
TZISLJO,O,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X
TZISJLO,O,X,X,O,X,X
TZISJOL,O,X,X,O,O,X
TZISOLJ,O,X,X,X,X,X
TZISOJL,O,X,X,O,O,X
TZIOLJS,O,X,X,X,O,X
TZIOLSJ,O,X,X,X,O,X
TZIOJLS,O,O,X,X,O,X
TZIOJSL,O,X,O,O,O,X
TZIOSLJ,O,X,X,X,X,X
TZIOSJL,O,X,X,O,O,X
TZLIJSO,O,X,X,X,O,X
TZLIJOS,O,X,X,X,O,X
TZLISJO,O,X,X,X,O,X
TZLISOJ,O,X,X,X,O,X
TZLIOJS,O,X,X,X,O,X
TZLIOSJ,O,X,X,X,O,X
TZLJISO,O,X,X,X,O,X
TZLJIOS,O,X,X,X,O,X
TZLJSIO,O,X,X,X,O,X
TZLJSOI,O,X,X,X,O,X
TZLJOIS,O,X,X,X,O,X
TZLJOSI,O,X,X,X,O,X
TZLSIJO,O,X,X,X,O,O
TZLSIOJ,O,X,X,X,O,O
TZLSJIO,O,X,X,X,O,O
TZLSJOI,O,X,X,X,O,O
TZLSOIJ,O,X,X,X,O,O
TZLSOJI,O,X,X,X,O,O
TZLOIJS,O,X,X,X,O,X
TZLOISJ,O,X,X,X,O,X
TZLOJIS,O,X,X,X,O,X
TZLOJSI,O,X,X,X,O,X
TZLOSIJ,O,X,X,X,O,O
TZLOSJI,O,X,X,X,O,O
TZJILSO,O,O,X,X,O,X
TZJILOS,O,O,X,X,O,X
TZJISLO,O,X,X,X,X,X
TZJISOL,O,X,X,X,O,X
TZJIOLS,O,O,X,X,O,X
TZJIOSL,O,X,O,X,O,X
TZJLISO,O,O,X,X,O,X
TZJLIOS,O,O,X,X,O,X
TZJLSIO,O,X,X,X,O,X
TZJLSOI,O,X,X,X,O,X
TZJLOIS,O,O,X,X,O,X
TZJLOSI,O,X,X,X,O,X
TZJSILO,O,X,O,X,X,X
TZJSIOL,O,X,O,X,O,X
TZJSLIO,O,X,O,X,X,X
TZJSLOI,O,X,O,X,X,X
TZJSOIL,O,X,O,X,O,X
TZJSOLI,O,X,O,X,X,X
TZJOILS,O,O,X,X,O,X
TZJOISL,O,X,O,X,O,X
TZJOLIS,O,O,X,X,O,X
TZJOLSI,O,X,X,X,O,X
TZJOSIL,O,X,O,X,O,X
TZJOSLI,O,X,O,X,X,X
TZSILJO,O,X,O,X,X,O
TZSILOJ,O,X,O,X,X,O
TZSIJLO,O,X,O,O,X,X
TZSIJOL,O,X,O,O,O,X
TZSIOLJ,O,X,O,X,X,O
TZSIOJL,O,X,O,O,O,X
TZSLIJO,O,X,O,X,X,O
TZSLIOJ,O,X,O,X,X,O
TZSLJIO,O,X,O,X,X,O
TZSLJOI,O,X,O,X,X,O
TZSLOIJ,O,X,O,X,X,O
TZSLOJI,O,X,O,X,X,O
TZSJILO,O,X,O,X,X,X
TZSJIOL,O,X,O,X,O,X
TZSJLIO,O,X,O,X,X,X
TZSJLOI,O,X,O,X,X,X
TZSJOIL,O,X,O,X,O,X
TZSJOLI,O,X,O,X,X,X
TZSOILJ,O,X,O,X,X,O
TZSOIJL,O,X,O,O,O,X
TZSOLIJ,O,X,O,X,X,O
TZSOLJI,O,X,O,X,X,O
TZSOJIL,O,X,O,X,O,X
TZSOJLI,O,X,O,X,X,X
TZOILJS,O,X,X,X,O,X
TZOILSJ,O,X,X,X,O,X
TZOIJLS,O,O,X,X,O,X
TZOIJSL,O,X,O,O,O,X
TZOISLJ,O,X,X,X,X,X
TZOISJL,O,X,X,O,O,X
TZOLIJS,O,X,X,X,O,X
TZOLISJ,O,X,X,X,O,X
TZOLJIS,O,X,X,X,O,X
TZOLJSI,O,X,X,X,O,X
TZOLSIJ,O,X,X,X,O,O
TZOLSJI,O,X,X,X,O,O
TZOJILS,O,O,X,X,O,X
TZOJISL,O,X,O,X,O,X
TZOJLIS,O,O,X,X,O,X
TZOJLSI,O,X,X,X,O,X
TZOJSIL,O,X,O,X,O,X
TZOJSLI,O,X,O,X,X,X
TZOSILJ,O,X,O,X,X,O
TZOSIJL,O,X,O,O,O,X
TZOSLIJ,O,X,O,X,X,O
TZOSLJI,O,X,O,X,X,O
TZOSJIL,O,X,O,X,O,X
TZOSJLI,O,X,O,X,X,X
TOILJSZ,O,O,X,O,X,X
TOILJZS,X,O,X,X,X,X
TOILSJZ,O,X,X,O,X,X
TOILSZJ,O,X,X,X,X,X
TOILZJS,X,X,X,X,O,X
TOILZSJ,X,X,X,X,O,X
TOIJLSZ,O,O,X,O,X,X
TOIJLZS,X,O,X,X,X,X
TOIJSLZ,O,O,X,O,X,X
TOIJSZL,O,X,X,O,X,X
TOIJZLS,O,O,X,X,X,X
TOIJZSL,O,X,X,O,X,X
TOISLJZ,O,X,X,O,X,X
TOISLZJ,O,X,X,X,X,X
TOISJLZ,O,O,X,O,X,X
TOISJZL,O,X,X,O,X,X
TOISZLJ,O,X,X,X,X,O
TOISZJL,O,X,X,O,X,X
TOIZLJS,O,X,X,X,O,X
TOIZLSJ,O,X,X,X,O,X
TOIZJLS,O,O,X,X,O,X
TOIZJSL,O,X,X,O,O,X
TOIZSLJ,O,X,X,X,X,X
TOIZSJL,O,X,X,O,O,X
TOLIJSZ,O,O,X,O,X,X
TOLIJZS,X,O,X,X,X,X
TOLISJZ,O,X,X,O,X,X
TOLISZJ,O,X,X,X,X,X
TOLIZJS,X,X,X,X,O,X
TOLIZSJ,X,X,X,X,O,X
TOLJISZ,O,O,X,X,X,X
TOLJIZS,X,O,X,X,X,X
TOLJSIZ,O,O,X,X,X,X
TOLJSZI,O,X,O,X,X,X
TOLJZIS,O,O,O,X,X,X
TOLJZSI,O,X,O,X,X,X
TOLSIJZ,O,X,X,O,X,X
TOLSIZJ,O,X,X,X,X,X
TOLSJIZ,O,X,X,X,X,X
TOLSJZI,O,X,O,X,X,X
TOLSZIJ,O,X,O,X,X,O
TOLSZJI,O,X,O,X,X,O
TOLZIJS,O,X,O,X,O,X
TOLZISJ,O,X,X,X,O,X
TOLZJIS,O,X,O,X,O,X
TOLZJSI,O,X,O,X,O,X
TOLZSIJ,O,X,O,X,O,O
TOLZSJI,O,X,O,X,O,O
TOJILSZ,O,O,X,O,X,X
TOJILZS,X,O,X,X,X,X
TOJISLZ,O,O,X,O,X,X
TOJISZL,O,X,X,O,X,X
TOJIZLS,O,O,X,X,X,X
TOJIZSL,O,X,X,O,X,X
TOJLISZ,O,O,X,X,X,X
TOJLIZS,X,O,X,X,X,X
TOJLSIZ,O,O,X,X,X,X
TOJLSZI,O,X,O,X,X,X
TOJLZIS,O,O,O,X,X,X
TOJLZSI,O,X,O,X,X,X
TOJSILZ,O,O,X,O,X,X
TOJSIZL,O,X,X,O,X,X
TOJSLIZ,O,O,X,X,X,X
TOJSLZI,O,X,O,X,X,X
TOJSZIL,O,X,O,X,X,X
TOJSZLI,O,X,O,X,X,X
TOJZILS,O,O,X,X,X,X
