sequence,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBF?nB8sBmsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBl?iBUnBetB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmBU?iBetB3sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBCdBxiBU?nBFoBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBRdBCiB/?sBFoBctB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmB3?iBetBUsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0cBxdBVmBG?jB/sBatB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFicBWjBRmBF?oBUnBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF2hBXeBcoBR?mBqsBFsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB+jBVmBa?nBftB8sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0hBxiBXhBS?oBmsBlsB
TIJLZOS,X,X,O,X,X,O,O,O,O,X,X
TIJLOSZ,X,X,O,X,X,O,X,X,X,X,X
TIJLOZS,X,X,O,X,X,O,O,O,O,X,X
TIJSLZO,X,X,X,X,X,O,X,X,X,O,X
TIJSLOZ,X,X,O,X,X,O,X,X,X,O,X
TIJSZLO,X,X,X,X,X,O,X,X,X,X,X
TIJSZOL,X,X,X,X,X,O,O,X,X,X,X
TIJSOLZ,X,X,O,X,X,O,X,X,X,O,X
TIJSOZL,X,X,X,X,X,O,O,X,X,X,X
TIJZLSO,X,X,O,O,X,X,X,O,X,X,X
TIJZLOS,X,X,O,O,X,O,O,O,X,X,X
TIJZSLO,X,X,O,O,X,X,X,O,X,X,X
TIJZSOL,X,X,O,O,X,X,O,O,X,X,X
TIJZOLS,X,X,O,O,X,O,O,O,X,X,X
TIJZOSL,X,X,O,O,X,X,O,O,X,X,X
TIJOLSZ,X,X,O,X,X,O,X,X,X,X,X
TIJOLZS,X,X,O,X,X,O,O,O,O,X,X
TIJOSLZ,X,X,O,X,X,O,X,X,X,O,X
TIJOSZL,X,X,X,X,X,O,O,X,X,X,X
TIJOZLS,X,X,O,O,X,O,O,O,X,X,X
TIJOZSL,X,X,O,O,X,X,O,O,X,X,X
TISLJZO,X,X,X,X,X,X,O,X,X,O,X
TISLJOZ,X,X,X,X,X,X,O,X,X,O,X
TISLZJO,X,X,X,X,X,X,O,O,X,X,X
TISLZOJ,X,X,X,X,X,X,O,O,X,X,X
TISLOJZ,X,X,O,X,X,O,O,X,X,O,X
TISLOZJ,X,X,X,X,X,X,O,O,X,X,X
TISJLZO,X,X,X,X,X,X,O,X,X,O,X
TISJLOZ,X,X,O,X,X,O,O,X,X,O,X
TISJZLO,X,X,X,X,X,X,O,X,X,X,X
TISJZOL,X,X,X,X,X,X,O,X,X,X,X
TISJOLZ,X,X,O,X,X,O,O,X,X,O,X
TISJOZL,X,X,X,X,X,X,O,X,X,X,X
TISZLJO,X,X,X,X,X,X,O,O,X,X,X
TISZLOJ,X,X,X,X,X,X,O,O,X,X,X
TISZJLO,X,X,O,X,X,X,O,O,X,X,X
TISZJOL,X,X,O,X,X,X,O,O,X,X,X
TISZOLJ,X,X,X,X,X,X,O,O,X,X,X
TISZOJL,X,X,O,X,X,X,O,O,X,X,X
TISOLJZ,X,X,O,X,X,O,O,X,X,O,X
TISOLZJ,X,X,X,X,X,X,O,O,X,X,X
TISOJLZ,X,X,O,X,X,O,O,X,X,O,X
TISOJZL,X,X,X,X,X,X,O,X,X,X,X
TISOZLJ,X,X,X,X,X,X,O,O,X,X,X
TISOZJL,X,X,O,X,X,X,O,O,X,X,X
TIZLJSO,X,X,O,O,X,X,X,O,X,X,X
TIZLJOS,X,X,O,O,X,X,X,O,X,X,X
TIZLSJO,X,X,X,X,X,X,X,O,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,O,X,X,X
TIZLOJS,X,X,O,O,X,O,O,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,O,X,X,X
TIZJLSO,X,X,O,O,X,X,X,O,X,X,X
TIZJLOS,X,X,O,O,X,O,O,O,X,X,X
TIZJSLO,X,X,O,O,X,X,X,O,X,X,X
TIZJSOL,X,X,O,O,X,X,O,O,X,X,X
TIZJOLS,X,X,O,O,X,O,O,O,X,X,X
TIZJOSL,X,X,O,O,X,X,O,O,X,X,X
TIZSLJO,X,X,X,X,X,X,O,O,X,X,X
TIZSLOJ,X,X,X,X,X,X,O,O,X,X,X
TIZSJLO,X,X,O,O,X,X,O,O,X,X,X
TIZSJOL,X,X,O,O,X,X,O,O,X,X,X
TIZSOLJ,X,X,X,X,X,X,O,O,X,X,X
TIZSOJL,X,X,O,O,X,X,O,O,X,X,X
TIZOLJS,X,X,O,O,X,O,O,O,X,X,X
TIZOLSJ,X,X,X,X,X,X,O,O,X,X,X
TIZOJLS,X,X,O,O,X,O,O,O,X,X,X
TIZOJSL,X,X,O,O,X,X,O,O,X,X,X
TIZOSLJ,X,X,X,X,X,X,O,O,X,X,X
TIZOSJL,X,X,O,O,X,X,O,O,X,X,X
TIOLJSZ,X,X,O,X,X,O,X,X,X,X,X
TIOLJZS,X,X,O,X,X,O,X,O,O,X,X
TIOLSJZ,X,X,O,X,X,O,X,X,X,O,X
TIOLSZJ,X,X,X,X,X,X,X,O,X,X,X
TIOLZJS,X,X,O,X,X,O,X,O,O,X,X
TIOLZSJ,X,X,X,X,X,X,X,O,O,X,X
TIOJLSZ,X,X,O,X,X,O,X,X,X,X,X
TIOJLZS,X,X,O,X,X,O,O,O,O,X,X
TIOJSLZ,X,X,O,X,X,O,X,X,X,O,X
TIOJSZL,X,X,X,X,X,O,O,X,X,X,X
TIOJZLS,X,X,O,O,X,O,O,O,X,X,X
TIOJZSL,X,X,O,O,X,X,O,O,X,X,X
TIOSLJZ,X,X,O,X,X,O,O,X,X,O,X
TIOSLZJ,X,X,X,X,X,X,O,O,X,X,X
TIOSJLZ,X,X,O,X,X,O,O,X,X,O,X
TIOSJZL,X,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,O,O,X,X,X
TIOSZJL,X,X,O,X,X,X,O,O,X,X,X
TIOZLJS,X,X,O,O,X,O,O,O,X,X,X
TIOZLSJ,X,X,X,X,X,X,O,O,X,X,X
TIOZJLS,X,X,O,O,X,O,O,O,X,X,X
TIOZJSL,X,X,O,O,X,X,O,O,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,O,X,X,X
TIOZSJL,X,X,O,O,X,X,O,O,X,X,X
TLIJSZO,X,X,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,O,X,X,O,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,X,O,O,X,X
TLIJZOS,X,X,O,X,X,O,X,O,O,X,X
TLIJOSZ,X,X,O,X,X,O,X,X,X,X,X
TLIJOZS,X,X,O,X,X,O,X,O,O,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,O,X
TLISJOZ,X,X,X,X,X,X,X,X,X,O,X
TLISZJO,X,X,X,X,X,X,X,O,X,X,X
TLISZOJ,X,X,X,X,X,X,X,O,X,X,X
TLISOJZ,X,X,O,X,X,O,X,X,X,O,X
TLISOZJ,X,X,X,X,X,X,X,O,X,X,X
TLIZJSO,X,X,O,X,X,X,X,O,O,X,X
TLIZJOS,X,X,O,X,X,X,X,O,O,X,X
TLIZSJO,X,X,X,X,X,X,X,O,O,X,X
TLIZSOJ,X,X,X,X,X,X,X,O,O,X,X
TLIZOJS,X,X,O,X,X,O,X,O,O,X,X
TLIZOSJ,X,X,X,X,X,X,X,O,O,X,X
TLIOJSZ,X,X,O,X,X,O,X,X,X,X,X
TLIOJZS,X,X,O,X,X,O,X,O,O,X,X
TLIOSJZ,X,X,O,X,X,O,X,X,X,O,X
TLIOSZJ,X,X,X,X,X,X,X,O,X,X,X
TLIOZJS,X,X,O,X,X,O,X,O,O,X,X
TLIOZSJ,X,X,X,X,X,X,X,O,O,X,X
TLJISZO,X,O,X,X,X,O,X,X,X,X,X
TLJISOZ,X,O,O,X,X,O,X,X,X,X,X
TLJIZSO,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,O,O,X,X,O,O,X,X,X,X
TLJIOSZ,X,O,O,X,X,O,X,X,X,X,X
TLJIOZS,X,O,O,X,X,O,O,X,X,X,X
TLJSIZO,X,O,X,X,O,O,X,X,X,O,X
TLJSIOZ,X,O,O,X,O,O,X,X,X,O,X
TLJSZIO,X,O,O,X,O,O,X,X,X,O,X
TLJSZOI,X,O,O,X,O,O,X,X,X,O,X
TLJSOIZ,X,O,O,X,O,O,X,X,X,O,X
TLJSOZI,X,O,O,X,O,O,X,X,X,O,X
TLJZISO,X,O,O,O,X,X,X,X,X,X,X
TLJZIOS,X,O,O,O,X,O,O,X,X,X,X
TLJZSIO,X,O,O,O,X,O,X,X,X,X,X
TLJZSOI,X,O,O,O,X,O,X,X,X,X,X
TLJZOIS,X,O,O,O,X,O,O,X,X,X,X
TLJZOSI,X,O,O,O,X,O,O,X,X,X,X
TLJOISZ,X,O,O,X,X,O,X,X,X,X,X
TLJOIZS,X,O,O,X,X,O,O,X,X,X,X
TLJOSIZ,X,O,O,X,O,O,X,X,X,O,X
TLJOSZI,X,O,O,X,O,O,X,X,X,O,X
TLJOZIS,X,O,O,O,X,O,O,X,X,X,X
TLJOZSI,X,O,O,O,X,O,O,X,X,X,X
TLSIJZO,X,X,X,X,O,X,O,X,X,O,X
TLSIJOZ,X,X,X,X,O,X,O,X,X,O,X
TLSIZJO,O,X,X,X,X,X,O,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,O,X,X,X,X
TLSIOJZ,X,O,O,X,O,O,O,X,X,O,X
TLSIOZJ,O,X,X,X,X,X,O,X,X,X,X
TLSJIZO,X,O,X,X,O,O,O,X,X,O,X
TLSJIOZ,X,O,O,X,O,O,O,X,X,O,X
TLSJZIO,O,O,O,X,O,O,O,X,X,O,X
TLSJZOI,O,O,O,X,O,O,O,X,X,O,X
TLSJOIZ,X,O,O,X,O,O,O,X,X,O,X
TLSJOZI,O,O,O,X,O,O,O,X,X,O,X
TLSZIJO,O,X,X,X,X,X,O,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,O,X,X,X,X
TLSZJIO,O,X,X,X,O,X,O,X,X,O,X
TLSZJOI,O,X,X,X,O,X,O,X,X,O,X
TLSZOIJ,O,X,X,X,X,X,O,X,X,X,X
TLSZOJI,O,X,X,X,O,X,O,X,X,O,X
TLSOIJZ,X,O,O,X,O,O,O,X,X,O,X
TLSOIZJ,O,X,X,X,X,X,O,X,X,X,X
TLSOJIZ,X,O,O,X,O,O,O,X,X,O,X
TLSOJZI,O,O,O,X,O,O,O,X,X,O,X
TLSOZIJ,O,X,X,X,X,X,O,X,X,X,X
TLSOZJI,O,X,X,X,O,X,O,X,X,O,X
TLZIJSO,X,X,O,O,X,X,X,X,O,X,X
TLZIJOS,X,X,O,O,X,X,X,X,O,X,X
TLZISJO,X,X,X,X,X,X,X,X,O,X,X
TLZISOJ,X,X,X,X,X,X,X,X,O,X,X
TLZIOJS,X,X,O,O,X,O,O,X,O,X,X
TLZIOSJ,X,X,X,X,X,X,O,X,O,X,X
TLZJISO,X,O,O,O,X,X,X,X,X,X,X
TLZJIOS,X,O,O,O,X,O,O,X,X,X,X
TLZJSIO,X,O,O,O,X,O,X,X,X,X,X
TLZJSOI,X,O,O,O,X,O,X,X,X,X,X
TLZJOIS,X,O,O,O,X,O,O,X,X,X,X
TLZJOSI,X,O,O,O,X,O,O,X,X,X,X
TLZSIJO,O,X,X,X,X,X,O,X,O,X,X
TLZSIOJ,O,X,X,X,X,X,O,X,O,X,X
TLZSJIO,O,X,X,X,X,X,O,X,X,O,X
TLZSJOI,O,X,X,X,X,X,O,X,X,O,X
TLZSOIJ,O,X,X,X,X,X,O,X,O,X,X
TLZSOJI,O,X,X,X,X,X,O,X,X,O,X
TLZOIJS,X,X,O,O,X,O,O,X,O,X,X
TLZOISJ,X,X,X,X,X,X,O,X,O,X,X
TLZOJIS,X,O,O,O,X,O,O,X,X,X,X
TLZOJSI,X,O,O,O,X,O,O,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,O,X,O,X,X
TLZOSJI,O,X,X,X,X,X,O,X,X,O,X
TLOIJSZ,X,X,O,X,X,O,X,X,X,X,X
TLOIJZS,X,X,O,X,X,O,X,O,O,X,X
TLOISJZ,X,X,O,X,X,O,X,X,X,O,X
TLOISZJ,X,X,X,X,X,X,X,O,X,X,X
TLOIZJS,X,X,O,X,X,O,X,O,O,X,X
TLOIZSJ,X,X,X,X,X,X,X,O,O,X,X
TLOJISZ,X,O,O,X,X,O,X,X,X,X,X
TLOJIZS,X,O,O,X,X,O,O,X,X,X,X
TLOJSIZ,X,O,O,X,O,O,X,X,X,O,X
TLOJSZI,X,O,O,X,O,O,X,X,X,O,X
TLOJZIS,X,O,O,O,X,O,O,X,X,X,X
TLOJZSI,X,O,O,O,X,O,O,X,X,X,X
TLOSIJZ,X,O,O,X,O,O,O,X,X,O,X
TLOSIZJ,O,X,X,X,X,X,O,X,X,X,X
TLOSJIZ,X,O,O,X,O,O,O,X,X,O,X
TLOSJZI,O,O,O,X,O,O,O,X,X,O,X
TLOSZIJ,O,X,X,X,X,X,O,X,X,X,X
TLOSZJI,O,X,X,X,O,X,O,X,X,O,X
TLOZIJS,X,X,O,O,X,O,O,X,O,X,X
TLOZISJ,X,X,X,X,X,X,O,X,O,X,X
TLOZJIS,X,O,O,O,X,O,O,X,X,X,X
TLOZJSI,X,O,O,O,X,O,O,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,O,X,O,X,X
TLOZSJI,O,X,X,X,X,X,O,X,X,O,X
TJILSZO,X,O,X,X,X,O,X,X,X,X,X
TJILSOZ,X,O,O,X,X,O,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,X,O,X,X,X
TJILZOS,X,O,O,X,X,O,O,O,X,X,X
TJILOSZ,X,O,O,X,X,O,X,X,X,X,X
TJILOZS,X,O,O,X,X,O,O,O,X,X,X
TJISLZO,X,O,X,X,X,O,X,X,X,O,X
TJISLOZ,X,O,O,X,X,O,X,X,X,O,X
TJISZLO,X,O,X,X,X,O,X,X,X,X,X
TJISZOL,X,O,X,X,X,O,O,X,X,X,X
TJISOLZ,X,O,O,X,X,O,X,X,X,O,X
TJISOZL,X,O,X,X,X,O,O,X,X,X,X
TJIZLSO,X,X,O,O,X,X,X,O,X,X,X
TJIZLOS,X,O,O,O,X,O,O,O,X,X,X
TJIZSLO,X,X,O,O,X,X,X,O,X,X,X
TJIZSOL,X,X,O,O,X,X,O,O,X,X,X
TJIZOLS,X,O,O,O,X,O,O,O,X,X,X
TJIZOSL,X,X,O,O,X,X,O,O,X,X,X
TJIOLSZ,X,O,O,X,X,O,X,X,X,X,X
TJIOLZS,X,O,O,X,X,O,O,O,X,X,X
TJIOSLZ,X,O,O,X,X,O,X,X,X,O,X
TJIOSZL,X,O,X,X,X,O,O,X,X,X,X
TJIOZLS,X,O,O,O,X,O,O,O,X,X,X
TJIOZSL,X,X,O,O,X,X,O,O,X,X,X
TJLISZO,X,O,X,X,X,O,X,X,X,X,X
TJLISOZ,X,O,O,X,X,O,X,X,X,X,X
TJLIZSO,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,X,O,O,X,X,O,O,X,X,X,X
TJLIOSZ,X,O,O,X,X,O,X,X,X,X,X
TJLIOZS,X,O,O,X,X,O,O,X,X,X,X
TJLSIZO,X,O,X,X,O,O,X,X,X,O,X
TJLSIOZ,X,O,O,X,O,O,X,X,X,O,X
TJLSZIO,X,O,O,X,O,O,X,X,X,O,X
TJLSZOI,X,O,O,X,O,O,X,X,X,O,X
TJLSOIZ,X,O,O,X,O,O,X,X,X,O,X
TJLSOZI,X,O,O,X,O,O,X,X,X,O,X
TJLZISO,X,O,O,O,X,X,X,X,X,X,X
TJLZIOS,X,O,O,O,X,O,O,X,X,X,X
TJLZSIO,X,O,O,O,X,O,X,X,X,X,X
TJLZSOI,X,O,O,O,X,O,X,X,X,X,X
TJLZOIS,X,O,O,O,X,O,O,X,X,X,X
TJLZOSI,X,O,O,O,X,O,O,X,X,X,X
TJLOISZ,X,O,O,X,X,O,X,X,X,X,X
TJLOIZS,X,O,O,X,X,O,O,X,X,X,X
TJLOSIZ,X,O,O,X,O,O,X,X,X,O,X
TJLOSZI,X,O,O,X,O,O,X,X,X,O,X
TJLOZIS,X,O,O,O,X,O,O,X,X,X,X
TJLOZSI,X,O,O,O,X,O,O,X,X,X,X
TJSILZO,X,O,X,X,O,O,O,X,X,O,X
TJSILOZ,X,O,O,X,O,O,O,X,X,O,X
TJSIZLO,X,O,X,X,X,O,O,X,X,X,X
TJSIZOL,X,O,X,X,X,O,O,X,X,X,X
TJSIOLZ,X,O,O,X,O,O,O,X,X,O,X
TJSIOZL,X,O,X,X,X,O,O,X,X,X,X
TJSLIZO,X,O,X,X,O,O,O,X,X,O,X
TJSLIOZ,X,O,O,X,O,O,O,X,X,O,X
TJSLZIO,X,O,O,X,O,O,O,X,X,O,X
TJSLZOI,X,O,O,X,O,O,O,X,X,O,X
TJSLOIZ,X,O,O,X,O,O,O,X,X,O,X
TJSLOZI,X,O,O,X,O,O,O,X,X,O,X
TJSZILO,X,O,O,O,X,O,O,X,X,X,X
TJSZIOL,X,O,O,O,X,O,O,X,X,X,X
TJSZLIO,X,O,O,O,O,O,O,X,X,O,X
TJSZLOI,X,O,O,O,O,O,O,X,X,O,X
TJSZOIL,X,O,O,O,X,O,O,X,X,X,X
TJSZOLI,X,O,O,O,O,O,O,X,X,O,X
TJSOILZ,X,O,O,X,O,O,O,X,X,O,X
TJSOIZL,X,O,X,X,X,O,O,X,X,X,X
TJSOLIZ,X,O,O,X,O,O,O,X,X,O,X
TJSOLZI,X,O,O,X,O,O,O,X,X,O,X
TJSOZIL,X,O,O,O,X,O,O,X,X,X,X
TJSOZLI,X,O,O,O,O,O,O,X,X,O,X
TJZILSO,X,O,O,O,X,X,X,X,X,X,X
TJZILOS,X,O,O,O,X,O,O,X,X,X,X
TJZISLO,X,O,O,O,X,X,X,X,X,X,X
TJZISOL,X,O,O,O,X,X,O,X,X,X,X
TJZIOLS,X,O,O,O,X,O,O,X,X,X,O
TJZIOSL,X,O,O,O,X,X,O,X,X,X,O
TJZLISO,X,O,O,O,X,X,X,X,X,X,X
TJZLIOS,X,O,O,O,X,O,O,X,X,X,X
TJZLSIO,X,O,O,O,X,O,X,X,X,X,X
TJZLSOI,X,O,O,O,X,O,X,X,X,X,X
TJZLOIS,X,O,O,O,X,O,O,X,X,X,X
TJZLOSI,X,O,O,O,X,O,O,X,X,X,X
TJZSILO,X,O,O,O,X,O,O,X,X,X,X
TJZSIOL,X,O,O,O,X,O,O,X,X,X,X
TJZSLIO,X,O,O,O,X,O,O,X,X,O,X
TJZSLOI,X,O,O,O,X,O,O,X,X,O,X
TJZSOIL,X,O,O,O,X,O,O,X,X,X,X
TJZSOLI,X,O,O,O,X,O,O,X,X,O,X
TJZOILS,X,O,O,O,X,O,O,X,X,X,O
TJZOISL,X,O,O,O,X,X,O,X,X,X,O
TJZOLIS,X,O,O,O,X,O,O,X,X,X,X
TJZOLSI,X,O,O,O,X,O,O,X,X,X,X
TJZOSIL,X,O,O,O,X,O,O,X,X,X,X
TJZOSLI,X,O,O,O,X,O,O,X,X,O,X
TJOILSZ,X,O,O,X,X,O,X,X,X,X,X
TJOILZS,X,O,O,X,X,O,O,O,X,X,X
TJOISLZ,X,O,O,X,X,O,X,X,X,O,X
TJOISZL,X,O,X,X,X,O,O,X,X,X,X
TJOIZLS,X,O,O,O,X,O,O,O,X,X,X
TJOIZSL,X,X,O,O,X,X,O,O,X,X,X
TJOLISZ,X,O,O,X,X,O,X,X,X,X,X
TJOLIZS,X,O,O,X,X,O,O,X,X,X,X
TJOLSIZ,X,O,O,X,O,O,X,X,X,O,X
TJOLSZI,X,O,O,X,O,O,X,X,X,O,X
TJOLZIS,X,O,O,O,X,O,O,X,X,X,X
TJOLZSI,X,O,O,O,X,O,O,X,X,X,X
TJOSILZ,X,O,O,X,O,O,O,X,X,O,X
TJOSIZL,X,O,X,X,X,O,O,X,X,X,X
TJOSLIZ,X,O,O,X,O,O,O,X,X,O,X
TJOSLZI,X,O,O,X,O,O,O,X,X,O,X
TJOSZIL,X,O,O,O,X,O,O,X,X,X,X
TJOSZLI,X,O,O,O,O,O,O,X,X,O,X
TJOZILS,X,O,O,O,X,O,O,X,X,X,O
TJOZISL,X,O,O,O,X,X,O,X,X,X,O
TJOZLIS,X,O,O,O,X,O,O,X,X,X,X
TJOZLSI,X,O,O,O,X,O,O,X,X,X,X
TJOZSIL,X,O,O,O,X,O,O,X,X,X,X
TJOZSLI,X,O,O,O,X,O,O,X,X,O,X
TSILJZO,X,X,X,X,O,X,O,X,X,O,X
TSILJOZ,X,X,X,X,O,X,O,X,X,O,X
TSILZJO,O,X,X,X,X,X,O,O,X,X,X
TSILZOJ,O,X,X,X,X,X,O,O,X,X,X
TSILOJZ,X,O,O,X,O,O,O,X,X,O,X
TSILOZJ,O,X,X,X,X,X,O,O,X,X,X
TSIJLZO,X,O,X,X,O,X,O,X,X,O,X
TSIJLOZ,X,O,O,X,O,O,O,X,X,O,X
TSIJZLO,X,O,X,X,X,X,O,X,X,X,X
TSIJZOL,X,O,X,X,X,X,O,X,X,X,X
TSIJOLZ,X,O,O,X,O,O,O,X,X,O,X
TSIJOZL,X,O,X,X,X,X,O,X,X,X,X
TSIZLJO,O,X,X,X,X,X,O,O,X,X,X
TSIZLOJ,O,X,X,X,X,X,O,O,X,X,X
TSIZJLO,O,O,O,X,X,X,O,O,X,X,X
TSIZJOL,O,O,O,X,X,X,O,O,X,X,X
TSIZOLJ,O,X,X,X,X,X,O,O,X,X,X
TSIZOJL,O,O,O,X,X,X,O,O,X,X,X
TSIOLJZ,X,O,O,X,O,O,O,X,X,O,X
TSIOLZJ,O,X,X,X,X,X,O,O,X,X,X
TSIOJLZ,X,O,O,X,O,O,O,X,X,O,X
TSIOJZL,X,O,X,X,X,X,O,X,X,X,X
TSIOZLJ,O,X,X,X,X,X,O,O,X,X,X
TSIOZJL,O,O,O,X,X,X,O,O,X,X,X
TSLIJZO,X,X,X,X,O,X,O,X,X,O,X
TSLIJOZ,X,X,X,X,O,X,O,X,X,O,X
TSLIZJO,O,X,X,X,X,X,O,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,O,X,X,X,X
TSLIOJZ,X,O,O,X,O,O,O,X,X,O,X
TSLIOZJ,O,X,X,X,X,X,O,X,X,X,X
TSLJIZO,X,O,X,X,O,O,O,X,X,O,X
TSLJIOZ,X,O,O,X,O,O,O,X,X,O,X
TSLJZIO,O,O,O,X,O,O,O,X,X,O,X
TSLJZOI,O,O,O,X,O,O,O,X,X,O,X
TSLJOIZ,X,O,O,X,O,O,O,X,X,O,X
TSLJOZI,O,O,O,X,O,O,O,X,X,O,X
TSLZIJO,O,X,X,X,X,X,O,X,X,X,X
TSLZIOJ,O,X,X,X,X,X,O,X,X,X,X
TSLZJIO,O,X,X,X,O,X,O,X,X,O,X
TSLZJOI,O,X,X,X,O,X,O,X,X,O,X
TSLZOIJ,O,X,X,X,X,X,O,X,X,X,X
TSLZOJI,O,X,X,X,O,X,O,X,X,O,X
TSLOIJZ,X,O,O,X,O,O,O,X,X,O,X
TSLOIZJ,O,X,X,X,X,X,O,X,X,X,X
TSLOJIZ,X,O,O,X,O,O,O,X,X,O,X
TSLOJZI,O,O,O,X,O,O,O,X,X,O,X
TSLOZIJ,O,X,X,X,X,X,O,X,X,X,X
TSLOZJI,O,X,X,X,O,X,O,X,X,O,X
TSJILZO,X,O,X,X,O,O,O,X,X,O,X
TSJILOZ,X,O,O,X,O,O,O,X,X,O,X
TSJIZLO,X,O,X,X,X,O,O,X,X,X,X
TSJIZOL,X,O,X,X,X,O,O,X,X,X,X
TSJIOLZ,X,O,O,X,O,O,O,X,X,O,X
TSJIOZL,X,O,X,X,X,O,O,X,X,X,X
TSJLIZO,X,O,X,X,O,O,O,X,X,O,X
TSJLIOZ,X,O,O,X,O,O,O,X,X,O,X
TSJLZIO,O,O,O,X,O,O,O,X,X,O,X
TSJLZOI,O,O,O,X,O,O,O,X,X,O,X
TSJLOIZ,X,O,O,X,O,O,O,X,X,O,X
TSJLOZI,O,O,O,X,O,O,O,X,X,O,X
TSJZILO,X,O,O,O,X,O,O,X,X,X,X
TSJZIOL,X,O,O,O,X,O,O,X,X,X,X
TSJZLIO,X,O,O,O,O,O,O,X,X,O,X
TSJZLOI,X,O,O,O,O,O,O,X,X,O,X
TSJZOIL,X,O,O,O,X,O,O,X,X,X,X
