sequence,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFRbBGdBTgBihBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFRbBShBTdB2lBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFagBGdBRhBzgBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Jem6IvhFRcBSiB0fBzgBFq?BXrB,v115@7gB8HeC8DeF8EeF8CeE8Jei6IvhFGcBTdBRgBfqBVr?B0qB,v115@7gB8HeC8DeF8EeF8CeE8Je37IvhFchBTdB6kBmfBxq?B1vB,v115@7gB8HeC8DeF8EeF8CeE8JeT6IvhFibBGdBRlBfrBlm?BUqB,v115@7gB8HeC8DeF8EeF8CeE8JeT6IvhFxcBfqBmlBllBCn?B0qB,v115@7gB8HeC8DeF8EeF8CeE8JeR7IvhFGdB0gBaqB/kBlm?BzqB,v115@7gB8HeC8DeF8EeF8CeE8JeG8IvhFTdBxfB8lBaqBlk?BXrB
TIJLSOZ,O,O,O,X,O,X,X,X,X,X
TIJLZSO,O,X,O,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,O,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,X,X,X,X
TIJSLZO,O,O,O,X,O,X,X,X,X,X
TIJSLOZ,O,O,O,X,O,X,X,X,X,X
TIJSZLO,O,O,O,X,O,X,X,X,X,X
TIJSZOL,O,O,O,X,O,X,X,X,X,X
TIJSOLZ,O,O,O,X,O,X,X,X,X,X
TIJSOZL,O,O,X,X,O,X,X,X,X,X
TIJZLSO,O,X,O,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X,X,X,X,X
TIJZSLO,O,X,O,X,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,O,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,X,X
TIJOSLZ,O,O,O,X,O,X,X,X,X,X
TIJOSZL,O,O,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X
TISLJZO,O,O,O,O,O,X,X,X,X,X
TISLJOZ,O,O,O,O,O,X,X,X,X,X
TISLZJO,O,X,O,O,O,X,X,X,X,X
TISLZOJ,O,O,X,O,O,X,X,X,X,X
TISLOJZ,O,O,O,O,O,X,X,X,X,X
TISLOZJ,O,O,X,O,O,X,X,X,X,X
TISJLZO,O,O,O,X,O,X,X,X,X,X
TISJLOZ,O,O,O,X,O,X,X,X,X,X
TISJZLO,O,O,O,X,O,X,X,X,X,X
TISJZOL,O,O,O,X,O,X,X,X,X,X
TISJOLZ,O,O,O,X,O,X,X,X,X,X
TISJOZL,O,O,X,X,O,X,X,X,X,X
TISZLJO,O,O,O,O,O,X,X,X,X,X
TISZLOJ,O,O,O,O,O,X,X,X,X,X
TISZJLO,O,O,O,O,O,X,X,X,X,X
TISZJOL,O,O,O,O,O,X,X,X,X,X
TISZOLJ,O,O,O,O,O,X,X,X,X,X
TISZOJL,O,O,O,O,O,X,X,X,X,X
TISOLJZ,O,O,O,O,O,X,X,X,X,X
TISOLZJ,O,O,X,O,O,X,X,X,X,X
TISOJLZ,O,O,O,O,O,X,X,X,X,X
TISOJZL,O,O,X,O,O,X,X,X,X,X
TISOZLJ,O,O,X,O,O,X,X,X,X,X
TISOZJL,O,O,X,O,O,X,X,X,X,X
TIZLJSO,O,O,O,O,X,O,X,X,X,X
TIZLJOS,O,O,X,O,O,O,X,X,X,X
TIZLSJO,O,O,O,O,X,O,X,X,X,X
TIZLSOJ,O,O,O,O,X,O,X,X,X,X
TIZLOJS,O,O,X,O,O,O,X,X,X,X
TIZLOSJ,O,O,X,O,X,O,X,X,X,X
TIZJLSO,O,O,O,O,X,X,X,X,X,X
TIZJLOS,O,O,X,O,O,X,X,X,X,X
TIZJSLO,O,O,O,O,X,X,X,X,X,X
TIZJSOL,O,O,O,O,X,X,X,X,X,X
TIZJOLS,O,O,X,O,O,X,X,X,X,X
TIZJOSL,O,O,O,O,X,X,X,X,X,X
TIZSLJO,O,O,O,O,X,X,X,X,X,X
TIZSLOJ,O,O,O,O,X,X,X,X,X,X
TIZSJLO,O,O,O,O,X,X,X,X,X,X
TIZSJOL,O,O,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X,X,X
TIZSOJL,O,O,O,O,X,X,X,X,X,X
TIZOLJS,O,O,X,O,O,O,X,X,X,X
TIZOLSJ,O,O,X,O,X,O,X,X,X,X
TIZOJLS,O,O,X,O,O,X,X,X,X,X
TIZOJSL,O,O,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,X,X,X
TIZOSJL,O,O,O,O,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,O,X,X,X,X,X
TIOLJZS,X,X,X,O,O,O,X,X,X,X
TIOLSJZ,O,O,X,X,O,X,X,X,X,X
TIOLSZJ,O,O,X,O,O,O,X,X,X,X
TIOLZJS,X,O,X,O,O,O,X,X,X,X
TIOLZSJ,X,O,X,O,X,O,X,X,X,X
TIOJLSZ,O,O,X,X,O,X,X,X,X,X
TIOJLZS,X,X,X,O,O,X,X,X,X,X
TIOJSLZ,O,O,O,X,O,X,X,X,X,X
TIOJSZL,O,O,X,X,O,X,X,X,X,X
TIOJZLS,X,X,X,O,O,X,X,X,X,X
TIOJZSL,X,X,O,O,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,O,X,X,X,X,X
TIOSLZJ,O,O,X,O,O,X,X,X,X,X
TIOSJLZ,O,O,O,X,O,X,X,X,X,X
TIOSJZL,O,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,O,X,O,O,X,X,X,X,X
TIOSZJL,O,O,X,O,O,X,X,X,X,X
TIOZLJS,X,O,X,O,O,O,X,X,X,X
TIOZLSJ,X,O,X,O,X,O,X,X,X,X
TIOZJLS,X,O,X,O,O,X,X,X,X,X
TIOZJSL,X,O,O,O,X,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,X,X,X,X,X
TIOZSJL,X,O,O,O,X,X,X,X,X,X
TLIJSZO,O,O,O,O,X,X,X,X,X,X
TLIJSOZ,O,O,O,O,O,X,X,X,X,X
TLIJZSO,O,X,O,O,X,O,X,X,X,X
TLIJZOS,O,X,X,O,O,O,X,X,X,X
TLIJOSZ,O,O,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,O,O,O,X,X,X,X
TLISJZO,O,O,O,O,O,X,X,X,X,X
TLISJOZ,O,O,O,O,O,X,X,X,X,X
TLISZJO,O,X,O,O,O,O,X,X,X,X
TLISZOJ,O,O,X,O,O,O,X,X,X,X
TLISOJZ,O,O,O,O,O,X,X,X,X,X
TLISOZJ,O,O,X,O,O,O,X,X,X,X
TLIZJSO,O,O,O,O,X,O,X,X,X,X
TLIZJOS,O,O,X,O,O,O,X,X,X,X
TLIZSJO,O,O,O,O,X,O,X,X,X,X
TLIZSOJ,O,O,O,O,X,O,X,X,X,X
TLIZOJS,O,O,X,O,O,O,X,X,X,X
TLIZOSJ,O,O,X,O,X,O,X,X,X,X
TLIOJSZ,O,O,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,O,O,O,X,X,X,X
TLIOSJZ,O,O,X,O,O,X,X,X,X,X
TLIOSZJ,O,O,X,O,O,O,X,X,X,X
TLIOZJS,X,O,X,O,O,O,X,X,X,X
TLIOZSJ,X,O,X,O,X,O,X,X,X,X
TLJISZO,O,O,O,O,X,X,X,X,X,X
TLJISOZ,O,O,O,O,O,X,X,X,X,X
TLJIZSO,O,X,O,O,X,X,X,X,X,X
TLJIZOS,O,X,X,O,O,X,X,X,X,X
TLJIOSZ,O,O,X,X,O,X,X,X,X,X
TLJIOZS,X,X,X,O,O,X,X,X,X,X
TLJSIZO,O,O,O,O,O,X,X,X,X,X
TLJSIOZ,O,O,O,O,O,X,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,O,O,X,X,X,X,X
TLJSOZI,O,O,X,O,O,X,X,X,X,X
TLJZISO,O,O,O,O,X,X,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X,X
TLJZSIO,O,O,O,O,X,X,X,X,O,X
TLJZSOI,O,O,O,O,X,X,X,X,X,X
TLJZOIS,O,O,X,O,O,X,X,X,X,X
TLJZOSI,O,O,X,O,O,X,X,X,X,X
TLJOISZ,O,O,X,X,O,X,X,X,X,X
TLJOIZS,X,X,X,O,O,X,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,X,X,X,X
TLJOSZI,O,O,X,X,O,X,X,X,X,X
TLJOZIS,O,O,X,O,O,X,X,X,X,X
TLJOZSI,O,O,X,O,O,X,X,X,O,X
TLSIJZO,O,O,O,O,O,X,X,X,X,X
TLSIJOZ,O,O,O,O,O,X,X,X,X,X
TLSIZJO,O,X,O,O,O,X,X,X,X,X
TLSIZOJ,O,O,X,O,O,X,X,X,X,X
TLSIOJZ,O,O,O,O,O,X,X,X,X,X
TLSIOZJ,O,O,X,O,O,X,X,X,X,X
TLSJIZO,O,O,O,O,O,X,X,X,X,X
TLSJIOZ,O,O,O,O,O,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,O,O,X,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,X,X,O
TLSZIOJ,O,O,O,O,O,X,X,X,X,O
TLSZJIO,O,O,O,O,O,X,X,X,X,O
TLSZJOI,O,O,O,O,O,X,X,X,X,O
TLSZOIJ,O,O,O,O,O,X,X,X,X,O
TLSZOJI,O,O,O,O,O,X,X,X,X,O
TLSOIJZ,O,O,O,O,O,X,X,X,X,X
TLSOIZJ,O,O,X,O,O,X,X,X,X,X
TLSOJIZ,O,O,O,O,O,X,X,X,X,X
TLSOJZI,O,O,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,X,X,O
TLSOZJI,O,O,X,O,O,X,X,X,X,O
TLZIJSO,O,O,O,O,X,O,X,X,O,X
TLZIJOS,O,O,X,O,O,O,X,X,X,X
TLZISJO,O,O,O,O,X,O,X,X,O,X
TLZISOJ,O,O,O,O,X,O,X,X,O,X
TLZIOJS,O,O,X,O,O,O,X,X,X,X
TLZIOSJ,O,O,X,O,X,O,X,X,X,X
TLZJISO,O,O,O,O,X,X,X,X,O,X
TLZJIOS,O,O,X,O,X,X,X,X,X,X
TLZJSIO,O,O,O,O,X,X,X,X,O,X
TLZJSOI,O,O,O,O,X,X,X,X,O,X
TLZJOIS,O,O,X,O,O,X,X,X,X,X
TLZJOSI,O,O,X,O,O,X,X,X,O,X
TLZSIJO,O,O,O,O,O,X,X,X,O,X
TLZSIOJ,O,O,O,O,O,X,X,X,O,X
TLZSJIO,O,O,O,O,O,X,X,X,O,X
TLZSJOI,O,O,O,O,O,X,X,X,O,X
TLZSOIJ,O,O,O,O,O,X,X,X,O,X
TLZSOJI,O,O,O,O,O,X,X,X,O,X
TLZOIJS,O,O,X,O,O,O,X,X,X,X
TLZOISJ,O,O,X,O,X,O,X,X,X,X
TLZOJIS,O,O,X,O,O,X,X,X,X,X
TLZOJSI,O,O,X,O,O,X,X,X,O,X
TLZOSIJ,O,O,X,O,O,X,X,X,O,X
TLZOSJI,O,O,X,O,O,X,X,X,O,X
TLOIJSZ,O,O,X,X,O,X,X,X,X,X
TLOIJZS,X,X,X,O,O,O,X,X,X,X
TLOISJZ,O,O,X,O,O,X,X,X,X,X
TLOISZJ,O,O,X,O,O,O,X,X,X,X
TLOIZJS,X,O,X,O,O,O,X,X,X,X
TLOIZSJ,X,O,X,O,X,O,X,X,X,X
TLOJISZ,O,O,X,X,O,X,X,X,X,X
TLOJIZS,X,X,X,O,O,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,X,X,X,X,X
TLOJSZI,O,O,X,X,O,X,X,X,X,X
TLOJZIS,O,O,X,O,O,X,X,X,X,X
TLOJZSI,O,O,X,O,O,X,X,X,O,X
TLOSIJZ,O,O,X,O,O,X,X,X,X,X
TLOSIZJ,O,O,X,O,O,X,X,X,X,X
TLOSJIZ,O,O,X,O,O,X,X,X,X,X
TLOSJZI,O,O,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,X,O,O,X,X,X,X,O
TLOSZJI,O,O,X,O,O,X,X,X,X,O
TLOZIJS,O,O,X,O,O,O,X,X,O,X
TLOZISJ,O,O,X,O,X,O,X,X,O,X
TLOZJIS,O,O,X,O,O,X,X,X,O,X
TLOZJSI,O,O,X,O,O,X,X,X,O,X
TLOZSIJ,O,O,X,O,O,X,X,X,O,X
TLOZSJI,O,O,X,O,O,X,X,X,O,X
TJILSZO,O,O,O,X,X,X,X,X,X,X
TJILSOZ,O,O,O,X,O,X,X,X,X,X
TJILZSO,O,X,O,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,O,X,X,X,X,X
TJILOSZ,O,O,X,X,O,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,X,X,X,X
TJISLZO,O,O,O,X,O,X,X,X,X,X
TJISLOZ,O,O,O,X,O,X,X,X,X,X
TJISZLO,O,O,O,X,O,X,X,X,X,X
TJISZOL,O,O,O,X,O,X,X,X,X,X
TJISOLZ,O,O,O,X,O,X,X,X,X,X
TJISOZL,O,O,X,X,O,X,X,X,X,X
TJIZLSO,O,X,O,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,O,X,X,X,X,X
TJIZSLO,O,X,O,X,X,X,X,X,X,X
TJIZSOL,O,X,O,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,O,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,O,O,O,X,O,X,X,X,X,X
TJIOSZL,O,O,X,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,X,X,X,X
TJLISOZ,O,O,O,O,O,X,X,X,X,X
TJLIZSO,O,X,O,O,X,X,X,X,X,X
TJLIZOS,O,X,X,O,O,X,X,X,X,X
TJLIOSZ,O,O,X,X,O,X,X,X,X,X
TJLIOZS,X,X,X,O,O,X,X,X,X,X
TJLSIZO,O,O,O,O,O,X,X,X,X,X
TJLSIOZ,O,O,O,O,O,X,X,X,X,X
TJLSZIO,O,O,O,O,O,X,X,X,X,X
TJLSZOI,O,O,O,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,O,O,X,X,X,X,X
TJLSOZI,O,O,X,O,O,X,X,X,X,X
TJLZISO,O,O,O,O,X,X,X,X,X,X
TJLZIOS,O,O,X,O,X,X,X,X,X,X
TJLZSIO,O,O,O,O,X,X,X,X,O,X
TJLZSOI,O,O,O,O,X,X,X,X,X,X
TJLZOIS,O,O,X,O,O,X,X,X,X,X
TJLZOSI,O,O,X,O,O,X,X,X,X,X
TJLOISZ,O,O,X,X,O,X,X,X,X,X
TJLOIZS,X,X,X,O,O,X,X,X,X,X
TJLOSIZ,O,O,X,X,O,X,X,X,X,X
TJLOSZI,O,O,X,X,O,X,X,X,X,X
TJLOZIS,O,O,X,O,O,X,X,X,X,X
TJLOZSI,O,O,X,O,O,X,X,X,O,X
TJSILZO,O,O,O,X,O,X,X,X,X,X
TJSILOZ,O,O,O,X,O,X,X,X,X,X
TJSIZLO,O,O,O,X,O,X,X,X,X,X
TJSIZOL,O,O,O,X,O,X,X,X,X,X
TJSIOLZ,O,O,O,X,O,X,X,X,X,X
TJSIOZL,O,O,X,X,O,X,X,X,X,X
TJSLIZO,O,O,O,O,O,X,X,X,X,X
TJSLIOZ,O,O,O,O,O,X,X,X,X,X
TJSLZIO,O,O,O,O,O,X,X,X,X,X
TJSLZOI,O,O,O,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,O,O,X,X,X,X,X
TJSLOZI,O,O,X,O,O,X,X,X,X,X
TJSZILO,O,O,O,O,O,X,X,X,X,X
TJSZIOL,O,O,O,O,O,X,X,X,X,O
TJSZLIO,O,O,O,O,O,X,X,X,X,O
TJSZLOI,O,O,O,O,O,X,X,X,X,O
TJSZOIL,O,O,O,O,O,X,X,X,X,O
TJSZOLI,O,O,O,O,O,X,X,X,X,O
TJSOILZ,O,O,O,O,O,X,X,X,X,X
TJSOIZL,O,O,X,O,O,X,X,X,X,X
TJSOLIZ,O,O,O,O,O,X,X,X,X,X
TJSOLZI,O,O,X,O,O,X,X,X,X,X
TJSOZIL,O,O,O,O,O,X,X,X,X,O
TJSOZLI,O,O,O,O,O,X,X,X,X,O
TJZILSO,O,O,O,O,X,X,O,X,X,X
TJZILOS,O,O,X,O,O,X,O,X,X,X
TJZISLO,O,O,O,O,X,X,O,X,X,X
TJZISOL,O,O,O,O,X,X,O,X,X,X
TJZIOLS,O,O,X,O,O,X,O,X,X,X
TJZIOSL,O,O,O,O,X,X,O,X,X,X
TJZLISO,O,O,O,O,X,X,X,X,X,X
TJZLIOS,O,O,X,O,X,X,X,X,X,X
TJZLSIO,O,O,O,O,X,X,X,X,X,X
TJZLSOI,O,O,O,O,X,X,X,X,X,X
TJZLOIS,O,O,X,O,O,X,X,X,X,X
TJZLOSI,O,O,X,O,O,X,X,X,X,X
TJZSILO,O,O,O,O,O,X,X,X,X,X
TJZSIOL,O,O,O,O,O,X,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,X,X,X
TJZSLOI,O,O,O,O,O,X,X,X,X,X
TJZSOIL,O,O,O,O,O,X,X,X,X,X
TJZSOLI,O,O,O,O,O,X,X,X,X,X
TJZOILS,O,O,X,O,O,X,O,X,X,X
TJZOISL,O,O,O,O,X,X,O,X,X,X
TJZOLIS,O,O,X,O,O,X,X,X,X,X
TJZOLSI,O,O,X,O,O,X,X,X,X,X
TJZOSIL,O,O,O,O,O,X,X,X,X,X
TJZOSLI,O,O,O,O,O,X,X,X,X,X
TJOILSZ,O,O,X,X,O,X,X,X,X,X
TJOILZS,X,X,X,O,O,X,X,X,X,X
TJOISLZ,O,O,O,X,O,X,X,X,X,X
TJOISZL,O,O,X,X,O,X,X,X,X,X
TJOIZLS,X,X,X,O,O,X,X,X,X,X
TJOIZSL,X,X,O,O,X,X,X,X,X,X
TJOLISZ,O,O,X,X,O,X,X,X,X,X
TJOLIZS,X,X,X,O,O,X,X,X,X,X
TJOLSIZ,O,O,X,X,O,X,X,X,X,X
TJOLSZI,O,O,X,X,O,X,X,X,X,X
TJOLZIS,O,O,X,O,O,X,X,X,X,X
TJOLZSI,O,O,X,O,O,X,X,X,O,X
TJOSILZ,O,O,O,X,O,X,X,X,X,X
TJOSIZL,O,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,O,X,O,X,X,X,X,X
TJOSLZI,O,O,X,X,O,X,X,X,X,X
TJOSZIL,O,O,O,X,O,X,X,X,X,O
TJOSZLI,O,O,O,X,O,X,X,X,X,O
TJOZILS,O,O,X,O,O,X,O,X,X,X
TJOZISL,O,O,O,O,X,X,O,X,X,X
TJOZLIS,O,O,X,O,O,X,X,X,X,X
TJOZLSI,O,O,X,O,O,X,X,X,X,X
TJOZSIL,O,O,O,O,O,X,X,X,X,X
TJOZSLI,O,O,O,O,O,X,X,X,X,X
TSILJZO,O,O,O,O,O,X,X,X,X,X
TSILJOZ,O,O,O,O,O,X,X,X,X,X
TSILZJO,O,X,O,O,O,X,X,X,X,X
TSILZOJ,O,O,X,O,O,X,X,X,X,X
TSILOJZ,O,O,O,O,O,X,X,X,X,X
TSILOZJ,O,O,X,O,O,X,X,X,X,X
TSIJLZO,O,O,O,X,O,X,X,X,X,X
TSIJLOZ,O,O,O,X,O,X,X,X,X,X
TSIJZLO,O,O,O,X,O,X,X,X,X,X
TSIJZOL,O,O,O,X,O,X,X,X,X,X
TSIJOLZ,O,O,O,X,O,X,X,X,X,X
TSIJOZL,O,O,X,X,O,X,X,X,X,X
TSIZLJO,O,O,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,O,O,X,X,X,X,X
TSIZJOL,O,O,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,O,O,X,X,X,X,X
TSIOLJZ,O,O,O,O,O,X,X,X,X,X
TSIOLZJ,O,O,X,O,O,X,X,X,X,X
TSIOJLZ,O,O,O,O,O,X,X,X,X,X
TSIOJZL,O,O,X,O,O,X,X,X,X,X
TSIOZLJ,O,O,X,O,O,X,X,X,X,X
TSIOZJL,O,O,X,O,O,X,X,X,X,X
TSLIJZO,O,O,O,O,O,X,X,X,X,X
TSLIJOZ,O,O,O,O,O,X,X,X,X,X
TSLIZJO,O,X,O,O,O,X,X,X,X,X
TSLIZOJ,O,O,X,O,O,X,X,X,X,X
TSLIOJZ,O,O,O,O,O,X,X,X,X,X
TSLIOZJ,O,O,X,O,O,X,X,X,X,X
TSLJIZO,O,O,O,O,O,X,X,X,X,X
TSLJIOZ,O,O,O,O,O,X,X,X,X,X
TSLJZIO,O,O,O,O,O,X,X,X,X,X
TSLJZOI,O,O,O,O,O,X,X,X,X,X
TSLJOIZ,O,O,O,O,O,X,X,X,X,X
TSLJOZI,O,O,X,O,O,X,X,X,X,X
TSLZIJO,O,O,O,O,O,X,X,X,X,O
TSLZIOJ,O,O,O,O,O,X,X,X,X,O
TSLZJIO,O,O,O,O,O,X,X,X,X,O
TSLZJOI,O,O,O,O,O,X,X,X,X,O
TSLZOIJ,O,O,O,O,O,X,X,X,X,O
TSLZOJI,O,O,O,O,O,X,X,X,X,O
TSLOIJZ,O,O,O,O,O,X,X,X,X,X
TSLOIZJ,O,O,X,O,O,X,X,X,X,X
TSLOJIZ,O,O,O,O,O,X,X,X,X,X
TSLOJZI,O,O,X,O,O,X,X,X,X,X
TSLOZIJ,O,O,X,O,O,X,X,X,X,O
TSLOZJI,O,O,X,O,O,X,X,X,X,O
TSJILZO,O,O,O,X,O,X,X,O,X,X
TSJILOZ,O,O,O,X,O,X,X,O,X,X
TSJIZLO,O,O,O,X,O,X,X,X,X,X
TSJIZOL,O,O,O,X,O,X,X,X,X,X
TSJIOLZ,O,O,O,X,O,X,X,O,X,X
TSJIOZL,O,O,X,X,O,X,X,X,X,X
TSJLIZO,O,O,O,O,O,X,X,O,X,X
TSJLIOZ,O,O,O,O,O,X,X,O,X,X
TSJLZIO,O,O,O,O,O,X,X,O,X,X
TSJLZOI,O,O,O,O,O,X,X,O,X,X
TSJLOIZ,O,O,O,O,O,X,X,O,X,X
TSJLOZI,O,O,X,O,O,X,X,O,X,X
TSJZILO,O,O,O,O,O,X,X,X,X,X
TSJZIOL,O,O,O,O,O,X,X,X,X,O
TSJZLIO,O,O,O,O,O,X,X,O,X,O
TSJZLOI,O,O,O,O,O,X,X,O,X,O
TSJZOIL,O,O,O,O,O,X,X,X,X,O
TSJZOLI,O,O,O,O,O,X,X,O,X,O
TSJOILZ,O,O,O,O,O,X,X,O,X,X
TSJOIZL,O,O,X,O,O,X,X,X,X,X
TSJOLIZ,O,O,O,O,O,X,X,O,X,X
TSJOLZI,O,O,X,O,O,X,X,O,X,X
TSJOZIL,O,O,O,O,O,X,X,X,X,O
TSJOZLI,O,O,O,O,O,X,X,O,X,O
TSZILJO,O,O,O,O,O,X,X,X,X,X
TSZILOJ,O,O,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,O,O,X,X,X,X,X
TSZIJOL,O,O,O,O,O,X,X,X,X,O
TSZIOLJ,O,O,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,O,O,X,X,X,X,O
TSZLIJO,O,O,O,O,O,X,X,X,X,O
TSZLIOJ,O,O,O,O,O,X,X,X,X,O
TSZLJIO,O,O,O,O,O,X,X,X,X,O
TSZLJOI,O,O,O,O,O,X,X,X,X,O
TSZLOIJ,O,O,O,O,O,X,X,X,X,O
TSZLOJI,O,O,O,O,O,X,X,X,X,O
TSZJILO,O,O,O,O,O,X,X,X,X,X
TSZJIOL,O,O,O,O,O,X,X,X,X,O
TSZJLIO,O,O,O,O,O,X,X,X,X,O
TSZJLOI,O,O,O,O,O,X,X,X,X,O
TSZJOIL,O,O,O,O,O,X,X,X,X,O
TSZJOLI,O,O,O,O,O,X,X,X,X,O
TSZOILJ,O,O,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,O,O,X,X,X,X,O
TSZOLIJ,O,O,O,O,O,X,X,X,X,O
TSZOLJI,O,O,O,O,O,X,X,X,X,O
TSZOJIL,O,O,O,O,O,X,X,X,X,O
TSZOJLI,O,O,O,O,O,X,X,X,X,O
TSOILJZ,O,O,O,O,O,X,X,X,X,X
TSOILZJ,O,O,X,O,O,X,X,X,X,X
TSOIJLZ,O,O,O,O,O,X,X,X,X,X
TSOIJZL,O,O,X,O,O,X,X,X,X,X
TSOIZLJ,O,O,X,O,O,X,X,X,X,X
TSOIZJL,O,O,X,O,O,X,X,X,X,X
