sequence,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mBXqB0qB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei6IvhFRcBckBlgB3?hBeqBzqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mB0qBXqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFFbB8gBzcBf?lBOrBSvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFXcB8hBzfBa?rBGlBVvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhF3bBzcBUlBF?mBupByvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFmcBflBlgBc?mBqqBzpB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei7IvhFOkBRhB3hBF?lBzqB0pB
TIJSOLZ,O,X,O,X,X,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X
TIJZLSO,X,X,X,X,O,O,X,X
TIJZLOS,O,X,O,X,O,O,X,X
TIJZSLO,X,X,X,O,X,O,O,X
TIJZSOL,X,X,X,O,X,O,O,X
TIJZOLS,O,X,O,X,O,O,X,X
TIJZOSL,X,X,X,O,X,O,X,X
TIJOLSZ,O,X,O,O,X,X,X,X
TIJOLZS,O,X,O,O,O,X,X,X
TIJOSLZ,O,X,O,X,X,X,X,X
TIJOSZL,O,X,X,O,X,X,X,X
TIJOZLS,O,X,O,X,O,O,X,X
TIJOZSL,X,X,X,O,X,O,X,X
TISLJZO,O,X,X,O,X,X,X,X
TISLJOZ,O,X,O,O,X,X,X,X
TISLZJO,O,X,O,O,O,X,X,X
TISLZOJ,O,X,O,O,O,X,X,X
TISLOJZ,O,X,O,X,X,X,X,X
TISLOZJ,O,X,O,O,O,X,X,X
TISJLZO,O,X,X,O,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X,X
TISJZLO,O,X,X,O,X,X,O,X
TISJZOL,O,X,X,O,X,X,O,X
TISJOLZ,O,X,O,X,X,X,X,X
TISJOZL,O,X,X,O,X,X,X,X
TISZLJO,O,X,X,O,O,O,O,X
TISZLOJ,O,X,X,O,O,O,X,X
TISZJLO,O,X,X,X,X,O,O,X
TISZJOL,O,X,X,X,X,O,O,X
TISZOLJ,O,X,X,X,O,O,X,X
TISZOJL,O,X,X,X,X,O,O,X
TISOLJZ,O,X,O,X,X,X,X,X
TISOLZJ,O,X,O,O,O,X,X,X
TISOJLZ,O,X,O,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X
TISOZLJ,O,X,X,X,O,O,X,X
TISOZJL,O,X,X,X,X,O,X,X
TIZLJSO,X,X,O,X,O,O,X,X
TIZLJOS,O,X,O,X,O,O,X,X
TIZLSJO,O,X,O,X,O,O,X,X
TIZLSOJ,O,X,O,X,O,O,X,X
TIZLOJS,O,X,O,X,O,O,X,X
TIZLOSJ,O,X,O,X,O,O,X,X
TIZJLSO,X,X,X,X,O,O,X,X
TIZJLOS,O,X,O,X,O,O,X,X
TIZJSLO,X,X,X,X,X,O,O,X
TIZJSOL,X,X,X,X,X,O,O,X
TIZJOLS,O,X,O,X,O,O,X,X
TIZJOSL,X,X,X,X,X,O,X,X
TIZSLJO,O,X,X,X,O,O,O,X
TIZSLOJ,O,X,X,X,O,O,X,X
TIZSJLO,O,X,X,X,X,O,O,X
TIZSJOL,O,X,X,X,X,O,O,X
TIZSOLJ,O,X,X,X,O,O,X,X
TIZSOJL,O,X,X,X,X,O,O,X
TIZOLJS,O,X,O,X,O,O,X,X
TIZOLSJ,O,X,O,X,O,O,X,X
TIZOJLS,O,X,O,X,O,O,X,X
TIZOJSL,X,X,X,X,X,O,X,X
TIZOSLJ,O,X,X,X,O,O,X,X
TIZOSJL,O,X,X,X,X,O,X,X
TIOLJSZ,O,X,O,X,X,X,X,X
TIOLJZS,O,X,O,X,O,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X
TIOLSZJ,O,X,O,O,O,X,X,X
TIOLZJS,O,X,O,X,O,O,X,X
TIOLZSJ,O,X,O,O,O,O,X,X
TIOJLSZ,O,X,O,O,X,X,X,X
TIOJLZS,O,X,O,O,O,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X
TIOJZLS,O,X,O,X,O,O,X,X
TIOJZSL,X,X,X,O,X,O,X,X
TIOSLJZ,O,X,O,X,X,X,X,X
TIOSLZJ,O,X,O,O,O,X,X,X
TIOSJLZ,O,X,O,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X
TIOSZLJ,O,X,X,X,O,O,X,X
TIOSZJL,O,X,X,X,X,O,X,X
TIOZLJS,O,X,O,X,O,O,X,X
TIOZLSJ,O,X,O,X,O,O,X,X
TIOZJLS,O,X,O,X,O,O,X,X
TIOZJSL,X,X,X,X,X,O,X,X
TIOZSLJ,O,X,X,X,O,O,X,X
TIOZSJL,O,X,X,X,X,O,X,X
TLIJSZO,O,X,X,O,X,X,X,X
TLIJSOZ,O,X,O,O,X,X,X,X
TLIJZSO,X,X,O,O,O,X,X,X
TLIJZOS,O,X,O,O,O,X,X,X
TLIJOSZ,O,X,O,O,X,X,X,X
TLIJOZS,O,X,O,O,O,X,X,X
TLISJZO,O,X,X,O,X,X,X,X
TLISJOZ,O,X,O,O,X,X,X,X
TLISZJO,O,X,O,O,O,X,X,X
TLISZOJ,O,X,O,O,O,X,X,X
TLISOJZ,O,X,O,X,X,X,X,X
TLISOZJ,O,X,O,O,O,X,X,X
TLIZJSO,X,X,O,X,O,O,X,X
TLIZJOS,O,X,O,X,O,O,X,X
TLIZSJO,O,X,O,O,O,O,X,X
TLIZSOJ,O,X,O,O,O,O,X,X
TLIZOJS,O,X,O,X,O,O,X,X
TLIZOSJ,O,X,O,O,O,O,X,X
TLIOJSZ,O,X,O,X,X,X,X,X
TLIOJZS,O,X,O,X,O,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X
TLIOSZJ,O,X,O,O,O,X,X,X
TLIOZJS,O,X,O,X,O,O,X,X
TLIOZSJ,O,X,O,O,O,O,X,X
TLJISZO,O,X,X,O,X,X,X,X
TLJISOZ,O,X,O,O,X,X,X,X
TLJIZSO,X,X,O,O,O,X,X,X
TLJIZOS,O,X,O,O,O,X,X,X
TLJIOSZ,O,X,O,O,X,X,X,X
TLJIOZS,O,X,O,O,O,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X
TLJSIOZ,O,X,O,O,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X
TLJSOIZ,O,X,O,O,X,X,X,X
TLJSOZI,O,X,X,O,X,X,X,X
TLJZISO,X,X,X,O,O,X,X,X
TLJZIOS,O,X,O,O,O,X,X,X
TLJZSIO,X,X,X,O,O,X,X,X
TLJZSOI,X,X,X,O,O,X,X,X
TLJZOIS,O,X,O,O,O,X,X,X
TLJZOSI,X,X,X,O,O,X,X,X
TLJOISZ,O,X,O,O,X,X,X,X
TLJOIZS,O,X,O,O,O,X,X,X
TLJOSIZ,O,X,O,O,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X
TLJOZIS,O,X,O,O,O,X,X,X
TLJOZSI,X,X,X,O,O,X,X,X
TLSIJZO,O,X,X,O,X,X,X,X
TLSIJOZ,O,X,O,O,X,X,X,X
TLSIZJO,O,X,O,O,O,X,X,X
TLSIZOJ,O,X,O,O,O,X,X,X
TLSIOJZ,O,X,O,X,X,X,X,X
TLSIOZJ,O,X,O,O,O,X,X,X
TLSJIZO,O,X,X,O,X,X,X,X
TLSJIOZ,O,X,O,O,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X
TLSJZOI,O,X,X,O,X,X,X,X
TLSJOIZ,O,X,O,O,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X
TLSZIJO,O,X,X,O,O,X,X,X
TLSZIOJ,O,X,X,O,O,X,X,X
TLSZJIO,O,X,X,O,O,X,X,X
TLSZJOI,O,X,X,O,O,X,X,X
TLSZOIJ,O,X,X,O,O,X,X,X
TLSZOJI,O,X,X,O,O,X,X,X
TLSOIJZ,O,X,O,X,X,X,X,X
TLSOIZJ,O,X,O,O,O,X,X,X
TLSOJIZ,O,X,O,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,O,X,X,X
TLSOZJI,O,X,X,O,O,X,X,X
TLZIJSO,X,X,O,X,O,O,X,X
TLZIJOS,O,X,O,X,O,O,X,X
TLZISJO,O,X,O,O,O,O,X,X
TLZISOJ,O,X,O,O,O,O,X,X
TLZIOJS,O,X,O,X,O,O,X,X
TLZIOSJ,O,X,O,O,O,O,X,X
TLZJISO,X,X,O,X,O,X,X,X
TLZJIOS,O,X,O,X,O,X,X,X
TLZJSIO,X,X,O,X,O,X,X,X
TLZJSOI,X,X,O,X,O,X,X,X
TLZJOIS,O,X,O,X,O,X,X,X
TLZJOSI,X,X,O,X,O,X,X,X
TLZSIJO,X,X,O,O,O,O,X,X
TLZSIOJ,X,X,O,O,O,O,X,X
TLZSJIO,X,X,O,O,O,X,X,X
TLZSJOI,X,X,O,O,O,X,X,X
TLZSOIJ,X,X,O,O,O,O,X,X
TLZSOJI,X,X,O,O,O,X,X,X
TLZOIJS,O,X,O,X,O,O,X,X
TLZOISJ,O,X,O,O,O,O,X,X
TLZOJIS,O,X,O,X,O,X,X,X
TLZOJSI,X,X,O,X,O,X,X,X
TLZOSIJ,X,X,O,O,O,O,X,X
TLZOSJI,X,X,O,O,O,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X
TLOIJZS,O,X,O,X,O,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X
TLOISZJ,O,X,O,O,O,X,X,X
TLOIZJS,O,X,O,X,O,O,X,X
TLOIZSJ,O,X,O,O,O,O,X,X
TLOJISZ,O,X,O,X,X,X,X,X
TLOJIZS,O,X,O,X,O,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,O,X,X,X
TLOJZSI,X,X,X,X,O,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,X
TLOSIZJ,O,X,O,O,O,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,O,X,X,X
TLOSZJI,O,X,X,O,O,X,X,X
TLOZIJS,O,X,O,X,O,O,X,X
TLOZISJ,O,X,O,O,O,O,X,X
TLOZJIS,O,X,O,X,O,X,X,X
TLOZJSI,X,X,O,X,O,X,X,X
TLOZSIJ,X,X,O,O,O,O,X,X
TLOZSJI,X,X,O,O,O,X,X,X
TJILSZO,O,X,X,O,X,X,X,X
TJILSOZ,O,X,O,O,X,X,X,X
TJILZSO,X,O,O,O,O,X,X,X
TJILZOS,O,O,O,O,O,X,X,X
TJILOSZ,O,X,O,O,X,X,X,X
TJILOZS,O,X,O,O,O,X,X,X
TJISLZO,O,O,X,X,X,X,X,X
TJISLOZ,O,X,O,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,O,X
TJISZOL,O,O,X,O,X,X,O,X
TJISOLZ,O,X,O,X,X,X,X,X
TJISOZL,O,O,X,O,X,X,X,X
TJIZLSO,X,O,X,X,O,O,X,X
TJIZLOS,O,O,O,X,O,O,X,X
TJIZSLO,X,O,X,O,X,O,O,X
TJIZSOL,X,O,X,O,X,O,O,X
TJIZOLS,O,O,O,X,O,O,X,X
TJIZOSL,X,X,X,O,X,O,X,X
TJIOLSZ,O,X,O,O,X,X,X,X
TJIOLZS,O,X,O,O,O,X,X,X
TJIOSLZ,O,X,O,X,X,X,X,X
TJIOSZL,O,X,X,O,X,X,X,X
TJIOZLS,O,O,O,X,O,O,X,X
TJIOZSL,X,X,X,O,X,O,X,X
TJLISZO,O,X,X,O,X,X,X,X
TJLISOZ,O,X,O,O,X,X,X,X
TJLIZSO,X,O,O,O,O,X,X,X
TJLIZOS,O,O,O,O,O,X,X,X
TJLIOSZ,O,X,O,O,X,X,X,X
TJLIOZS,O,X,O,O,O,X,X,X
TJLSIZO,O,O,X,O,X,X,X,X
TJLSIOZ,O,X,O,O,X,X,X,X
TJLSZIO,O,O,X,O,X,X,X,X
TJLSZOI,O,O,X,O,X,X,X,X
TJLSOIZ,O,X,O,O,X,X,X,X
TJLSOZI,O,X,X,O,X,X,X,X
TJLZISO,X,O,X,O,O,X,X,X
TJLZIOS,O,O,O,O,O,X,X,X
TJLZSIO,X,O,X,O,O,X,X,X
TJLZSOI,X,O,X,O,O,X,X,X
TJLZOIS,O,O,O,O,O,X,X,X
TJLZOSI,X,O,X,O,O,X,X,X
TJLOISZ,O,X,O,O,X,X,X,X
TJLOIZS,O,X,O,O,O,X,X,X
TJLOSIZ,O,X,O,O,X,X,X,X
TJLOSZI,O,X,X,O,X,X,X,X
TJLOZIS,O,X,O,O,O,X,X,X
TJLOZSI,X,X,X,O,O,X,X,X
TJSILZO,O,O,X,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,O,X
TJSIZOL,O,O,X,O,X,X,O,X
TJSIOLZ,O,X,O,X,X,X,X,X
TJSIOZL,O,O,X,O,X,X,X,X
TJSLIZO,O,O,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,X
TJSLZIO,O,O,X,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X,X,X
TJSZILO,O,O,X,O,X,X,O,X
TJSZIOL,O,O,X,O,X,X,O,X
TJSZLIO,O,O,X,O,X,X,O,X
TJSZLOI,O,O,X,O,X,X,X,X
TJSZOIL,O,O,X,O,X,X,O,X
TJSZOLI,O,O,X,O,X,X,X,X
TJSOILZ,O,X,O,X,X,X,X,X
TJSOIZL,O,O,X,O,X,X,X,X
TJSOLIZ,O,X,O,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X
TJZILSO,X,O,X,X,O,O,X,X
TJZILOS,O,O,O,X,O,O,X,X
TJZISLO,X,O,X,O,X,O,O,X
TJZISOL,X,O,X,O,X,O,O,X
TJZIOLS,O,O,O,X,O,O,X,X
TJZIOSL,X,X,X,O,X,O,X,X
TJZLISO,X,O,X,X,O,X,X,X
TJZLIOS,O,O,O,X,O,X,X,X
TJZLSIO,X,O,X,X,O,X,X,X
TJZLSOI,X,O,X,X,O,X,X,X
TJZLOIS,O,O,O,X,O,X,X,X
TJZLOSI,X,O,X,X,O,X,X,X
TJZSILO,O,O,X,O,X,O,O,X
TJZSIOL,O,O,X,O,X,O,O,X
TJZSLIO,O,O,X,O,X,X,O,X
TJZSLOI,O,O,X,O,X,X,X,X
TJZSOIL,O,O,X,O,X,O,O,X
TJZSOLI,O,O,X,O,X,X,X,X
TJZOILS,O,O,O,X,O,O,X,X
TJZOISL,X,O,X,O,X,O,X,X
TJZOLIS,O,O,O,X,O,X,X,X
TJZOLSI,X,O,X,X,O,X,X,X
TJZOSIL,O,O,X,O,X,O,X,X
TJZOSLI,O,O,X,O,X,X,X,X
TJOILSZ,O,X,O,O,X,X,X,O
TJOILZS,O,O,O,O,O,X,X,O
TJOISLZ,O,O,O,X,X,X,X,O
TJOISZL,O,O,X,O,X,X,X,X
TJOIZLS,O,O,O,X,O,O,X,O
TJOIZSL,X,O,X,O,X,O,X,X
TJOLISZ,O,X,O,O,X,X,X,O
TJOLIZS,O,O,O,O,O,X,X,O
TJOLSIZ,O,O,O,O,X,X,X,O
TJOLSZI,O,O,X,O,X,X,X,X
TJOLZIS,O,O,O,O,O,X,X,O
TJOLZSI,X,O,X,O,O,X,X,X
TJOSILZ,O,O,O,X,X,X,X,O
TJOSIZL,O,O,X,O,X,X,X,X
TJOSLIZ,O,O,O,X,X,X,X,O
TJOSLZI,O,O,X,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,X,X
TJOSZLI,O,O,X,O,X,X,X,X
TJOZILS,O,O,O,X,O,O,X,O
TJOZISL,X,O,X,O,X,O,X,X
TJOZLIS,O,O,O,X,O,X,X,O
TJOZLSI,X,O,X,X,O,X,X,X
TJOZSIL,O,O,X,O,X,O,X,X
TJOZSLI,O,O,X,O,X,X,X,X
TSILJZO,O,X,X,O,X,X,X,X
TSILJOZ,O,X,O,O,X,X,X,X
TSILZJO,O,X,O,O,O,X,X,X
TSILZOJ,O,X,O,O,O,X,X,X
TSILOJZ,O,X,O,X,X,X,X,X
TSILOZJ,O,X,O,O,O,X,X,X
TSIJLZO,O,X,X,O,X,X,X,X
TSIJLOZ,O,X,O,X,X,X,X,X
TSIJZLO,O,O,X,O,X,X,O,X
TSIJZOL,O,X,X,O,X,X,O,X
TSIJOLZ,O,X,O,X,X,X,X,X
TSIJOZL,O,X,X,O,X,X,X,X
TSIZLJO,O,O,X,O,O,O,O,X
TSIZLOJ,O,O,X,O,O,O,X,X
TSIZJLO,O,O,X,X,X,O,O,X
TSIZJOL,O,X,X,X,X,O,O,X
TSIZOLJ,O,X,X,X,O,O,X,X
TSIZOJL,O,X,X,X,X,O,O,X
TSIOLJZ,O,X,O,X,X,X,X,X
TSIOLZJ,O,X,O,O,O,X,X,X
TSIOJLZ,O,X,O,X,X,X,X,X
TSIOJZL,O,O,X,O,X,X,X,X
TSIOZLJ,O,O,X,X,O,O,X,X
TSIOZJL,O,X,X,X,X,O,X,X
TSLIJZO,O,X,X,O,X,X,X,X
TSLIJOZ,O,X,O,O,X,X,X,X
TSLIZJO,O,X,O,O,O,X,X,X
TSLIZOJ,O,X,O,O,O,X,X,X
TSLIOJZ,O,X,O,X,X,X,X,X
TSLIOZJ,O,X,O,O,O,X,X,X
TSLJIZO,O,X,X,O,X,X,X,X
TSLJIOZ,O,X,O,O,X,X,X,X
TSLJZIO,O,X,X,O,X,X,X,X
TSLJZOI,O,X,X,O,X,X,X,X
TSLJOIZ,O,X,O,O,X,X,X,X
TSLJOZI,O,X,X,O,X,X,X,X
TSLZIJO,O,X,X,O,O,X,X,X
TSLZIOJ,O,X,X,O,O,X,X,X
TSLZJIO,O,X,X,O,O,X,X,X
TSLZJOI,O,X,X,O,O,X,X,X
TSLZOIJ,O,X,X,O,O,X,X,X
TSLZOJI,O,X,X,O,O,X,X,X
TSLOIJZ,O,X,O,X,X,X,X,X
TSLOIZJ,O,X,O,O,O,X,X,X
TSLOJIZ,O,X,O,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X,X,X
TSLOZIJ,O,X,X,O,O,X,X,X
TSLOZJI,O,X,X,O,O,X,X,X
TSJILZO,O,O,X,O,X,X,X,X
TSJILOZ,O,X,O,X,X,X,X,X
TSJIZLO,O,O,X,O,X,X,O,X
TSJIZOL,O,O,X,O,X,X,O,X
TSJIOLZ,O,X,O,X,X,X,X,X
TSJIOZL,O,O,X,O,X,X,X,X
TSJLIZO,O,O,X,O,X,X,X,X
TSJLIOZ,O,X,O,X,X,X,X,X
TSJLZIO,O,O,X,O,X,X,X,X
TSJLZOI,O,O,X,O,X,X,X,X
TSJLOIZ,O,X,O,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X,X,X
TSJZILO,O,O,X,O,X,X,O,X
TSJZIOL,O,O,X,O,X,X,O,X
TSJZLIO,O,O,X,O,X,X,O,X
TSJZLOI,O,O,X,O,X,X,X,X
TSJZOIL,O,O,X,O,X,X,O,X
TSJZOLI,O,O,X,O,X,X,X,X
TSJOILZ,O,X,O,X,X,X,X,X
TSJOIZL,O,O,X,O,X,X,X,X
TSJOLIZ,O,X,O,X,X,X,X,X
TSJOLZI,O,X,X,X,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X
TSZILJO,O,O,X,O,O,O,O,X
TSZILOJ,O,O,X,O,O,O,X,X
TSZIJLO,O,O,X,X,X,O,O,X
TSZIJOL,O,X,X,X,X,O,O,X
TSZIOLJ,O,X,X,X,O,O,X,X
TSZIOJL,O,X,X,X,X,O,O,X
TSZLIJO,O,O,X,O,O,O,O,X
TSZLIOJ,O,O,X,O,O,O,X,X
TSZLJIO,O,O,X,O,O,X,O,X
TSZLJOI,O,O,X,O,O,X,X,X
TSZLOIJ,O,X,X,O,O,O,X,X
TSZLOJI,O,X,X,O,O,X,X,X
TSZJILO,O,O,X,X,X,O,O,X
TSZJIOL,O,O,X,X,X,O,O,X
TSZJLIO,O,O,X,X,X,X,O,X
TSZJLOI,O,O,X,X,X,X,X,X
TSZJOIL,O,O,X,X,X,O,O,X
TSZJOLI,O,O,X,X,X,X,X,X
TSZOILJ,O,O,X,X,O,O,X,X
TSZOIJL,O,X,X,X,X,O,O,X
TSZOLIJ,O,O,X,X,O,O,X,X
TSZOLJI,O,X,X,X,O,X,X,X
TSZOJIL,O,O,X,X,X,O,O,X
TSZOJLI,O,O,X,X,X,X,X,X
TSOILJZ,O,X,O,X,X,X,X,X
TSOILZJ,O,X,O,O,O,X,X,X
TSOIJLZ,O,X,O,X,X,X,X,X
TSOIJZL,O,O,X,O,X,X,X,X
TSOIZLJ,O,O,X,X,O,O,X,X
TSOIZJL,O,X,X,X,X,O,X,X
TSOLIJZ,O,X,O,X,X,X,X,X
TSOLIZJ,O,X,O,O,O,X,X,X
TSOLJIZ,O,X,O,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X,X,X
TSOLZIJ,O,X,X,O,O,X,X,X
TSOLZJI,O,X,X,O,O,X,X,X
TSOJILZ,O,O,O,X,X,X,X,X
TSOJIZL,O,O,X,O,X,X,X,X
TSOJLIZ,O,O,O,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X,X
TSOJZIL,O,O,X,O,X,X,X,X
TSOJZLI,O,O,X,O,X,X,X,X
TSOZILJ,O,O,X,X,O,O,X,X
TSOZIJL,O,X,X,X,X,O,X,X
TSOZLIJ,O,O,X,X,O,O,X,X
TSOZLJI,O,X,X,X,O,X,X,X
TSOZJIL,O,O,X,X,X,O,X,X
TSOZJLI,O,O,X,X,X,X,X,X
TZILJSO,X,X,O,X,O,O,X,X
TZILJOS,O,X,O,X,O,O,X,X
TZILSJO,O,X,O,X,O,O,X,X
TZILSOJ,O,X,O,X,O,O,X,X
TZILOJS,O,X,O,X,O,O,X,X
TZILOSJ,O,X,O,X,O,O,X,X
TZIJLSO,X,X,O,X,O,O,X,X
TZIJLOS,O,X,O,X,O,O,X,X
TZIJSLO,X,X,X,X,X,O,O,X
TZIJSOL,X,X,X,X,X,O,O,X
TZIJOLS,O,X,O,X,O,O,X,X
TZIJOSL,X,X,X,X,X,O,X,X
TZISLJO,O,X,X,X,O,O,O,X
TZISLOJ,O,X,X,X,O,O,X,X
TZISJLO,O,X,X,X,X,O,O,X
TZISJOL,O,X,X,X,X,O,O,X
TZISOLJ,O,X,X,X,O,O,X,X
TZISOJL,O,X,X,X,X,O,O,X
TZIOLJS,O,X,O,X,O,O,X,X
TZIOLSJ,O,X,O,X,O,O,X,X
TZIOJLS,O,X,O,X,O,O,X,X
TZIOJSL,X,X,X,X,X,O,X,X
TZIOSLJ,O,X,X,X,O,O,X,X
TZIOSJL,O,X,X,X,X,O,X,X
TZLIJSO,X,X,O,X,O,O,X,X
TZLIJOS,O,X,O,X,O,O,X,X
TZLISJO,O,X,O,X,O,O,X,X
TZLISOJ,O,X,O,X,O,O,X,X
TZLIOJS,O,X,O,X,O,O,X,X
TZLIOSJ,O,X,O,X,O,O,X,X
TZLJISO,X,O,O,X,O,X,X,X
TZLJIOS,O,O,O,X,O,X,X,X
TZLJSIO,X,O,O,X,O,X,X,X
TZLJSOI,X,O,O,X,O,X,X,X
TZLJOIS,O,O,O,X,O,X,X,X
TZLJOSI,X,O,O,X,O,X,X,X
TZLSIJO,X,O,O,X,O,O,X,X
TZLSIOJ,X,O,O,X,O,O,X,X
TZLSJIO,X,O,O,X,O,X,X,X
TZLSJOI,X,O,O,X,O,X,X,X
TZLSOIJ,X,X,O,X,O,O,X,X
TZLSOJI,X,X,O,X,O,X,X,X
TZLOIJS,O,X,O,X,O,O,X,X
TZLOISJ,O,X,O,X,O,O,X,X
TZLOJIS,O,O,O,X,O,X,X,X
TZLOJSI,X,O,O,X,O,X,X,X
TZLOSIJ,X,O,O,X,O,O,X,X
TZLOSJI,X,X,O,X,O,X,X,X
TZJILSO,X,O,O,X,O,O,X,X
TZJILOS,O,O,O,X,O,O,X,X
TZJISLO,X,O,X,X,X,O,O,X
TZJISOL,X,O,X,X,X,O,O,X
TZJIOLS,O,O,O,X,O,O,X,X
TZJIOSL,X,X,X,X,X,O,X,X
TZJLISO,X,O,O,X,O,X,X,X
TZJLIOS,O,O,O,X,O,X,X,X
TZJLSIO,X,O,O,X,O,X,X,X
TZJLSOI,X,O,O,X,O,X,X,X
TZJLOIS,O,O,O,X,O,X,X,X
TZJLOSI,X,O,O,X,O,X,X,X
TZJSILO,O,O,X,X,X,O,O,X
TZJSIOL,O,O,X,X,X,O,O,X
TZJSLIO,O,O,O,X,X,X,O,X
TZJSLOI,O,O,O,X,X,X,X,X
