sequence,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je2/IvhFRbBCeB?UhBTjBFlB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je2/IvhFRbBCeB?TjBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jei6IvhFzdB+jB?RgBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFRbBGeB?igBUjBFmBTqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jem7IvhFfjB6jB?xfB0fBFmBTqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jei6IvhFWjBRgB?TjBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFzbBGeB?UjBxlBlqBaqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFCeBZlB?TjBFmB8lBGqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jez7IvhFSjBlfB?UjBxlBmkB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jex6IvhF8gBzdB?+jBlfBKqBXrB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8JeWDJvhFxfBVmB?0fBTjBilB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8JeKBJvhFWjBxfB?lfBclBTjB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFCeBTjB?xlB2qB8qBFqB
TJSLZIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TJSLZOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TJSLOIZ,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSLOZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,O,X,O,O,O,O,O,X,X,X,O,X,X
TJSZIOL,O,X,O,O,X,X,O,X,X,O,O,X,X
TJSZLIO,O,X,O,O,O,X,O,X,X,O,X,X,X
TJSZLOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TJSZOIL,O,X,O,O,X,X,O,X,X,O,X,X,X
TJSZOLI,O,X,O,O,X,X,X,X,X,O,X,X,X
TJSOILZ,O,X,X,X,O,X,X,O,X,X,O,X,X
TJSOIZL,O,X,X,X,X,X,X,O,X,X,O,X,X
TJSOLIZ,O,X,X,X,O,X,X,O,X,O,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X,X,O,X,X,X
TJSOZLI,O,X,O,X,X,X,X,X,X,O,X,X,X
TJZILSO,O,O,O,O,X,O,O,X,X,X,X,X,X
TJZILOS,O,O,O,X,X,O,O,X,X,X,O,X,X
TJZISLO,O,O,O,O,O,O,O,X,X,X,X,X,X
TJZISOL,O,O,O,O,X,X,O,X,X,X,O,X,X
TJZIOLS,O,O,O,X,X,O,O,X,X,X,O,X,X
TJZIOSL,O,O,O,X,X,X,O,X,X,X,O,X,X
TJZLISO,O,O,O,O,X,O,O,X,X,X,X,X,X
TJZLIOS,O,O,O,X,X,O,O,X,X,X,X,X,X
TJZLSIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TJZLSOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TJZLOIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,O,O,O,X,X,X,X,X,O,X,X,X
TJZSILO,O,O,O,O,O,O,O,X,X,X,O,X,X
TJZSIOL,O,O,O,O,X,X,O,X,X,X,O,X,X
TJZSLIO,O,O,O,O,O,X,O,X,X,X,X,X,X
TJZSLOI,X,X,O,O,X,X,X,X,X,X,X,X,X
TJZSOIL,O,O,O,O,X,X,O,X,X,X,X,X,X
TJZSOLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TJZOILS,O,O,O,X,X,O,O,X,X,X,X,X,X
TJZOISL,O,O,O,X,X,X,O,X,X,X,X,X,X
TJZOLIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZOLSI,O,O,O,O,X,X,X,X,X,O,X,X,X
TJZOSIL,O,O,O,O,X,X,O,X,X,X,X,X,X
TJZOSLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TJOILSZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TJOILZS,O,O,X,X,X,X,X,X,X,X,O,X,X
TJOISLZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,O,X,X,O,X,X
TJOIZLS,O,X,O,X,X,X,X,X,X,X,O,X,X
TJOIZSL,O,X,O,X,X,X,X,X,X,X,O,X,X
TJOLISZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TJOLIZS,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJOLZIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,O,O,X,X,X,X,X,X,O,X,X,X
TJOSILZ,O,X,X,X,O,X,X,O,X,X,O,X,X
TJOSIZL,O,X,X,X,X,X,X,O,X,X,O,X,X
TJOSLIZ,O,X,X,X,O,X,X,O,X,O,X,X,X
TJOSLZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJOSZIL,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOSZLI,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOZILS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJOZISL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJOZLIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TJOZLSI,O,O,O,X,X,X,X,X,X,O,X,X,X
TJOZSIL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X,X,X,X,X,X,X
TSILJZO,O,X,X,O,O,X,X,X,X,X,O,O,X
TSILJOZ,O,X,X,X,O,X,X,X,O,X,O,O,X
TSILZJO,X,X,X,O,O,X,O,X,X,X,X,X,X
TSILZOJ,X,X,X,O,X,X,O,X,O,X,X,X,X
TSILOJZ,X,X,X,X,O,X,X,O,O,X,X,X,X
TSILOZJ,X,X,X,O,X,X,O,O,O,X,X,X,X
