sequence,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhF3gBzhBGjByqBUo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBemBzhBfoB6o?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBUiBGjBTlBfs?BVyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFzgBUiBFjB2qBfs?BSyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBmhBCjBXmBTo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFUhBFiBXjBTlBSt?BmrB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBymBziB+oBXm?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBFiB8nB+oBTl?BfsB
TISOLZJ,O,O,O,X,O,X,X,X
TISOJLZ,X,X,O,X,X,X,X,O
TISOJZL,X,X,O,X,X,X,X,O
TISOZLJ,O,O,O,X,O,X,X,X
TISOZJL,O,O,O,X,O,X,X,X
TIZLJSO,O,O,O,X,O,X,O,X
TIZLJOS,O,O,X,X,O,X,O,X
TIZLSJO,O,O,O,X,O,X,O,X
TIZLSOJ,O,O,O,X,X,X,X,X
TIZLOJS,O,X,X,X,O,X,O,X
TIZLOSJ,O,X,X,X,O,X,X,X
TIZJLSO,O,O,O,X,O,X,O,X
TIZJLOS,O,O,X,X,O,X,O,X
TIZJSLO,O,O,O,X,O,X,O,X
TIZJSOL,O,O,O,X,O,X,O,X
TIZJOLS,O,O,O,X,O,X,O,X
TIZJOSL,O,O,O,X,O,X,O,X
TIZSLJO,O,O,O,X,O,X,O,X
TIZSLOJ,O,O,O,X,O,X,X,X
TIZSJLO,O,O,O,X,O,X,O,X
TIZSJOL,O,O,O,X,O,X,O,X
TIZSOLJ,O,O,O,X,O,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X
TIZOLJS,O,X,O,X,O,X,O,X
TIZOLSJ,O,X,O,X,O,X,X,X
TIZOJLS,O,O,O,X,O,X,O,X
TIZOJSL,O,O,O,X,O,X,O,X
TIZOSLJ,O,O,O,X,O,X,X,X
TIZOSJL,O,O,O,X,O,X,X,X
TIOLJSZ,O,X,O,X,X,O,O,O
TIOLJZS,O,X,O,X,O,O,O,O
TIOLSJZ,O,X,O,X,X,O,X,O
TIOLSZJ,O,X,O,X,O,O,X,X
TIOLZJS,O,X,O,X,O,O,O,X
TIOLZSJ,O,X,O,X,O,O,X,X
TIOJLSZ,O,X,O,X,X,O,O,O
TIOJLZS,O,X,O,X,O,O,O,O
TIOJSLZ,X,X,O,X,X,O,O,O
TIOJSZL,X,X,O,X,X,O,O,O
TIOJZLS,O,X,O,X,O,O,O,O
TIOJZSL,O,X,O,X,O,O,O,O
TIOSLJZ,O,X,O,X,X,X,X,O
TIOSLZJ,O,O,O,X,O,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,O
TIOSJZL,X,X,O,X,X,X,X,O
TIOSZLJ,O,O,O,X,O,X,X,X
TIOSZJL,O,O,O,X,O,X,X,X
TIOZLJS,O,X,O,X,O,O,O,X
TIOZLSJ,O,X,O,X,O,O,X,X
TIOZJLS,O,O,O,X,O,O,O,X
TIOZJSL,O,O,O,X,O,O,O,X
TIOZSLJ,O,O,O,X,O,O,X,X
TIOZSJL,O,O,O,X,O,X,X,X
TLIJSZO,O,X,O,O,X,O,O,O
TLIJSOZ,O,X,O,O,X,O,O,X
TLIJZSO,O,X,O,O,O,O,O,O
TLIJZOS,O,X,X,O,O,O,O,X
TLIJOSZ,O,X,O,O,X,O,O,X
TLIJOZS,O,X,O,O,X,O,O,X
TLISJZO,O,O,O,O,X,O,O,O
TLISJOZ,O,X,O,O,X,O,O,X
TLISZJO,O,O,O,O,O,O,O,X
TLISZOJ,O,O,O,O,X,O,X,X
TLISOJZ,O,X,O,O,X,O,X,X
TLISOZJ,O,O,O,O,X,O,X,X
TLIZJSO,O,O,O,O,O,X,O,X
TLIZJOS,O,O,X,O,O,X,O,X
TLIZSJO,O,O,O,O,O,X,O,X
TLIZSOJ,O,O,O,O,X,X,X,X
TLIZOJS,O,X,X,X,O,X,O,X
TLIZOSJ,O,X,X,X,O,X,X,X
TLIOJSZ,O,X,O,O,X,O,O,X
TLIOJZS,O,X,O,O,O,O,O,X
TLIOSJZ,O,X,O,O,X,O,X,X
TLIOSZJ,O,X,O,O,O,O,X,X
TLIOZJS,O,X,O,X,O,O,O,X
TLIOZSJ,O,X,O,X,O,O,X,X
TLJISZO,O,X,O,O,X,O,O,O
TLJISOZ,O,X,O,O,X,O,O,X
TLJIZSO,O,X,O,O,O,O,O,O
TLJIZOS,O,X,X,O,O,O,O,X
TLJIOSZ,O,X,O,O,X,O,O,X
TLJIOZS,O,X,O,O,X,O,O,X
TLJSIZO,O,X,O,O,X,O,O,O
TLJSIOZ,O,X,O,O,X,O,O,X
TLJSZIO,O,X,O,O,X,O,O,O
TLJSZOI,O,X,O,O,X,O,O,O
TLJSOIZ,O,X,O,O,X,O,O,X
TLJSOZI,O,X,O,O,X,O,O,X
TLJZISO,O,X,O,O,O,O,O,O
TLJZIOS,O,X,X,O,O,O,O,X
TLJZSIO,O,X,O,O,O,O,O,O
TLJZSOI,O,X,O,O,X,O,O,O
TLJZOIS,O,X,X,O,O,O,O,X
TLJZOSI,O,X,X,O,X,O,O,X
TLJOISZ,O,X,O,O,X,O,O,X
TLJOIZS,O,X,O,O,X,O,O,X
TLJOSIZ,O,X,O,O,X,O,O,X
TLJOSZI,O,X,O,O,X,O,O,X
TLJOZIS,O,X,O,O,X,O,O,X
TLJOZSI,O,X,O,O,X,O,O,X
TLSIJZO,O,O,O,O,X,O,O,O
TLSIJOZ,O,X,O,O,X,O,O,X
TLSIZJO,O,O,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,X,O,X,X
TLSIOJZ,O,X,O,O,X,O,X,X
TLSIOZJ,O,O,O,O,X,O,X,X
TLSJIZO,O,O,O,O,X,O,O,O
TLSJIOZ,O,X,O,O,X,O,O,X
TLSJZIO,O,O,O,O,X,O,O,O
TLSJZOI,O,O,O,O,X,O,O,O
TLSJOIZ,O,X,O,O,X,O,O,X
TLSJOZI,O,X,O,O,X,O,O,X
TLSZIJO,O,O,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,X,O,X,X
TLSZJIO,O,O,O,O,O,O,O,X
TLSZJOI,O,O,O,O,X,O,O,X
TLSZOIJ,O,O,O,O,X,O,X,X
TLSZOJI,O,O,O,O,X,O,X,X
TLSOIJZ,O,X,O,O,X,O,X,X
TLSOIZJ,O,O,O,O,X,O,X,X
TLSOJIZ,O,X,O,O,X,O,X,X
TLSOJZI,O,X,O,O,X,O,X,X
TLSOZIJ,O,O,O,O,X,O,X,X
TLSOZJI,O,O,O,O,X,O,X,X
TLZIJSO,O,O,O,O,O,X,O,X
TLZIJOS,O,O,X,O,O,X,O,X
TLZISJO,O,O,O,O,O,X,O,X
TLZISOJ,O,O,O,O,X,X,X,X
TLZIOJS,O,X,X,X,O,X,O,X
TLZIOSJ,O,X,X,X,O,X,X,X
TLZJISO,O,O,O,O,O,X,O,X
TLZJIOS,O,O,X,O,O,X,O,X
TLZJSIO,O,O,O,O,O,X,O,X
TLZJSOI,O,O,O,O,X,X,O,X
TLZJOIS,O,O,X,O,O,X,O,X
TLZJOSI,O,O,X,O,O,X,O,X
TLZSIJO,O,O,O,O,O,X,O,X
TLZSIOJ,O,O,O,O,X,X,X,X
TLZSJIO,O,O,O,O,O,X,O,X
TLZSJOI,O,O,O,O,X,X,O,X
TLZSOIJ,O,O,O,O,X,X,X,X
TLZSOJI,O,O,O,O,X,X,X,X
TLZOIJS,O,X,X,X,O,X,O,X
TLZOISJ,O,X,X,X,O,X,X,X
TLZOJIS,O,X,X,X,O,X,O,X
TLZOJSI,O,X,X,X,O,X,O,X
TLZOSIJ,O,X,X,X,O,X,X,X
TLZOSJI,O,X,X,X,O,X,X,X
TLOIJSZ,O,X,O,O,X,O,O,X
TLOIJZS,O,X,O,O,O,O,O,X
TLOISJZ,O,X,O,O,X,O,X,X
TLOISZJ,O,X,O,O,O,O,X,X
TLOIZJS,O,X,O,X,O,O,O,X
TLOIZSJ,O,X,O,X,O,O,X,X
TLOJISZ,O,X,O,O,X,O,O,X
TLOJIZS,O,X,O,O,O,O,O,X
TLOJSIZ,O,X,O,O,X,O,O,X
TLOJSZI,O,X,O,O,X,O,O,X
TLOJZIS,O,X,O,O,O,O,O,X
TLOJZSI,O,X,O,O,O,O,O,X
TLOSIJZ,O,X,O,O,X,O,X,X
TLOSIZJ,O,X,O,O,O,O,X,X
TLOSJIZ,O,X,O,O,X,O,X,X
TLOSJZI,O,X,O,O,X,O,X,X
TLOSZIJ,O,X,O,O,O,O,X,X
TLOSZJI,O,X,O,O,O,O,X,X
TLOZIJS,O,X,O,X,O,O,O,X
TLOZISJ,O,X,O,X,O,O,X,X
TLOZJIS,O,X,O,X,O,O,O,X
TLOZJSI,O,X,O,X,O,O,O,X
TLOZSIJ,O,X,O,X,O,O,X,X
TLOZSJI,O,X,O,X,O,O,X,X
TJILSZO,O,X,O,O,X,O,O,O
TJILSOZ,O,X,O,O,X,O,O,X
TJILZSO,O,X,O,O,O,O,O,O
TJILZOS,O,X,X,O,O,O,O,X
TJILOSZ,O,X,O,O,X,O,O,X
TJILOZS,O,X,O,O,X,O,O,X
TJISLZO,X,O,O,O,X,O,O,O
TJISLOZ,X,X,O,O,X,O,O,X
TJISZLO,X,O,O,O,X,O,O,O
TJISZOL,X,O,O,O,X,X,O,O
TJISOLZ,X,X,O,O,X,X,O,O
TJISOZL,X,X,O,O,X,X,O,O
TJIZLSO,O,O,O,X,O,O,O,O
TJIZLOS,O,O,X,X,O,O,O,X
TJIZSLO,O,O,O,X,O,O,O,O
TJIZSOL,O,O,O,X,O,X,O,O
TJIZOLS,O,O,O,X,O,O,O,O
TJIZOSL,O,O,O,X,O,X,O,O
TJIOLSZ,O,X,O,O,X,O,O,O
TJIOLZS,O,X,O,O,O,O,O,O
TJIOSLZ,X,X,O,O,X,X,O,O
TJIOSZL,X,X,O,O,X,X,O,O
TJIOZLS,O,X,O,X,O,O,O,O
TJIOZSL,O,X,O,X,O,X,O,O
TJLISZO,O,X,O,O,X,O,O,O
TJLISOZ,O,X,O,O,X,O,O,X
TJLIZSO,O,X,O,O,O,O,O,O
TJLIZOS,O,X,X,O,O,O,O,X
TJLIOSZ,O,X,O,O,X,O,O,X
TJLIOZS,O,X,O,O,X,O,O,X
TJLSIZO,O,X,O,O,X,O,O,O
TJLSIOZ,O,X,O,O,X,O,O,X
TJLSZIO,O,X,O,O,X,O,O,O
TJLSZOI,O,X,O,O,X,O,O,O
TJLSOIZ,O,X,O,O,X,O,O,X
TJLSOZI,O,X,O,O,X,O,O,X
TJLZISO,O,X,O,O,O,O,O,O
TJLZIOS,O,X,X,O,O,O,O,X
TJLZSIO,O,X,O,O,O,O,O,O
TJLZSOI,O,X,O,O,X,O,O,O
TJLZOIS,O,X,X,O,O,O,O,X
TJLZOSI,O,X,X,O,X,O,O,X
TJLOISZ,O,X,O,O,X,O,O,X
TJLOIZS,O,X,O,O,X,O,O,X
TJLOSIZ,O,X,O,O,X,O,O,X
TJLOSZI,O,X,O,O,X,O,O,X
TJLOZIS,O,X,O,O,X,O,O,X
TJLOZSI,O,X,O,O,X,O,O,X
TJSILZO,X,O,O,O,X,O,O,O
TJSILOZ,X,X,O,O,X,O,O,X
TJSIZLO,X,O,O,O,X,O,O,O
TJSIZOL,X,O,O,O,X,X,O,O
TJSIOLZ,X,X,O,O,X,X,O,O
TJSIOZL,X,X,O,O,X,X,O,O
TJSLIZO,X,O,O,O,X,O,O,O
TJSLIOZ,X,X,O,O,X,O,O,X
TJSLZIO,X,O,O,O,X,O,O,O
TJSLZOI,X,O,O,O,X,O,O,O
TJSLOIZ,X,X,O,O,X,O,O,X
TJSLOZI,X,X,O,O,X,O,O,X
TJSZILO,X,O,O,O,X,O,O,O
TJSZIOL,X,O,O,O,X,X,O,O
TJSZLIO,X,O,O,O,X,O,O,O
TJSZLOI,X,O,O,O,X,O,O,O
TJSZOIL,X,O,O,O,X,X,O,O
TJSZOLI,X,O,O,O,X,X,O,O
TJSOILZ,X,X,O,O,X,X,O,O
TJSOIZL,X,X,O,O,X,X,O,O
TJSOLIZ,X,X,O,O,X,X,O,O
TJSOLZI,X,X,O,O,X,X,O,O
TJSOZIL,X,X,O,O,X,X,O,O
TJSOZLI,X,X,O,O,X,X,O,O
TJZILSO,O,O,O,X,O,O,O,O
TJZILOS,O,O,X,X,O,O,O,X
TJZISLO,O,O,O,X,O,O,O,O
TJZISOL,O,O,O,X,O,X,O,O
TJZIOLS,O,O,O,X,O,O,O,O
TJZIOSL,O,O,O,X,O,X,O,O
TJZLISO,O,O,O,X,O,O,O,O
TJZLIOS,O,O,X,X,O,O,O,X
TJZLSIO,O,O,O,X,O,O,O,O
TJZLSOI,O,O,O,X,X,O,O,O
TJZLOIS,O,O,X,X,O,O,O,X
TJZLOSI,O,O,X,X,O,O,O,X
TJZSILO,O,O,O,X,O,O,O,O
TJZSIOL,O,O,O,X,O,X,O,O
TJZSLIO,O,O,O,X,O,O,O,O
TJZSLOI,O,O,O,X,X,O,O,O
TJZSOIL,O,O,O,X,O,X,O,O
TJZSOLI,O,O,O,X,O,X,O,O
TJZOILS,O,O,O,X,O,O,O,O
TJZOISL,O,O,O,X,O,X,O,O
TJZOLIS,O,O,O,X,O,O,O,O
TJZOLSI,O,O,O,X,O,O,O,O
TJZOSIL,O,O,O,X,O,X,O,O
TJZOSLI,O,O,O,X,O,X,O,O
TJOILSZ,O,X,O,O,X,O,O,O
TJOILZS,O,X,O,O,O,O,O,O
TJOISLZ,X,X,O,O,X,X,O,O
TJOISZL,X,X,O,O,X,X,O,O
TJOIZLS,O,X,O,X,O,O,O,O
TJOIZSL,O,X,O,X,O,X,O,O
TJOLISZ,O,X,O,O,X,O,O,O
TJOLIZS,O,X,O,O,O,O,O,O
TJOLSIZ,O,X,O,O,X,O,O,O
TJOLSZI,O,X,O,O,X,O,O,O
TJOLZIS,O,X,O,O,O,O,O,O
TJOLZSI,O,X,O,O,O,O,O,O
TJOSILZ,X,X,O,O,X,X,O,O
TJOSIZL,X,X,O,O,X,X,O,O
TJOSLIZ,X,X,O,O,X,X,O,O
TJOSLZI,X,X,O,O,X,X,O,O
TJOSZIL,X,X,O,O,X,X,O,O
TJOSZLI,X,X,O,O,X,X,O,O
TJOZILS,O,X,O,X,O,O,O,O
TJOZISL,O,X,O,X,O,X,O,O
TJOZLIS,O,X,O,X,O,O,O,O
TJOZLSI,O,X,O,X,O,O,O,O
TJOZSIL,O,X,O,X,O,X,O,O
TJOZSLI,O,X,O,X,O,X,O,O
TSILJZO,O,O,O,O,X,X,O,O
TSILJOZ,O,X,O,O,X,X,O,X
TSILZJO,O,O,O,O,O,X,O,X
TSILZOJ,O,O,O,O,X,X,X,X
TSILOJZ,O,X,O,O,X,X,X,X
TSILOZJ,O,O,O,O,X,X,X,X
TSIJLZO,X,O,O,O,X,X,O,O
TSIJLOZ,X,X,O,O,X,X,O,X
TSIJZLO,X,O,O,O,X,X,O,O
TSIJZOL,X,O,O,O,X,X,O,O
TSIJOLZ,X,X,O,O,X,X,O,O
TSIJOZL,X,X,O,O,X,X,O,O
TSIZLJO,O,O,O,O,O,X,O,X
TSIZLOJ,O,O,O,O,X,X,X,X
TSIZJLO,O,O,O,O,O,X,O,X
TSIZJOL,O,O,O,O,O,X,O,X
TSIZOLJ,O,O,O,X,O,X,X,X
TSIZOJL,O,O,O,O,O,X,X,X
TSIOLJZ,O,X,O,X,X,X,X,O
TSIOLZJ,O,O,O,X,O,X,X,X
TSIOJLZ,X,X,O,X,X,X,X,O
TSIOJZL,X,X,O,X,X,X,X,O
TSIOZLJ,O,O,O,X,O,X,X,X
TSIOZJL,O,O,O,X,O,X,X,X
TSLIJZO,O,O,O,O,X,X,O,O
TSLIJOZ,O,X,O,O,X,X,O,X
TSLIZJO,O,O,O,O,O,X,O,X
TSLIZOJ,O,O,O,O,X,X,X,X
TSLIOJZ,O,X,O,O,X,X,X,X
TSLIOZJ,O,O,O,O,X,X,X,X
TSLJIZO,O,O,O,O,X,X,O,O
TSLJIOZ,O,X,O,O,X,X,O,X
TSLJZIO,O,O,O,O,X,X,O,O
TSLJZOI,O,O,O,O,X,X,O,O
TSLJOIZ,O,X,O,O,X,X,O,X
TSLJOZI,O,X,O,O,X,X,O,X
TSLZIJO,O,O,O,O,O,X,O,X
TSLZIOJ,O,O,O,O,X,X,X,X
TSLZJIO,O,O,O,O,O,X,O,X
TSLZJOI,O,O,O,O,X,X,O,X
TSLZOIJ,O,O,O,O,X,X,X,X
TSLZOJI,O,O,O,O,X,X,X,X
TSLOIJZ,O,X,O,O,X,X,X,X
TSLOIZJ,O,O,O,O,X,X,X,X
TSLOJIZ,O,X,O,O,X,X,X,X
TSLOJZI,O,X,O,O,X,X,X,X
TSLOZIJ,O,O,O,O,X,X,X,X
TSLOZJI,O,O,O,O,X,X,X,X
TSJILZO,X,O,O,O,X,X,O,O
TSJILOZ,X,X,O,O,X,X,O,X
TSJIZLO,X,O,O,O,X,X,O,O
TSJIZOL,X,O,O,O,X,X,O,O
TSJIOLZ,X,X,O,O,X,X,O,O
TSJIOZL,X,X,O,O,X,X,O,O
TSJLIZO,X,O,O,O,X,X,O,O
TSJLIOZ,X,X,O,O,X,X,O,X
TSJLZIO,X,O,O,O,X,X,O,O
TSJLZOI,X,O,O,O,X,X,O,O
TSJLOIZ,X,X,O,O,X,X,O,X
TSJLOZI,X,X,O,O,X,X,O,X
TSJZILO,X,O,O,O,X,X,O,O
TSJZIOL,X,O,O,O,X,X,O,O
TSJZLIO,X,O,O,O,X,X,O,O
TSJZLOI,X,O,O,O,X,X,O,O
TSJZOIL,X,O,O,O,X,X,O,O
TSJZOLI,X,O,O,O,X,X,O,O
TSJOILZ,X,X,O,O,X,X,O,O
TSJOIZL,X,X,O,O,X,X,O,O
TSJOLIZ,X,X,O,O,X,X,O,O
TSJOLZI,X,X,O,O,X,X,O,O
TSJOZIL,X,X,O,O,X,X,O,O
TSJOZLI,X,X,O,O,X,X,O,O
TSZILJO,O,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,X,X,X,X
TSZIJLO,O,O,O,O,O,X,O,X
TSZIJOL,O,O,O,O,O,X,O,X
TSZIOLJ,O,O,O,X,O,X,X,X
TSZIOJL,O,O,O,O,O,X,X,X
TSZLIJO,O,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,O,X,X,X,X
TSZLJIO,O,O,O,O,O,X,O,X
TSZLJOI,O,O,O,O,X,X,O,X
TSZLOIJ,O,O,O,O,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,X
TSZJILO,O,O,O,O,O,X,O,X
TSZJIOL,O,O,O,O,O,X,O,X
TSZJLIO,O,O,O,O,O,X,O,X
TSZJLOI,O,O,O,O,X,X,O,X
TSZJOIL,O,O,O,O,O,X,O,X
TSZJOLI,O,O,O,O,O,X,O,X
TSZOILJ,O,O,O,X,O,X,X,X
TSZOIJL,O,O,O,O,O,X,X,X
TSZOLIJ,O,O,O,X,O,X,X,X
TSZOLJI,O,O,O,X,O,X,X,X
TSZOJIL,O,O,O,O,O,X,X,X
TSZOJLI,O,O,O,O,O,X,X,X
TSOILJZ,O,X,O,X,X,X,X,O
TSOILZJ,O,O,O,X,O,X,X,X
TSOIJLZ,X,X,O,X,X,X,X,O
TSOIJZL,X,X,O,X,X,X,X,O
TSOIZLJ,O,O,O,X,O,X,X,X
TSOIZJL,O,O,O,X,O,X,X,X
TSOLIJZ,O,X,O,X,X,X,X,O
TSOLIZJ,O,O,O,X,O,X,X,X
TSOLJIZ,O,X,O,X,X,X,X,O
TSOLJZI,O,X,O,X,X,X,X,O
TSOLZIJ,O,O,O,X,O,X,X,X
TSOLZJI,O,O,O,X,O,X,X,X
TSOJILZ,X,X,O,X,X,X,X,O
TSOJIZL,X,X,O,X,X,X,X,O
TSOJLIZ,X,X,O,X,X,X,X,O
TSOJLZI,X,X,O,X,X,X,X,O
TSOJZIL,X,X,O,X,X,X,X,O
TSOJZLI,X,X,O,X,X,X,X,O
TSOZILJ,O,O,O,X,O,X,X,X
TSOZIJL,O,O,O,X,O,X,X,X
TSOZLIJ,O,O,O,X,O,X,X,X
TSOZLJI,O,O,O,X,O,X,X,X
TSOZJIL,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,X,O,X,X,X
TZILJSO,O,O,O,X,O,X,O,X
TZILJOS,O,O,X,X,O,X,O,X
TZILSJO,O,O,O,X,O,X,O,X
TZILSOJ,O,O,O,X,X,X,X,X
TZILOJS,O,X,X,X,O,X,O,X
TZILOSJ,O,X,X,X,O,X,X,X
TZIJLSO,O,O,O,X,O,X,O,X
TZIJLOS,O,O,X,X,O,X,O,X
TZIJSLO,O,O,O,X,O,X,O,X
TZIJSOL,O,O,O,X,O,X,O,X
TZIJOLS,O,O,O,X,O,X,O,X
TZIJOSL,O,O,O,X,O,X,O,X
TZISLJO,O,O,O,X,O,X,O,X
TZISLOJ,O,O,O,X,O,X,X,X
TZISJLO,O,O,O,X,O,X,O,X
TZISJOL,O,O,O,X,O,X,O,X
TZISOLJ,O,O,O,X,O,X,X,X
TZISOJL,O,O,O,X,O,X,X,X
TZIOLJS,O,X,O,X,O,X,O,X
TZIOLSJ,O,X,O,X,O,X,X,X
TZIOJLS,O,O,O,X,O,X,O,X
TZIOJSL,O,O,O,X,O,X,O,X
TZIOSLJ,O,O,O,X,O,X,X,X
TZIOSJL,O,O,O,X,O,X,X,X
TZLIJSO,O,O,O,X,O,X,O,X
TZLIJOS,O,O,X,X,O,X,O,X
TZLISJO,O,O,O,X,O,X,O,X
TZLISOJ,O,O,O,X,X,X,X,X
TZLIOJS,O,X,X,X,O,X,O,X
TZLIOSJ,O,X,X,X,O,X,X,X
TZLJISO,O,O,O,X,O,X,O,X
TZLJIOS,O,O,X,X,O,X,O,X
TZLJSIO,O,O,O,X,O,X,O,X
TZLJSOI,O,O,O,X,X,X,O,X
TZLJOIS,O,O,X,X,O,X,O,X
TZLJOSI,O,O,X,X,O,X,O,X
TZLSIJO,O,O,O,X,O,X,O,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,X,O,X,O,X
TZLSJOI,O,O,O,X,X,X,O,X
TZLSOIJ,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X,X
TZLOIJS,O,X,X,X,O,X,O,X
TZLOISJ,O,X,X,X,O,X,X,X
TZLOJIS,O,X,X,X,O,X,O,X
TZLOJSI,O,X,X,X,O,X,O,X
TZLOSIJ,O,X,X,X,O,X,X,X
TZLOSJI,O,X,X,X,O,X,X,X
TZJILSO,O,O,O,X,O,X,O,X
TZJILOS,O,O,X,X,O,X,O,X
TZJISLO,O,O,O,X,O,X,O,X
TZJISOL,O,O,O,X,O,X,O,X
TZJIOLS,O,O,O,X,O,X,O,X
TZJIOSL,O,O,O,X,O,X,O,X
TZJLISO,O,O,O,X,O,X,O,X
TZJLIOS,O,O,X,X,O,X,O,X
TZJLSIO,O,O,O,X,O,X,O,X
TZJLSOI,O,O,O,X,X,X,O,X
TZJLOIS,O,O,X,X,O,X,O,X
TZJLOSI,O,O,X,X,O,X,O,X
TZJSILO,O,O,O,X,O,X,O,X
TZJSIOL,O,O,O,X,O,X,O,X
TZJSLIO,O,O,O,X,O,X,O,X
TZJSLOI,O,O,O,X,X,X,O,X
TZJSOIL,O,O,O,X,O,X,O,X
TZJSOLI,O,O,O,X,O,X,O,X
TZJOILS,O,O,O,X,O,X,O,X
TZJOISL,O,O,O,X,O,X,O,X
