sequence,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhB8hBCjBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFzcBWjBUhBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFicB3hBunBcoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFldB3hBOmBcoBCs?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBxdBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeBmgB1rBUt?BSxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeB6rBmlBcs?BVyB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFTeB3hBqnBFmB8r?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhF8hBCeBmgBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFXdBUhBFoBxrBWx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFSjB3hBFmB8rBzn?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFZhBldBqrBfnBco?BWyB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBTeBUhBxrBVy?BXsB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFxdB3hB2rBCoBVy?B0rB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFCdBxiBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdB0mBmlBFoBSx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhBCeB1rBXoB8r?BxxB
TIJZSOL,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIJZOLS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJZOSL,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJOZLS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJOZSL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISLJZO,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TISLJOZ,X,X,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X
TISLZJO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X
TISLZOJ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TISLOJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TISLOZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TISJLZO,X,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
TISJLOZ,X,X,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X
TISJZLO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TISJZOL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TISJOZL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TISZLOJ,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TISZJOL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZOLJ,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOLJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TISOLZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TISOJLZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TISOJZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOZJL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TIZLSOJ,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZJLSO,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TIZSLOJ,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TIZSJLO,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TIZSJOL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZSOLJ,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOLSJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLZJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJZLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSLZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOSJLZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZJL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSZO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIJZSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIJZOS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLISJZO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLIZJSO,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TLIZJOS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIZSJO,O,O,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X
TLIZSOJ,O,O,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X
TLIZOJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLIOZJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLJISZO,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJIZOS,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJSIZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJSZOI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJSOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLJZISO,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
TLJZIOS,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJZSIO,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJZOSI,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLJOZIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJOZSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TLSIJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSIZJO,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TLSIZOJ,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSIOZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSJIZO,X,X,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X
TLSJIOZ,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X
TLSJZIO,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSJZOI,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLSJOZI,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLSZIJO,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X
TLSZIOJ,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X
TLSZJIO,X,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TLSZJOI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TLSZOIJ,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X
TLSZOJI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOIZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSOJIZ,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLSOJZI,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLSOZIJ,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X
TLSOZJI,O,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TLZIJSO,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
TLZIJOS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TLZISJO,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X
TLZISOJ,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
TLZIOJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TLZJISO,X,O,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X
TLZJIOS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TLZJSIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X
TLZJSOI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TLZJOIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TLZJOSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLZSIJO,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X
TLZSIOJ,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
TLZSJIO,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X
TLZSJOI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLZSOIJ,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
TLZSOJI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLZOIJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZOISJ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TLZOJIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TLZOJSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLZOSIJ,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
TLZOSJI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLOIJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLOIZJS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLOJISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLOJZIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOJZSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOSIZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLOSJIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOSJZI,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X
TLOSZJI,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOZIJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOZISJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOZJIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOZSJI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZSO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJILZOS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISLZO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJISZLO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJISZOL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJISOLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJIZLSO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJIZLOS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIZSLO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJIZSOL,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJIZOLS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIZOSL,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJIOZLS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIOZSL,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLISZO,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TJLIZSO,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TJLIZOS,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJLSIZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TJLSZOI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TJLSOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TJLZISO,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
TJLZIOS,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJLZSIO,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJLZSOI,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJLZOIS,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJLZOSI,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TJLOZIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLOZSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TJSILOZ,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TJSIZLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
