sequence,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF5hBKiBzdB8?lB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdB0gBFnBG?rB3sBirB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF8iBlhBzlB2?sBCnBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdB6lB/mBU?iB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF5hByiB8lBT?iB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdBmgBUiBf?rBqrBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF8iBlhBzlBR?sBywBGsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeKCJvhFzdBlgBRrB3?sBcrBGrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeX9IvhF8iBlgBTmB2?sBCmBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhFuhB8lBliBy?rBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeaCJvhFzdBxgBUhBf?rB1sBWxB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je8CJvhFlgB3hB2sBz?lBCnBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeG8IvhFidBlgB0nBR?rBTrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Jei8IvhF0gBfnBliBW?rBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JefCJvhFmdBlgBqnB0?mBzlBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JelAJvhFUiBXmBznBG?mBinBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeF8IvhFXdB8iB6lBT?mB2sBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFyiBlgBTiBR?rB3sBUrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JexAJvhFiiBzgBumB1?sBUrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je39IvhFlgBxmBumB8?sBzlBywB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je8BJvhFlgB3iB2rBC?mBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFyiBlgBXnBz?lB0nBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je2CJvhFlgBcmBXnBC?mBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhF3dBSmBOsBl?lB8sBTrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdBlgBGrBi?sBcrB/sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFKiBlgBznBR?rBUrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeSCJvhFlgBxmBeoBz?lB3rBUsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeWCJvhFlgBxmB8sBz?lB3rBisB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeSCJvhFlgBxmBeoBz?lBUsB3rB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je38IvhF6lBliBmmBU?mBznBxwB
TIZOSJL,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOLJZS,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
TLIJSOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TLIJZSO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
TLIJZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TLIJOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLISJZO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O
TLISJOZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLISZJO,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
TLISZOJ,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TLISOZJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLIZJOS,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
