sequence,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBcjBGhBT?iBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF2hBRdBcjBS?nBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFuiBcjBRhBz?hBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Je2AJvhFRcBCeBzhBX?jB0rBlsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBGeBRiB1?rB8sBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF/hBUdBOoBC?jBxrBVxB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFGdBTeBRnBF?mB8rB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jex7IvhFTeBCnB8sBm?lBFnBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBXiBusBc?oBFmBzrB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBfnBxiBu?sBFoB0rB
TJZLIOS,O,O,O,O,O,X,X,X,X,X
TJZLSIO,O,O,O,O,O,X,X,X,X,X
TJZLSOI,O,O,O,O,O,X,X,X,X,X
TJZLOIS,O,O,O,O,O,X,X,X,X,X
TJZLOSI,O,O,X,O,O,X,X,X,X,X
TJZSILO,O,O,O,O,O,X,X,X,X,O
TJZSIOL,O,O,O,O,O,X,X,X,X,O
TJZSLIO,O,O,O,O,O,X,X,X,X,O
TJZSLOI,O,O,O,O,O,X,X,X,X,O
TJZSOIL,O,O,O,O,O,X,X,X,X,O
TJZSOLI,O,O,O,O,O,X,X,X,X,O
TJZOILS,O,O,O,O,O,X,X,X,X,X
TJZOISL,O,O,X,O,O,X,X,X,X,X
TJZOLIS,O,O,O,O,O,X,X,X,X,X
TJZOLSI,O,O,X,O,O,X,X,X,X,X
TJZOSIL,O,O,X,O,O,X,X,X,X,O
TJZOSLI,O,O,X,O,O,X,X,X,X,O
TJOILSZ,X,X,X,O,O,O,X,X,X,X
TJOILZS,O,O,X,X,O,X,X,X,X,X
TJOISLZ,X,O,X,O,O,O,X,X,X,X
TJOISZL,X,O,X,O,X,O,X,X,X,X
TJOIZLS,O,O,X,O,O,X,X,X,X,X
TJOIZSL,O,O,X,O,O,O,X,X,X,X
TJOLISZ,X,X,X,O,O,X,X,X,X,X
TJOLIZS,O,O,X,X,O,X,X,X,X,X
TJOLSIZ,O,O,X,O,O,X,X,X,X,X
TJOLSZI,O,O,X,O,O,X,X,X,O,X
TJOLZIS,O,O,X,X,O,X,X,X,X,X
TJOLZSI,O,O,X,X,O,X,X,X,X,X
TJOSILZ,O,O,X,O,O,O,X,X,O,X
TJOSIZL,O,O,X,O,X,O,X,X,O,X
TJOSLIZ,O,O,X,O,O,X,X,X,O,X
TJOSLZI,O,O,X,O,O,X,X,X,O,X
TJOSZIL,O,O,X,O,O,X,X,X,O,X
TJOSZLI,O,O,X,O,O,X,X,X,O,X
TJOZILS,O,O,X,O,O,X,X,X,X,X
TJOZISL,O,O,X,O,O,X,X,X,X,X
TJOZLIS,O,O,X,O,O,X,X,X,X,X
TJOZLSI,O,O,X,O,O,X,X,X,X,X
