sequence,v115@EhD8EeE8DeF8BeG8Jem6IvhFFcBxdB0fBqlB3hBzpB,v115@EhD8EeE8DeF8BeG8JeT6IvhF/gB1hBUhBxiBupBiqB,v115@EhD8EeE8DeF8BeG8JeT6IvhF0cBxdBigBWqBFmBXqB,v115@EhD8EeE8DeF8BeG8Je//IvhFUbBxdBlhBmlBCmBzpB,v115@EhD8EeE8DeF8BeG8Jem6IvhFxdB0fBfmBlhBCmBzpB,v115@EhD8EeE8DeF8BeG8Jey/IvhFxdBulB3hB0fBFmBzpB
TSZJOIL,X,X,O,O,O,X
TSZJOLI,X,X,O,O,O,X
TSZOILJ,O,X,X,X,O,X
TSZOIJL,X,X,O,O,O,X
TSZOLIJ,O,X,X,X,O,X
TSZOLJI,O,X,X,X,O,X
TSZOJIL,X,X,O,O,O,X
TSZOJLI,X,X,O,O,O,X
TSOILJZ,O,O,X,O,X,O
TSOILZJ,O,O,X,O,O,X
TSOIJLZ,O,O,O,O,X,O
TSOIJZL,X,O,O,O,O,X
TSOIZLJ,O,X,X,O,O,X
TSOIZJL,X,X,O,O,O,X
TSOLIJZ,O,O,X,O,X,O
TSOLIZJ,O,O,X,O,O,X
TSOLJIZ,O,O,X,O,X,O
TSOLJZI,O,O,X,O,X,O
TSOLZIJ,O,O,X,O,O,X
TSOLZJI,O,O,X,O,O,X
TSOJILZ,O,O,O,O,X,O
TSOJIZL,X,O,O,O,O,X
TSOJLIZ,O,O,O,O,X,O
TSOJLZI,O,O,O,O,X,O
TSOJZIL,X,O,O,O,O,X
TSOJZLI,X,O,O,O,O,X
TSOZILJ,O,X,X,O,O,X
TSOZIJL,X,X,O,O,O,X
TSOZLIJ,O,X,X,O,O,X
TSOZLJI,O,X,X,O,O,X
TSOZJIL,X,X,O,O,O,X
TSOZJLI,X,X,O,O,O,X
TZILJSO,O,O,X,X,X,X
TZILJOS,O,O,O,X,X,X
TZILSJO,O,X,X,X,O,X
TZILSOJ,O,O,X,X,X,X
TZILOJS,O,X,O,X,X,X
TZILOSJ,X,O,X,X,X,X
TZIJLSO,O,O,O,X,X,X
TZIJLOS,O,O,O,X,X,X
TZIJSLO,X,X,X,O,O,X
TZIJSOL,X,O,O,O,O,X
TZIJOLS,X,O,O,X,X,X
TZIJOSL,X,O,O,X,X,X
TZISLJO,O,X,X,O,O,X
TZISLOJ,O,X,X,X,X,X
TZISJLO,X,X,X,O,O,X
TZISJOL,X,X,O,O,O,X
TZISOLJ,X,X,X,X,O,X
TZISOJL,X,X,O,O,O,X
TZIOLJS,X,X,O,X,X,X
TZIOLSJ,X,O,X,X,X,X
TZIOJLS,X,O,O,X,X,X
TZIOJSL,X,O,O,O,X,X
TZIOSLJ,X,X,X,O,O,X
TZIOSJL,X,X,O,O,O,X
TZLIJSO,O,O,X,X,X,X
TZLIJOS,O,O,O,X,X,X
TZLISJO,O,X,X,X,O,X
TZLISOJ,O,O,X,X,X,X
TZLIOJS,O,X,O,X,X,X
TZLIOSJ,X,O,X,X,X,X
TZLJISO,O,O,X,X,X,X
TZLJIOS,O,O,O,X,X,X
TZLJSIO,O,O,X,X,X,X
TZLJSOI,O,O,X,X,X,X
TZLJOIS,O,O,O,X,X,X
TZLJOSI,X,O,O,X,X,X
TZLSIJO,O,X,X,X,O,X
TZLSIOJ,O,O,X,X,X,X
TZLSJIO,O,X,X,X,O,X
TZLSJOI,O,X,X,X,O,X
TZLSOIJ,O,O,X,X,X,X
TZLSOJI,O,O,X,X,X,X
TZLOIJS,O,X,O,X,X,X
TZLOISJ,X,O,X,X,X,X
TZLOJIS,O,X,O,X,X,X
TZLOJSI,X,X,O,X,X,X
TZLOSIJ,X,O,X,X,X,X
TZLOSJI,X,O,X,X,X,X
TZJILSO,O,O,O,X,X,X
TZJILOS,O,O,O,X,X,X
TZJISLO,X,X,X,O,O,X
TZJISOL,X,O,O,O,O,X
TZJIOLS,X,O,O,X,X,X
TZJIOSL,X,O,O,X,X,X
TZJLISO,O,O,O,X,X,X
TZJLIOS,O,O,O,X,X,X
TZJLSIO,O,O,O,X,X,X
TZJLSOI,O,O,O,X,X,X
TZJLOIS,O,O,O,X,X,X
TZJLOSI,X,O,O,X,X,X
TZJSILO,X,X,X,O,O,X
TZJSIOL,X,O,O,O,O,X
TZJSLIO,X,X,X,O,O,X
TZJSLOI,X,X,X,O,O,X
TZJSOIL,X,O,O,O,O,X
TZJSOLI,X,O,O,O,O,X
TZJOILS,X,O,O,X,X,X
TZJOISL,X,O,O,X,X,X
TZJOLIS,X,O,O,X,X,X
TZJOLSI,X,O,O,X,X,X
TZJOSIL,X,O,O,X,X,X
TZJOSLI,X,O,O,X,X,X
TZSILJO,O,X,X,O,O,X
TZSILOJ,O,X,X,X,X,X
TZSIJLO,X,X,X,O,O,X
TZSIJOL,X,X,O,O,O,X
TZSIOLJ,X,X,X,X,O,X
TZSIOJL,X,X,O,O,O,X
TZSLIJO,O,X,X,O,O,X
