sequence,v115@EhD8EeE8DeF8BeG8Jem6IvhFFcBxdB0fBqlB3hBzpB,v115@EhD8EeE8DeF8BeG8JeT6IvhF/gB1hBUhBxiBupBiqB,v115@EhD8EeE8DeF8BeG8JeT6IvhF0cBxdBigBWqBFmBXqB,v115@EhD8EeE8DeF8BeG8Je//IvhFUbBxdBlhBmlBCmBzpB,v115@EhD8EeE8DeF8BeG8Jem6IvhFxdB0fBfmBlhBCmBzpB,v115@EhD8EeE8DeF8BeG8Jey/IvhFxdBulB3hB0fBFmBzpB
IZOSJLT,O,X,X,O,O,O
IOTLJSZ,X,O,O,O,X,O
IOTLJZS,O,O,O,X,X,X
IOTLSJZ,O,O,X,O,X,O
IOTLSZJ,O,O,X,O,O,X
IOTLZJS,O,X,O,X,X,X
IOTLZSJ,O,O,X,X,X,X
IOTJLSZ,X,O,O,O,X,O
IOTJLZS,X,O,O,X,X,X
IOTJSLZ,X,O,O,O,X,O
IOTJSZL,X,O,O,O,O,X
IOTJZLS,X,O,O,X,X,X
IOTJZSL,X,O,O,O,X,X
IOTSLJZ,O,O,X,O,X,O
IOTSLZJ,O,O,X,O,O,X
IOTSJLZ,O,O,O,O,X,O
IOTSJZL,X,O,O,O,O,X
IOTSZLJ,O,X,X,O,O,X
IOTSZJL,X,X,O,O,O,X
IOTZLJS,O,X,O,X,X,X
IOTZLSJ,O,O,X,X,X,X
IOTZJLS,O,O,O,X,X,X
IOTZJSL,X,O,O,O,O,X
IOTZSLJ,O,X,X,O,O,X
IOTZSJL,X,X,O,O,O,X
IOLTJSZ,X,O,O,O,X,O
IOLTJZS,O,O,O,X,X,X
IOLTSJZ,O,O,X,O,X,O
IOLTSZJ,O,O,X,O,O,X
IOLTZJS,O,X,O,X,X,X
IOLTZSJ,O,O,X,X,X,X
IOLJTSZ,X,O,O,O,X,O
IOLJTZS,O,O,O,X,X,X
IOLJSTZ,O,O,X,O,X,O
IOLJSZT,O,O,X,O,X,O
IOLJZTS,O,O,O,X,X,X
IOLJZST,O,O,X,X,X,O
IOLSTJZ,O,O,X,O,X,O
IOLSTZJ,O,O,X,O,O,X
IOLSJTZ,O,O,X,O,X,O
IOLSJZT,O,X,X,O,X,O
IOLSZTJ,O,O,X,O,O,X
IOLSZJT,O,X,X,O,O,O
IOLZTJS,O,X,O,X,X,X
IOLZTSJ,O,O,X,X,X,X
IOLZJTS,O,X,O,X,X,X
IOLZJST,O,X,X,X,O,O
IOLZSTJ,O,O,X,X,O,X
IOLZSJT,O,X,X,X,O,O
IOJTLSZ,X,O,O,O,X,O
IOJTLZS,X,O,O,X,X,X
IOJTSLZ,X,O,O,O,X,O
IOJTSZL,X,O,O,O,O,X
IOJTZLS,X,O,O,X,X,X
IOJTZSL,X,O,O,O,X,X
IOJLTSZ,X,O,O,O,X,O
IOJLTZS,O,O,O,X,X,X
IOJLSTZ,O,O,X,O,X,O
IOJLSZT,O,X,X,O,X,O
IOJLZTS,O,X,O,X,X,X
IOJLZST,O,X,X,X,X,O
IOJSTLZ,O,O,O,O,X,O
IOJSTZL,X,O,O,O,O,X
IOJSLTZ,O,O,X,O,X,O
IOJSLZT,O,X,X,O,X,O
IOJSZTL,X,O,O,O,O,X
IOJSZLT,O,X,X,O,O,O
IOJZTLS,O,O,O,X,X,X
IOJZTSL,X,O,O,O,O,X
IOJZLTS,O,X,O,X,X,X
IOJZLST,O,X,X,X,O,O
IOJZSTL,X,O,O,O,O,X
IOJZSLT,O,X,X,O,O,O
IOSTLJZ,O,O,X,O,X,O
IOSTLZJ,O,O,X,O,O,X
IOSTJLZ,O,O,O,O,X,O
IOSTJZL,X,O,O,O,O,X
IOSTZLJ,O,X,X,O,O,X
IOSTZJL,X,X,O,O,O,X
IOSLTJZ,O,O,X,O,X,O
IOSLTZJ,O,O,X,O,O,X
IOSLJTZ,O,O,X,O,X,O
IOSLJZT,O,X,X,O,X,O
IOSLZTJ,O,O,X,O,O,X
IOSLZJT,O,X,X,O,O,O
IOSJTLZ,O,O,O,O,X,O
IOSJTZL,X,O,O,O,O,X
IOSJLTZ,O,O,X,O,X,O
IOSJLZT,O,X,X,O,X,O
IOSJZTL,X,O,O,O,O,X
IOSJZLT,O,X,X,O,O,O
IOSZTLJ,O,X,X,O,O,X
IOSZTJL,X,X,O,O,O,X
IOSZLTJ,O,X,X,O,O,X
IOSZLJT,O,X,X,O,O,O
IOSZJTL,X,X,O,O,O,X
IOSZJLT,O,X,X,O,O,O
IOZTLJS,O,X,O,X,X,X
IOZTLSJ,O,O,X,X,X,X
IOZTJLS,O,O,O,X,X,X
IOZTJSL,X,O,O,O,O,X
IOZTSLJ,O,X,X,O,O,X
IOZTSJL,X,X,O,O,O,X
IOZLTJS,O,X,O,X,X,X
IOZLTSJ,O,O,X,X,X,X
IOZLJTS,O,X,O,X,X,X
IOZLJST,O,X,X,X,O,O
IOZLSTJ,O,O,X,X,O,X
IOZLSJT,O,X,X,X,O,O
IOZJTLS,O,O,O,X,X,X
IOZJTSL,X,O,O,O,O,X
IOZJLTS,O,X,O,X,X,X
IOZJLST,O,X,X,X,O,O
IOZJSTL,X,O,O,O,O,X
IOZJSLT,O,X,X,O,O,O
IOZSTLJ,O,X,X,O,O,X
IOZSTJL,X,X,O,O,O,X
IOZSLTJ,O,X,X,O,O,X
IOZSLJT,O,X,X,O,O,O
IOZSJTL,X,X,O,O,O,X
IOZSJLT,O,X,X,O,O,O
LTIJSZO,X,O,O,O,X,O
LTIJSOZ,X,O,O,X,X,X
LTIJZSO,O,O,O,X,X,X
LTIJZOS,O,O,O,X,X,X
LTIJOSZ,X,O,O,X,X,X
LTIJOZS,O,O,O,X,X,X
LTISJZO,O,O,X,O,X,O
LTISJOZ,O,O,X,X,X,X
LTISZJO,O,X,X,O,O,X
LTISZOJ,O,O,X,X,X,X
LTISOJZ,O,O,X,X,X,X
LTISOZJ,O,O,X,X,O,X
LTIZJSO,O,O,X,X,X,X
LTIZJOS,O,O,O,X,X,X
LTIZSJO,O,X,X,X,O,X
LTIZSOJ,O,O,X,X,X,X
LTIZOJS,O,X,O,X,X,X
LTIZOSJ,O,O,X,X,X,X
LTIOJSZ,X,O,O,O,X,O
LTIOJZS,O,O,O,X,X,X
LTIOSJZ,O,O,X,O,X,O
LTIOSZJ,O,O,X,O,O,X
LTIOZJS,O,X,O,X,X,X
LTIOZSJ,O,O,X,X,X,X
LTJISZO,X,O,O,O,X,O
LTJISOZ,X,O,O,X,X,X
LTJIZSO,O,O,O,X,X,X
LTJIZOS,O,O,O,X,X,X
LTJIOSZ,X,O,O,X,X,X
LTJIOZS,O,O,O,X,X,X
LTJSIZO,X,O,O,O,X,O
LTJSIOZ,X,O,O,X,X,X
LTJSZIO,X,O,O,O,X,O
LTJSZOI,X,O,O,O,X,O
LTJSOIZ,X,O,O,X,X,X
LTJSOZI,X,O,O,X,X,X
LTJZISO,O,O,O,X,X,X
LTJZIOS,O,O,O,X,X,X
LTJZSIO,O,O,O,X,X,X
LTJZSOI,X,O,O,X,X,X
LTJZOIS,O,O,O,X,X,X
LTJZOSI,X,O,O,X,X,X
LTJOISZ,X,O,O,X,X,X
LTJOIZS,O,O,O,X,X,X
LTJOSIZ,X,O,O,X,X,X
LTJOSZI,X,O,O,X,X,X
LTJOZIS,O,O,O,X,X,X
LTJOZSI,O,O,O,X,X,X
LTSIJZO,O,O,X,O,X,O
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,O,X,X,O,O,X
LTSIZOJ,O,O,X,X,X,X
LTSIOJZ,O,O,X,X,X,X
LTSIOZJ,O,O,X,X,O,X
LTSJIZO,O,O,X,O,X,O
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,O,X,O,X,O
LTSJZOI,O,O,X,O,X,O
LTSJOIZ,O,O,X,X,X,X
LTSJOZI,O,O,X,X,X,X
LTSZIJO,O,X,X,O,O,X
LTSZIOJ,O,O,X,X,X,X
LTSZJIO,O,X,X,O,O,X
LTSZJOI,O,X,X,O,O,X
LTSZOIJ,O,O,X,X,X,X
LTSZOJI,O,O,X,X,X,X
LTSOIJZ,O,O,X,X,X,X
LTSOIZJ,O,O,X,X,O,X
LTSOJIZ,O,O,X,X,X,X
LTSOJZI,O,O,X,X,X,X
LTSOZIJ,O,O,X,X,O,X
LTSOZJI,O,O,X,X,O,X
LTZIJSO,O,O,X,X,X,X
LTZIJOS,O,O,O,X,X,X
LTZISJO,O,X,X,X,O,X
LTZISOJ,O,O,X,X,X,X
LTZIOJS,O,X,O,X,X,X
LTZIOSJ,O,O,X,X,X,X
LTZJISO,O,O,X,X,X,X
LTZJIOS,O,O,O,X,X,X
LTZJSIO,O,O,X,X,X,X
LTZJSOI,O,O,X,X,X,X
LTZJOIS,O,O,O,X,X,X
LTZJOSI,X,O,O,X,X,X
LTZSIJO,O,X,X,X,O,X
LTZSIOJ,O,O,X,X,X,X
LTZSJIO,O,X,X,X,O,X
LTZSJOI,O,X,X,X,O,X
LTZSOIJ,O,O,X,X,X,X
LTZSOJI,O,O,X,X,X,X
LTZOIJS,O,X,O,X,X,X
LTZOISJ,O,O,X,X,X,X
LTZOJIS,O,X,O,X,X,X
LTZOJSI,O,X,O,X,X,X
LTZOSIJ,O,O,X,X,X,X
LTZOSJI,O,O,X,X,X,X
LTOIJSZ,X,O,O,O,X,O
LTOIJZS,O,O,O,X,X,X
LTOISJZ,O,O,X,O,X,O
LTOISZJ,O,O,X,O,O,X
LTOIZJS,O,X,O,X,X,X
LTOIZSJ,O,O,X,X,X,X
LTOJISZ,X,O,O,O,X,O
LTOJIZS,O,O,O,X,X,X
LTOJSIZ,X,O,O,O,X,O
LTOJSZI,X,O,O,O,X,O
LTOJZIS,O,O,O,X,X,X
LTOJZSI,O,O,O,X,X,X
LTOSIJZ,O,O,X,O,X,O
LTOSIZJ,O,O,X,O,O,X
LTOSJIZ,O,O,X,O,X,O
LTOSJZI,O,O,X,O,X,O
LTOSZIJ,O,O,X,O,O,X
LTOSZJI,O,O,X,O,O,X
LTOZIJS,O,X,O,X,X,X
LTOZISJ,O,O,X,X,X,X
LTOZJIS,O,X,O,X,X,X
LTOZJSI,O,X,O,X,X,X
LTOZSIJ,O,O,X,X,X,X
LTOZSJI,O,O,X,X,X,X
LITJSZO,X,O,O,O,X,O
LITJSOZ,X,O,O,X,X,X
LITJZSO,O,O,O,X,X,X
LITJZOS,O,O,O,X,X,X
LITJOSZ,X,O,O,X,X,X
LITJOZS,O,O,O,X,X,X
LITSJZO,O,O,X,O,X,O
LITSJOZ,O,O,X,X,X,X
LITSZJO,O,X,X,O,O,X
LITSZOJ,O,O,X,X,X,X
LITSOJZ,O,O,X,X,X,X
LITSOZJ,O,O,X,X,O,X
LITZJSO,O,O,X,X,X,X
LITZJOS,O,O,O,X,X,X
LITZSJO,O,X,X,X,O,X
LITZSOJ,O,O,X,X,X,X
LITZOJS,O,X,O,X,X,X
LITZOSJ,O,O,X,X,X,X
LITOJSZ,X,O,O,O,X,O
LITOJZS,O,O,O,X,X,X
LITOSJZ,O,O,X,O,X,O
LITOSZJ,O,O,X,O,O,X
LITOZJS,O,X,O,X,X,X
LITOZSJ,O,O,X,X,X,X
LIJTSZO,X,O,O,O,X,O
LIJTSOZ,X,O,O,X,X,X
LIJTZSO,O,O,O,X,X,X
LIJTZOS,O,O,O,X,X,X
LIJTOSZ,X,O,O,X,X,X
LIJTOZS,O,O,O,X,X,X
LIJSTZO,O,O,X,O,X,O
LIJSTOZ,O,O,X,X,X,X
LIJSZTO,O,O,X,O,X,O
LIJSZOT,O,O,X,X,X,O
LIJSOTZ,O,O,X,X,X,O
LIJSOZT,O,O,X,X,X,O
LIJZTSO,O,O,X,X,X,X
LIJZTOS,O,O,O,X,X,X
LIJZSTO,O,O,X,X,X,O
LIJZSOT,O,O,X,X,X,O
LIJZOTS,O,O,O,X,X,X
LIJZOST,O,O,X,X,X,X
LIJOTSZ,X,O,O,X,X,O
LIJOTZS,O,O,O,X,X,X
LIJOSTZ,O,O,X,X,X,O
LIJOSZT,O,O,X,X,X,O
LIJOZTS,O,O,O,X,X,X
LIJOZST,O,O,X,X,X,O
LISTJZO,O,O,X,O,X,O
LISTJOZ,O,O,X,X,X,X
LISTZJO,O,X,X,O,O,X
LISTZOJ,O,O,X,X,X,X
LISTOJZ,O,O,X,X,X,X
LISTOZJ,O,O,X,X,O,X
LISJTZO,O,O,X,O,X,O
LISJTOZ,O,O,X,X,X,X
LISJZTO,O,O,X,O,X,O
LISJZOT,O,O,X,X,X,O
LISJOTZ,O,O,X,X,X,O
LISJOZT,O,O,X,X,X,O
LISZTJO,O,X,X,O,O,X
LISZTOJ,O,O,X,X,X,X
LISZJTO,O,X,X,O,O,O
LISZJOT,O,X,X,X,X,O
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,X,X,X,X,X
LISOTJZ,O,O,X,X,X,O
LISOTZJ,O,O,X,X,O,X
LISOJTZ,O,O,X,X,X,O
LISOJZT,O,X,X,X,X,O
LISOZTJ,O,O,X,X,O,X
LISOZJT,O,X,X,X,O,O
LIZTJSO,O,O,X,X,X,X
LIZTJOS,O,O,O,X,X,X
LIZTSJO,O,X,X,X,O,X
LIZTSOJ,O,O,X,X,X,X
LIZTOJS,O,X,O,X,X,X
LIZTOSJ,O,O,X,X,X,X
LIZJTSO,O,O,X,X,X,X
LIZJTOS,O,O,O,X,X,X
LIZJSTO,O,O,X,X,O,O
LIZJSOT,O,O,X,X,X,O
LIZJOTS,O,O,O,X,X,X
LIZJOST,O,O,X,X,X,X
LIZSTJO,O,X,X,X,O,X
LIZSTOJ,O,O,X,X,X,X
LIZSJTO,O,X,X,X,O,O
LIZSJOT,O,X,X,X,X,O
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,O,X,X,X,X,X
LIZOTJS,O,X,O,X,X,X
LIZOTSJ,O,O,X,X,X,X
LIZOJTS,O,X,O,X,X,X
LIZOJST,O,X,X,X,X,O
LIZOSTJ,O,O,X,X,X,X
LIZOSJT,O,X,X,X,X,O
LIOTJSZ,X,O,O,O,X,O
LIOTJZS,O,O,O,X,X,X
LIOTSJZ,O,O,X,O,X,O
LIOTSZJ,O,O,X,O,O,X
LIOTZJS,O,X,O,X,X,X
LIOTZSJ,O,O,X,X,X,X
LIOJTSZ,X,O,O,O,X,O
LIOJTZS,O,O,O,X,X,X
LIOJSTZ,O,O,X,O,X,O
LIOJSZT,O,O,X,O,X,O
LIOJZTS,O,O,O,X,X,X
LIOJZST,O,O,X,X,X,O
LIOSTJZ,O,O,X,O,X,O
LIOSTZJ,O,O,X,O,O,X
LIOSJTZ,O,O,X,O,X,O
LIOSJZT,O,X,X,O,X,O
LIOSZTJ,O,O,X,O,O,X
LIOSZJT,O,X,X,O,O,O
LIOZTJS,O,X,O,X,X,X
LIOZTSJ,O,O,X,X,X,X
LIOZJTS,O,X,O,X,X,X
LIOZJST,O,X,X,X,O,O
LIOZSTJ,O,O,X,X,O,X
LIOZSJT,O,X,X,X,O,O
LJTISZO,X,O,O,O,X,O
LJTISOZ,X,O,O,X,X,X
LJTIZSO,O,O,O,X,X,X
LJTIZOS,O,O,O,X,X,X
LJTIOSZ,X,O,O,X,X,X
LJTIOZS,O,O,O,X,X,X
LJTSIZO,X,O,O,O,X,O
LJTSIOZ,X,O,O,X,X,X
LJTSZIO,X,O,O,O,X,O
LJTSZOI,X,O,O,O,X,O
LJTSOIZ,X,O,O,X,X,X
LJTSOZI,X,O,O,X,X,X
LJTZISO,O,O,O,X,X,X
LJTZIOS,O,O,O,X,X,X
LJTZSIO,O,O,O,X,X,X
LJTZSOI,X,O,O,X,X,X
LJTZOIS,O,O,O,X,X,X
LJTZOSI,X,O,O,X,X,X
LJTOISZ,X,O,O,X,X,X
LJTOIZS,O,O,O,X,X,X
LJTOSIZ,X,O,O,X,X,X
LJTOSZI,X,O,O,X,X,X
LJTOZIS,O,O,O,X,X,X
LJTOZSI,O,O,O,X,X,X
LJITSZO,X,O,O,O,X,O
LJITSOZ,X,O,O,X,X,X
LJITZSO,O,O,O,X,X,X
LJITZOS,O,O,O,X,X,X
LJITOSZ,X,O,O,X,X,X
LJITOZS,O,O,O,X,X,X
LJISTZO,O,O,X,O,X,O
LJISTOZ,O,O,X,X,X,X
LJISZTO,O,O,X,O,X,O
LJISZOT,O,O,X,X,X,O
LJISOTZ,O,O,X,X,X,O
LJISOZT,O,O,X,X,X,O
LJIZTSO,O,O,X,X,X,X
LJIZTOS,O,O,O,X,X,X
LJIZSTO,O,O,X,X,X,O
LJIZSOT,O,O,X,X,X,O
LJIZOTS,O,O,O,X,X,X
LJIZOST,O,O,X,X,X,X
LJIOTSZ,X,O,O,X,X,O
LJIOTZS,O,O,O,X,X,X
LJIOSTZ,O,O,X,X,X,O
LJIOSZT,O,O,X,X,X,O
LJIOZTS,O,O,O,X,X,X
LJIOZST,O,O,X,X,X,O
LJSTIZO,O,O,X,O,X,O
LJSTIOZ,O,O,X,X,X,X
LJSTZIO,O,O,X,O,X,O
LJSTZOI,O,O,X,O,X,O
LJSTOIZ,O,O,X,X,X,X
LJSTOZI,O,O,X,X,X,X
LJSITZO,O,O,X,O,X,O
LJSITOZ,O,O,X,X,X,X
LJSIZTO,O,O,X,O,X,O
LJSIZOT,O,O,X,X,X,O
LJSIOTZ,O,O,X,X,X,O
LJSIOZT,O,O,X,X,X,O
LJSZTIO,O,O,X,O,X,O
LJSZTOI,O,O,X,O,X,O
LJSZITO,O,O,X,O,X,O
LJSZIOT,O,O,X,X,X,O
LJSZOTI,O,O,X,X,X,O
LJSZOIT,O,O,X,X,X,O
LJSOTIZ,O,O,X,X,X,O
LJSOTZI,O,O,X,X,X,O
LJSOITZ,O,O,X,X,X,O
LJSOIZT,O,O,X,X,X,O
LJSOZTI,O,O,X,X,X,O
LJSOZIT,O,O,X,X,X,O
LJZTISO,O,O,X,X,X,X
LJZTIOS,O,O,O,X,X,X
LJZTSIO,O,O,X,X,X,X
LJZTSOI,O,O,X,X,X,X
LJZTOIS,O,O,O,X,X,X
LJZTOSI,X,O,O,X,X,X
LJZITSO,O,O,X,X,X,X
LJZITOS,O,O,O,X,X,X
LJZISTO,O,O,X,X,X,O
LJZISOT,O,O,X,X,X,O
LJZIOTS,O,O,O,X,X,X
LJZIOST,O,O,X,X,X,X
LJZSTIO,O,O,X,X,X,O
LJZSTOI,O,O,X,X,X,O
LJZSITO,O,O,X,X,X,O
LJZSIOT,O,O,X,X,X,O
LJZSOTI,O,O,X,X,X,O
LJZSOIT,O,O,X,X,X,O
LJZOTIS,O,O,O,X,X,X
LJZOTSI,X,O,O,X,X,X
LJZOITS,O,O,O,X,X,X
LJZOIST,O,O,X,X,X,X
LJZOSTI,O,O,X,X,X,X
LJZOSIT,O,O,X,X,X,X
LJOTISZ,X,O,O,X,X,O
LJOTIZS,O,O,O,X,X,X
LJOTSIZ,X,O,O,X,X,O
LJOTSZI,X,O,O,X,X,O
LJOTZIS,O,O,O,X,X,X
LJOTZSI,O,O,O,X,X,X
LJOITSZ,X,O,O,X,X,O
LJOITZS,O,O,O,X,X,X
LJOISTZ,O,O,X,X,X,O
LJOISZT,O,O,X,X,X,O
LJOIZTS,O,O,O,X,X,X
LJOIZST,O,O,X,X,X,O
LJOSTIZ,O,O,X,X,X,O
LJOSTZI,O,O,X,X,X,O
LJOSITZ,O,O,X,X,X,O
LJOSIZT,O,O,X,X,X,O
LJOSZTI,O,O,X,X,X,O
LJOSZIT,O,O,X,X,X,O
LJOZTIS,O,O,O,X,X,X
LJOZTSI,O,O,O,X,X,X
LJOZITS,O,O,O,X,X,X
LJOZIST,O,O,X,X,X,O
LJOZSTI,O,O,X,X,X,O
LJOZSIT,O,O,X,X,X,O
LSTIJZO,O,O,X,O,X,O
LSTIJOZ,O,O,X,X,X,X
LSTIZJO,O,X,X,O,O,X
LSTIZOJ,O,O,X,X,X,X
LSTIOJZ,O,O,X,X,X,X
LSTIOZJ,O,O,X,X,O,X
LSTJIZO,O,O,X,O,X,O
LSTJIOZ,O,O,X,X,X,X
LSTJZIO,O,O,X,O,X,O
LSTJZOI,O,O,X,O,X,O
LSTJOIZ,O,O,X,X,X,X
LSTJOZI,O,O,X,X,X,X
LSTZIJO,O,X,X,O,O,X
LSTZIOJ,O,O,X,X,X,X
LSTZJIO,O,X,X,O,O,X
LSTZJOI,O,X,X,O,O,X
LSTZOIJ,O,O,X,X,X,X
LSTZOJI,O,O,X,X,X,X
LSTOIJZ,O,O,X,X,X,X
LSTOIZJ,O,O,X,X,O,X
LSTOJIZ,O,O,X,X,X,X
LSTOJZI,O,O,X,X,X,X
LSTOZIJ,O,O,X,X,O,X
LSTOZJI,O,O,X,X,O,X
LSITJZO,O,O,X,O,X,O
LSITJOZ,O,O,X,X,X,X
LSITZJO,O,X,X,O,O,X
LSITZOJ,O,O,X,X,X,X
LSITOJZ,O,O,X,X,X,X
LSITOZJ,O,O,X,X,O,X
LSIJTZO,O,O,X,O,X,O
LSIJTOZ,O,O,X,X,X,X
LSIJZTO,O,O,X,O,X,O
LSIJZOT,O,O,X,X,X,O
LSIJOTZ,O,O,X,X,X,O
LSIJOZT,O,O,X,X,X,O
LSIZTJO,O,X,X,O,O,X
LSIZTOJ,O,O,X,X,X,X
LSIZJTO,O,X,X,O,O,O
LSIZJOT,O,X,X,X,X,O
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,X,X,X,X,X
LSIOTJZ,O,O,X,X,X,O
LSIOTZJ,O,O,X,X,O,X
LSIOJTZ,O,O,X,X,X,O
LSIOJZT,O,X,X,X,X,O
LSIOZTJ,O,O,X,X,O,X
LSIOZJT,O,X,X,X,O,O
LSJTIZO,O,O,X,O,X,O
LSJTIOZ,O,O,X,X,X,X
LSJTZIO,O,O,X,O,X,O
LSJTZOI,O,O,X,O,X,O
LSJTOIZ,O,O,X,X,X,X
LSJTOZI,O,O,X,X,X,X
LSJITZO,O,O,X,O,X,O
LSJITOZ,O,O,X,X,X,X
LSJIZTO,O,O,X,O,X,O
LSJIZOT,O,O,X,X,X,O
LSJIOTZ,O,O,X,X,X,O
LSJIOZT,O,O,X,X,X,O
LSJZTIO,O,O,X,O,X,O
LSJZTOI,O,O,X,O,X,O
LSJZITO,O,O,X,O,X,O
LSJZIOT,O,O,X,X,X,O
LSJZOTI,O,O,X,X,X,O
LSJZOIT,O,O,X,X,X,O
LSJOTIZ,O,O,X,X,X,O
LSJOTZI,O,O,X,X,X,O
LSJOITZ,O,O,X,X,X,O
LSJOIZT,O,O,X,X,X,O
LSJOZTI,O,O,X,X,X,O
LSJOZIT,O,O,X,X,X,O
LSZTIJO,O,X,X,O,O,X
LSZTIOJ,O,O,X,X,X,X
LSZTJIO,O,X,X,O,O,X
LSZTJOI,O,X,X,O,O,X
LSZTOIJ,O,O,X,X,X,X
LSZTOJI,O,O,X,X,X,X
LSZITJO,O,X,X,O,O,X
LSZITOJ,O,O,X,X,X,X
LSZIJTO,O,X,X,O,O,O
LSZIJOT,O,X,X,X,X,O
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,O,X,X,X,X,X
LSZJTIO,O,X,X,O,O,O
LSZJTOI,O,X,X,O,O,O
LSZJITO,O,X,X,O,O,O
LSZJIOT,O,X,X,X,X,O
LSZJOTI,O,X,X,X,X,O
LSZJOIT,O,X,X,X,X,O
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,X,X,X,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,X,X,X,X,X
LSZOJTI,O,X,X,X,X,X
LSZOJIT,O,X,X,X,X,X
LSOTIJZ,O,O,X,X,X,O
LSOTIZJ,O,O,X,X,O,X
LSOTJIZ,O,O,X,X,X,O
LSOTJZI,O,O,X,X,X,O
LSOTZIJ,O,O,X,X,O,X
LSOTZJI,O,O,X,X,O,X
LSOITJZ,O,O,X,X,X,O
LSOITZJ,O,O,X,X,O,X
LSOIJTZ,O,O,X,X,X,O
LSOIJZT,O,X,X,X,X,O
LSOIZTJ,O,O,X,X,O,X
LSOIZJT,O,X,X,X,O,O
LSOJTIZ,O,O,X,X,X,O
LSOJTZI,O,O,X,X,X,O
LSOJITZ,O,O,X,X,X,O
LSOJIZT,O,X,X,X,X,O
LSOJZTI,O,X,X,X,X,O
LSOJZIT,O,X,X,X,X,O
LSOZTIJ,O,O,X,X,O,X
LSOZTJI,O,O,X,X,O,X
LSOZITJ,O,O,X,X,O,X
LSOZIJT,O,X,X,X,O,O
LSOZJTI,O,X,X,X,O,O
LSOZJIT,O,X,X,X,O,O
LZTIJSO,O,O,X,X,X,X
LZTIJOS,O,O,O,X,X,X
LZTISJO,O,X,X,X,O,X
LZTISOJ,O,O,X,X,X,X
LZTIOJS,O,X,O,X,X,X
LZTIOSJ,O,O,X,X,X,X
LZTJISO,O,O,X,X,X,X
LZTJIOS,O,O,O,X,X,X
LZTJSIO,O,O,X,X,X,X
LZTJSOI,O,O,X,X,X,X
LZTJOIS,O,O,O,X,X,X
LZTJOSI,X,O,O,X,X,X
LZTSIJO,O,X,X,X,O,X
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,X,X,X,O,X
LZTSJOI,O,X,X,X,O,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,X,X,X
LZTOIJS,O,X,O,X,X,X
LZTOISJ,O,O,X,X,X,X
LZTOJIS,O,X,O,X,X,X
LZTOJSI,O,X,O,X,X,X
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,X,X,X,X
LZITJSO,O,O,X,X,X,X
LZITJOS,O,O,O,X,X,X
LZITSJO,O,X,X,X,O,X
LZITSOJ,O,O,X,X,X,X
LZITOJS,O,X,O,X,X,X
LZITOSJ,O,O,X,X,X,X
LZIJTSO,O,O,X,X,X,X
LZIJTOS,O,O,O,X,X,X
LZIJSTO,O,O,X,X,O,O
LZIJSOT,O,O,X,X,X,O
LZIJOTS,O,O,O,X,X,X
LZIJOST,O,O,X,X,X,X
LZISTJO,O,X,X,X,O,X
LZISTOJ,O,O,X,X,X,X
LZISJTO,O,X,X,X,O,O
LZISJOT,O,X,X,X,X,O
LZISOTJ,O,O,X,X,X,X
LZISOJT,O,X,X,X,X,X
LZIOTJS,O,X,O,X,X,X
LZIOTSJ,O,O,X,X,X,X
LZIOJTS,O,X,O,X,X,X
LZIOJST,O,X,X,X,X,O
LZIOSTJ,O,O,X,X,X,X
LZIOSJT,O,X,X,X,X,O
LZJTISO,O,O,X,X,X,X
LZJTIOS,O,O,O,X,X,X
LZJTSIO,O,O,X,X,X,X
LZJTSOI,O,O,X,X,X,X
LZJTOIS,O,O,O,X,X,X
LZJTOSI,X,O,O,X,X,X
LZJITSO,O,O,X,X,X,X
LZJITOS,O,O,O,X,X,X
LZJISTO,O,O,X,X,O,O
LZJISOT,O,O,X,X,X,O
LZJIOTS,O,O,O,X,X,X
LZJIOST,O,O,X,X,X,X
LZJSTIO,O,O,X,X,O,O
LZJSTOI,O,O,X,X,O,O
LZJSITO,O,O,X,X,O,O
LZJSIOT,O,O,X,X,X,O
LZJSOTI,O,O,X,X,X,O
LZJSOIT,O,O,X,X,X,O
LZJOTIS,O,O,O,X,X,X
LZJOTSI,X,O,O,X,X,X
LZJOITS,O,O,O,X,X,X
LZJOIST,O,O,X,X,X,X
LZJOSTI,O,O,X,X,X,X
LZJOSIT,O,O,X,X,X,X
LZSTIJO,O,X,X,X,O,X
LZSTIOJ,O,O,X,X,X,X
LZSTJIO,O,X,X,X,O,X
LZSTJOI,O,X,X,X,O,X
LZSTOIJ,O,O,X,X,X,X
LZSTOJI,O,O,X,X,X,X
LZSITJO,O,X,X,X,O,X
LZSITOJ,O,O,X,X,X,X
LZSIJTO,O,X,X,X,O,O
