sequence,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBOiBXeBT?hBSoBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBidB+jBT?hB3iBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBXdB6jB2?mBziBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBTeB/mBF?iBCoBOsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBTeBihBW?oBXiBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFmbBzcBfjB6?jBxmBFsB
TOJSZLI,O,O,O,X,O,X
TOJZILS,O,O,O,X,O,O
TOJZISL,O,O,O,X,O,O
TOJZLIS,O,O,O,X,O,X
TOJZLSI,O,O,O,X,O,X
TOJZSIL,O,O,O,X,O,X
TOJZSLI,O,O,O,X,O,X
TOSILJZ,O,X,O,X,X,X
TOSILZJ,O,X,O,X,X,X
TOSIJLZ,O,O,O,X,X,X
TOSIJZL,O,O,O,X,X,X
TOSIZLJ,O,X,O,X,X,X
TOSIZJL,O,O,O,X,X,X
TOSLIJZ,O,X,O,X,X,X
TOSLIZJ,O,X,O,X,X,X
TOSLJIZ,O,X,O,X,X,X
TOSLJZI,O,X,O,X,X,X
TOSLZIJ,O,X,O,X,X,X
TOSLZJI,O,X,O,X,X,X
TOSJILZ,O,O,O,X,X,X
TOSJIZL,O,O,O,X,X,X
TOSJLIZ,O,O,O,X,X,X
TOSJLZI,O,O,O,X,X,X
TOSJZIL,O,O,O,X,X,X
TOSJZLI,O,O,O,X,X,X
TOSZILJ,O,X,O,X,X,X
TOSZIJL,O,O,O,X,X,X
TOSZLIJ,O,X,O,X,X,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,O,O,O,X,O,O
TOZILSJ,O,X,O,X,X,O
TOZIJLS,O,O,O,X,O,O
TOZIJSL,O,O,O,X,O,O
TOZISLJ,O,X,O,X,X,O
TOZISJL,O,O,O,X,X,O
TOZLIJS,O,O,O,X,O,X
TOZLISJ,O,X,O,X,X,X
TOZLJIS,O,O,O,X,O,X
TOZLJSI,O,O,O,X,O,X
TOZLSIJ,O,X,O,X,X,X
TOZLSJI,O,X,O,X,X,X
TOZJILS,O,O,O,X,O,O
TOZJISL,O,O,O,X,O,O
TOZJLIS,O,O,O,X,O,X
TOZJLSI,O,O,O,X,O,X
TOZJSIL,O,O,O,X,O,X
TOZJSLI,O,O,O,X,O,X
TOZSILJ,O,X,O,X,X,X
TOZSIJL,O,O,O,X,X,X
TOZSLIJ,O,X,O,X,X,X
TOZSLJI,O,X,O,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,O,O,O,X,O,O
ITLJSOZ,O,O,O,X,O,O
ITLJZSO,O,O,O,X,O,O
ITLJZOS,O,O,O,X,O,O
ITLJOSZ,O,O,O,X,O,O
ITLJOZS,O,O,O,X,O,O
ITLSJZO,O,X,O,O,O,O
ITLSJOZ,O,X,O,O,O,O
ITLSZJO,O,X,O,O,O,O
ITLSZOJ,O,X,O,O,X,O
ITLSOJZ,O,X,O,O,X,O
ITLSOZJ,O,X,O,O,X,O
ITLZJSO,O,O,O,X,O,O
ITLZJOS,O,O,O,X,O,O
ITLZSJO,O,X,O,O,O,O
ITLZSOJ,O,X,O,O,X,O
ITLZOJS,O,O,O,X,O,O
ITLZOSJ,O,X,O,O,X,O
ITLOJSZ,O,O,O,X,O,O
ITLOJZS,O,O,O,X,O,O
ITLOSJZ,O,X,O,O,X,O
ITLOSZJ,O,X,O,O,X,O
ITLOZJS,O,O,O,X,O,O
ITLOZSJ,O,X,O,O,X,O
ITJLSZO,O,O,O,X,O,O
ITJLSOZ,O,O,O,X,O,O
ITJLZSO,O,O,O,X,O,O
ITJLZOS,O,O,O,X,O,O
ITJLOSZ,O,O,O,X,O,O
ITJLOZS,O,O,O,X,O,O
ITJSLZO,O,O,O,X,O,O
ITJSLOZ,O,O,O,X,O,O
ITJSZLO,O,O,O,X,O,O
ITJSZOL,X,O,O,X,O,O
ITJSOLZ,X,O,O,X,O,O
ITJSOZL,X,O,O,X,O,O
ITJZLSO,O,O,O,X,O,O
ITJZLOS,O,O,O,X,O,O
ITJZSLO,O,O,O,X,O,O
ITJZSOL,X,O,O,X,O,O
ITJZOLS,O,O,O,X,O,O
ITJZOSL,O,O,O,X,O,O
ITJOLSZ,O,O,O,X,O,O
ITJOLZS,O,O,O,X,O,O
ITJOSLZ,O,O,O,X,O,O
ITJOSZL,O,O,O,X,O,O
ITJOZLS,O,O,O,X,O,O
ITJOZSL,O,O,O,X,O,O
ITSLJZO,O,X,O,O,O,O
ITSLJOZ,O,X,O,O,O,O
ITSLZJO,O,X,O,O,O,O
ITSLZOJ,O,X,O,O,X,O
ITSLOJZ,O,X,O,O,X,O
ITSLOZJ,O,X,O,O,X,O
ITSJLZO,O,O,O,O,O,O
ITSJLOZ,O,O,O,O,O,O
ITSJZLO,O,O,O,O,O,O
ITSJZOL,X,O,O,X,O,O
ITSJOLZ,X,O,O,X,O,O
ITSJOZL,X,O,O,X,O,O
ITSZLJO,O,X,O,O,O,O
ITSZLOJ,O,X,O,O,X,O
ITSZJLO,O,O,O,O,O,O
ITSZJOL,X,O,O,X,O,O
ITSZOLJ,O,X,O,O,X,O
ITSZOJL,O,O,O,X,X,O
ITSOLJZ,O,X,O,O,X,O
ITSOLZJ,O,X,O,O,X,O
ITSOJLZ,O,O,O,X,X,O
ITSOJZL,O,O,O,X,X,O
ITSOZLJ,O,X,O,O,X,O
ITSOZJL,O,O,O,X,X,O
ITZLJSO,O,O,O,X,O,O
ITZLJOS,O,O,O,X,O,O
ITZLSJO,O,X,O,O,O,O
ITZLSOJ,O,X,O,O,X,O
ITZLOJS,O,O,O,X,O,O
ITZLOSJ,O,X,O,O,X,O
ITZJLSO,O,O,O,X,O,O
ITZJLOS,O,O,O,X,O,O
ITZJSLO,O,O,O,X,O,O
ITZJSOL,X,O,O,X,O,O
ITZJOLS,O,O,O,X,O,O
ITZJOSL,O,O,O,X,O,O
ITZSLJO,O,X,O,O,O,O
ITZSLOJ,O,X,O,O,X,O
ITZSJLO,O,O,O,O,O,O
ITZSJOL,X,O,O,X,O,O
ITZSOLJ,O,X,O,O,X,O
ITZSOJL,O,O,O,X,X,O
ITZOLJS,O,O,O,X,O,O
ITZOLSJ,O,X,O,X,X,O
ITZOJLS,O,O,O,X,O,O
ITZOJSL,O,O,O,X,O,O
ITZOSLJ,O,X,O,X,X,O
ITZOSJL,O,O,O,X,X,O
ITOLJSZ,O,O,O,X,O,O
ITOLJZS,O,O,O,X,O,O
ITOLSJZ,O,X,O,X,X,O
ITOLSZJ,O,X,O,X,X,O
ITOLZJS,O,O,O,X,O,O
ITOLZSJ,O,X,O,X,X,O
ITOJLSZ,O,O,O,X,O,O
ITOJLZS,O,O,O,X,O,O
ITOJSLZ,O,O,O,X,O,O
ITOJSZL,O,O,O,X,O,O
ITOJZLS,O,O,O,X,O,O
ITOJZSL,O,O,O,X,O,O
ITOSLJZ,O,X,O,X,X,O
ITOSLZJ,O,X,O,X,X,O
ITOSJLZ,O,O,O,X,X,O
ITOSJZL,O,O,O,X,X,O
ITOSZLJ,O,X,O,X,X,O
ITOSZJL,O,O,O,X,X,O
ITOZLJS,O,O,O,X,O,O
ITOZLSJ,O,X,O,X,X,O
ITOZJLS,O,O,O,X,O,O
ITOZJSL,O,O,O,X,O,O
ITOZSLJ,O,X,O,X,X,O
ITOZSJL,O,O,O,X,X,O
ILTJSZO,O,O,O,X,O,X
ILTJSOZ,O,O,O,X,O,X
ILTJZSO,O,O,O,X,O,X
ILTJZOS,O,O,O,X,O,X
ILTJOSZ,O,O,O,X,O,X
ILTJOZS,O,O,O,X,O,X
ILTSJZO,O,X,O,O,O,X
ILTSJOZ,O,X,O,O,O,X
ILTSZJO,O,X,O,O,O,X
ILTSZOJ,O,X,O,O,X,X
ILTSOJZ,O,X,O,O,X,X
ILTSOZJ,O,X,O,O,X,X
ILTZJSO,O,O,O,X,O,X
ILTZJOS,O,O,O,X,O,X
ILTZSJO,O,X,O,O,O,X
ILTZSOJ,O,X,O,O,X,X
ILTZOJS,O,O,O,X,O,X
ILTZOSJ,O,X,O,O,X,X
ILTOJSZ,O,O,O,X,O,X
ILTOJZS,O,O,O,X,O,X
ILTOSJZ,O,X,O,O,X,X
ILTOSZJ,O,X,O,O,X,X
ILTOZJS,O,O,O,X,O,X
ILTOZSJ,O,X,O,O,X,X
ILJTSZO,O,O,O,X,O,X
ILJTSOZ,O,O,O,X,O,X
ILJTZSO,O,O,O,X,O,X
ILJTZOS,O,O,O,X,O,X
ILJTOSZ,O,O,O,X,O,X
ILJTOZS,O,O,O,X,O,X
ILJSTZO,O,O,O,O,X,O
ILJSTOZ,X,X,X,O,X,O
ILJSZTO,O,O,O,O,X,O
ILJSZOT,O,O,O,O,O,O
ILJSOTZ,X,X,O,O,X,O
ILJSOZT,O,O,O,O,O,O
ILJZTSO,O,O,O,X,O,X
ILJZTOS,O,O,O,X,O,X
ILJZSTO,O,O,O,O,X,O
ILJZSOT,O,O,O,O,O,O
ILJZOTS,X,O,O,X,O,X
ILJZOST,X,O,O,O,O,O
ILJOTSZ,X,O,O,X,X,X
ILJOTZS,X,O,O,X,O,X
ILJOSTZ,X,O,O,O,X,O
ILJOSZT,X,O,O,O,O,O
ILJOZTS,X,O,O,X,O,X
ILJOZST,X,O,O,O,O,O
ILSTJZO,O,X,O,O,O,O
ILSTJOZ,O,X,O,O,O,O
ILSTZJO,O,X,O,O,O,O
ILSTZOJ,O,X,O,O,X,O
ILSTOJZ,O,X,O,O,X,O
ILSTOZJ,O,X,O,O,X,O
ILSJTZO,O,X,O,O,X,O
ILSJTOZ,X,X,X,O,X,O
ILSJZTO,O,X,O,O,X,O
ILSJZOT,O,X,O,O,O,O
ILSJOTZ,O,X,X,O,X,O
ILSJOZT,O,X,O,O,O,O
ILSZTJO,O,X,O,O,O,O
ILSZTOJ,O,X,O,O,X,O
ILSZJTO,O,X,O,O,X,O
ILSZJOT,O,X,O,O,O,O
ILSZOTJ,O,X,O,O,X,O
ILSZOJT,O,X,O,O,X,O
ILSOTJZ,O,X,X,O,X,O
ILSOTZJ,O,X,O,O,X,O
ILSOJTZ,O,X,O,O,X,O
ILSOJZT,O,X,O,O,X,O
ILSOZTJ,O,X,O,O,X,O
ILSOZJT,O,X,O,O,X,O
ILZTJSO,O,O,O,X,O,X
ILZTJOS,O,O,O,X,O,X
ILZTSJO,O,X,O,O,O,X
ILZTSOJ,O,X,O,O,X,X
ILZTOJS,O,O,O,X,O,X
ILZTOSJ,O,X,O,O,X,X
ILZJTSO,O,O,O,X,O,X
ILZJTOS,O,O,O,X,O,X
ILZJSTO,O,O,O,O,X,O
ILZJSOT,O,O,O,O,O,O
ILZJOTS,X,O,O,X,O,X
ILZJOST,X,O,O,O,O,O
ILZSTJO,O,X,O,O,O,O
ILZSTOJ,O,X,O,O,X,O
ILZSJTO,O,X,O,O,X,O
ILZSJOT,O,X,O,O,O,O
ILZSOTJ,O,X,O,O,X,O
ILZSOJT,O,X,O,O,X,O
ILZOTJS,O,O,O,X,O,X
ILZOTSJ,O,X,O,O,X,X
ILZOJTS,X,O,O,X,O,X
ILZOJST,O,O,O,O,O,O
ILZOSTJ,O,X,O,O,X,O
ILZOSJT,O,X,O,O,X,O
ILOTJSZ,O,O,O,X,O,X
ILOTJZS,O,O,O,X,O,X
ILOTSJZ,O,X,O,O,X,X
ILOTSZJ,O,X,O,O,X,X
ILOTZJS,O,O,O,X,O,X
ILOTZSJ,O,X,O,O,X,X
ILOJTSZ,X,O,O,X,X,X
ILOJTZS,X,O,O,X,O,X
ILOJSTZ,O,O,O,O,X,O
ILOJSZT,O,O,O,O,O,O
ILOJZTS,X,O,O,X,O,X
ILOJZST,O,O,O,O,O,O
ILOSTJZ,O,X,X,O,X,O
ILOSTZJ,O,X,O,O,X,O
ILOSJTZ,O,X,O,O,X,O
ILOSJZT,O,X,O,O,X,O
ILOSZTJ,O,X,O,O,X,O
ILOSZJT,O,X,O,O,X,O
ILOZTJS,O,O,O,X,O,X
ILOZTSJ,O,X,O,O,X,X
ILOZJTS,X,O,O,X,O,X
ILOZJST,O,O,O,O,O,O
ILOZSTJ,O,X,O,O,X,O
ILOZSJT,O,X,O,O,X,O
IJTLSZO,O,O,O,X,O,O
IJTLSOZ,O,O,O,X,O,O
IJTLZSO,O,O,O,X,O,O
IJTLZOS,O,O,O,X,O,O
IJTLOSZ,O,O,O,X,O,O
IJTLOZS,O,O,O,X,O,O
IJTSLZO,O,O,O,X,O,O
IJTSLOZ,O,O,O,X,O,O
IJTSZLO,O,O,O,X,O,O
IJTSZOL,X,O,O,X,O,O
IJTSOLZ,X,O,O,X,O,O
IJTSOZL,X,O,O,X,O,O
IJTZLSO,O,O,O,X,O,O
IJTZLOS,O,O,O,X,O,O
IJTZSLO,O,O,O,X,O,O
IJTZSOL,X,O,O,X,O,O
IJTZOLS,O,O,O,X,O,O
IJTZOSL,O,O,O,X,O,O
IJTOLSZ,O,O,O,X,O,O
IJTOLZS,O,O,O,X,O,O
IJTOSLZ,O,O,O,X,O,O
IJTOSZL,O,O,O,X,O,O
IJTOZLS,O,O,O,X,O,O
IJTOZSL,O,O,O,X,O,O
IJLTSZO,O,O,O,X,O,X
IJLTSOZ,O,O,O,X,O,X
IJLTZSO,O,O,O,X,O,X
IJLTZOS,O,O,O,X,O,X
IJLTOSZ,O,O,O,X,O,X
IJLTOZS,O,O,O,X,O,X
IJLSTZO,O,O,O,O,X,O
IJLSTOZ,X,X,X,O,X,O
IJLSZTO,O,O,O,O,X,O
IJLSZOT,O,O,O,O,O,O
IJLSOTZ,X,X,O,O,X,O
IJLSOZT,O,O,O,O,O,O
IJLZTSO,O,O,O,X,O,X
IJLZTOS,O,O,O,X,O,X
IJLZSTO,O,O,O,O,X,O
IJLZSOT,O,O,O,O,O,O
IJLZOTS,X,O,O,X,O,X
IJLZOST,X,O,O,O,O,O
IJLOTSZ,X,O,O,X,X,X
IJLOTZS,X,O,O,X,O,X
IJLOSTZ,X,O,O,O,X,O
IJLOSZT,X,O,O,O,O,O
IJLOZTS,X,O,O,X,O,X
IJLOZST,X,O,O,O,O,O
IJSTLZO,X,O,O,O,X,O
IJSTLOZ,X,O,X,O,X,O
IJSTZLO,X,O,O,O,X,O
IJSTZOL,X,O,O,X,X,O
IJSTOLZ,X,O,O,X,X,O
IJSTOZL,X,O,O,X,X,O
IJSLTZO,X,O,O,O,X,O
IJSLTOZ,X,X,X,O,X,O
IJSLZTO,X,O,O,O,X,O
IJSLZOT,X,O,O,O,O,O
IJSLOTZ,X,O,O,O,X,O
IJSLOZT,X,O,O,O,O,O
IJSZTLO,X,O,O,O,X,O
IJSZTOL,X,O,O,X,X,O
IJSZLTO,X,O,O,O,X,O
IJSZLOT,X,O,O,O,O,O
IJSZOTL,X,O,O,X,X,O
IJSZOLT,X,O,O,X,O,O
IJSOTLZ,X,O,O,X,X,O
IJSOTZL,X,O,O,X,X,O
IJSOLTZ,X,O,O,X,X,O
IJSOLZT,X,O,O,X,O,O
IJSOZTL,X,O,O,X,X,O
IJSOZLT,X,O,O,X,O,O
IJZTLSO,O,O,O,X,O,O
IJZTLOS,O,O,O,X,O,O
IJZTSLO,O,O,O,X,O,O
IJZTSOL,X,O,O,X,O,O
IJZTOLS,O,O,O,X,O,O
IJZTOSL,O,O,O,X,O,O
IJZLTSO,O,O,O,X,O,X
IJZLTOS,O,O,O,X,O,X
IJZLSTO,O,O,O,O,X,O
IJZLSOT,O,O,O,O,O,O
IJZLOTS,X,O,O,X,O,X
IJZLOST,X,O,O,O,O,O
IJZSTLO,X,O,O,O,X,O
IJZSTOL,X,O,O,X,X,O
IJZSLTO,X,O,O,O,X,O
IJZSLOT,X,O,O,O,O,O
IJZSOTL,X,O,O,X,X,O
IJZSOLT,X,O,O,X,O,O
IJZOTLS,O,O,O,X,O,X
IJZOTSL,O,O,O,X,O,O
IJZOLTS,X,O,O,X,O,X
IJZOLST,O,O,O,X,O,O
IJZOSTL,X,O,O,X,X,O
IJZOSLT,X,O,O,X,O,O
IJOTLSZ,O,O,O,X,O,X
IJOTLZS,O,O,O,X,O,X
IJOTSLZ,O,O,O,X,O,O
IJOTSZL,O,O,O,X,O,O
IJOTZLS,O,O,O,X,O,X
IJOTZSL,O,O,O,X,O,O
IJOLTSZ,X,O,O,X,X,X
IJOLTZS,X,O,O,X,O,X
IJOLSTZ,O,O,O,X,X,O
IJOLSZT,O,O,O,X,O,O
IJOLZTS,X,O,O,X,O,X
IJOLZST,O,O,O,X,O,O
IJOSTLZ,X,O,O,X,X,O
IJOSTZL,X,O,O,X,X,O
IJOSLTZ,X,O,O,X,X,O
IJOSLZT,X,O,O,X,O,O
IJOSZTL,X,O,O,X,X,O
IJOSZLT,X,O,O,X,O,O
IJOZTLS,O,O,O,X,O,X
IJOZTSL,O,O,O,X,O,O
IJOZLTS,X,O,O,X,O,X
IJOZLST,O,O,O,X,O,O
IJOZSTL,X,O,O,X,X,O
IJOZSLT,X,O,O,X,O,O
ISTLJZO,O,X,O,O,O,O
ISTLJOZ,O,X,O,O,O,O
ISTLZJO,O,X,O,O,O,O
ISTLZOJ,O,X,O,O,X,O
ISTLOJZ,O,X,O,O,X,O
ISTLOZJ,O,X,O,O,X,O
ISTJLZO,O,O,O,O,O,O
ISTJLOZ,O,O,O,O,O,O
ISTJZLO,O,O,O,O,O,O
ISTJZOL,X,O,O,X,O,O
ISTJOLZ,X,O,O,X,O,O
ISTJOZL,X,O,O,X,O,O
ISTZLJO,O,X,O,O,O,O
ISTZLOJ,O,X,O,O,X,O
ISTZJLO,O,O,O,O,O,O
ISTZJOL,X,O,O,X,O,O
ISTZOLJ,O,X,O,O,X,O
ISTZOJL,O,O,O,X,X,O
ISTOLJZ,O,X,O,O,X,O
ISTOLZJ,O,X,O,O,X,O
ISTOJLZ,O,O,O,X,X,O
ISTOJZL,O,O,O,X,X,O
ISTOZLJ,O,X,O,O,X,O
ISTOZJL,O,O,O,X,X,O
ISLTJZO,O,X,O,O,O,O
ISLTJOZ,O,X,O,O,O,O
ISLTZJO,O,X,O,O,O,O
ISLTZOJ,O,X,O,O,X,O
ISLTOJZ,O,X,O,O,X,O
ISLTOZJ,O,X,O,O,X,O
ISLJTZO,O,X,O,O,X,O
ISLJTOZ,X,X,X,O,X,O
ISLJZTO,O,X,O,O,X,O
ISLJZOT,O,X,O,O,O,O
ISLJOTZ,X,X,X,O,X,O
ISLJOZT,O,X,O,O,O,O
ISLZTJO,O,X,O,O,O,O
ISLZTOJ,O,X,O,O,X,O
ISLZJTO,O,X,O,O,X,O
ISLZJOT,O,X,O,O,O,O
ISLZOTJ,X,X,O,O,X,O
ISLZOJT,O,X,O,O,X,O
ISLOTJZ,X,X,X,O,X,O
ISLOTZJ,X,X,O,O,X,O
ISLOJTZ,X,X,O,O,X,O
ISLOJZT,O,X,O,O,X,O
ISLOZTJ,X,X,O,O,X,O
ISLOZJT,O,X,O,O,X,O
ISJTLZO,X,O,O,O,X,O
ISJTLOZ,X,O,X,O,X,O
ISJTZLO,X,O,O,O,X,O
ISJTZOL,X,O,O,X,X,O
ISJTOLZ,X,O,O,X,X,O
ISJTOZL,X,O,O,X,X,O
ISJLTZO,X,O,O,O,X,O
ISJLTOZ,X,X,X,O,X,O
ISJLZTO,X,O,O,O,X,O
ISJLZOT,X,O,O,O,O,O
ISJLOTZ,X,X,O,O,X,O
ISJLOZT,X,O,O,O,O,O
ISJZTLO,X,O,O,O,X,O
ISJZTOL,X,O,O,X,X,O
ISJZLTO,X,O,O,O,X,O
ISJZLOT,X,O,O,O,O,O
ISJZOTL,X,O,O,X,X,O
ISJZOLT,X,O,O,X,O,O
ISJOTLZ,X,O,O,X,X,O
ISJOTZL,X,O,O,X,X,O
ISJOLTZ,X,O,O,X,X,O
ISJOLZT,X,O,O,X,O,O
ISJOZTL,X,O,O,X,X,O
ISJOZLT,X,O,O,X,O,O
ISZTLJO,O,X,O,O,O,O
ISZTLOJ,O,X,O,O,X,O
ISZTJLO,O,O,O,O,O,O
ISZTJOL,X,O,O,X,O,O
ISZTOLJ,O,X,O,O,X,O
ISZTOJL,O,O,O,X,X,O
ISZLTJO,O,X,O,O,O,O
ISZLTOJ,O,X,O,O,X,O
ISZLJTO,O,X,O,O,X,O
ISZLJOT,O,X,O,O,O,O
ISZLOTJ,X,X,O,O,X,O
ISZLOJT,O,X,O,O,X,O
ISZJTLO,X,O,O,O,X,O
ISZJTOL,X,O,O,X,X,O
ISZJLTO,X,O,O,O,X,O
ISZJLOT,X,O,O,O,O,O
ISZJOTL,X,O,O,X,X,O
ISZJOLT,X,O,O,X,O,O
ISZOTLJ,O,X,O,O,X,O
ISZOTJL,O,O,X,X,X,O
ISZOLTJ,O,X,O,O,X,O
ISZOLJT,O,X,O,O,X,O
ISZOJTL,X,O,O,X,X,O
ISZOJLT,X,O,O,X,X,O
ISOTLJZ,O,X,X,O,X,O
ISOTLZJ,O,X,O,O,X,O
ISOTJLZ,O,O,X,X,X,O
ISOTJZL,O,O,X,X,X,O
ISOTZLJ,O,X,O,O,X,O
ISOTZJL,O,O,X,X,X,O
ISOLTJZ,O,X,X,O,X,O
ISOLTZJ,O,X,O,O,X,O
ISOLJTZ,O,X,O,O,X,O
ISOLJZT,O,X,O,O,X,O
ISOLZTJ,O,X,O,O,X,O
ISOLZJT,O,X,O,O,X,O
ISOJTLZ,X,O,O,X,X,O
ISOJTZL,X,O,O,X,X,O
ISOJLTZ,X,O,O,X,X,O
ISOJLZT,X,O,O,X,X,O
ISOJZTL,X,O,O,X,X,O
ISOJZLT,X,O,O,X,X,O
ISOZTLJ,O,X,O,O,X,O
ISOZTJL,O,O,X,X,X,O
ISOZLTJ,O,X,O,O,X,O
ISOZLJT,O,X,O,O,X,O
ISOZJTL,X,O,O,X,X,O
ISOZJLT,X,O,O,X,X,O
IZTLJSO,O,O,O,X,O,O
IZTLJOS,O,O,O,X,O,O
IZTLSJO,O,X,O,O,O,O
IZTLSOJ,O,X,O,O,X,O
IZTLOJS,O,O,O,X,O,O
IZTLOSJ,O,X,O,O,X,O
IZTJLSO,O,O,O,X,O,O
IZTJLOS,O,O,O,X,O,O
IZTJSLO,O,O,O,X,O,O
IZTJSOL,X,O,O,X,O,O
IZTJOLS,O,O,O,X,O,O
IZTJOSL,O,O,O,X,O,O
IZTSLJO,O,X,O,O,O,O
IZTSLOJ,O,X,O,O,X,O
IZTSJLO,O,O,O,O,O,O
IZTSJOL,X,O,O,X,O,O
IZTSOLJ,O,X,O,O,X,O
IZTSOJL,O,O,O,X,X,O
IZTOLJS,O,O,O,X,O,O
IZTOLSJ,O,X,O,X,X,O
IZTOJLS,O,O,O,X,O,O
IZTOJSL,O,O,O,X,O,O
IZTOSLJ,O,X,O,X,X,O
IZTOSJL,O,O,O,X,X,O
IZLTJSO,O,O,O,X,O,X
IZLTJOS,O,O,O,X,O,X
IZLTSJO,O,X,O,O,O,X
IZLTSOJ,O,X,O,O,X,X
IZLTOJS,O,O,O,X,O,X
IZLTOSJ,O,X,O,O,X,X
IZLJTSO,O,O,O,X,O,X
IZLJTOS,O,O,O,X,O,X
IZLJSTO,O,O,O,O,X,O
IZLJSOT,O,O,O,O,O,O
IZLJOTS,X,O,O,X,O,X
IZLJOST,X,O,O,O,O,O
IZLSTJO,O,X,O,O,O,O
IZLSTOJ,O,X,O,O,X,O
IZLSJTO,O,X,O,O,X,O
IZLSJOT,O,X,O,O,O,O
IZLSOTJ,O,X,O,O,X,O
IZLSOJT,O,X,O,O,X,O
IZLOTJS,O,O,O,X,O,X
IZLOTSJ,O,X,O,O,X,X
IZLOJTS,X,O,O,X,O,X
IZLOJST,O,O,O,O,O,O
IZLOSTJ,O,X,O,O,X,O
IZLOSJT,O,X,O,O,X,O
IZJTLSO,O,O,O,X,O,O
IZJTLOS,O,O,O,X,O,O
IZJTSLO,O,O,O,X,O,O
IZJTSOL,X,O,O,X,O,O
IZJTOLS,O,O,O,X,O,O
IZJTOSL,O,O,O,X,O,O
IZJLTSO,O,O,O,X,O,X
IZJLTOS,O,O,O,X,O,X
IZJLSTO,O,O,O,O,X,O
IZJLSOT,O,O,O,O,O,O
IZJLOTS,X,O,O,X,O,X
IZJLOST,X,O,O,O,O,O
IZJSTLO,X,O,O,O,X,O
IZJSTOL,X,O,O,X,X,O
IZJSLTO,X,O,O,O,X,O
IZJSLOT,X,O,O,O,O,O
IZJSOTL,X,O,O,X,X,O
IZJSOLT,X,O,O,X,O,O
IZJOTLS,O,O,O,X,O,X
IZJOTSL,O,O,O,X,O,O
IZJOLTS,X,O,O,X,O,X
IZJOLST,O,O,O,X,O,O
IZJOSTL,X,O,O,X,X,O
IZJOSLT,X,O,O,X,O,O
IZSTLJO,O,X,O,O,O,O
IZSTLOJ,O,X,O,O,X,O
IZSTJLO,O,O,O,O,O,O
IZSTJOL,X,O,O,X,O,O
IZSTOLJ,O,X,O,O,X,O
IZSTOJL,O,O,O,X,X,O
IZSLTJO,O,X,O,O,O,O
IZSLTOJ,O,X,O,O,X,O
IZSLJTO,O,X,O,O,X,O
IZSLJOT,O,X,O,O,O,O
IZSLOTJ,X,X,O,O,X,O
IZSLOJT,O,X,O,O,X,O
IZSJTLO,X,O,O,O,X,O
IZSJTOL,X,O,O,X,X,O
IZSJLTO,X,O,O,O,X,O
IZSJLOT,X,O,O,O,O,O
IZSJOTL,X,O,O,X,X,O
IZSJOLT,X,O,O,X,O,O
IZSOTLJ,O,X,O,O,X,O
IZSOTJL,O,O,X,X,X,O
IZSOLTJ,O,X,O,O,X,O
IZSOLJT,O,X,O,O,X,O
IZSOJTL,X,O,O,X,X,O
IZSOJLT,X,O,O,X,X,O
IZOTLJS,O,O,O,X,O,X
IZOTLSJ,O,X,O,X,X,X
IZOTJLS,O,O,O,X,O,X
IZOTJSL,O,O,O,X,O,O
IZOTSLJ,O,X,O,X,X,O
IZOTSJL,O,O,O,X,X,O
IZOLTJS,O,O,O,X,O,X
IZOLTSJ,O,X,O,O,X,X
IZOLJTS,X,O,O,X,O,X
IZOLJST,O,O,O,O,O,O
IZOLSTJ,O,X,O,O,X,O
IZOLSJT,O,X,O,O,X,O
IZOJTLS,O,O,O,X,O,X
IZOJTSL,O,O,O,X,X,O
IZOJLTS,X,O,O,X,O,X
IZOJLST,O,O,O,X,O,O
IZOJSTL,X,O,O,X,X,O
IZOJSLT,X,O,O,X,O,O
IZOSTLJ,O,X,O,O,X,O
IZOSTJL,O,O,X,X,X,O
IZOSLTJ,O,X,O,O,X,O
IZOSLJT,O,X,O,O,X,O
IZOSJTL,X,O,O,X,X,O
IZOSJLT,X,O,O,X,X,O
IOTLJSZ,O,O,O,X,O,X
IOTLJZS,O,O,O,X,O,X
IOTLSJZ,O,X,O,X,X,X
IOTLSZJ,O,X,O,X,X,X
IOTLZJS,O,O,O,X,O,X
IOTLZSJ,O,X,O,X,X,X
IOTJLSZ,O,O,O,X,O,X
IOTJLZS,O,O,O,X,O,X
IOTJSLZ,O,O,O,X,O,O
IOTJSZL,O,O,O,X,O,O
IOTJZLS,O,O,O,X,O,X
IOTJZSL,O,O,O,X,O,O
IOTSLJZ,O,X,O,X,X,O
IOTSLZJ,O,X,O,X,X,O
IOTSJLZ,O,O,O,X,X,O
IOTSJZL,O,O,O,X,X,O
IOTSZLJ,O,X,O,X,X,O
IOTSZJL,O,O,O,X,X,O
IOTZLJS,O,O,O,X,O,X
