sequence,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhB6oBXmBm?nBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBynB+oBX?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeeFJvhFChBxiBlmBc?sBToB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JexAJvhFXiB6oBllBz?nBUqBmrB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeiAJvhFzhBGjBUoBR?qBFsB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8Je/FJvhFRhBziB+oBi?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JezBJvhFfoB6oBRqBF?sBOqB8qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBVrBasBG?oBXoBUqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeyFJvhFUiBGjBfsBV?tBRqBTqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JemAJvhFUiBFjBfsBS?tBRqBTqB
TLSZOIJ,O,O,X,X,X,O,O,O,X,O
TLSZOJI,O,O,X,X,X,O,X,O,X,X
TLSOIJZ,O,O,X,X,X,X,O,O,X,O
TLSOIZJ,O,X,X,X,X,X,O,X,X,O
TLSOJIZ,O,O,O,X,X,X,O,O,X,X
TLSOJZI,O,O,O,X,X,X,X,O,X,X
TLSOZIJ,O,X,X,X,X,X,O,X,X,O
TLSOZJI,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,O,O,X,O,X,O
TLZIJOS,O,X,X,O,O,O,X,O,X,X
TLZISJO,O,X,X,X,O,O,X,O,X,O
TLZISOJ,O,X,X,O,O,O,X,O,X,O
TLZIOJS,O,X,X,O,O,X,X,O,X,X
TLZIOSJ,X,X,X,O,O,X,X,O,X,X
TLZJISO,O,O,X,O,O,O,X,O,X,X
TLZJIOS,O,O,X,O,O,O,X,O,X,X
TLZJSIO,O,O,X,O,X,O,X,O,X,X
TLZJSOI,O,O,X,O,X,O,X,O,X,X
TLZJOIS,O,O,X,O,O,O,X,O,X,X
TLZJOSI,O,O,X,O,X,O,X,O,X,X
TLZSIJO,O,O,X,X,X,O,X,O,X,O
TLZSIOJ,O,O,X,O,X,O,X,O,X,O
TLZSJIO,O,O,X,X,X,O,X,O,X,O
TLZSJOI,O,O,X,X,X,O,X,O,X,X
TLZSOIJ,O,O,X,O,X,O,X,O,X,O
TLZSOJI,O,O,X,O,X,O,X,O,X,X
TLZOIJS,O,X,X,O,O,X,X,O,X,X
TLZOISJ,X,X,X,O,O,X,X,O,X,X
TLZOJIS,O,O,X,O,O,O,X,O,X,X
TLZOJSI,O,O,X,O,X,O,X,O,X,X
TLZOSIJ,O,X,X,O,X,O,X,O,X,X
TLZOSJI,O,X,X,O,X,O,X,O,X,X
TLOIJSZ,X,X,X,X,X,X,X,O,X,O
TLOIJZS,X,X,X,X,O,X,X,O,X,X
TLOISJZ,X,X,X,X,X,X,O,O,X,O
TLOISZJ,X,X,X,X,O,X,O,X,X,O
TLOIZJS,X,X,X,X,O,X,X,O,X,X
TLOIZSJ,X,X,X,X,O,X,X,O,X,X
TLOJISZ,O,X,X,O,X,X,X,O,X,X
TLOJIZS,O,X,O,O,X,O,X,O,X,X
TLOJSIZ,O,X,X,O,X,X,X,O,X,X
TLOJSZI,O,X,O,O,X,O,X,O,X,X
TLOJZIS,O,X,O,O,X,O,X,O,X,X
TLOJZSI,O,X,O,O,X,O,X,O,X,X
TLOSIJZ,O,X,X,O,X,X,O,O,X,O
TLOSIZJ,O,X,X,O,X,X,O,X,X,O
TLOSJIZ,O,X,O,O,X,X,O,O,X,X
TLOSJZI,X,X,O,O,X,X,X,O,X,X
TLOSZIJ,O,X,X,O,X,X,O,X,X,O
TLOSZJI,O,X,X,O,X,X,X,X,X,X
TLOZIJS,O,X,X,O,O,X,X,O,X,X
TLOZISJ,X,X,X,O,O,X,X,O,X,X
TLOZJIS,O,X,X,O,O,O,X,O,X,X
TLOZJSI,O,X,X,O,X,O,X,O,X,X
TLOZSIJ,O,X,X,O,X,O,X,O,X,X
TLOZSJI,O,X,X,O,X,O,X,O,X,X
TJILSZO,O,O,X,O,X,X,X,O,O,X
TJILSOZ,O,O,X,O,X,X,X,O,O,X
TJILZSO,O,O,O,O,O,O,X,O,O,X
TJILZOS,O,O,O,X,O,O,X,O,X,X
TJILOSZ,O,O,X,O,X,X,X,O,O,X
TJILOZS,O,O,O,O,O,O,X,O,X,X
TJISLZO,O,O,X,O,X,X,O,X,O,X
TJISLOZ,O,O,X,O,X,X,O,X,O,X
TJISZLO,O,O,X,O,X,X,X,X,O,X
TJISZOL,O,O,X,O,X,X,X,X,O,X
TJISOLZ,O,O,X,O,X,X,O,X,O,X
TJISOZL,O,O,X,O,X,X,X,X,O,X
TJIZLSO,O,O,X,O,O,O,X,O,O,X
TJIZLOS,O,O,X,X,O,O,X,O,X,X
TJIZSLO,O,O,X,O,O,O,X,X,O,X
TJIZSOL,O,O,X,O,O,O,X,X,O,X
TJIZOLS,O,O,X,O,O,O,X,O,X,X
TJIZOSL,O,X,X,O,O,O,X,X,X,X
TJIOLSZ,O,X,X,O,X,X,X,O,O,X
TJIOLZS,O,X,O,O,O,O,X,O,X,X
TJIOSLZ,O,X,X,O,X,X,O,X,O,X
TJIOSZL,O,X,X,O,X,X,X,X,O,X
TJIOZLS,O,X,X,O,O,O,X,X,X,X
TJIOZSL,O,X,X,O,O,O,X,X,X,X
TJLISZO,O,O,X,O,X,X,X,O,O,X
TJLISOZ,O,O,X,O,X,X,X,O,O,X
TJLIZSO,O,O,O,O,X,O,X,O,O,X
TJLIZOS,O,O,O,X,X,O,X,O,X,X
TJLIOSZ,O,O,X,O,X,X,X,O,O,X
TJLIOZS,O,O,O,O,X,O,X,O,X,X
TJLSIZO,O,O,X,O,X,X,X,O,O,X
TJLSIOZ,O,O,X,O,X,X,X,O,O,X
TJLSZIO,O,O,O,O,X,O,X,O,O,X
TJLSZOI,O,O,O,O,X,O,X,O,X,X
TJLSOIZ,O,O,X,O,X,X,X,O,X,X
TJLSOZI,O,O,O,O,X,O,X,O,X,X
TJLZISO,O,O,O,O,X,O,X,O,X,X
TJLZIOS,O,O,O,O,X,O,X,O,X,X
TJLZSIO,O,O,O,O,X,O,X,O,X,X
TJLZSOI,O,O,O,O,X,O,X,O,X,X
TJLZOIS,O,O,O,O,X,O,X,O,X,X
TJLZOSI,O,O,O,O,X,O,X,O,X,X
TJLOISZ,O,O,X,O,X,X,X,O,X,X
TJLOIZS,O,O,O,O,X,O,X,O,X,X
TJLOSIZ,O,O,X,O,X,X,X,O,X,X
TJLOSZI,O,O,O,O,X,O,X,O,X,X
TJLOZIS,O,O,O,O,X,O,X,O,X,X
TJLOZSI,O,O,O,O,X,O,X,O,X,X
TJSILZO,O,O,O,O,X,X,O,X,O,X
TJSILOZ,O,O,O,O,X,X,O,X,O,X
TJSIZLO,O,O,X,O,X,X,X,X,O,X
TJSIZOL,O,O,X,O,X,X,X,X,O,X
TJSIOLZ,O,O,O,O,X,X,O,X,O,X
TJSIOZL,O,O,X,O,X,X,X,X,O,X
TJSLIZO,O,O,O,O,X,X,O,O,O,X
TJSLIOZ,O,O,O,O,X,X,O,O,O,X
TJSLZIO,O,O,O,O,X,O,X,O,O,X
TJSLZOI,O,O,O,O,X,O,X,O,X,X
TJSLOIZ,O,O,O,O,X,X,O,O,X,X
TJSLOZI,O,O,O,O,X,O,X,O,X,X
TJSZILO,O,O,X,O,X,O,X,X,O,X
TJSZIOL,O,O,X,O,X,O,X,X,O,X
TJSZLIO,O,O,O,O,X,O,X,O,O,X
TJSZLOI,O,O,O,O,X,O,X,O,X,X
TJSZOIL,O,O,X,O,X,O,X,X,O,X
TJSZOLI,O,O,O,O,X,O,X,O,X,X
TJSOILZ,O,O,O,O,X,X,O,X,O,X
TJSOIZL,O,O,X,O,X,X,X,X,O,X
TJSOLIZ,O,O,O,O,X,X,O,O,X,X
TJSOLZI,O,O,O,O,X,O,X,O,X,X
TJSOZIL,O,O,X,O,X,O,X,X,O,X
TJSOZLI,O,O,O,O,X,O,X,X,X,X
TJZILSO,O,O,O,O,O,O,X,O,O,X
TJZILOS,O,O,O,O,O,O,X,O,X,X
TJZISLO,O,O,O,O,O,O,X,X,O,X
TJZISOL,O,O,X,O,O,O,X,X,O,X
TJZIOLS,O,O,O,O,O,O,X,O,X,X
TJZIOSL,O,X,O,O,O,O,X,X,X,X
TJZLISO,O,O,O,O,O,O,X,O,X,X
TJZLIOS,O,O,O,O,O,O,X,O,X,X
TJZLSIO,O,O,O,O,X,O,X,O,X,X
TJZLSOI,O,O,O,O,X,O,X,O,X,X
TJZLOIS,O,O,O,O,O,O,X,O,X,X
TJZLOSI,O,O,O,O,X,O,X,O,X,X
TJZSILO,O,O,O,O,O,O,X,X,O,X
TJZSIOL,O,O,X,O,O,O,X,X,O,X
TJZSLIO,O,O,O,O,X,O,X,O,O,X
TJZSLOI,O,O,O,O,X,O,X,O,X,X
TJZSOIL,O,O,O,O,O,O,X,X,O,X
TJZSOLI,O,O,O,O,X,O,X,O,X,X
TJZOILS,O,O,O,O,O,O,X,O,X,X
TJZOISL,O,X,O,O,O,O,X,X,X,X
TJZOLIS,O,O,O,O,O,O,X,O,X,X
TJZOLSI,O,O,O,O,X,O,X,O,X,X
TJZOSIL,O,O,O,O,O,O,X,X,X,X
TJZOSLI,O,O,O,O,X,O,X,O,X,X
TJOILSZ,O,X,X,O,X,X,X,O,O,X
TJOILZS,O,X,O,O,O,O,X,O,X,X
TJOISLZ,O,X,X,O,X,X,O,X,O,X
TJOISZL,O,X,X,O,X,X,X,X,O,X
TJOIZLS,O,X,O,O,O,O,X,X,X,X
TJOIZSL,O,X,O,O,O,O,X,X,X,X
TJOLISZ,O,O,X,O,X,X,X,O,X,X
TJOLIZS,O,O,O,O,X,O,X,O,X,X
TJOLSIZ,O,O,X,O,X,X,X,O,X,X
TJOLSZI,O,O,O,O,X,O,X,O,X,X
TJOLZIS,O,O,O,O,X,O,X,O,X,X
TJOLZSI,O,O,O,O,X,O,X,O,X,X
TJOSILZ,O,O,O,O,X,X,O,X,O,X
TJOSIZL,O,O,X,O,X,X,X,X,O,X
TJOSLIZ,O,O,O,O,X,X,O,O,X,X
TJOSLZI,O,O,O,O,X,O,X,O,X,X
TJOSZIL,O,O,X,O,X,O,X,X,O,X
TJOSZLI,O,O,O,O,X,O,X,X,X,X
TJOZILS,O,O,O,O,O,O,X,O,X,X
TJOZISL,O,X,O,O,O,O,X,X,X,X
TJOZLIS,O,O,O,O,O,O,X,O,X,X
TJOZLSI,O,O,O,O,X,O,X,O,X,X
TJOZSIL,O,O,O,O,O,O,X,X,X,X
TJOZSLI,O,O,O,O,X,O,X,O,X,X
TSILJZO,O,O,X,X,X,X,O,X,O,O
TSILJOZ,O,O,X,X,X,X,O,X,O,O
TSILZJO,O,O,X,X,O,X,O,X,O,O
TSILZOJ,O,O,X,X,O,X,O,X,O,O
TSILOJZ,O,O,X,X,X,X,O,X,O,O
TSILOZJ,O,X,X,X,O,X,O,X,O,O
TSIJLZO,O,O,O,X,X,X,O,X,O,O
TSIJLOZ,O,O,O,X,X,X,O,X,O,O
TSIJZLO,O,O,X,X,X,X,X,X,O,O
TSIJZOL,O,O,X,X,X,X,X,X,O,O
TSIJOLZ,O,O,O,X,X,X,O,X,O,X
TSIJOZL,O,O,X,X,X,X,X,X,O,X
TSIZLJO,O,O,X,X,O,X,O,X,O,O
TSIZLOJ,O,O,X,X,O,X,O,X,O,O
TSIZJLO,O,O,X,X,O,X,X,X,O,O
TSIZJOL,O,O,X,X,O,X,X,X,O,O
TSIZOLJ,O,O,X,X,O,X,O,X,O,X
TSIZOJL,O,O,X,X,O,X,X,X,O,O
TSIOLJZ,O,O,X,X,X,X,O,X,O,X
TSIOLZJ,O,X,X,X,O,X,O,X,O,X
TSIOJLZ,O,O,O,X,X,X,O,X,O,X
TSIOJZL,O,O,X,X,X,X,X,X,O,X
TSIOZLJ,O,O,X,X,O,X,O,X,O,X
TSIOZJL,O,O,X,X,O,X,X,X,O,X
TSLIJZO,O,O,X,X,X,X,O,O,O,O
TSLIJOZ,O,O,X,X,X,X,O,O,O,O
TSLIZJO,O,O,X,X,X,X,O,O,O,O
TSLIZOJ,O,O,X,X,X,X,O,O,O,O
TSLIOJZ,O,O,X,X,X,X,O,O,O,O
TSLIOZJ,O,X,X,X,X,X,O,X,O,O
TSLJIZO,O,O,O,X,X,X,O,O,O,O
TSLJIOZ,O,O,O,X,X,X,O,O,O,O
TSLJZIO,O,O,O,X,X,O,X,O,O,O
TSLJZOI,O,O,O,X,X,O,X,O,X,X
TSLJOIZ,O,O,O,X,X,X,O,O,X,X
TSLJOZI,O,O,O,X,X,O,X,O,X,X
TSLZIJO,O,O,X,X,X,O,O,O,O,O
TSLZIOJ,O,O,X,X,X,O,O,O,O,O
TSLZJIO,O,O,X,X,X,O,X,O,O,O
TSLZJOI,O,O,X,X,X,O,X,O,X,X
TSLZOIJ,O,O,X,X,X,O,O,O,X,O
TSLZOJI,O,O,X,X,X,O,X,O,X,X
TSLOIJZ,O,O,X,X,X,X,O,O,X,O
TSLOIZJ,O,X,X,X,X,X,O,X,X,O
TSLOJIZ,O,O,O,X,X,X,O,O,X,X
TSLOJZI,O,O,O,X,X,X,X,O,X,X
TSLOZIJ,O,X,X,X,X,X,O,X,X,O
TSLOZJI,O,X,X,X,X,X,X,X,X,X
TSJILZO,O,O,O,X,X,X,O,X,O,X
TSJILOZ,O,O,O,X,X,X,O,X,O,X
TSJIZLO,O,O,X,X,X,X,X,X,O,X
TSJIZOL,O,O,X,X,X,X,X,X,O,X
TSJIOLZ,O,O,O,X,X,X,O,X,O,X
TSJIOZL,O,O,X,X,X,X,X,X,O,X
TSJLIZO,O,O,O,X,X,X,O,O,O,X
TSJLIOZ,O,O,O,X,X,X,O,O,O,X
TSJLZIO,O,O,O,X,X,O,X,O,O,X
TSJLZOI,O,O,O,X,X,O,X,O,X,X
TSJLOIZ,O,O,O,X,X,X,O,O,X,X
TSJLOZI,O,O,O,X,X,O,X,O,X,X
TSJZILO,O,O,O,X,X,O,X,X,O,X
TSJZIOL,O,O,O,X,X,O,X,X,O,X
TSJZLIO,O,O,O,X,X,O,X,O,O,X
TSJZLOI,O,O,O,X,X,O,X,O,X,X
TSJZOIL,O,O,O,X,X,O,X,X,O,X
TSJZOLI,O,O,O,X,X,O,X,O,X,X
TSJOILZ,O,O,O,X,X,X,O,X,O,X
TSJOIZL,O,O,O,X,X,X,X,X,O,X
TSJOLIZ,O,O,O,X,X,X,O,O,X,X
TSJOLZI,O,O,O,X,X,O,X,O,X,X
TSJOZIL,O,O,O,X,X,O,X,X,O,X
TSJOZLI,O,O,O,X,X,O,X,X,X,X
TSZILJO,O,O,O,X,O,O,O,X,O,O
TSZILOJ,O,O,X,X,O,O,O,X,O,O
TSZIJLO,O,O,O,X,O,O,X,X,O,O
TSZIJOL,O,O,O,X,O,O,X,X,O,O
TSZIOLJ,O,O,O,X,O,O,O,X,O,X
TSZIOJL,O,O,O,X,O,O,X,X,O,O
TSZLIJO,O,O,O,X,X,O,O,O,O,O
TSZLIOJ,O,O,X,X,X,O,O,O,O,O
