sequence,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgB/iBajB5jB0k?B2uB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBaq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgBmdB5jB0iBKp?BfqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhF/iBajB5jBckBzp?BOpB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBidB5jBziBNp?BeqB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBTdBejB5jBKp?BdqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFxdBOkB0iB6oBfq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFUbBTdBejB5jB3k?ByuB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBip?BzpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFmdB5jB0iBikB3p?BNqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFyiB5jBOkB0iBfq?BTpB
TSIOLJZ,O,X,X,O,X,X,X,X,X,X,O
TSIOLZJ,X,X,X,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,X,X,X,X,X,O
TSIOJZL,O,X,X,O,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,O,X,X,X,X,X,X,X
TSIOZJL,X,O,X,O,X,X,X,X,O,X,X
TSLIJZO,O,X,X,X,X,X,O,X,X,X,O
TSLIJOZ,O,X,X,O,X,X,X,X,X,X,O
TSLIZJO,O,O,X,X,X,X,O,X,O,O,O
TSLIZOJ,X,X,X,O,X,X,O,X,X,O,X
TSLIOJZ,O,X,X,O,X,X,X,X,X,X,O
TSLIOZJ,X,X,X,O,X,X,X,X,X,X,X
TSLJIZO,O,X,X,X,X,X,O,X,X,X,O
TSLJIOZ,O,X,X,O,X,X,X,X,X,X,O
TSLJZIO,O,X,X,X,X,X,O,X,X,X,O
TSLJZOI,O,X,X,X,X,X,O,X,X,X,X
TSLJOIZ,O,X,X,O,X,X,X,X,X,X,O
TSLJOZI,O,X,X,O,X,X,O,X,X,X,X
TSLZIJO,O,O,X,X,X,X,O,X,O,O,O
TSLZIOJ,X,X,X,O,X,X,O,X,X,O,X
TSLZJIO,O,O,X,X,X,X,O,X,O,O,O
TSLZJOI,O,X,X,X,X,X,O,X,X,X,X
TSLZOIJ,X,X,X,O,X,X,O,X,X,X,X
TSLZOJI,X,X,X,O,X,X,O,X,X,X,X
TSLOIJZ,O,X,X,O,X,X,X,X,X,X,O
TSLOIZJ,X,X,X,O,X,X,X,X,X,X,X
TSLOJIZ,O,X,X,O,X,X,X,X,X,X,O
TSLOJZI,O,X,X,O,X,X,O,X,X,X,X
TSLOZIJ,X,X,X,O,X,X,O,X,X,X,X
TSLOZJI,X,X,X,O,X,X,O,X,X,X,X
TSJILZO,O,X,X,X,X,X,O,X,X,X,O
TSJILOZ,O,X,X,O,X,X,X,X,X,X,O
