sequence,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgB/iBajB5jB0k?B2uB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBaq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgBmdB5jB0iBKp?BfqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhF/iBajB5jBckBzp?BOpB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBidB5jBziBNp?BeqB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBTdBejB5jBKp?BdqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFxdBOkB0iB6oBfq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFUbBTdBejB5jB3k?ByuB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBip?BzpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFmdB5jB0iBikB3p?BNqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFyiB5jBOkB0iBfq?BTpB
ILTZSOJ,X,X,O,X,X,O,O,X,O,X,X
ILTZOJS,X,X,X,X,X,X,X,X,O,X,X
ILTZOSJ,X,X,X,X,X,X,O,X,O,X,X
ILTOJSZ,X,X,X,X,X,O,X,X,X,X,X
ILTOJZS,X,X,X,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,O,X,O,X,X,X,X,O
ILTOSZJ,X,X,X,O,X,O,X,X,O,X,X
ILTOZJS,X,X,X,X,X,X,X,X,O,X,X
ILTOZSJ,X,X,X,O,X,X,X,X,O,X,X
ILJTSZO,O,X,X,X,O,O,X,O,O,X,O
ILJTSOZ,O,X,X,X,O,O,X,O,X,X,O
ILJTZSO,O,X,X,X,O,O,X,X,O,X,X
ILJTZOS,O,X,X,X,X,O,X,X,O,X,X
ILJTOSZ,X,X,X,X,O,O,X,O,X,X,X
ILJTOZS,X,X,X,X,O,O,X,X,X,X,X
ILJSTZO,O,X,O,X,O,O,X,O,O,X,O
ILJSTOZ,O,X,O,X,O,O,X,O,X,X,O
ILJSZTO,O,X,O,X,X,X,X,O,O,X,X
ILJSZOT,O,X,O,X,X,X,X,O,O,X,X
ILJSOTZ,O,X,X,X,X,O,X,O,X,X,X
ILJSOZT,O,X,X,X,X,X,X,O,X,X,X
ILJZTSO,O,X,O,X,O,O,X,X,O,X,X
ILJZTOS,O,X,X,X,X,O,X,X,O,X,X
ILJZSTO,O,X,O,X,X,X,X,O,O,X,X
ILJZSOT,O,X,O,X,X,X,X,O,O,X,X
ILJZOTS,X,X,X,X,X,O,X,X,O,X,X
ILJZOST,X,X,O,X,X,X,X,O,O,X,X
ILJOTSZ,X,X,X,X,O,O,X,O,X,X,X
ILJOTZS,X,X,X,X,O,O,X,X,X,X,X
ILJOSTZ,X,X,X,X,O,O,X,O,X,X,X
ILJOSZT,X,X,X,X,X,X,X,O,X,X,X
ILJOZTS,X,X,X,X,O,O,X,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,O,X,X,X
ILSTJZO,O,X,O,X,X,O,O,O,O,X,O
ILSTJOZ,O,X,O,O,X,O,X,O,X,X,O
ILSTZJO,O,O,O,X,X,O,O,O,O,O,O
ILSTZOJ,X,X,O,O,X,O,O,O,O,O,X
ILSTOJZ,O,X,O,O,X,O,X,O,X,X,O
ILSTOZJ,X,X,O,O,X,O,X,O,O,X,X
ILSJTZO,O,X,O,X,O,O,X,O,O,X,O
ILSJTOZ,O,X,O,O,O,O,X,O,X,X,O
ILSJZTO,O,X,O,X,X,X,X,O,O,O,X
ILSJZOT,O,X,O,X,X,X,X,O,O,O,X
ILSJOTZ,O,X,X,O,X,O,X,O,X,X,X
ILSJOZT,O,X,X,X,X,X,X,O,X,X,X
ILSZTJO,O,O,O,X,X,X,O,O,O,O,O
ILSZTOJ,X,X,O,O,X,X,O,O,O,O,X
ILSZJTO,O,O,O,X,X,X,O,O,O,O,X
ILSZJOT,O,X,O,X,X,X,X,O,O,O,X
ILSZOTJ,X,X,O,O,X,X,O,X,O,O,X
ILSZOJT,X,X,O,X,X,X,X,X,O,O,X
ILSOTJZ,O,X,O,O,X,X,X,O,X,X,O
ILSOTZJ,X,X,O,O,X,X,X,O,O,X,X
ILSOJTZ,O,X,X,O,X,X,X,O,X,X,X
ILSOJZT,O,X,X,X,X,X,X,O,X,X,X
ILSOZTJ,X,X,O,O,X,X,X,X,O,O,X
ILSOZJT,X,X,O,X,X,X,X,X,O,O,X
ILZTJSO,X,X,O,X,X,O,O,X,O,X,X
ILZTJOS,X,X,X,X,X,O,X,X,O,X,X
ILZTSJO,X,X,O,X,X,O,O,X,O,X,O
ILZTSOJ,X,X,O,X,X,O,O,X,O,X,X
ILZTOJS,X,X,X,X,X,X,X,X,O,X,X
ILZTOSJ,X,X,X,X,X,X,O,X,O,X,X
ILZJTSO,X,X,O,X,O,O,O,X,O,X,X
ILZJTOS,X,X,X,X,X,O,X,X,O,X,X
ILZJSTO,X,O,O,X,X,X,O,O,O,O,X
ILZJSOT,X,X,O,X,X,X,X,O,O,O,X
ILZJOTS,X,O,X,X,X,O,X,X,O,X,X
ILZJOST,X,O,O,X,X,X,X,O,O,X,X
ILZSTJO,X,O,O,X,X,X,O,O,O,O,O
ILZSTOJ,X,X,O,X,X,X,O,O,O,O,X
ILZSJTO,X,O,O,X,X,X,O,O,O,O,X
ILZSJOT,X,X,O,X,X,X,X,O,O,O,X
ILZSOTJ,X,X,O,X,X,X,O,X,O,O,X
ILZSOJT,X,X,O,X,X,X,X,X,O,O,X
ILZOTJS,X,O,X,X,X,X,X,X,O,X,X
ILZOTSJ,X,O,X,X,X,X,O,X,O,X,X
ILZOJTS,X,O,X,X,X,X,X,X,O,X,X
ILZOJST,X,O,O,X,X,X,X,X,O,X,X
ILZOSTJ,X,O,O,X,X,X,O,X,O,X,X
ILZOSJT,X,O,O,X,X,X,X,X,O,X,X
ILOTJSZ,X,X,X,X,O,O,X,X,X,X,X
ILOTJZS,X,X,X,X,O,O,X,X,X,X,X
ILOTSJZ,X,X,X,O,X,O,X,X,X,X,O
ILOTSZJ,X,O,X,O,X,O,X,X,O,X,X
ILOTZJS,X,O,X,X,X,X,X,X,O,X,X
ILOTZSJ,X,O,X,O,X,X,X,X,O,X,X
ILOJTSZ,X,X,X,X,O,O,X,O,X,X,X
ILOJTZS,X,X,X,X,O,O,X,X,X,X,X
ILOJSTZ,X,X,X,X,O,O,X,O,X,X,X
ILOJSZT,X,X,X,X,X,X,X,O,X,X,X
ILOJZTS,X,X,X,X,O,O,X,X,X,X,X
ILOJZST,X,X,X,X,X,X,X,O,X,X,X
ILOSTJZ,X,X,O,O,X,X,X,O,X,X,O
ILOSTZJ,X,O,O,O,X,X,X,O,O,X,X
ILOSJTZ,X,X,X,O,O,X,X,O,X,X,X
ILOSJZT,X,X,X,X,X,X,X,O,X,X,X
ILOSZTJ,X,O,O,O,X,X,X,X,O,X,X
ILOSZJT,X,O,O,X,X,X,X,X,O,X,X
ILOZTJS,X,O,X,X,X,X,X,X,O,X,X
ILOZTSJ,X,O,X,X,X,X,X,X,O,X,X
ILOZJTS,X,O,X,X,O,X,X,X,O,X,X
ILOZJST,X,O,O,X,X,X,X,X,O,X,X
ILOZSTJ,X,O,O,X,X,X,X,X,O,X,X
ILOZSJT,X,O,O,X,X,X,X,X,O,X,X
IJTLSZO,O,X,X,X,O,O,X,O,X,X,O
IJTLSOZ,O,X,X,X,O,O,X,O,X,X,O
IJTLZSO,O,X,X,X,O,O,X,X,X,X,X
IJTLZOS,O,X,X,X,X,O,X,X,X,X,X
IJTLOSZ,X,X,X,X,O,O,X,O,X,X,X
IJTLOZS,X,X,X,X,O,O,X,X,X,X,X
IJTSLZO,O,X,X,X,O,X,X,X,X,X,O
IJTSLOZ,O,X,X,O,O,X,X,X,X,X,O
IJTSZLO,O,X,X,X,O,X,X,X,X,X,O
IJTSZOL,O,X,X,X,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,O,O,X,X,X,X,X,O
IJTSOZL,O,X,X,O,O,X,X,X,X,X,X
IJTZLSO,O,X,X,X,O,X,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X,X,X,X,X,X
IJTZSLO,O,X,X,X,O,X,X,X,X,X,X
IJTZSOL,O,X,X,X,O,X,X,X,X,X,X
IJTZOLS,O,X,X,X,O,X,X,X,X,X,X
IJTZOSL,O,X,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,O,O,X,O,X,X,X
IJTOLZS,X,X,X,X,O,O,X,X,X,X,X
IJTOSLZ,O,X,X,O,O,X,X,X,X,X,X
IJTOSZL,O,X,X,O,O,X,X,X,X,X,X
IJTOZLS,O,X,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,X,O,O,X,X,X,X,X,X
IJLTSZO,O,X,X,X,O,O,X,O,O,X,O
IJLTSOZ,O,X,X,X,O,O,X,O,X,X,O
IJLTZSO,O,X,X,X,O,O,X,X,O,X,X
IJLTZOS,O,X,X,X,X,O,X,X,O,X,X
IJLTOSZ,X,X,X,X,O,O,X,O,X,X,X
IJLTOZS,X,X,X,X,O,O,X,X,X,X,X
IJLSTZO,O,X,O,X,O,O,X,O,O,X,O
IJLSTOZ,O,X,O,X,O,O,X,O,X,X,O
IJLSZTO,O,X,O,X,X,X,X,O,O,X,X
IJLSZOT,O,X,O,X,X,X,X,O,O,X,X
IJLSOTZ,O,X,X,X,X,O,X,O,X,X,X
IJLSOZT,O,X,X,X,X,X,X,O,X,X,X
IJLZTSO,O,X,O,X,O,O,X,X,O,X,X
IJLZTOS,O,X,X,X,X,O,X,X,O,X,X
IJLZSTO,O,X,O,X,X,X,X,O,O,X,X
IJLZSOT,O,X,O,X,X,X,X,O,O,X,X
IJLZOTS,X,X,X,X,X,O,X,X,O,X,X
IJLZOST,X,X,O,X,X,X,X,O,O,X,X
IJLOTSZ,X,X,X,X,O,O,X,O,X,X,X
IJLOTZS,X,X,X,X,O,O,X,X,X,X,X
IJLOSTZ,X,X,X,X,O,O,X,O,X,X,X
IJLOSZT,X,X,X,X,X,X,X,O,X,X,X
IJLOZTS,X,X,X,X,O,O,X,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,O,X,X,X
IJSTLZO,O,X,X,X,O,X,X,X,X,X,O
IJSTLOZ,O,X,X,O,O,X,X,X,X,X,O
IJSTZLO,O,O,X,X,O,X,X,X,O,X,O
IJSTZOL,O,O,X,X,O,X,X,X,O,X,X
IJSTOLZ,O,X,X,O,O,X,X,X,X,X,O
IJSTOZL,O,X,X,O,O,X,X,X,X,X,X
IJSLTZO,O,X,X,X,O,O,X,O,X,X,O
IJSLTOZ,O,X,X,O,O,O,X,O,X,X,O
IJSLZTO,O,X,X,X,X,X,X,O,X,O,X
IJSLZOT,O,X,X,X,X,X,X,O,X,O,X
IJSLOTZ,O,X,X,O,X,O,X,O,X,X,X
IJSLOZT,O,X,X,X,X,X,X,O,X,X,X
IJSZTLO,O,O,X,X,X,X,X,X,O,O,X
IJSZTOL,O,O,X,X,X,X,X,X,O,X,X
IJSZLTO,O,O,X,X,X,X,X,X,O,O,X
IJSZLOT,O,X,X,X,X,X,X,X,X,O,X
IJSZOTL,O,O,X,X,X,X,X,X,O,X,X
IJSZOLT,O,X,X,X,X,X,X,X,X,O,X
IJSOTLZ,O,X,X,O,O,X,X,X,X,X,X
IJSOTZL,O,X,X,O,O,X,X,X,X,X,X
IJSOLTZ,O,X,X,O,O,O,X,O,X,X,X
IJSOLZT,O,X,X,X,X,X,X,O,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,X,O,X,O,X,X,X,O,X,X
IJZTLOS,O,X,X,X,X,X,X,X,O,X,X
IJZTSLO,O,O,X,X,O,X,X,X,O,O,X
IJZTSOL,O,O,X,X,O,X,X,X,O,X,X
IJZTOLS,O,O,X,X,O,X,X,X,X,X,X
IJZTOSL,O,O,X,X,O,X,X,X,X,X,X
IJZLTSO,O,X,O,X,O,O,X,X,O,X,X
IJZLTOS,O,X,X,X,X,O,X,X,O,X,X
IJZLSTO,O,O,O,X,X,X,X,O,O,O,X
IJZLSOT,O,X,O,X,X,X,X,O,O,O,X
IJZLOTS,X,O,X,X,X,O,X,X,O,X,X
IJZLOST,X,O,O,X,X,X,X,O,O,X,X
IJZSTLO,O,O,X,X,X,X,X,X,O,O,X
IJZSTOL,O,O,X,X,X,X,X,X,O,X,X
IJZSLTO,O,O,O,X,X,X,X,X,O,O,X
IJZSLOT,O,X,O,X,X,X,X,X,O,O,X
IJZSOTL,O,O,X,X,X,X,X,X,O,X,X
IJZSOLT,O,O,X,X,X,X,X,X,X,O,X
IJZOTLS,O,O,X,X,O,X,X,X,X,X,X
IJZOTSL,O,O,X,X,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,O,O,X,X,O,X,X
IJZOLST,X,O,O,X,X,X,X,O,O,X,X
IJZOSTL,O,O,X,X,X,X,X,X,O,X,X
IJZOSLT,O,O,X,X,X,X,X,X,X,O,X
IJOTLSZ,X,X,X,X,O,O,X,O,X,X,X
IJOTLZS,X,X,X,X,O,O,X,X,X,X,X
IJOTSLZ,O,X,X,O,O,X,X,X,X,X,X
IJOTSZL,O,O,X,O,O,X,X,X,X,X,X
IJOTZLS,O,O,X,X,O,X,X,X,X,X,X
IJOTZSL,O,O,X,O,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,O,O,X,O,X,X,X
IJOLTZS,X,X,X,X,O,O,X,X,X,X,X
IJOLSTZ,X,X,X,X,O,O,X,O,X,X,X
IJOLSZT,X,X,X,X,X,X,X,O,X,X,X
IJOLZTS,X,X,X,X,O,O,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,O,X,X,X
IJOSTLZ,O,X,X,O,O,X,X,X,X,X,X
IJOSTZL,O,O,X,O,O,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,O,O,X,O,X,X,X
IJOSLZT,O,X,X,X,X,X,X,O,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X,X,X,X
IJOZTLS,O,O,X,X,O,X,X,X,X,X,X
IJOZTSL,O,O,X,X,O,X,X,X,X,X,X
IJOZLTS,X,O,X,X,O,O,X,X,X,X,X
IJOZLST,X,O,X,X,X,X,X,O,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,X,X,X,X
ISTLJZO,O,X,X,X,X,X,O,X,X,X,O
ISTLJOZ,O,X,X,O,X,X,X,X,X,X,O
ISTLZJO,O,O,X,X,X,X,O,X,O,O,O
ISTLZOJ,X,X,X,O,X,X,O,X,X,O,X
ISTLOJZ,O,X,X,O,X,X,X,X,X,X,O
ISTLOZJ,X,X,X,O,X,X,X,X,X,X,X
ISTJLZO,O,X,X,X,X,X,O,X,X,X,O
ISTJLOZ,O,X,X,O,X,X,X,X,X,X,O
ISTJZLO,O,O,X,X,X,X,O,X,O,X,O
ISTJZOL,O,O,X,X,X,X,X,X,O,X,X
ISTJOLZ,O,X,X,O,X,X,X,X,X,X,O
ISTJOZL,O,X,X,O,X,X,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X,O,X,O,O,O
ISTZLOJ,X,X,X,O,X,X,O,X,X,O,X
ISTZJLO,O,O,X,X,X,X,O,X,O,O,O
ISTZJOL,O,O,X,X,X,X,X,X,O,X,X
ISTZOLJ,X,X,X,O,X,X,X,X,X,X,X
ISTZOJL,X,O,X,O,X,X,X,X,O,X,X
ISTOLJZ,O,X,X,O,X,X,X,X,X,X,O
ISTOLZJ,X,X,X,O,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,O,X,X,X,X,X,X,O
ISTOJZL,O,X,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,O,X,X,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,O,X,X
ISLTJZO,O,X,O,X,X,O,O,O,O,X,O
ISLTJOZ,O,X,O,O,X,O,X,O,X,X,O
ISLTZJO,O,O,O,X,X,O,O,O,O,O,O
ISLTZOJ,X,X,O,O,X,O,O,O,O,O,X
ISLTOJZ,O,X,O,O,X,O,X,O,X,X,O
ISLTOZJ,X,X,O,O,X,O,X,O,O,X,X
ISLJTZO,O,X,O,X,O,O,X,O,O,X,O
ISLJTOZ,O,X,O,O,O,O,X,O,X,X,O
ISLJZTO,O,X,O,X,X,X,X,O,O,O,X
ISLJZOT,O,X,O,X,X,X,X,O,O,O,X
ISLJOTZ,O,X,X,O,X,O,X,O,X,X,X
ISLJOZT,O,X,X,X,X,X,X,O,X,X,X
ISLZTJO,O,O,O,X,X,X,O,O,O,O,O
ISLZTOJ,X,X,O,O,X,X,O,O,O,O,X
ISLZJTO,O,O,O,X,X,X,O,O,O,O,X
ISLZJOT,O,X,O,X,X,X,X,O,O,O,X
ISLZOTJ,X,X,O,O,X,X,O,X,O,O,X
ISLZOJT,X,X,O,X,X,X,X,X,O,O,X
ISLOTJZ,O,X,O,O,X,X,X,O,X,X,O
ISLOTZJ,X,X,O,O,X,X,X,O,O,X,X
ISLOJTZ,O,X,X,O,X,X,X,O,X,X,X
ISLOJZT,O,X,X,X,X,X,X,O,X,X,X
ISLOZTJ,X,X,O,O,X,X,X,X,O,O,X
ISLOZJT,X,X,O,X,X,X,X,X,O,O,X
ISJTLZO,O,X,X,X,O,X,X,X,X,X,O
ISJTLOZ,O,X,X,O,O,X,X,X,X,X,O
ISJTZLO,O,O,X,X,O,X,X,X,O,X,O
ISJTZOL,O,O,X,X,O,X,X,X,O,X,X
ISJTOLZ,O,X,X,O,O,X,X,X,X,X,O
ISJTOZL,O,X,X,O,O,X,X,X,X,X,X
ISJLTZO,O,X,X,X,O,O,X,O,X,X,O
ISJLTOZ,O,X,X,O,O,O,X,O,X,X,O
ISJLZTO,O,X,X,X,X,X,X,O,X,O,X
ISJLZOT,O,X,X,X,X,X,X,O,X,O,X
ISJLOTZ,O,X,X,O,X,O,X,O,X,X,X
ISJLOZT,O,X,X,X,X,X,X,O,X,X,X
ISJZTLO,O,O,X,X,X,X,X,X,O,O,X
ISJZTOL,O,O,X,X,X,X,X,X,O,X,X
ISJZLTO,O,O,X,X,X,X,X,X,O,O,X
ISJZLOT,O,X,X,X,X,X,X,X,X,O,X
ISJZOTL,O,O,X,X,X,X,X,X,O,X,X
ISJZOLT,O,X,X,X,X,X,X,X,X,O,X
ISJOTLZ,O,X,X,O,O,X,X,X,X,X,X
ISJOTZL,O,X,X,O,O,X,X,X,X,X,X
ISJOLTZ,O,X,X,O,O,O,X,O,X,X,X
ISJOLZT,O,X,X,X,X,X,X,O,X,X,X
ISJOZTL,O,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,O,X,O,O,O
ISZTLOJ,X,X,X,O,X,X,O,X,X,O,X
ISZTJLO,O,O,X,X,X,X,O,X,O,O,O
ISZTJOL,O,O,X,X,X,X,X,X,O,X,X
ISZTOLJ,X,X,X,O,X,X,X,X,X,X,X
ISZTOJL,X,O,X,O,X,X,X,X,O,X,X
ISZLTJO,O,O,O,X,X,X,O,X,O,O,O
ISZLTOJ,X,X,O,O,X,X,O,X,O,O,X
ISZLJTO,O,O,O,X,X,X,O,X,O,O,X
ISZLJOT,O,X,O,X,X,X,X,X,O,O,X
ISZLOTJ,X,X,O,O,X,X,O,X,O,O,X
ISZLOJT,X,X,O,X,X,X,X,X,O,O,X
ISZJTLO,O,O,X,X,X,X,X,X,O,O,X
ISZJTOL,O,O,X,X,X,X,X,X,O,X,X
ISZJLTO,O,O,O,X,X,X,X,X,O,O,X
ISZJLOT,O,X,O,X,X,X,X,X,O,O,X
ISZJOTL,O,O,X,X,X,X,X,X,O,X,X
ISZJOLT,O,O,X,X,X,X,X,X,X,O,X
ISZOTLJ,X,O,X,O,X,X,X,X,X,X,X
ISZOTJL,X,O,X,O,X,X,X,X,O,X,X
ISZOLTJ,X,O,X,O,X,X,X,X,X,O,X
ISZOLJT,X,O,X,X,X,X,X,X,X,O,X
ISZOJTL,X,O,X,X,X,X,X,X,O,X,X
ISZOJLT,X,O,X,X,X,X,X,X,X,O,X
ISOTLJZ,O,X,X,O,X,X,X,X,X,X,O
ISOTLZJ,X,O,X,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,X,X,X,X,X,O
ISOTJZL,O,O,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,O,X,X,X,X,X,X,X
ISOTZJL,X,O,X,O,X,X,X,X,O,X,X
ISOLTJZ,O,X,X,O,X,X,X,X,X,X,O
ISOLTZJ,X,O,X,O,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,O,O,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,O,X,X,X,X,X,O,X
ISOLZJT,X,O,X,X,X,X,X,X,X,O,X
ISOJTLZ,O,X,X,O,O,X,X,X,X,X,X
ISOJTZL,O,O,X,O,O,X,X,X,X,X,X
ISOJLTZ,O,X,X,O,O,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,O,X,X,X,X,X,X,X
ISOZTJL,X,O,X,O,X,X,X,X,O,X,X
ISOZLTJ,X,O,X,O,X,X,X,X,X,O,X
ISOZLJT,X,O,X,X,X,X,X,X,X,O,X
ISOZJTL,X,O,X,X,X,X,X,X,O,X,X
ISOZJLT,X,O,X,X,X,X,X,X,X,O,X
IZTLJSO,X,X,O,X,X,X,O,X,O,X,X
IZTLJOS,X,X,X,X,X,X,X,X,O,X,X
IZTLSJO,X,X,O,X,X,X,O,X,O,X,O
IZTLSOJ,X,X,O,X,X,X,O,X,O,X,X
IZTLOJS,X,X,X,X,X,X,X,X,O,X,X
IZTLOSJ,X,X,X,X,X,X,O,X,O,X,X
IZTJLSO,O,X,O,X,X,X,X,X,O,X,X
IZTJLOS,O,X,X,X,X,X,X,X,O,X,X
IZTJSLO,O,O,X,X,X,X,X,X,O,O,X
IZTJSOL,O,O,X,X,X,X,X,X,O,X,X
IZTJOLS,O,O,X,X,X,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,O,X,O,O,O
IZTSLOJ,X,X,X,O,X,X,O,X,X,O,X
IZTSJLO,O,O,X,X,X,X,O,X,O,O,O
IZTSJOL,O,O,X,X,X,X,X,X,O,X,X
IZTSOLJ,X,X,X,O,X,X,X,X,X,X,X
IZTSOJL,X,O,X,O,X,X,X,X,O,X,X
IZTOLJS,X,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,O,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,O,X,O,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,O,X,X,X,X,X,X,X
IZTOSJL,X,O,X,O,X,X,X,X,X,X,X
IZLTJSO,X,X,O,X,X,O,O,X,O,X,X
IZLTJOS,X,X,X,X,X,O,X,X,O,X,X
IZLTSJO,X,X,O,X,X,O,O,X,O,X,O
IZLTSOJ,X,X,O,X,X,O,O,X,O,X,X
IZLTOJS,X,X,X,X,X,X,X,X,O,X,X
IZLTOSJ,X,X,X,X,X,X,O,X,O,X,X
IZLJTSO,X,X,O,X,O,O,O,X,O,X,X
IZLJTOS,X,X,X,X,X,O,X,X,O,X,X
IZLJSTO,X,O,O,X,X,X,O,O,O,O,X
IZLJSOT,X,X,O,X,X,X,X,O,O,O,X
IZLJOTS,X,O,X,X,X,O,X,X,O,X,X
IZLJOST,X,O,O,X,X,X,X,O,O,X,X
IZLSTJO,X,O,O,X,X,X,O,O,O,O,O
IZLSTOJ,X,X,O,X,X,X,O,O,O,O,X
IZLSJTO,X,O,O,X,X,X,O,O,O,O,X
IZLSJOT,X,X,O,X,X,X,X,O,O,O,X
IZLSOTJ,X,X,O,X,X,X,O,X,O,O,X
IZLSOJT,X,X,O,X,X,X,X,X,O,O,X
IZLOTJS,X,O,X,X,X,X,X,X,O,X,X
IZLOTSJ,X,O,X,X,X,X,O,X,O,X,X
IZLOJTS,X,O,X,X,X,X,X,X,O,X,X
IZLOJST,X,O,O,X,X,X,X,X,O,X,X
IZLOSTJ,X,O,O,X,X,X,O,X,O,X,X
IZLOSJT,X,O,O,X,X,X,X,X,O,X,X
IZJTLSO,O,X,O,X,O,X,X,X,O,X,X
IZJTLOS,O,X,X,X,X,X,X,X,O,X,X
IZJTSLO,O,O,X,X,O,X,X,X,O,O,X
IZJTSOL,O,O,X,X,O,X,X,X,O,X,X
IZJTOLS,O,O,X,X,O,X,X,X,X,X,X
IZJTOSL,O,O,X,X,O,X,X,X,X,X,X
IZJLTSO,O,X,O,X,O,O,X,X,O,X,X
IZJLTOS,O,X,X,X,X,O,X,X,O,X,X
IZJLSTO,O,O,O,X,X,X,X,O,O,O,X
IZJLSOT,O,X,O,X,X,X,X,O,O,O,X
IZJLOTS,X,O,X,X,X,O,X,X,O,X,X
IZJLOST,X,O,O,X,X,X,X,O,O,X,X
IZJSTLO,O,O,X,X,X,X,X,X,O,O,X
IZJSTOL,O,O,X,X,X,X,X,X,O,X,X
IZJSLTO,O,O,O,X,X,X,X,X,O,O,X
IZJSLOT,O,X,O,X,X,X,X,X,O,O,X
IZJSOTL,O,O,X,X,X,X,X,X,O,X,X
IZJSOLT,O,O,X,X,X,X,X,X,X,O,X
IZJOTLS,O,O,X,X,O,X,X,X,X,X,X
IZJOTSL,O,O,X,X,O,X,X,X,X,X,X
IZJOLTS,X,O,X,X,O,O,X,X,O,X,X
IZJOLST,X,O,O,X,X,X,X,O,O,X,X
IZJOSTL,O,O,X,X,X,X,X,X,O,X,X
IZJOSLT,O,O,X,X,X,X,X,X,X,O,X
IZSTLJO,O,O,X,X,X,X,O,X,O,O,O
IZSTLOJ,X,X,X,O,X,X,O,X,X,O,X
IZSTJLO,O,O,X,X,X,X,O,X,O,O,O
IZSTJOL,O,O,X,X,X,X,X,X,O,X,X
IZSTOLJ,X,X,X,O,X,X,X,X,X,X,X
IZSTOJL,X,O,X,O,X,X,X,X,O,X,X
IZSLTJO,O,O,O,X,X,X,O,X,O,O,O
IZSLTOJ,X,X,O,O,X,X,O,X,O,O,X
IZSLJTO,O,O,O,X,X,X,O,X,O,O,X
IZSLJOT,O,X,O,X,X,X,X,X,O,O,X
IZSLOTJ,X,X,O,O,X,X,O,X,O,O,X
IZSLOJT,X,X,O,X,X,X,X,X,O,O,X
IZSJTLO,O,O,X,X,X,X,X,X,O,O,X
IZSJTOL,O,O,X,X,X,X,X,X,O,X,X
IZSJLTO,O,O,O,X,X,X,X,X,O,O,X
IZSJLOT,O,X,O,X,X,X,X,X,O,O,X
IZSJOTL,O,O,X,X,X,X,X,X,O,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,O,X,O,X,X,X,X,X,X,X
IZSOTJL,X,O,X,O,X,X,X,X,O,X,X
IZSOLTJ,X,O,X,O,X,X,X,X,X,O,X
IZSOLJT,X,O,X,X,X,X,X,X,X,O,X
IZSOJTL,X,O,X,X,X,X,X,X,O,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X,O,X
IZOTLJS,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,O,X,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X,X,X,X
