sequence,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicB9iBTeBfnB8s?B+tB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBeiBtiB6jB/t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhF/hBaiBGeBUjB9s?BTtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB0dBdnBSoBGt?BXtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicBTeBfnBGoBUt?B9sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB/iBGeBNoBUn?BSyB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFmcB6jB0hB3nBTt?BtsB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBXeBdnBCtB+t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBcjBXiBtsB+t?BisB
TIZJLSO,X,X,O,O,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X
TIZJSLO,X,O,O,O,O,X,X,X,X
TIZJSOL,X,O,O,O,O,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X,X
TIZJOSL,X,O,O,O,O,X,X,X,X
TIZSLJO,X,O,O,X,O,O,X,X,X
TIZSLOJ,X,O,O,X,X,O,X,X,X
TIZSJLO,X,O,O,X,O,X,X,X,X
TIZSJOL,X,O,O,X,O,X,X,X,X
TIZSOLJ,X,O,O,X,X,O,X,X,X
TIZSOJL,X,O,O,X,X,X,X,X,X
TIZOLJS,X,X,O,X,X,O,X,O,X
TIZOLSJ,X,X,O,X,X,O,O,X,X
TIZOJLS,X,X,O,O,X,X,X,X,X
TIZOJSL,X,O,O,O,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,O,O,X,X
TIZOSJL,X,O,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,X,X,X,O,X
TIOLJZS,X,X,X,O,X,O,X,O,X
TIOLSJZ,X,X,O,X,X,X,X,O,X
TIOLSZJ,X,X,O,X,X,O,O,X,X
TIOLZJS,X,X,O,X,X,O,X,O,X
TIOLZSJ,X,X,O,X,X,O,O,X,X
TIOJLSZ,X,X,X,O,X,X,X,O,X
TIOJLZS,X,X,X,O,X,X,X,O,X
TIOJSLZ,X,O,O,O,X,X,X,X,X
TIOJSZL,X,O,O,O,X,X,X,X,X
TIOJZLS,X,X,O,O,X,X,X,X,X
TIOJZSL,X,O,O,O,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,X,X,O,X
TIOSLZJ,X,X,O,X,X,X,O,X,X
TIOSJLZ,X,O,O,O,X,X,X,X,X
TIOSJZL,X,O,O,O,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,O,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,O,X,O,X
TIOZLSJ,X,X,O,X,X,O,O,X,X
TIOZJLS,X,X,O,O,X,X,X,X,X
TIOZJSL,X,O,O,O,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,O,O,X,X
TIOZSJL,X,O,O,X,X,X,X,X,X
TLIJSZO,O,X,X,O,X,X,X,O,X
TLIJSOZ,X,X,X,O,X,X,X,O,X
TLIJZSO,O,X,X,O,X,O,X,O,X
TLIJZOS,X,X,X,O,X,O,X,O,X
TLIJOSZ,X,X,X,O,X,X,X,O,X
TLIJOZS,X,X,X,O,X,O,X,O,X
TLISJZO,O,X,O,X,X,X,X,O,X
TLISJOZ,X,X,O,X,X,X,X,O,X
TLISZJO,X,X,O,X,O,O,X,X,X
TLISZOJ,X,X,O,X,X,O,X,X,X
TLISOJZ,X,X,O,X,X,X,X,O,X
TLISOZJ,X,X,O,X,X,O,X,X,X
TLIZJSO,X,X,O,X,X,O,X,O,X
TLIZJOS,X,X,X,X,X,O,X,O,X
TLIZSJO,X,X,O,X,O,O,X,X,X
TLIZSOJ,X,X,O,X,X,O,X,X,X
TLIZOJS,X,X,X,X,X,O,X,O,X
TLIZOSJ,X,X,X,X,X,O,X,X,X
TLIOJSZ,X,X,X,O,X,X,X,O,X
TLIOJZS,X,X,X,O,X,O,X,O,X
TLIOSJZ,X,X,O,X,X,X,X,O,X
TLIOSZJ,X,X,O,X,X,O,X,X,X
TLIOZJS,X,X,O,X,X,O,X,O,X
TLIOZSJ,X,X,O,X,X,O,X,X,X
TLJISZO,O,X,X,O,X,X,X,O,X
TLJISOZ,X,X,X,O,X,X,X,O,X
TLJIZSO,O,X,X,O,X,O,X,O,X
TLJIZOS,X,X,X,O,X,O,X,O,X
TLJIOSZ,X,X,X,O,X,X,X,O,X
TLJIOZS,X,X,X,O,X,O,X,O,X
TLJSIZO,O,X,X,O,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X,X,X
TLJZISO,O,X,X,O,X,O,X,X,X
TLJZIOS,X,X,X,O,X,O,X,X,X
TLJZSIO,O,X,X,O,X,O,X,X,X
TLJZSOI,O,X,X,O,X,O,X,X,X
TLJZOIS,X,X,X,O,X,O,X,X,X
TLJZOSI,X,X,X,O,X,O,X,X,X
TLJOISZ,X,X,X,O,X,X,X,O,X
TLJOIZS,X,X,X,O,X,O,X,O,X
TLJOSIZ,X,X,X,O,X,X,X,X,X
TLJOSZI,X,X,X,O,X,X,X,X,X
TLJOZIS,X,X,X,O,X,O,X,X,X
TLJOZSI,X,X,X,O,X,O,X,X,X
TLSIJZO,O,X,O,X,X,X,X,O,X
TLSIJOZ,X,X,O,X,X,X,X,O,X
TLSIZJO,X,X,O,X,O,O,X,X,X
TLSIZOJ,X,X,O,X,X,O,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,O,X
TLSIOZJ,X,X,O,X,X,O,X,X,X
TLSJIZO,O,X,O,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,X,X,X
TLSJZIO,O,X,O,X,X,X,X,X,X
TLSJZOI,O,X,O,X,X,X,X,X,X
TLSJOIZ,X,X,O,X,X,X,X,X,X
TLSJOZI,X,X,O,X,X,X,X,X,X
TLSZIJO,X,X,O,X,O,O,X,X,X
TLSZIOJ,X,X,O,X,X,O,X,X,X
TLSZJIO,X,X,O,X,O,O,X,X,X
TLSZJOI,X,X,O,X,X,O,X,X,X
TLSZOIJ,X,X,O,X,X,O,X,X,X
TLSZOJI,X,X,O,X,X,O,X,X,X
TLSOIJZ,X,X,O,X,X,X,X,O,X
TLSOIZJ,X,X,O,X,X,O,X,X,X
TLSOJIZ,X,X,O,X,X,X,X,X,X
TLSOJZI,X,X,O,X,X,X,X,X,X
TLSOZIJ,X,X,O,X,X,O,X,X,X
TLSOZJI,X,X,O,X,X,O,X,X,X
TLZIJSO,X,X,O,X,X,O,X,O,X
TLZIJOS,X,X,X,X,X,O,X,O,X
TLZISJO,X,X,O,X,O,O,X,X,X
TLZISOJ,X,X,O,X,X,O,X,X,X
TLZIOJS,X,X,X,X,X,O,X,O,X
TLZIOSJ,X,X,X,X,X,O,X,X,X
TLZJISO,X,X,O,X,X,O,X,X,X
TLZJIOS,X,X,X,X,X,O,X,X,X
TLZJSIO,X,X,O,X,X,O,X,X,X
TLZJSOI,X,X,O,X,X,O,X,X,X
TLZJOIS,X,X,X,X,X,O,X,X,X
TLZJOSI,X,X,X,X,X,O,X,X,X
TLZSIJO,X,X,O,X,O,O,X,X,X
TLZSIOJ,X,X,O,X,X,O,X,X,X
TLZSJIO,X,X,O,X,O,O,X,X,X
TLZSJOI,X,X,O,X,X,O,X,X,X
TLZSOIJ,X,X,O,X,X,O,X,X,X
TLZSOJI,X,X,O,X,X,O,X,X,X
TLZOIJS,X,X,X,X,X,O,X,O,X
TLZOISJ,X,X,X,X,X,O,X,X,X
TLZOJIS,X,X,X,X,X,O,X,X,X
TLZOJSI,X,X,X,X,X,O,X,X,X
TLZOSIJ,X,X,X,X,X,O,X,X,X
TLZOSJI,X,X,X,X,X,O,X,X,X
TLOIJSZ,X,X,X,O,X,X,X,O,X
TLOIJZS,X,X,X,O,X,O,X,O,X
TLOISJZ,X,X,O,X,X,X,X,O,X
TLOISZJ,X,X,O,X,X,O,X,X,X
TLOIZJS,X,X,O,X,X,O,X,O,X
TLOIZSJ,X,X,O,X,X,O,X,X,X
TLOJISZ,X,X,X,O,X,X,X,O,X
TLOJIZS,X,X,X,O,X,O,X,O,X
TLOJSIZ,X,X,X,O,X,X,X,X,X
TLOJSZI,X,X,X,O,X,X,X,X,X
TLOJZIS,X,X,X,O,X,O,X,X,X
TLOJZSI,X,X,X,O,X,O,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,O,X
TLOSIZJ,X,X,O,X,X,O,X,X,X
TLOSJIZ,X,X,O,X,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,X
TLOSZIJ,X,X,O,X,X,O,X,X,X
TLOSZJI,X,X,O,X,X,O,X,X,X
TLOZIJS,X,X,O,X,X,O,X,O,X
TLOZISJ,X,X,O,X,X,O,X,X,X
TLOZJIS,X,X,O,X,X,O,X,X,X
TLOZJSI,X,X,O,X,X,O,X,X,X
TLOZSIJ,X,X,O,X,X,O,X,X,X
TLOZSJI,X,X,O,X,X,O,X,X,X
TJILSZO,O,X,X,O,X,X,X,O,O
TJILSOZ,X,X,X,O,X,X,X,O,O
TJILZSO,O,X,X,O,X,X,X,O,O
TJILZOS,X,X,X,O,X,X,X,O,X
TJILOSZ,X,X,X,O,X,X,X,O,X
TJILOZS,X,X,X,O,X,X,X,O,X
TJISLZO,O,O,O,O,X,X,X,X,O
TJISLOZ,X,O,O,O,X,X,X,X,O
TJISZLO,O,O,O,O,X,X,X,X,O
TJISZOL,O,O,O,O,X,X,X,X,O
TJISOLZ,X,O,O,O,X,X,X,X,O
TJISOZL,X,O,O,O,X,X,X,X,O
TJIZLSO,O,X,O,O,X,X,X,X,O
TJIZLOS,O,X,X,O,X,X,X,X,X
TJIZSLO,O,O,O,O,X,X,X,X,O
TJIZSOL,O,O,O,O,X,X,X,X,O
TJIZOLS,O,X,X,O,X,X,X,X,X
TJIZOSL,O,O,O,O,X,X,X,X,O
TJIOLSZ,X,X,X,O,X,X,X,O,X
TJIOLZS,X,X,X,O,X,X,X,O,X
TJIOSLZ,X,O,O,O,X,X,X,X,O
TJIOSZL,X,O,O,O,X,X,X,X,O
TJIOZLS,O,X,O,O,X,X,X,X,X
TJIOZSL,O,O,O,O,X,X,X,X,O
TJLISZO,O,X,X,O,X,X,X,O,O
TJLISOZ,X,X,X,O,X,X,X,O,O
TJLIZSO,O,X,X,O,X,X,X,O,O
TJLIZOS,X,X,X,O,X,X,X,O,X
TJLIOSZ,X,X,X,O,X,X,X,O,X
TJLIOZS,X,X,X,O,X,X,X,O,X
TJLSIZO,O,X,X,O,X,X,X,X,O
TJLSIOZ,X,X,X,O,X,X,X,X,O
TJLSZIO,O,X,X,O,X,X,X,X,O
TJLSZOI,O,X,X,O,X,X,X,X,O
TJLSOIZ,X,X,X,O,X,X,X,X,O
TJLSOZI,X,X,X,O,X,X,X,X,O
TJLZISO,O,X,X,O,X,X,X,X,O
TJLZIOS,X,X,X,O,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,O
TJLZSOI,O,X,X,O,X,X,X,X,O
TJLZOIS,X,X,X,O,X,X,X,X,X
TJLZOSI,X,X,X,O,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,O,X
TJLOIZS,X,X,X,O,X,X,X,O,X
TJLOSIZ,X,X,X,O,X,X,X,X,X
TJLOSZI,X,X,X,O,X,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X,X
TJSILZO,O,O,O,O,X,X,X,X,O
TJSILOZ,X,O,O,O,X,X,X,X,O
TJSIZLO,O,O,O,O,X,X,X,X,O
TJSIZOL,O,O,O,O,X,X,X,X,O
TJSIOLZ,X,O,O,O,X,X,X,X,O
TJSIOZL,X,O,O,O,X,X,X,X,O
TJSLIZO,O,O,O,O,X,X,X,X,O
TJSLIOZ,X,O,O,O,X,X,X,X,O
TJSLZIO,O,O,O,O,X,X,X,X,O
TJSLZOI,O,O,O,O,X,X,X,X,O
TJSLOIZ,X,O,O,O,X,X,X,X,O
TJSLOZI,X,O,O,O,X,X,X,X,O
TJSZILO,O,O,O,O,X,X,X,X,O
TJSZIOL,O,O,O,O,X,X,X,X,O
TJSZLIO,O,O,O,O,X,X,X,X,O
TJSZLOI,O,O,O,O,X,X,X,X,O
TJSZOIL,O,O,O,O,X,X,X,X,O
TJSZOLI,O,O,O,O,X,X,X,X,O
TJSOILZ,X,O,O,O,X,X,X,X,O
TJSOIZL,X,O,O,O,X,X,X,X,O
TJSOLIZ,X,O,O,O,X,X,X,X,O
TJSOLZI,X,O,O,O,X,X,X,X,O
TJSOZIL,X,O,O,O,X,X,X,X,O
TJSOZLI,X,O,O,O,X,X,X,X,O
TJZILSO,O,X,O,O,X,X,X,X,O
TJZILOS,O,X,X,O,X,X,X,X,X
TJZISLO,O,O,O,O,X,X,X,X,O
TJZISOL,O,O,O,O,X,X,X,X,O
TJZIOLS,O,X,X,O,X,X,X,X,X
TJZIOSL,O,O,O,O,X,X,X,X,O
TJZLISO,O,X,O,O,X,X,X,X,O
TJZLIOS,O,X,X,O,X,X,X,X,X
TJZLSIO,O,X,O,O,X,X,X,X,O
TJZLSOI,O,X,O,O,X,X,X,X,O
TJZLOIS,O,X,X,O,X,X,X,X,X
TJZLOSI,O,X,X,O,X,X,X,X,X
TJZSILO,O,O,O,O,X,X,X,X,O
TJZSIOL,O,O,O,O,X,X,X,X,O
TJZSLIO,O,O,O,O,X,X,X,X,O
TJZSLOI,O,O,O,O,X,X,X,X,O
TJZSOIL,O,O,O,O,X,X,X,X,O
TJZSOLI,O,O,O,O,X,X,X,X,O
TJZOILS,O,X,X,O,X,X,X,X,X
TJZOISL,O,O,O,O,X,X,X,X,O
TJZOLIS,O,X,X,O,X,X,X,X,X
TJZOLSI,O,X,X,O,X,X,X,X,X
TJZOSIL,O,O,O,O,X,X,X,X,O
TJZOSLI,O,O,O,O,X,X,X,X,O
TJOILSZ,X,X,X,O,X,X,X,O,X
TJOILZS,X,X,X,O,X,X,X,O,X
TJOISLZ,X,O,O,O,X,X,X,X,O
TJOISZL,X,O,O,O,X,X,X,X,O
TJOIZLS,O,X,O,O,X,X,X,X,X
TJOIZSL,O,O,O,O,X,X,X,X,O
TJOLISZ,X,X,X,O,X,X,X,O,X
TJOLIZS,X,X,X,O,X,X,X,O,X
TJOLSIZ,X,X,X,O,X,X,X,X,X
TJOLSZI,X,X,X,O,X,X,X,X,X
TJOLZIS,X,X,X,O,X,X,X,X,X
TJOLZSI,X,X,X,O,X,X,X,X,X
TJOSILZ,X,O,O,O,X,X,X,X,O
TJOSIZL,X,O,O,O,X,X,X,X,O
TJOSLIZ,X,O,O,O,X,X,X,X,O
TJOSLZI,X,O,O,O,X,X,X,X,O
TJOSZIL,X,O,O,O,X,X,X,X,O
TJOSZLI,X,O,O,O,X,X,X,X,O
TJOZILS,O,X,O,O,X,X,X,X,X
TJOZISL,O,O,O,O,X,X,X,X,O
TJOZLIS,O,X,O,O,X,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,X
TJOZSIL,O,O,O,O,X,X,X,X,O
TJOZSLI,O,O,O,O,X,X,X,X,O
TSILJZO,O,O,O,X,X,X,X,O,X
TSILJOZ,X,O,O,X,X,X,X,O,X
TSILZJO,X,O,O,X,O,X,X,X,X
TSILZOJ,X,X,O,X,X,X,X,X,X
TSILOJZ,X,O,O,X,X,X,X,O,X
TSILOZJ,X,X,O,X,X,X,X,X,X
TSIJLZO,O,O,O,O,X,X,X,X,X
TSIJLOZ,X,O,O,O,X,X,X,X,X
TSIJZLO,O,O,O,O,X,X,X,X,X
TSIJZOL,O,O,O,O,X,X,X,X,X
TSIJOLZ,X,O,O,O,X,X,X,X,X
TSIJOZL,X,O,O,O,X,X,X,X,X
TSIZLJO,X,O,O,X,O,X,X,X,X
TSIZLOJ,X,X,O,X,X,X,X,X,X
TSIZJLO,X,O,O,X,O,X,X,X,X
TSIZJOL,X,O,O,X,O,X,X,X,X
TSIZOLJ,X,X,O,X,X,X,X,X,X
TSIZOJL,X,X,O,X,X,X,X,X,X
TSIOLJZ,X,O,O,X,X,X,X,O,X
TSIOLZJ,X,X,O,X,X,X,X,X,X
TSIOJLZ,X,O,O,O,X,X,X,X,X
TSIOJZL,X,O,O,O,X,X,X,X,X
TSIOZLJ,X,X,O,X,X,X,X,X,X
TSIOZJL,X,X,O,X,X,X,X,X,X
TSLIJZO,O,O,O,X,X,X,X,O,X
TSLIJOZ,X,O,O,X,X,X,X,O,X
TSLIZJO,X,O,O,X,O,X,X,X,X
TSLIZOJ,X,X,O,X,X,X,X,X,X
TSLIOJZ,X,O,O,X,X,X,X,O,X
TSLIOZJ,X,X,O,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,X,X,X,X
TSLJIOZ,X,O,O,X,X,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X,X,X
TSLJOIZ,X,O,O,X,X,X,X,X,X
TSLJOZI,X,O,O,X,X,X,X,X,X
TSLZIJO,X,O,O,X,O,X,X,X,X
TSLZIOJ,X,X,O,X,X,X,X,X,X
TSLZJIO,X,O,O,X,O,X,X,X,X
TSLZJOI,X,O,O,X,X,X,X,X,X
TSLZOIJ,X,X,O,X,X,X,X,X,X
TSLZOJI,X,X,O,X,X,X,X,X,X
TSLOIJZ,X,O,O,X,X,X,X,O,X
TSLOIZJ,X,X,O,X,X,X,X,X,X
TSLOJIZ,X,O,O,X,X,X,X,X,X
TSLOJZI,X,O,O,X,X,X,X,X,X
TSLOZIJ,X,X,O,X,X,X,X,X,X
TSLOZJI,X,X,O,X,X,X,X,X,X
TSJILZO,O,O,O,O,X,X,X,X,X
TSJILOZ,X,O,O,O,X,X,X,X,X
TSJIZLO,O,O,O,O,X,X,X,X,X
TSJIZOL,O,O,O,O,X,X,X,X,X
TSJIOLZ,X,O,O,O,X,X,X,X,X
TSJIOZL,X,O,O,O,X,X,X,X,X
TSJLIZO,O,O,O,O,X,X,X,X,X
TSJLIOZ,X,O,O,O,X,X,X,X,X
TSJLZIO,O,O,O,O,X,X,X,X,X
TSJLZOI,O,O,O,O,X,X,X,X,X
TSJLOIZ,X,O,O,O,X,X,X,X,X
TSJLOZI,X,O,O,O,X,X,X,X,X
TSJZILO,O,O,O,O,X,X,X,X,X
TSJZIOL,O,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,O,X,X,X,X,X
TSJZLOI,O,O,O,O,X,X,X,X,X
TSJZOIL,O,O,O,O,X,X,X,X,X
TSJZOLI,O,O,O,O,X,X,X,X,X
TSJOILZ,X,O,O,O,X,X,X,X,X
TSJOIZL,X,O,O,O,X,X,X,X,X
TSJOLIZ,X,O,O,O,X,X,X,X,X
TSJOLZI,X,O,O,O,X,X,X,X,X
TSJOZIL,X,O,O,O,X,X,X,X,X
TSJOZLI,X,O,O,O,X,X,X,X,X
TSZILJO,X,O,O,X,O,X,X,X,X
TSZILOJ,X,X,O,X,X,X,X,X,X
TSZIJLO,X,O,O,X,O,X,X,X,X
TSZIJOL,X,O,O,X,O,X,X,X,X
TSZIOLJ,X,X,O,X,X,X,X,X,X
TSZIOJL,X,X,O,X,X,X,X,X,X
TSZLIJO,X,O,O,X,O,X,X,X,X
TSZLIOJ,X,X,O,X,X,X,X,X,X
TSZLJIO,X,O,O,X,O,X,X,X,X
TSZLJOI,X,O,O,X,X,X,X,X,X
TSZLOIJ,X,X,O,X,X,X,X,X,X
TSZLOJI,X,X,O,X,X,X,X,X,X
TSZJILO,X,O,O,X,O,X,X,X,X
TSZJIOL,X,O,O,X,O,X,X,X,X
TSZJLIO,X,O,O,X,O,X,X,X,X
TSZJLOI,X,O,O,X,X,X,X,X,X
TSZJOIL,X,O,O,X,O,X,X,X,X
TSZJOLI,X,O,O,X,X,X,X,X,X
TSZOILJ,X,X,O,X,X,X,X,X,X
TSZOIJL,X,X,O,X,X,X,X,X,X
TSZOLIJ,X,X,O,X,X,X,X,X,X
TSZOLJI,X,X,O,X,X,X,X,X,X
TSZOJIL,X,X,O,X,X,X,X,X,X
TSZOJLI,X,X,O,X,X,X,X,X,X
TSOILJZ,X,O,O,X,X,X,X,O,X
TSOILZJ,X,X,O,X,X,X,X,X,X
TSOIJLZ,X,O,O,O,X,X,X,X,X
TSOIJZL,X,O,O,O,X,X,X,X,X
TSOIZLJ,X,X,O,X,X,X,X,X,X
TSOIZJL,X,X,O,X,X,X,X,X,X
TSOLIJZ,X,O,O,X,X,X,X,O,X
TSOLIZJ,X,X,O,X,X,X,X,X,X
TSOLJIZ,X,O,O,X,X,X,X,X,X
TSOLJZI,X,O,O,X,X,X,X,X,X
TSOLZIJ,X,X,O,X,X,X,X,X,X
TSOLZJI,X,X,O,X,X,X,X,X,X
TSOJILZ,X,O,O,O,X,X,X,X,X
TSOJIZL,X,O,O,O,X,X,X,X,X
TSOJLIZ,X,O,O,O,X,X,X,X,X
TSOJLZI,X,O,O,O,X,X,X,X,X
TSOJZIL,X,O,O,O,X,X,X,X,X
TSOJZLI,X,O,O,O,X,X,X,X,X
TSOZILJ,X,X,O,X,X,X,X,X,X
TSOZIJL,X,X,O,X,X,X,X,X,X
TSOZLIJ,X,X,O,X,X,X,X,X,X
TSOZLJI,X,X,O,X,X,X,X,X,X
TSOZJIL,X,X,O,X,X,X,X,X,X
TSOZJLI,X,X,O,X,X,X,X,X,X
TZILJSO,X,X,O,X,X,O,X,O,X
TZILJOS,X,X,X,X,X,O,X,O,X
TZILSJO,X,X,O,X,O,O,X,X,X
TZILSOJ,X,X,O,X,X,O,X,X,X
TZILOJS,X,X,X,X,X,O,X,O,X
TZILOSJ,X,X,X,X,X,O,X,X,X
TZIJLSO,X,X,O,O,X,X,X,X,X
TZIJLOS,X,X,X,O,X,X,X,X,X
TZIJSLO,X,O,O,O,O,X,X,X,X
TZIJSOL,X,O,O,O,O,X,X,X,X
TZIJOLS,X,X,X,O,X,X,X,X,X
TZIJOSL,X,O,O,O,O,X,X,X,X
TZISLJO,X,O,O,X,O,O,X,X,X
TZISLOJ,X,O,O,X,X,O,X,X,X
TZISJLO,X,O,O,X,O,X,X,X,X
TZISJOL,X,O,O,X,O,X,X,X,X
TZISOLJ,X,O,O,X,X,O,X,X,X
TZISOJL,X,O,O,X,X,X,X,X,X
TZIOLJS,X,X,O,X,X,O,X,O,X
TZIOLSJ,X,X,O,X,X,O,O,X,X
