sequence,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBUdB?ajB5jBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhF3dB5jB?zfBeoBFnBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFUdB5jB?zfBeoBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBUdB?FeB+oBRnBTsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBFdB?TeBWoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jem6IvhFTeB0fB?XiBxsBCtBFsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFFdBzfB?GjBXjBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBajB?5jBXiB1sBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFzfBxiB?FnBXoBGoBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFGeBzfB?XiBVoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je39IvhF5jBlfB?isB8sBmpBzrB
TIJZOLS,O,O,O,X,O,X,O,O,X,O,X
TIJZOSL,O,O,O,X,O,X,O,O,X,O,X
TIJOLSZ,X,O,O,X,O,X,O,O,O,O,X
TIJOLZS,O,O,O,X,X,X,O,O,X,O,X
TIJOSLZ,O,O,O,X,O,X,O,O,X,O,X
TIJOSZL,O,O,O,X,O,X,X,O,X,O,X
TIJOZLS,O,O,O,X,X,X,O,O,X,O,X
TIJOZSL,O,O,O,X,O,X,O,O,X,O,X
TISLJZO,O,X,X,X,O,X,X,O,X,X,X
TISLJOZ,O,X,X,X,O,X,X,O,X,O,X
TISLZJO,O,X,X,X,O,O,X,O,X,X,O
TISLZOJ,O,X,X,X,O,O,X,X,X,X,O
TISLOJZ,O,X,X,X,O,X,X,O,O,O,X
TISLOZJ,O,X,X,X,O,O,X,X,O,O,X
TISJLZO,O,X,X,X,O,X,X,O,X,X,X
TISJLOZ,O,X,X,X,O,X,X,O,X,O,X
TISJZLO,O,X,X,X,O,X,X,O,X,X,X
TISJZOL,O,X,X,X,O,X,X,O,X,O,X
TISJOLZ,O,X,X,X,O,X,O,O,O,O,X
TISJOZL,O,X,X,X,O,X,X,O,X,O,X
TISZLJO,O,X,X,X,O,O,X,O,X,X,X
TISZLOJ,O,X,X,X,O,O,X,X,X,X,X
TISZJLO,O,X,X,X,O,O,X,O,X,X,X
TISZJOL,O,X,X,X,O,X,O,O,X,O,X
TISZOLJ,O,X,X,X,O,X,O,X,O,O,X
TISZOJL,O,X,X,X,O,X,O,X,X,O,X
TISOLJZ,O,X,X,X,O,X,O,O,O,O,X
TISOLZJ,O,X,X,X,O,X,O,X,O,O,X
TISOJLZ,O,X,X,X,O,X,O,O,O,O,X
TISOJZL,O,X,X,X,O,X,X,O,X,O,X
TISOZLJ,O,X,X,X,O,X,O,X,O,O,X
TISOZJL,O,X,X,X,O,X,O,X,X,O,X
TIZLJSO,O,X,X,X,O,O,X,O,X,X,O
TIZLJOS,O,X,X,X,O,O,O,O,X,X,X
TIZLSJO,O,X,X,X,O,O,X,O,X,X,O
TIZLSOJ,X,X,X,X,O,O,X,X,X,X,O
TIZLOJS,O,X,X,X,X,O,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,O,O,X,X,X,O
TIZJLSO,O,X,X,X,O,O,X,O,X,X,X
TIZJLOS,O,X,O,X,O,O,O,O,X,X,X
TIZJSLO,O,X,X,X,O,O,X,O,X,X,X
TIZJSOL,O,X,O,X,O,X,O,O,X,O,X
TIZJOLS,O,X,O,X,O,X,O,O,X,O,X
TIZJOSL,O,X,O,X,O,X,O,O,X,O,X
TIZSLJO,O,X,X,X,O,O,X,O,X,X,X
TIZSLOJ,X,X,X,X,O,O,X,X,X,X,X
TIZSJLO,O,X,X,X,O,O,X,O,X,X,X
TIZSJOL,O,X,X,X,O,X,O,O,X,O,X
TIZSOLJ,X,X,X,X,O,X,O,X,X,O,X
TIZSOJL,X,X,X,X,O,X,O,X,X,O,X
TIZOLJS,O,X,O,X,X,X,O,X,X,O,X
TIZOLSJ,X,X,X,X,X,X,O,X,O,O,X
TIZOJLS,O,X,O,X,O,X,O,X,X,O,X
TIZOJSL,O,X,O,X,O,X,O,X,X,O,X
TIZOSLJ,X,X,X,X,O,X,O,X,X,O,X
TIZOSJL,X,X,X,X,O,X,O,X,X,O,X
TIOLJSZ,X,O,O,X,X,X,O,O,O,O,X
TIOLJZS,X,O,O,X,X,X,O,O,X,O,X
TIOLSJZ,X,X,X,X,X,X,O,O,O,O,X
TIOLSZJ,X,X,X,X,X,X,O,X,O,O,X
TIOLZJS,X,X,O,X,X,X,O,X,X,O,X
TIOLZSJ,X,X,X,X,X,X,O,X,O,O,O
TIOJLSZ,X,O,O,X,O,X,O,O,O,O,X
TIOJLZS,O,O,O,X,X,X,O,O,X,O,X
TIOJSLZ,X,O,O,X,O,X,O,O,X,O,X
TIOJSZL,O,O,O,X,O,X,X,O,X,O,X
TIOJZLS,O,O,O,X,X,X,O,O,X,O,X
TIOJZSL,O,O,O,X,O,X,O,O,X,O,X
TIOSLJZ,X,X,X,X,O,X,O,O,O,O,X
TIOSLZJ,X,X,X,X,O,X,O,X,O,O,X
TIOSJLZ,X,X,X,X,O,X,O,O,O,O,X
TIOSJZL,X,X,X,X,O,X,X,O,X,O,X
TIOSZLJ,X,X,X,X,O,X,O,X,O,O,X
TIOSZJL,X,X,X,X,O,X,O,X,X,O,X
TIOZLJS,O,X,O,X,X,X,O,X,X,O,X
TIOZLSJ,X,X,X,X,X,X,O,X,O,O,X
TIOZJLS,O,X,O,X,O,X,O,X,X,O,X
TIOZJSL,O,X,O,X,O,X,O,X,X,O,X
TIOZSLJ,X,X,X,X,O,X,O,X,X,O,X
TIOZSJL,X,X,X,X,O,X,O,X,X,O,X
TLIJSZO,X,X,X,X,O,X,X,O,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,O,X,X,X
TLIJZSO,O,X,X,X,X,X,X,O,X,X,O
TLIJZOS,O,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,O,X,X,X
TLIJOZS,O,X,X,X,X,X,O,O,X,X,X
TLISJZO,X,X,X,X,O,X,X,O,X,X,X
TLISJOZ,X,X,X,X,O,X,X,O,X,X,X
TLISZJO,X,X,X,X,O,X,X,O,X,X,O
TLISZOJ,X,X,X,X,O,X,X,X,X,X,O
TLISOJZ,X,X,X,X,O,X,X,O,X,X,X
TLISOZJ,X,X,X,X,O,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,X,O,X,X,O
TLIZJOS,O,X,X,X,O,X,O,O,X,X,X
TLIZSJO,O,X,X,X,O,X,X,O,X,X,O
TLIZSOJ,X,X,X,X,O,X,X,X,X,X,O
TLIZOJS,O,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,O,X,X,X,O
TLIOJSZ,X,X,X,X,X,X,O,O,O,X,X
TLIOJZS,X,X,X,X,X,X,O,O,X,X,X
TLIOSJZ,X,X,X,X,X,X,O,O,O,X,X
TLIOSZJ,X,X,X,X,X,X,O,X,O,X,X
TLIOZJS,X,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,O,X,O,X,O
TLJISZO,X,X,X,X,X,X,X,O,X,X,X
TLJISOZ,X,O,X,X,X,X,X,O,X,X,X
TLJIZSO,O,X,X,X,X,X,X,O,X,X,O
TLJIZOS,O,X,O,X,X,X,X,O,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,O,X,X,X
TLJIOZS,O,O,O,X,X,X,X,O,X,X,X
TLJSIZO,X,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,X,O,X,X,X,X,X,O,X,X,X
TLJSZIO,X,X,X,X,X,X,X,O,X,X,X
TLJSZOI,X,X,X,X,X,X,X,O,X,X,X
TLJSOIZ,X,O,X,X,X,X,X,O,X,X,X
TLJSOZI,X,O,X,X,X,X,X,O,X,X,X
TLJZISO,O,X,X,X,X,X,X,O,X,X,X
TLJZIOS,O,X,O,X,X,X,X,O,X,X,X
TLJZSIO,O,X,X,X,X,X,X,O,X,X,X
TLJZSOI,O,X,X,X,X,X,X,O,X,X,X
TLJZOIS,O,X,O,X,X,X,X,O,X,X,X
TLJZOSI,O,X,O,X,X,X,X,O,X,X,X
TLJOISZ,X,O,O,X,X,X,X,O,X,X,X
TLJOIZS,O,O,O,X,X,X,X,O,X,X,X
TLJOSIZ,X,O,O,X,X,X,X,O,X,X,X
TLJOSZI,X,O,O,X,X,X,X,O,X,X,X
TLJOZIS,O,O,O,X,X,X,X,O,X,X,X
TLJOZSI,O,O,O,X,X,X,X,O,X,X,X
TLSIJZO,X,X,X,X,O,X,X,O,X,X,X
TLSIJOZ,X,X,X,X,O,X,X,O,X,X,X
TLSIZJO,X,X,X,X,O,X,X,O,X,X,O
TLSIZOJ,X,X,X,X,O,X,X,X,X,X,O
TLSIOJZ,X,X,X,X,O,X,X,O,O,X,X
TLSIOZJ,X,X,X,X,O,X,X,X,O,X,X
TLSJIZO,X,X,X,X,O,X,X,O,X,X,X
TLSJIOZ,X,X,X,X,O,X,X,O,X,X,X
TLSJZIO,X,X,X,X,X,X,X,O,X,X,X
TLSJZOI,X,X,X,X,X,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,O,X,X,X
TLSJOZI,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,X,X,X,X,O,X,X,O,X,X,X
TLSZIOJ,X,X,X,X,O,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,O,X,X,X
TLSZJOI,X,X,X,X,X,X,X,O,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,O,O,X,X
TLSOIZJ,X,X,X,X,O,X,X,X,O,X,X
TLSOJIZ,X,X,X,X,X,X,X,O,O,X,X
TLSOJZI,X,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X,O,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,O,X,X,O
TLZIJOS,O,X,X,X,X,X,X,O,X,X,X
TLZISJO,O,X,X,X,X,X,X,O,X,X,O
TLZISOJ,X,X,X,X,X,X,X,X,X,X,O
TLZIOJS,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,O
TLZJISO,O,X,X,X,X,X,X,O,X,X,X
TLZJIOS,O,X,O,X,X,X,X,O,X,X,X
TLZJSIO,O,X,X,X,X,X,X,O,X,X,X
TLZJSOI,O,X,X,X,X,X,X,O,X,X,X
TLZJOIS,O,X,O,X,X,X,X,O,X,X,X
TLZJOSI,O,X,O,X,X,X,X,O,X,X,X
TLZSIJO,O,X,X,X,X,X,X,O,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,O,X,X,X
TLZSJOI,O,X,X,X,X,X,X,O,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,X,X,X
TLZOJSI,O,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,O,X,X,X,O,O,O,X,X
TLOIJZS,X,O,O,X,X,X,O,O,X,X,X
TLOISJZ,X,X,X,X,X,X,O,O,O,X,X
TLOISZJ,X,X,X,X,X,X,O,X,O,X,X
TLOIZJS,X,X,O,X,X,X,O,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,O,X,O,X,O
TLOJISZ,X,O,O,X,X,X,O,O,O,X,X
TLOJIZS,X,O,O,X,X,X,O,O,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,O,O,X,X
TLOJSZI,X,O,O,X,X,X,X,O,X,X,X
TLOJZIS,X,O,O,X,X,X,X,O,X,X,X
TLOJZSI,X,O,O,X,X,X,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,X,O,O,O,X,X
TLOSIZJ,X,X,X,X,X,X,O,X,O,X,X
TLOSJIZ,X,O,O,X,X,X,X,O,O,X,X
TLOSJZI,X,O,O,X,X,X,X,O,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,O,X,X
TLOSZJI,X,X,O,X,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,O,X,X,X,X
TLOZISJ,X,X,X,X,X,X,O,X,O,X,X
TLOZJIS,X,O,O,X,X,X,X,X,X,X,X
TLOZJSI,X,O,O,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,O,X,X
TLOZSJI,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,O,O,X,X,O,X,X,X
TJILSOZ,X,O,X,O,O,X,X,O,X,X,X
TJILZSO,O,X,X,O,X,X,X,O,X,X,O
TJILZOS,O,X,O,X,X,X,X,O,X,X,X
TJILOSZ,X,O,O,X,O,X,O,O,X,X,X
TJILOZS,O,O,O,X,X,X,O,O,X,X,X
TJISLZO,O,X,X,O,O,X,X,O,X,X,X
TJISLOZ,O,O,X,O,O,X,X,O,X,X,X
TJISZLO,O,X,X,O,O,X,X,O,X,X,X
TJISZOL,O,O,O,O,O,X,X,O,X,X,X
TJISOLZ,O,O,O,O,O,X,O,O,X,X,X
TJISOZL,O,O,O,O,O,X,X,O,X,X,X
TJIZLSO,O,X,X,O,O,X,X,O,X,X,X
TJIZLOS,O,X,O,X,O,X,O,O,X,X,X
TJIZSLO,O,X,X,O,O,X,X,O,X,X,X
TJIZSOL,O,O,O,O,O,X,O,O,X,X,X
TJIZOLS,O,O,O,X,O,X,O,O,X,X,X
TJIZOSL,O,O,O,O,O,X,O,O,X,X,X
TJIOLSZ,X,O,O,X,O,X,O,O,O,X,X
TJIOLZS,O,O,O,X,X,X,O,O,X,X,X
TJIOSLZ,O,O,O,O,O,X,O,O,X,X,X
TJIOSZL,O,O,O,O,O,X,X,O,X,X,X
TJIOZLS,O,O,O,X,X,X,O,O,X,X,X
TJIOZSL,O,O,O,O,O,X,O,O,X,X,X
TJLISZO,X,X,X,O,X,X,X,O,X,X,X
TJLISOZ,X,O,X,O,X,X,X,O,X,X,X
TJLIZSO,O,X,X,O,X,X,X,O,X,X,O
TJLIZOS,O,X,O,X,X,X,X,O,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,O,X,X,X
TJLIOZS,O,O,O,X,X,X,X,O,X,X,X
TJLSIZO,X,X,X,O,X,X,X,O,X,X,X
TJLSIOZ,X,O,X,O,X,X,X,O,X,X,X
TJLSZIO,X,X,X,O,X,X,X,O,X,X,X
TJLSZOI,X,X,X,O,X,X,X,O,X,X,X
TJLSOIZ,X,O,X,O,X,X,X,O,X,X,X
TJLSOZI,X,O,X,O,X,X,X,O,X,X,X
TJLZISO,O,X,X,X,X,X,X,O,X,X,X
TJLZIOS,O,X,O,X,X,X,X,O,X,X,X
TJLZSIO,O,X,X,O,X,X,X,O,X,X,X
TJLZSOI,O,X,X,O,X,X,X,O,X,X,X
TJLZOIS,O,X,O,X,X,X,X,O,X,X,X
TJLZOSI,O,X,O,X,X,X,X,O,X,X,X
TJLOISZ,X,O,O,X,X,X,X,O,X,X,X
TJLOIZS,O,O,O,X,X,X,X,O,X,X,X
TJLOSIZ,X,O,O,X,X,X,X,O,X,X,X
TJLOSZI,X,O,O,X,X,X,X,O,X,X,X
TJLOZIS,O,O,O,X,X,X,X,O,X,X,X
TJLOZSI,O,O,O,X,X,X,X,O,X,X,X
TJSILZO,O,X,X,O,O,X,X,O,X,X,X
TJSILOZ,O,O,X,O,O,X,X,O,X,X,X
TJSIZLO,O,X,X,O,O,X,X,O,X,X,X
TJSIZOL,O,O,O,O,O,X,X,O,X,X,X
TJSIOLZ,O,O,O,O,O,X,X,O,O,X,X
TJSIOZL,O,O,O,O,O,X,X,O,X,X,X
TJSLIZO,O,X,X,O,O,X,X,O,X,X,X
TJSLIOZ,O,O,X,O,O,X,X,O,X,X,X
TJSLZIO,O,X,X,O,X,X,X,O,X,X,X
TJSLZOI,O,X,X,O,X,X,X,O,X,X,X
TJSLOIZ,O,O,X,O,X,X,X,O,X,X,X
TJSLOZI,O,O,X,O,X,X,X,O,X,X,X
TJSZILO,O,X,X,O,X,X,X,O,X,X,X
TJSZIOL,O,O,O,O,X,X,X,O,X,X,X
TJSZLIO,O,X,X,O,X,X,X,O,X,X,X
TJSZLOI,O,X,X,O,X,X,X,O,X,X,X
TJSZOIL,O,O,O,X,X,X,X,O,X,X,X
TJSZOLI,O,O,O,O,X,X,X,O,X,X,X
TJSOILZ,O,O,O,O,X,X,X,O,O,X,X
TJSOIZL,O,O,O,O,X,X,X,O,X,X,X
TJSOLIZ,O,O,O,O,X,X,X,O,O,X,X
TJSOLZI,O,O,O,O,X,X,X,O,X,X,X
TJSOZIL,O,O,O,O,X,X,X,O,X,X,X
TJSOZLI,O,O,O,O,X,X,X,O,X,X,X
TJZILSO,O,X,X,O,X,X,X,O,X,X,X
TJZILOS,O,X,O,X,X,X,X,O,X,X,X
TJZISLO,O,X,X,O,X,X,X,O,X,X,X
TJZISOL,O,O,O,O,X,X,X,O,X,X,X
TJZIOLS,O,O,O,X,X,X,X,O,X,X,X
TJZIOSL,O,O,O,O,X,X,X,O,X,X,X
TJZLISO,O,X,X,X,X,X,X,O,X,X,X
TJZLIOS,O,X,O,X,X,X,X,O,X,X,X
TJZLSIO,O,X,X,O,X,X,X,O,X,X,X
TJZLSOI,O,X,X,O,X,X,X,O,X,X,X
TJZLOIS,O,X,O,X,X,X,X,O,X,X,X
TJZLOSI,O,X,O,X,X,X,X,O,X,X,X
TJZSILO,O,X,X,O,X,X,X,O,X,X,X
TJZSIOL,O,O,O,O,X,X,X,O,X,X,X
TJZSLIO,O,X,X,O,X,X,X,O,X,X,X
TJZSLOI,O,X,X,O,X,X,X,O,X,X,X
TJZSOIL,O,O,O,X,X,X,X,O,X,X,X
TJZSOLI,O,O,O,O,X,X,X,O,X,X,X
TJZOILS,O,O,O,X,X,X,X,O,X,X,X
TJZOISL,O,O,O,X,X,X,X,O,X,X,X
TJZOLIS,O,O,O,X,X,X,X,O,X,X,X
TJZOLSI,O,O,O,X,X,X,X,O,X,X,X
TJZOSIL,O,O,O,X,X,X,X,O,X,X,X
TJZOSLI,O,O,O,O,X,X,X,O,X,X,X
TJOILSZ,X,O,O,O,X,X,O,O,O,X,X
TJOILZS,O,O,O,O,X,X,O,O,X,X,X
TJOISLZ,O,O,O,O,X,X,O,O,X,X,X
TJOISZL,O,O,O,O,X,X,X,O,X,X,X
TJOIZLS,O,O,O,O,X,X,O,O,X,X,X
TJOIZSL,O,O,O,O,X,X,O,O,X,X,X
TJOLISZ,X,O,O,X,X,X,O,O,O,X,X
TJOLIZS,O,O,O,X,X,X,O,O,X,X,X
TJOLSIZ,X,O,O,O,X,X,X,O,O,X,X
TJOLSZI,X,O,O,O,X,X,X,O,X,X,X
TJOLZIS,O,O,O,X,X,X,X,O,X,X,X
TJOLZSI,O,O,O,O,X,X,X,O,X,X,X
TJOSILZ,O,O,O,O,X,X,X,O,O,X,X
TJOSIZL,O,O,O,O,X,X,X,O,X,X,X
TJOSLIZ,O,O,O,O,X,X,X,O,O,X,X
TJOSLZI,O,O,O,O,X,X,X,O,X,X,X
TJOSZIL,O,O,O,O,X,X,X,O,X,X,X
TJOSZLI,O,O,O,O,X,X,X,O,X,X,X
TJOZILS,O,O,O,O,X,X,X,O,X,X,X
TJOZISL,O,O,O,O,X,X,X,O,X,X,X
TJOZLIS,O,O,O,X,X,X,X,O,X,X,X
TJOZLSI,O,O,O,O,X,X,X,O,X,X,X
TJOZSIL,O,O,O,O,X,X,X,O,X,X,X
TJOZSLI,O,O,O,O,X,X,X,O,X,X,X
TSILJZO,O,X,X,X,O,X,X,O,X,X,X
TSILJOZ,O,X,X,X,O,X,X,O,X,O,X
TSILZJO,O,X,X,X,O,O,X,O,X,X,O
TSILZOJ,O,X,X,X,O,O,X,X,X,X,O
TSILOJZ,O,X,X,X,O,X,X,O,O,O,X
TSILOZJ,O,X,X,X,O,O,X,X,O,O,X
TSIJLZO,O,X,X,X,O,X,X,O,X,X,X
TSIJLOZ,O,X,X,X,O,X,X,O,X,O,X
TSIJZLO,O,X,X,X,O,X,X,O,X,X,X
TSIJZOL,O,X,X,X,O,X,X,O,X,O,X
TSIJOLZ,O,X,X,X,O,X,O,O,O,O,X
TSIJOZL,O,X,X,X,O,X,X,O,X,O,X
TSIZLJO,O,X,X,X,O,O,X,O,X,X,X
TSIZLOJ,O,X,X,X,O,O,X,X,X,X,X
TSIZJLO,O,X,X,X,O,O,X,O,X,X,X
TSIZJOL,O,X,X,X,O,X,O,O,X,O,X
TSIZOLJ,O,X,X,X,O,X,O,X,O,O,X
TSIZOJL,O,X,X,X,O,X,O,X,X,O,X
TSIOLJZ,O,X,X,X,O,X,O,O,O,O,X
TSIOLZJ,O,X,X,X,O,X,O,X,O,O,X
TSIOJLZ,O,X,X,X,O,X,O,O,O,O,X
TSIOJZL,O,X,X,X,O,X,X,O,X,O,X
TSIOZLJ,O,X,X,X,O,X,O,X,O,O,X
TSIOZJL,O,X,X,X,O,X,O,X,X,O,X
TSLIJZO,O,X,X,X,O,X,X,O,X,X,X
TSLIJOZ,O,X,X,X,O,X,X,O,X,X,X
TSLIZJO,O,X,X,X,O,X,X,O,X,X,O
TSLIZOJ,O,X,X,X,O,X,X,X,X,X,O
TSLIOJZ,O,X,X,X,O,X,X,O,O,X,X
TSLIOZJ,O,X,X,X,O,X,X,X,O,X,X
TSLJIZO,O,X,X,O,O,X,X,O,X,X,X
TSLJIOZ,O,X,X,O,O,X,X,O,X,X,X
TSLJZIO,O,X,X,O,X,X,X,O,X,X,X
TSLJZOI,O,X,X,O,X,X,X,O,X,X,X
TSLJOIZ,O,X,X,O,X,X,X,O,X,X,X
TSLJOZI,O,X,X,O,X,X,X,O,X,X,X
TSLZIJO,O,X,X,X,O,X,X,O,X,X,X
TSLZIOJ,O,X,X,X,O,X,X,X,X,X,X
TSLZJIO,O,X,X,O,X,X,X,O,X,X,X
TSLZJOI,O,X,X,O,X,X,X,O,X,X,X
TSLZOIJ,O,X,X,X,X,X,X,X,X,X,X
TSLZOJI,O,X,X,O,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,O,X,X,O,O,X,X
TSLOIZJ,O,X,X,X,O,X,X,X,O,X,X
TSLOJIZ,O,X,X,O,X,X,X,O,O,X,X
TSLOJZI,O,X,X,O,X,X,X,O,X,X,X
TSLOZIJ,O,X,X,X,X,X,X,X,O,X,X
TSLOZJI,O,X,X,O,X,X,X,X,X,X,X
TSJILZO,O,X,X,O,O,X,X,O,X,X,X
TSJILOZ,O,O,X,O,O,X,X,O,X,X,X
TSJIZLO,O,X,X,O,O,X,X,O,X,X,X
TSJIZOL,O,O,O,O,O,X,X,O,X,X,X
TSJIOLZ,O,O,O,O,O,X,X,O,O,X,X
TSJIOZL,O,O,O,O,O,X,X,O,X,X,X
TSJLIZO,O,X,X,O,O,X,X,O,X,X,X
TSJLIOZ,O,O,X,O,O,X,X,O,X,X,X
TSJLZIO,O,X,X,O,X,X,X,O,X,X,X
TSJLZOI,O,X,X,O,X,X,X,O,X,X,X
TSJLOIZ,O,O,X,O,X,X,X,O,X,X,X
TSJLOZI,O,O,X,O,X,X,X,O,X,X,X
TSJZILO,O,X,X,O,X,X,X,O,X,X,X
TSJZIOL,O,O,O,O,X,X,X,O,X,X,X
