sequence,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je2/IvhFRbBCeB?UhBTjBFlB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je2/IvhFRbBCeB?TjBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jei6IvhFzdB+jB?RgBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFRbBGeB?igBUjBFmBTqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jem7IvhFfjB6jB?xfB0fBFmBTqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jei6IvhFWjBRgB?TjBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFzbBGeB?UjBxlBlqBaqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFCeBZlB?TjBFmB8lBGqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jez7IvhFSjBlfB?UjBxlBmkB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jex6IvhF8gBzdB?+jBlfBKqBXrB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8JeWDJvhFxfBVmB?0fBTjBilB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8JeKBJvhFWjBxfB?lfBclBTjB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFCeBTjB?xlB2qB8qBFqB
TISZOJL,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,X,X,X,O,X,X,X,X,X,O,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,X,X,O,X,X,X,X,X,O,X,X,X
TLSZJOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSIOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSLIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,X,O,X,X,O,X,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOILS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOILZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJOLZIS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZLIS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X,X,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X
