sequence,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBOrBX?lBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBKrBf?sBTlBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFxdBlhB8qBG?mBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhFxdBlhB3lBW?vBirB0rB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBO?rBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBS?vBmrBTrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBTmBG?qBywBXqB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhFlgB3hB6qB0?mBzpB2wB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhF0cBxdB/mB1?qBWvBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBTlBK?rBfsBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFFcBxdBumB8?qBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je1BJvhFxdB0gBfsBT?lBKrBWvB
TILOSJZ,X,X,X,X,X,X,X,X,O,X,X,X
TILOSZJ,X,X,O,X,O,X,O,X,O,X,X,X
TILOZJS,X,X,X,X,O,O,O,X,X,X,X,X
TILOZSJ,X,X,X,X,O,O,O,X,O,X,X,X
TIJLSZO,O,X,O,O,X,O,X,O,O,X,X,O
TIJLSOZ,X,X,X,O,X,X,X,O,O,X,X,X
TIJLZSO,O,X,X,O,O,O,X,X,O,O,O,X
TIJLZOS,O,X,X,X,O,O,X,X,O,X,X,X
TIJLOSZ,X,X,X,O,X,X,O,X,O,X,X,X
TIJLOZS,O,X,X,X,X,O,O,X,O,X,X,X
TIJSLZO,X,O,O,O,X,O,X,O,O,X,X,O
TIJSLOZ,X,O,X,O,X,X,X,O,O,X,X,X
TIJSZLO,O,O,O,X,X,O,X,O,O,O,X,O
TIJSZOL,X,X,O,O,X,X,X,O,O,O,X,O
TIJSOLZ,X,X,X,O,X,X,X,O,O,X,X,X
TIJSOZL,X,X,X,O,X,X,X,O,O,X,X,O
TIJZLSO,O,X,X,X,O,O,X,X,X,O,X,X
TIJZLOS,O,X,X,X,O,O,X,X,X,X,X,X
TIJZSLO,O,O,X,X,O,O,X,O,O,O,O,O
TIJZSOL,X,X,X,O,X,X,X,O,O,O,O,O
TIJZOLS,O,X,X,X,O,O,X,X,X,X,X,X
TIJZOSL,X,X,X,O,O,X,X,X,O,O,X,X
TIJOLSZ,X,X,X,O,X,X,X,X,O,X,X,X
TIJOLZS,O,X,X,X,X,O,X,X,O,X,O,X
TIJOSLZ,X,X,X,O,X,X,X,O,O,X,X,X
TIJOSZL,O,X,X,O,X,X,X,O,O,X,X,O
TIJOZLS,O,X,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,X,O,X,X,X,X,O,O,O,X
TISLJZO,X,O,O,X,X,X,X,O,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,O,X,X,X,X
TISLZJO,X,O,O,X,O,O,X,O,X,X,O,O
TISLZOJ,X,O,O,X,O,O,X,X,X,X,X,O
TISLOJZ,X,X,X,X,X,X,X,O,X,X,X,X
TISLOZJ,X,O,O,X,X,X,X,O,X,X,X,X
TISJLZO,X,O,O,X,X,X,X,O,X,X,X,O
TISJLOZ,X,O,X,X,X,X,X,O,X,X,X,X
TISJZLO,X,O,O,X,X,X,X,O,X,X,O,O
TISJZOL,X,X,O,X,X,X,X,O,X,X,O,O
TISJOLZ,X,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,O,X,X,X,O
TISZLJO,X,O,O,X,O,O,X,O,X,O,O,O
TISZLOJ,X,O,O,X,O,O,X,X,X,O,X,O
TISZJLO,X,O,O,X,O,O,X,O,X,O,O,O
TISZJOL,X,X,O,X,X,X,X,O,X,O,O,O
TISZOLJ,X,X,X,X,O,X,X,O,X,O,X,O
TISZOJL,X,X,O,X,O,X,X,O,X,O,O,O
TISOLJZ,X,X,O,X,X,X,X,O,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,O,X,X,O,X
TISOJLZ,X,X,O,O,X,X,X,O,X,X,X,X
TISOJZL,X,X,O,O,X,X,X,O,X,X,O,X
TISOZLJ,X,X,O,X,X,X,X,O,X,X,O,O
TISOZJL,X,X,O,X,X,X,X,O,X,X,O,O
TIZLJSO,X,X,X,X,O,O,X,X,X,O,X,X
TIZLJOS,X,X,X,X,O,O,X,X,X,O,X,X
TIZLSJO,X,X,O,X,O,O,X,X,X,O,X,X
TIZLSOJ,X,X,O,X,O,O,X,X,X,O,X,X
TIZLOJS,X,X,X,X,O,O,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,O,O,X,X,X,X,X,X
TIZJLSO,O,X,X,X,O,O,X,X,X,O,X,X
TIZJLOS,O,X,X,X,O,O,X,X,X,O,X,X
TIZJSLO,O,O,O,X,O,O,X,X,X,O,O,O
TIZJSOL,X,X,O,X,X,X,X,X,X,O,O,O
TIZJOLS,O,X,X,X,O,O,X,X,X,O,X,X
TIZJOSL,X,X,X,X,O,X,X,X,X,O,X,X
TIZSLJO,X,O,O,X,O,O,X,O,X,O,O,O
TIZSLOJ,X,O,O,X,O,O,X,X,X,O,X,O
TIZSJLO,X,O,O,X,O,O,X,O,X,O,O,O
TIZSJOL,X,X,O,X,X,X,X,O,X,O,O,O
TIZSOLJ,X,X,X,X,O,X,X,O,X,O,X,O
TIZSOJL,X,X,O,X,O,X,X,O,X,O,O,O
TIZOLJS,X,X,X,X,O,O,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,O,O,X,X,X,X,X,X
TIZOJLS,X,X,X,X,O,O,X,X,X,X,X,X
TIZOJSL,X,X,X,O,O,X,X,X,X,O,X,X
TIZOSLJ,X,X,X,X,O,X,X,X,X,O,X,X
TIZOSJL,X,X,O,X,O,X,X,X,X,O,X,X
TIOLJSZ,O,X,O,O,X,X,X,X,O,X,X,X
TIOLJZS,O,X,X,X,O,X,X,X,O,X,O,X
TIOLSJZ,X,X,O,X,X,X,X,O,O,X,X,X
TIOLSZJ,X,X,O,X,O,X,X,O,O,X,X,X
TIOLZJS,X,X,O,X,O,O,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,O,O,X,X,O,X,O,X
TIOJLSZ,O,X,O,O,X,X,X,O,O,X,X,X
TIOJLZS,O,X,X,X,O,X,X,X,O,X,O,X
TIOJSLZ,X,X,O,O,X,X,X,O,O,X,X,X
TIOJSZL,O,X,O,O,X,X,X,O,O,X,X,O
TIOJZLS,O,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,O,X,X,O,O,X,O,X
TIOSLJZ,X,X,O,X,X,X,X,O,X,X,X,X
TIOSLZJ,X,X,O,X,O,X,X,O,X,X,O,X
TIOSJLZ,X,X,O,O,X,X,X,O,X,X,X,X
TIOSJZL,X,X,O,O,X,X,X,O,X,X,O,X
TIOSZLJ,X,X,O,X,O,X,X,O,X,X,O,O
TIOSZJL,X,X,O,X,O,X,X,O,X,X,O,O
TIOZLJS,X,X,X,X,O,O,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,O,O,X,X,X,X,X,X
TIOZJLS,O,X,X,X,O,O,X,X,X,X,X,X
TIOZJSL,O,X,O,O,O,X,X,X,X,O,O,X
TIOZSLJ,X,X,O,X,O,X,X,O,X,O,O,X
TIOZSJL,X,X,O,X,O,X,X,O,X,O,O,X
TLIJSZO,O,X,O,O,X,O,X,X,O,X,X,O
TLIJSOZ,X,X,X,O,X,X,X,X,O,X,X,X
TLIJZSO,O,X,X,O,O,O,X,X,O,X,O,X
TLIJZOS,O,X,X,X,O,O,X,X,O,X,X,X
TLIJOSZ,O,X,X,O,X,X,O,X,O,X,X,X
TLIJOZS,O,X,X,X,X,O,O,X,O,X,X,X
TLISJZO,X,O,O,X,X,X,X,O,O,X,X,X
TLISJOZ,X,X,X,X,X,X,X,O,O,X,X,X
TLISZJO,X,O,O,X,O,O,X,O,O,X,X,O
TLISZOJ,X,O,O,X,O,O,X,X,O,X,X,O
TLISOJZ,X,X,X,X,X,X,X,O,O,X,X,X
TLISOZJ,X,O,O,X,X,X,X,O,O,X,X,X
TLIZJSO,X,X,O,X,O,O,X,X,X,O,X,X
TLIZJOS,X,X,X,X,O,O,X,X,X,X,X,X
TLIZSJO,X,X,O,X,O,O,X,X,O,O,O,X
TLIZSOJ,X,X,O,X,O,O,X,X,O,O,O,X
TLIZOJS,X,X,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,O,O,X,X,O,X,X,X
TLIOJSZ,O,X,X,O,X,X,O,X,O,X,X,X
TLIOJZS,O,X,X,X,O,X,O,X,O,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,O,X,O,X,O,X,O,X,X,X
TLIOZJS,X,X,X,X,O,O,O,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,O,O,X,O,X,X,X
TLJISZO,O,O,O,O,X,O,X,O,O,X,X,O
TLJISOZ,X,O,X,O,X,X,X,O,O,X,X,X
TLJIZSO,O,X,X,O,O,O,X,X,O,X,O,X
TLJIZOS,O,X,X,X,O,O,X,X,O,X,X,X
TLJIOSZ,O,X,X,O,X,X,O,X,O,X,X,X
TLJIOZS,O,X,X,X,X,O,O,X,O,X,X,X
TLJSIZO,O,O,O,O,X,O,X,O,O,X,X,O
TLJSIOZ,X,O,X,O,X,X,X,O,O,X,X,X
TLJSZIO,O,O,O,O,X,O,X,O,O,X,X,O
TLJSZOI,O,O,O,O,X,O,X,O,O,X,X,O
TLJSOIZ,O,O,X,O,X,X,X,O,O,X,X,X
TLJSOZI,O,O,X,O,X,X,X,O,O,X,X,X
TLJZISO,O,X,X,O,O,O,X,X,O,X,O,X
TLJZIOS,O,X,X,X,O,O,X,X,O,X,X,X
TLJZSIO,O,O,X,O,O,O,X,X,O,X,O,X
TLJZSOI,O,O,X,O,O,O,X,X,O,X,O,X
TLJZOIS,O,X,X,X,O,O,X,X,O,X,X,X
TLJZOSI,O,X,X,X,O,O,X,X,O,X,X,X
TLJOISZ,O,X,X,O,X,X,O,X,O,X,X,X
TLJOIZS,O,X,X,X,X,O,O,X,O,X,X,X
TLJOSIZ,O,O,X,O,X,X,O,X,O,X,X,X
TLJOSZI,O,O,X,O,X,X,O,X,O,X,X,X
TLJOZIS,O,X,X,X,X,O,O,X,O,X,X,X
TLJOZSI,O,X,X,X,X,O,O,X,O,X,X,X
TLSIJZO,X,O,O,X,X,X,X,O,O,X,X,X
TLSIJOZ,X,O,X,X,X,X,X,O,O,X,X,X
TLSIZJO,X,O,O,X,O,O,X,O,O,X,X,O
TLSIZOJ,X,O,O,X,O,O,X,X,O,X,X,O
TLSIOJZ,X,X,X,X,X,X,X,O,O,X,X,X
TLSIOZJ,X,O,O,X,X,X,X,O,O,X,X,X
TLSJIZO,O,O,O,X,X,X,X,O,O,X,X,X
TLSJIOZ,X,O,X,X,X,X,X,O,O,X,X,X
TLSJZIO,O,O,O,X,X,X,X,O,O,X,X,X
TLSJZOI,O,O,O,X,X,X,X,O,O,X,X,X
TLSJOIZ,O,O,X,X,X,X,X,O,O,X,X,X
TLSJOZI,O,O,X,X,X,X,X,O,O,X,X,X
TLSZIJO,X,O,O,X,O,O,X,O,O,X,X,O
TLSZIOJ,X,O,O,X,O,O,X,X,O,X,X,O
TLSZJIO,X,O,O,X,O,O,X,O,O,X,X,O
TLSZJOI,X,O,O,X,O,O,X,O,O,X,X,O
TLSZOIJ,X,O,O,X,O,O,X,X,O,X,X,O
TLSZOJI,X,O,O,X,O,O,X,X,O,X,X,O
TLSOIJZ,X,X,X,X,X,X,X,O,O,X,X,X
TLSOIZJ,X,O,O,X,X,X,X,O,O,X,X,X
TLSOJIZ,X,X,X,X,X,X,X,O,O,X,X,X
TLSOJZI,X,X,X,X,X,X,X,O,O,X,X,X
TLSOZIJ,X,O,O,X,X,X,X,O,O,X,X,X
TLSOZJI,X,O,O,X,X,X,X,O,O,X,X,X
TLZIJSO,X,X,O,X,O,O,X,X,X,O,X,X
TLZIJOS,X,X,X,X,O,O,X,X,X,O,X,X
TLZISJO,X,X,O,X,O,O,X,X,O,O,O,X
TLZISOJ,X,X,O,X,O,O,X,X,O,O,O,X
TLZIOJS,X,X,X,X,O,O,X,X,X,X,X,X
TLZIOSJ,X,X,O,X,O,O,X,X,O,X,X,X
TLZJISO,O,X,O,X,O,O,X,X,X,O,O,X
TLZJIOS,O,X,X,X,O,O,X,X,X,O,X,X
TLZJSIO,O,X,O,X,O,O,X,X,X,O,O,X
TLZJSOI,O,X,O,X,O,O,X,X,X,O,O,X
TLZJOIS,O,X,X,X,O,O,X,X,X,O,X,X
TLZJOSI,O,X,X,X,O,O,X,X,X,O,X,X
TLZSIJO,X,O,O,X,O,O,X,X,O,O,O,X
TLZSIOJ,X,O,O,X,O,O,X,X,O,O,O,X
TLZSJIO,X,O,O,X,O,O,X,X,O,O,O,X
TLZSJOI,X,O,O,X,O,O,X,X,O,O,O,X
TLZSOIJ,X,O,O,X,O,O,X,X,O,O,O,X
TLZSOJI,X,O,O,X,O,O,X,X,O,O,X,X
TLZOIJS,X,X,X,X,O,O,X,X,X,X,X,X
TLZOISJ,X,X,O,X,O,O,X,X,O,X,X,X
TLZOJIS,X,X,X,X,O,O,X,X,X,O,X,X
TLZOJSI,X,X,X,X,O,O,X,X,X,O,X,X
TLZOSIJ,X,X,O,X,O,O,X,X,O,O,X,X
TLZOSJI,X,X,O,X,O,O,X,X,O,O,X,X
TLOIJSZ,O,X,X,O,X,X,O,X,O,X,X,X
TLOIJZS,O,X,X,X,O,X,O,X,O,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,O,X,X,X
TLOISZJ,X,X,O,X,O,X,O,X,O,X,X,X
TLOIZJS,X,X,X,X,O,O,O,X,X,X,X,X
TLOIZSJ,X,X,X,X,O,O,O,X,O,X,X,X
TLOJISZ,O,X,X,O,X,X,O,X,O,X,X,X
TLOJIZS,O,X,X,X,O,X,O,X,O,X,X,X
TLOJSIZ,O,X,X,X,X,X,O,X,O,X,X,X
TLOJSZI,O,X,X,X,X,X,O,X,O,X,X,X
TLOJZIS,O,X,X,X,O,X,O,X,O,X,X,X
TLOJZSI,O,X,X,X,O,X,O,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,O,X,X,X
TLOSIZJ,X,O,O,X,O,X,O,X,O,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X,O,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,O,O,X,O,X,O,X,O,X,X,X
TLOSZJI,X,O,O,X,O,X,O,X,O,X,X,X
TLOZIJS,X,X,X,X,O,O,O,X,X,X,X,X
TLOZISJ,X,X,X,X,O,O,O,X,O,X,X,X
TLOZJIS,X,X,X,X,O,O,O,X,X,X,X,X
TLOZJSI,X,X,X,X,O,O,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,O,O,O,X,O,X,X,X
TLOZSJI,X,X,X,X,O,O,O,X,O,X,X,X
TJILSZO,O,X,O,O,X,O,X,O,O,X,X,O
TJILSOZ,X,X,X,O,X,X,X,O,O,X,X,X
TJILZSO,O,X,X,O,O,O,X,X,O,O,O,X
TJILZOS,O,X,X,X,O,O,X,X,O,X,X,X
TJILOSZ,X,X,X,O,X,X,O,X,O,X,X,X
TJILOZS,O,X,X,X,X,O,O,X,O,X,X,X
TJISLZO,X,O,O,O,X,O,X,O,O,X,X,O
TJISLOZ,X,O,X,O,X,X,X,O,O,X,X,X
TJISZLO,O,O,O,X,X,O,X,O,O,O,X,O
TJISZOL,X,X,O,O,X,X,X,O,O,O,X,O
TJISOLZ,X,X,X,O,X,X,X,O,O,X,X,X
TJISOZL,X,X,X,O,X,X,X,O,O,X,X,O
TJIZLSO,O,X,X,X,O,O,X,X,X,O,X,X
TJIZLOS,O,X,X,X,O,O,X,X,X,O,X,X
TJIZSLO,O,O,X,X,O,O,X,O,O,O,O,O
TJIZSOL,X,X,X,O,X,X,X,O,O,O,O,O
TJIZOLS,O,X,X,X,O,O,X,X,X,O,X,X
TJIZOSL,X,X,X,O,O,X,X,X,O,O,X,X
TJIOLSZ,X,X,X,O,X,X,X,X,O,X,X,X
TJIOLZS,O,X,X,X,X,O,X,X,O,X,O,X
TJIOSLZ,X,X,X,O,X,X,X,O,O,X,X,X
TJIOSZL,O,X,X,O,X,X,X,O,O,X,X,O
TJIOZLS,O,X,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,X,X,O,X,X,X,X,O,O,O,X
TJLISZO,O,O,O,O,X,O,X,O,O,X,X,O
TJLISOZ,X,O,X,O,X,X,X,O,O,X,X,X
TJLIZSO,O,X,X,O,O,O,X,X,O,O,O,X
TJLIZOS,O,X,X,X,O,O,X,X,O,X,X,X
TJLIOSZ,O,X,X,O,X,X,O,X,O,X,X,X
TJLIOZS,O,X,X,X,X,O,O,X,O,X,X,X
TJLSIZO,O,O,O,O,X,O,X,O,O,X,X,O
TJLSIOZ,X,O,X,O,X,X,X,O,O,X,X,X
TJLSZIO,O,O,O,O,X,O,X,O,O,X,X,O
TJLSZOI,O,O,O,O,X,O,X,O,O,X,X,O
TJLSOIZ,O,O,X,O,X,X,X,O,O,X,X,X
TJLSOZI,O,O,X,O,X,X,X,O,O,X,X,X
TJLZISO,O,X,X,O,O,O,X,X,O,O,O,X
TJLZIOS,O,X,X,X,O,O,X,X,O,O,X,X
TJLZSIO,O,O,X,O,O,O,X,X,O,O,O,X
TJLZSOI,O,O,X,O,O,O,X,X,O,O,O,X
TJLZOIS,O,X,X,X,O,O,X,X,O,O,X,X
TJLZOSI,O,X,X,X,O,O,X,X,O,O,X,X
TJLOISZ,O,X,X,O,X,X,O,X,O,X,X,X
TJLOIZS,O,X,X,X,X,O,O,X,O,X,X,X
TJLOSIZ,O,O,X,O,X,X,O,X,O,X,X,X
TJLOSZI,O,O,X,O,X,X,O,X,O,X,X,X
TJLOZIS,O,X,X,X,X,O,O,X,O,X,X,X
TJLOZSI,O,X,X,X,X,O,O,X,O,X,X,X
TJSILZO,X,O,O,O,X,O,X,O,O,X,X,O
TJSILOZ,X,O,X,O,X,X,X,O,O,X,X,X
TJSIZLO,O,O,O,X,X,O,X,O,O,O,X,O
TJSIZOL,X,X,O,O,X,X,X,O,O,O,X,O
TJSIOLZ,X,X,X,O,X,X,X,O,O,X,X,X
TJSIOZL,X,X,X,O,X,X,X,O,O,X,X,O
TJSLIZO,X,O,O,O,X,O,X,O,O,X,X,O
TJSLIOZ,X,O,X,O,X,X,X,O,O,X,X,X
TJSLZIO,X,O,O,O,X,O,X,O,O,X,X,O
TJSLZOI,X,O,O,O,X,O,X,O,O,X,X,O
TJSLOIZ,X,O,X,O,X,X,X,O,O,X,X,X
TJSLOZI,X,O,X,O,X,X,X,O,O,X,X,X
TJSZILO,O,O,O,X,X,O,X,O,O,O,X,O
TJSZIOL,X,X,O,O,X,X,X,O,O,O,X,O
TJSZLIO,O,O,O,X,X,O,X,O,O,O,X,O
TJSZLOI,O,O,O,X,X,O,X,O,O,O,X,O
TJSZOIL,X,X,O,O,X,X,X,O,O,O,X,O
TJSZOLI,X,X,X,O,X,X,X,O,O,O,X,O
TJSOILZ,X,X,X,O,X,X,X,O,O,X,X,X
TJSOIZL,O,X,X,O,X,X,X,O,O,X,X,O
TJSOLIZ,X,X,X,O,X,X,X,O,O,X,X,X
TJSOLZI,X,X,X,O,X,X,X,O,O,X,X,X
TJSOZIL,O,X,X,O,X,X,X,O,O,X,X,O
TJSOZLI,O,X,X,O,X,X,X,O,O,X,X,O
TJZILSO,O,X,X,X,O,O,X,X,X,O,X,X
TJZILOS,O,X,X,X,O,O,X,X,X,O,X,X
TJZISLO,O,O,X,X,O,O,X,O,O,O,O,O
TJZISOL,X,X,X,O,X,X,X,O,O,O,O,O
TJZIOLS,O,X,X,X,O,O,X,X,X,O,X,X
TJZIOSL,X,X,X,O,O,X,X,X,O,O,X,X
TJZLISO,O,X,X,X,O,O,X,X,X,O,X,X
TJZLIOS,O,X,X,X,O,O,X,X,X,O,X,X
TJZLSIO,O,X,X,X,O,O,X,X,X,O,X,X
TJZLSOI,O,X,X,X,O,O,X,X,X,O,X,X
TJZLOIS,O,X,X,X,O,O,X,X,X,O,X,X
TJZLOSI,O,X,X,X,O,O,X,X,X,O,X,X
TJZSILO,O,O,X,X,O,O,X,O,O,O,O,O
TJZSIOL,X,X,X,O,X,X,X,O,O,O,O,O
TJZSLIO,O,O,X,X,O,O,X,O,O,O,O,O
TJZSLOI,O,O,X,X,O,O,X,O,O,O,X,O
TJZSOIL,X,X,X,O,X,X,X,O,O,O,O,O
TJZSOLI,X,X,X,O,X,X,X,O,O,O,X,O
TJZOILS,O,X,X,X,O,O,X,X,X,O,X,X
TJZOISL,O,X,X,O,O,X,X,X,O,O,X,X
TJZOLIS,O,X,X,X,O,O,X,X,X,O,X,X
TJZOLSI,O,X,X,X,O,O,X,X,X,O,X,X
TJZOSIL,O,X,X,X,O,X,X,X,O,O,X,X
TJZOSLI,O,X,X,X,O,X,X,X,O,O,X,X
TJOILSZ,X,X,X,O,X,X,X,X,O,X,X,X
TJOILZS,O,X,X,X,X,O,X,X,O,X,O,X
TJOISLZ,X,X,X,O,X,X,X,O,O,X,X,X
TJOISZL,O,X,X,O,X,X,X,O,O,X,X,O
TJOIZLS,O,X,X,X,X,O,X,X,X,X,X,X
TJOIZSL,O,X,X,O,X,X,X,X,O,O,O,X
TJOLISZ,X,X,X,O,X,X,X,X,O,X,X,X
TJOLIZS,O,X,X,X,X,O,X,X,O,X,O,X
TJOLSIZ,X,X,X,X,X,X,X,X,O,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,O,X,X,X
TJOLZIS,O,X,X,X,X,O,X,X,O,X,O,X
TJOLZSI,O,X,X,X,X,O,X,X,O,X,O,X
TJOSILZ,X,X,X,O,X,X,X,O,O,X,X,X
TJOSIZL,O,X,X,O,X,X,X,O,O,X,X,O
TJOSLIZ,X,X,X,O,X,X,X,O,O,X,X,X
TJOSLZI,X,X,X,O,X,X,X,O,O,X,X,X
TJOSZIL,O,X,X,O,X,X,X,O,O,X,X,O
TJOSZLI,O,X,X,O,X,X,X,O,O,X,X,O
TJOZILS,O,X,X,X,X,O,X,X,X,O,X,X
TJOZISL,O,X,X,O,X,X,X,X,O,O,O,X
TJOZLIS,O,X,X,X,X,O,X,X,X,O,X,X
TJOZLSI,O,X,X,X,X,O,X,X,X,O,X,X
TJOZSIL,O,X,X,X,X,X,X,X,O,O,O,X
TJOZSLI,O,X,X,X,X,X,X,X,O,O,O,X
TSILJZO,X,O,O,X,X,X,X,O,X,X,X,X
TSILJOZ,X,O,X,X,X,X,X,O,X,X,X,X
TSILZJO,X,O,O,X,O,O,X,O,X,X,O,O
TSILZOJ,X,O,O,X,O,O,X,X,X,X,X,O
TSILOJZ,X,X,X,X,X,X,X,O,X,X,X,X
TSILOZJ,X,O,O,X,X,X,X,O,X,X,X,X
TSIJLZO,X,O,O,X,X,X,X,O,X,X,X,O
TSIJLOZ,X,O,X,X,X,X,X,O,X,X,X,X
TSIJZLO,X,O,O,X,X,X,X,O,X,X,O,O
TSIJZOL,X,X,O,X,X,X,X,O,X,X,O,O
TSIJOLZ,X,X,X,X,X,X,X,O,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,O,X,X,X,O
TSIZLJO,X,O,O,X,O,O,X,O,X,O,O,O
TSIZLOJ,X,O,O,X,O,O,X,X,X,O,X,O
TSIZJLO,X,O,O,X,O,O,X,O,X,O,O,O
TSIZJOL,X,X,O,X,X,X,X,O,X,O,O,O
TSIZOLJ,X,X,X,X,O,X,X,O,X,O,X,O
TSIZOJL,X,X,O,X,O,X,X,O,X,O,O,O
TSIOLJZ,X,X,O,X,X,X,X,O,X,X,X,X
TSIOLZJ,X,X,O,X,X,X,X,O,X,X,O,X
TSIOJLZ,X,X,O,O,X,X,X,O,X,X,X,X
TSIOJZL,X,X,O,O,X,X,X,O,X,X,O,X
TSIOZLJ,X,X,O,X,X,X,X,O,X,X,O,O
TSIOZJL,X,X,O,X,X,X,X,O,X,X,O,O
TSLIJZO,X,O,O,X,X,X,X,O,X,X,X,X
TSLIJOZ,X,O,X,X,X,X,X,O,X,X,X,X
TSLIZJO,X,O,O,X,O,O,X,O,X,X,O,O
TSLIZOJ,X,O,O,X,O,O,X,X,X,X,X,O
TSLIOJZ,X,X,X,X,X,X,X,O,X,X,X,X
TSLIOZJ,X,O,O,X,X,X,X,O,X,X,X,X
TSLJIZO,X,O,O,X,X,X,X,O,X,X,X,X
TSLJIOZ,X,O,X,X,X,X,X,O,X,X,X,X
TSLJZIO,X,O,O,X,X,X,X,O,X,X,X,X
TSLJZOI,X,O,O,X,X,X,X,O,X,X,X,X
TSLJOIZ,X,O,X,X,X,X,X,O,X,X,X,X
