sequence,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBatBXsBGsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBmsB3sBCsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcB3hB?FjB6sBOtBzrB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxdBXjB?lmBmsB6rBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBatBGsBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFXdBFjB?xmB6rBOtBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFmcBTeB?1mBfoBSsBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBSsBetBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFViBGeB?ZoBThBXnBSxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhF/iBGeB?ZoBlmBTsB6rB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFqiBTeB?3hB2sBlmBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFSiBTeB?xmBetBlmBXsB
TIZJLSO,X,X,X,X,O,X,O,O,O,X,O,X
TIZJLOS,O,O,X,X,O,X,X,O,X,X,O,X
TIZJSLO,X,O,X,O,X,O,O,X,X,X,O,O
TIZJSOL,X,O,X,O,X,O,O,O,X,X,O,O
TIZJOLS,O,O,X,X,O,X,X,O,X,X,O,X
TIZJOSL,X,O,X,X,X,O,O,O,X,X,O,O
TIZSLJO,O,X,O,X,X,O,O,X,X,X,X,X
TIZSLOJ,O,X,O,X,O,O,O,X,X,X,X,X
TIZSJLO,X,X,X,O,X,O,O,X,X,X,O,X
TIZSJOL,X,O,X,O,X,O,O,O,X,X,O,X
TIZSOLJ,O,X,O,X,O,O,O,X,X,X,X,X
TIZSOJL,X,X,X,X,X,O,O,X,X,X,X,X
TIZOLJS,O,X,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,O,O,O,X,X,O,X,X
TIZOJLS,O,O,X,X,O,X,X,O,X,X,O,X
TIZOJSL,X,O,X,X,X,O,O,O,X,O,O,X
TIZOSLJ,O,X,O,X,O,O,O,X,X,O,X,X
TIZOSJL,X,X,X,X,X,O,O,X,X,O,X,X
TIOLJSZ,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,O,X,X,O,X,X
TIOLSZJ,O,X,X,X,O,O,O,X,X,O,X,X
TIOLZJS,O,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,O,O,O,X,X,O,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,O,X
TIOJLZS,X,O,X,X,X,X,X,O,X,X,O,X
TIOJSLZ,X,X,X,X,X,X,O,X,X,O,O,X
TIOJSZL,X,O,X,X,X,O,O,O,X,O,O,X
TIOJZLS,O,O,X,X,O,X,X,O,X,X,O,X
TIOJZSL,X,O,X,X,X,O,O,O,X,O,O,X
TIOSLJZ,X,X,X,X,X,X,O,X,X,O,X,X
TIOSLZJ,X,X,X,X,X,O,O,X,X,O,X,X
TIOSJLZ,X,X,X,X,X,X,O,X,X,O,X,X
TIOSJZL,X,X,X,X,X,O,O,X,X,O,X,X
TIOSZLJ,O,X,O,X,O,O,O,X,X,O,X,X
TIOSZJL,X,X,X,X,X,O,O,X,X,O,X,X
TIOZLJS,O,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,O,O,O,X,X,O,X,X
TIOZJLS,O,O,X,X,O,X,X,O,X,X,O,X
TIOZJSL,X,O,X,X,X,O,O,O,X,O,O,X
TIOZSLJ,O,X,O,X,O,O,O,X,X,O,X,X
TIOZSJL,X,X,X,X,X,O,O,X,X,O,X,X
TLIJSZO,X,X,X,X,O,X,O,X,O,X,X,X
TLIJSOZ,X,X,X,X,O,X,O,X,O,X,X,X
TLIJZSO,X,X,X,X,O,X,O,X,O,X,X,X
TLIJZOS,O,O,X,X,O,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,O,O,X,X,O,X,X,O,X,X,X,X
TLISJZO,O,X,O,X,X,X,O,X,O,X,X,X
TLISJOZ,O,X,X,X,X,X,O,X,O,X,X,X
TLISZJO,O,X,O,X,X,O,O,X,O,X,X,X
TLISZOJ,O,X,O,X,O,O,O,X,O,X,X,X
TLISOJZ,O,X,X,X,X,X,O,X,O,X,X,X
TLISOZJ,O,X,O,X,O,X,O,X,O,X,X,X
TLIZJSO,X,X,X,X,O,X,O,X,O,X,X,X
TLIZJOS,O,O,X,X,O,X,X,O,X,X,X,X
TLIZSJO,O,X,O,X,X,O,O,X,O,X,X,X
TLIZSOJ,O,X,O,X,O,O,O,X,O,X,X,X
TLIZOJS,O,X,X,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,O,O,O,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,O,X,X,X,O,O,O,X,X,X,X,X
TLIOZJS,O,X,X,X,O,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,O,O,O,X,X,X,X,X
TLJISZO,X,X,X,X,O,X,O,O,O,X,X,X
TLJISOZ,X,X,X,X,O,X,O,O,O,X,X,X
TLJIZSO,X,X,X,X,O,X,O,O,O,X,X,X
TLJIZOS,O,O,X,X,O,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,O,X,X,X,X
TLJIOZS,O,O,X,X,O,X,X,O,X,X,X,X
TLJSIZO,O,O,O,O,O,X,X,O,O,X,X,X
TLJSIOZ,O,O,X,O,O,X,X,O,O,X,X,X
TLJSZIO,O,O,O,O,O,X,X,O,O,X,X,X
TLJSZOI,O,O,O,O,O,X,X,O,X,X,X,X
TLJSOIZ,O,O,X,O,O,X,X,O,X,X,X,X
TLJSOZI,O,O,X,O,O,X,X,O,X,X,X,X
TLJZISO,X,X,X,X,O,X,O,O,O,X,X,X
TLJZIOS,O,O,X,X,O,X,X,O,X,X,X,X
TLJZSIO,O,O,O,O,O,X,X,O,O,X,X,X
TLJZSOI,O,O,O,O,O,X,X,O,X,X,X,X
TLJZOIS,O,O,X,X,O,X,X,O,X,X,X,X
TLJZOSI,O,O,X,X,O,X,X,O,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,O,X,X,X,X
TLJOIZS,O,O,X,X,O,X,X,O,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJOSZI,O,O,X,X,O,X,X,O,X,X,X,X
TLJOZIS,O,O,X,X,O,X,X,O,X,X,X,X
TLJOZSI,O,O,X,X,O,X,X,O,X,X,X,X
TLSIJZO,O,X,O,X,X,X,X,X,O,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,O,X,X,X
TLSIZJO,O,X,O,X,X,X,X,X,O,X,X,X
TLSIZOJ,O,X,O,X,O,X,X,X,O,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X,O,X,X,X
TLSIOZJ,O,X,O,X,O,X,X,X,O,X,X,X
TLSJIZO,O,X,O,O,O,X,X,X,O,X,X,X
TLSJIOZ,O,X,X,O,O,X,X,X,O,X,X,X
TLSJZIO,O,X,O,O,O,X,X,X,O,X,X,X
TLSJZOI,O,X,O,O,O,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,O,O,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,O,X,X,X,X,X,X,X
TLSZIJO,O,X,O,X,X,O,X,X,O,X,X,X
TLSZIOJ,O,X,O,X,O,O,X,X,O,X,X,X
TLSZJIO,O,X,O,O,O,X,X,X,O,X,X,X
TLSZJOI,O,X,O,O,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,O,X,X,X,O,X,X,X
TLSZOJI,O,X,O,X,O,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,X,O,X,X,X
TLSOIZJ,O,X,O,X,O,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,X,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,X,O,X,X,X,O,X,X,X
TLSOZJI,O,X,O,X,O,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,X,O,X,O,X,X,X
TLZIJOS,O,O,X,X,O,X,X,O,X,X,X,X
TLZISJO,O,X,O,X,X,O,O,X,O,X,X,X
TLZISOJ,O,X,O,X,O,O,O,X,O,X,X,X
TLZIOJS,O,X,X,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,O,O,O,X,X,X,X,X
TLZJISO,X,X,X,X,O,X,O,O,O,X,X,X
TLZJIOS,O,O,X,X,O,X,X,O,X,X,X,X
TLZJSIO,O,O,O,O,O,X,X,O,O,X,X,X
TLZJSOI,O,O,O,O,O,X,X,O,X,X,X,X
TLZJOIS,O,O,X,X,O,X,X,O,X,X,X,X
TLZJOSI,O,O,X,X,O,X,X,O,X,X,X,X
TLZSIJO,O,X,O,X,X,O,X,X,O,X,X,X
TLZSIOJ,O,X,O,X,O,O,X,X,O,X,X,X
TLZSJIO,O,X,O,O,O,X,X,X,O,X,X,X
TLZSJOI,O,X,O,O,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,O,X,O,X,X,X,O,X,X,X
TLZSOJI,O,X,O,X,O,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,O,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,O,O,O,X,X,O,X,X
TLZOJIS,O,X,X,X,O,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,O,X,X,X,O,X,X
TLZOSJI,O,X,O,X,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,O,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,O,X,X,O,X,X
TLOISZJ,O,X,X,X,O,O,O,X,X,O,X,X
TLOIZJS,O,X,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,O,O,O,X,X,O,X,X
TLOJISZ,X,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,O,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,O,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,X,X,O,X,X
TLOSIZJ,O,X,O,X,O,X,X,X,X,O,X,X
TLOSJIZ,O,X,X,X,O,X,X,X,X,X,X,X
TLOSJZI,O,X,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,O,X,O,O,X,X,X,O,X,X
TLOSZJI,O,X,O,X,O,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,O,O,O,X,X,O,X,X
TLOZJIS,O,X,X,X,O,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,O,X,X,X,O,X,X
TLOZSJI,O,X,O,X,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,O,X,O,O,O,X,X,X
TJILSOZ,X,X,X,X,O,X,O,O,O,X,X,X
TJILZSO,X,X,X,X,O,X,O,O,O,X,X,X
TJILZOS,O,O,X,X,O,X,X,O,X,X,X,X
TJILOSZ,X,X,X,X,O,X,X,O,X,X,X,X
TJILOZS,O,O,X,X,O,X,X,O,X,X,X,X
TJISLZO,X,O,X,O,X,X,O,X,X,X,X,O
TJISLOZ,X,O,X,O,X,X,O,X,X,X,X,O
TJISZLO,X,O,X,O,X,O,O,X,X,X,X,O
TJISZOL,X,O,X,O,X,O,O,O,X,X,X,O
TJISOLZ,X,O,X,O,X,X,O,X,X,X,X,O
TJISOZL,X,O,X,O,X,X,O,O,X,X,X,O
TJIZLSO,X,X,X,X,O,X,O,O,O,X,X,X
TJIZLOS,O,O,X,X,O,X,X,O,X,X,X,X
TJIZSLO,X,O,X,O,X,O,O,X,X,X,X,O
TJIZSOL,X,O,X,O,X,O,O,O,X,X,X,O
TJIZOLS,O,O,X,X,O,X,X,O,X,X,X,X
TJIZOSL,X,O,X,X,X,O,O,O,X,X,X,O
TJIOLSZ,X,X,X,X,X,X,X,O,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,O,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,O,X,X,X,X,O
TJIOSZL,X,O,X,X,X,O,O,O,X,X,X,O
TJIOZLS,O,O,X,X,O,X,X,O,X,X,X,X
TJIOZSL,X,O,X,X,X,O,O,O,X,X,X,O
TJLISZO,X,X,X,X,O,X,O,O,O,X,X,X
TJLISOZ,X,X,X,X,O,X,O,O,O,X,X,X
TJLIZSO,X,X,X,X,O,X,O,O,O,X,X,X
TJLIZOS,O,O,X,X,O,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,X,O,X,X,X,X
TJLIOZS,O,O,X,X,O,X,X,O,X,X,X,X
TJLSIZO,O,O,O,O,O,X,X,O,O,X,X,X
TJLSIOZ,O,O,X,O,O,X,X,O,O,X,X,X
TJLSZIO,O,O,O,O,O,X,X,O,O,X,X,X
TJLSZOI,O,O,O,O,O,X,X,O,X,X,X,X
TJLSOIZ,O,O,X,O,O,X,X,O,X,X,X,X
TJLSOZI,O,O,X,O,O,X,X,O,X,X,X,X
TJLZISO,X,X,X,X,O,X,O,O,O,X,X,X
TJLZIOS,O,O,X,X,O,X,X,O,X,X,X,X
TJLZSIO,O,O,O,O,O,X,X,O,O,X,X,X
TJLZSOI,O,O,O,O,O,X,X,O,X,X,X,X
TJLZOIS,O,O,X,X,O,X,X,O,X,X,X,X
TJLZOSI,O,O,X,X,O,X,X,O,X,X,X,X
TJLOISZ,X,X,X,X,O,X,X,O,X,X,X,X
TJLOIZS,O,O,X,X,O,X,X,O,X,X,X,X
TJLOSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLOSZI,O,O,X,X,O,X,X,O,X,X,X,X
TJLOZIS,O,O,X,X,O,X,X,O,X,X,X,X
TJLOZSI,O,O,X,X,O,X,X,O,X,X,X,X
TJSILZO,X,O,X,O,X,X,O,X,X,X,X,O
TJSILOZ,X,O,X,O,X,X,O,X,X,X,X,O
TJSIZLO,X,O,X,O,X,X,O,X,X,X,X,O
TJSIZOL,X,O,X,O,X,X,O,O,X,X,X,O
TJSIOLZ,X,O,X,O,X,X,O,X,X,X,X,O
TJSIOZL,X,O,X,O,X,X,O,O,X,X,X,O
TJSLIZO,O,O,X,O,O,X,X,O,X,X,X,X
TJSLIOZ,O,O,X,O,O,X,X,O,X,X,X,X
TJSLZIO,O,O,X,O,O,X,X,O,X,X,X,X
TJSLZOI,O,O,X,O,O,X,X,O,X,X,X,X
TJSLOIZ,O,O,X,O,O,X,X,O,X,X,X,X
TJSLOZI,O,O,X,O,O,X,X,O,X,X,X,X
TJSZILO,X,O,X,O,X,O,O,X,X,X,X,O
TJSZIOL,X,O,X,O,X,O,O,O,X,X,X,O
TJSZLIO,O,O,O,O,O,X,X,O,X,X,X,X
TJSZLOI,O,O,O,O,O,X,X,O,X,X,X,X
TJSZOIL,X,O,X,O,X,X,X,O,X,X,X,O
TJSZOLI,X,O,O,O,X,X,X,O,X,X,X,X
TJSOILZ,X,O,X,O,X,X,X,X,X,X,X,O
TJSOIZL,X,O,X,O,X,X,X,O,X,X,X,O
TJSOLIZ,X,O,X,O,X,X,X,O,X,X,X,X
TJSOLZI,X,O,X,O,X,X,X,O,X,X,X,X
TJSOZIL,X,O,X,O,X,X,X,O,X,X,X,O
TJSOZLI,X,O,X,O,X,X,X,O,X,X,X,X
TJZILSO,X,X,X,X,O,X,O,O,O,X,X,X
TJZILOS,O,O,X,X,O,X,X,O,X,X,X,X
TJZISLO,X,O,X,O,X,O,O,X,X,X,X,O
TJZISOL,X,O,X,O,X,O,O,O,X,X,X,O
TJZIOLS,O,O,X,X,O,X,X,O,X,X,X,X
TJZIOSL,X,O,X,X,X,O,O,O,X,X,X,O
TJZLISO,X,X,X,X,O,X,O,O,O,X,X,X
TJZLIOS,O,O,X,X,O,X,X,O,X,X,X,X
TJZLSIO,O,O,O,O,O,X,X,O,O,X,X,X
TJZLSOI,O,O,O,O,O,X,X,O,X,X,X,X
TJZLOIS,O,O,X,X,O,X,X,O,X,X,X,X
TJZLOSI,O,O,X,X,O,X,X,O,X,X,X,X
TJZSILO,X,O,X,O,X,O,O,X,X,X,X,O
TJZSIOL,X,O,X,O,X,O,O,O,X,X,X,O
TJZSLIO,O,O,O,O,O,X,X,O,X,X,X,X
TJZSLOI,O,O,O,O,O,X,X,O,X,X,X,X
TJZSOIL,X,O,X,O,X,X,X,O,X,X,X,O
TJZSOLI,X,O,O,O,X,X,X,O,X,X,X,X
TJZOILS,O,O,X,X,O,X,X,O,X,X,X,X
TJZOISL,X,O,X,X,X,O,O,O,X,O,X,O
TJZOLIS,O,O,X,X,O,X,X,O,X,X,X,X
TJZOLSI,O,O,X,X,O,X,X,O,X,X,X,X
TJZOSIL,X,O,X,O,X,O,X,O,X,O,X,O
TJZOSLI,X,O,O,O,X,X,X,O,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,O,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,O,X,X,X,X
TJOISLZ,X,O,X,X,X,X,O,X,X,O,X,O
TJOISZL,X,O,X,X,X,O,O,O,X,O,X,O
TJOIZLS,O,O,X,X,O,X,X,O,X,X,X,X
TJOIZSL,X,O,X,X,X,O,O,O,X,O,X,O
TJOLISZ,X,X,X,X,O,X,X,O,X,X,X,X
TJOLIZS,O,O,X,X,O,X,X,O,X,X,X,X
TJOLSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJOLSZI,O,O,X,X,O,X,X,O,X,X,X,X
TJOLZIS,O,O,X,X,O,X,X,O,X,X,X,X
TJOLZSI,O,O,X,X,O,X,X,O,X,X,X,X
TJOSILZ,X,O,X,O,X,X,X,X,X,O,X,O
TJOSIZL,X,O,X,O,X,X,X,O,X,O,X,O
TJOSLIZ,X,O,X,O,X,X,X,O,X,X,X,X
TJOSLZI,X,O,X,O,X,X,X,O,X,X,X,X
TJOSZIL,X,O,X,O,X,O,X,O,X,O,X,O
TJOSZLI,X,O,O,O,X,X,X,O,X,X,X,X
TJOZILS,O,O,X,X,O,X,X,O,X,X,X,X
TJOZISL,X,O,X,X,X,O,O,O,X,O,X,O
TJOZLIS,O,O,X,X,O,X,X,O,X,X,X,X
TJOZLSI,O,O,X,X,O,X,X,O,X,X,X,X
TJOZSIL,X,O,X,O,X,O,X,O,X,O,X,O
TJOZSLI,X,O,O,O,X,X,X,O,X,X,X,X
TSILJZO,O,X,O,X,X,X,O,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,O,X,X,X,X,X
TSILZJO,O,X,O,X,X,O,O,X,X,X,X,X
TSILZOJ,O,X,O,X,O,O,O,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X,O,X,X,X,X,X
TSILOZJ,O,X,O,X,O,X,O,X,X,X,X,X
TSIJLZO,X,X,X,O,X,X,O,X,X,X,O,X
TSIJLOZ,X,X,X,O,X,X,O,X,X,X,O,X
TSIJZLO,X,X,X,O,X,O,O,X,X,X,O,X
TSIJZOL,X,O,X,O,X,O,O,O,X,X,O,X
TSIJOLZ,X,X,X,O,X,X,O,X,X,X,O,X
TSIJOZL,X,O,X,O,X,X,O,O,X,X,O,X
TSIZLJO,O,X,O,X,X,O,O,X,X,X,X,X
TSIZLOJ,O,X,O,X,O,O,O,X,X,X,X,X
TSIZJLO,X,X,X,O,X,O,O,X,X,X,O,X
TSIZJOL,X,O,X,O,X,O,O,O,X,X,O,X
TSIZOLJ,O,X,O,X,O,O,O,X,X,X,X,X
TSIZOJL,X,X,X,X,X,O,O,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X,O,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,O,O,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X,O,X,X,X,X,X
TSIOJZL,X,X,X,X,X,O,O,X,X,X,X,X
TSIOZLJ,O,X,X,X,O,O,O,X,X,X,X,X
TSIOZJL,X,X,X,X,X,O,O,X,X,X,X,X
TSLIJZO,O,X,O,X,X,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TSLIZJO,O,X,O,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,X,O,X,O,X,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,X,O,X,O,X,X,X,X,X,X,X
TSLJIZO,O,X,O,O,O,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,O,O,X,X,X,X,X,X,X
TSLJZIO,O,X,O,O,O,X,X,X,X,X,X,X
