sequence,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBflB0gBlhBzq?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBzfBfmBlhB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBKr?BWxB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBqgBlhB/qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFflB0gBlhB6qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8Jem6IvhFCcBTfBlhB/qBxr?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhFxbBykBfmBWsB0q?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfB/qBFmBCs?BmqB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF1hBmkBCmBxrB/q?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF2gB3hBxkBFmB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Je06IvhF2kBlhB3lBxrB6q?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeK/IvhFfgBxbBzgB+rBUn?BlqB,v115@5gD8GeC8FeF8FeE8CeD8JeT/IvhF0gBlhBmfB3lBxr?BSwB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBCcBTlBxrBXr?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex7IvhFmfBfmBlhBTfB0q?BCsB
TILOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
TIJZLSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJZOSL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TIJOZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TISLJZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TISJZOL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
TISOLJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZSLJO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIZOJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOLJZS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
TIOJZLS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSZJL,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
TIOZLJS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
TIOZSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZSJL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X
TLIJSZO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLIJOZS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLISZOJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIZOSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLIOJZS,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLIOZSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
TLJIZSO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZOS,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLJIOZS,O,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLJSIZO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJSZIO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJSZOI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TLJSOIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJSOZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJZISO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJZSOI,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJZOIS,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLJOISZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLJOIZS,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJOSZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJOZIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSIJZO,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLSIZJO,O,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLSJIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLSJZIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLSJZOI,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X
TLSJOIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TLSJOZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TLSZIJO,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSOJZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSOZJI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TLZJISO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TLZJSOI,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TLZJOIS,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
TLZSIOJ,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O
TLZSJIO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
TLZSJOI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZSOIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
TLZSOJI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZOIJS,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TLZOSJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLOIZSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOSJZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,O,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZOS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TJISZLO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJISZOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIZLOS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJIZSOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIZOLS,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TJIZOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TJIOLZS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
