sequence,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeR8IvhFGeBTgBihBU?jBFnB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhB3?iBcoBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Je37IvhF1hB0dB6jBx?lBmnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG8IvhF/iBFeBigBc?oBRmBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhBc?nBTjB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Jez7IvhFRdBSjB2lBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFGeBTgBRiBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JecAJvhFxcB6jBXhBe?oBFnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFxdBTgBGjBF?nB8sBfsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG+IvhFigBRiBzgBF?nBXoBUsB
TISOJZL,X,X,O,X,X,X,O,X,X,X
TISOZLJ,X,X,O,X,X,X,O,X,X,X
TISOZJL,X,X,O,X,X,X,O,X,X,X
TIZLJSO,O,O,O,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X,X,X,X
TIZLSOJ,X,O,O,O,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,O,X,X,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,X,X,X
TIZJLOS,O,O,O,X,X,X,X,X,X,X
TIZJSLO,X,X,O,O,X,X,X,X,X,X
TIZJSOL,X,X,O,O,X,X,X,X,X,X
TIZJOLS,O,X,O,X,X,X,X,X,X,X
TIZJOSL,O,X,O,X,X,X,X,X,X,X
TIZSLJO,X,O,O,O,X,X,X,X,X,X
TIZSLOJ,X,O,O,O,X,X,X,X,X,X
TIZSJLO,X,O,O,O,X,X,X,X,X,X
TIZSJOL,X,X,O,O,X,X,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X,X,X,X
TIZSOJL,X,X,O,O,X,X,X,X,X,X
TIZOLJS,O,O,O,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X
TIZOSJL,O,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,O,O,X,X,X,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X,X,X
TIOLSJZ,X,O,O,X,X,X,O,X,X,X
TIOLSZJ,O,O,O,X,X,X,O,X,X,X
TIOLZJS,O,O,O,X,X,X,X,X,X,X
TIOLZSJ,O,O,O,X,X,X,X,X,X,X
TIOJLSZ,X,O,O,X,X,X,X,X,X,X
TIOJLZS,O,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,O,O,X,X,X,O,X,X,X
TIOSLZJ,O,O,O,X,X,X,O,X,X,X
TIOSJLZ,X,X,O,X,X,X,O,X,X,X
TIOSJZL,X,X,O,X,X,X,O,X,X,X
TIOSZLJ,X,X,O,X,X,X,O,X,X,X
TIOSZJL,O,X,O,X,X,X,O,X,X,X
TIOZLJS,O,O,O,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X,X,X
TIOZJLS,O,O,O,X,X,X,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,O,X,X,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X,X,X
TLIJSZO,X,O,O,O,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,X,X,X,X,X,X
TLIJZSO,O,O,O,O,X,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,X,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,X
TLISJZO,X,O,O,O,X,X,X,X,X,O
TLISJOZ,X,O,O,X,X,X,X,X,X,O
TLISZJO,O,O,O,O,O,X,X,X,X,O
TLISZOJ,X,O,O,O,O,X,X,X,X,X
TLISOJZ,X,O,O,X,X,X,X,X,X,O
TLISOZJ,X,O,O,X,O,X,X,X,X,X
TLIZJSO,O,O,O,O,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,O,O,X,X,X,X,X,X
TLIZSOJ,X,O,O,O,X,X,X,X,X,X
TLIZOJS,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,X,X,X
TLIOJZS,X,O,O,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X
TLJISZO,X,O,O,O,X,X,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X,X,X,X
TLJIZSO,O,O,O,O,X,X,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,O,X,X,X,O
TLJSIOZ,X,X,X,X,X,O,X,X,X,O
TLJSZIO,X,X,O,X,O,O,X,X,X,X
TLJSZOI,X,X,O,X,O,O,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,X,X,X
TLJSOZI,X,X,O,X,O,O,X,X,X,X
TLJZISO,O,O,O,O,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X,O,X,X
TLJZSOI,X,X,O,X,X,X,X,O,X,X
TLJZOIS,O,X,X,O,X,X,X,X,X,X
TLJZOSI,X,X,O,O,X,X,X,X,X,X
TLJOISZ,X,O,X,O,X,X,X,X,X,X
TLJOIZS,X,O,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,O,X,X,X,X
TLJOSZI,X,X,O,O,X,O,X,X,X,X
TLJOZIS,X,O,X,O,X,X,X,X,X,X
TLJOZSI,X,O,O,O,X,X,X,X,X,X
TLSIJZO,X,O,X,X,X,O,X,X,X,O
TLSIJOZ,X,O,X,X,X,O,O,X,X,O
TLSIZJO,O,O,X,X,O,O,X,X,X,O
TLSIZOJ,X,O,X,X,O,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,O,O,X,X,O
TLSIOZJ,X,O,X,X,O,X,O,X,X,X
TLSJIZO,X,X,X,X,X,O,X,X,X,O
TLSJIOZ,X,X,X,X,X,O,O,X,X,O
TLSJZIO,X,X,X,X,O,O,X,X,X,X
TLSJZOI,X,X,X,X,O,O,X,X,X,X
TLSJOIZ,X,X,X,X,X,O,O,X,X,X
TLSJOZI,X,X,X,X,O,O,O,X,X,X
TLSZIJO,O,O,X,X,O,O,X,X,X,O
TLSZIOJ,X,O,X,X,O,X,X,X,X,X
TLSZJIO,O,O,X,X,O,O,X,X,X,X
TLSZJOI,X,X,X,X,O,O,X,X,X,X
TLSZOIJ,X,O,X,X,O,X,X,X,X,X
TLSZOJI,X,X,X,X,O,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,O,O,X,X,O
TLSOIZJ,X,O,X,X,O,X,O,X,X,X
TLSOJIZ,X,X,X,X,X,O,O,X,X,X
TLSOJZI,X,X,X,X,O,O,O,X,X,X
TLSOZIJ,X,O,X,X,O,X,O,X,X,X
TLSOZJI,X,O,X,X,O,X,O,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,O,X,X,X,X,X,X
TLZISOJ,X,O,X,O,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,O,X,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,X,X,X,X,O,X,X
TLZJSOI,X,X,X,X,X,X,X,O,X,X
TLZJOIS,O,X,X,O,X,X,X,X,X,X
TLZJOSI,O,X,X,O,X,X,X,X,X,X
TLZSIJO,O,O,X,X,O,X,X,O,X,O
TLZSIOJ,X,O,X,X,O,X,X,X,X,X
TLZSJIO,O,O,X,X,O,X,X,O,X,X
TLZSJOI,X,X,X,X,O,X,X,O,X,X
TLZSOIJ,X,O,X,O,O,X,X,X,X,X
TLZSOJI,X,X,X,O,O,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X,X,X
TLZOISJ,O,O,X,O,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X,X,X
TLOIJSZ,X,O,O,O,X,X,X,X,X,X
TLOIJZS,O,O,O,O,X,X,X,X,X,X
TLOISJZ,X,O,O,O,X,X,O,X,X,X
TLOISZJ,O,O,O,O,X,X,O,X,X,X
TLOIZJS,O,O,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,O,O,X,X,X,X,X,X
TLOJISZ,X,O,O,O,X,X,X,X,X,X
TLOJIZS,O,O,O,O,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,O,X,X,X
TLOJSZI,X,X,O,O,X,X,O,X,X,X
TLOJZIS,O,O,O,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,O,X,X,O
TLOSIZJ,O,O,X,X,O,X,O,X,X,X
TLOSJIZ,X,X,X,X,X,X,O,X,X,X
TLOSJZI,X,X,X,O,O,X,O,X,X,X
TLOSZIJ,O,O,X,O,O,X,O,X,X,X
TLOSZJI,O,O,X,O,O,X,O,X,X,X
TLOZIJS,O,O,X,O,X,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,X,X,X,X
TLOZJIS,O,O,X,O,X,X,X,X,X,X
TLOZJSI,O,O,X,O,X,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,O,X,X,X
TLOZSJI,O,O,X,O,X,X,O,X,X,X
TJILSZO,X,O,O,X,O,X,X,X,X,X
TJILSOZ,X,O,O,X,O,X,X,X,X,X
TJILZSO,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,O,O,X,X,X,X,X,X,X
TJILOSZ,X,O,O,X,X,X,X,X,X,X
TJILOZS,X,O,O,X,X,X,X,X,X,X
TJISLZO,X,O,O,X,O,O,X,X,X,X
TJISLOZ,X,O,O,X,O,O,X,X,X,X
TJISZLO,X,X,O,X,X,O,X,X,X,X
TJISZOL,X,X,O,X,X,O,X,X,X,X
TJISOLZ,X,X,O,X,O,O,X,X,X,X
TJISOZL,X,X,O,X,X,O,X,X,X,X
TJIZLSO,X,O,O,X,X,X,X,X,X,X
TJIZLOS,X,O,O,X,X,X,X,X,X,X
TJIZSLO,X,O,O,X,X,X,X,X,X,X
TJIZSOL,X,O,O,X,X,X,X,X,X,X
TJIZOLS,X,O,O,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,O,O,X,X,X,X,X,X,X
TJIOLZS,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,X,O,O,X,X,O,X,X,X,X
TJIOSZL,X,X,O,X,X,O,X,X,X,X
TJIOZLS,X,O,O,X,X,X,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X,X,X,X
TJLISZO,X,O,O,X,O,X,X,X,X,X
TJLISOZ,X,O,O,X,O,X,X,X,X,X
TJLIZSO,O,O,O,X,X,X,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X
TJLSIZO,X,O,O,X,O,O,X,X,X,O
TJLSIOZ,X,O,X,X,O,O,X,X,X,O
TJLSZIO,X,O,O,X,O,O,X,X,X,X
TJLSZOI,X,O,O,X,O,O,X,X,X,X
TJLSOIZ,X,O,X,X,O,O,X,X,X,X
TJLSOZI,X,O,O,X,O,O,X,X,X,X
TJLZISO,O,O,O,X,X,X,X,X,X,X
TJLZIOS,O,O,O,X,X,X,X,X,X,X
TJLZSIO,O,O,O,X,O,X,X,O,X,X
TJLZSOI,X,O,O,X,O,X,X,O,X,X
TJLZOIS,O,O,X,X,X,X,X,X,X,X
TJLZOSI,X,O,O,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,O,X,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,X,O,X,X,O,O,X,X,X,X
TJLOSZI,X,O,O,X,O,O,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X,X,X
TJLOZSI,X,O,O,X,X,X,X,X,X,X
TJSILZO,X,O,O,X,O,O,X,X,X,O
TJSILOZ,X,O,X,X,O,O,O,X,X,O
TJSIZLO,X,X,O,X,X,O,X,X,X,O
TJSIZOL,X,X,X,X,X,O,O,X,X,X
TJSIOLZ,X,X,X,X,O,O,O,X,X,O
TJSIOZL,X,X,X,X,X,O,O,X,X,X
TJSLIZO,X,O,O,X,O,O,X,X,X,O
TJSLIOZ,X,O,X,X,O,O,O,X,X,O
TJSLZIO,X,O,O,X,O,O,X,X,X,X
TJSLZOI,X,O,O,X,O,O,X,X,X,X
TJSLOIZ,X,O,X,X,O,O,O,X,X,X
TJSLOZI,X,O,O,X,O,O,O,X,X,X
TJSZILO,X,O,O,X,O,O,X,X,X,O
TJSZIOL,X,O,X,X,O,O,O,X,X,X
TJSZLIO,X,O,O,X,O,O,X,X,X,X
TJSZLOI,X,O,O,X,O,O,X,X,X,X
TJSZOIL,X,O,X,X,O,O,O,X,X,X
TJSZOLI,X,O,O,X,O,O,O,X,X,X
TJSOILZ,X,O,X,X,O,O,O,X,X,O
TJSOIZL,X,X,X,X,O,O,O,X,X,X
TJSOLIZ,X,O,X,X,O,O,O,X,X,X
TJSOLZI,X,O,O,X,O,O,O,X,X,X
TJSOZIL,X,O,X,X,O,O,O,X,X,X
TJSOZLI,X,O,O,X,O,O,O,X,X,X
TJZILSO,O,O,O,X,X,X,X,X,X,X
TJZILOS,O,O,O,X,X,X,X,X,X,X
TJZISLO,X,O,O,X,X,X,X,X,X,X
TJZISOL,X,O,O,X,X,X,X,X,X,X
TJZIOLS,O,O,O,X,X,X,X,X,O,X
TJZIOSL,O,X,O,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,X,X,X,X,X
TJZLIOS,O,O,O,X,X,X,X,X,X,X
TJZLSIO,O,O,O,X,O,X,X,O,X,X
TJZLSOI,X,O,O,X,O,X,X,O,X,X
TJZLOIS,O,O,X,X,X,X,X,X,O,X
TJZLOSI,O,O,O,X,X,X,X,X,O,X
TJZSILO,X,O,O,X,X,O,X,O,X,X
TJZSIOL,X,O,X,X,X,O,X,O,X,X
TJZSLIO,O,O,O,X,O,O,X,O,X,X
TJZSLOI,X,O,O,X,O,O,X,O,X,X
TJZSOIL,O,O,X,X,X,O,X,O,X,X
TJZSOLI,O,O,O,X,O,O,X,O,O,X
TJZOILS,O,O,X,X,X,X,X,X,O,X
TJZOISL,O,O,X,X,X,X,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,X,O,X
TJZOLSI,O,O,O,X,X,X,X,X,O,X
TJZOSIL,O,O,X,X,X,O,X,X,X,X
TJZOSLI,O,O,O,X,X,O,X,X,O,X
TJOILSZ,X,O,X,X,O,X,X,X,X,X
TJOILZS,O,O,X,X,X,X,X,X,X,X
TJOISLZ,X,O,X,X,O,O,X,X,X,X
TJOISZL,X,X,X,X,O,O,X,X,X,X
TJOIZLS,O,O,X,X,X,X,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X,X,X
TJOLISZ,X,O,X,X,O,X,X,X,X,X
TJOLIZS,O,O,X,X,X,X,X,X,X,X
TJOLSIZ,X,O,X,X,O,O,O,X,X,X
TJOLSZI,X,O,O,X,O,O,O,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X,O,X
TJOLZSI,O,O,O,X,X,X,X,X,O,X
TJOSILZ,X,O,X,X,O,O,O,X,X,X
TJOSIZL,X,X,X,X,O,O,O,X,X,X
TJOSLIZ,X,O,X,X,O,O,O,X,X,X
TJOSLZI,X,O,O,X,O,O,O,X,X,X
TJOSZIL,X,O,X,X,O,O,O,X,X,X
TJOSZLI,X,O,O,X,O,O,O,X,X,X
TJOZILS,O,O,X,X,X,X,X,X,O,X
TJOZISL,O,O,X,X,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X,O,X
TJOZLSI,O,O,O,X,X,X,X,X,O,X
TJOZSIL,O,O,X,X,X,O,X,X,X,X
TJOZSLI,O,O,O,X,X,O,X,X,O,X
TSILJZO,O,O,X,X,X,O,X,X,X,O
TSILJOZ,X,O,X,X,X,O,O,X,X,O
TSILZJO,O,O,X,X,O,O,X,X,X,O
TSILZOJ,O,O,X,X,O,X,X,X,X,X
TSILOJZ,X,O,X,X,X,O,O,X,X,O
TSILOZJ,O,O,X,X,O,X,O,X,X,X
TSIJLZO,X,X,X,X,X,O,X,X,X,O
TSIJLOZ,X,X,X,X,X,O,O,X,X,O
TSIJZLO,X,X,X,X,X,O,X,X,X,O
TSIJZOL,X,X,X,X,X,O,O,X,X,X
TSIJOLZ,X,X,X,X,X,O,O,X,X,O
TSIJOZL,X,X,X,X,X,O,O,X,X,X
TSIZLJO,O,X,X,X,X,X,X,X,X,O
TSIZLOJ,O,X,X,X,X,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X,X,X,O
TSIZJOL,O,X,X,X,X,X,O,X,X,X
TSIZOLJ,O,X,X,X,X,X,O,X,X,X
TSIZOJL,O,X,X,X,X,X,O,X,X,X
TSIOLJZ,O,X,X,X,X,X,O,X,X,O
TSIOLZJ,O,X,X,X,O,X,O,X,X,X
TSIOJLZ,O,X,X,X,X,X,O,X,X,O
TSIOJZL,O,X,X,X,X,X,O,X,X,X
TSIOZLJ,O,X,X,X,X,X,O,X,X,X
TSIOZJL,O,X,X,X,X,X,O,X,X,X
TSLIJZO,O,O,X,X,X,O,X,X,X,O
TSLIJOZ,X,O,X,X,X,O,O,X,X,O
TSLIZJO,O,O,X,X,O,O,X,X,X,O
TSLIZOJ,O,O,X,X,O,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,O,O,X,X,O
TSLIOZJ,O,O,X,X,O,X,O,X,X,X
TSLJIZO,O,X,X,X,X,O,X,X,X,O
TSLJIOZ,X,X,X,X,X,O,O,X,X,O
TSLJZIO,O,X,X,X,O,O,X,X,X,X
TSLJZOI,O,X,X,X,O,O,X,X,X,X
TSLJOIZ,X,X,X,X,X,O,O,X,X,X
TSLJOZI,X,X,X,X,O,O,O,X,X,X
TSLZIJO,O,O,X,X,O,O,X,X,X,O
TSLZIOJ,O,O,X,X,O,X,X,X,X,X
TSLZJIO,O,O,X,X,O,O,X,X,X,X
TSLZJOI,O,X,X,X,O,O,X,X,X,X
TSLZOIJ,O,O,X,X,O,X,X,X,X,X
TSLZOJI,O,X,X,X,O,X,X,X,X,X
TSLOIJZ,O,O,X,X,X,O,O,X,X,O
TSLOIZJ,O,O,X,X,O,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,O,O,X,X,X
TSLOJZI,O,X,X,X,O,O,O,X,X,X
TSLOZIJ,O,O,X,X,O,X,O,X,X,X
TSLOZJI,O,O,X,X,O,X,O,X,X,X
TSJILZO,X,X,X,X,O,O,X,X,X,O
TSJILOZ,X,X,X,X,O,O,O,X,X,O
TSJIZLO,X,X,X,X,X,O,X,X,X,O
TSJIZOL,X,X,X,X,X,O,O,X,X,X
TSJIOLZ,X,X,X,X,O,O,O,X,X,O
TSJIOZL,X,X,X,X,X,O,O,X,X,X
TSJLIZO,O,X,X,X,O,O,X,X,X,O
TSJLIOZ,X,X,X,X,O,O,O,X,X,O
TSJLZIO,O,X,X,X,O,O,X,X,X,X
TSJLZOI,O,X,X,X,O,O,X,X,X,X
TSJLOIZ,X,X,X,X,O,O,O,X,X,X
TSJLOZI,X,X,X,X,O,O,O,X,X,X
TSJZILO,O,X,X,X,O,O,X,X,X,O
TSJZIOL,O,X,X,X,O,O,O,X,X,X
TSJZLIO,O,X,X,X,O,O,X,X,X,X
TSJZLOI,O,X,X,X,O,O,X,X,X,X
TSJZOIL,O,X,X,X,O,O,O,X,X,X
TSJZOLI,O,X,X,X,O,O,O,X,X,X
TSJOILZ,O,X,X,X,O,O,O,X,X,O
TSJOIZL,O,X,X,X,O,O,O,X,X,X
TSJOLIZ,O,X,X,X,O,O,O,X,X,X
TSJOLZI,O,X,X,X,O,O,O,X,X,X
TSJOZIL,O,X,X,X,O,O,O,X,X,X
TSJOZLI,O,X,X,X,O,O,O,X,X,X
TSZILJO,O,O,X,X,O,X,X,X,X,O
TSZILOJ,O,O,X,X,O,X,X,X,X,X
TSZIJLO,O,O,X,X,O,X,X,X,X,O
TSZIJOL,O,X,X,X,O,X,O,X,X,X
TSZIOLJ,O,O,X,X,O,X,O,X,X,X
TSZIOJL,O,X,X,X,O,X,O,X,X,X
TSZLIJO,O,O,X,X,O,O,X,X,X,O
TSZLIOJ,O,O,X,X,O,X,X,X,X,X
TSZLJIO,O,O,X,X,O,O,X,X,X,X
TSZLJOI,O,X,X,X,O,O,X,X,X,X
TSZLOIJ,O,O,X,X,O,X,X,X,X,X
TSZLOJI,O,X,X,X,O,X,X,X,X,X
TSZJILO,O,O,X,X,O,O,X,X,X,O
TSZJIOL,O,X,X,X,O,O,O,X,X,X
TSZJLIO,O,O,X,X,O,O,X,X,X,X
TSZJLOI,O,X,X,X,O,O,X,X,X,X
TSZJOIL,O,X,X,X,O,O,O,X,X,X
TSZJOLI,O,X,X,X,O,O,O,X,X,X
TSZOILJ,O,O,X,X,O,X,O,X,X,X
TSZOIJL,O,X,X,X,O,X,O,X,X,X
TSZOLIJ,O,O,X,X,O,X,O,X,X,X
TSZOLJI,O,X,X,X,O,X,O,X,X,X
TSZOJIL,O,X,X,X,O,X,O,X,X,X
TSZOJLI,O,X,X,X,O,X,O,X,X,X
TSOILJZ,O,O,X,X,X,X,O,X,X,O
TSOILZJ,O,O,X,X,O,X,O,X,X,X
TSOIJLZ,O,X,X,X,O,X,O,X,X,O
