sequence,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jB/?qBFmBmqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF0bBxdBKlBG?jBFmBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFXcBxdBKlBG?jBFmB0qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jBl?gB2qBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8Je2/IvhFXcB0dB6jBx?lBFlBzqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFZgB0dB6jBX?mBuqBFrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFFcB0dB6jBx?lBmqB/qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF1gB0dB6jBx?lB2qBXrB
TLISOZJ,X,X,X,X,X,O,X,X
TLIZJSO,X,O,X,X,O,X,O,X
TLIZJOS,X,O,X,O,O,X,O,X
TLIZSJO,X,X,X,X,O,O,X,X
TLIZSOJ,X,X,X,X,X,O,X,X
TLIZOJS,X,O,X,O,O,X,O,X
TLIZOSJ,O,X,X,X,O,O,X,X
TLIOJSZ,X,O,O,X,O,X,O,X
TLIOJZS,X,O,O,X,O,X,O,X
TLIOSJZ,X,X,O,X,O,O,X,X
TLIOSZJ,X,X,X,X,O,O,X,X
TLIOZJS,X,O,X,O,O,X,O,X
TLIOZSJ,O,X,X,X,O,O,X,X
TLJISZO,X,O,O,O,O,X,O,X
TLJISOZ,X,O,O,O,X,X,O,X
TLJIZSO,X,O,O,O,O,X,O,X
TLJIZOS,X,O,O,O,O,X,O,X
TLJIOSZ,X,O,O,O,O,X,O,X
TLJIOZS,X,O,O,O,O,X,O,X
TLJSIZO,X,O,O,O,X,X,X,X
TLJSIOZ,X,O,O,O,X,X,X,X
TLJSZIO,X,O,O,O,O,X,X,X
TLJSZOI,X,O,O,O,O,X,X,X
TLJSOIZ,X,O,O,O,X,X,X,X
TLJSOZI,X,O,O,O,X,X,X,X
TLJZISO,X,O,O,O,O,X,O,X
TLJZIOS,X,O,O,O,O,X,O,X
TLJZSIO,X,O,O,O,O,X,X,X
TLJZSOI,X,O,O,O,O,X,X,X
TLJZOIS,X,O,O,O,X,X,O,X
TLJZOSI,X,O,O,O,O,X,X,X
TLJOISZ,X,O,O,O,X,X,O,X
TLJOIZS,X,O,O,O,X,X,O,X
TLJOSIZ,X,O,O,O,X,X,X,X
TLJOSZI,X,O,O,O,O,X,X,X
TLJOZIS,X,O,O,O,X,X,O,X
TLJOZSI,X,O,O,O,O,X,X,X
TLSIJZO,O,X,O,X,O,O,X,X
TLSIJOZ,O,X,O,X,X,O,X,X
TLSIZJO,O,X,X,X,O,O,X,X
TLSIZOJ,O,X,X,X,X,O,X,X
TLSIOJZ,O,X,O,X,X,O,X,X
TLSIOZJ,O,X,X,X,X,O,X,X
TLSJIZO,O,O,O,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X
TLSJZIO,O,O,O,X,O,X,X,X
TLSJZOI,O,O,O,X,O,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X
TLSJOZI,O,O,O,X,X,X,X,X
TLSZIJO,O,X,X,X,O,O,X,X
TLSZIOJ,O,X,X,X,X,O,X,X
TLSZJIO,O,O,O,X,O,X,X,X
TLSZJOI,O,O,O,X,O,X,X,X
TLSZOIJ,O,X,X,X,X,O,X,X
TLSZOJI,O,O,O,X,X,X,X,X
TLSOIJZ,O,X,O,X,X,O,X,X
TLSOIZJ,O,X,X,X,X,O,X,X
TLSOJIZ,O,O,O,X,X,X,X,X
TLSOJZI,O,O,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,X
TLSOZJI,O,O,O,X,X,X,X,X
TLZIJSO,X,O,X,X,O,X,O,X
TLZIJOS,X,O,X,O,O,X,O,X
TLZISJO,X,X,X,X,O,O,X,X
TLZISOJ,X,X,X,X,X,O,X,X
TLZIOJS,X,O,X,O,O,X,O,X
TLZIOSJ,O,X,X,X,O,O,X,X
TLZJISO,X,O,O,O,O,X,O,X
TLZJIOS,X,O,O,O,O,X,O,X
TLZJSIO,X,O,O,O,O,X,X,X
TLZJSOI,X,O,O,O,O,X,X,X
TLZJOIS,X,O,O,O,X,X,O,X
TLZJOSI,X,O,O,O,O,X,X,X
TLZSIJO,O,X,X,X,O,O,X,X
TLZSIOJ,O,X,X,X,X,O,X,X
TLZSJIO,O,O,O,X,O,X,X,X
TLZSJOI,O,O,O,X,O,X,X,X
TLZSOIJ,O,X,X,X,X,O,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,X,O,X,O,O,X,O,X
TLZOISJ,O,X,X,X,O,O,X,X
TLZOJIS,X,O,O,O,X,X,O,X
TLZOJSI,X,O,O,O,O,X,X,X
TLZOSIJ,O,X,X,X,O,O,X,X
TLZOSJI,O,O,O,X,O,X,X,X
TLOIJSZ,X,O,O,X,O,X,O,X
TLOIJZS,X,O,O,X,O,X,O,X
TLOISJZ,X,X,O,X,O,O,X,X
TLOISZJ,X,X,X,X,O,O,X,X
TLOIZJS,X,O,X,O,O,X,O,X
TLOIZSJ,O,X,X,X,O,O,X,X
TLOJISZ,X,O,O,O,X,X,O,X
TLOJIZS,X,O,O,O,X,X,O,X
TLOJSIZ,X,O,O,O,X,X,X,X
TLOJSZI,X,O,O,O,O,X,X,X
TLOJZIS,X,O,O,O,X,X,O,X
TLOJZSI,X,O,O,O,O,X,X,X
TLOSIJZ,O,X,O,X,O,O,X,X
TLOSIZJ,O,X,X,X,O,O,X,X
TLOSJIZ,O,O,O,X,X,X,X,X
TLOSJZI,O,O,O,X,O,X,X,X
TLOSZIJ,O,X,X,X,O,O,X,X
TLOSZJI,O,O,O,X,O,X,X,X
TLOZIJS,X,O,X,O,O,X,O,X
TLOZISJ,O,X,X,X,O,O,X,X
TLOZJIS,X,O,O,O,X,X,O,X
TLOZJSI,X,O,O,O,O,X,X,X
TLOZSIJ,O,X,X,X,O,O,X,X
TLOZSJI,O,O,O,X,O,X,X,X
TJILSZO,X,O,O,O,O,X,O,X
TJILSOZ,X,O,O,O,X,X,O,X
TJILZSO,X,O,O,O,O,X,O,X
TJILZOS,X,O,O,O,O,X,O,X
TJILOSZ,X,O,O,O,O,X,O,X
TJILOZS,X,O,O,O,O,X,O,X
TJISLZO,X,O,O,O,O,X,X,X
TJISLOZ,X,O,O,O,X,X,X,X
TJISZLO,X,X,O,O,O,X,X,X
TJISZOL,X,X,X,O,X,X,X,X
TJISOLZ,X,X,O,O,X,X,X,X
TJISOZL,X,X,X,O,X,X,X,X
TJIZLSO,X,O,O,O,O,X,O,X
TJIZLOS,X,O,O,O,O,X,O,X
TJIZSLO,X,X,O,O,O,X,X,X
TJIZSOL,X,X,X,O,X,X,X,X
TJIZOLS,X,X,X,O,X,X,O,X
TJIZOSL,X,X,X,O,X,X,X,X
TJIOLSZ,X,O,O,O,X,X,O,X
TJIOLZS,X,O,O,O,X,X,O,X
TJIOSLZ,X,X,O,O,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X
TJIOZLS,X,X,X,O,X,X,O,X
TJIOZSL,X,X,X,O,X,X,X,X
TJLISZO,X,O,O,O,O,X,O,X
TJLISOZ,X,O,O,O,X,X,O,X
TJLIZSO,X,O,O,O,O,X,O,X
TJLIZOS,X,O,O,O,O,X,O,X
TJLIOSZ,X,O,O,O,O,X,O,X
TJLIOZS,X,O,O,O,O,X,O,X
TJLSIZO,X,O,O,O,X,X,X,X
TJLSIOZ,X,O,O,O,X,X,X,X
TJLSZIO,X,O,O,O,O,X,X,X
TJLSZOI,X,O,O,O,O,X,X,X
TJLSOIZ,X,O,O,O,X,X,X,X
TJLSOZI,X,O,O,O,X,X,X,X
TJLZISO,X,O,O,O,O,X,O,X
TJLZIOS,X,O,O,O,O,X,O,X
TJLZSIO,X,O,O,O,O,X,X,X
TJLZSOI,X,O,O,O,O,X,X,X
TJLZOIS,X,O,O,O,X,X,O,X
TJLZOSI,X,O,O,O,O,X,X,X
TJLOISZ,X,O,O,O,X,X,O,X
TJLOIZS,X,O,O,O,X,X,O,X
TJLOSIZ,X,O,O,O,X,X,X,X
TJLOSZI,X,O,O,O,O,X,X,X
TJLOZIS,X,O,O,O,X,X,O,X
TJLOZSI,X,O,O,O,O,X,X,X
TJSILZO,X,O,O,O,X,X,X,X
TJSILOZ,X,O,O,O,X,X,X,X
TJSIZLO,X,X,O,O,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X,X
TJSIOLZ,X,X,O,O,X,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X
TJSLIZO,X,O,O,O,X,X,X,X
TJSLIOZ,X,O,O,O,X,X,X,X
TJSLZIO,X,O,O,O,O,X,X,X
TJSLZOI,X,O,O,O,O,X,X,X
TJSLOIZ,X,O,O,O,X,X,X,X
TJSLOZI,X,O,O,O,X,X,X,X
TJSZILO,X,X,O,O,X,X,X,X
TJSZIOL,X,X,X,O,X,X,X,X
TJSZLIO,X,X,O,O,O,X,X,X
TJSZLOI,X,X,O,O,O,X,X,X
TJSZOIL,X,X,X,O,X,X,X,X
TJSZOLI,X,X,X,O,X,X,X,X
TJSOILZ,X,X,O,O,X,X,X,X
TJSOIZL,X,X,X,O,X,X,X,X
TJSOLIZ,X,X,O,O,X,X,X,X
TJSOLZI,X,X,O,O,X,X,X,X
TJSOZIL,X,X,X,O,X,X,X,X
TJSOZLI,X,X,X,O,X,X,X,X
TJZILSO,X,O,O,O,O,X,O,X
TJZILOS,X,O,O,O,O,X,O,X
TJZISLO,X,X,O,O,O,X,X,X
TJZISOL,X,X,X,O,X,X,X,X
TJZIOLS,X,X,X,O,X,X,O,X
TJZIOSL,X,X,X,O,X,X,X,X
TJZLISO,X,O,O,O,O,X,O,X
TJZLIOS,X,O,O,O,O,X,O,X
TJZLSIO,X,O,O,O,O,X,X,X
TJZLSOI,X,O,O,O,O,X,X,X
TJZLOIS,X,O,O,O,X,X,O,X
TJZLOSI,X,O,O,O,O,X,X,X
TJZSILO,X,X,O,O,X,X,X,X
TJZSIOL,X,X,X,O,X,X,X,X
TJZSLIO,X,X,O,O,O,X,X,X
TJZSLOI,X,X,O,O,O,X,X,X
TJZSOIL,X,X,X,O,X,X,X,X
TJZSOLI,X,X,X,O,X,X,X,X
TJZOILS,X,X,X,O,X,X,O,X
TJZOISL,X,X,X,O,X,X,X,X
TJZOLIS,X,X,X,O,X,X,O,X
TJZOLSI,X,X,X,O,O,X,X,X
TJZOSIL,X,X,X,O,X,X,X,X
TJZOSLI,X,X,X,O,O,X,X,X
TJOILSZ,X,O,O,O,X,X,O,X
TJOILZS,X,O,O,O,X,X,O,X
TJOISLZ,X,X,O,O,X,X,X,X
TJOISZL,X,X,X,O,X,X,X,X
TJOIZLS,X,X,X,O,X,X,O,X
TJOIZSL,X,X,X,O,X,X,X,X
TJOLISZ,X,O,O,O,X,X,O,X
TJOLIZS,X,O,O,O,X,X,O,X
TJOLSIZ,X,O,O,O,X,X,X,X
TJOLSZI,X,O,O,O,O,X,X,X
TJOLZIS,X,O,O,O,X,X,O,X
TJOLZSI,X,O,O,O,O,X,X,X
TJOSILZ,X,X,O,O,X,X,X,X
TJOSIZL,X,X,X,O,X,X,X,X
TJOSLIZ,X,X,O,O,X,X,X,X
TJOSLZI,X,X,O,O,O,X,X,X
TJOSZIL,X,X,X,O,X,X,X,X
TJOSZLI,X,X,X,O,O,X,X,X
TJOZILS,X,X,X,O,X,X,O,X
TJOZISL,X,X,X,O,X,X,X,X
TJOZLIS,X,X,X,O,X,X,O,X
TJOZLSI,X,X,X,O,O,X,X,X
TJOZSIL,X,X,X,O,X,X,X,X
TJOZSLI,X,X,X,O,O,X,X,X
TSILJZO,O,X,O,X,O,O,X,X
TSILJOZ,O,X,O,X,X,O,X,X
TSILZJO,O,X,X,X,O,O,X,X
TSILZOJ,O,X,X,X,X,O,X,X
TSILOJZ,O,X,O,X,X,O,X,X
TSILOZJ,O,X,X,X,X,O,X,X
TSIJLZO,O,X,O,X,O,O,X,X
TSIJLOZ,O,X,O,X,X,O,X,X
TSIJZLO,O,X,O,X,O,O,X,X
TSIJZOL,O,X,X,X,X,O,X,X
TSIJOLZ,O,X,O,X,X,O,X,X
TSIJOZL,O,X,X,X,X,O,X,X
TSIZLJO,O,X,X,X,O,O,X,X
TSIZLOJ,O,X,X,X,X,O,X,X
TSIZJLO,O,X,X,X,O,O,X,X
TSIZJOL,O,X,X,X,X,O,X,X
TSIZOLJ,O,X,X,X,X,O,X,X
TSIZOJL,O,X,X,X,X,O,X,X
TSIOLJZ,O,X,X,X,X,O,X,X
TSIOLZJ,O,X,X,X,X,O,X,X
TSIOJLZ,O,X,X,X,X,O,X,X
TSIOJZL,O,X,X,X,X,O,X,X
TSIOZLJ,O,X,X,X,X,O,X,X
TSIOZJL,O,X,X,X,X,O,X,X
TSLIJZO,O,X,O,X,O,O,X,X
TSLIJOZ,O,X,O,X,X,O,X,X
TSLIZJO,O,X,X,X,O,O,X,X
TSLIZOJ,O,X,X,X,X,O,X,X
TSLIOJZ,O,X,O,X,X,O,X,X
TSLIOZJ,O,X,X,X,X,O,X,X
TSLJIZO,O,O,O,X,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,X
TSLJZIO,O,O,O,X,O,X,X,X
TSLJZOI,O,O,O,X,O,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,X
TSLJOZI,O,O,O,X,X,X,X,X
TSLZIJO,O,X,X,X,O,O,X,X
TSLZIOJ,O,X,X,X,X,O,X,X
TSLZJIO,O,O,O,X,O,X,X,X
TSLZJOI,O,O,O,X,O,X,X,X
TSLZOIJ,O,X,X,X,X,O,X,X
TSLZOJI,O,O,O,X,X,X,X,X
TSLOIJZ,O,X,O,X,X,O,X,X
TSLOIZJ,O,X,X,X,X,O,X,X
TSLOJIZ,O,O,O,X,X,X,X,X
TSLOJZI,O,O,O,X,X,X,X,X
TSLOZIJ,O,X,X,X,X,O,X,X
TSLOZJI,O,O,O,X,X,X,X,X
TSJILZO,O,O,O,X,X,X,X,X
TSJILOZ,O,O,O,X,X,X,X,X
TSJIZLO,O,X,O,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X,X,X
TSJIOLZ,O,X,O,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X
TSJLIZO,O,O,O,X,X,X,X,X
TSJLIOZ,O,O,O,X,X,X,X,X
TSJLZIO,O,O,O,X,O,X,X,X
TSJLZOI,O,O,O,X,O,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,X
TSJLOZI,O,O,O,X,X,X,X,X
TSJZILO,O,X,O,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X,X,X
TSJZLIO,O,X,O,X,O,X,X,X
TSJZLOI,O,X,O,X,O,X,X,X
TSJZOIL,O,X,X,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X,X,X
TSJOILZ,O,X,O,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,X,X,X,X,X
TSJOLZI,O,X,O,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X,X,X
TSJOZLI,O,X,X,X,X,X,X,X
TSZILJO,O,X,X,X,O,O,X,X
TSZILOJ,O,X,X,X,X,O,X,X
TSZIJLO,O,X,X,X,O,O,X,X
TSZIJOL,O,X,X,X,X,O,X,X
TSZIOLJ,O,X,X,X,X,O,X,X
TSZIOJL,O,X,X,X,X,O,X,X
TSZLIJO,O,X,X,X,O,O,X,X
TSZLIOJ,O,X,X,X,X,O,X,X
TSZLJIO,O,X,O,X,O,X,X,X
TSZLJOI,O,X,O,X,O,X,X,X
TSZLOIJ,O,X,X,X,X,O,X,X
TSZLOJI,O,X,O,X,X,X,X,X
TSZJILO,O,X,O,X,X,X,X,X
TSZJIOL,O,X,X,X,X,X,X,X
TSZJLIO,O,X,O,X,O,X,X,X
TSZJLOI,O,X,O,X,O,X,X,X
TSZJOIL,O,X,X,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X,X,X
TSZOILJ,O,X,X,X,X,O,X,X
TSZOIJL,O,X,X,X,X,O,X,X
TSZOLIJ,O,X,X,X,X,O,X,X
TSZOLJI,O,X,X,X,X,X,X,X
TSZOJIL,O,X,X,X,X,X,X,X
TSZOJLI,O,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,O,X,X
TSOILZJ,O,X,X,X,X,O,X,X
TSOIJLZ,O,X,X,X,X,O,X,X
TSOIJZL,O,X,X,X,X,O,X,X
TSOIZLJ,O,X,X,X,X,O,X,X
TSOIZJL,O,X,X,X,X,O,X,X
TSOLIJZ,O,X,O,X,X,O,X,X
TSOLIZJ,O,X,X,X,X,O,X,X
TSOLJIZ,O,X,O,X,X,X,X,X
TSOLJZI,O,X,O,X,X,X,X,X
TSOLZIJ,O,X,X,X,X,O,X,X
TSOLZJI,O,X,O,X,X,X,X,X
TSOJILZ,O,X,O,X,X,X,X,X
TSOJIZL,O,X,X,X,X,X,X,X
TSOJLIZ,O,X,O,X,X,X,X,X
TSOJLZI,O,X,O,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X,X,X
TSOZILJ,O,X,X,X,X,O,X,X
TSOZIJL,O,X,X,X,X,O,X,X
TSOZLIJ,O,X,X,X,X,O,X,X
TSOZLJI,O,X,X,X,X,X,X,X
TSOZJIL,O,X,X,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X,X,X
TZILJSO,X,X,X,X,O,X,O,X
TZILJOS,X,X,X,O,O,X,O,O
TZILSJO,X,X,X,X,O,O,X,X
TZILSOJ,X,X,X,X,X,O,X,O
TZILOJS,X,X,X,O,O,X,O,O
TZILOSJ,O,X,X,X,O,O,X,O
TZIJLSO,X,X,X,X,O,X,X,X
TZIJLOS,X,X,X,O,O,X,X,O
TZIJSLO,X,X,X,X,O,X,X,X
TZIJSOL,X,X,X,X,X,X,X,X
TZIJOLS,X,X,X,O,X,X,X,O
TZIJOSL,X,X,X,X,X,X,X,X
TZISLJO,X,X,X,X,O,O,X,X
TZISLOJ,X,X,X,X,X,O,X,O
TZISJLO,X,X,X,X,O,O,X,X
TZISJOL,X,X,X,X,X,O,X,X
TZISOLJ,X,X,X,X,X,O,X,O
TZISOJL,X,X,X,X,X,O,X,X
TZIOLJS,X,X,X,O,X,X,O,O
TZIOLSJ,O,X,X,X,X,O,X,O
TZIOJLS,X,X,X,X,X,X,X,O
TZIOJSL,X,X,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,O,X,O
TZIOSJL,X,X,X,X,X,O,X,X
TZLIJSO,X,O,X,X,O,X,O,X
TZLIJOS,X,O,X,O,O,X,O,X
TZLISJO,X,X,X,X,O,O,X,X
TZLISOJ,X,X,X,X,X,O,X,X
TZLIOJS,X,O,X,O,O,X,O,X
TZLIOSJ,O,X,X,X,O,O,X,X
TZLJISO,X,O,O,O,O,X,O,X
TZLJIOS,X,O,O,O,O,X,O,X
TZLJSIO,X,O,O,O,O,X,X,X
TZLJSOI,X,O,O,O,O,X,X,X
TZLJOIS,X,O,O,O,X,X,O,X
TZLJOSI,X,O,O,O,O,X,X,X
TZLSIJO,O,X,X,X,O,O,X,X
TZLSIOJ,O,X,X,X,X,O,X,X
TZLSJIO,O,O,O,X,O,X,X,X
TZLSJOI,O,O,O,X,O,X,X,X
TZLSOIJ,O,X,X,X,X,O,X,X
TZLSOJI,O,O,O,X,X,X,X,X
TZLOIJS,X,O,X,O,O,X,O,X
TZLOISJ,O,X,X,X,O,O,X,X
TZLOJIS,X,O,O,O,X,X,O,X
TZLOJSI,X,O,O,O,O,X,X,X
TZLOSIJ,O,X,X,X,O,O,X,X
TZLOSJI,O,O,O,X,O,X,X,X
TZJILSO,X,O,O,O,O,X,O,X
TZJILOS,X,O,O,O,O,X,O,X
TZJISLO,X,X,O,O,O,X,X,X
TZJISOL,X,X,X,O,X,X,X,X
TZJIOLS,X,X,X,O,X,X,O,X
TZJIOSL,X,X,X,O,X,X,X,X
TZJLISO,X,O,O,O,O,X,O,X
TZJLIOS,X,O,O,O,O,X,O,X
TZJLSIO,X,O,O,O,O,X,X,X
TZJLSOI,X,O,O,O,O,X,X,X
TZJLOIS,X,O,O,O,X,X,O,X
TZJLOSI,X,O,O,O,O,X,X,X
TZJSILO,X,X,O,O,X,X,X,X
TZJSIOL,X,X,X,O,X,X,X,X
TZJSLIO,X,X,O,O,O,X,X,X
TZJSLOI,X,X,O,O,O,X,X,X
