sequence,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcB0gB/qBF?nBTrBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTgB/rBF?nB0qBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB/?qBOrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhF+gBxcB/mBU?iBlqBywB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBUiB/qBF?mBzrBmqB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeWAJvhFxcB/mBUiBT?gBlqBywB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB2?qBzrBXrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTlB/rBF?nB0qBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhFXdBilBFnB5?lB0rBOrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeG7IvhFxcBalB8lBF?nBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBOlB8lBF?nBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFXdB2lBFnBx?qBzqB0rB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeR7IvhFCdBUgBVnBe?rB3lBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcB/qBUmBF?nBmqBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC9IvhFRgBVnB3gBe?rBUlBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhF0cBTgBFnBx?qBerBXsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeR7IvhFCdB3gBVnBe?rBUlBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeG7IvhFxcBylBFnBU?lBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTgBlhB2?rB0qBXsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhFzgBFnBxqB6?rBOsB0qB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhFTcBFnBxqBU?rB6qBOsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhF0cBlgB/qBx?mBOsBTrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhF8gBCdBVnB2?rBTlBRwB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB/?qBmrBTrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhFfhBFnBxqB0?qB6rBOsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhF0bBFnBxqBz?qB6rBOsB
TILOZSJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIJLSZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X
TIJLSOZ,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X
TIJLZSO,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
TIJLZOS,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJLOZS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJSLZO,O,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,O,O,X,X
TIJSLOZ,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X
TIJSZLO,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X
TIJSZOL,X,O,X,O,X,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X
TIJSOLZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,O,X,O
TIJSOZL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TIJZLSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
TIJZLOS,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X
TIJZSOL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,O,O,O,X
TIJZOLS,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJZOSL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TIJOLSZ,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O
TIJOSZL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TIJOZLS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJOZSL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TISLJZO,O,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X
TISLJOZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X
TISLZJO,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X
TISLZOJ,O,O,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X
TISLOJZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,O
TISLOZJ,O,O,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O
TISJLZO,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X
TISJLOZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
TISJZLO,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
TISJZOL,X,O,X,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
TISJOLZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O
TISJOZL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
TISZLJO,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,O,X
TISZLOJ,O,O,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,O,O,X
TISZJLO,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,O,O,O,X
TISZJOL,X,O,X,O,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X
TISZOLJ,O,O,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,O,O,O
TISZOJL,O,O,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O
TISOLJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O
TISOLZJ,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,O,X,O,X,O,X,O
TISOJLZ,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O
TISOJZL,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O
TISOZLJ,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O
TISOZJL,O,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O
TIZLJSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X
TIZLJOS,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZLSJO,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X
TIZLSOJ,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X
TIZLOJS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZJLSO,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZJSLO,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X
TIZJSOL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,O,O,O,X
TIZJOLS,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TIZSLJO,O,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,O,X
TIZSLOJ,O,O,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,O,O,X
TIZSJLO,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X
TIZSJOL,X,O,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TIZSOLJ,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O
TIZSOJL,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
TIZOLJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZOJLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIZOSLJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
TIZOSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
TIOLJSZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TIOLJZS,X,X,O,O,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O
TIOLSZJ,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O
TIOLZJS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOJLSZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TIOJLZS,X,X,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,O,X,X,O
TIOJSZL,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,O
TIOJZLS,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TIOJZSL,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X,O,X
TIOSLJZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O
TIOSLZJ,O,O,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O
TIOSJLZ,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O
TIOSJZL,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O
TIOSZLJ,O,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TIOSZJL,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TIOZLJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZJLS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X
TIOZSLJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TLIJSZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X
TLIJSOZ,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X
TLIJZSO,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
TLIJZOS,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TLIJOZS,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TLISJZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X
TLISJOZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X
TLISZJO,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X
TLISZOJ,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TLISOJZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TLISOZJ,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O
TLIZJSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X
TLIZJOS,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TLIZSJO,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X
TLIZSOJ,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X
TLIZOJS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLIOJSZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TLIOJZS,X,X,O,O,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TLIOSJZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O
TLIOSZJ,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIOZJS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLJISZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJISOZ,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X
TLJIZSO,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
TLJIZOS,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJIOZS,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSIZO,O,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJSIOZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X
TLJSZIO,O,X,X,O,X,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TLJSZOI,O,X,X,O,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TLJSOIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLJSOZI,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLJZISO,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJZIOS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X
TLSIJOZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X
TLSIZJO,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X
TLSIZOJ,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X
TLSIOJZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,O
TLSIOZJ,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O
TLSJIZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,O,O,O,X,X
TLSJIOZ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X
TLSJZIO,O,X,O,O,X,O,X,X,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TLSJZOI,O,X,O,O,X,O,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLSJOIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
TLSJOZI,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
TLSZIJO,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X
TLSZIOJ,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TLSZJIO,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TLSZJOI,O,X,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
