sequence,v115@GhA8HeB8HeB8BeC8AeD8Jex/IvhF8lBzhBunBikB3p?BlrB,v115@GhA8HeB8HeB8BeC8AeD8JeZEJvhFzfBfmBlhBunB8r?BCqB,v115@GhA8HeB8HeB8BeC8AeD8Jei/IvhFRhBunBFlBXmB8r?BTpB,v115@GhA8HeB8HeB8BeC8AeD8Jex/IvhF0hBliB2pBzlBCs?B3pB,v115@GhA8HeB8HeB8BeC8AeD8JeUBJvhFRiB/pBFlBTnBGr?BipB,v115@GhA8HeB8HeB8BeC8AeD8Je2EJvhFRhB3iBFmBUlBTp?BCsB,v115@GhA8HeB8HeB8BeC8AeD8JexAJvhFliB6pBTlB/rBUn?BOpB
TISZLJO,O,O,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X
TISZOJL,O,O,X,X,X,O,X
TISOLJZ,O,X,X,X,X,O,X
TISOLZJ,O,X,X,X,X,X,X
TISOJLZ,O,X,X,X,O,O,X
TISOJZL,O,X,X,X,O,O,X
TISOZLJ,O,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,O,X
TIZLJSO,X,O,O,X,X,X,X
TIZLJOS,O,O,O,X,X,X,X
TIZLSJO,X,O,O,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,O
TIZLOJS,O,O,O,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,O
TIZJLSO,X,O,O,X,X,X,X
TIZJLOS,O,O,O,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X
TIZJSOL,O,O,O,X,X,X,X
TIZJOLS,O,X,O,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,O
TIZSJLO,O,O,O,X,X,X,X
TIZSJOL,O,O,O,X,X,X,O
TIZSOLJ,O,O,O,X,X,X,O
TIZSOJL,O,O,O,X,X,O,O
TIZOLJS,O,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,O
TIZOJLS,O,X,O,X,X,X,X
TIZOJSL,O,O,X,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,O
TIZOSJL,O,O,X,X,X,O,O
TIOLJSZ,X,X,X,O,X,O,X
TIOLJZS,X,X,O,O,X,O,X
TIOLSJZ,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,O,X,O,X
TIOLZJS,X,X,X,O,X,O,X
TIOLZSJ,X,X,X,O,X,O,O
TIOJLSZ,X,X,X,O,X,O,X
TIOJLZS,X,X,O,O,X,O,X
TIOJSLZ,O,X,X,O,O,O,X
TIOJSZL,O,X,X,X,O,O,X
TIOJZLS,O,X,X,O,X,X,X
TIOJZSL,O,X,X,X,O,O,X
TIOSLJZ,O,X,X,X,X,O,X
TIOSLZJ,O,X,X,O,X,X,X
TIOSJLZ,O,X,X,X,O,O,X
TIOSJZL,O,X,X,X,O,O,X
TIOSZLJ,O,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,O,X
TIOZLJS,O,X,X,O,X,X,X
TIOZLSJ,X,X,X,O,X,X,O
TIOZJLS,O,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,O,X
TIOZSLJ,O,X,X,X,X,X,O
TIOZSJL,O,X,X,X,X,O,O
TLIJSZO,X,O,O,O,X,X,X
TLIJSOZ,X,O,X,X,X,O,X
TLIJZSO,X,O,O,O,X,X,X
TLIJZOS,X,O,O,O,X,X,X
TLIJOSZ,X,O,X,O,X,O,X
TLIJOZS,X,O,O,O,X,O,X
TLISJZO,X,O,O,X,X,X,X
TLISJOZ,X,O,X,X,X,O,X
TLISZJO,X,O,X,X,X,X,X
TLISZOJ,X,O,X,X,X,O,X
TLISOJZ,X,O,X,X,X,O,X
TLISOZJ,X,O,X,X,X,O,X
TLIZJSO,X,O,O,O,X,X,X
TLIZJOS,X,O,O,O,X,X,X
TLIZSJO,X,O,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,O,O
TLIZOJS,X,O,O,O,X,O,X
TLIZOSJ,X,O,X,O,X,O,O
TLIOJSZ,X,O,X,O,X,O,X
TLIOJZS,X,O,O,O,X,O,X
TLIOSJZ,X,O,X,X,X,O,X
TLIOSZJ,X,O,X,O,X,O,X
TLIOZJS,X,O,X,O,X,O,X
TLIOZSJ,X,O,X,O,X,O,O
TLJISZO,X,O,O,O,X,X,X
TLJISOZ,X,O,X,X,X,O,X
TLJIZSO,X,O,O,O,X,X,X
TLJIZOS,X,O,O,O,X,X,X
TLJIOSZ,X,O,X,O,X,O,X
TLJIOZS,X,O,O,O,X,O,X
TLJSIZO,O,O,O,O,X,X,X
TLJSIOZ,O,O,X,X,X,O,X
TLJSZIO,O,O,O,O,X,X,X
TLJSZOI,O,O,O,X,X,X,X
TLJSOIZ,O,O,X,O,X,O,X
TLJSOZI,O,O,X,O,X,O,X
TLJZISO,X,O,O,O,X,X,X
TLJZIOS,O,O,O,O,X,X,X
TLJZSIO,O,O,O,O,X,X,X
TLJZSOI,O,O,O,X,X,X,O
TLJZOIS,O,O,O,O,X,X,X
TLJZOSI,O,O,O,O,X,X,O
TLJOISZ,X,O,X,O,X,O,X
TLJOIZS,X,O,O,O,X,O,X
TLJOSIZ,O,O,X,O,X,O,X
TLJOSZI,O,O,X,O,X,O,X
TLJOZIS,O,O,O,O,X,O,X
TLJOZSI,O,O,O,O,X,O,O
TLSIJZO,O,O,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,O,X
TLSIZJO,O,O,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,O,X
TLSIOJZ,O,O,X,X,X,O,X
TLSIOZJ,O,O,X,X,X,O,X
TLSJIZO,O,O,O,O,X,X,X
TLSJIOZ,O,O,X,X,X,O,X
TLSJZIO,O,O,O,O,X,X,X
TLSJZOI,O,O,O,X,X,X,X
TLSJOIZ,O,O,X,O,X,O,X
TLSJOZI,O,O,X,O,X,O,X
TLSZIJO,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,X,O,O
TLSZJIO,O,O,O,O,X,X,X
TLSZJOI,O,O,O,X,X,X,O
TLSZOIJ,O,O,O,O,X,O,O
TLSZOJI,O,O,O,O,X,O,O
TLSOIJZ,O,O,X,X,X,O,X
TLSOIZJ,O,O,X,O,X,O,O
TLSOJIZ,O,O,X,O,X,O,X
TLSOJZI,O,O,X,O,X,O,X
TLSOZIJ,O,O,X,O,X,O,O
TLSOZJI,O,O,X,O,X,O,O
TLZIJSO,X,O,O,O,X,X,X
TLZIJOS,O,O,O,O,X,X,X
TLZISJO,X,O,O,X,X,X,X
TLZISOJ,X,O,O,X,X,O,O
TLZIOJS,O,O,O,O,X,O,X
TLZIOSJ,X,O,X,O,X,O,O
TLZJISO,X,O,O,O,X,X,X
TLZJIOS,O,O,O,O,X,X,X
TLZJSIO,O,O,O,O,X,X,X
TLZJSOI,O,O,O,X,X,X,O
TLZJOIS,O,O,O,O,X,X,X
TLZJOSI,O,O,O,O,X,X,O
TLZSIJO,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,X,X,O,O
TLZSJIO,O,O,O,O,X,X,X
TLZSJOI,O,O,O,X,X,X,O
TLZSOIJ,O,O,O,O,X,O,O
TLZSOJI,O,O,O,O,X,O,O
TLZOIJS,O,O,O,O,X,O,X
TLZOISJ,X,O,X,O,X,O,O
TLZOJIS,O,O,O,O,X,O,X
TLZOJSI,O,O,O,O,X,O,O
TLZOSIJ,O,O,O,O,X,O,O
TLZOSJI,O,O,O,O,X,O,O
TLOIJSZ,X,O,X,O,X,O,X
TLOIJZS,X,O,O,O,X,O,X
TLOISJZ,X,O,X,X,X,O,X
TLOISZJ,X,O,X,O,X,O,O
TLOIZJS,X,O,X,O,X,O,X
TLOIZSJ,X,O,X,O,X,O,O
TLOJISZ,X,O,X,O,X,O,X
TLOJIZS,X,O,O,O,X,O,X
TLOJSIZ,O,O,X,O,X,O,X
TLOJSZI,O,O,X,O,X,O,X
TLOJZIS,O,O,O,O,X,O,X
TLOJZSI,O,O,O,O,X,O,O
TLOSIJZ,O,O,X,X,X,O,X
TLOSIZJ,O,O,X,O,X,O,O
TLOSJIZ,O,O,X,O,X,O,X
TLOSJZI,O,O,X,O,X,O,X
TLOSZIJ,O,O,X,O,X,O,O
TLOSZJI,O,O,X,O,X,O,O
TLOZIJS,O,O,O,O,X,O,X
TLOZISJ,X,O,X,O,X,O,O
TLOZJIS,O,O,O,O,X,O,X
TLOZJSI,O,O,O,O,X,O,O
TLOZSIJ,O,O,O,O,X,O,O
TLOZSJI,O,O,O,O,X,O,O
TJILSZO,X,O,O,O,X,X,X
TJILSOZ,X,O,X,X,X,X,X
TJILZSO,X,O,O,O,X,X,X
TJILZOS,X,O,O,O,X,X,X
TJILOSZ,X,O,X,O,X,X,X
TJILOZS,X,O,O,O,X,X,X
TJISLZO,O,O,O,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X
TJISZLO,O,O,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X
TJISOLZ,O,X,X,O,X,O,X
TJISOZL,O,X,X,X,X,O,X
TJIZLSO,X,O,O,X,X,X,X
TJIZLOS,O,O,O,X,X,X,X
TJIZSLO,O,O,O,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X
TJIZOSL,O,O,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,O,X
TJIOLZS,X,X,O,O,X,X,X
TJIOSLZ,O,X,X,O,X,O,X
TJIOSZL,O,X,X,X,X,O,X
TJIOZLS,O,X,X,O,X,X,X
TJIOZSL,O,X,X,X,X,O,X
TJLISZO,X,O,O,O,X,X,X
TJLISOZ,X,O,X,X,X,O,X
TJLIZSO,X,O,O,O,X,X,X
TJLIZOS,X,O,O,O,X,X,X
TJLIOSZ,X,O,X,O,X,O,X
TJLIOZS,X,O,O,O,X,O,X
TJLSIZO,O,O,O,O,X,X,X
TJLSIOZ,O,O,X,X,X,O,X
TJLSZIO,O,O,O,O,X,X,X
TJLSZOI,O,O,O,X,X,X,X
TJLSOIZ,O,O,X,O,X,O,X
TJLSOZI,O,O,X,O,X,O,X
TJLZISO,X,O,O,O,X,X,X
TJLZIOS,O,O,O,O,X,X,X
TJLZSIO,O,O,O,O,X,X,X
TJLZSOI,O,O,O,X,X,X,O
TJLZOIS,O,O,O,O,X,X,X
TJLZOSI,O,O,O,O,X,X,O
TJLOISZ,X,O,X,O,X,O,X
TJLOIZS,X,O,O,O,X,O,X
TJLOSIZ,O,O,X,O,X,O,X
TJLOSZI,O,O,X,O,X,O,X
TJLOZIS,O,O,O,O,X,O,X
TJLOZSI,O,O,O,O,X,O,O
TJSILZO,O,O,O,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X
TJSIZOL,O,O,X,X,O,X,X
TJSIOLZ,O,X,X,O,O,O,X
TJSIOZL,O,X,X,X,O,O,X
TJSLIZO,O,O,O,X,X,X,X
TJSLIOZ,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X
TJSLZOI,O,O,O,X,O,X,X
TJSLOIZ,O,O,X,X,O,X,X
TJSLOZI,O,O,X,X,O,X,X
TJSZILO,O,O,O,X,X,X,X
TJSZIOL,O,O,O,X,O,X,X
TJSZLIO,O,O,O,X,X,X,X
TJSZLOI,O,O,O,X,O,X,X
TJSZOIL,O,O,O,X,O,X,X
TJSZOLI,O,O,O,X,O,X,X
TJSOILZ,O,X,X,O,O,O,X
TJSOIZL,O,X,X,X,O,O,X
TJSOLIZ,O,X,X,O,O,O,X
TJSOLZI,O,X,X,O,O,O,X
TJSOZIL,O,X,X,X,O,O,X
TJSOZLI,O,X,X,X,O,O,X
TJZILSO,X,O,O,X,X,X,X
TJZILOS,O,O,O,X,X,X,X
TJZISLO,O,O,O,X,X,X,X
TJZISOL,O,O,O,X,X,X,X
TJZIOLS,O,X,O,O,X,X,X
TJZIOSL,O,O,O,X,X,X,X
TJZLISO,X,O,O,X,X,X,X
TJZLIOS,O,O,O,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X,O
TJZLOIS,O,O,O,X,X,X,X
TJZLOSI,O,O,O,X,X,X,O
TJZSILO,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,O,X,O
TJZSLIO,O,O,O,X,X,X,X
TJZSLOI,O,O,O,X,O,X,O
TJZSOIL,O,O,O,X,O,X,O
TJZSOLI,O,O,O,X,O,X,O
TJZOILS,O,X,O,O,X,X,X
TJZOISL,O,O,O,X,O,X,X
TJZOLIS,O,X,O,O,X,X,X
TJZOLSI,O,X,O,O,X,X,O
TJZOSIL,O,O,O,X,O,X,O
TJZOSLI,O,O,O,X,O,X,O
TJOILSZ,X,X,O,O,X,O,X
TJOILZS,X,X,O,O,X,O,X
TJOISLZ,O,X,O,O,O,O,X
TJOISZL,O,X,X,X,O,O,X
TJOIZLS,O,X,O,O,X,X,X
TJOIZSL,O,X,O,X,O,O,X
TJOLISZ,X,X,O,O,X,O,X
TJOLIZS,X,X,O,O,X,O,X
TJOLSIZ,O,X,O,O,X,O,X
TJOLSZI,O,X,O,O,X,O,X
TJOLZIS,O,X,O,O,X,O,X
TJOLZSI,O,X,O,O,X,O,O
TJOSILZ,O,X,O,O,O,O,X
TJOSIZL,O,X,X,X,O,O,X
TJOSLIZ,O,X,O,O,O,O,X
TJOSLZI,O,X,O,O,O,O,X
TJOSZIL,O,X,O,X,O,O,X
TJOSZLI,O,X,O,X,O,O,X
TJOZILS,O,X,O,O,X,X,X
TJOZISL,O,X,O,X,O,O,X
TJOZLIS,O,X,O,O,X,O,X
TJOZLSI,O,X,O,O,X,O,O
TJOZSIL,O,X,O,X,O,O,O
TJOZSLI,O,X,O,X,O,O,O
TSILJZO,O,O,O,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X
TSILOJZ,O,O,X,X,X,O,X
TSILOZJ,O,O,X,X,X,X,X
TSIJLZO,O,O,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,O,X
TSIJOZL,O,X,X,X,X,O,X
TSIZLJO,O,O,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,O
TSIZJLO,O,O,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,O
TSIZOLJ,O,O,X,X,X,X,O
TSIZOJL,O,O,X,X,O,O,O
TSIOLJZ,O,X,X,X,X,O,X
TSIOLZJ,O,X,X,X,X,X,O
TSIOJLZ,O,X,X,X,O,O,X
TSIOJZL,O,X,X,X,O,O,X
TSIOZLJ,O,X,X,X,X,X,O
TSIOZJL,O,X,X,X,O,O,O
TSLIJZO,O,O,O,X,X,X,X
TSLIJOZ,O,O,X,X,X,O,X
TSLIZJO,O,O,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,O,X
TSLIOJZ,O,O,X,X,X,O,X
TSLIOZJ,O,O,X,X,X,O,X
TSLJIZO,O,O,O,X,X,X,X
TSLJIOZ,O,O,X,X,X,O,X
TSLJZIO,O,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X
TSLJOIZ,O,O,X,X,X,O,X
TSLJOZI,O,O,X,X,X,O,X
TSLZIJO,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,X,X,O,O
TSLZJIO,O,O,O,X,X,X,X
TSLZJOI,O,O,O,X,X,X,O
TSLZOIJ,O,O,O,X,X,O,O
TSLZOJI,O,O,O,X,O,O,O
TSLOIJZ,O,O,X,X,X,O,X
TSLOIZJ,O,O,X,X,X,O,O
TSLOJIZ,O,O,X,X,O,O,X
TSLOJZI,O,O,X,X,O,O,X
TSLOZIJ,O,O,X,X,X,O,O
TSLOZJI,O,O,X,X,O,O,O
TSJILZO,O,O,O,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X
TSJIZLO,O,O,X,X,X,X,X
TSJIZOL,O,O,X,X,O,X,X
TSJIOLZ,O,X,X,O,O,O,X
TSJIOZL,O,X,X,X,O,O,X
TSJLIZO,O,O,O,X,X,X,X
TSJLIOZ,O,O,X,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X
TSJLZOI,O,O,O,X,O,X,X
TSJLOIZ,O,O,X,X,O,X,X
TSJLOZI,O,O,X,X,O,X,X
TSJZILO,O,O,O,X,X,X,X
TSJZIOL,O,O,O,X,O,X,X
TSJZLIO,O,O,O,X,X,X,X
TSJZLOI,O,O,O,X,O,X,X
TSJZOIL,O,O,O,X,O,X,X
TSJZOLI,O,O,O,X,O,X,X
TSJOILZ,O,X,X,O,O,O,X
TSJOIZL,O,X,X,X,O,O,X
TSJOLIZ,O,X,X,O,O,O,X
TSJOLZI,O,X,X,O,O,O,X
TSJOZIL,O,X,X,X,O,O,X
TSJOZLI,O,X,X,X,O,O,X
TSZILJO,O,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X,O
TSZIJLO,O,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,X,O
TSZIOLJ,O,O,O,X,X,X,O
TSZIOJL,O,O,O,X,O,O,O
TSZLIJO,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,O
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,O,X,X,X,O
TSZLOIJ,O,O,O,X,X,X,O
TSZLOJI,O,O,O,X,O,X,O
TSZJILO,O,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,X,O
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,X,X,O
TSZJOIL,O,O,O,X,O,X,O
TSZJOLI,O,O,O,X,O,X,O
TSZOILJ,O,O,O,X,X,X,O
TSZOIJL,O,O,O,X,O,O,O
TSZOLIJ,O,O,O,X,X,X,O
TSZOLJI,O,O,O,X,O,X,O
TSZOJIL,O,O,O,X,O,O,O
TSZOJLI,O,O,O,X,O,O,O
TSOILJZ,O,X,X,X,X,O,X
TSOILZJ,O,X,X,O,X,X,O
TSOIJLZ,O,X,X,X,O,O,X
TSOIJZL,O,X,X,X,O,O,X
TSOIZLJ,O,X,X,X,X,X,O
TSOIZJL,O,X,X,X,O,O,O
TSOLIJZ,O,X,X,X,X,O,X
TSOLIZJ,O,X,X,O,X,O,O
TSOLJIZ,O,X,X,O,O,O,X
TSOLJZI,O,X,X,O,O,O,X
TSOLZIJ,O,X,X,O,X,O,O
TSOLZJI,O,X,X,O,O,O,O
TSOJILZ,O,X,X,O,O,O,X
TSOJIZL,O,X,X,X,O,O,X
TSOJLIZ,O,X,X,O,O,O,X
TSOJLZI,O,X,X,O,O,O,X
TSOJZIL,O,X,X,X,O,O,X
TSOJZLI,O,X,X,X,O,O,X
TSOZILJ,O,X,X,X,X,X,O
TSOZIJL,O,X,X,X,O,O,O
TSOZLIJ,O,X,X,X,X,X,O
TSOZLJI,O,X,X,X,O,X,O
TSOZJIL,O,X,X,X,O,O,O
TSOZJLI,O,X,X,X,O,O,O
TZILJSO,X,O,O,X,X,X,X
TZILJOS,O,O,O,X,X,X,X
TZILSJO,X,O,O,X,X,X,X
TZILSOJ,X,O,O,X,X,X,O
TZILOJS,O,O,O,X,X,X,X
TZILOSJ,X,O,X,X,X,X,O
TZIJLSO,X,O,O,X,X,X,X
TZIJLOS,O,O,O,X,X,X,X
TZIJSLO,O,O,O,X,X,X,X
TZIJSOL,O,O,O,X,X,X,X
TZIJOLS,O,X,O,X,X,X,X
TZIJOSL,O,O,O,X,X,X,X
TZISLJO,O,O,O,X,X,X,X
TZISLOJ,O,O,O,X,X,X,O
TZISJLO,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X,O
TZISOLJ,O,O,O,X,X,X,O
TZISOJL,O,O,O,X,X,O,O
TZIOLJS,O,X,O,X,X,X,X
TZIOLSJ,X,X,O,X,X,X,O
TZIOJLS,O,X,O,X,X,X,X
TZIOJSL,O,O,O,X,X,O,X
TZIOSLJ,O,O,O,X,X,X,O
TZIOSJL,O,O,O,X,X,O,O
TZLIJSO,X,O,O,X,X,X,X
TZLIJOS,O,O,O,X,X,X,X
TZLISJO,X,O,O,X,X,X,X
TZLISOJ,X,O,O,X,X,O,O
TZLIOJS,O,O,O,X,X,O,X
TZLIOSJ,X,O,X,X,X,O,O
TZLJISO,X,O,O,X,X,X,X
TZLJIOS,O,O,O,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,O,X,X,X,O
TZLJOIS,O,O,O,X,X,X,X
TZLJOSI,O,O,O,X,X,X,O
TZLSIJO,O,O,O,X,X,X,X
TZLSIOJ,O,O,O,X,X,O,O
TZLSJIO,O,O,O,X,X,X,X
TZLSJOI,O,O,O,X,X,X,O
TZLSOIJ,O,O,O,X,X,O,O
TZLSOJI,O,O,O,X,X,O,O
TZLOIJS,O,O,O,X,X,O,X
TZLOISJ,X,O,X,X,X,O,O
TZLOJIS,O,O,O,X,X,O,X
TZLOJSI,O,O,O,X,X,O,O
TZLOSIJ,O,O,O,X,X,O,O
TZLOSJI,O,O,O,X,X,O,O
TZJILSO,X,O,O,X,X,X,X
TZJILOS,O,O,O,X,X,X,X
TZJISLO,O,O,O,X,X,X,X
TZJISOL,O,O,O,X,X,X,X
TZJIOLS,O,X,O,O,X,X,X
TZJIOSL,O,O,O,X,X,X,X
TZJLISO,X,O,O,X,X,X,X
TZJLIOS,O,O,O,X,X,X,X
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X,O
TZJLOIS,O,O,O,X,X,X,X
TZJLOSI,O,O,O,X,X,X,O
TZJSILO,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,X,O
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,X,O
TZJSOIL,O,O,O,X,X,X,O
TZJSOLI,O,O,O,X,X,X,O
TZJOILS,O,X,O,O,X,X,X
TZJOISL,O,O,O,X,X,X,X
TZJOLIS,O,X,O,O,X,X,X
TZJOLSI,O,X,O,O,X,X,O
TZJOSIL,O,O,O,X,X,X,O
TZJOSLI,O,O,O,X,X,X,O
TZSILJO,O,O,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X,O
TZSIJLO,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,O
TZSIOLJ,O,O,O,X,X,X,O
TZSIOJL,O,O,O,X,X,O,O
TZSLIJO,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,O
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,O,X,X,X,O
TZSLOIJ,O,O,O,X,X,X,O
TZSLOJI,O,O,O,X,X,X,O
TZSJILO,O,O,O,X,X,X,X
TZSJIOL,O,O,O,X,X,X,O
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,X,X,O
TZSJOIL,O,O,O,X,X,X,O
TZSJOLI,O,O,O,X,X,X,O
TZSOILJ,O,O,O,X,X,X,O
TZSOIJL,O,O,O,X,X,O,O
TZSOLIJ,O,O,O,X,X,X,O
TZSOLJI,O,O,O,X,X,X,O
TZSOJIL,O,O,O,X,X,O,O
TZSOJLI,O,O,O,X,X,O,O
TZOILJS,O,X,O,O,X,X,X
TZOILSJ,X,X,O,O,X,X,O
TZOIJLS,O,X,O,X,X,X,X
TZOIJSL,O,O,O,X,X,O,X
TZOISLJ,O,O,O,X,X,X,O
TZOISJL,O,O,O,X,X,O,O
TZOLIJS,O,X,O,O,X,O,X
TZOLISJ,X,X,O,O,X,O,O
TZOLJIS,O,X,O,O,X,O,X
TZOLJSI,O,X,O,O,X,O,O
TZOLSIJ,O,X,O,O,X,O,O
TZOLSJI,O,X,O,O,X,O,O
TZOJILS,O,X,O,O,X,X,X
TZOJISL,O,O,O,X,X,O,X
TZOJLIS,O,X,O,O,X,O,X
TZOJLSI,O,X,O,O,X,O,O
TZOJSIL,O,O,O,X,X,O,O
TZOJSLI,O,O,O,X,X,O,O
TZOSILJ,O,O,O,X,X,X,O
TZOSIJL,O,O,O,X,X,O,O
TZOSLIJ,O,O,O,X,X,X,O
TZOSLJI,O,O,O,X,X,X,O
TZOSJIL,O,O,O,X,X,O,O
TZOSJLI,O,O,O,X,X,O,O
TOILJSZ,X,X,O,O,X,O,X
TOILJZS,X,X,O,O,X,O,X
