sequence,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhFXcBTdBOkB8kBSm?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBGdBKkBzfB3h?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeO/IvhF6hBTdBRgB0gB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gB+hBTdBifB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFCbBTdB8kBGhBXh?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhF8gBGdBzfB3hBCl?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFufBTdBcmBXlBll?BCrB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBSiBmfB3hBTk?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFlbB+hBTdBClBfl?B8qB,v115@7gB8HeB8FeD8EeH8AeF8JeG8IvhFTdB/kBxlBFlB8q?BipB
TISOLJZ,X,X,O,O,X,O,X,X,X,X
TISOLZJ,X,X,O,X,X,O,X,X,X,X
TISOJLZ,X,X,O,O,X,O,X,X,X,X
TISOJZL,X,X,O,O,O,O,O,X,X,O
TISOZLJ,X,X,O,X,O,O,X,X,X,O
TISOZJL,X,X,O,X,O,O,O,X,X,O
TIZLJSO,O,O,X,X,O,X,X,O,X,X
TIZLJOS,O,O,X,O,O,X,X,O,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,O,X,X,X,X,X
TIZLOJS,O,O,X,X,O,X,X,O,X,X
TIZLOSJ,O,O,X,X,O,X,X,X,X,X
TIZJLSO,O,O,X,X,O,X,X,O,X,X
TIZJLOS,O,O,X,O,O,X,X,O,X,X
TIZJSLO,O,O,X,O,O,O,X,O,X,X
TIZJSOL,O,O,X,O,O,O,X,X,X,X
TIZJOLS,O,O,X,O,O,X,X,O,X,X
TIZJOSL,O,O,X,O,O,O,X,X,X,X
TIZSLJO,O,X,X,O,O,O,X,X,X,X
TIZSLOJ,O,X,X,O,O,O,X,X,X,X
TIZSJLO,X,O,X,O,O,O,O,X,X,X
TIZSJOL,X,O,X,O,O,O,O,X,X,X
TIZSOLJ,O,X,X,X,O,O,X,X,X,X
TIZSOJL,X,X,X,O,O,O,O,X,X,X
TIZOLJS,O,X,X,X,O,X,X,O,X,X
TIZOLSJ,O,X,X,X,O,X,X,X,X,X
TIZOJLS,O,O,X,O,O,X,X,O,X,X
TIZOJSL,O,O,X,O,O,O,X,O,X,X
TIZOSLJ,O,X,X,X,O,O,X,X,X,X
TIZOSJL,X,X,X,X,O,O,O,X,X,X
TIOLJSZ,X,X,X,X,X,O,X,O,O,X
TIOLJZS,X,X,X,X,O,X,X,O,O,X
TIOLSJZ,O,X,O,X,X,O,X,X,X,X
TIOLSZJ,O,X,O,X,X,O,X,X,X,X
TIOLZJS,O,X,X,X,O,X,X,O,X,X
TIOLZSJ,O,X,X,X,O,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,O,X,O,O,X
TIOJLZS,X,X,X,X,O,X,X,O,O,X
TIOJSLZ,X,X,X,O,X,O,X,O,X,X
TIOJSZL,X,X,X,O,O,O,X,O,X,O
TIOJZLS,X,X,X,O,O,X,X,O,X,X
TIOJZSL,X,X,X,O,O,O,X,O,X,X
TIOSLJZ,X,X,O,O,X,O,X,X,X,X
TIOSLZJ,X,X,O,X,X,O,X,X,X,X
TIOSJLZ,X,X,O,O,X,O,X,X,X,X
TIOSJZL,X,X,O,O,O,O,O,X,X,O
TIOSZLJ,X,X,O,X,O,O,X,X,X,O
TIOSZJL,X,X,O,X,O,O,O,X,X,O
TIOZLJS,O,X,X,X,O,X,X,O,X,X
TIOZLSJ,O,X,X,X,O,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,X,O,X,X
TIOZJSL,O,X,X,X,O,O,X,O,X,X
TIOZSLJ,O,X,X,X,O,O,X,X,X,X
TIOZSJL,X,X,X,X,O,O,O,X,X,X
TLIJSZO,X,O,X,X,X,O,X,O,O,X
TLIJSOZ,X,O,X,X,X,O,X,X,O,X
TLIJZSO,X,O,X,X,O,X,X,O,O,X
TLIJZOS,X,O,X,X,O,X,X,O,O,X
TLIJOSZ,X,O,X,X,X,O,X,X,O,X
TLIJOZS,X,O,X,X,O,X,X,O,O,X
TLISJZO,X,O,O,X,X,O,X,X,X,X
TLISJOZ,O,O,O,X,X,O,X,X,X,X
TLISZJO,O,O,O,X,X,O,X,X,X,X
TLISZOJ,O,O,O,X,X,O,X,X,X,X
TLISOJZ,O,O,O,X,X,O,X,X,X,X
TLISOZJ,O,O,O,X,X,O,X,X,X,X
TLIZJSO,O,O,X,X,O,X,X,O,X,X
TLIZJOS,O,O,X,X,O,X,X,O,X,X
TLIZSJO,O,O,X,X,O,X,X,X,X,X
TLIZSOJ,O,X,X,X,O,X,X,X,X,X
TLIZOJS,O,O,X,X,O,X,X,O,X,X
TLIZOSJ,O,O,X,X,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,O,X,O,O,X
TLIOJZS,X,O,X,X,O,X,X,O,O,X
TLIOSJZ,O,O,O,X,X,O,X,X,X,X
TLIOSZJ,O,O,O,X,X,O,X,X,X,X
TLIOZJS,O,O,X,X,O,X,X,O,X,X
TLIOZSJ,O,O,X,X,O,X,X,X,X,X
TLJISZO,X,O,X,X,X,O,X,O,O,X
TLJISOZ,X,O,X,X,X,O,X,X,O,X
TLJIZSO,X,O,X,X,O,X,X,O,O,X
TLJIZOS,X,O,X,X,O,X,X,O,O,X
TLJIOSZ,X,O,X,X,X,O,X,X,O,X
TLJIOZS,X,O,X,X,O,X,X,O,O,X
TLJSIZO,X,O,O,O,X,O,X,O,X,X
TLJSIOZ,O,O,O,O,X,O,X,X,X,X
TLJSZIO,O,O,O,O,X,O,X,O,X,X
TLJSZOI,O,O,O,O,X,O,X,O,X,X
TLJSOIZ,O,O,O,O,X,O,X,X,X,X
TLJSOZI,O,O,O,O,X,O,X,X,X,X
TLJZISO,O,O,X,X,O,X,X,O,X,X
TLJZIOS,O,O,X,O,O,X,X,O,X,X
TLJZSIO,O,O,X,O,O,X,X,O,X,X
TLJZSOI,O,O,X,O,O,X,X,O,X,X
TLJZOIS,O,O,X,O,O,X,X,O,X,X
TLJZOSI,O,O,X,O,O,X,X,O,X,X
TLJOISZ,X,O,X,X,X,O,X,O,O,X
TLJOIZS,X,O,X,X,O,X,X,O,O,X
TLJOSIZ,O,O,O,O,X,O,X,O,X,X
TLJOSZI,O,O,O,O,X,O,X,O,X,X
TLJOZIS,O,O,X,O,O,X,X,O,X,X
TLJOZSI,O,O,X,O,O,X,X,O,X,X
TLSIJZO,X,O,O,O,X,O,X,X,X,X
TLSIJOZ,O,O,O,O,X,O,X,X,X,X
TLSIZJO,O,O,O,O,X,O,X,X,X,X
TLSIZOJ,O,O,O,O,X,O,X,X,X,X
TLSIOJZ,O,O,O,O,X,O,X,X,X,X
TLSIOZJ,O,O,O,O,X,O,X,X,X,X
TLSJIZO,X,O,O,O,X,O,X,O,X,X
TLSJIOZ,O,O,O,O,X,O,X,X,X,X
TLSJZIO,O,O,O,O,X,O,X,O,X,X
TLSJZOI,O,O,O,O,X,O,X,O,X,X
TLSJOIZ,O,O,O,O,X,O,X,X,X,X
TLSJOZI,O,O,O,O,X,O,X,X,X,X
TLSZIJO,O,O,O,O,X,O,X,X,X,X
TLSZIOJ,O,O,O,O,X,O,X,X,X,X
TLSZJIO,O,O,O,O,X,O,X,O,X,X
TLSZJOI,O,O,O,O,X,O,X,O,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,X,X
TLSZOJI,O,O,O,O,X,O,X,O,X,X
TLSOIJZ,O,O,O,O,X,O,X,X,X,X
TLSOIZJ,O,O,O,O,X,O,X,X,X,X
TLSOJIZ,O,O,O,O,X,O,X,O,X,X
TLSOJZI,O,O,O,O,X,O,X,O,X,X
TLSOZIJ,O,O,O,O,X,O,X,X,X,X
TLSOZJI,O,O,O,O,X,O,X,O,X,X
TLZIJSO,O,O,X,X,O,X,X,O,X,X
TLZIJOS,O,O,X,O,O,X,X,O,X,X
TLZISJO,O,O,X,X,O,X,X,X,X,X
TLZISOJ,O,X,X,X,O,X,X,X,X,X
TLZIOJS,O,O,X,X,O,X,X,O,X,X
TLZIOSJ,O,O,X,X,O,X,X,X,X,X
TLZJISO,O,O,X,X,O,X,X,O,X,X
TLZJIOS,O,O,X,O,O,X,X,O,X,X
TLZJSIO,O,O,X,O,O,X,X,O,X,X
TLZJSOI,O,O,X,O,O,X,X,O,X,X
TLZJOIS,O,O,X,O,O,X,X,O,X,X
TLZJOSI,O,O,X,O,O,X,X,O,X,X
TLZSIJO,O,O,O,O,O,X,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,O,O,X,X,O,X,X
TLZSJOI,O,O,O,O,O,X,X,O,X,X
TLZSOIJ,O,O,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,O,O,X,X,O,X,X
TLZOIJS,O,O,X,X,O,X,X,O,X,X
TLZOISJ,O,O,X,X,O,X,X,X,X,X
TLZOJIS,O,O,X,X,O,X,X,O,X,X
TLZOJSI,O,O,X,X,O,X,X,O,X,X
TLZOSIJ,O,O,O,X,O,X,X,X,X,X
TLZOSJI,O,O,O,X,O,X,X,O,X,X
TLOIJSZ,X,O,X,X,X,O,X,O,O,X
TLOIJZS,X,O,X,X,O,X,X,O,O,X
TLOISJZ,O,O,O,X,X,O,X,X,X,X
TLOISZJ,O,O,O,X,X,O,X,X,X,X
TLOIZJS,O,O,X,X,O,X,X,O,X,X
TLOIZSJ,O,O,X,X,O,X,X,X,X,X
TLOJISZ,X,O,X,X,X,O,X,O,O,X
TLOJIZS,X,O,X,X,O,X,X,O,O,X
TLOJSIZ,O,O,O,O,X,O,X,O,X,X
TLOJSZI,O,O,O,O,X,O,X,O,X,X
TLOJZIS,O,O,X,O,O,X,X,O,X,X
TLOJZSI,O,O,X,O,O,X,X,O,X,X
TLOSIJZ,O,O,O,O,X,O,X,X,X,X
TLOSIZJ,O,O,O,X,X,O,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,O,X,X
TLOSJZI,O,O,O,O,X,O,X,O,X,X
TLOSZIJ,O,O,O,X,X,O,X,X,X,X
TLOSZJI,O,O,O,O,X,O,X,O,X,X
TLOZIJS,O,O,X,X,O,X,X,O,X,X
TLOZISJ,O,O,X,X,O,X,X,X,X,X
TLOZJIS,O,O,X,X,O,X,X,O,X,X
TLOZJSI,O,O,X,X,O,X,X,O,X,X
TLOZSIJ,O,O,O,X,O,X,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,O,X,X
TJILSZO,X,O,X,X,X,O,X,O,O,X
TJILSOZ,X,O,X,X,X,O,X,X,O,X
TJILZSO,X,O,X,X,O,X,X,O,O,X
TJILZOS,X,O,X,X,O,X,X,O,O,X
TJILOSZ,X,O,X,X,X,O,X,X,O,X
TJILOZS,X,O,X,X,O,X,X,O,O,X
TJISLZO,X,O,X,O,X,O,X,O,X,X
TJISLOZ,X,O,X,O,X,O,X,X,X,X
TJISZLO,X,O,X,O,O,O,X,O,X,X
TJISZOL,X,O,X,O,O,O,X,X,X,X
TJISOLZ,X,X,X,O,X,O,X,X,X,X
TJISOZL,X,X,X,O,O,O,X,X,X,X
TJIZLSO,O,O,X,X,O,X,X,O,X,X
TJIZLOS,O,O,X,O,O,X,X,O,X,X
TJIZSLO,O,O,X,O,O,O,X,O,X,X
TJIZSOL,O,O,X,O,O,O,X,X,X,X
TJIZOLS,O,O,X,O,O,X,X,O,X,X
TJIZOSL,O,O,X,O,O,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,X,X,O,X
TJIOLZS,X,X,X,X,O,X,X,O,O,X
TJIOSLZ,X,X,X,O,X,O,X,X,X,X
TJIOSZL,X,X,X,O,O,O,X,X,X,X
TJIOZLS,O,X,X,O,O,X,X,O,X,X
TJIOZSL,O,X,X,O,O,O,X,X,X,X
TJLISZO,X,O,X,X,X,O,X,O,O,X
TJLISOZ,X,O,X,X,X,O,X,X,O,X
TJLIZSO,X,O,X,X,O,X,X,O,O,X
TJLIZOS,X,O,X,X,O,X,X,O,O,X
TJLIOSZ,X,O,X,X,X,O,X,X,O,X
TJLIOZS,X,O,X,X,O,X,X,O,O,X
TJLSIZO,X,O,O,O,X,O,X,O,X,X
TJLSIOZ,O,O,O,O,X,O,X,X,X,X
TJLSZIO,O,O,O,O,X,O,X,O,X,X
TJLSZOI,O,O,O,O,X,O,X,O,X,X
TJLSOIZ,O,O,O,O,X,O,X,X,X,X
TJLSOZI,O,O,O,O,X,O,X,X,X,X
TJLZISO,O,O,X,X,O,X,X,O,X,X
TJLZIOS,O,O,X,O,O,X,X,O,X,X
TJLZSIO,O,O,X,O,O,X,X,O,X,X
TJLZSOI,O,O,X,O,O,X,X,O,X,X
TJLZOIS,O,O,X,O,O,X,X,O,X,X
TJLZOSI,O,O,X,O,O,X,X,O,X,X
TJLOISZ,X,O,X,X,X,O,X,O,O,X
TJLOIZS,X,O,X,X,O,X,X,O,O,X
TJLOSIZ,O,O,O,O,X,O,X,O,X,X
TJLOSZI,O,O,O,O,X,O,X,O,X,X
TJLOZIS,O,O,X,O,O,X,X,O,X,X
TJLOZSI,O,O,X,O,O,X,X,O,X,X
TJSILZO,X,O,O,O,X,O,X,O,X,X
TJSILOZ,X,O,O,O,X,O,X,X,X,X
TJSIZLO,X,O,O,O,O,O,X,O,X,X
TJSIZOL,X,O,O,O,O,O,X,X,X,X
TJSIOLZ,X,X,O,O,X,O,X,X,X,X
TJSIOZL,X,X,O,O,O,O,X,X,X,X
TJSLIZO,X,O,O,O,X,O,X,O,X,X
TJSLIOZ,X,O,O,O,X,O,X,X,X,X
TJSLZIO,X,O,O,O,X,O,X,O,X,X
TJSLZOI,X,O,O,O,X,O,X,O,X,X
TJSLOIZ,X,O,O,O,X,O,X,X,X,X
TJSLOZI,X,O,O,O,X,O,X,X,X,X
TJSZILO,X,O,O,O,O,O,X,O,X,X
TJSZIOL,X,O,O,O,O,O,X,X,X,X
TJSZLIO,X,O,O,O,O,O,X,O,X,X
TJSZLOI,X,O,O,O,O,O,X,O,X,X
TJSZOIL,X,O,O,O,O,O,X,X,X,X
TJSZOLI,X,O,O,O,O,O,X,X,X,X
TJSOILZ,X,X,O,O,X,O,X,X,X,X
TJSOIZL,X,X,O,O,O,O,X,X,X,X
TJSOLIZ,X,O,O,O,X,O,X,X,X,X
TJSOLZI,X,O,O,O,X,O,X,X,X,X
TJSOZIL,X,O,O,O,O,O,X,X,X,X
TJSOZLI,X,O,O,O,O,O,X,X,X,X
TJZILSO,O,O,X,X,O,X,X,O,X,X
TJZILOS,O,O,X,O,O,X,X,O,X,X
TJZISLO,O,O,X,O,O,O,X,O,X,X
TJZISOL,O,O,X,O,O,O,X,X,X,X
TJZIOLS,O,O,X,O,O,X,X,O,X,X
TJZIOSL,O,O,X,O,O,O,X,X,X,X
TJZLISO,O,O,X,X,O,X,X,O,X,X
TJZLIOS,O,O,X,O,O,X,X,O,X,X
TJZLSIO,O,O,X,O,O,X,X,O,X,X
TJZLSOI,O,O,X,O,O,X,X,O,X,X
TJZLOIS,O,O,X,O,O,X,X,O,X,X
TJZLOSI,O,O,X,O,O,X,X,O,X,X
TJZSILO,O,O,X,O,O,O,X,O,X,X
TJZSIOL,O,O,X,O,O,O,X,X,X,X
TJZSLIO,O,O,X,O,O,O,X,O,X,X
TJZSLOI,O,O,X,O,O,O,X,O,X,X
TJZSOIL,O,O,X,O,O,O,X,X,X,X
TJZSOLI,O,O,X,O,O,O,X,X,X,X
TJZOILS,O,O,X,O,O,X,X,O,X,X
TJZOISL,O,O,X,O,O,O,X,O,X,X
TJZOLIS,O,O,X,O,O,X,X,O,X,X
TJZOLSI,O,O,X,O,O,X,X,O,X,X
TJZOSIL,O,X,X,O,O,O,X,O,X,X
TJZOSLI,O,X,X,O,O,O,X,O,X,X
TJOILSZ,X,X,X,X,X,O,X,O,O,X
TJOILZS,X,X,X,X,O,X,X,O,O,X
TJOISLZ,X,X,X,O,X,O,X,O,X,X
TJOISZL,X,X,X,O,O,O,X,O,X,X
TJOIZLS,O,X,X,O,O,X,X,O,X,X
TJOIZSL,O,X,X,O,O,O,X,O,X,X
TJOLISZ,X,O,X,X,X,O,X,O,O,X
TJOLIZS,X,O,X,X,O,X,X,O,O,X
TJOLSIZ,O,O,O,O,X,O,X,O,X,X
TJOLSZI,O,O,O,O,X,O,X,O,X,X
TJOLZIS,O,O,X,O,O,X,X,O,X,X
TJOLZSI,O,O,X,O,O,X,X,O,X,X
TJOSILZ,X,X,O,O,X,O,X,O,X,X
TJOSIZL,X,X,O,O,O,O,X,O,X,X
TJOSLIZ,X,O,O,O,X,O,X,O,X,X
TJOSLZI,X,O,O,O,X,O,X,O,X,X
TJOSZIL,X,O,O,O,O,O,X,O,X,X
TJOSZLI,X,O,O,O,O,O,X,O,X,X
TJOZILS,O,O,X,O,O,X,X,O,X,X
TJOZISL,O,O,X,O,O,O,X,O,X,X
TJOZLIS,O,O,X,O,O,X,X,O,X,X
TJOZLSI,O,O,X,O,O,X,X,O,X,X
TJOZSIL,O,X,X,O,O,O,X,O,X,X
TJOZSLI,O,X,X,O,O,O,X,O,X,X
TSILJZO,X,O,O,O,X,O,X,X,X,X
TSILJOZ,X,O,O,O,X,O,X,X,X,X
TSILZJO,X,O,O,O,X,O,X,X,X,X
TSILZOJ,X,O,O,O,X,O,X,X,X,X
TSILOJZ,X,O,O,O,X,O,X,X,X,X
TSILOZJ,X,O,O,O,X,O,X,X,X,X
TSIJLZO,X,O,O,O,X,O,X,X,X,X
TSIJLOZ,X,O,O,O,X,O,X,X,X,X
TSIJZLO,X,O,O,O,O,O,O,X,X,O
TSIJZOL,X,O,O,O,O,O,O,X,X,O
TSIJOLZ,X,X,O,O,X,O,X,X,X,X
TSIJOZL,X,X,O,O,O,O,O,X,X,O
TSIZLJO,X,O,O,O,O,O,X,X,X,O
TSIZLOJ,X,O,O,O,O,O,X,X,X,O
TSIZJLO,X,O,O,O,O,O,O,X,X,O
TSIZJOL,X,O,O,O,O,O,O,X,X,O
TSIZOLJ,X,X,O,X,O,O,X,X,X,O
TSIZOJL,X,O,O,O,O,O,O,X,X,O
TSIOLJZ,X,X,O,O,X,O,X,X,X,X
TSIOLZJ,X,X,O,X,X,O,X,X,X,X
TSIOJLZ,X,X,O,O,X,O,X,X,X,X
TSIOJZL,X,X,O,O,O,O,O,X,X,O
TSIOZLJ,X,X,O,X,O,O,X,X,X,O
TSIOZJL,X,X,O,X,O,O,O,X,X,O
TSLIJZO,X,O,O,O,X,O,X,X,X,X
TSLIJOZ,O,O,O,O,X,O,X,X,X,X
TSLIZJO,O,O,O,O,X,O,X,X,X,X
TSLIZOJ,O,O,O,O,X,O,X,X,X,X
TSLIOJZ,O,O,O,O,X,O,X,X,X,X
TSLIOZJ,O,O,O,O,X,O,X,X,X,X
TSLJIZO,X,O,O,O,X,O,X,O,X,X
TSLJIOZ,O,O,O,O,X,O,X,X,X,X
TSLJZIO,O,O,O,O,X,O,X,O,X,X
TSLJZOI,O,O,O,O,X,O,X,O,X,X
TSLJOIZ,O,O,O,O,X,O,X,X,X,X
TSLJOZI,O,O,O,O,X,O,X,X,X,X
TSLZIJO,O,O,O,O,X,O,X,X,X,X
TSLZIOJ,O,O,O,O,X,O,X,X,X,X
TSLZJIO,O,O,O,O,X,O,X,O,X,X
TSLZJOI,O,O,O,O,X,O,X,O,X,X
TSLZOIJ,O,O,O,O,X,O,X,X,X,X
TSLZOJI,O,O,O,O,X,O,X,O,X,X
TSLOIJZ,O,O,O,O,X,O,X,X,X,X
TSLOIZJ,O,O,O,O,X,O,X,X,X,X
TSLOJIZ,O,O,O,O,X,O,X,O,X,X
TSLOJZI,O,O,O,O,X,O,X,O,X,X
TSLOZIJ,O,O,O,O,X,O,X,X,X,X
TSLOZJI,O,O,O,O,X,O,X,O,X,X
TSJILZO,X,O,O,O,X,O,X,O,X,X
TSJILOZ,X,O,O,O,X,O,X,X,X,X
TSJIZLO,X,O,O,O,O,O,O,O,X,X
TSJIZOL,X,O,O,O,O,O,O,X,X,X
TSJIOLZ,X,X,O,O,X,O,X,X,X,X
TSJIOZL,X,X,O,O,O,O,O,X,X,X
TSJLIZO,X,O,O,O,X,O,X,O,X,X
TSJLIOZ,X,O,O,O,X,O,X,X,X,X
TSJLZIO,X,O,O,O,X,O,X,O,X,X
TSJLZOI,X,O,O,O,X,O,X,O,X,X
TSJLOIZ,X,O,O,O,X,O,X,X,X,X
TSJLOZI,X,O,O,O,X,O,X,X,X,X
TSJZILO,X,O,O,O,O,O,O,O,X,X
TSJZIOL,X,O,O,O,O,O,O,X,X,X
TSJZLIO,X,O,O,O,O,O,X,O,X,X
TSJZLOI,X,O,O,O,O,O,X,O,X,X
TSJZOIL,X,O,O,O,O,O,O,X,X,X
TSJZOLI,X,O,O,O,O,O,X,X,X,X
TSJOILZ,X,X,O,O,X,O,X,X,X,X
TSJOIZL,X,X,O,O,O,O,O,X,X,X
TSJOLIZ,X,O,O,O,X,O,X,X,X,X
TSJOLZI,X,O,O,O,X,O,X,X,X,X
TSJOZIL,X,O,O,O,O,O,O,X,X,X
TSJOZLI,X,O,O,O,O,O,X,X,X,X
TSZILJO,O,O,O,O,O,O,X,X,X,X
TSZILOJ,O,O,O,O,O,O,X,X,X,X
TSZIJLO,X,O,O,O,O,O,O,X,X,X
TSZIJOL,X,O,O,O,O,O,O,X,X,X
TSZIOLJ,O,X,O,X,O,O,X,X,X,X
TSZIOJL,X,O,O,O,O,O,O,X,X,X
TSZLIJO,O,O,O,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,O,O,O,X,X,X,X
TSZLJIO,O,O,O,O,O,O,X,O,X,X
TSZLJOI,O,O,O,O,O,O,X,O,X,X
TSZLOIJ,O,O,O,O,O,O,X,X,X,X
TSZLOJI,O,O,O,O,O,O,X,O,X,X
TSZJILO,O,O,O,O,O,O,O,O,X,X
TSZJIOL,O,O,O,O,O,O,O,X,X,X
TSZJLIO,O,O,O,O,O,O,X,O,X,X
TSZJLOI,O,O,O,O,O,O,X,O,X,X
TSZJOIL,O,O,O,O,O,O,O,X,X,X
TSZJOLI,O,O,O,O,O,O,X,X,X,X
TSZOILJ,O,X,O,X,O,O,X,X,X,X
TSZOIJL,X,O,O,O,O,O,O,X,X,X
TSZOLIJ,O,O,O,O,O,O,X,X,X,X
TSZOLJI,O,O,O,O,O,O,X,O,X,X
TSZOJIL,O,O,O,O,O,O,O,O,X,X
TSZOJLI,O,O,O,O,O,O,X,O,X,X
TSOILJZ,X,X,O,O,X,O,X,X,X,X
TSOILZJ,X,X,O,X,X,O,X,X,X,X
TSOIJLZ,X,X,O,O,X,O,X,X,X,X
TSOIJZL,X,X,O,O,O,O,O,X,X,O
TSOIZLJ,X,X,O,X,O,O,X,X,X,O
