sequence,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBCiB8?qBTnB1wB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBTiB6?qBcrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBlmBc?sBzqBCsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBXiB6?qBcsBTrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBTiBllBc?rBXsBCrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBllBcrBT?nBCrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBfnB6nBl?lB0rBzqB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFRhB+nBcpBl?lBXrBzrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFWnBcpBllBx?rBzqBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JexBJvhFTkBllB3mBc?sBipBWwB
TLSZJOI,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,O,X,X,X
TJIZSOL,O,X,X,X,O,X,X,X,X,X
TJIZOLS,O,X,X,X,X,O,X,X,X,X
TJIZOSL,O,X,X,X,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X,X,X,X,X
