sequence,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFaiBfjB9mB5?oBcsBOtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFRdBcjB3hBq?nBdsB+tB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhFmcBzdB5jBt?mBcsBKtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhFxcB6jBtmBm?iBcsBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFdiBzdB/mBc?sBOtB5oB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFThBxiBXjBd?sB+tB0sB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhF6hBTdB8nB5?oBdsBOtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFxdBThB0iBd?sB+tBXtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFxdBThBXjBd?sB+tB0sB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG8IvhFTdBKjBUhBd?sBftB5oB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG9IvhFTeBRhBUhBd?sBftB6tB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhF0cBGjBRnBd?sBCoBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF+hB/iBajB5?jBdsBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFUdBGeBxmB6?tBfsBdtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFRdBSjB3hBd?sBGoBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhF0cBSjBziB+?tBRsBdsB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeT+IvhFRhBfoBUhBN?sB+tBCsB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFSiBejB5jB3?hBdsBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhFxcBTeBtmB0?iB+tBisB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF9mBxiB3nBc?tBasBGtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG9IvhFRhBXjBUhBd?sBStBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG9IvhFRhBTjBUhBd?sBftB6tB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF+jB9mB3iBx?sBasBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF9mB3iBxsBc?tBasBGtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeRBJvhFGjBUhBXjBN?sBCnBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF8iB3hBNsBO?tB5oBCsB
JZTLISO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JZTLIOS,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,O,X,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZTLSOI,O,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZTLOIS,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JZTLOSI,O,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JZTSILO,O,X,O,O,O,X,O,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZTSIOL,O,O,X,O,O,X,O,O,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O
JZTSLIO,O,O,O,O,O,X,O,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZTSLOI,O,O,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZTSOIL,O,O,X,O,O,X,O,O,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O
JZTSOLI,O,O,O,O,O,X,O,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZTOILS,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOISL,O,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTOLIS,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOLSI,O,O,X,O,O,X,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JZTOSIL,O,O,X,O,O,X,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,O
JZTOSLI,O,O,X,O,O,X,O,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZITLSO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITSLO,O,X,X,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
JZITSOL,O,O,X,O,O,X,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O
JZITOLS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITOSL,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZILTSO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILTOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILSTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILOST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZISTLO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZISTOL,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZISLTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZISLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZISOTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZISOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOTSL,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOLTS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOLST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOSTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOSLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLTISO,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLTIOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLTSIO,X,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
JZLTSOI,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
JZLTOIS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLTOSI,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLITSO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLITOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLISTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLISOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLIOTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLIOST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLSTIO,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLSTOI,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLSITO,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLSIOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZLSOTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLSOIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZLOTIS,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLOTSI,X,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLOITS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZLOIST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLOSTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLOSIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSTILO,O,X,O,O,O,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O
JZSTIOL,O,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,O
JZSTLIO,O,O,O,O,O,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O
JZSTLOI,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
JZSTOIL,O,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,O
JZSTOLI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
JZSITLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSITOL,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZSILTO,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSILOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSIOTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JZSIOLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSLTIO,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZSLTOI,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZSLITO,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZSLIOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZSLOTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZSLOIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZSOTIL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSOTLI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSOITL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JZSOILT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSOLTI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZSOLIT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZOTILS,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOTISL,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
JZOTLIS,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOTLSI,O,O,X,O,O,X,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOTSIL,O,O,X,O,O,X,X,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,O
JZOTSLI,O,O,X,O,O,X,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JZOITLS,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOITSL,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOILTS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOILST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOISTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOISLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOLTIS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOLTSI,X,O,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOLITS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOLIST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOLSTI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZOLSIT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOSTIL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZOSTLI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOSITL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JZOSILT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOSLTI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZOSLIT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOTILZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOTISLZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOTISZL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
JOTIZLS,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOTIZSL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JOTLISZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOTLIZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOTLSIZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLSZI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLZIS,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTLZSI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTSILZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOTSIZL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O
JOTSLIZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOTSLZI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JOTSZIL,X,O,X,O,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O
JOTSZLI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JOTZILS,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
JOTZISL,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X
JOTZLIS,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTZLSI,O,O,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTZSIL,O,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O
JOTZSLI,O,O,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JOITLSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JOITLZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOITSLZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X
JOITSZL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X
JOITZLS,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOITZSL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O,X
JOILTSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X
JOILTZS,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JOILSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JOILSZT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOILZTS,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JOILZST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X
JOISTZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X
JOISLTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOISLZT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOISZTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOISZLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOIZTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOIZTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JOIZLTS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOIZLST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOIZSLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JOLTIZS,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JOLTSIZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTSZI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTZIS,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTZSI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JOLITZS,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JOLISTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JOLISZT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLIZTS,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JOLIZST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOLSTZI,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSITZ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOLSIZT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLSZTI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSZIT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLZTIS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZTSI,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZITS,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLZIST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZSIT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSTILZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOSTIZL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O
JOSTLIZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOSTLZI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JOSTZIL,X,O,X,O,X,X,X,O,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JOSTZLI,X,O,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JOSITLZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOSITZL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOSILTZ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOSILZT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSIZTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JOSIZLT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSLTIZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOSLTZI,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSLITZ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOSLIZT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSLZTI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSLZIT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSZTIL,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOSZTLI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZITL,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOSZILT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSZLTI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZLIT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZTILS,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
