sequence,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcBlgB3hBaqBGr?B0qB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhF2gBFdB5mBUlBar?B3qB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcB3hBFlBCrBOq?BUrB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxbBXdBFlB8qB+r?BiqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcB3hBFlBGrBiq?B0qB,v115@7gB8GeD8EeF8DeF8DeD8Jei6IvhFfhBxcBzfBumBcq?BVwB,v115@7gB8GeD8EeF8DeF8DeD8Je//IvhFUbBahBFdB5mBmq?BTqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcBUhBFlBCrBOq?B3rB,v115@7gB8GeD8EeF8DeF8DeD8Je//IvhF1gBxcBumBUgBKr?BTqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFfhBxcBumBFlBUr?BKqB,v115@7gB8GeD8EeF8DeF8DeD8Jex6IvhFXdBUhBFlBCrBmp?BTrB,v115@7gB8GeD8EeF8DeF8DeD8Je37IvhF0fBlhBzlBmkBCn?BxvB
TIZOLSJ,X,O,X,X,X,O,X,O,X,X,X,O
TIZOJLS,X,O,X,X,X,O,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,O,X,X,X,X,X,O
TIZOSLJ,X,O,X,X,X,O,X,X,X,X,X,O
TIZOSJL,X,O,X,X,X,O,X,X,X,X,X,O
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X,X,X,X,O
TIOLZJS,X,O,X,X,X,X,X,O,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,O,X,X,X,O
TIOJLSZ,X,X,X,X,X,X,O,X,O,X,X,X
TIOJLZS,X,O,X,X,X,X,O,X,O,X,X,X
TIOJSLZ,X,X,X,X,O,X,O,X,O,X,X,X
TIOJSZL,X,X,X,X,O,X,O,X,X,X,X,O
TIOJZLS,X,O,X,X,X,X,O,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,O,X,X,X,X,O
TIOSLJZ,O,X,O,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,O,X,X,X,X,X,O
TIOSJLZ,X,X,O,X,O,X,O,X,O,X,X,X
TIOSJZL,X,X,X,X,O,X,O,X,X,X,X,O
TIOSZLJ,X,O,O,X,X,O,O,X,X,X,X,O
TIOSZJL,X,O,X,X,X,O,X,X,X,X,X,O
TIOZLJS,X,O,X,X,X,X,X,O,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,O,X,X,X,O
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X,X,X,X,X,O
TIOZSLJ,X,O,X,X,X,X,X,X,X,X,X,O
TIOZSJL,X,O,X,X,X,X,X,X,X,X,X,O
TLIJSZO,O,X,X,X,X,O,O,X,O,X,X,X
TLIJSOZ,O,X,X,X,X,O,O,X,O,X,X,X
TLIJZSO,X,O,X,X,X,O,O,X,O,X,X,X
TLIJZOS,X,O,X,X,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,O,X,O,X,X,X
TLIJOZS,X,O,X,X,X,X,O,X,X,X,X,X
TLISJZO,X,X,O,X,X,O,O,X,O,X,X,X
TLISJOZ,O,X,O,X,X,O,O,X,O,X,X,X
TLISZJO,X,O,O,X,X,O,O,X,X,X,O,X
TLISZOJ,O,O,O,X,X,O,O,X,X,X,X,X
TLISOJZ,O,X,O,X,X,O,X,X,X,X,X,X
TLISOZJ,O,O,O,X,X,O,X,X,X,X,X,X
TLIZJSO,X,O,X,X,X,O,X,O,X,X,O,X
TLIZJOS,X,O,X,X,X,X,X,O,X,X,O,X
TLIZSJO,X,O,X,X,X,O,X,O,X,X,O,X
TLIZSOJ,X,O,X,X,X,O,X,O,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,X,O,X,X,X,X,X,O,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,X,X,X,X,O
TLIOZJS,X,O,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,O,X,X,X,O
TLJISZO,O,X,X,X,X,O,O,X,O,X,X,X
TLJISOZ,O,X,X,X,X,O,O,X,O,X,X,X
TLJIZSO,X,X,X,X,X,O,O,X,O,X,X,X
TLJIZOS,X,X,X,X,X,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,O,X,O,X,X,X
TLJIOZS,X,X,X,X,X,X,O,X,O,X,X,X
TLJSIZO,O,X,O,X,O,O,O,X,O,X,X,X
TLJSIOZ,O,X,O,X,O,O,O,X,O,X,X,X
TLJSZIO,O,X,O,X,O,O,O,X,O,X,O,X
TLJSZOI,O,X,O,X,O,O,O,X,O,X,O,X
TLJSOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLJSOZI,O,X,O,X,O,X,O,X,O,X,X,X
TLJZISO,X,O,X,X,X,O,X,O,O,X,O,X
TLJZIOS,X,O,X,X,X,X,X,O,X,X,O,X
TLJZSIO,O,X,X,X,X,O,O,O,O,X,O,X
TLJZSOI,O,X,X,X,X,O,O,O,O,X,O,X
TLJZOIS,X,O,X,X,X,O,X,O,X,X,O,X
TLJZOSI,O,X,X,X,X,O,X,O,X,X,O,X
TLJOISZ,O,X,X,X,X,X,X,X,O,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLJOSZI,O,X,O,X,O,X,O,X,O,X,X,X
TLJOZIS,X,O,X,X,X,X,X,O,O,X,X,X
TLJOZSI,O,X,X,X,X,O,X,O,O,X,X,X
TLSIJZO,X,X,O,X,X,O,O,X,O,X,X,X
TLSIJOZ,O,X,O,X,X,O,O,X,O,X,X,X
TLSIZJO,X,X,O,X,X,O,O,X,X,X,O,X
TLSIZOJ,O,X,O,X,X,O,O,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,O,X,X,O,X,X,X,X,X,X
TLSJIZO,O,X,O,X,O,O,O,X,O,X,X,X
TLSJIOZ,O,X,O,X,O,O,O,X,O,X,X,X
TLSJZIO,O,X,O,X,O,O,O,X,O,X,O,X
TLSJZOI,O,X,O,X,O,O,O,X,O,X,O,X
TLSJOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLSJOZI,O,X,O,X,O,X,O,X,O,X,X,X
TLSZIJO,X,O,O,X,X,O,O,O,X,X,O,X
TLSZIOJ,O,O,O,X,X,O,O,O,X,X,X,X
TLSZJIO,X,X,O,X,X,O,O,O,O,X,O,X
TLSZJOI,X,X,O,X,X,O,X,O,O,X,O,X
TLSZOIJ,O,O,O,X,X,O,O,O,X,X,X,X
TLSZOJI,O,X,O,X,X,O,X,O,X,X,O,X
TLSOIJZ,O,X,O,X,X,O,X,X,O,X,X,X
TLSOIZJ,O,X,O,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLSOJZI,O,X,O,X,O,X,X,X,O,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,O,X,X,X,X
TLSOZJI,O,X,O,X,X,X,X,O,O,X,O,X
TLZIJSO,X,O,X,X,X,O,X,O,X,X,O,X
TLZIJOS,X,O,X,X,X,X,X,O,X,X,O,X
TLZISJO,X,O,X,X,X,O,X,O,X,X,O,X
TLZISOJ,X,O,X,X,X,O,X,O,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,X,O,X,X,X,X
TLZJISO,X,O,X,X,X,O,X,O,O,X,O,X
TLZJIOS,X,O,X,X,X,X,X,O,X,X,O,X
TLZJSIO,O,X,X,X,X,O,X,O,O,O,O,X
TLZJSOI,O,X,X,X,X,O,X,O,O,O,O,X
TLZJOIS,X,O,X,X,X,O,X,O,X,X,O,X
TLZJOSI,O,X,X,X,X,O,X,O,X,X,O,X
TLZSIJO,X,O,O,X,X,O,X,O,X,X,O,X
TLZSIOJ,O,O,O,X,X,O,X,O,X,X,X,X
TLZSJIO,X,X,O,X,X,O,X,O,O,O,O,X
TLZSJOI,X,X,O,X,X,O,X,O,O,O,O,X
TLZSOIJ,O,O,O,X,X,O,X,O,X,X,X,X
TLZSOJI,O,X,O,X,X,O,X,O,X,X,O,X
TLZOIJS,X,O,X,X,X,O,X,O,X,X,X,X
TLZOISJ,X,O,X,X,X,O,X,O,X,X,X,X
TLZOJIS,X,O,X,X,X,O,X,O,X,X,O,X
TLZOJSI,O,X,X,X,X,O,X,O,X,X,O,X
TLZOSIJ,O,O,O,X,X,O,X,O,X,X,X,X
TLZOSJI,O,X,O,X,X,O,X,O,X,X,O,X
TLOIJSZ,O,X,X,X,X,X,X,X,O,X,X,X
TLOIJZS,X,O,X,X,X,X,X,X,O,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,O,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,O,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X,O,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLOJSZI,O,X,O,X,O,X,X,X,O,X,X,X
TLOJZIS,X,O,X,X,X,X,X,O,O,X,X,X
TLOJZSI,O,X,X,X,X,O,X,O,O,X,X,X
TLOSIJZ,O,X,O,X,X,O,X,X,O,X,X,X
TLOSIZJ,O,X,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,O,O,X,X,O,X,X,X
TLOSJZI,O,X,O,X,O,X,X,X,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,O,X,X,X,X
TLOSZJI,O,X,O,X,X,X,X,O,O,X,O,X
TLOZIJS,X,O,X,X,X,O,X,O,X,X,X,X
TLOZISJ,X,O,X,X,X,O,X,O,X,X,X,X
TLOZJIS,X,O,X,X,X,O,X,O,O,X,O,X
TLOZJSI,O,X,X,X,X,O,X,O,O,X,O,X
TLOZSIJ,O,O,O,X,X,O,X,O,X,X,X,X
TLOZSJI,O,X,O,X,X,O,X,O,O,X,O,X
TJILSZO,O,X,X,X,X,O,O,X,O,X,X,X
TJILSOZ,O,X,X,X,X,O,O,X,O,X,X,X
TJILZSO,X,O,X,X,X,O,O,X,O,X,X,X
TJILZOS,X,O,X,X,X,X,O,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,O,X,O,X,X,X
TJILOZS,X,O,X,X,X,X,O,X,O,X,X,X
TJISLZO,O,X,X,X,O,O,O,X,O,X,X,X
TJISLOZ,O,X,X,X,O,O,O,X,O,X,X,X
TJISZLO,X,X,X,X,O,O,O,X,X,X,X,X
TJISZOL,X,X,X,X,O,O,O,X,X,X,X,X
TJISOLZ,X,X,X,X,O,O,O,X,O,X,X,X
TJISOZL,X,X,X,X,O,O,O,X,X,X,X,X
TJIZLSO,X,O,X,X,X,O,O,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,O,X,X,X,X,X
TJIZSLO,X,X,X,X,X,O,O,X,X,O,X,X
TJIZSOL,X,O,X,X,X,O,O,X,X,O,X,X
TJIZOLS,X,O,X,X,X,O,O,X,X,X,X,X
TJIZOSL,X,O,X,X,X,O,O,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,O,X,X,X
TJIOLZS,X,O,X,X,X,X,O,X,O,X,X,X
TJIOSLZ,X,X,X,X,O,O,O,X,O,X,X,X
TJIOSZL,X,X,X,X,O,O,O,X,X,X,X,O
TJIOZLS,X,O,X,X,X,X,O,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X,O,X,X,X,X,O
TJLISZO,O,X,X,X,X,O,O,X,O,X,X,X
TJLISOZ,O,X,X,X,X,O,O,X,O,X,X,X
TJLIZSO,X,X,X,X,X,O,O,X,O,X,X,X
TJLIZOS,X,X,X,X,X,X,O,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,X,O,X,O,X,X,X
TJLIOZS,X,X,X,X,X,X,O,X,O,X,X,X
TJLSIZO,O,X,O,X,O,O,O,X,O,X,X,X
TJLSIOZ,O,X,O,X,O,O,O,X,O,X,X,X
TJLSZIO,O,X,O,X,O,O,O,X,O,X,O,X
TJLSZOI,O,X,O,X,O,O,O,X,O,X,O,X
TJLSOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TJLSOZI,O,X,O,X,O,X,O,X,O,X,X,X
TJLZISO,X,O,X,X,X,O,X,O,O,X,O,X
TJLZIOS,X,O,X,X,X,X,X,O,X,X,O,X
TJLZSIO,O,X,X,X,X,O,O,O,O,X,O,X
TJLZSOI,O,X,X,X,X,O,O,O,O,X,O,X
TJLZOIS,X,O,X,X,X,O,X,O,X,X,O,X
TJLZOSI,O,X,X,X,X,O,X,O,X,X,O,X
TJLOISZ,O,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,O,X,O,X,O,O,X,X,O,X,X,X
TJLOSZI,O,X,O,X,O,X,O,X,O,X,X,X
TJLOZIS,X,O,X,X,X,X,X,O,O,X,X,X
TJLOZSI,O,X,X,X,X,O,X,O,O,X,X,X
TJSILZO,O,X,O,X,O,O,O,X,O,X,X,X
TJSILOZ,O,X,O,X,O,O,O,X,O,X,X,X
TJSIZLO,X,X,X,O,O,O,O,X,X,X,X,X
TJSIZOL,X,X,X,O,O,O,O,X,X,X,X,X
TJSIOLZ,X,X,O,X,O,O,O,X,O,X,X,X
TJSIOZL,X,X,X,O,O,O,O,X,X,X,X,X
TJSLIZO,O,X,O,X,O,O,O,X,O,X,X,X
TJSLIOZ,O,X,O,X,O,O,O,X,O,X,X,X
TJSLZIO,O,X,O,X,O,O,O,X,O,X,O,X
TJSLZOI,O,X,O,X,O,O,O,X,O,X,O,X
TJSLOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TJSLOZI,O,X,O,X,O,X,O,X,O,X,X,X
TJSZILO,X,X,X,O,O,O,O,X,X,X,X,X
TJSZIOL,X,X,X,O,O,O,O,X,X,X,X,X
TJSZLIO,X,X,X,O,O,O,O,X,X,X,X,X
TJSZLOI,X,X,X,O,O,O,O,X,X,X,X,X
TJSZOIL,X,X,X,O,O,O,X,X,X,X,X,X
TJSZOLI,X,X,X,O,O,O,O,X,X,X,X,X
TJSOILZ,X,X,O,X,O,O,O,X,O,X,X,X
TJSOIZL,X,X,X,O,O,O,O,X,X,X,X,X
TJSOLIZ,X,X,O,X,O,O,X,X,O,X,X,X
TJSOLZI,X,X,O,X,O,X,O,X,O,X,X,X
TJSOZIL,X,X,X,O,O,O,X,X,X,X,X,X
TJSOZLI,X,X,X,O,O,O,O,X,X,X,X,X
TJZILSO,X,O,X,O,X,O,O,X,X,X,X,X
TJZILOS,X,O,X,O,X,X,O,X,X,X,X,X
TJZISLO,X,X,X,O,X,O,O,X,X,O,X,X
TJZISOL,X,O,X,O,X,O,O,X,X,O,X,X
TJZIOLS,X,O,X,O,X,O,O,X,X,X,X,X
TJZIOSL,X,O,X,O,X,O,O,X,X,X,X,X
TJZLISO,X,O,X,O,X,O,X,O,X,X,O,X
TJZLIOS,X,O,X,O,X,X,X,O,X,X,O,X
TJZLSIO,X,X,X,O,X,O,O,O,X,O,O,X
TJZLSOI,X,X,X,O,X,O,O,O,X,O,O,X
TJZLOIS,X,O,X,O,X,O,X,O,X,X,O,X
TJZLOSI,X,X,X,O,X,O,X,O,X,X,O,X
TJZSILO,X,X,X,O,O,O,O,X,X,O,X,X
TJZSIOL,X,X,X,O,O,O,O,X,X,O,X,X
TJZSLIO,X,X,X,O,O,O,O,X,X,O,X,X
TJZSLOI,X,X,X,O,O,O,O,X,X,O,X,X
TJZSOIL,X,X,X,O,O,O,X,X,X,O,X,X
TJZSOLI,X,X,X,O,O,O,O,X,X,O,X,X
TJZOILS,X,O,X,O,X,O,X,X,X,X,X,X
TJZOISL,X,O,X,O,X,O,X,X,X,X,X,X
TJZOLIS,X,O,X,O,X,O,X,O,X,X,X,X
TJZOLSI,X,X,X,O,X,O,X,O,X,X,X,X
TJZOSIL,X,X,X,O,O,O,X,X,X,O,X,X
TJZOSLI,X,X,X,O,O,O,X,X,X,O,X,X
TJOILSZ,X,X,X,X,X,X,O,X,O,X,X,X
TJOILZS,X,O,X,X,X,X,O,X,O,X,X,X
TJOISLZ,X,X,X,X,O,O,O,X,O,X,X,X
TJOISZL,X,X,X,X,O,O,O,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,O,X,X,X,X,X
TJOIZSL,X,O,X,X,X,X,O,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X,O,X,X,X
TJOLIZS,X,X,X,X,X,X,X,X,O,X,X,X
TJOLSIZ,X,X,O,X,O,O,X,X,O,X,X,X
TJOLSZI,X,X,O,X,O,X,O,X,O,X,X,X
TJOLZIS,X,O,X,X,X,X,X,O,O,X,X,X
TJOLZSI,X,X,X,X,X,O,X,O,O,X,X,X
TJOSILZ,X,X,O,X,O,O,O,X,O,X,X,X
TJOSIZL,X,X,X,O,O,O,O,X,X,X,X,X
TJOSLIZ,X,X,O,X,O,O,X,X,O,X,X,X
TJOSLZI,X,X,O,X,O,X,O,X,O,X,X,X
TJOSZIL,X,X,X,O,O,O,X,X,X,X,X,X
TJOSZLI,X,X,X,O,O,O,O,X,X,X,X,X
TJOZILS,X,O,X,O,X,O,X,X,X,X,X,X
TJOZISL,X,O,X,O,X,O,X,X,X,X,X,X
TJOZLIS,X,O,X,O,X,O,X,O,X,X,X,X
TJOZLSI,X,X,X,O,X,O,X,O,X,X,X,X
TJOZSIL,X,X,X,O,O,O,X,X,X,X,X,X
TJOZSLI,X,X,X,O,O,O,X,X,X,X,X,X
TSILJZO,X,X,O,X,X,O,O,X,X,X,X,X
TSILJOZ,O,X,O,X,X,O,O,X,X,X,X,X
TSILZJO,X,O,O,X,X,O,O,X,X,X,O,X
TSILZOJ,O,O,O,X,X,O,O,X,X,X,X,X
TSILOJZ,O,X,O,X,X,O,X,X,X,X,X,X
TSILOZJ,O,O,O,X,X,O,X,X,X,X,X,X
TSIJLZO,O,X,O,X,O,O,O,X,O,X,X,X
TSIJLOZ,O,X,O,X,O,O,O,X,O,X,X,X
TSIJZLO,X,X,X,O,O,O,O,X,X,X,X,X
TSIJZOL,X,X,X,O,O,O,O,X,X,X,X,X
TSIJOLZ,X,X,O,X,O,O,O,X,O,X,X,X
TSIJOZL,X,X,X,O,O,O,O,X,X,X,X,X
TSIZLJO,X,O,O,X,X,O,O,X,X,X,X,X
TSIZLOJ,X,O,O,X,X,O,O,X,X,X,X,X
TSIZJLO,X,X,X,X,X,O,O,X,X,X,X,X
TSIZJOL,X,O,X,X,X,O,O,X,X,X,X,X
TSIZOLJ,X,O,O,X,X,O,O,X,X,X,X,X
TSIZOJL,X,O,X,X,X,O,X,X,X,X,X,X
TSIOLJZ,O,X,O,X,X,O,X,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,O,X,X,X,X,X,O
TSIOJLZ,X,X,O,X,O,X,O,X,O,X,X,X
TSIOJZL,X,X,X,O,O,X,O,X,X,X,X,O
TSIOZLJ,X,O,O,X,X,O,O,X,X,X,X,O
TSIOZJL,X,O,X,X,X,O,X,X,X,X,X,O
TSLIJZO,X,X,O,X,X,O,O,X,O,X,X,X
TSLIJOZ,O,X,O,X,X,O,O,X,O,X,X,X
TSLIZJO,X,X,O,X,X,O,O,X,X,X,O,X
TSLIZOJ,O,X,O,X,X,O,O,X,X,X,X,X
TSLIOJZ,O,X,O,X,X,O,X,X,X,X,X,X
TSLIOZJ,O,X,O,X,X,O,X,X,X,X,X,X
TSLJIZO,O,X,O,X,O,O,O,X,O,X,X,X
TSLJIOZ,O,X,O,X,O,O,O,X,O,X,X,X
TSLJZIO,O,X,O,X,O,O,O,X,O,X,O,X
TSLJZOI,O,X,O,X,O,O,O,X,O,X,O,X
TSLJOIZ,O,X,O,X,O,O,X,X,O,X,X,X
TSLJOZI,O,X,O,X,O,X,O,X,O,X,X,X
TSLZIJO,X,O,O,X,X,O,O,O,X,X,O,X
TSLZIOJ,O,O,O,X,X,O,O,O,X,X,X,X
