sequence,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFUhBFiB6qBX?nB2wBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBCiBllBe?sBXrBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhF3cBciB6qBT?mBmsBxwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhFGdB/mBanB0?lBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFTdBllBUnBX?rByxBGrB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB6rB0?nBzqB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB8qB+?rBTnByxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB6qB0?nBTrB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBS?wBmsBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBXiBllBm?rBzsBSwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBO?sBSwBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlBTnBG?rByxB0qB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhF6hBTdBllB2?sBXrBRxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFSiBllB3mBm?mBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBzhBllBX?rBmsBSxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiBTmBW?wBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jem7IvhF1lBXiB5mBz?qBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBllB3mBm?sBSwBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeG9IvhFZnBllBcrBz?sB6qB/rB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFOnBllBcrBz?sBCrBXsB
TIJSOLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,O,X,X
TIJSOZL,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X
TIJZLSO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZSLO,X,O,O,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TIJZSOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJZOLS,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZOSL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIJOLZS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,O,X,O,X,X,X
TIJOSZL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X
TIJOZLS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZSL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TISLJZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISLJOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
TISLZJO,X,X,X,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISLOJZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
TISLOZJ,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,O,X,X,X
TISJLZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISJLOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TISJZLO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISJZOL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TISJOLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
TISZLJO,X,X,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TISZLOJ,X,X,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X
TISZJLO,X,X,O,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TISZJOL,X,X,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TISZOLJ,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X
TISZOJL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TISOLJZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
TISOLZJ,X,X,X,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X
TISOJLZ,X,X,X,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X
TISOJZL,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X
TISOZLJ,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X
TIZLJSO,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZLJOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZLSJO,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIZLSOJ,X,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X
TIZLOJS,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZJLSO,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,X,O,O,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TIZJSOL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TIZJOLS,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZSLJO,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZSLOJ,X,X,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X
TIZSJLO,X,O,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZSJOL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TIZSOJL,X,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZOLSJ,X,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZOJLS,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZOJSL,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X,X
TIZOSJL,X,O,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIOLJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TIOLSZJ,X,O,X,O,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TIOLZJS,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOLZSJ,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIOJLZS,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJSLZ,X,X,X,O,X,X,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOJSZL,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOJZLS,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIOJZSL,X,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,X,O,X,O,O,X,O,O,O,O,X,X,O,X,X,X
TIOSLZJ,X,X,X,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOSJLZ,X,X,X,O,X,O,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOSJZL,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOSZLJ,X,X,O,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TIOSZJL,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOZLJS,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TIOZLSJ,X,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X
TIOZJLS,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O
TIOZJSL,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TIOZSLJ,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,X
TIOZSJL,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TLIJSZO,X,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLIJZSO,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TLIJZOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISJZO,X,X,O,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLISZJO,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TLISZOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TLISOJZ,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TLISOZJ,X,X,O,X,O,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TLIZJSO,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLIZJOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIZSJO,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIZSOJ,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIZOJS,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLJISZO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLJIZSO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X
TLJSIOZ,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJSZIO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TLJSZOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJSOIZ,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X
TLJSOZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
TLJZISO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJZIOS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZOIS,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZOSI,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
TLJOIZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,O,X,O,O,X,X,O,X,X,O,O,O,X,X,X
TLJOSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TLJOZIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSIJZO,X,X,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLSIZJO,X,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TLSIOZJ,X,X,O,X,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TLSJIZO,X,X,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLSJZIO,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSJZOI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSJOIZ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
TLSJOZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSZIJO,O,O,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TLSZIOJ,O,X,O,X,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLSZJIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSZOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLSZOJI,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOIJZ,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TLSOIZJ,X,X,X,X,O,O,X,X,O,O,O,O,X,X,O,X,O,X,X,X
TLSOJIZ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X
TLSOJZI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLSOZIJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X
TLSOZJI,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZIJSO,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZIJOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZISOJ,O,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X
TLZIOJS,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLZJISO,O,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZJIOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJOIS,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZJOSI,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZSIOJ,O,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZSOIJ,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,O,X,X,X
TLZSOJI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOIJS,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLZOISJ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLZOJIS,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLZOJSI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLZOSJI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TLOIJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,X,X,O,O,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TLOISZJ,X,O,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TLOIZJS,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLOJISZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOJIZS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLOJZIS,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TLOSIZJ,X,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X
TLOSJIZ,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X
TLOSJZI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLOSZIJ,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TLOSZJI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOZIJS,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TLOZISJ,O,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X
TLOZJIS,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O
TLOZJSI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TLOZSIJ,O,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TLOZSJI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TJILSZO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TJILSOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TJILZSO,X,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TJILZOS,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
