sequence,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFUdBRgBWnBllBTr?B3qB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFRcBUgBFhBTiB+r?B3qB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFRcBUgBGhBTiB/r?B1vB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFUdB/lBFhBCnBml?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhF2gBqhB/iBllBUm?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFOgB/iBChB0hBVr?BxvB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFUcBFgBTiB3hBWr?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhF0bB/lBGiBimBlm?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFUdBxmBGrB/qBFr?BiqB,v115@6gC8HeD8FeE8CeF8DeD8Jex6IvhF8gBzcBmfBSnB/r?B1vB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFXcBViB0lBxmBSw?BOqB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFGcB/iBRgBlmBUr?BTqB,v115@6gC8HeD8FeE8CeF8DeD8Jex6IvhF/iB0lBlmB6rBmp?BzqB,v115@6gC8HeD8FeE8CeF8DeD8Je/CJvhFxfB0lBlmBTrBmp?BCrB,v115@6gC8HeD8FeE8CeF8DeD8Je2/IvhFRbBShB/iBlmBUr?BTqB,v115@6gC8HeD8FeE8CeF8DeD8Je/CJvhFxfB0hBllBTrBmp?BCrB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFShB/iBlmBUrBZl?BuqB
TIJZLSO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TISLJZO,X,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
TISLJOZ,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TISLZJO,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
TISLZOJ,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
TISLOJZ,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TISLOZJ,X,X,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TISJLZO,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TISJLOZ,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TISJZLO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TISJZOL,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TISJOLZ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TISZJLO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,O,O,X,O,X,O,X,X,X,O,X,O,X
TISZOLJ,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TISZOJL,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X
TISOLJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TISOZJL,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TIZLJSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIZLSJO,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
TIZLSOJ,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIZLOJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TIZSLJO,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TIZSLOJ,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TIZSJLO,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TIZSJOL,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TIZSOLJ,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TIZSOJL,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X
TIZOLJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIZOJLS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TIOSZJL,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOZJLS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLISJZO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLISJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISZOJ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TLISOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIZSJO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJISZO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJSOZI,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSIJOZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSIZJO,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSIOJZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIZO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZOI,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJOZI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSZIJO,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLSZIOJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLSZJOI,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSZOIJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLSZOJI,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSOIJZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSOJZI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSOZJI,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZISJO,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLZISOJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZJISO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZSIOJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZSJIO,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZSJOI,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZSOIJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZSOJI,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZOISJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOISJZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOZISJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJISLOZ,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TJISOLZ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TJLISZO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSOZI,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZSOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZOIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSILOZ,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TJSIZLO,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
