sequence,v115@7gB8GeD8GeE8DeH8BeC8Jei6IvhF5gBOhBXdBzfBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gB0cBKmBFn?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gBXdBKmBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhF2gBXdBRlBFnBCm?B0rB,v115@7gB8GeD8GeE8DeH8BeC8Je//IvhFRbBCdBmgBVnB0l?BzrB,v115@7gB8GeD8GeE8DeH8BeC8Jex6IvhFTcB0fB6lB/rBFn?BOsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBFdBChBUhBRr?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBRhBUmBFnBCm?BXsB,v115@7gB8GeD8GeE8DeH8BeC8Je2/IvhF5gB0cBKmBzfBFn?BXsB
TLISOJZ,O,X,O,O,X,X,O,X,X
TLISOZJ,O,X,X,X,O,X,O,X,X
TLIZJSO,O,O,O,O,O,X,X,X,O
TLIZJOS,O,O,O,O,X,X,O,X,O
TLIZSJO,O,O,O,O,O,X,X,X,O
TLIZSOJ,O,X,X,O,O,X,X,X,X
TLIZOJS,O,O,X,O,X,X,O,X,O
TLIZOSJ,O,X,X,O,X,X,X,X,X
TLIOJSZ,O,O,O,O,X,X,O,X,X
TLIOJZS,X,O,O,O,X,X,O,O,O
TLIOSJZ,O,X,O,O,X,X,O,X,X
TLIOSZJ,O,X,X,X,X,X,O,X,X
TLIOZJS,X,O,X,O,X,X,O,X,O
TLIOZSJ,O,X,X,O,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,O,X,O
TLJISOZ,O,O,O,X,X,X,O,X,X
TLJIZSO,X,O,O,X,X,X,X,X,O
TLJIZOS,X,O,O,X,X,X,O,X,O
TLJIOSZ,X,O,O,X,X,X,O,X,X
TLJIOZS,X,O,O,X,X,X,O,O,O
TLJSIZO,O,O,O,X,O,X,X,X,O
TLJSIOZ,O,O,O,X,X,X,X,X,X
TLJSZIO,O,O,O,X,O,X,X,X,O
TLJSZOI,X,O,O,X,O,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,X,X
TLJZISO,X,O,O,X,O,X,X,X,O
TLJZIOS,X,O,O,X,X,X,X,O,O
TLJZSIO,X,O,O,X,O,X,X,X,O
TLJZSOI,X,O,O,X,O,X,X,X,X
TLJZOIS,X,O,O,X,X,X,X,O,O
TLJZOSI,X,O,O,X,O,X,X,X,X
TLJOISZ,O,O,O,X,X,X,O,X,X
TLJOIZS,X,O,O,X,X,X,O,O,O
TLJOSIZ,O,O,O,X,X,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,O,O
TLJOZSI,X,O,O,X,X,X,X,X,X
TLSIJZO,O,O,O,X,O,X,X,X,O
TLSIJOZ,O,O,O,O,X,X,X,X,X
TLSIZJO,O,O,O,X,O,O,X,X,O
TLSIZOJ,X,X,X,X,O,O,X,X,X
TLSIOJZ,O,X,O,O,X,X,X,X,X
TLSIOZJ,O,X,X,X,O,O,X,X,X
TLSJIZO,O,O,O,X,O,X,X,X,O
TLSJIOZ,O,O,O,X,X,X,X,X,X
TLSJZIO,O,O,O,X,O,O,X,X,O
TLSJZOI,X,O,O,X,O,O,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,X
TLSJOZI,O,O,O,X,X,O,X,X,X
TLSZIJO,O,O,O,X,O,O,X,X,O
TLSZIOJ,X,X,X,X,O,O,X,X,X
TLSZJIO,O,O,O,X,O,O,X,X,O
TLSZJOI,X,O,O,X,O,O,X,X,X
TLSZOIJ,O,X,X,X,O,O,X,X,X
TLSZOJI,O,O,O,X,O,O,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,X,X
TLSOIZJ,O,X,X,X,O,O,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,X
TLSOJZI,O,O,O,X,X,O,X,X,X
TLSOZIJ,O,X,X,X,O,O,X,X,X
TLSOZJI,O,O,O,X,O,O,X,X,X
TLZIJSO,O,O,O,X,O,X,X,X,O
TLZIJOS,O,O,O,X,X,X,X,O,O
TLZISJO,O,O,O,X,O,O,X,X,O
TLZISOJ,O,X,X,X,O,O,X,X,X
TLZIOJS,O,O,X,X,X,X,X,O,O
TLZIOSJ,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,O,X,X,X,O
TLZJIOS,O,O,O,X,X,X,X,O,O
TLZJSIO,O,O,O,X,O,X,X,X,O
TLZJSOI,O,O,O,X,O,X,X,X,X
TLZJOIS,O,O,O,X,X,X,X,O,O
TLZJOSI,O,O,O,X,O,X,X,X,X
TLZSIJO,O,O,O,X,O,O,X,X,O
TLZSIOJ,O,X,X,X,O,O,X,X,X
TLZSJIO,O,O,O,X,O,O,X,X,O
TLZSJOI,O,O,O,X,O,O,X,X,X
TLZSOIJ,O,X,X,X,O,O,X,X,X
TLZSOJI,O,O,O,X,O,O,X,X,X
TLZOIJS,O,O,X,X,X,X,X,O,O
TLZOISJ,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,O,X,X,X,X,O,O
TLZOJSI,O,O,O,X,O,X,X,X,X
TLZOSIJ,O,X,X,X,O,X,X,X,X
TLZOSJI,O,O,O,X,O,X,X,X,X
TLOIJSZ,O,O,O,O,X,X,O,X,X
TLOIJZS,X,O,O,O,X,X,O,O,O
TLOISJZ,O,X,O,O,X,X,O,X,X
TLOISZJ,O,X,X,X,X,X,O,X,X
TLOIZJS,O,O,X,O,X,X,O,X,O
TLOIZSJ,O,X,X,O,X,X,X,X,X
TLOJISZ,O,O,O,X,X,X,O,X,X
TLOJIZS,X,O,O,X,X,X,O,O,O
TLOJSIZ,O,O,O,X,X,X,X,X,X
TLOJSZI,O,O,O,X,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X,X,O,O
TLOJZSI,X,O,O,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X
TLOSIZJ,O,X,X,X,O,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,X,X,X,X
TLOSZJI,O,O,O,X,O,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X,O,O
TLOZISJ,O,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X,O,O
TLOZJSI,O,O,O,X,O,X,X,X,X
TLOZSIJ,O,X,X,X,O,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,X,X
TJILSZO,O,O,O,X,X,X,O,X,O
TJILSOZ,O,O,O,O,X,X,O,X,X
TJILZSO,X,O,O,O,X,X,X,X,O
TJILZOS,X,O,O,O,X,X,O,X,O
TJILOSZ,X,O,O,O,X,X,O,X,X
TJILOZS,X,O,O,O,X,X,O,O,O
TJISLZO,O,X,O,X,X,X,O,X,X
TJISLOZ,O,X,O,O,X,X,O,X,X
TJISZLO,O,X,X,O,X,X,O,X,X
TJISZOL,O,X,X,O,X,X,O,X,X
TJISOLZ,O,X,O,O,X,X,O,X,X
TJISOZL,O,X,X,O,X,X,O,O,X
TJIZLSO,X,O,X,O,X,X,X,X,O
TJIZLOS,X,O,X,O,X,X,O,O,O
TJIZSLO,X,X,X,O,X,X,O,X,X
TJIZSOL,X,X,X,O,X,X,O,O,X
TJIZOLS,X,O,X,O,X,X,O,O,X
TJIZOSL,X,X,X,O,X,X,O,O,X
TJIOLSZ,O,O,O,O,X,X,O,X,X
TJIOLZS,X,O,O,O,X,X,O,O,X
TJIOSLZ,O,X,O,O,X,X,O,X,X
TJIOSZL,O,X,X,O,X,X,O,O,X
TJIOZLS,X,O,X,O,X,X,O,O,X
TJIOZSL,X,X,X,O,X,X,O,O,X
TJLISZO,O,O,O,X,X,X,O,X,O
TJLISOZ,O,O,O,X,X,X,O,X,X
TJLIZSO,X,O,O,X,X,X,X,X,O
TJLIZOS,X,O,O,X,X,X,O,X,O
TJLIOSZ,X,O,O,X,X,X,O,X,X
TJLIOZS,X,O,O,X,X,X,O,O,O
TJLSIZO,O,O,O,X,O,X,X,X,O
TJLSIOZ,O,O,O,X,X,X,X,X,X
TJLSZIO,O,O,O,X,O,X,X,X,O
TJLSZOI,X,O,O,X,O,X,X,X,X
TJLSOIZ,O,O,O,X,X,X,X,X,X
TJLSOZI,O,O,O,X,X,X,X,X,X
TJLZISO,X,O,O,X,O,X,X,X,O
TJLZIOS,X,O,O,X,X,X,X,O,O
TJLZSIO,X,O,O,X,O,X,X,X,O
TJLZSOI,X,O,O,X,O,X,X,X,X
TJLZOIS,X,O,O,X,X,X,X,O,O
TJLZOSI,X,O,O,X,O,X,X,X,X
TJLOISZ,O,O,O,X,X,X,O,X,X
TJLOIZS,X,O,O,X,X,X,O,O,O
TJLOSIZ,O,O,O,X,X,X,X,X,X
TJLOSZI,O,O,O,X,X,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,O,O
TJLOZSI,X,O,O,X,X,X,X,X,X
TJSILZO,O,X,O,X,O,X,O,X,X
TJSILOZ,O,X,O,O,X,X,O,X,X
TJSIZLO,O,X,X,X,X,X,O,X,X
TJSIZOL,O,X,X,O,X,X,O,X,X
TJSIOLZ,O,X,O,O,X,X,O,X,X
TJSIOZL,O,X,X,O,X,X,O,O,X
TJSLIZO,O,O,O,X,O,X,X,X,O
TJSLIOZ,O,O,O,X,X,X,X,X,X
TJSLZIO,O,O,O,X,O,X,X,X,O
TJSLZOI,X,O,O,X,O,X,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,X,X
TJSLOZI,O,O,O,X,X,X,X,X,X
TJSZILO,O,X,X,X,O,X,X,X,X
TJSZIOL,O,X,X,X,O,X,X,O,X
TJSZLIO,O,O,O,X,O,X,X,X,O
TJSZLOI,X,O,O,X,O,X,X,X,X
TJSZOIL,O,X,X,X,O,X,X,O,X
TJSZOLI,O,O,O,X,O,X,X,X,X
TJSOILZ,O,X,O,O,X,X,O,X,X
TJSOIZL,O,X,X,O,X,X,O,O,X
TJSOLIZ,O,O,O,X,X,X,X,X,X
TJSOLZI,O,O,O,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,O,X
TJSOZLI,O,O,O,X,X,X,X,X,X
TJZILSO,X,O,X,X,O,X,X,X,O
TJZILOS,X,O,X,X,X,X,O,O,O
TJZISLO,X,X,X,X,O,X,O,X,X
TJZISOL,X,X,X,X,O,X,O,O,X
TJZIOLS,X,O,X,X,X,X,O,O,X
TJZIOSL,X,X,X,X,X,X,O,O,X
TJZLISO,X,O,O,X,O,X,X,X,O
TJZLIOS,X,O,O,X,X,X,X,O,O
TJZLSIO,X,O,O,X,O,X,X,X,O
TJZLSOI,X,O,O,X,O,X,X,X,X
TJZLOIS,X,O,O,X,X,X,X,O,O
TJZLOSI,X,O,O,X,O,X,X,X,X
TJZSILO,X,X,X,X,O,X,X,X,X
TJZSIOL,X,X,X,X,O,X,X,O,X
TJZSLIO,X,O,O,X,O,X,X,X,O
TJZSLOI,X,O,O,X,O,X,X,X,X
TJZSOIL,X,X,X,X,O,X,X,O,X
TJZSOLI,X,O,O,X,O,X,X,X,X
TJZOILS,X,O,X,X,X,X,O,O,X
TJZOISL,X,X,X,X,X,X,O,O,X
TJZOLIS,X,O,O,X,X,X,X,O,O
TJZOLSI,X,O,O,X,O,X,X,X,X
TJZOSIL,X,X,X,X,O,X,X,O,X
TJZOSLI,X,O,O,X,O,X,X,X,X
TJOILSZ,O,O,O,O,X,X,O,X,X
TJOILZS,X,O,O,O,X,X,O,O,X
TJOISLZ,O,X,O,O,X,X,O,X,X
TJOISZL,O,X,X,O,X,X,O,O,X
TJOIZLS,X,O,X,O,X,X,O,O,X
TJOIZSL,X,X,X,O,X,X,O,O,X
TJOLISZ,O,O,O,X,X,X,O,X,X
TJOLIZS,X,O,O,X,X,X,O,O,O
TJOLSIZ,O,O,O,X,X,X,X,X,X
TJOLSZI,O,O,O,X,X,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X,O,O
TJOLZSI,X,O,O,X,X,X,X,X,X
TJOSILZ,O,X,O,O,X,X,O,X,X
TJOSIZL,O,X,X,O,X,X,O,O,X
TJOSLIZ,O,O,O,X,X,X,X,X,X
TJOSLZI,O,O,O,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,O,X
TJOSZLI,O,O,O,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,O,O,X
TJOZISL,X,X,X,X,X,X,O,O,X
TJOZLIS,X,O,O,X,X,X,X,O,O
TJOZLSI,X,O,O,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X,O,X
TJOZSLI,X,O,O,X,X,X,X,X,X
TSILJZO,O,X,O,X,O,X,O,X,X
TSILJOZ,O,X,O,O,X,X,O,X,X
TSILZJO,O,X,O,X,O,O,O,X,X
TSILZOJ,X,X,X,X,O,O,O,X,X
TSILOJZ,O,X,O,O,X,X,O,X,X
TSILOZJ,O,X,X,X,O,O,O,X,X
TSIJLZO,O,X,O,X,O,X,O,X,X
TSIJLOZ,O,X,O,O,X,X,O,X,X
TSIJZLO,O,X,X,O,X,X,O,X,X
TSIJZOL,O,X,X,O,X,X,O,X,X
TSIJOLZ,O,X,O,O,X,X,O,X,X
TSIJOZL,O,X,X,O,X,X,O,O,X
TSIZLJO,O,X,X,O,O,O,O,X,X
TSIZLOJ,X,X,X,O,O,O,O,X,X
TSIZJLO,O,X,X,O,O,X,O,X,X
TSIZJOL,O,X,X,O,O,X,O,X,X
TSIZOLJ,O,X,X,O,O,O,O,X,X
TSIZOJL,O,X,X,O,O,X,O,X,X
TSIOLJZ,O,X,O,O,O,X,O,X,X
TSIOLZJ,O,X,X,X,O,O,O,X,X
TSIOJLZ,O,X,O,O,O,X,O,X,X
TSIOJZL,O,X,X,O,X,X,O,O,X
TSIOZLJ,O,X,X,O,O,O,O,X,X
TSIOZJL,O,X,X,O,O,X,O,X,X
TSLIJZO,O,O,O,X,O,X,X,X,O
TSLIJOZ,O,O,O,O,X,X,X,X,X
TSLIZJO,O,O,O,X,O,O,X,X,O
TSLIZOJ,X,X,X,X,O,O,X,X,X
TSLIOJZ,O,X,O,O,X,X,X,X,X
TSLIOZJ,O,X,X,X,O,O,X,X,X
TSLJIZO,O,O,O,X,O,X,X,X,O
TSLJIOZ,O,O,O,X,X,X,X,X,X
TSLJZIO,O,O,O,X,O,O,X,X,O
TSLJZOI,X,O,O,X,O,O,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,X,X
TSLJOZI,O,O,O,X,X,O,X,X,X
TSLZIJO,O,O,O,X,O,O,X,X,O
TSLZIOJ,X,X,X,X,O,O,X,X,X
TSLZJIO,O,O,O,X,O,O,X,X,O
TSLZJOI,X,O,O,X,O,O,X,X,X
TSLZOIJ,O,X,X,X,O,O,X,X,X
TSLZOJI,O,O,O,X,O,O,X,X,X
TSLOIJZ,O,X,O,O,X,X,X,X,X
TSLOIZJ,O,X,X,X,O,O,X,X,X
TSLOJIZ,O,O,O,X,X,X,X,X,X
TSLOJZI,O,O,O,X,X,O,X,X,X
TSLOZIJ,O,X,X,X,O,O,X,X,X
TSLOZJI,O,O,O,X,O,O,X,X,X
TSJILZO,O,X,O,X,O,X,O,X,X
TSJILOZ,O,X,O,O,X,X,O,X,X
TSJIZLO,O,X,X,X,X,X,O,X,X
TSJIZOL,O,X,X,O,X,X,O,X,X
TSJIOLZ,O,X,O,O,X,X,O,X,X
TSJIOZL,O,X,X,O,X,X,O,O,X
TSJLIZO,O,O,O,X,O,X,X,X,O
TSJLIOZ,O,O,O,X,X,X,X,X,X
TSJLZIO,O,O,O,X,O,O,X,X,O
TSJLZOI,X,O,O,X,O,O,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,X,X
TSJLOZI,O,O,O,X,X,O,X,X,X
TSJZILO,O,X,X,X,O,X,X,X,X
TSJZIOL,O,X,X,X,O,X,X,O,X
TSJZLIO,O,O,O,X,O,O,X,X,O
TSJZLOI,X,O,O,X,O,O,X,X,X
TSJZOIL,O,X,X,X,O,X,X,O,X
TSJZOLI,O,O,O,X,O,O,X,X,X
TSJOILZ,O,X,O,O,X,X,O,X,X
TSJOIZL,O,X,X,O,X,X,O,O,X
TSJOLIZ,O,O,O,X,X,X,X,X,X
TSJOLZI,O,O,O,X,X,O,X,X,X
TSJOZIL,O,X,X,X,X,X,X,O,X
TSJOZLI,O,O,O,X,X,O,X,X,X
TSZILJO,O,X,X,X,O,O,X,X,X
TSZILOJ,X,X,X,X,O,O,X,X,X
TSZIJLO,O,X,X,X,O,X,X,X,X
TSZIJOL,O,X,X,O,O,X,X,O,X
TSZIOLJ,O,X,X,X,O,O,X,X,X
TSZIOJL,O,X,X,O,O,X,X,O,X
TSZLIJO,O,O,O,X,O,O,X,X,O
TSZLIOJ,X,X,X,X,O,O,X,X,X
TSZLJIO,O,O,O,X,O,O,X,X,O
TSZLJOI,X,O,O,X,O,O,X,X,X
TSZLOIJ,O,X,X,X,O,O,X,X,X
TSZLOJI,O,O,O,X,O,O,X,X,X
TSZJILO,O,X,X,X,O,X,X,X,X
TSZJIOL,O,X,X,X,O,X,X,O,X
TSZJLIO,O,O,O,X,O,O,X,X,O
TSZJLOI,X,O,O,X,O,O,X,X,X
TSZJOIL,O,X,X,X,O,X,X,O,X
TSZJOLI,O,O,O,X,O,O,X,X,X
TSZOILJ,O,X,X,X,O,O,X,X,X
TSZOIJL,O,X,X,O,O,X,X,O,X
TSZOLIJ,O,X,X,X,O,O,X,X,X
TSZOLJI,O,O,O,X,O,O,X,X,X
TSZOJIL,O,X,X,X,O,X,X,O,X
TSZOJLI,O,O,O,X,O,O,X,X,X
TSOILJZ,O,X,O,O,O,X,O,X,X
TSOILZJ,O,X,X,X,O,O,O,X,X
TSOIJLZ,O,X,O,O,O,X,O,X,X
TSOIJZL,O,X,X,O,X,X,O,O,X
TSOIZLJ,O,X,X,O,O,O,O,X,X
TSOIZJL,O,X,X,O,O,X,O,X,X
TSOLIJZ,O,X,O,O,O,X,X,X,X
TSOLIZJ,O,X,X,X,O,O,X,X,X
TSOLJIZ,O,O,O,X,O,X,X,X,X
TSOLJZI,O,O,O,X,O,O,X,X,X
TSOLZIJ,O,X,X,X,O,O,X,X,X
TSOLZJI,O,O,O,X,O,O,X,X,X
TSOJILZ,O,X,O,O,O,X,O,X,X
TSOJIZL,O,X,X,O,X,X,O,O,X
TSOJLIZ,O,O,O,X,O,X,X,X,X
TSOJLZI,O,O,O,X,O,O,X,X,X
TSOJZIL,O,X,X,X,O,X,X,O,X
TSOJZLI,O,O,O,X,O,O,X,X,X
TSOZILJ,O,X,X,X,O,O,X,X,X
TSOZIJL,O,X,X,O,O,X,X,O,X
TSOZLIJ,O,X,X,X,O,O,X,X,X
TSOZLJI,O,O,O,X,O,O,X,X,X
TSOZJIL,O,X,X,X,O,X,X,O,X
TSOZJLI,O,O,O,X,O,O,X,X,X
TZILJSO,O,O,X,O,O,X,X,X,O
TZILJOS,O,O,X,O,X,X,O,O,O
TZILSJO,O,O,X,O,O,O,X,X,O
TZILSOJ,O,X,X,O,O,O,X,X,X
TZILOJS,O,O,X,O,X,X,O,O,O
TZILOSJ,O,X,X,O,X,X,X,X,X
TZIJLSO,O,O,X,O,O,X,X,X,O
TZIJLOS,O,O,X,O,X,X,O,O,O
TZIJSLO,O,X,X,O,O,X,O,X,X
TZIJSOL,O,X,X,O,O,X,O,O,X
TZIJOLS,O,O,X,O,X,X,O,O,X
TZIJOSL,O,X,X,O,X,X,O,O,X
TZISLJO,O,X,X,O,O,X,O,X,X
TZISLOJ,O,X,X,O,O,X,O,X,X
TZISJLO,O,X,X,O,O,X,O,X,X
TZISJOL,O,X,X,O,O,X,O,O,X
TZISOLJ,O,X,X,O,O,X,O,X,X
TZISOJL,O,X,X,O,X,X,O,O,X
TZIOLJS,O,O,X,O,X,X,O,O,X
TZIOLSJ,O,X,X,O,X,X,X,X,X
TZIOJLS,O,O,X,O,X,X,O,O,X
