sequence,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lBzhBaoB5oB+s?BlrB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFmhBziB5oBCmB0r?BlsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF6mBmiB5oBzlB0n?BVxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF0hBliB5oBzlBys?BWxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFVmBUiBaoB5oBGr?BTsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFlhBaoB5oBzlB8r?B+sB,v115@9gB8HeA8IeC8GeE8CeA8KeVFJvhFUhBanBziB5oBGr?B3sB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lB+mBiiB5oBzn?BVxB
TISZLJO,O,O,O,X,X,O,O,O
TISZLOJ,O,O,O,X,X,X,O,O
TISZJLO,O,O,O,X,X,O,O,O
TISZJOL,O,O,O,X,X,O,O,O
TISZOLJ,O,O,O,X,X,X,O,O
TISZOJL,O,O,O,X,X,O,O,O
TISOLJZ,X,O,O,O,O,O,O,O
TISOLZJ,X,O,O,O,X,O,O,O
TISOJLZ,O,O,O,O,O,O,O,O
TISOJZL,O,O,O,O,O,O,O,O
TISOZLJ,O,O,O,O,X,O,O,O
TISOZJL,O,O,O,O,X,O,O,O
TIZLJSO,O,O,O,X,X,O,O,O
TIZLJOS,O,O,O,X,X,O,O,O
TIZLSJO,O,O,O,X,X,O,O,O
TIZLSOJ,O,O,O,X,X,X,O,O
TIZLOJS,O,O,O,X,X,X,X,O
TIZLOSJ,O,O,O,X,X,X,O,O
TIZJLSO,O,O,O,X,X,O,O,O
TIZJLOS,O,O,O,X,X,O,O,O
TIZJSLO,O,O,O,X,X,O,O,O
TIZJSOL,O,O,O,X,X,O,O,O
TIZJOLS,O,O,O,X,X,O,O,O
TIZJOSL,O,O,O,X,X,O,O,O
TIZSLJO,O,O,O,X,X,O,O,O
TIZSLOJ,O,O,O,X,X,X,O,O
TIZSJLO,O,O,O,X,X,O,O,O
TIZSJOL,O,O,O,X,X,O,O,O
TIZSOLJ,O,O,O,X,X,X,O,O
TIZSOJL,O,O,O,X,X,O,O,O
TIZOLJS,O,O,O,X,X,O,X,O
TIZOLSJ,O,O,O,X,X,O,O,O
TIZOJLS,O,O,O,X,X,O,O,O
TIZOJSL,O,O,O,X,X,O,O,O
TIZOSLJ,O,O,O,X,X,O,O,O
TIZOSJL,O,O,O,X,X,O,O,O
TIOLJSZ,O,O,O,O,O,O,X,O
TIOLJZS,O,O,O,O,O,O,X,O
TIOLSJZ,X,O,O,O,O,O,X,O
TIOLSZJ,X,O,O,O,X,O,X,O
TIOLZJS,O,O,O,O,O,O,X,O
TIOLZSJ,O,O,O,O,X,O,X,O
TIOJLSZ,O,O,O,O,O,O,X,O
TIOJLZS,O,O,O,O,O,O,X,O
TIOJSLZ,O,O,O,O,O,O,O,O
TIOJSZL,O,O,O,O,O,O,O,O
TIOJZLS,O,O,O,O,O,O,O,O
TIOJZSL,O,O,O,O,O,O,O,O
TIOSLJZ,X,O,O,O,O,O,O,O
TIOSLZJ,X,O,O,O,X,O,O,O
TIOSJLZ,O,O,O,O,O,O,O,O
TIOSJZL,O,O,O,O,O,O,O,O
TIOSZLJ,O,O,O,O,X,O,O,O
TIOSZJL,O,O,O,O,X,O,O,O
TIOZLJS,O,O,O,O,O,O,X,O
TIOZLSJ,O,O,O,O,X,O,O,O
TIOZJLS,O,O,O,O,O,O,O,O
TIOZJSL,O,O,O,O,O,O,O,O
TIOZSLJ,O,O,O,O,X,O,O,O
TIOZSJL,O,O,O,O,X,O,O,O
TLIJSZO,O,O,O,O,O,O,O,O
TLIJSOZ,O,O,X,O,O,O,O,X
TLIJZSO,O,O,O,O,O,O,O,O
TLIJZOS,O,O,O,O,O,O,O,O
TLIJOSZ,O,O,X,O,O,O,X,O
TLIJOZS,O,O,X,O,O,O,X,O
TLISJZO,O,O,O,O,O,O,O,O
TLISJOZ,X,O,X,O,O,O,O,X
TLISZJO,O,O,O,O,X,X,O,O
TLISZOJ,X,O,O,O,X,X,O,O
TLISOJZ,X,O,O,O,O,O,O,X
TLISOZJ,X,O,O,O,X,X,O,O
TLIZJSO,O,O,O,O,X,X,O,O
TLIZJOS,O,O,O,X,X,X,O,O
TLIZSJO,O,O,O,O,X,X,O,O
TLIZSOJ,O,O,O,O,X,X,O,O
TLIZOJS,O,O,O,O,X,X,X,O
TLIZOSJ,O,O,O,O,X,X,O,O
TLIOJSZ,O,O,O,O,O,O,X,O
TLIOJZS,O,O,O,O,O,O,X,O
TLIOSJZ,X,O,O,O,O,O,X,O
TLIOSZJ,X,O,O,O,X,X,X,O
TLIOZJS,O,O,O,O,O,X,X,O
TLIOZSJ,O,O,O,O,X,X,X,O
TLJISZO,O,O,O,O,O,O,O,O
TLJISOZ,O,O,X,O,O,O,O,X
TLJIZSO,O,O,O,O,O,O,O,O
TLJIZOS,O,O,O,O,O,O,O,O
TLJIOSZ,O,O,X,O,O,O,X,O
TLJIOZS,O,O,X,O,O,O,X,O
TLJSIZO,O,O,O,O,O,O,O,O
TLJSIOZ,O,O,X,O,O,O,O,X
TLJSZIO,O,O,O,O,O,O,O,O
TLJSZOI,O,O,O,O,O,O,O,O
TLJSOIZ,O,O,X,O,O,O,O,X
TLJSOZI,O,O,X,O,O,O,O,X
TLJZISO,O,O,O,O,O,O,O,O
TLJZIOS,O,O,O,O,O,O,O,O
TLJZSIO,O,O,O,O,O,O,O,O
TLJZSOI,O,O,O,O,O,O,O,O
TLJZOIS,O,O,O,O,O,O,O,O
TLJZOSI,O,O,O,O,O,O,X,O
TLJOISZ,O,O,X,O,O,O,X,O
TLJOIZS,O,O,X,O,O,O,X,O
TLJOSIZ,O,O,X,O,O,O,X,O
TLJOSZI,O,O,X,O,O,O,X,O
TLJOZIS,O,O,X,O,O,O,X,O
TLJOZSI,O,O,X,O,O,O,X,O
TLSIJZO,O,O,O,O,O,O,O,O
TLSIJOZ,X,O,X,O,O,O,O,X
TLSIZJO,O,O,O,O,X,X,O,O
TLSIZOJ,X,O,O,O,X,X,O,O
TLSIOJZ,X,O,O,O,O,O,O,X
TLSIOZJ,X,O,O,O,X,X,O,O
TLSJIZO,O,O,O,O,O,O,O,O
TLSJIOZ,X,O,X,O,O,O,O,X
TLSJZIO,O,O,O,O,O,O,O,O
TLSJZOI,O,O,O,O,O,O,O,O
TLSJOIZ,X,O,X,O,O,O,O,X
TLSJOZI,X,O,X,O,O,O,O,X
TLSZIJO,O,O,O,O,X,X,O,O
TLSZIOJ,X,O,O,O,X,X,O,O
TLSZJIO,O,O,O,O,X,X,O,O
TLSZJOI,O,O,O,X,X,X,O,O
TLSZOIJ,X,O,O,O,X,X,O,O
TLSZOJI,X,O,O,O,X,X,O,O
TLSOIJZ,X,O,O,O,O,O,O,X
TLSOIZJ,X,O,O,O,X,X,O,O
TLSOJIZ,X,O,O,O,O,O,O,X
TLSOJZI,X,O,O,O,O,O,O,X
TLSOZIJ,X,O,O,O,X,X,O,O
TLSOZJI,X,O,O,O,X,X,O,O
TLZIJSO,O,O,O,O,X,X,O,O
TLZIJOS,O,O,O,X,X,X,O,O
TLZISJO,O,O,O,O,X,X,O,O
TLZISOJ,O,O,O,O,X,X,O,O
TLZIOJS,O,O,O,O,X,X,X,O
TLZIOSJ,O,O,O,O,X,X,O,O
TLZJISO,O,O,O,O,X,X,O,O
TLZJIOS,O,O,O,X,X,X,O,O
TLZJSIO,O,O,O,O,X,X,O,O
TLZJSOI,O,O,O,X,X,X,O,O
TLZJOIS,O,O,O,X,X,X,O,O
TLZJOSI,O,O,O,X,X,X,X,O
TLZSIJO,O,O,O,O,X,X,O,O
TLZSIOJ,O,O,O,O,X,X,O,O
TLZSJIO,O,O,O,O,X,X,O,O
TLZSJOI,O,O,O,X,X,X,O,O
TLZSOIJ,O,O,O,O,X,X,O,O
TLZSOJI,O,O,O,O,X,X,O,O
TLZOIJS,O,O,O,O,X,X,X,O
TLZOISJ,O,O,O,O,X,X,O,O
TLZOJIS,O,O,O,O,X,X,X,O
TLZOJSI,O,O,O,O,X,X,X,O
TLZOSIJ,O,O,O,O,X,X,X,O
TLZOSJI,O,O,O,O,X,X,X,O
TLOIJSZ,O,O,O,O,O,O,X,O
TLOIJZS,O,O,O,O,O,O,X,O
TLOISJZ,X,O,O,O,O,O,X,O
TLOISZJ,X,O,O,O,X,X,X,O
TLOIZJS,O,O,O,O,O,X,X,O
TLOIZSJ,O,O,O,O,X,X,X,O
TLOJISZ,O,O,O,O,O,O,X,O
TLOJIZS,O,O,O,O,O,O,X,O
TLOJSIZ,O,O,O,O,O,O,X,O
TLOJSZI,O,O,O,O,O,O,X,O
TLOJZIS,O,O,O,O,O,O,X,O
TLOJZSI,O,O,O,O,O,O,X,O
TLOSIJZ,X,O,O,O,O,O,X,O
TLOSIZJ,X,O,O,O,X,X,X,O
TLOSJIZ,X,O,O,O,O,O,X,O
TLOSJZI,X,O,O,O,O,O,X,O
TLOSZIJ,X,O,O,O,X,X,X,O
TLOSZJI,X,O,O,O,X,X,X,O
TLOZIJS,O,O,O,O,O,X,X,O
TLOZISJ,O,O,O,O,X,X,X,O
TLOZJIS,O,O,O,O,O,X,X,O
TLOZJSI,O,O,O,O,O,X,X,O
TLOZSIJ,O,O,O,O,X,X,X,O
TLOZSJI,O,O,O,O,X,X,X,O
TJILSZO,O,O,O,O,O,O,O,O
TJILSOZ,O,O,X,O,O,O,O,X
TJILZSO,O,O,O,O,O,O,O,O
TJILZOS,O,O,O,O,O,O,O,O
TJILOSZ,O,O,X,O,O,O,X,O
TJILOZS,O,O,X,O,O,O,X,O
TJISLZO,O,O,O,O,O,O,O,O
TJISLOZ,O,O,X,O,O,O,O,X
TJISZLO,O,O,O,O,O,O,O,O
TJISZOL,O,O,O,O,O,O,O,O
TJISOLZ,O,O,O,X,O,O,O,O
TJISOZL,O,O,O,X,O,O,O,O
TJIZLSO,O,O,O,O,O,O,O,O
TJIZLOS,O,O,O,O,O,O,O,O
TJIZSLO,O,O,O,O,O,O,O,O
TJIZSOL,O,O,O,O,O,O,O,O
TJIZOLS,O,O,O,X,O,O,O,O
TJIZOSL,O,O,O,O,O,O,O,O
TJIOLSZ,O,O,O,O,O,O,X,O
TJIOLZS,O,O,O,O,O,O,X,O
TJIOSLZ,O,O,O,O,O,O,O,O
TJIOSZL,O,O,O,O,O,O,O,O
TJIOZLS,O,O,O,O,O,O,O,O
TJIOZSL,O,O,O,O,O,O,O,O
TJLISZO,O,O,O,O,O,O,O,O
TJLISOZ,O,O,X,O,O,O,O,X
TJLIZSO,O,O,O,O,O,O,O,O
TJLIZOS,O,O,O,O,O,O,O,O
TJLIOSZ,O,O,X,O,O,O,X,O
TJLIOZS,O,O,X,O,O,O,X,O
TJLSIZO,O,O,O,O,O,O,O,O
TJLSIOZ,O,O,X,O,O,O,O,X
TJLSZIO,O,O,O,O,O,O,O,O
TJLSZOI,O,O,O,O,O,O,O,O
TJLSOIZ,O,O,X,O,O,O,O,X
TJLSOZI,O,O,X,O,O,O,O,X
TJLZISO,O,O,O,O,O,O,O,O
TJLZIOS,O,O,O,O,O,O,O,O
TJLZSIO,O,O,O,O,O,O,O,O
TJLZSOI,O,O,O,O,O,O,O,O
TJLZOIS,O,O,O,O,O,O,O,O
TJLZOSI,O,O,O,O,O,O,X,O
TJLOISZ,O,O,X,O,O,O,X,O
TJLOIZS,O,O,X,O,O,O,X,O
TJLOSIZ,O,O,X,O,O,O,X,O
TJLOSZI,O,O,X,O,O,O,X,O
TJLOZIS,O,O,X,O,O,O,X,O
TJLOZSI,O,O,X,O,O,O,X,O
TJSILZO,O,O,O,O,O,O,O,O
TJSILOZ,O,O,X,O,O,O,O,X
TJSIZLO,O,O,O,O,O,O,O,O
TJSIZOL,O,O,O,O,O,O,O,O
TJSIOLZ,O,O,O,X,O,O,O,O
TJSIOZL,O,O,O,X,O,O,O,O
TJSLIZO,O,O,O,O,O,O,O,O
TJSLIOZ,O,O,X,O,O,O,O,X
TJSLZIO,O,O,O,O,O,O,O,O
TJSLZOI,O,O,O,O,O,O,O,O
TJSLOIZ,O,O,X,O,O,O,O,X
TJSLOZI,O,O,X,O,O,O,O,X
TJSZILO,O,O,O,O,O,O,O,O
TJSZIOL,O,O,O,O,O,O,O,O
TJSZLIO,O,O,O,O,O,O,O,O
TJSZLOI,O,O,O,O,O,O,O,O
TJSZOIL,O,O,O,O,O,O,O,O
TJSZOLI,O,O,O,X,O,O,O,O
TJSOILZ,O,O,O,X,O,O,O,O
TJSOIZL,O,O,O,X,O,O,O,O
TJSOLIZ,O,O,O,X,O,O,O,O
TJSOLZI,O,O,O,X,O,O,O,O
TJSOZIL,O,O,O,X,O,O,O,O
TJSOZLI,O,O,O,X,O,O,O,O
TJZILSO,O,O,O,O,O,O,O,O
TJZILOS,O,O,O,O,O,O,O,O
TJZISLO,O,O,O,O,O,O,O,O
TJZISOL,O,O,O,O,O,O,O,O
TJZIOLS,O,O,O,X,O,O,O,O
TJZIOSL,O,O,O,O,O,O,O,O
TJZLISO,O,O,O,O,O,O,O,O
TJZLIOS,O,O,O,O,O,O,O,O
TJZLSIO,O,O,O,O,O,O,O,O
TJZLSOI,O,O,O,O,O,O,O,O
TJZLOIS,O,O,O,O,O,O,O,O
TJZLOSI,O,O,O,O,O,O,X,O
TJZSILO,O,O,O,O,O,O,O,O
TJZSIOL,O,O,O,O,O,O,O,O
TJZSLIO,O,O,O,O,O,O,O,O
TJZSLOI,O,O,O,O,O,O,O,O
TJZSOIL,O,O,O,O,O,O,O,O
TJZSOLI,O,O,O,X,O,O,O,O
TJZOILS,O,O,O,X,O,O,O,O
TJZOISL,O,O,O,O,O,O,O,O
TJZOLIS,O,O,O,X,O,O,O,O
TJZOLSI,O,O,O,X,O,O,X,O
TJZOSIL,O,O,O,O,O,O,O,O
TJZOSLI,O,O,O,X,O,O,O,O
TJOILSZ,O,O,O,O,O,O,X,O
TJOILZS,O,O,O,O,O,O,X,O
TJOISLZ,O,O,O,O,O,O,O,O
TJOISZL,O,O,O,O,O,O,O,O
TJOIZLS,O,O,O,O,O,O,O,O
TJOIZSL,O,O,O,O,O,O,O,O
TJOLISZ,O,O,O,O,O,O,X,O
TJOLIZS,O,O,O,O,O,O,X,O
TJOLSIZ,O,O,O,O,O,O,X,O
TJOLSZI,O,O,O,O,O,O,X,O
TJOLZIS,O,O,O,O,O,O,X,O
TJOLZSI,O,O,O,O,O,O,X,O
TJOSILZ,O,O,O,O,O,O,O,O
TJOSIZL,O,O,O,O,O,O,O,O
TJOSLIZ,O,O,O,O,O,O,O,O
TJOSLZI,O,O,O,O,O,O,O,O
TJOSZIL,O,O,O,O,O,O,O,O
TJOSZLI,O,O,O,O,O,O,O,O
TJOZILS,O,O,O,O,O,O,O,O
TJOZISL,O,O,O,O,O,O,O,O
TJOZLIS,O,O,O,O,O,O,O,O
TJOZLSI,O,O,O,O,O,O,X,O
TJOZSIL,O,O,O,O,O,O,O,O
TJOZSLI,O,O,O,O,O,O,O,O
TSILJZO,O,O,O,O,O,O,O,O
TSILJOZ,X,O,X,O,O,O,O,X
TSILZJO,O,O,O,O,X,X,O,O
TSILZOJ,X,O,O,O,X,X,O,O
TSILOJZ,X,O,O,O,O,O,O,X
TSILOZJ,X,O,O,O,X,X,O,O
TSIJLZO,O,O,O,O,O,O,O,O
TSIJLOZ,O,O,X,O,O,O,O,X
TSIJZLO,O,O,O,O,O,O,O,O
TSIJZOL,O,O,O,O,O,O,O,O
TSIJOLZ,O,O,O,X,O,O,O,O
TSIJOZL,O,O,O,X,O,O,O,O
TSIZLJO,O,O,O,X,X,O,O,O
TSIZLOJ,O,O,O,X,X,X,O,O
TSIZJLO,O,O,O,X,X,O,O,O
TSIZJOL,O,O,O,X,X,O,O,O
TSIZOLJ,O,O,O,X,X,X,O,O
TSIZOJL,O,O,O,X,X,O,O,O
TSIOLJZ,X,O,O,O,O,O,O,O
TSIOLZJ,X,O,O,O,X,O,O,O
TSIOJLZ,O,O,O,O,O,O,O,O
TSIOJZL,O,O,O,O,O,O,O,O
TSIOZLJ,O,O,O,O,X,O,O,O
TSIOZJL,O,O,O,O,X,O,O,O
TSLIJZO,O,O,O,O,O,O,O,O
TSLIJOZ,X,O,X,O,O,O,O,X
TSLIZJO,O,O,O,O,X,X,O,O
TSLIZOJ,X,O,O,O,X,X,O,O
TSLIOJZ,X,O,O,O,O,O,O,X
TSLIOZJ,X,O,O,O,X,X,O,O
TSLJIZO,O,O,O,O,O,O,O,O
TSLJIOZ,X,O,X,O,O,O,O,X
TSLJZIO,O,O,O,O,O,O,O,O
TSLJZOI,O,O,O,O,O,O,O,O
TSLJOIZ,X,O,X,O,O,O,O,X
TSLJOZI,X,O,X,O,O,O,O,X
TSLZIJO,O,O,O,O,X,X,O,O
TSLZIOJ,X,O,O,O,X,X,O,O
TSLZJIO,O,O,O,O,X,X,O,O
TSLZJOI,O,O,O,X,X,X,O,O
TSLZOIJ,X,O,O,O,X,X,O,O
TSLZOJI,X,O,O,O,X,X,O,O
TSLOIJZ,X,O,O,O,O,O,O,X
TSLOIZJ,X,O,O,O,X,X,O,O
TSLOJIZ,X,O,O,O,O,O,O,X
TSLOJZI,X,O,O,O,O,O,O,X
TSLOZIJ,X,O,O,O,X,X,O,O
TSLOZJI,X,O,O,O,X,X,O,O
TSJILZO,O,O,O,O,O,O,O,O
TSJILOZ,O,O,X,O,O,O,O,X
TSJIZLO,O,O,O,O,O,O,O,O
TSJIZOL,O,O,O,O,O,O,O,O
TSJIOLZ,O,O,O,X,O,O,O,O
TSJIOZL,O,O,O,X,O,O,O,O
TSJLIZO,O,O,O,O,O,O,O,O
TSJLIOZ,O,O,X,O,O,O,O,X
TSJLZIO,O,O,O,O,O,O,O,O
TSJLZOI,O,O,O,O,O,O,O,O
TSJLOIZ,O,O,X,O,O,O,O,X
TSJLOZI,O,O,X,O,O,O,O,X
TSJZILO,O,O,O,O,O,O,O,O
TSJZIOL,O,O,O,O,O,O,O,O
TSJZLIO,O,O,O,O,O,O,O,O
TSJZLOI,O,O,O,O,O,O,O,O
TSJZOIL,O,O,O,O,O,O,O,O
TSJZOLI,O,O,O,X,O,O,O,O
TSJOILZ,O,O,O,X,O,O,O,O
TSJOIZL,O,O,O,X,O,O,O,O
TSJOLIZ,O,O,O,X,O,O,O,O
TSJOLZI,O,O,O,X,O,O,O,O
TSJOZIL,O,O,O,X,O,O,O,O
TSJOZLI,O,O,O,X,O,O,O,O
TSZILJO,O,O,O,X,X,O,O,O
TSZILOJ,O,O,O,X,X,X,O,O
TSZIJLO,O,O,O,X,X,O,O,O
TSZIJOL,O,O,O,X,X,O,O,O
TSZIOLJ,O,O,O,X,X,X,O,O
TSZIOJL,O,O,O,X,X,O,O,O
TSZLIJO,O,O,O,X,X,O,O,O
TSZLIOJ,O,O,O,X,X,X,O,O
TSZLJIO,O,O,O,X,X,O,O,O
TSZLJOI,O,O,O,X,X,O,O,O
TSZLOIJ,O,O,O,X,X,X,O,O
TSZLOJI,O,O,O,X,X,X,O,O
TSZJILO,O,O,O,X,X,O,O,O
TSZJIOL,O,O,O,X,X,O,O,O
TSZJLIO,O,O,O,X,X,O,O,O
TSZJLOI,O,O,O,X,X,O,O,O
TSZJOIL,O,O,O,X,X,O,O,O
TSZJOLI,O,O,O,X,X,O,O,O
TSZOILJ,O,O,O,X,X,X,O,O
TSZOIJL,O,O,O,X,X,O,O,O
TSZOLIJ,O,O,O,X,X,X,O,O
TSZOLJI,O,O,O,X,X,X,O,O
TSZOJIL,O,O,O,X,X,O,O,O
TSZOJLI,O,O,O,X,X,O,O,O
TSOILJZ,X,O,O,O,O,O,O,O
TSOILZJ,X,O,O,O,X,O,O,O
TSOIJLZ,O,O,O,O,O,O,O,O
TSOIJZL,O,O,O,O,O,O,O,O
TSOIZLJ,O,O,O,O,X,O,O,O
TSOIZJL,O,O,O,O,X,O,O,O
TSOLIJZ,X,O,O,O,O,O,O,O
TSOLIZJ,X,O,O,O,X,O,O,O
TSOLJIZ,X,O,O,O,O,O,O,O
TSOLJZI,X,O,O,O,O,O,O,O
TSOLZIJ,X,O,O,O,X,O,O,O
TSOLZJI,X,O,O,O,X,O,O,O
TSOJILZ,O,O,O,O,O,O,O,O
TSOJIZL,O,O,O,O,O,O,O,O
TSOJLIZ,O,O,O,O,O,O,O,O
TSOJLZI,O,O,O,O,O,O,O,O
TSOJZIL,O,O,O,O,O,O,O,O
TSOJZLI,O,O,O,O,O,O,O,O
TSOZILJ,O,O,O,O,X,O,O,O
TSOZIJL,O,O,O,O,X,O,O,O
TSOZLIJ,O,O,O,O,X,O,O,O
TSOZLJI,O,O,O,O,X,O,O,O
TSOZJIL,O,O,O,O,X,O,O,O
TSOZJLI,O,O,O,O,X,O,O,O
TZILJSO,O,O,O,X,X,O,O,O
TZILJOS,O,O,O,X,X,O,O,O
TZILSJO,O,O,O,X,X,O,O,O
TZILSOJ,O,O,O,X,X,X,O,O
TZILOJS,O,O,O,X,X,X,X,O
TZILOSJ,O,O,O,X,X,X,O,O
TZIJLSO,O,O,O,X,X,O,O,O
TZIJLOS,O,O,O,X,X,O,O,O
TZIJSLO,O,O,O,X,X,O,O,O
TZIJSOL,O,O,O,X,X,O,O,O
TZIJOLS,O,O,O,X,X,O,O,O
TZIJOSL,O,O,O,X,X,O,O,O
TZISLJO,O,O,O,X,X,O,O,O
TZISLOJ,O,O,O,X,X,X,O,O
TZISJLO,O,O,O,X,X,O,O,O
TZISJOL,O,O,O,X,X,O,O,O
TZISOLJ,O,O,O,X,X,X,O,O
TZISOJL,O,O,O,X,X,O,O,O
TZIOLJS,O,O,O,X,X,O,X,O
TZIOLSJ,O,O,O,X,X,O,O,O
TZIOJLS,O,O,O,X,X,O,O,O
TZIOJSL,O,O,O,X,X,O,O,O
TZIOSLJ,O,O,O,X,X,O,O,O
TZIOSJL,O,O,O,X,X,O,O,O
TZLIJSO,O,O,O,X,X,O,O,O
TZLIJOS,O,O,O,X,X,O,O,O
TZLISJO,O,O,O,X,X,O,O,O
TZLISOJ,O,O,O,X,X,X,O,O
TZLIOJS,O,O,O,X,X,X,X,O
TZLIOSJ,O,O,O,X,X,X,O,O
TZLJISO,O,O,O,X,X,O,O,O
TZLJIOS,O,O,O,X,X,O,O,O
TZLJSIO,O,O,O,X,X,O,O,O
TZLJSOI,O,O,O,X,X,O,O,O
TZLJOIS,O,O,O,X,X,O,O,O
TZLJOSI,O,O,O,X,X,O,X,O
TZLSIJO,O,O,O,X,X,O,O,O
TZLSIOJ,O,O,O,X,X,X,O,O
TZLSJIO,O,O,O,X,X,O,O,O
TZLSJOI,O,O,O,X,X,O,O,O
TZLSOIJ,O,O,O,X,X,X,O,O
TZLSOJI,O,O,O,X,X,X,O,O
TZLOIJS,O,O,O,X,X,X,X,O
TZLOISJ,O,O,O,X,X,X,O,O
TZLOJIS,O,O,O,X,X,X,X,O
TZLOJSI,O,O,O,X,X,X,X,O
TZLOSIJ,O,O,O,X,X,X,X,O
TZLOSJI,O,O,O,X,X,X,X,O
TZJILSO,O,O,O,X,X,O,O,O
TZJILOS,O,O,O,X,X,O,O,O
TZJISLO,O,O,O,X,X,O,O,O
TZJISOL,O,O,O,X,X,O,O,O
TZJIOLS,O,O,O,X,X,O,O,O
TZJIOSL,O,O,O,X,X,O,O,O
TZJLISO,O,O,O,X,X,O,O,O
TZJLIOS,O,O,O,X,X,O,O,O
TZJLSIO,O,O,O,X,X,O,O,O
TZJLSOI,O,O,O,X,X,O,O,O
TZJLOIS,O,O,O,X,X,O,O,O
TZJLOSI,O,O,O,X,X,O,X,O
TZJSILO,O,O,O,X,X,O,O,O
TZJSIOL,O,O,O,X,X,O,O,O
TZJSLIO,O,O,O,X,X,O,O,O
TZJSLOI,O,O,O,X,X,O,O,O
TZJSOIL,O,O,O,X,X,O,O,O
TZJSOLI,O,O,O,X,X,O,O,O
TZJOILS,O,O,O,X,X,O,O,O
