sequence,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFUdBxlBlnBa?oBmrBTrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR8IvhFajBTgB/mB0?nBFnB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBZjB6nBF?mB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBimB3?nBmnB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFXdBZjBTgBO?rBCsBcsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeyBJvhF+iBZjBTgBF?hBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBliB3?mBysB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdBlhBaoBT?nB0rBmqB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3cBajBTiBF?mBRsB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdB0hBmlBz?nBinB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFZjBTgBcmB6?nB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR9IvhF2lBiiBfsBz?nBFmBUrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFidBziBxlB2?sBcmB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Jez7IvhFRdB2lBVnBa?oBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3dBynBFmBR?sBTrBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoBFmBX?nBTrBisB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoB3iBF?mBzrBirB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBmiB3iBF?mBRsBywB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBynBFmBz?nB3rBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF2hBzdBFmBR?sBisB3rB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFRdB2nBFmB/?mBznBywB
TILOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJZOLS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZLSJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZLSOJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TIZLOJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
TIZLOSJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TIZJLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZJLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZJSLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJSOL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZJOLS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X
TIZJOSL,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TIZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSLOJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TIZSJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZSJOL,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZSOLJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
TIZOLSJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TIZOJLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TIZOJSL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISZJO,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISZOJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZIO,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJZIOS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJZSIO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJZSOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIZJO,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZIJO,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZIOJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZOIJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOJZI,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZIJOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZISJO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZJIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZJSIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZJSOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZSIJO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZSJOI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZSOIJ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZOJSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZOSIJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
