sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
TLIOJSZ,O,X,X,X,X,O,O,X,O,X,X
TLIOJZS,O,X,X,X,X,O,O,X,O,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,X,X
TLJISOZ,O,X,X,X,X,O,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,O,O,O,O,X,X
TLJIOZS,O,X,X,X,X,O,O,X,O,X,X
TLJSIZO,X,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,O,X,X,X,X,O,X,O,X,X,X
TLJSZIO,O,X,X,X,X,O,X,O,X,X,X
TLJSZOI,O,X,X,X,X,O,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,O,X,X,X,X,X
TLJSOZI,O,X,X,X,X,O,X,X,X,X,X
TLJZISO,O,X,X,X,X,O,X,X,X,X,X
TLJZIOS,O,X,X,X,X,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,O,X,X,X,X,X
TLJZSOI,O,X,X,X,X,O,X,X,X,X,X
