sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
TIOLSJZ,O,O,X,X,O,X,O
TIOLSZJ,O,O,O,O,X,X,O
TIOLZJS,O,O,O,O,O,X,X
TIOLZSJ,O,O,O,O,X,X,X
TIOJLSZ,X,X,X,X,O,X,X
TIOJLZS,X,X,X,O,O,X,X
TIOJSLZ,O,O,X,X,O,X,X
TIOJSZL,O,O,X,X,X,X,X
TIOJZLS,O,O,X,O,O,X,X
TIOJZSL,O,O,X,O,X,X,X
TIOSLJZ,O,O,X,X,O,X,O
TIOSLZJ,O,O,X,O,X,X,O
TIOSJLZ,O,O,X,X,O,X,O
TIOSJZL,O,O,X,X,X,X,X
TIOSZLJ,O,O,X,O,X,X,O
TIOSZJL,O,O,X,O,X,X,X
TIOZLJS,O,O,O,O,O,X,X
TIOZLSJ,O,O,O,O,X,X,X
TIOZJLS,O,O,O,O,O,X,X
TIOZJSL,O,O,X,O,X,X,X
TIOZSLJ,O,O,X,O,X,X,X
TIOZSJL,O,O,X,O,X,X,X
TLIJSZO,X,X,O,X,X,X,X
TLIJSOZ,X,X,O,X,O,X,X
TLIJZSO,X,X,O,O,X,X,X
TLIJZOS,X,X,O,O,O,X,X
TLIJOSZ,X,X,X,X,O,X,X
TLIJOZS,X,X,O,O,O,X,X
TLISJZO,O,O,O,X,X,X,X
TLISJOZ,O,O,O,X,O,X,O
TLISZJO,O,O,O,O,X,X,X
TLISZOJ,O,O,O,O,X,X,O
TLISOJZ,O,O,O,X,O,X,O
TLISOZJ,O,O,O,O,X,X,O
TLIZJSO,O,O,O,O,X,X,X
TLIZJOS,O,O,O,O,O,X,X
TLIZSJO,O,O,O,O,X,X,X
TLIZSOJ,O,O,O,O,X,X,X
TLIZOJS,O,O,O,O,O,X,X
TLIZOSJ,O,O,O,O,X,X,X
TLIOJSZ,X,X,X,X,O,X,X
TLIOJZS,X,X,O,O,O,X,X
TLIOSJZ,O,O,O,X,O,X,O
TLIOSZJ,O,O,O,O,X,X,O
TLIOZJS,O,O,O,O,O,X,X
TLIOZSJ,O,O,O,O,X,X,X
TLJISZO,X,X,O,X,X,X,X
