sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
IJOLSZT,X,X,X,X,O,X,X
IJOLZTS,X,X,X,O,O,X,X
IJOLZST,X,X,X,O,O,X,X
IJOSTLZ,O,X,X,X,X,X,O
IJOSTZL,O,X,X,X,X,O,X
IJOSLTZ,O,X,X,X,O,X,O
IJOSLZT,O,O,X,X,O,O,X
IJOSZTL,O,O,X,X,X,O,X
IJOSZLT,O,O,X,X,X,O,X
IJOZTLS,X,O,X,O,X,X,X
IJOZTSL,O,O,X,X,X,X,X
IJOZLTS,X,O,X,O,O,X,X
IJOZLST,O,O,X,O,O,X,X
IJOZSTL,O,O,X,X,X,O,X
IJOZSLT,O,O,X,O,X,O,X
ISTLJZO,O,O,O,X,X,X,X
ISTLJOZ,O,O,O,X,O,X,O
ISTLZJO,O,O,O,O,X,X,X
ISTLZOJ,O,O,O,O,X,X,O
ISTLOJZ,O,O,O,X,O,X,O
ISTLOZJ,O,O,O,O,X,X,O
ISTJLZO,O,O,X,X,X,X,X
ISTJLOZ,O,O,X,X,O,X,O
ISTJZLO,O,O,O,X,X,O,X
ISTJZOL,O,O,O,X,X,O,X
ISTJOLZ,O,O,X,X,O,X,O
ISTJOZL,O,O,O,X,X,O,X
ISTZLJO,O,O,O,O,X,O,X
ISTZLOJ,O,O,O,O,X,O,O
ISTZJLO,O,O,O,O,X,O,X
ISTZJOL,O,O,O,O,X,O,X
ISTZOLJ,O,O,O,O,X,O,O
ISTZOJL,O,O,O,O,X,O,X
ISTOLJZ,O,O,O,X,O,X,O
ISTOLZJ,O,O,O,O,X,X,O
ISTOJLZ,O,O,X,X,O,X,O
ISTOJZL,O,O,O,X,X,O,X
ISTOZLJ,O,O,O,O,X,O,O
ISTOZJL,O,O,O,O,X,O,X
ISLTJZO,O,X,O,X,X,X,X
ISLTJOZ,O,X,O,X,O,X,O
ISLTZJO,O,O,O,O,X,X,X
ISLTZOJ,O,O,O,O,X,X,O
ISLTOJZ,O,X,O,X,O,X,O
ISLTOZJ,O,O,O,O,X,X,O
ISLJTZO,O,X,O,X,X,X,X
ISLJTOZ,O,X,O,X,X,X,O
ISLJZTO,O,O,O,X,X,O,X
ISLJZOT,O,O,O,X,X,O,X
ISLJOTZ,O,X,O,X,O,X,O
ISLJOZT,O,O,O,X,O,O,X
ISLZTJO,O,O,O,X,X,O,X
ISLZTOJ,O,O,O,X,X,O,O
ISLZJTO,O,O,O,X,X,O,X
ISLZJOT,O,O,O,O,X,O,X
ISLZOTJ,O,O,O,X,X,O,O
ISLZOJT,O,O,O,O,X,O,X
ISLOTJZ,O,X,O,X,O,X,O
ISLOTZJ,O,O,O,O,X,X,O
ISLOJTZ,O,X,O,X,O,X,O
ISLOJZT,O,O,O,X,O,O,X
ISLOZTJ,O,O,O,X,X,O,O
ISLOZJT,O,O,O,O,X,O,X
ISJTLZO,O,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,O
ISJTZLO,O,X,O,X,X,O,X
ISJTZOL,O,X,O,X,X,O,X
ISJTOLZ,O,X,X,X,X,X,O
ISJTOZL,O,X,O,X,X,O,X
ISJLTZO,O,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,O
ISJLZTO,O,O,X,X,X,O,X
ISJLZOT,O,O,X,X,X,O,X
ISJLOTZ,O,X,X,X,O,X,O
ISJLOZT,O,O,X,X,O,O,X
ISJZTLO,O,O,X,X,X,O,X
ISJZTOL,O,O,O,X,X,O,X
ISJZLTO,O,O,X,X,X,O,X
ISJZLOT,O,O,O,X,X,O,X
ISJZOTL,O,O,O,X,X,O,X
ISJZOLT,O,O,O,X,X,O,X
ISJOTLZ,O,X,X,X,X,X,O
ISJOTZL,O,X,O,X,X,O,X
ISJOLTZ,O,X,X,X,O,X,O
ISJOLZT,O,O,X,X,O,O,X
ISJOZTL,O,O,O,X,X,O,X
ISJOZLT,O,O,O,X,X,O,X
ISZTLJO,O,O,O,X,X,O,X
ISZTLOJ,O,O,O,X,X,O,O
ISZTJLO,O,O,O,X,X,O,X
ISZTJOL,O,O,O,X,X,O,X
ISZTOLJ,O,O,O,X,X,O,O
ISZTOJL,O,O,O,X,X,O,X
ISZLTJO,O,O,O,X,X,O,X
ISZLTOJ,O,O,O,X,X,O,O
ISZLJTO,O,O,O,X,X,O,X
ISZLJOT,O,O,O,O,X,O,X
ISZLOTJ,O,O,O,X,X,O,O
ISZLOJT,O,O,O,O,X,O,X
ISZJTLO,O,O,X,X,X,O,X
ISZJTOL,O,O,O,X,X,O,X
ISZJLTO,O,O,O,X,X,O,X
ISZJLOT,O,O,O,O,X,O,X
ISZJOTL,O,O,O,X,X,O,X
ISZJOLT,O,O,O,O,X,O,X
ISZOTLJ,O,O,O,X,X,O,O
ISZOTJL,O,O,O,X,X,O,X
ISZOLTJ,O,O,O,X,X,O,O
ISZOLJT,O,O,O,O,X,O,X
ISZOJTL,O,O,O,X,X,O,X
ISZOJLT,O,O,O,O,X,O,X
ISOTLJZ,O,O,O,X,O,X,O
ISOTLZJ,O,O,O,O,X,X,O
ISOTJLZ,O,O,X,X,O,X,O
ISOTJZL,O,O,O,X,X,O,X
ISOTZLJ,O,O,O,O,X,O,O
ISOTZJL,O,O,O,O,X,O,X
ISOLTJZ,O,X,O,X,O,X,O
ISOLTZJ,O,O,O,O,X,X,O
ISOLJTZ,O,X,O,X,O,X,O
ISOLJZT,O,O,O,X,O,O,X
ISOLZTJ,O,O,O,X,X,O,O
ISOLZJT,O,O,O,O,X,O,X
ISOJTLZ,O,X,X,X,X,X,O
ISOJTZL,O,X,O,X,X,O,X
ISOJLTZ,O,X,X,X,O,X,O
ISOJLZT,O,O,X,X,O,O,X
ISOJZTL,O,O,O,X,X,O,X
ISOJZLT,O,O,O,X,X,O,X
ISOZTLJ,O,O,O,X,X,O,O
ISOZTJL,O,O,O,X,X,O,X
ISOZLTJ,O,O,O,X,X,O,O
ISOZLJT,O,O,O,O,X,O,X
ISOZJTL,O,O,O,X,X,O,X
ISOZJLT,O,O,O,O,X,O,X
IZTLJSO,O,O,X,O,X,X,X
IZTLJOS,O,O,X,O,O,X,X
IZTLSJO,O,O,X,O,X,X,X
IZTLSOJ,O,O,X,O,X,X,X
IZTLOJS,O,O,X,O,O,X,X
IZTLOSJ,O,O,X,O,X,X,X
IZTJLSO,O,O,X,O,X,X,X
IZTJLOS,O,O,X,O,O,X,X
IZTJSLO,O,O,X,O,X,O,X
IZTJSOL,O,O,X,O,X,O,X
IZTJOLS,O,O,X,O,O,X,X
IZTJOSL,O,O,X,O,X,X,X
IZTSLJO,O,O,X,O,X,O,X
IZTSLOJ,O,O,X,O,X,O,X
IZTSJLO,O,O,X,O,X,O,X
IZTSJOL,O,O,X,O,X,O,X
IZTSOLJ,O,O,X,O,X,O,X
IZTSOJL,O,O,X,O,X,O,X
IZTOLJS,O,O,X,O,O,X,X
IZTOLSJ,O,O,X,O,X,X,X
IZTOJLS,O,O,X,O,O,X,X
IZTOJSL,O,O,X,O,X,X,X
IZTOSLJ,O,O,X,O,X,X,X
IZTOSJL,O,O,X,O,X,X,X
IZLTJSO,X,O,O,O,X,X,X
IZLTJOS,X,O,O,O,O,X,X
IZLTSJO,X,O,O,O,X,X,X
IZLTSOJ,X,O,O,O,X,X,X
IZLTOJS,X,O,O,O,O,X,X
IZLTOSJ,X,O,X,O,X,X,X
IZLJTSO,X,O,O,X,X,X,X
IZLJTOS,X,O,O,O,X,X,X
IZLJSTO,O,O,O,X,X,O,X
IZLJSOT,O,O,O,O,X,O,X
IZLJOTS,X,O,O,O,O,X,X
IZLJOST,O,O,O,O,O,X,X
IZLSTJO,O,O,O,X,X,O,X
IZLSTOJ,O,O,O,X,X,O,O
IZLSJTO,O,O,O,X,X,O,X
IZLSJOT,O,O,O,O,X,O,X
IZLSOTJ,O,O,O,X,X,O,O
IZLSOJT,O,O,O,O,X,O,X
IZLOTJS,X,O,O,O,O,X,X
IZLOTSJ,X,O,X,O,X,X,X
IZLOJTS,X,O,O,O,O,X,X
IZLOJST,O,O,O,O,O,X,X
IZLOSTJ,O,O,O,X,X,X,O
IZLOSJT,O,O,O,O,X,X,X
IZJTLSO,X,O,X,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X
IZJTSLO,O,O,X,X,X,O,X
IZJTSOL,O,O,X,X,X,O,X
IZJTOLS,X,O,X,O,X,X,X
IZJTOSL,O,O,X,X,X,X,X
IZJLTSO,X,O,O,X,X,X,X
IZJLTOS,X,O,O,O,X,X,X
IZJLSTO,O,O,O,X,X,O,X
IZJLSOT,O,O,O,O,X,O,X
IZJLOTS,X,O,O,O,O,X,X
IZJLOST,O,O,O,O,O,X,X
IZJSTLO,O,O,X,X,X,O,X
IZJSTOL,O,O,O,X,X,O,X
IZJSLTO,O,O,O,X,X,O,X
IZJSLOT,O,O,O,O,X,O,X
IZJSOTL,O,O,O,X,X,O,X
IZJSOLT,O,O,O,O,X,O,X
IZJOTLS,X,O,X,O,X,X,X
IZJOTSL,O,O,X,X,X,X,X
IZJOLTS,X,O,O,O,O,X,X
IZJOLST,O,O,O,O,O,X,X
IZJOSTL,O,O,X,X,X,O,X
IZJOSLT,O,O,X,O,X,O,X
IZSTLJO,O,O,X,X,X,O,X
IZSTLOJ,O,O,X,X,X,O,O
IZSTJLO,O,O,X,X,X,O,X
IZSTJOL,O,O,O,X,X,O,X
IZSTOLJ,O,O,X,X,X,O,O
IZSTOJL,O,O,O,X,X,O,X
IZSLTJO,O,O,O,X,X,O,X
IZSLTOJ,O,O,O,X,X,O,O
IZSLJTO,O,O,O,X,X,O,X
IZSLJOT,O,O,O,O,X,O,X
IZSLOTJ,O,O,O,X,X,O,O
IZSLOJT,O,O,O,O,X,O,X
IZSJTLO,O,O,X,X,X,O,X
IZSJTOL,O,O,O,X,X,O,X
IZSJLTO,O,O,O,X,X,O,X
IZSJLOT,O,O,O,O,X,O,X
IZSJOTL,O,O,O,X,X,O,X
IZSJOLT,O,O,O,O,X,O,X
IZSOTLJ,O,O,X,X,X,O,O
IZSOTJL,O,O,O,X,X,O,X
IZSOLTJ,O,O,O,X,X,O,O
IZSOLJT,O,O,O,O,X,O,X
IZSOJTL,O,O,O,X,X,O,X
IZSOJLT,O,O,O,O,X,O,X
IZOTLJS,O,O,X,O,O,X,X
IZOTLSJ,O,O,X,O,X,X,X
IZOTJLS,O,O,X,O,O,X,X
IZOTJSL,O,O,X,O,X,X,X
IZOTSLJ,O,O,X,O,X,X,X
IZOTSJL,O,O,X,O,X,X,X
IZOLTJS,X,O,O,O,O,X,X
IZOLTSJ,X,O,X,O,X,X,X
IZOLJTS,X,O,O,O,O,X,X
IZOLJST,O,O,O,O,O,X,X
IZOLSTJ,O,O,X,X,X,X,O
IZOLSJT,O,O,O,O,X,X,X
IZOJTLS,X,O,X,O,X,X,X
IZOJTSL,O,O,X,X,X,X,X
IZOJLTS,X,O,O,O,O,X,X
IZOJLST,O,O,O,O,O,X,X
IZOJSTL,O,O,X,X,X,O,X
IZOJSLT,O,O,X,O,X,O,X
IZOSTLJ,O,O,X,X,X,O,O
IZOSTJL,O,O,X,X,X,O,X
IZOSLTJ,O,O,X,X,X,O,O
IZOSLJT,O,O,X,O,X,O,X
IZOSJTL,O,O,X,X,X,O,X
IZOSJLT,O,O,X,O,X,O,X
IOTLJSZ,X,X,X,X,O,X,X
IOTLJZS,X,X,O,O,O,X,X
IOTLSJZ,O,O,X,X,O,X,O
IOTLSZJ,O,O,O,O,X,X,O
IOTLZJS,O,O,O,O,O,X,X
IOTLZSJ,O,O,O,O,X,X,X
IOTJLSZ,X,X,X,X,O,X,X
IOTJLZS,X,X,X,O,O,X,X
IOTJSLZ,O,O,X,X,O,X,X
IOTJSZL,O,O,X,X,X,X,X
IOTJZLS,O,O,X,O,O,X,X
IOTJZSL,O,O,X,O,X,X,X
IOTSLJZ,O,O,X,X,O,X,O
IOTSLZJ,O,O,X,O,X,X,O
IOTSJLZ,O,O,X,X,O,X,O
IOTSJZL,O,O,X,X,X,X,X
IOTSZLJ,O,O,X,O,X,X,O
IOTSZJL,O,O,X,O,X,X,X
IOTZLJS,O,O,O,O,O,X,X
IOTZLSJ,O,O,O,O,X,X,X
IOTZJLS,O,O,O,O,O,X,X
IOTZJSL,O,O,X,O,X,X,X
IOTZSLJ,O,O,X,O,X,X,X
IOTZSJL,O,O,X,O,X,X,X
IOLTJSZ,X,X,X,X,O,X,X
IOLTJZS,X,X,O,O,O,X,X
IOLTSJZ,O,O,X,X,O,X,O
IOLTSZJ,O,O,O,O,X,X,O
IOLTZJS,O,O,O,O,O,X,X
IOLTZSJ,O,O,O,O,X,X,X
IOLJTSZ,X,X,X,X,O,X,X
IOLJTZS,X,X,O,O,O,X,X
IOLJSTZ,X,X,X,X,O,X,O
IOLJSZT,X,X,X,X,O,X,X
IOLJZTS,X,X,O,O,O,X,X
IOLJZST,X,X,O,O,O,X,X
IOLSTJZ,O,X,X,X,O,X,O
IOLSTZJ,O,O,O,O,X,X,O
IOLSJTZ,O,X,X,X,O,X,O
IOLSJZT,O,O,X,X,O,X,X
IOLSZTJ,O,O,X,X,X,X,O
IOLSZJT,O,O,O,O,X,X,X
IOLZTJS,X,O,O,O,O,X,X
IOLZTSJ,X,O,O,O,X,X,X
IOLZJTS,X,O,O,O,O,X,X
IOLZJST,O,O,O,O,O,X,X
IOLZSTJ,O,O,X,X,X,X,O
IOLZSJT,O,O,O,O,X,X,X
IOJTLSZ,X,X,X,X,O,X,X
IOJTLZS,X,X,X,O,O,X,X
IOJTSLZ,O,O,X,X,O,X,X
IOJTSZL,O,O,X,X,X,X,X
IOJTZLS,O,O,X,O,O,X,X
IOJTZSL,O,O,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,X,X
IOJLTZS,X,X,X,O,O,X,X
IOJLSTZ,X,X,X,X,O,X,O
IOJLSZT,X,X,X,X,O,X,X
IOJLZTS,X,X,X,O,O,X,X
IOJLZST,X,X,X,O,O,X,X
IOJSTLZ,O,X,X,X,X,X,O
IOJSTZL,O,X,X,X,X,O,X
IOJSLTZ,O,X,X,X,O,X,O
IOJSLZT,O,O,X,X,O,O,X
IOJSZTL,O,O,X,X,X,O,X
IOJSZLT,O,O,X,X,X,O,X
IOJZTLS,X,O,X,O,X,X,X
IOJZTSL,O,O,X,X,X,X,X
IOJZLTS,X,O,X,O,O,X,X
IOJZLST,O,O,X,O,O,X,X
IOJZSTL,O,O,X,X,X,O,X
IOJZSLT,O,O,X,O,X,O,X
IOSTLJZ,O,O,X,X,O,X,O
IOSTLZJ,O,O,X,O,X,X,O
IOSTJLZ,O,O,X,X,O,X,O
IOSTJZL,O,O,X,X,X,O,X
IOSTZLJ,O,O,X,O,X,O,O
IOSTZJL,O,O,X,O,X,O,X
IOSLTJZ,O,X,X,X,O,X,O
IOSLTZJ,O,O,X,O,X,X,O
IOSLJTZ,O,X,X,X,O,X,O
IOSLJZT,O,O,X,X,O,O,X
IOSLZTJ,O,O,X,X,X,O,O
IOSLZJT,O,O,X,O,X,O,X
IOSJTLZ,O,X,X,X,X,X,O
IOSJTZL,O,X,X,X,X,O,X
IOSJLTZ,O,X,X,X,O,X,O
IOSJLZT,O,O,X,X,O,O,X
IOSJZTL,O,O,X,X,X,O,X
IOSJZLT,O,O,X,X,X,O,X
IOSZTLJ,O,O,X,X,X,O,O
IOSZTJL,O,O,X,X,X,O,X
IOSZLTJ,O,O,X,X,X,O,O
IOSZLJT,O,O,X,O,X,O,X
IOSZJTL,O,O,X,X,X,O,X
IOSZJLT,O,O,X,O,X,O,X
IOZTLJS,O,O,X,O,O,X,X
IOZTLSJ,O,O,X,O,X,X,X
IOZTJLS,O,O,X,O,O,X,X
IOZTJSL,O,O,X,O,X,X,X
IOZTSLJ,O,O,X,O,X,X,X
IOZTSJL,O,O,X,O,X,X,X
IOZLTJS,X,O,O,O,O,X,X
IOZLTSJ,X,O,X,O,X,X,X
IOZLJTS,X,O,O,O,O,X,X
IOZLJST,O,O,O,O,O,X,X
IOZLSTJ,O,O,X,X,X,X,O
IOZLSJT,O,O,O,O,X,X,X
IOZJTLS,X,O,X,O,X,X,X
IOZJTSL,O,O,X,X,X,X,X
IOZJLTS,X,O,O,O,O,X,X
IOZJLST,O,O,O,O,O,X,X
IOZJSTL,O,O,X,X,X,O,X
IOZJSLT,O,O,X,O,X,O,X
IOZSTLJ,O,O,X,X,X,O,O
IOZSTJL,O,O,X,X,X,O,X
IOZSLTJ,O,O,X,X,X,O,O
IOZSLJT,O,O,X,O,X,O,X
IOZSJTL,O,O,X,X,X,O,X
IOZSJLT,O,O,X,O,X,O,X
LTIJSZO,X,X,O,X,X,X,X
LTIJSOZ,X,X,O,X,O,X,X
LTIJZSO,X,X,O,O,X,X,X
LTIJZOS,X,X,O,O,O,X,X
LTIJOSZ,X,X,X,X,O,X,X
LTIJOZS,X,X,O,O,O,X,X
LTISJZO,O,O,O,X,X,X,X
LTISJOZ,O,O,O,X,O,X,O
LTISZJO,O,O,O,O,X,X,X
LTISZOJ,O,O,O,O,X,X,O
LTISOJZ,O,O,O,X,O,X,O
LTISOZJ,O,O,O,O,X,X,O
LTIZJSO,O,O,O,O,X,X,X
LTIZJOS,O,O,O,O,O,X,X
LTIZSJO,O,O,O,O,X,X,X
LTIZSOJ,O,O,O,O,X,X,X
LTIZOJS,O,O,O,O,O,X,X
LTIZOSJ,O,O,O,O,X,X,X
LTIOJSZ,X,X,X,X,O,X,X
LTIOJZS,X,X,O,O,O,X,X
LTIOSJZ,O,O,O,X,O,X,O
LTIOSZJ,O,O,O,O,X,X,O
LTIOZJS,O,O,O,O,O,X,X
LTIOZSJ,O,O,O,O,X,X,X
LTJISZO,X,X,O,X,X,X,X
LTJISOZ,X,X,O,X,O,X,X
LTJIZSO,X,X,O,O,X,X,X
LTJIZOS,X,X,O,O,O,X,X
LTJIOSZ,X,X,X,X,O,X,X
LTJIOZS,X,X,O,O,O,X,X
LTJSIZO,X,X,O,X,X,X,X
LTJSIOZ,X,X,O,X,O,X,X
LTJSZIO,X,X,O,X,X,X,X
LTJSZOI,X,X,O,X,X,X,X
LTJSOIZ,X,X,O,X,O,X,X
LTJSOZI,X,X,O,X,X,X,X
LTJZISO,X,X,O,O,X,X,X
LTJZIOS,X,X,O,O,O,X,X
LTJZSIO,X,X,O,O,X,X,X
LTJZSOI,X,X,O,O,X,X,X
LTJZOIS,X,X,O,O,O,X,X
LTJZOSI,X,X,O,O,X,X,X
LTJOISZ,X,X,X,X,O,X,X
LTJOIZS,X,X,O,O,O,X,X
LTJOSIZ,X,X,X,X,O,X,X
LTJOSZI,X,X,X,X,X,X,X
LTJOZIS,X,X,O,O,O,X,X
LTJOZSI,X,X,O,O,X,X,X
LTSIJZO,O,O,O,X,X,X,X
LTSIJOZ,O,O,O,X,O,X,O
LTSIZJO,O,O,O,O,X,X,X
LTSIZOJ,O,O,O,O,X,X,O
LTSIOJZ,O,O,O,X,O,X,O
LTSIOZJ,O,O,O,O,X,X,O
LTSJIZO,O,O,O,X,X,X,X
LTSJIOZ,O,O,O,X,O,X,O
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X
LTSJOIZ,O,O,O,X,O,X,O
LTSJOZI,O,O,O,X,X,X,X
LTSZIJO,O,O,O,O,X,X,X
LTSZIOJ,O,O,O,O,X,X,O
LTSZJIO,O,O,O,O,X,X,X
LTSZJOI,O,O,O,O,X,X,X
LTSZOIJ,O,O,O,O,X,X,O
LTSZOJI,O,O,O,O,X,X,X
LTSOIJZ,O,O,O,X,O,X,O
LTSOIZJ,O,O,O,O,X,X,O
LTSOJIZ,O,O,O,X,O,X,O
LTSOJZI,O,O,O,X,X,X,X
LTSOZIJ,O,O,O,O,X,X,O
LTSOZJI,O,O,O,O,X,X,X
LTZIJSO,O,O,O,O,X,X,X
LTZIJOS,O,O,O,O,O,X,X
LTZISJO,O,O,O,O,X,X,X
LTZISOJ,O,O,O,O,X,X,X
LTZIOJS,O,O,O,O,O,X,X
LTZIOSJ,O,O,O,O,X,X,X
LTZJISO,O,O,O,O,X,X,X
LTZJIOS,O,O,O,O,O,X,X
LTZJSIO,O,O,O,O,X,X,X
LTZJSOI,O,O,O,O,X,X,X
LTZJOIS,O,O,O,O,O,X,X
LTZJOSI,O,O,O,O,X,X,X
LTZSIJO,O,O,O,O,X,X,X
LTZSIOJ,O,O,O,O,X,X,X
LTZSJIO,O,O,O,O,X,X,X
LTZSJOI,O,O,O,O,X,X,X
LTZSOIJ,O,O,O,O,X,X,X
LTZSOJI,O,O,O,O,X,X,X
LTZOIJS,O,O,O,O,O,X,X
LTZOISJ,O,O,O,O,X,X,X
LTZOJIS,O,O,O,O,O,X,X
LTZOJSI,O,O,O,O,X,X,X
LTZOSIJ,O,O,O,O,X,X,X
LTZOSJI,O,O,O,O,X,X,X
LTOIJSZ,X,X,X,X,O,X,X
LTOIJZS,X,X,O,O,O,X,X
LTOISJZ,O,O,O,X,O,X,O
LTOISZJ,O,O,O,O,X,X,O
LTOIZJS,O,O,O,O,O,X,X
LTOIZSJ,O,O,O,O,X,X,X
LTOJISZ,X,X,X,X,O,X,X
LTOJIZS,X,X,O,O,O,X,X
LTOJSIZ,X,X,X,X,O,X,X
LTOJSZI,X,X,X,X,X,X,X
LTOJZIS,X,X,O,O,O,X,X
LTOJZSI,X,X,O,O,X,X,X
LTOSIJZ,O,O,O,X,O,X,O
LTOSIZJ,O,O,O,O,X,X,O
LTOSJIZ,O,O,O,X,O,X,O
LTOSJZI,O,O,O,X,X,X,X
LTOSZIJ,O,O,O,O,X,X,O
LTOSZJI,O,O,O,O,X,X,X
LTOZIJS,O,O,O,O,O,X,X
LTOZISJ,O,O,O,O,X,X,X
LTOZJIS,O,O,O,O,O,X,X
LTOZJSI,O,O,O,O,X,X,X
LTOZSIJ,O,O,O,O,X,X,X
LTOZSJI,O,O,O,O,X,X,X
LITJSZO,X,X,O,X,X,X,X
LITJSOZ,X,X,O,X,O,X,X
LITJZSO,X,X,O,O,X,X,X
LITJZOS,X,X,O,O,O,X,X
LITJOSZ,X,X,X,X,O,X,X
LITJOZS,X,X,O,O,O,X,X
LITSJZO,O,O,O,X,X,X,X
LITSJOZ,O,O,O,X,O,X,O
LITSZJO,O,O,O,O,X,X,X
LITSZOJ,O,O,O,O,X,X,O
LITSOJZ,O,O,O,X,O,X,O
LITSOZJ,O,O,O,O,X,X,O
LITZJSO,O,O,O,O,X,X,X
LITZJOS,O,O,O,O,O,X,X
LITZSJO,O,O,O,O,X,X,X
LITZSOJ,O,O,O,O,X,X,X
LITZOJS,O,O,O,O,O,X,X
LITZOSJ,O,O,O,O,X,X,X
LITOJSZ,X,X,X,X,O,X,X
LITOJZS,X,X,O,O,O,X,X
LITOSJZ,O,O,O,X,O,X,O
LITOSZJ,O,O,O,O,X,X,O
LITOZJS,O,O,O,O,O,X,X
LITOZSJ,O,O,O,O,X,X,X
LIJTSZO,X,X,O,X,X,X,X
LIJTSOZ,X,X,O,X,O,X,X
LIJTZSO,X,X,O,O,X,X,X
LIJTZOS,X,X,O,O,O,X,X
LIJTOSZ,X,X,X,X,O,X,X
LIJTOZS,X,X,O,O,O,X,X
LIJSTZO,X,X,O,X,X,X,X
LIJSTOZ,X,X,O,X,X,X,O
LIJSZTO,X,X,O,X,X,O,X
LIJSZOT,X,X,O,X,X,O,X
LIJSOTZ,X,X,O,X,O,X,O
LIJSOZT,X,X,O,X,O,O,X
LIJZTSO,X,X,O,X,X,X,X
LIJZTOS,X,X,O,O,X,X,X
LIJZSTO,X,X,O,X,X,O,X
LIJZSOT,X,X,O,O,X,O,X
LIJZOTS,X,X,O,O,O,X,X
LIJZOST,X,X,O,O,O,X,X
LIJOTSZ,X,X,X,X,O,X,X
LIJOTZS,X,X,O,O,O,X,X
LIJOSTZ,X,X,X,X,O,X,O
LIJOSZT,X,X,X,X,O,X,X
LIJOZTS,X,X,O,O,O,X,X
LIJOZST,X,X,O,O,O,X,X
LISTJZO,O,X,O,X,X,X,X
LISTJOZ,O,X,O,X,O,X,O
LISTZJO,O,O,O,O,X,X,X
LISTZOJ,O,O,O,O,X,X,O
LISTOJZ,O,X,O,X,O,X,O
LISTOZJ,O,O,O,O,X,X,O
LISJTZO,O,X,O,X,X,X,X
LISJTOZ,O,X,O,X,X,X,O
LISJZTO,O,O,O,X,X,O,X
LISJZOT,O,O,O,X,X,O,X
LISJOTZ,O,X,O,X,O,X,O
LISJOZT,O,O,O,X,O,O,X
LISZTJO,O,O,O,X,X,O,X
LISZTOJ,O,O,O,X,X,O,O
LISZJTO,O,O,O,X,X,O,X
LISZJOT,O,O,O,O,X,O,X
LISZOTJ,O,O,O,X,X,O,O
LISZOJT,O,O,O,O,X,O,X
LISOTJZ,O,X,O,X,O,X,O
LISOTZJ,O,O,O,O,X,X,O
LISOJTZ,O,X,O,X,O,X,O
LISOJZT,O,O,O,X,O,O,X
LISOZTJ,O,O,O,X,X,O,O
LISOZJT,O,O,O,O,X,O,X
LIZTJSO,X,O,O,O,X,X,X
LIZTJOS,X,O,O,O,O,X,X
LIZTSJO,X,O,O,O,X,X,X
LIZTSOJ,X,O,O,O,X,X,X
LIZTOJS,X,O,O,O,O,X,X
LIZTOSJ,X,O,O,O,X,X,X
LIZJTSO,X,O,O,X,X,X,X
LIZJTOS,X,O,O,O,X,X,X
LIZJSTO,O,O,O,X,X,O,X
LIZJSOT,O,O,O,O,X,O,X
LIZJOTS,X,O,O,O,O,X,X
LIZJOST,O,O,O,O,O,X,X
LIZSTJO,O,O,O,X,X,O,X
LIZSTOJ,O,O,O,X,X,O,O
LIZSJTO,O,O,O,X,X,O,X
LIZSJOT,O,O,O,O,X,O,X
LIZSOTJ,O,O,O,X,X,O,O
LIZSOJT,O,O,O,O,X,O,X
LIZOTJS,X,O,O,O,O,X,X
LIZOTSJ,X,O,O,O,X,X,X
LIZOJTS,X,O,O,O,O,X,X
LIZOJST,O,O,O,O,O,X,X
LIZOSTJ,O,O,O,X,X,X,O
LIZOSJT,O,O,O,O,X,X,X
LIOTJSZ,X,X,X,X,O,X,X
LIOTJZS,X,X,O,O,O,X,X
LIOTSJZ,O,O,O,X,O,X,O
LIOTSZJ,O,O,O,O,X,X,O
LIOTZJS,O,O,O,O,O,X,X
LIOTZSJ,O,O,O,O,X,X,X
LIOJTSZ,X,X,X,X,O,X,X
LIOJTZS,X,X,O,O,O,X,X
LIOJSTZ,X,X,X,X,O,X,O
LIOJSZT,X,X,X,X,O,X,X
LIOJZTS,X,X,O,O,O,X,X
LIOJZST,X,X,O,O,O,X,X
LIOSTJZ,O,X,O,X,O,X,O
LIOSTZJ,O,O,O,O,X,X,O
LIOSJTZ,O,X,O,X,O,X,O
LIOSJZT,O,O,O,X,O,X,X
LIOSZTJ,O,O,O,X,X,X,O
LIOSZJT,O,O,O,O,X,X,X
LIOZTJS,X,O,O,O,O,X,X
