sequence,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFGeBlgB?UiBaoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFCeBlgB?UiBOoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeG8IvhF6iBTeB?lgBZnBXmB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?zlBFnB8sBmrB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFSiBTeB?lgBXmBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?lhBzlBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeWCJvhFcjBlgB?xmBzlBinB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeZCJvhFGeBlgB?cmBziBCmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFcjBlgB?GiBXmBKsBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFqiBTeB?lgBXmB2sBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmB8sBasB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR9IvhFSjBlgB?3hBOsB8sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JelAJvhFcmBxiB?XjB2sBCmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?XjBKsBzqB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?0iBKsBzqBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?XjBKsB0sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgBOnB?0iBCmBFmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmBysBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?0iBKsBXtBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgB0iB?ulBimBFnB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeF8IvhFxdB6lB?cmBXjB2sBTsB
TIJLSZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TIJLZOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJSZLO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJZLOS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSLO,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLOJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISJZLO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZLJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISZOJL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOJZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZJL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLJSO,X,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TIZJLOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJSLO,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJOLS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZLJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X
TLIJZOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLISJOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLISZJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISOJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X
TLIZJOS,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZSJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZOSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOZSJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJISOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
TLJIZOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,X,O,X,X,O
TLJSIOZ,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
TLJSZIO,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,O,O,X,O
TLJSZOI,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,O,O,X,O
TLJSOIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
TLJZISO,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,X,O
TLJZIOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLJZSOI,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLJZOIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
TLJOISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLJOZIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSIJZO,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TLSIZJO,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSIZOJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSIOJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIOZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O
TLSJIOZ,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLSJZOI,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLSJOIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSZIOJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZJIO,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLSZJOI,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLSZOIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZOJI,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSOIJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSOIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O
TLZIJOS,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZISJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLZISOJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZIOJS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZIOSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,O,X,O,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,O
TLZJIOS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJSIO,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLZJSOI,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLZJOIS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O
TLZSIJO,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZSIOJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZSJIO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLZSJOI,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
TLZSOIJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZSOJI,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZOIJS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZOISJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
TLZOSIJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZOSJI,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLOIJSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOISZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOIZSJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJSZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOSIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOSIZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
