sequence,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFOgBxcB?FhB8mB6pBfrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT7IvhFxcB/kB?mhBllBcrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je2/IvhFfhBxcB?zhBUgB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Jex6IvhFTcBOiB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeO/IvhFTbBXdB?5kBylB0hBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je07IvhFxcB/kB?2lBzhBFrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeK/IvhFfhBxcB?UgBzhBupBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcBTfB?FhB8mBfrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFxbBXdB?6pB0lBlmBmqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeR7IvhFOiB6lB?lkBTmB/pBcrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcB/kB?8mBzlB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT8IvhFOiBxfB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT/IvhF/lBRhB?mgBFiBcrB6pB
TILOZJS,O,X,O,X,O,X,X,X,O,X,X,X,X
TILOZSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TIJLSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJLOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
TIJLOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
TIJSLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,X,X,O,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,O,X,X,X,X,X,X,O,X
TIJZSLO,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,O,X,X,X,O,X,X,X,X,X,O,X
TIJZOLS,X,O,X,X,X,O,X,X,X,X,X,O,X
TIJZOSL,X,O,X,X,X,O,X,X,X,X,X,O,X
TIJOLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
TIJOLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
TIJOSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJOZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
TISLJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TISLZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
TISLZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
TISLOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TISLOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TISJLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TISJZLO,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,O,X,X,X,X,X,O,X
TISJOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZLJO,X,O,X,X,O,X,X,X,O,X,X,X,X
TISZLOJ,X,X,X,X,O,X,X,X,O,X,X,X,X
TISZJLO,X,O,X,X,O,X,X,X,O,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X,X,X,X,O,X
TISZOLJ,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZOJL,X,O,X,X,X,O,X,X,X,X,O,O,X
TISOLJZ,X,X,O,X,O,O,O,X,O,X,X,X,X
TISOLZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TISOJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZLJSO,X,O,X,X,O,X,X,X,O,X,X,X,X
TIZLJOS,O,O,X,X,O,X,X,X,O,X,X,O,X
TIZLSJO,O,O,X,X,O,X,X,X,O,X,X,X,X
TIZLSOJ,O,X,X,X,O,X,X,X,O,X,X,X,X
TIZLOJS,O,X,O,X,O,X,X,X,O,X,X,O,X
TIZLOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TIZJLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,O,X,X,X,X,X,X,O,X
TIZJSLO,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X,X,X,X,O,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X,O,X
TIZJOSL,X,O,X,X,X,X,X,X,X,X,X,O,X
TIZSLJO,O,O,X,X,O,X,X,X,O,X,X,X,X
TIZSLOJ,O,X,X,X,O,X,X,X,O,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X,X,O,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X,X,X,X,O,X
TIZSOLJ,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSOJL,X,O,X,X,X,O,X,X,X,X,O,O,X
TIZOLJS,X,X,O,X,X,X,X,X,X,X,X,O,X
TIZOLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,O,X,X,X,X,X,O,X
TIZOJSL,X,O,X,X,X,O,X,X,X,X,O,O,X
TIZOSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,O,X,X,X,X,O,O,X
TIOLJSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
TIOLJZS,X,X,O,X,O,O,X,X,X,O,X,X,X
TIOLSJZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
TIOLZJS,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
TIOJLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
TIOJSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOJZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOSLJZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,X,X,X,X,O,X
TIOZLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOZJSL,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,O,X,X,X,X,X,O,X
TLIJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIJOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
TLIJOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
TLISJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TLISZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
TLISZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
TLISOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TLISOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TLIZJSO,X,X,X,X,O,X,X,X,O,X,X,X,X
TLIZJOS,O,X,X,X,O,X,X,X,O,X,X,O,X
TLIZSJO,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIZSOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
TLIZOJS,O,X,O,X,O,X,X,X,O,X,X,O,X
TLIZOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLIOJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
TLIOJZS,O,X,O,X,O,O,X,X,X,O,X,X,X
TLIOSJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TLIOSZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TLIOZJS,O,X,O,X,O,X,X,X,O,X,X,X,X
TLIOZSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLJISZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
TLJIOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
TLJIOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
TLJSIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSZOI,O,X,O,X,X,O,O,X,O,X,X,X,X
TLJSOIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TLJSOZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSOI,O,X,O,X,X,O,O,X,O,X,X,X,X
TLJZOIS,O,X,O,X,X,O,X,X,O,O,X,X,X
TLJZOSI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLJOISZ,O,X,O,X,O,O,O,X,X,O,X,X,X
TLJOIZS,O,X,O,X,O,O,X,X,X,O,X,X,X
TLJOSIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TLJOSZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLJOZIS,O,X,O,X,X,O,X,X,O,O,X,X,X
TLJOZSI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLSIJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TLSIZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
TLSIZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
TLSIOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TLSIOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TLSJIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSJZOI,O,X,O,X,X,O,O,X,O,X,X,X,X
TLSJOIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TLSJOZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLSZIJO,O,X,X,X,O,X,X,X,O,X,X,X,X
TLSZIOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
TLSZJIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSZJOI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLSZOIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLSZOJI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLSOIJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TLSOIZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TLSOJIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TLSOJZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLSOZIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLSOZJI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLZIJSO,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZIJOS,O,X,X,X,O,X,X,X,O,X,X,X,X
TLZISJO,O,X,X,X,O,X,X,X,O,X,X,X,X
TLZISOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
TLZIOJS,O,X,O,X,O,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSOI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X,X,O,O,X,X,X
TLZJOSI,O,X,O,X,X,X,O,X,O,O,X,X,X
TLZSIJO,O,X,X,X,O,X,X,X,O,X,X,X,X
TLZSIOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZSJOI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLZSOIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLZSOJI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLZOIJS,O,X,O,X,O,X,X,X,O,X,X,X,X
TLZOISJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,O,O,X,X,X
TLZOJSI,O,X,O,X,X,X,O,X,O,O,X,X,X
TLZOSIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLZOSJI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLOIJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
TLOIJZS,O,X,O,X,O,O,X,X,X,O,X,X,X
TLOISJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TLOISZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TLOIZJS,O,X,O,X,O,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLOJISZ,O,X,O,X,O,O,O,X,X,O,X,X,X
TLOJIZS,O,X,O,X,O,O,X,X,X,O,X,X,X
TLOJSIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TLOJSZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLOJZIS,O,X,O,X,X,O,X,X,O,O,X,X,X
TLOJZSI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLOSIJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TLOSIZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TLOSJIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TLOSJZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TLOSZIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLOSZJI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLOZIJS,O,X,O,X,O,X,X,X,O,X,X,X,X
TLOZISJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLOZJIS,O,X,O,X,X,X,X,X,O,O,X,X,X
TLOZJSI,O,X,O,X,X,X,O,X,O,O,X,X,X
TLOZSIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TLOZSJI,O,X,O,X,X,X,O,X,O,X,X,X,X
TJILSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
TJILOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
TJILOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
TJISLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,X,O,X,X,O,X,X,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,O,X,X,X,X,X,O,X
TJISOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIZLOS,X,O,X,X,O,X,X,X,X,X,X,O,X
TJIZSLO,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIZSOL,X,O,X,X,X,O,X,X,X,X,X,O,X
TJIZOLS,X,O,X,X,X,O,X,X,X,X,X,O,X
TJIZOSL,X,O,X,X,X,O,X,X,X,X,X,O,X
TJIOLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
TJIOLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
TJIOSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,X,X,X,X,X,O,X
TJIOZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
TJLISZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
TJLIOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
TJLIOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
TJLSIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLSZOI,O,X,O,X,X,O,O,X,O,X,X,X,X
TJLSOIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TJLSOZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSOI,O,X,O,X,X,O,O,X,O,X,X,X,X
TJLZOIS,O,X,O,X,X,O,X,X,O,O,X,X,X
TJLZOSI,O,X,O,X,X,O,O,X,O,O,X,X,X
TJLOISZ,O,X,O,X,O,O,O,X,X,O,X,X,X
TJLOIZS,O,X,O,X,O,O,X,X,X,O,X,X,X
TJLOSIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TJLOSZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TJLOZIS,O,X,O,X,X,O,X,X,O,O,X,X,X
TJLOZSI,O,X,O,X,X,O,O,X,O,O,X,X,X
TJSILZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TJSIZLO,X,O,X,O,O,X,X,X,X,X,X,X,X
TJSIZOL,X,O,X,O,X,O,X,X,X,X,X,O,X
TJSIOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJSLZOI,O,X,O,X,X,O,O,X,O,X,X,X,X
TJSLOIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
TJSLOZI,O,X,O,X,X,O,O,X,O,O,X,X,X
TJSZILO,O,O,X,O,O,X,X,O,O,X,X,X,X
TJSZIOL,O,O,X,O,X,O,X,O,X,X,X,X,X
TJSZLIO,O,O,X,O,X,X,X,O,O,X,X,X,X
TJSZLOI,O,O,X,O,X,O,X,O,O,X,X,X,X
TJSZOIL,O,O,X,O,X,O,X,O,X,X,X,X,X
TJSZOLI,O,O,X,O,X,O,X,O,X,X,X,X,X
TJSOILZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJSOLZI,X,X,O,X,X,O,O,X,X,O,X,X,X
TJSOZIL,X,X,X,X,X,O,X,O,X,X,O,X,X
TJSOZLI,X,X,X,X,X,O,X,O,X,X,O,X,X
TJZILSO,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,O,X,X,X,X,X,X,O,X
TJZISLO,X,O,X,O,O,X,X,X,X,X,X,X,X
TJZISOL,X,O,X,O,X,O,X,X,X,X,X,O,X
TJZIOLS,X,O,X,X,X,O,X,X,X,X,X,O,X
TJZIOSL,X,O,X,O,X,O,X,X,X,X,X,O,X
TJZLISO,X,O,X,X,X,X,X,X,O,X,X,X,X
TJZLIOS,O,O,X,X,X,X,X,X,O,X,X,O,X
TJZLSIO,O,O,X,O,X,X,X,X,O,X,X,X,X
TJZLSOI,O,O,X,O,X,O,X,X,O,X,X,X,X
TJZLOIS,O,O,X,X,X,O,X,X,O,O,X,O,X
TJZLOSI,O,O,X,O,X,O,X,X,O,O,X,X,X
TJZSILO,O,O,X,O,O,X,X,O,O,X,X,X,X
TJZSIOL,O,O,X,O,X,O,X,O,X,X,X,O,X
TJZSLIO,O,O,X,O,X,X,X,O,O,X,X,X,X
TJZSLOI,O,O,X,O,X,O,X,O,O,X,X,X,X
TJZSOIL,O,O,X,O,X,O,X,O,X,X,X,O,X
TJZSOLI,O,O,X,O,X,O,X,O,X,X,X,X,X
TJZOILS,X,O,X,X,X,O,X,X,X,X,X,O,X
TJZOISL,X,O,X,O,X,O,X,X,X,X,X,O,X
TJZOLIS,X,O,X,X,X,O,X,X,X,O,X,O,X
TJZOLSI,X,O,X,O,X,O,X,X,X,O,X,X,X
TJZOSIL,X,O,X,O,X,O,X,O,X,X,X,O,X
TJZOSLI,X,O,X,O,X,O,X,O,X,X,X,X,X
TJOILSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
TJOILZS,X,X,O,X,O,O,X,X,X,O,X,X,X
TJOISLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,O,X,X,X,X,X,O,X
TJOIZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
TJOLISZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJOLIZS,X,X,O,X,X,O,X,X,X,O,X,X,X
TJOLSIZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJOLSZI,X,X,O,X,X,O,O,X,X,O,X,X,X
TJOLZIS,X,X,O,X,X,O,X,X,X,O,X,X,X
TJOLZSI,X,X,O,X,X,O,O,X,X,O,X,X,X
TJOSILZ,X,X,O,X,O,O,O,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJOSLZI,X,X,O,X,X,O,O,X,X,O,X,X,X
TJOSZIL,X,X,X,X,X,O,X,O,X,X,O,X,X
TJOSZLI,X,X,X,X,X,O,X,O,X,X,O,X,X
TJOZILS,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,O,X,X,X,X,O,X,X
TJOZLIS,X,X,X,X,X,O,X,X,X,O,X,X,X
TJOZLSI,X,X,X,X,X,O,X,X,X,O,X,X,X
TJOZSIL,X,X,X,X,X,O,X,O,X,X,O,X,X
TJOZSLI,X,X,X,X,X,O,X,O,X,X,O,X,X
TSILJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TSILJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TSILZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
TSILZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
TSILOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TSILOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
