sequence,v115@9gB8HeA8IeA8IeG8AeA8KeXAJvhFOmB8mBziB5oBSq?BlsB,v115@9gB8HeA8IeA8IeG8AeA8Ke8EJvhF+lBihBziB5oB3m?BlsB,v115@9gB8HeA8IeA8IeG8AeA8KelAJvhFUiBaoB5oBzkBXm?BGsB,v115@9gB8HeA8IeA8IeG8AeA8KeTAJvhFihB3iB5oBWqB1r?B8sB,v115@9gB8HeA8IeA8IeG8AeA8Ke6FJvhFlhB3iB5oBzkB2r?B8sB,v115@9gB8HeA8IeA8IeG8AeA8KeXBJvhFmiB5oBzkBCnB0l?BlsB,v115@9gB8HeA8IeA8IeG8AeA8KeXAJvhFOmBliB5oBSqBzm?B8sB
TOILSJZ,O,X,O,X,X,O,O
TOILSZJ,O,O,O,X,X,O,O
TOILZJS,O,O,O,O,O,O,O
TOILZSJ,O,O,O,O,O,O,O
TOIJLSZ,O,X,O,O,O,O,O
TOIJLZS,O,X,O,O,O,O,O
TOIJSLZ,X,X,O,O,O,O,X
TOIJSZL,X,O,O,O,O,X,X
TOIJZLS,O,O,O,O,O,O,O
TOIJZSL,O,O,O,O,O,X,O
TOISLJZ,O,X,O,X,X,O,X
TOISLZJ,O,O,O,X,X,O,X
TOISJLZ,X,X,O,X,X,O,X
TOISJZL,X,O,O,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X
TOISZJL,O,O,O,X,X,X,X
TOIZLJS,O,O,O,O,O,O,O
TOIZLSJ,O,O,O,O,O,O,O
TOIZJLS,O,O,O,O,O,O,O
TOIZJSL,O,O,O,O,O,X,O
TOIZSLJ,O,O,O,O,O,X,O
TOIZSJL,O,O,O,O,O,X,O
TOLIJSZ,O,X,O,O,O,O,O
TOLIJZS,O,X,O,O,O,O,O
TOLISJZ,O,X,O,X,X,O,O
TOLISZJ,O,O,O,X,X,O,O
TOLIZJS,O,O,O,O,O,O,O
TOLIZSJ,O,O,O,O,O,O,O
TOLJISZ,O,X,O,O,O,O,O
TOLJIZS,O,X,O,O,O,O,O
TOLJSIZ,O,X,O,O,O,O,O
TOLJSZI,O,X,O,O,O,O,O
TOLJZIS,O,X,O,O,O,O,O
TOLJZSI,O,X,O,O,O,O,O
TOLSIJZ,O,X,O,X,X,O,O
TOLSIZJ,O,O,O,X,X,O,O
TOLSJIZ,O,X,O,X,X,O,O
TOLSJZI,O,X,O,X,X,O,O
TOLSZIJ,O,O,O,X,X,O,O
TOLSZJI,O,O,O,X,X,O,O
TOLZIJS,O,O,O,O,O,O,O
TOLZISJ,O,O,O,O,O,O,O
TOLZJIS,O,O,O,O,O,O,O
TOLZJSI,O,O,O,O,O,O,O
TOLZSIJ,O,O,O,O,O,O,O
TOLZSJI,O,O,O,O,O,O,O
TOJILSZ,O,X,O,O,O,O,O
TOJILZS,O,X,O,O,O,O,O
TOJISLZ,X,X,O,O,O,O,X
TOJISZL,X,O,O,O,O,X,X
TOJIZLS,O,O,O,O,O,O,O
TOJIZSL,O,O,O,O,O,X,O
TOJLISZ,O,X,O,O,O,O,O
TOJLIZS,O,X,O,O,O,O,O
TOJLSIZ,O,X,O,O,O,O,O
TOJLSZI,O,X,O,O,O,O,O
TOJLZIS,O,X,O,O,O,O,O
TOJLZSI,O,X,O,O,O,O,O
TOJSILZ,X,X,O,O,O,O,X
TOJSIZL,X,O,O,O,O,X,X
TOJSLIZ,X,X,O,O,O,O,X
TOJSLZI,X,X,O,O,O,O,X
TOJSZIL,X,O,O,O,O,X,X
TOJSZLI,X,O,O,O,O,X,X
TOJZILS,O,O,O,O,O,O,O
TOJZISL,O,O,O,O,O,X,O
TOJZLIS,O,O,O,O,O,O,O
TOJZLSI,O,O,O,O,O,O,O
TOJZSIL,O,O,O,O,O,X,O
TOJZSLI,O,O,O,O,O,X,O
TOSILJZ,O,X,O,X,X,O,X
TOSILZJ,O,O,O,X,X,O,X
TOSIJLZ,X,X,O,X,X,O,X
TOSIJZL,X,O,O,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X
TOSLIJZ,O,X,O,X,X,O,X
TOSLIZJ,O,O,O,X,X,O,X
TOSLJIZ,O,X,O,X,X,O,X
TOSLJZI,O,X,O,X,X,O,X
TOSLZIJ,O,O,O,X,X,O,X
TOSLZJI,O,O,O,X,X,O,X
TOSJILZ,X,X,O,X,X,O,X
TOSJIZL,X,O,O,X,X,X,X
TOSJLIZ,X,X,O,X,X,O,X
TOSJLZI,X,X,O,X,X,O,X
TOSJZIL,X,O,O,X,X,X,X
TOSJZLI,X,O,O,X,X,X,X
TOSZILJ,O,O,O,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X
TOSZLIJ,O,O,O,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X
TOSZJIL,O,O,O,X,X,X,X
TOSZJLI,O,O,O,X,X,X,X
TOZILJS,O,O,O,O,O,O,O
TOZILSJ,O,O,O,O,O,O,O
TOZIJLS,O,O,O,O,O,O,O
TOZIJSL,O,O,O,O,O,X,O
TOZISLJ,O,O,O,O,O,X,O
TOZISJL,O,O,O,O,O,X,O
TOZLIJS,O,O,O,O,O,O,O
TOZLISJ,O,O,O,O,O,O,O
TOZLJIS,O,O,O,O,O,O,O
TOZLJSI,O,O,O,O,O,O,O
TOZLSIJ,O,O,O,O,O,O,O
TOZLSJI,O,O,O,O,O,O,O
TOZJILS,O,O,O,O,O,O,O
TOZJISL,O,O,O,O,O,X,O
TOZJLIS,O,O,O,O,O,O,O
TOZJLSI,O,O,O,O,O,O,O
TOZJSIL,O,O,O,O,O,X,O
TOZJSLI,O,O,O,O,O,X,O
TOZSILJ,O,O,O,O,O,X,O
TOZSIJL,O,O,O,O,O,X,O
TOZSLIJ,O,O,O,O,O,X,O
TOZSLJI,O,O,O,O,O,X,O
TOZSJIL,O,O,O,O,O,X,O
TOZSJLI,O,O,O,O,O,X,O
ITLJSZO,O,X,O,O,O,X,O
ITLJSOZ,O,X,O,O,X,O,O
ITLJZSO,O,X,O,O,O,X,O
ITLJZOS,O,X,O,O,O,O,O
ITLJOSZ,O,X,O,O,X,O,O
ITLJOZS,O,X,O,O,O,O,O
ITLSJZO,O,X,O,O,X,X,O
ITLSJOZ,O,X,X,O,X,O,O
ITLSZJO,O,O,O,O,X,X,O
ITLSZOJ,O,O,O,O,X,X,O
ITLSOJZ,O,X,X,X,X,O,O
ITLSOZJ,O,O,O,X,X,O,O
ITLZJSO,O,O,X,O,O,X,O
ITLZJOS,O,O,X,O,O,O,O
ITLZSJO,O,O,X,O,O,X,O
ITLZSOJ,O,O,X,O,O,X,O
ITLZOJS,O,O,X,O,X,O,O
ITLZOSJ,O,O,X,O,X,O,O
ITLOJSZ,O,X,O,O,X,O,O
ITLOJZS,O,X,O,O,X,O,O
ITLOSJZ,O,X,O,X,X,O,O
ITLOSZJ,O,O,O,X,X,O,O
ITLOZJS,O,O,O,O,X,O,O
ITLOZSJ,O,O,O,O,X,O,O
ITJLSZO,O,X,O,O,O,X,O
ITJLSOZ,O,X,O,O,X,O,O
ITJLZSO,O,X,O,O,O,X,O
ITJLZOS,O,X,O,O,O,O,O
ITJLOSZ,O,X,O,O,O,O,O
ITJLOZS,O,X,O,O,O,O,O
ITJSLZO,X,X,O,O,O,X,X
ITJSLOZ,X,X,O,O,X,O,X
ITJSZLO,X,O,O,O,O,X,X
ITJSZOL,X,O,O,O,O,X,X
ITJSOLZ,X,X,O,O,O,O,X
ITJSOZL,X,O,O,O,O,X,X
ITJZLSO,O,O,O,O,O,X,O
ITJZLOS,O,O,O,O,O,O,O
ITJZSLO,O,O,O,O,O,X,O
ITJZSOL,O,O,O,O,O,X,X
ITJZOLS,O,O,O,O,O,O,O
ITJZOSL,O,O,O,O,O,X,X
ITJOLSZ,O,X,O,O,O,O,O
ITJOLZS,O,X,O,O,O,O,O
ITJOSLZ,X,X,O,O,O,O,X
ITJOSZL,X,O,O,O,O,X,X
ITJOZLS,O,O,O,O,O,O,O
ITJOZSL,O,O,O,O,O,X,O
ITSLJZO,O,X,O,O,X,X,X
ITSLJOZ,O,X,X,O,X,O,X
ITSLZJO,O,O,O,O,X,X,X
ITSLZOJ,O,O,O,O,X,X,X
ITSLOJZ,O,X,X,X,X,O,X
ITSLOZJ,O,O,O,X,X,O,X
ITSJLZO,X,X,O,O,X,X,X
ITSJLOZ,X,X,X,O,X,O,X
ITSJZLO,X,O,O,O,X,X,X
ITSJZOL,X,O,X,O,X,X,X
ITSJOLZ,X,X,X,O,X,O,X
ITSJOZL,X,O,X,O,X,X,X
ITSZLJO,O,O,O,O,X,X,X
ITSZLOJ,O,O,O,O,X,X,X
ITSZJLO,O,O,O,O,X,X,X
ITSZJOL,O,O,X,O,X,X,X
ITSZOLJ,O,O,O,O,X,X,X
ITSZOJL,O,O,X,O,X,X,X
ITSOLJZ,O,X,X,X,X,O,X
ITSOLZJ,O,O,O,X,X,O,X
ITSOJLZ,X,X,X,X,X,O,X
ITSOJZL,X,O,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X
ITZLJSO,O,O,X,O,O,X,O
ITZLJOS,O,O,X,O,O,O,O
ITZLSJO,O,O,X,O,O,X,O
ITZLSOJ,O,O,X,O,O,X,O
ITZLOJS,O,O,X,O,X,O,O
ITZLOSJ,O,O,X,O,X,O,O
ITZJLSO,O,O,X,O,O,X,O
ITZJLOS,O,O,X,O,O,O,O
ITZJSLO,O,O,X,O,O,X,O
ITZJSOL,O,O,X,O,O,X,X
ITZJOLS,O,O,X,O,O,O,O
ITZJOSL,O,O,X,O,O,X,O
ITZSLJO,O,O,X,O,O,X,O
ITZSLOJ,O,O,X,O,O,X,O
ITZSJLO,O,O,X,O,O,X,O
ITZSJOL,O,O,X,O,O,X,X
ITZSOLJ,O,O,X,O,O,X,O
ITZSOJL,O,O,X,O,O,X,O
ITZOLJS,O,O,X,O,O,O,O
ITZOLSJ,O,O,X,O,O,O,O
ITZOJLS,O,O,X,O,O,O,O
ITZOJSL,O,O,X,O,O,X,O
ITZOSLJ,O,O,X,O,O,X,O
ITZOSJL,O,O,X,O,O,X,O
ITOLJSZ,O,X,O,O,O,O,O
ITOLJZS,O,X,O,O,O,O,O
ITOLSJZ,O,X,O,X,X,O,O
ITOLSZJ,O,O,O,X,X,O,O
ITOLZJS,O,O,O,O,O,O,O
ITOLZSJ,O,O,O,O,O,O,O
ITOJLSZ,O,X,O,O,O,O,O
ITOJLZS,O,X,O,O,O,O,O
ITOJSLZ,X,X,O,O,O,O,X
ITOJSZL,X,O,O,O,O,X,X
ITOJZLS,O,O,O,O,O,O,O
ITOJZSL,O,O,O,O,O,X,O
ITOSLJZ,O,X,O,X,X,O,X
ITOSLZJ,O,O,O,X,X,O,X
ITOSJLZ,X,X,O,X,X,O,X
ITOSJZL,X,O,O,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X
ITOZLJS,O,O,O,O,O,O,O
ITOZLSJ,O,O,O,O,O,O,O
ITOZJLS,O,O,O,O,O,O,O
ITOZJSL,O,O,O,O,O,X,O
ITOZSLJ,O,O,O,O,O,X,O
ITOZSJL,O,O,O,O,O,X,O
ILTJSZO,O,X,O,O,O,X,O
ILTJSOZ,O,X,O,O,X,O,O
ILTJZSO,O,X,O,O,O,X,O
ILTJZOS,O,X,O,O,O,O,O
ILTJOSZ,O,X,O,O,X,O,O
ILTJOZS,O,X,O,O,O,O,O
ILTSJZO,O,X,O,O,X,X,O
ILTSJOZ,O,X,X,O,X,O,O
ILTSZJO,O,O,O,O,X,X,O
ILTSZOJ,O,O,O,O,X,X,O
ILTSOJZ,O,X,X,X,X,O,O
ILTSOZJ,O,O,O,X,X,O,O
ILTZJSO,O,O,X,O,O,X,O
ILTZJOS,O,O,X,O,O,O,O
ILTZSJO,O,O,X,O,O,X,O
ILTZSOJ,O,O,X,O,O,X,O
ILTZOJS,O,O,X,O,X,O,O
ILTZOSJ,O,O,X,O,X,O,O
ILTOJSZ,O,X,O,O,X,O,O
ILTOJZS,O,X,O,O,X,O,O
ILTOSJZ,O,X,O,X,X,O,O
ILTOSZJ,O,O,O,X,X,O,O
ILTOZJS,O,O,O,O,X,O,O
ILTOZSJ,O,O,O,O,X,O,O
ILJTSZO,O,X,O,O,O,X,O
ILJTSOZ,O,X,O,O,X,X,O
ILJTZSO,O,X,O,O,O,X,O
ILJTZOS,O,X,O,O,O,X,O
ILJTOSZ,O,X,O,O,O,O,O
ILJTOZS,O,X,O,O,O,X,O
ILJSTZO,O,X,O,X,O,X,O
ILJSTOZ,O,X,O,X,X,X,O
ILJSZTO,O,X,O,X,O,X,O
ILJSZOT,O,X,O,X,O,X,O
ILJSOTZ,X,X,O,X,X,O,O
ILJSOZT,O,X,O,X,X,O,O
ILJZTSO,O,X,O,O,O,X,O
ILJZTOS,O,X,O,O,O,X,O
ILJZSTO,O,X,O,X,O,X,O
ILJZSOT,O,X,O,O,O,X,O
ILJZOTS,O,X,O,O,O,X,O
ILJZOST,O,X,O,O,O,O,O
ILJOTSZ,X,X,O,O,O,O,O
ILJOTZS,X,X,O,O,O,X,O
ILJOSTZ,X,X,O,X,O,O,O
ILJOSZT,O,X,O,X,O,O,O
ILJOZTS,O,X,O,O,O,X,O
ILJOZST,O,X,O,O,O,O,O
ILSTJZO,O,X,O,X,X,X,O
ILSTJOZ,O,X,X,X,X,X,O
ILSTZJO,O,O,O,X,X,X,O
ILSTZOJ,O,O,O,X,X,X,O
ILSTOJZ,O,X,X,X,X,X,O
ILSTOZJ,O,O,O,X,X,X,O
ILSJTZO,O,X,O,X,O,X,O
ILSJTOZ,O,X,O,X,X,X,O
ILSJZTO,O,X,O,X,O,X,O
ILSJZOT,O,X,O,X,O,X,O
ILSJOTZ,X,X,O,X,X,O,O
ILSJOZT,O,X,O,X,X,O,O
ILSZTJO,O,O,O,X,O,X,O
ILSZTOJ,O,O,O,X,O,X,O
ILSZJTO,O,O,O,X,O,X,O
ILSZJOT,O,O,X,X,O,X,O
ILSZOTJ,O,X,O,X,O,X,O
ILSZOJT,O,X,X,X,O,X,O
ILSOTJZ,O,X,O,X,X,O,O
ILSOTZJ,O,X,O,X,X,X,O
ILSOJTZ,X,X,O,X,X,O,O
ILSOJZT,O,X,O,X,X,O,O
ILSOZTJ,O,X,O,X,X,X,O
ILSOZJT,O,X,O,X,X,O,O
ILZTJSO,O,O,X,O,O,X,O
ILZTJOS,O,O,X,O,O,X,O
ILZTSJO,O,O,X,O,O,X,O
ILZTSOJ,O,O,X,O,O,X,O
ILZTOJS,O,O,X,O,X,X,O
ILZTOSJ,O,O,X,O,X,X,O
ILZJTSO,O,O,O,O,O,X,O
ILZJTOS,O,O,O,O,O,X,O
ILZJSTO,O,O,O,X,O,X,O
ILZJSOT,O,O,O,O,O,X,O
ILZJOTS,O,X,O,O,O,X,O
ILZJOST,O,X,O,O,O,O,O
ILZSTJO,O,O,O,O,O,X,O
ILZSTOJ,O,O,O,O,O,X,O
ILZSJTO,O,O,O,X,O,X,O
ILZSJOT,O,O,X,O,O,X,O
ILZSOTJ,O,X,O,X,O,X,O
ILZSOJT,O,X,X,X,O,X,O
ILZOTJS,O,X,O,X,O,X,O
ILZOTSJ,O,X,O,X,O,X,O
ILZOJTS,O,X,O,X,O,X,O
ILZOJST,O,X,O,X,O,O,O
ILZOSTJ,O,X,O,X,O,X,O
ILZOSJT,O,X,O,X,O,O,O
ILOTJSZ,O,X,O,X,O,O,O
ILOTJZS,O,X,O,X,O,O,O
ILOTSJZ,O,X,O,X,X,O,O
ILOTSZJ,O,X,O,X,X,O,O
ILOTZJS,O,X,O,X,O,O,O
ILOTZSJ,O,X,O,X,O,O,O
ILOJTSZ,X,X,O,X,O,O,O
ILOJTZS,X,X,O,X,O,X,O
ILOJSTZ,X,X,O,X,O,O,O
ILOJSZT,O,X,O,X,O,O,O
ILOJZTS,O,X,O,X,O,X,O
ILOJZST,O,X,O,X,O,O,O
ILOSTJZ,O,X,O,X,X,O,O
ILOSTZJ,O,X,O,X,X,O,O
ILOSJTZ,X,X,O,X,O,O,O
ILOSJZT,O,X,O,X,O,O,O
ILOSZTJ,O,X,O,X,O,X,O
ILOSZJT,O,X,O,X,O,O,O
ILOZTJS,O,X,O,X,O,X,O
ILOZTSJ,O,X,O,X,O,X,O
ILOZJTS,O,X,O,X,O,X,O
ILOZJST,O,X,O,X,O,O,O
ILOZSTJ,O,X,O,X,O,X,O
ILOZSJT,O,X,O,X,O,O,O
IJTLSZO,O,X,O,O,O,X,O
IJTLSOZ,O,X,O,O,X,O,O
IJTLZSO,O,X,O,O,O,X,O
IJTLZOS,O,X,O,O,O,O,O
IJTLOSZ,O,X,O,O,O,O,O
IJTLOZS,O,X,O,O,O,O,O
IJTSLZO,X,X,O,O,O,X,X
IJTSLOZ,X,X,O,O,X,O,X
IJTSZLO,X,O,O,O,O,X,X
IJTSZOL,X,O,O,O,O,X,X
IJTSOLZ,X,X,O,O,O,O,X
IJTSOZL,X,O,O,O,O,X,X
IJTZLSO,O,O,O,O,O,X,O
IJTZLOS,O,O,O,O,O,O,O
IJTZSLO,O,O,O,O,O,X,O
IJTZSOL,O,O,O,O,O,X,X
IJTZOLS,O,O,O,O,O,O,O
IJTZOSL,O,O,O,O,O,X,X
IJTOLSZ,O,X,O,O,O,O,O
IJTOLZS,O,X,O,O,O,O,O
IJTOSLZ,X,X,O,O,O,O,X
IJTOSZL,X,O,O,O,O,X,X
IJTOZLS,O,O,O,O,O,O,O
IJTOZSL,O,O,O,O,O,X,O
IJLTSZO,O,X,O,O,O,X,O
IJLTSOZ,O,X,O,O,X,X,O
IJLTZSO,O,X,O,O,O,X,O
IJLTZOS,O,X,O,O,O,X,O
IJLTOSZ,O,X,O,O,O,O,O
IJLTOZS,O,X,O,O,O,X,O
IJLSTZO,O,X,O,X,O,X,O
IJLSTOZ,O,X,O,X,X,X,O
IJLSZTO,O,X,O,X,O,X,O
IJLSZOT,O,X,O,X,O,X,O
IJLSOTZ,X,X,O,X,X,O,O
IJLSOZT,O,X,O,X,X,O,O
IJLZTSO,O,X,O,O,O,X,O
IJLZTOS,O,X,O,O,O,X,O
IJLZSTO,O,X,O,X,O,X,O
IJLZSOT,O,X,O,O,O,X,O
IJLZOTS,O,X,O,O,O,X,O
IJLZOST,O,X,O,O,O,O,O
IJLOTSZ,X,X,O,O,O,O,O
IJLOTZS,X,X,O,O,O,X,O
IJLOSTZ,X,X,O,X,O,O,O
IJLOSZT,O,X,O,X,O,O,O
IJLOZTS,O,X,O,O,O,X,O
IJLOZST,O,X,O,O,O,O,O
IJSTLZO,X,X,O,O,O,X,X
IJSTLOZ,X,X,O,O,X,X,X
IJSTZLO,X,O,O,O,O,X,X
IJSTZOL,X,O,O,O,O,X,X
IJSTOLZ,X,X,O,O,O,X,X
IJSTOZL,X,O,O,O,O,X,X
IJSLTZO,O,X,O,X,O,X,O
IJSLTOZ,X,X,O,X,X,X,O
IJSLZTO,O,X,O,X,O,X,O
IJSLZOT,O,X,O,X,O,X,O
IJSLOTZ,X,X,O,X,X,X,O
IJSLOZT,O,X,O,X,X,X,O
IJSZTLO,O,O,O,O,O,X,O
IJSZTOL,O,O,O,O,O,X,X
IJSZLTO,O,O,O,X,O,X,O
IJSZLOT,O,O,O,O,O,X,O
IJSZOTL,X,O,O,O,O,X,X
IJSZOLT,X,O,O,O,O,X,X
IJSOTLZ,X,X,O,O,O,X,X
IJSOTZL,X,X,O,O,O,X,X
IJSOLTZ,X,X,O,X,O,X,O
IJSOLZT,X,X,O,X,O,X,O
IJSOZTL,X,X,O,O,O,X,O
IJSOZLT,X,X,O,O,O,X,O
IJZTLSO,O,O,O,O,O,X,O
IJZTLOS,O,O,O,O,O,X,O
IJZTSLO,O,O,O,O,O,X,O
IJZTSOL,O,O,O,O,O,X,X
IJZTOLS,O,O,O,O,O,X,O
IJZTOSL,O,O,O,O,O,X,O
IJZLTSO,O,O,O,O,O,X,O
IJZLTOS,O,O,O,O,O,X,O
IJZLSTO,O,O,O,X,O,X,O
IJZLSOT,O,O,O,O,O,X,O
IJZLOTS,O,X,O,O,O,X,O
IJZLOST,O,X,O,O,O,X,O
IJZSTLO,O,O,O,O,O,X,O
IJZSTOL,O,O,O,O,O,X,X
IJZSLTO,O,O,O,X,O,X,O
IJZSLOT,O,O,O,O,O,X,O
IJZSOTL,X,O,O,O,O,X,X
IJZSOLT,X,O,O,O,O,X,X
IJZOTLS,O,O,O,O,O,X,O
IJZOTSL,O,O,O,O,O,X,O
IJZOLTS,O,X,O,O,O,X,O
IJZOLST,O,X,O,O,O,X,O
IJZOSTL,X,O,O,O,O,X,O
IJZOSLT,X,O,O,O,O,X,O
IJOTLSZ,X,X,O,O,O,O,O
IJOTLZS,X,X,O,O,O,O,O
IJOTSLZ,X,X,O,O,O,O,X
IJOTSZL,X,X,O,O,O,X,X
IJOTZLS,X,X,O,O,O,O,O
IJOTZSL,X,X,O,O,O,X,O
IJOLTSZ,X,X,O,O,O,O,O
IJOLTZS,X,X,O,O,O,X,O
IJOLSTZ,X,X,O,X,O,O,O
IJOLSZT,O,X,O,X,O,O,O
IJOLZTS,O,X,O,O,O,X,O
IJOLZST,O,X,O,O,O,O,O
IJOSTLZ,X,X,O,O,O,X,X
IJOSTZL,X,X,O,O,O,X,X
IJOSLTZ,X,X,O,X,O,X,O
IJOSLZT,X,X,O,X,O,X,O
IJOSZTL,X,X,O,O,O,X,O
IJOSZLT,X,X,O,O,O,X,O
IJOZTLS,O,X,O,O,O,X,O
IJOZTSL,O,X,O,O,O,X,O
IJOZLTS,O,X,O,O,O,X,O
IJOZLST,O,X,O,O,O,X,O
IJOZSTL,X,X,O,O,O,X,O
IJOZSLT,X,X,O,O,O,X,O
ISTLJZO,O,X,O,O,X,X,X
ISTLJOZ,O,X,X,O,X,O,X
ISTLZJO,O,O,O,O,X,X,X
ISTLZOJ,O,O,O,O,X,X,X
ISTLOJZ,O,X,X,X,X,O,X
ISTLOZJ,O,O,O,X,X,O,X
ISTJLZO,X,X,O,O,X,X,X
ISTJLOZ,X,X,X,O,X,O,X
ISTJZLO,X,O,O,O,X,X,X
ISTJZOL,X,O,X,O,X,X,X
ISTJOLZ,X,X,X,O,X,O,X
ISTJOZL,X,O,X,O,X,X,X
ISTZLJO,O,O,O,O,X,X,X
ISTZLOJ,O,O,O,O,X,X,X
ISTZJLO,O,O,O,O,X,X,X
ISTZJOL,O,O,X,O,X,X,X
ISTZOLJ,O,O,O,O,X,X,X
ISTZOJL,O,O,X,O,X,X,X
ISTOLJZ,O,X,X,X,X,O,X
ISTOLZJ,O,O,O,X,X,O,X
ISTOJLZ,X,X,X,X,X,O,X
ISTOJZL,X,O,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X
ISLTJZO,O,X,O,X,X,X,O
ISLTJOZ,O,X,X,X,X,X,O
ISLTZJO,O,O,O,X,X,X,O
ISLTZOJ,O,O,O,X,X,X,O
ISLTOJZ,O,X,X,X,X,X,O
ISLTOZJ,O,O,O,X,X,X,O
ISLJTZO,O,X,O,X,O,X,O
ISLJTOZ,O,X,O,X,X,X,O
ISLJZTO,O,X,O,X,O,X,O
ISLJZOT,O,X,O,X,O,X,O
ISLJOTZ,X,X,O,X,X,O,O
ISLJOZT,O,X,O,X,X,O,O
ISLZTJO,O,O,O,X,O,X,O
ISLZTOJ,O,O,O,X,O,X,O
ISLZJTO,O,O,O,X,O,X,O
ISLZJOT,O,O,X,X,O,X,O
ISLZOTJ,O,X,O,X,O,X,O
ISLZOJT,O,X,X,X,O,X,O
ISLOTJZ,O,X,O,X,X,O,O
ISLOTZJ,O,X,O,X,X,X,O
ISLOJTZ,X,X,O,X,X,O,O
ISLOJZT,O,X,O,X,X,O,O
ISLOZTJ,O,X,O,X,X,X,O
ISLOZJT,O,X,O,X,X,O,O
ISJTLZO,X,X,O,O,O,X,X
ISJTLOZ,X,X,O,O,X,X,X
ISJTZLO,X,O,O,O,O,X,X
ISJTZOL,X,O,O,O,O,X,X
ISJTOLZ,X,X,O,O,O,X,X
ISJTOZL,X,O,O,O,O,X,X
ISJLTZO,O,X,O,X,O,X,O
ISJLTOZ,X,X,O,X,X,X,O
ISJLZTO,O,X,O,X,O,X,O
ISJLZOT,O,X,O,X,O,X,O
ISJLOTZ,X,X,O,X,X,X,O
ISJLOZT,O,X,O,X,X,X,O
ISJZTLO,O,O,O,O,O,X,O
ISJZTOL,O,O,O,O,O,X,X
ISJZLTO,O,O,O,X,O,X,O
ISJZLOT,O,O,O,O,O,X,O
ISJZOTL,X,O,O,O,O,X,X
ISJZOLT,X,O,O,O,O,X,X
ISJOTLZ,X,X,O,O,O,X,X
ISJOTZL,X,X,O,O,O,X,X
ISJOLTZ,X,X,O,X,O,X,O
ISJOLZT,X,X,O,X,O,X,O
ISJOZTL,X,X,O,O,O,X,O
ISJOZLT,X,X,O,O,O,X,O
ISZTLJO,O,O,O,O,O,X,O
ISZTLOJ,O,O,O,O,O,X,O
ISZTJLO,O,O,O,O,O,X,O
ISZTJOL,O,O,X,O,O,X,X
ISZTOLJ,O,O,O,O,O,X,O
ISZTOJL,O,O,X,O,O,X,O
ISZLTJO,O,O,O,O,O,X,O
ISZLTOJ,O,O,O,O,O,X,O
ISZLJTO,O,O,O,X,O,X,O
ISZLJOT,O,O,X,O,O,X,O
ISZLOTJ,O,X,O,X,O,X,O
ISZLOJT,O,X,X,X,O,X,O
ISZJTLO,O,O,O,O,O,X,O
ISZJTOL,O,O,X,O,O,X,X
ISZJLTO,O,O,O,X,O,X,O
ISZJLOT,O,O,X,O,O,X,O
ISZJOTL,X,O,X,O,O,X,X
ISZJOLT,X,O,X,O,O,X,X
ISZOTLJ,X,O,O,O,O,X,O
ISZOTJL,X,O,X,O,O,X,O
ISZOLTJ,X,X,O,X,O,X,O
ISZOLJT,X,X,X,X,O,X,O
ISZOJTL,X,O,X,O,O,X,O
ISZOJLT,X,O,X,O,O,X,O
ISOTLJZ,X,X,O,X,X,O,X
ISOTLZJ,X,O,O,X,X,O,X
ISOTJLZ,X,X,O,X,X,O,X
ISOTJZL,X,O,O,X,X,X,X
ISOTZLJ,X,O,O,X,X,X,X
ISOTZJL,X,O,O,X,X,X,X
ISOLTJZ,X,X,O,X,X,O,O
ISOLTZJ,X,X,O,X,X,X,O
ISOLJTZ,X,X,O,X,O,O,O
ISOLJZT,X,X,O,X,O,O,O
ISOLZTJ,X,X,O,X,O,X,O
ISOLZJT,X,X,O,X,O,O,O
ISOJTLZ,X,X,O,X,O,X,X
ISOJTZL,X,X,O,X,O,X,X
ISOJLTZ,X,X,O,X,O,X,O
ISOJLZT,X,X,O,X,O,X,O
ISOJZTL,X,X,O,X,O,X,O
ISOJZLT,X,X,O,X,O,X,O
ISOZTLJ,X,O,O,X,O,X,O
ISOZTJL,X,O,O,X,O,X,O
ISOZLTJ,X,X,O,X,O,X,O
ISOZLJT,X,X,O,X,O,X,O
ISOZJTL,X,O,O,X,O,X,O
ISOZJLT,X,O,O,X,O,X,O
IZTLJSO,O,O,X,O,O,X,O
IZTLJOS,O,O,X,O,O,O,O
IZTLSJO,O,O,X,O,O,X,O
IZTLSOJ,O,O,X,O,O,X,O
IZTLOJS,O,O,X,O,X,O,O
IZTLOSJ,O,O,X,O,X,O,O
IZTJLSO,O,O,X,O,O,X,O
IZTJLOS,O,O,X,O,O,O,O
IZTJSLO,O,O,X,O,O,X,O
IZTJSOL,O,O,X,O,O,X,X
IZTJOLS,O,O,X,O,O,O,O
IZTJOSL,O,O,X,O,O,X,O
IZTSLJO,O,O,X,O,O,X,O
IZTSLOJ,O,O,X,O,O,X,O
