sequence,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbByhB3iBcoBGo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBfiBxdBSoBUo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dBOsBXtB6t?BlrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbB5jBUiBaoBfs?BlsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbBldBcjBXnBSt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBRdBcjBXnBSt?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dB6jBXnBVt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBUdB5jBlnBao?BfsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBxdBSoBVsBUo?BfsB
TISLJZO,X,O,X,X,X,X,O,O,X
TISLJOZ,X,O,X,X,X,X,O,O,X
TISLZJO,X,O,X,X,O,X,O,O,X
TISLZOJ,X,O,X,X,O,X,O,O,X
TISLOJZ,X,O,X,X,X,X,O,O,X
TISLOZJ,X,O,X,X,O,X,O,O,X
TISJLZO,X,O,O,X,X,X,O,O,X
TISJLOZ,X,O,O,X,X,X,O,O,X
TISJZLO,X,X,O,X,X,X,O,O,X
TISJZOL,X,O,O,X,X,X,O,O,X
TISJOLZ,X,O,O,X,X,X,O,O,X
TISJOZL,X,O,O,X,X,X,O,O,X
TISZLJO,O,X,X,X,X,X,O,O,X
TISZLOJ,O,X,X,X,X,X,O,O,X
TISZJLO,O,X,X,X,X,X,O,O,X
TISZJOL,O,O,X,X,X,X,O,O,X
TISZOLJ,O,X,X,X,X,X,O,O,X
TISZOJL,O,O,X,X,X,X,O,O,X
TISOLJZ,X,O,X,X,X,X,O,O,X
TISOLZJ,X,O,X,X,O,X,O,O,X
TISOJLZ,X,O,O,X,X,X,O,O,X
TISOJZL,X,O,O,X,X,X,O,O,X
TISOZLJ,O,X,X,X,X,X,O,O,X
TISOZJL,O,O,X,X,X,X,O,O,X
TIZLJSO,X,X,X,X,X,X,X,O,X
TIZLJOS,X,X,X,O,X,X,O,O,X
TIZLSJO,O,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,X,X,X,O,O,X
TIZLOJS,X,X,X,O,X,X,O,O,X
TIZLOSJ,O,X,X,X,X,X,O,O,X
TIZJLSO,X,X,X,X,X,X,X,O,X
TIZJLOS,X,X,X,O,X,X,O,O,X
TIZJSLO,O,X,X,X,X,X,X,O,X
TIZJSOL,O,X,X,X,X,X,X,O,X
TIZJOLS,X,X,X,O,X,X,O,O,X
TIZJOSL,O,X,X,X,X,X,X,O,X
TIZSLJO,O,X,X,X,X,X,X,O,X
TIZSLOJ,O,X,X,X,X,X,O,O,X
TIZSJLO,O,X,X,X,X,X,X,O,X
TIZSJOL,O,X,X,X,X,X,X,O,X
TIZSOLJ,O,X,X,X,X,X,O,O,X
TIZSOJL,O,X,X,X,X,X,X,O,X
TIZOLJS,X,X,X,O,X,X,O,O,X
TIZOLSJ,O,X,X,X,X,X,O,O,X
TIZOJLS,X,X,X,O,X,X,O,O,X
TIZOJSL,O,X,X,X,X,X,X,O,X
TIZOSLJ,O,X,X,X,X,X,O,O,X
TIZOSJL,O,X,X,X,X,X,X,O,X
TIOLJSZ,X,O,X,X,X,X,X,O,X
TIOLJZS,X,X,X,O,X,X,O,O,O
TIOLSJZ,X,O,X,X,X,X,O,O,X
TIOLSZJ,X,O,X,X,X,X,O,O,X
TIOLZJS,X,X,X,O,O,X,O,O,O
TIOLZSJ,O,X,X,X,O,X,O,O,O
TIOJLSZ,X,O,X,X,X,X,X,O,X
TIOJLZS,X,X,X,O,X,X,O,O,O
TIOJSLZ,X,O,O,X,X,X,X,O,X
TIOJSZL,X,O,O,X,X,X,X,O,X
TIOJZLS,X,X,X,O,X,X,O,O,X
TIOJZSL,O,X,X,X,X,X,X,O,X
TIOSLJZ,X,O,X,X,X,X,O,O,X
TIOSLZJ,X,O,X,X,O,X,O,O,X
TIOSJLZ,X,O,O,X,X,X,O,O,X
TIOSJZL,X,O,O,X,X,X,O,O,X
TIOSZLJ,O,X,X,X,X,X,O,O,X
TIOSZJL,O,O,X,X,X,X,O,O,X
TIOZLJS,X,X,X,O,X,X,O,O,X
TIOZLSJ,O,X,X,X,X,X,O,O,X
TIOZJLS,X,X,X,O,X,X,O,O,X
TIOZJSL,O,X,X,X,X,X,X,O,X
TIOZSLJ,O,X,X,X,X,X,O,O,X
TIOZSJL,O,X,X,X,X,X,X,O,X
TLIJSZO,X,O,X,X,X,X,X,O,X
TLIJSOZ,X,O,X,X,X,X,X,O,X
TLIJZSO,X,X,X,X,X,X,X,O,O
TLIJZOS,X,X,X,O,X,X,O,O,O
TLIJOSZ,X,O,X,X,X,X,X,O,X
TLIJOZS,X,X,X,O,X,X,O,O,O
TLISJZO,X,O,X,X,X,X,O,O,X
TLISJOZ,X,O,X,X,X,X,O,O,X
TLISZJO,X,O,X,X,X,X,O,O,X
TLISZOJ,X,O,X,X,X,X,O,O,X
TLISOJZ,X,O,X,X,X,X,O,O,X
TLISOZJ,X,O,X,X,X,X,O,O,X
TLIZJSO,X,X,X,X,X,X,X,O,O
TLIZJOS,X,X,X,O,O,X,O,O,O
TLIZSJO,O,X,X,X,O,X,X,O,O
TLIZSOJ,O,X,X,X,O,X,O,O,O
TLIZOJS,X,X,X,O,O,X,O,O,O
TLIZOSJ,O,X,X,X,O,X,O,O,O
TLIOJSZ,X,O,X,X,X,X,X,O,X
TLIOJZS,X,X,X,O,X,X,O,O,O
TLIOSJZ,X,O,X,X,X,X,O,O,X
TLIOSZJ,X,O,X,X,X,X,O,O,X
TLIOZJS,X,X,X,O,O,X,O,O,O
TLIOZSJ,O,X,X,X,O,X,O,O,O
TLJISZO,X,O,X,X,X,X,X,O,X
TLJISOZ,X,O,X,X,X,X,X,O,X
TLJIZSO,X,X,X,X,X,X,X,O,O
TLJIZOS,X,X,X,O,X,X,O,O,O
TLJIOSZ,X,O,X,X,X,X,X,O,X
TLJIOZS,X,X,X,O,X,X,O,O,O
TLJSIZO,X,O,X,X,X,X,O,X,X
TLJSIOZ,X,O,X,X,X,X,O,X,X
TLJSZIO,X,O,X,X,X,O,O,X,O
TLJSZOI,X,O,X,X,X,O,O,X,O
TLJSOIZ,X,O,X,X,X,X,O,X,X
TLJSOZI,X,O,X,X,X,O,O,X,O
TLJZISO,X,X,X,X,X,X,X,X,O
TLJZIOS,X,X,X,O,X,O,O,X,O
TLJZSIO,X,O,X,X,X,O,X,X,O
TLJZSOI,X,O,X,X,X,O,X,X,O
TLJZOIS,X,X,X,O,X,O,O,X,O
TLJZOSI,X,O,X,X,X,O,X,X,O
TLJOISZ,X,O,X,X,X,X,X,O,X
TLJOIZS,X,X,X,O,X,X,O,O,O
TLJOSIZ,X,O,X,X,X,X,O,X,X
TLJOSZI,X,O,X,X,X,O,O,X,O
TLJOZIS,X,X,X,O,X,O,O,X,O
TLJOZSI,X,O,X,X,X,O,X,X,O
TLSIJZO,X,O,X,X,X,X,O,X,X
TLSIJOZ,X,O,X,X,X,X,O,X,X
TLSIZJO,X,O,X,X,O,X,O,X,X
TLSIZOJ,X,O,X,X,O,X,O,X,X
TLSIOJZ,X,O,X,X,X,X,O,X,X
TLSIOZJ,X,O,X,X,O,X,O,X,X
TLSJIZO,X,O,X,X,X,X,O,X,X
TLSJIOZ,X,O,X,X,X,X,O,X,X
TLSJZIO,X,O,X,X,X,O,O,X,O
TLSJZOI,X,O,X,X,X,O,O,X,O
TLSJOIZ,X,O,X,X,X,X,O,X,X
TLSJOZI,X,O,X,X,X,O,O,X,O
TLSZIJO,X,O,X,X,O,O,O,X,O
TLSZIOJ,X,O,X,X,O,O,O,X,O
TLSZJIO,X,O,X,X,O,O,O,X,O
TLSZJOI,X,O,X,X,O,O,O,X,O
TLSZOIJ,X,O,X,X,O,O,O,X,O
TLSZOJI,X,O,X,X,O,O,O,X,O
TLSOIJZ,X,O,X,X,X,X,O,X,X
TLSOIZJ,X,O,X,X,O,X,O,X,X
TLSOJIZ,X,O,X,X,X,X,O,X,X
TLSOJZI,X,O,X,X,X,O,O,X,O
TLSOZIJ,X,O,X,X,O,O,O,X,O
TLSOZJI,X,O,X,X,O,O,O,X,O
TLZIJSO,X,X,X,X,X,X,X,X,O
TLZIJOS,X,X,X,O,O,O,O,X,O
TLZISJO,O,X,X,X,O,X,X,X,O
TLZISOJ,O,X,X,X,O,X,O,X,O
TLZIOJS,X,X,X,O,O,O,O,X,O
TLZIOSJ,O,X,X,X,O,X,O,X,O
TLZJISO,X,X,X,X,X,X,X,X,O
TLZJIOS,X,X,X,O,O,O,O,X,O
TLZJSIO,X,O,X,X,X,O,X,X,O
TLZJSOI,X,O,X,X,X,O,X,X,O
TLZJOIS,X,X,X,O,O,O,O,X,O
TLZJOSI,X,O,X,X,X,O,X,X,O
TLZSIJO,O,O,X,X,O,O,O,X,O
TLZSIOJ,O,O,X,X,O,O,O,X,O
TLZSJIO,O,O,X,X,O,O,O,X,O
TLZSJOI,O,O,X,X,O,O,O,X,O
TLZSOIJ,O,O,X,X,O,O,O,X,O
TLZSOJI,O,O,X,X,O,O,O,X,O
TLZOIJS,X,X,X,O,O,O,O,X,O
TLZOISJ,O,X,X,X,O,X,O,X,O
TLZOJIS,X,X,X,O,O,O,O,X,O
TLZOJSI,X,O,X,X,X,O,X,X,O
TLZOSIJ,O,O,X,X,O,O,O,X,O
TLZOSJI,O,O,X,X,O,O,O,X,O
TLOIJSZ,X,O,X,X,X,X,X,O,X
TLOIJZS,X,X,X,O,X,X,O,O,O
TLOISJZ,X,O,X,X,X,X,O,O,X
TLOISZJ,X,O,X,X,X,X,O,O,X
TLOIZJS,X,X,X,O,O,X,O,O,O
TLOIZSJ,O,X,X,X,O,X,O,O,O
TLOJISZ,X,O,X,X,X,X,X,O,X
TLOJIZS,X,X,X,O,X,X,O,O,O
TLOJSIZ,X,O,X,X,X,X,O,X,X
TLOJSZI,X,O,X,X,X,O,O,X,O
TLOJZIS,X,X,X,O,X,O,O,X,O
TLOJZSI,X,O,X,X,X,O,X,X,O
TLOSIJZ,X,O,X,X,X,X,O,X,X
TLOSIZJ,X,O,X,X,O,X,O,X,X
TLOSJIZ,X,O,X,X,X,X,O,X,X
TLOSJZI,X,O,X,X,X,O,O,X,O
TLOSZIJ,X,O,X,X,O,O,O,X,O
TLOSZJI,X,O,X,X,O,O,O,X,O
TLOZIJS,X,X,X,O,O,O,O,X,O
TLOZISJ,O,X,X,X,O,X,O,X,O
TLOZJIS,X,X,X,O,O,O,O,X,O
TLOZJSI,X,O,X,X,X,O,X,X,O
TLOZSIJ,O,O,X,X,O,O,O,X,O
TLOZSJI,O,O,X,X,O,O,O,X,O
TJILSZO,X,O,X,X,X,X,X,O,X
TJILSOZ,X,O,X,X,X,X,X,O,X
TJILZSO,X,X,X,X,X,X,X,O,O
TJILZOS,X,X,X,O,X,X,O,O,O
TJILOSZ,X,O,X,X,X,X,X,O,X
TJILOZS,X,X,X,O,X,X,O,O,O
TJISLZO,X,O,O,X,X,X,X,O,X
TJISLOZ,X,O,O,X,X,X,X,O,X
TJISZLO,X,X,O,X,X,X,X,O,X
TJISZOL,X,O,O,X,X,X,X,O,X
TJISOLZ,X,O,O,X,X,X,X,O,X
TJISOZL,X,O,O,X,X,X,X,O,X
TJIZLSO,X,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,O,X,X,O,O,X
TJIZSLO,O,X,X,X,X,X,X,O,X
TJIZSOL,O,X,X,X,X,X,X,O,X
TJIZOLS,X,X,X,O,X,X,O,O,X
TJIZOSL,O,X,X,X,X,X,X,O,X
TJIOLSZ,X,O,X,X,X,X,X,O,X
TJIOLZS,X,X,X,O,X,X,O,O,O
TJIOSLZ,X,O,O,X,X,X,X,O,X
TJIOSZL,X,O,O,X,X,X,X,O,X
TJIOZLS,X,X,X,O,X,X,O,O,X
TJIOZSL,O,X,X,X,X,X,X,O,X
TJLISZO,X,O,X,X,X,X,X,O,X
TJLISOZ,X,O,X,X,X,X,X,O,X
TJLIZSO,X,X,X,X,X,X,X,O,O
TJLIZOS,X,X,X,O,X,X,O,O,O
TJLIOSZ,X,O,X,X,X,X,X,O,X
TJLIOZS,X,X,X,O,X,X,O,O,O
TJLSIZO,X,O,X,X,X,X,O,X,X
TJLSIOZ,X,O,X,X,X,X,O,X,X
TJLSZIO,X,O,X,X,X,O,O,X,O
TJLSZOI,X,O,X,X,X,O,O,X,O
TJLSOIZ,X,O,X,X,X,X,O,X,X
TJLSOZI,X,O,X,X,X,O,O,X,O
TJLZISO,X,X,X,X,X,X,X,X,O
TJLZIOS,X,X,X,O,X,O,O,X,O
TJLZSIO,X,O,X,X,X,O,X,X,O
TJLZSOI,X,O,X,X,X,O,X,X,O
TJLZOIS,X,X,X,O,X,O,O,X,O
TJLZOSI,X,O,X,X,X,O,X,X,O
TJLOISZ,X,O,X,X,X,X,X,O,X
TJLOIZS,X,X,X,O,X,X,O,O,O
TJLOSIZ,X,O,X,X,X,X,O,X,X
TJLOSZI,X,O,X,X,X,O,O,X,O
TJLOZIS,X,X,X,O,X,O,O,X,O
TJLOZSI,X,O,X,X,X,O,X,X,O
TJSILZO,X,O,O,X,X,X,O,O,X
TJSILOZ,X,O,O,X,X,X,O,O,X
TJSIZLO,X,X,O,X,X,X,O,O,X
TJSIZOL,X,O,O,X,X,X,O,O,X
TJSIOLZ,X,O,O,X,X,X,O,O,X
TJSIOZL,X,O,O,X,X,X,O,O,X
TJSLIZO,X,O,O,X,X,X,O,X,X
TJSLIOZ,X,O,O,X,X,X,O,X,X
TJSLZIO,X,O,O,X,X,O,O,X,O
TJSLZOI,X,O,O,X,X,O,O,X,O
TJSLOIZ,X,O,O,X,X,X,O,X,X
TJSLOZI,X,O,O,X,X,O,O,X,O
TJSZILO,X,X,O,X,X,X,O,X,X
TJSZIOL,X,O,O,X,X,X,O,X,X
TJSZLIO,X,O,O,X,X,X,O,X,X
TJSZLOI,X,O,O,X,X,X,O,X,X
TJSZOIL,X,O,O,X,X,X,O,X,X
TJSZOLI,X,O,O,X,X,X,O,X,X
TJSOILZ,X,O,O,X,X,X,O,O,X
TJSOIZL,X,O,O,X,X,X,O,O,X
TJSOLIZ,X,O,O,X,X,X,O,X,X
TJSOLZI,X,O,O,X,X,O,O,X,O
TJSOZIL,X,O,O,X,X,X,O,X,X
TJSOZLI,X,O,O,X,X,X,O,X,X
TJZILSO,X,X,X,X,X,X,X,O,X
TJZILOS,X,X,X,O,X,X,O,O,X
TJZISLO,O,X,X,X,X,X,X,O,X
TJZISOL,O,X,X,X,X,X,X,O,X
TJZIOLS,X,X,X,O,X,X,O,O,X
TJZIOSL,O,X,X,X,X,X,X,O,X
TJZLISO,X,X,X,X,X,X,X,X,O
TJZLIOS,X,X,X,O,X,X,O,X,O
TJZLSIO,X,O,X,X,X,X,X,X,O
TJZLSOI,X,O,X,X,X,X,X,X,O
TJZLOIS,X,X,X,O,X,X,O,X,O
TJZLOSI,X,O,X,X,X,X,X,X,O
TJZSILO,O,X,X,X,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,X,X
TJZSLOI,O,O,X,X,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X,X
TJZSOLI,O,O,X,X,X,X,X,X,X
TJZOILS,X,X,X,O,X,X,O,O,X
TJZOISL,O,X,X,X,X,X,X,O,X
TJZOLIS,X,X,X,O,X,X,O,X,O
TJZOLSI,X,O,X,X,X,X,X,X,O
TJZOSIL,O,O,X,X,X,X,X,X,X
TJZOSLI,O,O,X,X,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,O,X
TJOILZS,X,X,X,O,X,X,O,O,O
TJOISLZ,X,O,O,X,X,X,X,O,X
TJOISZL,X,O,O,X,X,X,X,O,X
TJOIZLS,X,X,X,O,X,X,O,O,X
TJOIZSL,O,X,X,X,X,X,X,O,X
TJOLISZ,X,O,X,X,X,X,X,O,X
TJOLIZS,X,X,X,O,X,X,O,O,O
TJOLSIZ,X,O,X,X,X,X,O,X,X
TJOLSZI,X,O,X,X,X,O,O,X,O
TJOLZIS,X,X,X,O,X,O,O,X,O
TJOLZSI,X,O,X,X,X,O,X,X,O
TJOSILZ,X,O,O,X,X,X,O,O,X
TJOSIZL,X,O,O,X,X,X,O,O,X
TJOSLIZ,X,O,O,X,X,X,O,X,X
TJOSLZI,X,O,O,X,X,O,O,X,O
TJOSZIL,X,O,O,X,X,X,O,X,X
TJOSZLI,X,O,O,X,X,X,O,X,X
TJOZILS,X,X,X,O,X,X,O,O,X
TJOZISL,O,X,X,X,X,X,X,O,X
TJOZLIS,X,X,X,O,X,X,O,X,O
TJOZLSI,X,O,X,X,X,X,X,X,O
TJOZSIL,O,O,X,X,X,X,X,X,X
TJOZSLI,O,O,X,X,X,X,X,X,X
TSILJZO,X,O,X,X,X,X,O,O,X
TSILJOZ,X,O,X,X,X,X,O,O,X
TSILZJO,X,O,X,X,O,X,O,O,X
TSILZOJ,X,O,X,X,O,X,O,O,X
TSILOJZ,X,O,X,X,X,X,O,O,X
TSILOZJ,X,O,X,X,O,X,O,O,X
TSIJLZO,X,O,O,X,X,X,O,O,X
TSIJLOZ,X,O,O,X,X,X,O,O,X
TSIJZLO,X,X,O,X,X,X,O,O,X
TSIJZOL,X,O,O,X,X,X,O,O,X
TSIJOLZ,X,O,O,X,X,X,O,O,X
TSIJOZL,X,O,O,X,X,X,O,O,X
TSIZLJO,O,X,X,X,X,X,O,O,X
TSIZLOJ,O,X,X,X,X,X,O,O,X
TSIZJLO,O,X,X,X,X,X,O,O,X
TSIZJOL,O,O,X,X,X,X,O,O,X
TSIZOLJ,O,X,X,X,X,X,O,O,X
TSIZOJL,O,O,X,X,X,X,O,O,X
TSIOLJZ,X,O,X,X,X,X,O,O,X
TSIOLZJ,X,O,X,X,O,X,O,O,X
TSIOJLZ,X,O,O,X,X,X,O,O,X
TSIOJZL,X,O,O,X,X,X,O,O,X
TSIOZLJ,O,X,X,X,X,X,O,O,X
TSIOZJL,O,O,X,X,X,X,O,O,X
TSLIJZO,X,O,X,X,X,X,O,X,X
TSLIJOZ,X,O,X,X,X,X,O,X,X
TSLIZJO,X,O,X,X,O,X,O,X,X
TSLIZOJ,X,O,X,X,O,X,O,X,X
TSLIOJZ,X,O,X,X,X,X,O,X,X
TSLIOZJ,X,O,X,X,O,X,O,X,X
TSLJIZO,X,O,X,X,X,X,O,X,X
TSLJIOZ,X,O,X,X,X,X,O,X,X
TSLJZIO,X,O,X,X,X,O,O,X,O
TSLJZOI,X,O,X,X,X,O,O,X,O
TSLJOIZ,X,O,X,X,X,X,O,X,X
TSLJOZI,X,O,X,X,X,O,O,X,O
TSLZIJO,X,O,X,X,O,O,O,X,O
TSLZIOJ,X,O,X,X,O,O,O,X,O
TSLZJIO,X,O,X,X,O,O,O,X,O
TSLZJOI,X,O,X,X,O,O,O,X,O
TSLZOIJ,X,O,X,X,O,O,O,X,O
TSLZOJI,X,O,X,X,O,O,O,X,O
TSLOIJZ,X,O,X,X,X,X,O,X,X
TSLOIZJ,X,O,X,X,O,X,O,X,X
TSLOJIZ,X,O,X,X,X,X,O,X,X
TSLOJZI,X,O,X,X,X,O,O,X,O
TSLOZIJ,X,O,X,X,O,O,O,X,O
TSLOZJI,X,O,X,X,O,O,O,X,O
TSJILZO,X,O,O,X,X,X,O,O,X
TSJILOZ,X,O,O,X,X,X,O,O,X
TSJIZLO,X,X,O,X,X,X,O,O,X
TSJIZOL,X,O,O,X,X,X,O,O,X
TSJIOLZ,X,O,O,X,X,X,O,O,X
TSJIOZL,X,O,O,X,X,X,O,O,X
TSJLIZO,X,O,O,X,X,X,O,X,X
TSJLIOZ,X,O,O,X,X,X,O,X,X
TSJLZIO,X,O,O,X,X,O,O,X,O
TSJLZOI,X,O,O,X,X,O,O,X,O
TSJLOIZ,X,O,O,X,X,X,O,X,X
TSJLOZI,X,O,O,X,X,O,O,X,O
TSJZILO,X,X,O,X,X,X,O,X,X
TSJZIOL,X,O,O,X,X,X,O,X,X
TSJZLIO,X,O,O,X,X,X,O,X,X
TSJZLOI,X,O,O,X,X,X,O,X,X
TSJZOIL,X,O,O,X,X,X,O,X,X
TSJZOLI,X,O,O,X,X,X,O,X,X
TSJOILZ,X,O,O,X,X,X,O,O,X
TSJOIZL,X,O,O,X,X,X,O,O,X
TSJOLIZ,X,O,O,X,X,X,O,X,X
TSJOLZI,X,O,O,X,X,O,O,X,O
TSJOZIL,X,O,O,X,X,X,O,X,X
TSJOZLI,X,O,O,X,X,X,O,X,X
TSZILJO,O,X,X,X,X,X,O,X,X
TSZILOJ,O,X,X,X,X,X,O,X,X
TSZIJLO,O,X,X,X,X,X,O,X,X
TSZIJOL,O,O,X,X,X,X,O,X,X
TSZIOLJ,O,X,X,X,X,X,O,X,X
TSZIOJL,O,O,X,X,X,X,O,X,X
TSZLIJO,O,O,X,X,X,X,O,X,X
TSZLIOJ,O,O,X,X,X,X,O,X,X
TSZLJIO,O,O,X,X,X,X,O,X,X
TSZLJOI,O,O,X,X,X,X,O,X,X
TSZLOIJ,O,O,X,X,X,X,O,X,X
TSZLOJI,O,O,X,X,X,X,O,X,X
TSZJILO,O,X,X,X,X,X,O,X,X
TSZJIOL,O,O,X,X,X,X,O,X,X
TSZJLIO,O,O,X,X,X,X,O,X,X
TSZJLOI,O,O,X,X,X,X,O,X,X
TSZJOIL,O,O,X,X,X,X,O,X,X
TSZJOLI,O,O,X,X,X,X,O,X,X
TSZOILJ,O,X,X,X,X,X,O,X,X
TSZOIJL,O,O,X,X,X,X,O,X,X
TSZOLIJ,O,O,X,X,X,X,O,X,X
TSZOLJI,O,O,X,X,X,X,O,X,X
TSZOJIL,O,O,X,X,X,X,O,X,X
TSZOJLI,O,O,X,X,X,X,O,X,X
TSOILJZ,X,O,X,X,X,X,O,O,X
TSOILZJ,X,O,X,X,O,X,O,O,X
TSOIJLZ,X,O,O,X,X,X,O,O,X
TSOIJZL,X,O,O,X,X,X,O,O,X
TSOIZLJ,O,X,X,X,X,X,O,O,X
TSOIZJL,O,O,X,X,X,X,O,O,X
TSOLIJZ,X,O,X,X,X,X,O,X,X
TSOLIZJ,X,O,X,X,O,X,O,X,X
TSOLJIZ,X,O,X,X,X,X,O,X,X
TSOLJZI,X,O,X,X,X,O,O,X,O
TSOLZIJ,X,O,X,X,O,O,O,X,O
TSOLZJI,X,O,X,X,O,O,O,X,O
TSOJILZ,X,O,O,X,X,X,O,O,X
TSOJIZL,X,O,O,X,X,X,O,O,X
TSOJLIZ,X,O,O,X,X,X,O,X,X
TSOJLZI,X,O,O,X,X,O,O,X,O
TSOJZIL,X,O,O,X,X,X,O,X,X
TSOJZLI,X,O,O,X,X,X,O,X,X
TSOZILJ,O,X,X,X,X,X,O,X,X
TSOZIJL,O,O,X,X,X,X,O,X,X
TSOZLIJ,O,O,X,X,X,X,O,X,X
TSOZLJI,O,O,X,X,X,X,O,X,X
TSOZJIL,O,O,X,X,X,X,O,X,X
TSOZJLI,O,O,X,X,X,X,O,X,X
TZILJSO,X,X,X,X,X,X,X,O,X
TZILJOS,X,X,X,O,X,X,O,O,X
TZILSJO,O,X,X,X,X,X,X,O,X
TZILSOJ,O,X,X,X,X,X,O,O,X
TZILOJS,X,X,X,O,X,X,O,O,X
TZILOSJ,O,X,X,X,X,X,O,O,X
TZIJLSO,X,X,X,X,X,X,X,O,X
TZIJLOS,X,X,X,O,X,X,O,O,X
TZIJSLO,O,X,X,X,X,X,X,O,X
TZIJSOL,O,X,X,X,X,X,X,O,X
TZIJOLS,X,X,X,O,X,X,O,O,X
TZIJOSL,O,X,X,X,X,X,X,O,X
TZISLJO,O,X,X,X,X,X,X,O,X
TZISLOJ,O,X,X,X,X,X,O,O,X
TZISJLO,O,X,X,X,X,X,X,O,X
TZISJOL,O,X,X,X,X,X,X,O,X
TZISOLJ,O,X,X,X,X,X,O,O,X
TZISOJL,O,X,X,X,X,X,X,O,X
TZIOLJS,X,X,X,O,X,X,O,O,X
TZIOLSJ,O,X,X,X,X,X,O,O,X
TZIOJLS,X,X,X,O,X,X,O,O,X
