sequence,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFmbBCdBTgB/?nB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jez6IvhFWhBxcB/nBC?lB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFFdBzfBfmB0?hBSsBGqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhF/hBFdBOlB0?gBTnBCrB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jex8IvhFflBlgBumB8?qBTsBCqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeC7IvhF8kBRhBXhBT?iBWsBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeWAJvhFxbB/mBUiBC?lBTnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFOgB8gB3hBT?nBCnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFqkBTgBlhB8?qBXsBGsB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JefAJvhFzgBUiBCiBW?qBxrBlqB
TLSJIZO,X,O,O,O,X,X,O,X,X,X
TLSJIOZ,O,O,O,O,X,X,O,X,X,X
TLSJZIO,X,O,O,O,X,X,O,X,X,X
TLSJZOI,X,O,O,X,X,X,O,X,O,X
TLSJOIZ,O,O,O,O,X,X,O,X,X,X
TLSJOZI,O,O,O,X,X,X,O,X,X,X
TLSZIJO,O,O,O,O,X,X,O,O,X,X
TLSZIOJ,O,O,O,X,X,X,O,X,O,X
TLSZJIO,O,O,O,O,X,X,O,O,X,X
TLSZJOI,O,O,O,X,X,X,O,X,O,X
TLSZOIJ,O,O,O,X,X,X,O,X,O,X
TLSZOJI,O,O,O,X,X,X,O,X,O,X
TLSOIJZ,O,O,O,O,X,X,O,X,X,X
TLSOIZJ,O,O,O,X,X,X,O,X,X,X
TLSOJIZ,O,O,O,O,X,X,O,X,X,X
TLSOJZI,O,O,O,X,X,X,O,X,X,X
TLSOZIJ,O,O,X,X,X,X,O,X,O,X
TLSOZJI,O,O,X,X,X,X,O,X,O,X
TLZIJSO,O,O,O,O,X,O,X,O,X,X
TLZIJOS,X,O,O,X,X,O,X,X,X,X
TLZISJO,O,O,O,O,X,X,X,O,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,X,O,X
TLZIOSJ,O,O,O,X,X,X,X,X,O,X
TLZJISO,O,O,O,O,X,O,O,O,X,X
TLZJIOS,X,O,O,X,X,O,X,X,X,X
TLZJSIO,O,O,O,O,X,O,O,O,X,X
TLZJSOI,O,O,O,X,X,X,O,X,X,X
TLZJOIS,X,O,O,X,X,O,X,X,O,X
TLZJOSI,X,O,O,X,X,X,X,X,O,X
TLZSIJO,O,O,O,O,X,X,O,O,X,X
TLZSIOJ,O,O,O,X,X,X,O,X,O,X
TLZSJIO,O,O,O,O,X,O,O,O,X,X
TLZSJOI,O,O,O,X,X,X,O,X,O,X
TLZSOIJ,O,O,O,X,X,X,O,X,O,X
TLZSOJI,O,O,O,X,X,X,O,X,O,X
TLZOIJS,O,O,X,X,X,X,X,X,O,X
TLZOISJ,O,O,O,X,X,X,X,X,O,X
TLZOJIS,O,O,O,X,X,O,X,X,O,X
TLZOJSI,O,O,O,X,X,X,X,X,O,X
TLZOSIJ,O,O,O,X,X,X,X,X,O,X
TLZOSJI,O,O,O,X,X,X,X,X,O,X
TLOIJSZ,O,O,X,O,X,X,X,X,X,X
TLOIJZS,O,X,X,O,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,O,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,X
TLOJISZ,O,O,O,O,X,X,O,X,X,X
TLOJIZS,O,X,O,O,X,X,X,X,X,X
TLOJSIZ,O,O,O,O,X,X,O,X,X,X
TLOJSZI,O,O,O,O,X,X,O,X,X,X
TLOJZIS,O,O,O,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,X,X,X,X,X,X
TLOSIJZ,O,O,O,O,X,X,O,X,X,X
TLOSIZJ,O,O,O,O,X,X,O,O,X,X
TLOSJIZ,O,O,O,O,X,X,O,X,X,X
TLOSJZI,O,O,O,O,X,X,O,X,X,X
TLOSZIJ,O,O,X,O,X,X,O,O,X,X
TLOSZJI,O,O,X,O,X,X,O,O,X,X
TLOZIJS,O,O,X,O,X,X,X,X,X,X
TLOZISJ,O,O,O,O,X,X,X,X,X,X
TLOZJIS,O,O,O,O,X,X,X,X,X,X
TLOZJSI,O,O,O,O,X,X,X,X,X,X
TLOZSIJ,O,O,O,O,X,X,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,X,X,X
TJILSZO,X,X,O,O,X,X,X,X,X,X
TJILSOZ,X,X,O,O,X,X,X,X,X,X
TJILZSO,X,X,O,O,X,O,X,O,X,X
TJILZOS,X,X,O,X,X,O,X,X,X,X
TJILOSZ,X,X,O,O,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,X,X,X,X,X
TJISLZO,X,O,O,O,X,X,X,X,X,X
TJISLOZ,O,O,O,O,X,X,X,X,X,X
TJISZLO,X,X,O,X,X,O,X,O,X,X
TJISZOL,X,X,O,X,X,X,X,O,X,O
TJISOLZ,O,X,O,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,X,X,O
TJIZLSO,O,X,X,O,X,O,X,O,X,X
TJIZLOS,X,X,X,X,X,O,X,X,X,X
TJIZSLO,O,X,X,X,X,O,X,O,X,X
TJIZSOL,O,X,X,X,X,X,X,O,X,O
TJIZOLS,O,X,X,X,X,O,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,O,X,O
TJIOLSZ,O,X,O,O,X,X,X,X,X,X
TJIOLZS,O,X,O,O,X,X,X,X,X,X
TJIOSLZ,O,X,O,O,X,X,X,X,X,X
TJIOSZL,O,X,O,X,X,X,X,O,X,O
TJIOZLS,O,X,O,O,X,O,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,O,X,O
TJLISZO,X,O,O,O,X,X,O,X,X,X
TJLISOZ,X,O,O,O,X,X,O,X,X,X
TJLIZSO,X,X,O,O,X,O,O,O,X,X
TJLIZOS,X,X,O,X,X,O,X,X,X,X
TJLIOSZ,X,O,O,O,X,X,O,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X,X,X
TJLSIZO,X,O,O,O,X,X,O,X,X,X
TJLSIOZ,X,O,O,O,X,X,O,X,X,X
TJLSZIO,X,O,O,O,X,X,O,X,X,X
TJLSZOI,X,O,O,X,X,X,O,X,X,X
TJLSOIZ,X,O,O,O,X,X,O,X,X,X
TJLSOZI,X,O,O,X,X,X,O,X,X,X
TJLZISO,X,O,O,O,X,O,O,O,X,X
TJLZIOS,X,O,O,X,X,O,X,X,X,X
TJLZSIO,X,O,O,O,X,O,O,O,X,X
TJLZSOI,X,O,O,X,X,X,O,X,X,X
TJLZOIS,X,O,O,X,X,O,X,X,X,X
TJLZOSI,X,O,O,X,X,X,X,X,X,X
TJLOISZ,X,O,O,O,X,X,O,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,O,O,O,X,X,O,X,X,X
TJLOSZI,X,O,O,X,X,X,O,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X,X,X
TJLOZSI,X,O,O,X,X,X,X,X,X,X
TJSILZO,X,O,O,O,X,X,O,X,X,X
TJSILOZ,O,O,O,O,X,X,O,X,X,X
TJSIZLO,X,X,O,X,X,O,O,O,X,X
TJSIZOL,X,X,O,X,X,X,X,O,X,O
TJSIOLZ,O,X,O,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,X,X,X,X,O
TJSLIZO,X,O,O,O,X,X,O,X,X,X
TJSLIOZ,O,O,O,O,X,X,O,X,X,X
TJSLZIO,X,O,O,O,X,X,O,X,X,X
TJSLZOI,X,O,O,X,X,X,O,X,X,X
TJSLOIZ,O,O,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,X,X,X,O,X,X,X
TJSZILO,X,X,O,X,X,O,O,O,X,X
TJSZIOL,X,X,O,X,O,X,X,O,X,X
TJSZLIO,X,X,O,X,X,O,O,O,X,X
TJSZLOI,X,X,O,X,O,X,O,X,X,X
TJSZOIL,X,X,O,X,O,X,X,O,X,X
TJSZOLI,X,X,O,X,O,X,X,X,X,X
TJSOILZ,O,X,O,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,X,X,X,X,X,X,X
TJSOLZI,O,X,O,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X,X,X
TJSOZLI,O,X,O,X,X,X,X,X,X,X
TJZILSO,O,O,X,O,X,O,X,O,X,X
TJZILOS,X,O,X,X,X,O,X,X,X,X
TJZISLO,O,O,X,X,X,O,X,O,X,X
TJZISOL,O,O,X,X,X,X,X,O,X,X
TJZIOLS,O,X,X,X,X,O,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X,O,X,X
TJZLISO,O,O,O,O,X,O,X,O,X,X
TJZLIOS,X,O,O,X,X,O,X,X,X,X
TJZLSIO,O,O,O,O,X,O,X,O,X,X
TJZLSOI,O,O,O,X,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,O,X,X,X,X
TJZLOSI,X,O,O,X,X,X,X,X,X,X
TJZSILO,O,O,O,X,X,O,X,O,X,X
TJZSIOL,O,O,O,X,O,X,X,O,X,X
TJZSLIO,O,O,X,X,X,O,X,O,X,X
TJZSLOI,O,O,X,X,O,X,X,X,X,X
TJZSOIL,O,O,O,X,O,X,X,O,X,X
TJZSOLI,O,O,X,X,O,X,X,X,X,X
TJZOILS,O,X,O,X,X,O,X,X,X,X
TJZOISL,O,X,O,X,X,X,X,O,X,X
TJZOLIS,O,O,O,X,X,O,X,X,X,X
TJZOLSI,O,O,O,X,X,X,X,X,X,X
TJZOSIL,O,O,O,X,X,X,X,O,X,X
TJZOSLI,O,O,X,X,X,X,X,X,X,X
TJOILSZ,O,X,O,O,X,X,X,X,X,X
TJOILZS,O,X,O,O,X,X,X,X,X,X
TJOISLZ,O,X,O,O,X,X,X,X,X,X
TJOISZL,O,X,O,X,X,X,X,O,X,X
TJOIZLS,O,X,O,O,X,O,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,O,X,X
TJOLISZ,O,X,O,O,X,X,X,X,X,X
TJOLIZS,O,X,O,O,X,X,X,X,X,X
TJOLSIZ,O,X,O,O,X,X,X,X,X,X
TJOLSZI,O,X,O,O,X,X,X,X,X,X
TJOLZIS,O,X,O,O,X,X,X,X,X,X
TJOLZSI,O,X,O,O,X,X,X,X,X,X
TJOSILZ,O,X,O,O,X,X,X,X,X,X
TJOSIZL,O,X,O,X,X,X,X,O,X,X
TJOSLIZ,O,X,O,O,X,X,X,X,X,X
TJOSLZI,O,X,O,O,X,X,X,X,X,X
TJOSZIL,O,X,O,X,X,X,X,O,X,X
TJOSZLI,O,X,O,X,X,X,X,O,X,X
TJOZILS,O,X,O,O,X,O,X,X,X,X
TJOZISL,O,X,O,X,X,X,X,O,X,X
TJOZLIS,O,X,O,O,X,O,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X,O,X,X
TJOZSLI,O,X,X,X,X,X,X,X,X,X
TSILJZO,X,O,O,O,X,X,O,X,X,X
TSILJOZ,O,O,O,O,X,X,O,X,X,X
TSILZJO,O,O,O,O,X,X,O,O,X,X
TSILZOJ,O,O,O,X,X,X,O,X,O,X
TSILOJZ,O,O,O,O,X,X,O,X,X,X
TSILOZJ,O,O,O,X,X,X,O,X,X,X
TSIJLZO,X,O,O,O,X,X,O,X,X,X
TSIJLOZ,O,O,O,O,X,X,O,X,X,X
TSIJZLO,X,X,O,X,X,X,O,O,X,X
TSIJZOL,X,X,O,X,X,X,X,O,X,X
TSIJOLZ,O,X,O,X,X,X,X,X,X,X
TSIJOZL,O,X,O,X,X,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,O,O,X,X
TSIZLOJ,O,O,O,X,X,X,O,X,O,X
TSIZJLO,O,O,O,X,X,X,O,O,X,X
TSIZJOL,O,O,O,X,X,X,X,O,X,X
TSIZOLJ,O,O,X,X,X,X,O,X,X,X
TSIZOJL,O,O,O,X,X,X,X,O,X,X
TSIOLJZ,O,O,O,O,X,X,O,X,X,X
TSIOLZJ,O,O,O,O,X,X,O,O,X,X
TSIOJLZ,O,X,O,O,X,X,X,X,X,X
TSIOJZL,O,X,O,X,X,X,X,O,X,X
TSIOZLJ,O,X,X,X,X,X,O,O,X,X
TSIOZJL,O,X,O,X,X,X,X,O,X,X
TSLIJZO,X,O,O,O,X,X,O,X,X,X
TSLIJOZ,O,O,O,O,X,X,O,X,X,X
TSLIZJO,O,O,O,O,X,X,O,O,X,X
TSLIZOJ,O,O,O,X,X,X,O,X,O,X
TSLIOJZ,O,O,O,O,X,X,O,X,X,X
TSLIOZJ,O,O,O,X,X,X,O,X,X,X
TSLJIZO,X,O,O,O,X,X,O,X,X,X
TSLJIOZ,O,O,O,O,X,X,O,X,X,X
TSLJZIO,X,O,O,O,X,X,O,X,X,X
TSLJZOI,X,O,O,X,X,X,O,X,O,X
TSLJOIZ,O,O,O,O,X,X,O,X,X,X
TSLJOZI,O,O,O,X,X,X,O,X,X,X
TSLZIJO,O,O,O,O,X,X,O,O,X,X
TSLZIOJ,O,O,O,X,X,X,O,X,O,X
TSLZJIO,O,O,O,O,X,X,O,O,X,X
TSLZJOI,O,O,O,X,X,X,O,X,O,X
TSLZOIJ,O,O,O,X,X,X,O,X,O,X
TSLZOJI,O,O,O,X,X,X,O,X,O,X
TSLOIJZ,O,O,O,O,X,X,O,X,X,X
TSLOIZJ,O,O,O,X,X,X,O,X,X,X
TSLOJIZ,O,O,O,O,X,X,O,X,X,X
TSLOJZI,O,O,O,X,X,X,O,X,X,X
TSLOZIJ,O,O,X,X,X,X,O,X,O,X
TSLOZJI,O,O,X,X,X,X,O,X,O,X
TSJILZO,X,O,O,O,X,X,O,X,X,X
TSJILOZ,O,O,O,O,X,X,O,X,X,X
TSJIZLO,X,X,O,X,X,O,O,O,X,X
TSJIZOL,X,X,O,X,X,X,X,O,X,X
TSJIOLZ,O,X,O,X,X,X,X,X,X,X
TSJIOZL,O,X,O,X,X,X,X,X,X,X
TSJLIZO,X,O,O,O,X,X,O,X,X,X
TSJLIOZ,O,O,O,O,X,X,O,X,X,X
TSJLZIO,X,O,O,O,X,X,O,X,X,X
TSJLZOI,X,O,O,X,X,X,O,X,O,X
TSJLOIZ,O,O,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,X,X,X,O,X,X,X
TSJZILO,X,X,O,X,X,O,O,O,X,X
TSJZIOL,X,X,O,X,O,X,X,O,X,X
TSJZLIO,X,X,O,X,X,O,O,O,X,X
TSJZLOI,X,X,O,X,O,X,O,X,O,X
TSJZOIL,X,X,O,X,O,X,X,O,X,X
TSJZOLI,X,X,O,X,O,X,X,X,X,X
TSJOILZ,O,X,O,X,X,X,X,X,X,X
TSJOIZL,O,X,O,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,X,X,X,X,X,X,X
TSJOLZI,O,X,O,X,X,X,X,X,X,X
TSJOZIL,O,X,O,X,X,X,X,X,X,X
TSJOZLI,O,X,O,X,X,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,O,O,X,X
TSZILOJ,O,O,O,X,X,X,O,X,O,X
TSZIJLO,O,O,O,X,X,X,O,O,X,X
TSZIJOL,O,O,O,X,O,X,X,O,X,X
TSZIOLJ,O,O,X,X,X,X,O,X,X,X
TSZIOJL,O,O,O,X,O,X,X,O,X,X
TSZLIJO,O,O,O,X,X,X,O,O,X,X
TSZLIOJ,O,O,X,X,X,X,O,X,O,X
TSZLJIO,O,O,O,X,X,O,O,O,X,X
TSZLJOI,O,O,O,X,O,X,O,X,O,X
TSZLOIJ,O,O,X,X,X,X,O,X,O,X
TSZLOJI,O,O,X,X,O,X,O,X,O,X
TSZJILO,O,O,O,X,X,O,O,O,X,X
TSZJIOL,O,O,O,X,O,X,X,O,X,X
TSZJLIO,O,O,O,X,X,O,O,O,X,X
TSZJLOI,O,O,O,X,O,X,O,X,O,X
TSZJOIL,O,O,O,X,O,X,X,O,X,X
TSZJOLI,O,O,O,X,O,X,X,X,X,X
TSZOILJ,O,O,X,X,X,X,O,X,X,X
TSZOIJL,O,O,O,X,O,X,X,O,X,X
TSZOLIJ,O,O,X,X,X,X,O,X,O,X
TSZOLJI,O,O,X,X,O,X,O,X,O,X
TSZOJIL,O,O,O,X,O,X,X,O,X,X
TSZOJLI,O,O,O,X,O,X,X,X,X,X
TSOILJZ,O,O,O,O,X,X,O,X,X,X
TSOILZJ,O,O,O,O,X,X,O,O,X,X
TSOIJLZ,O,X,O,O,X,X,X,X,X,X
