sequence,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeR7IvhF3cB1iB?6jBzfBWmB0qB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeF7IvhF0cBxdB?flBGjBCmBzqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFRcB1iB?6jBWmBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeqAJvhFxdBzfB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhF0dB6jB?lhBRlB+lBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFxdBlhB?GjBUlBfrBCrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeWAJvhF0dB6jB?lhBRlBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFFcBxdB?3hBGjBUlBqqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFqgBxdB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFxdB0gB?lhBGjBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFTbBXhB?xiBlhBGjB0qB
TLSZJOI,O,O,O,X,X,X,X,X,O,O,X
TLSZOIJ,O,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X,O,X,X
TLSOIJZ,O,X,X,X,X,X,X,X,X,X,O
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,O
TLSOJIZ,O,O,X,O,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,X,O,X,O,X,O,O,X
TLZIJOS,O,X,O,X,O,X,O,X,O,O,X
TLZISJO,O,O,O,X,O,X,O,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X,X,X,X,O
TLZIOJS,O,X,O,X,O,X,O,X,O,X,X
TLZIOSJ,O,X,O,X,O,X,X,X,X,X,O
TLZJISO,O,O,O,X,O,X,O,X,O,O,X
TLZJIOS,O,X,O,O,O,X,O,X,O,O,X
TLZJSIO,O,O,O,X,X,X,X,X,O,O,X
TLZJSOI,O,O,O,X,X,X,X,X,O,O,X
TLZJOIS,O,X,O,O,X,X,X,X,O,O,X
TLZJOSI,O,X,O,O,X,X,X,X,O,O,X
TLZSIJO,O,O,O,X,O,X,O,X,X,X,X
TLZSIOJ,O,O,O,X,O,X,X,X,X,X,O
TLZSJIO,O,O,O,X,X,X,X,X,O,O,X
TLZSJOI,O,O,O,X,X,X,X,X,O,O,X
TLZSOIJ,O,O,O,X,X,X,X,X,X,X,O
TLZSOJI,O,O,O,X,X,X,X,X,O,X,X
TLZOIJS,O,X,O,X,O,X,O,X,O,X,X
TLZOISJ,O,X,O,X,O,X,X,X,X,X,O
TLZOJIS,O,X,O,O,X,X,X,X,O,O,X
TLZOJSI,O,X,O,O,X,X,X,X,O,O,X
TLZOSIJ,O,X,O,X,X,X,X,X,X,X,O
TLZOSJI,O,X,O,X,X,X,X,X,O,X,X
TLOIJSZ,O,X,X,O,O,X,X,X,X,X,X
TLOIJZS,O,X,O,O,O,X,O,X,X,X,X
TLOISJZ,O,X,X,X,O,X,X,X,X,X,O
TLOISZJ,O,X,X,X,O,X,X,X,X,X,O
TLOIZJS,O,X,O,X,O,X,O,X,X,X,X
TLOIZSJ,O,X,O,X,O,X,X,X,X,X,X
TLOJISZ,O,X,X,O,X,X,X,X,X,X,X
TLOJIZS,O,X,O,O,X,X,X,X,O,O,X
TLOJSIZ,O,X,X,O,X,X,X,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,X,O,O,X,X,X,X,O,O,X
TLOJZSI,O,X,O,O,X,X,X,X,O,O,X
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,O
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,O
TLOSJIZ,O,X,X,O,X,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,O,X,O,X,O,X,O,X,X
TLOZISJ,O,X,O,X,O,X,X,X,X,X,X
TLOZJIS,O,X,O,O,X,X,X,X,O,O,X
TLOZJSI,O,X,O,O,X,X,X,X,O,O,X
TLOZSIJ,O,X,O,X,X,X,X,X,X,X,X
TLOZSJI,O,X,O,X,X,X,X,X,O,X,X
TJILSZO,O,O,O,X,O,X,O,X,O,O,X
TJILSOZ,O,O,X,O,O,X,X,X,X,X,X
TJILZSO,O,O,O,X,O,X,O,X,O,O,X
TJILZOS,X,X,O,O,O,X,O,X,O,O,X
TJILOSZ,O,X,X,O,O,X,X,X,X,X,X
TJILOZS,O,X,O,O,O,X,O,X,O,O,X
TJISLZO,O,O,O,X,X,X,O,X,O,O,X
TJISLOZ,O,O,X,O,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,O,O,X,X,X
TJISZOL,X,O,O,X,X,X,X,X,X,X,X
TJISOLZ,O,O,X,O,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,O,X,O,O,O,O,X
TJIZLOS,X,X,O,O,O,X,O,O,O,O,X
TJIZSLO,O,O,O,X,X,O,O,O,X,X,X
TJIZSOL,X,O,O,X,X,O,X,X,X,X,X
TJIZOLS,X,X,O,O,O,X,O,O,X,X,X
TJIZOSL,X,X,O,X,X,O,X,X,X,X,X
TJIOLSZ,O,X,X,O,O,X,X,X,X,X,X
TJIOLZS,O,X,O,O,O,X,O,X,O,O,X
TJIOSLZ,O,X,X,O,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,O,O,X,O,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,X,O,X,O,X,O,O,X
TJLISOZ,O,O,X,O,O,X,X,X,X,X,X
TJLIZSO,O,O,O,X,O,X,O,X,O,O,X
TJLIZOS,X,X,O,O,O,X,O,X,O,O,X
TJLIOSZ,O,X,X,O,O,X,X,X,X,X,X
TJLIOZS,O,X,O,O,O,X,O,X,O,O,X
TJLSIZO,O,O,O,X,X,X,X,X,O,O,X
TJLSIOZ,O,O,X,O,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X,X,O,O,X
TJLSZOI,O,O,O,X,X,X,X,X,O,O,X
TJLSOIZ,O,O,X,O,X,X,X,X,X,X,X
TJLSOZI,O,O,X,O,X,X,X,X,X,X,X
TJLZISO,O,O,O,X,O,X,O,X,O,O,X
TJLZIOS,O,X,O,O,O,X,O,X,O,O,X
TJLZSIO,O,O,O,X,X,X,X,X,O,O,X
TJLZSOI,O,O,O,X,X,X,X,X,O,O,X
TJLZOIS,O,X,O,O,X,X,X,X,O,O,X
TJLZOSI,O,X,O,O,X,X,X,X,O,O,X
TJLOISZ,O,X,X,O,X,X,X,X,X,X,X
TJLOIZS,O,X,O,O,X,X,X,X,O,O,X
TJLOSIZ,O,X,X,O,X,X,X,X,X,X,X
TJLOSZI,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X,O,O,X
TJLOZSI,O,X,O,O,X,X,X,X,O,O,X
TJSILZO,O,O,O,X,X,X,X,X,O,O,X
TJSILOZ,O,O,X,O,X,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X,O,X,X,X
TJSIZOL,X,O,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,O,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,X,X,X,X,O,O,X
TJSLIOZ,O,O,X,O,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,X,O,O,X
TJSLZOI,O,O,O,X,X,X,X,X,O,O,X
TJSLOIZ,O,O,X,O,X,X,X,X,X,X,X
TJSLOZI,O,O,X,O,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,O,X,X,X
TJSZIOL,X,O,O,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,O,X,X,X
TJSZLOI,O,O,O,X,X,X,X,O,X,X,X
TJSZOIL,O,O,O,X,X,X,X,X,X,X,X
TJSZOLI,O,X,O,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,O,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,O,O,X,O,X,O,O,O,O,X
TJZILOS,O,X,O,O,O,X,O,O,O,O,X
TJZISLO,O,O,O,X,X,O,O,O,X,X,X
TJZISOL,O,O,O,X,X,O,X,X,X,X,X
TJZIOLS,O,X,O,O,O,X,O,O,X,X,X
TJZIOSL,O,X,O,X,X,O,X,X,X,X,X
TJZLISO,O,O,O,X,O,X,O,O,O,O,X
TJZLIOS,O,X,O,O,O,X,O,O,O,O,X
TJZLSIO,O,O,O,X,X,X,X,O,O,O,X
TJZLSOI,O,O,O,X,X,X,X,O,O,O,X
TJZLOIS,O,X,O,O,X,X,X,O,O,O,X
TJZLOSI,O,X,O,O,X,X,X,O,O,O,X
TJZSILO,O,O,O,X,X,O,X,O,X,X,X
TJZSIOL,O,O,O,X,X,O,X,X,X,X,X
TJZSLIO,O,O,O,X,X,O,X,O,X,X,X
TJZSLOI,O,O,O,X,X,O,X,O,X,X,X
TJZSOIL,O,O,O,X,X,O,X,X,X,X,X
TJZSOLI,O,X,O,X,X,O,X,X,X,X,X
TJZOILS,O,X,O,O,X,X,X,O,X,X,X
TJZOISL,O,X,O,X,X,O,X,X,X,X,X
TJZOLIS,O,X,O,O,X,X,X,O,X,X,X
TJZOLSI,O,X,O,O,X,X,X,O,X,X,X
TJZOSIL,O,X,O,X,X,O,X,X,X,X,X
TJZOSLI,O,X,O,X,X,O,X,X,X,X,X
TJOILSZ,O,X,X,O,X,X,X,X,X,X,X
TJOILZS,O,X,O,O,X,X,X,X,O,O,X
TJOISLZ,O,X,X,O,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,O,O,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,X,X,X,X
TJOLISZ,O,X,X,O,X,X,X,X,X,X,X
TJOLIZS,O,X,O,O,X,X,X,X,O,O,X
TJOLSIZ,O,X,X,O,X,X,X,X,X,X,X
TJOLSZI,O,X,X,O,X,X,X,X,X,X,X
TJOLZIS,O,X,O,O,X,X,X,X,O,O,X
TJOLZSI,O,X,O,O,X,X,X,X,O,O,X
TJOSILZ,O,X,X,O,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,O,X,X,X,X,X,X,X
TJOSLZI,O,X,X,O,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,O,O,X,X,X,X,X,X,X
TJOZISL,O,X,O,X,X,X,X,X,X,X,X
TJOZLIS,O,X,O,O,X,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X,X,X,X,X
TJOZSLI,O,X,O,X,X,X,X,X,X,X,X
TSILJZO,O,O,O,X,O,X,O,X,X,X,X
TSILJOZ,O,O,X,X,O,X,X,X,X,X,X
TSILZJO,O,O,O,X,O,X,O,X,X,X,X
TSILZOJ,O,O,O,X,O,X,X,X,X,X,X
TSILOJZ,O,X,X,X,O,X,X,X,X,X,O
TSILOZJ,O,X,X,X,O,X,X,X,X,X,O
TSIJLZO,O,O,O,X,X,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X
TSIJZLO,O,O,O,X,X,X,O,X,X,X,X
TSIJZOL,X,O,O,X,X,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,X,X,X,X
TSIZLJO,O,O,O,X,O,X,O,O,X,X,X
TSIZLOJ,O,O,O,X,O,X,X,O,X,X,X
TSIZJLO,X,O,O,X,X,X,O,X,X,X,X
TSIZJOL,X,O,O,X,X,X,X,X,X,X,X
TSIZOLJ,X,O,O,X,O,X,X,X,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,O,X,X,X,X,X,X
TSIOLZJ,O,X,X,X,O,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,O,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X,X,X,X,X,X
TSLIJZO,O,O,O,X,O,X,O,X,X,X,X
TSLIJOZ,O,O,X,X,O,X,X,X,X,X,X
TSLIZJO,O,O,O,X,O,X,O,X,X,X,X
TSLIZOJ,O,O,O,X,O,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,O,X,X,X,X,X,O
TSLIOZJ,O,X,X,X,O,X,X,X,X,X,O
TSLJIZO,O,O,O,X,X,X,X,X,O,O,X
TSLJIOZ,O,O,X,O,X,X,X,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X,X,O,O,X
TSLJZOI,O,O,O,X,X,X,X,X,O,O,X
TSLJOIZ,O,O,X,O,X,X,X,X,X,X,X
TSLJOZI,O,O,X,O,X,X,X,X,X,X,X
TSLZIJO,O,O,O,X,O,X,O,X,X,X,X
TSLZIOJ,O,O,O,X,O,X,X,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X,O,O,X
TSLZJOI,O,O,O,X,X,X,X,X,O,O,X
