sequence,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeR7IvhF3cB1iB?6jBzfBWmB0qB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeF7IvhF0cBxdB?flBGjBCmBzqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFRcB1iB?6jBWmBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeqAJvhFxdBzfB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhF0dB6jB?lhBRlB+lBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFxdBlhB?GjBUlBfrBCrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeWAJvhF0dB6jB?lhBRlBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFFcBxdB?3hBGjBUlBqqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFqgBxdB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFxdB0gB?lhBGjBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFTbBXhB?xiBlhBGjB0qB
ILTJZSO,O,X,O,X,O,X,O,X,O,O,X
ILTJZOS,X,X,O,O,O,X,O,X,O,O,X
ILTJOSZ,O,X,X,O,O,X,X,X,X,X,X
ILTJOZS,O,X,O,O,O,X,O,X,O,O,X
ILTSJZO,O,X,O,X,O,X,O,X,X,X,X
ILTSJOZ,O,X,X,X,O,X,X,X,X,X,X
ILTSZJO,O,X,O,X,O,X,O,X,X,X,X
ILTSZOJ,O,X,O,X,O,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,O,X,X,X,X,X,O
ILTSOZJ,O,X,X,X,O,X,X,X,X,X,O
ILTZJSO,O,X,O,X,O,X,O,X,O,O,X
ILTZJOS,O,X,O,X,O,X,O,X,O,O,X
ILTZSJO,O,X,O,X,O,X,O,X,X,X,X
ILTZSOJ,O,X,O,X,O,X,X,X,X,X,O
ILTZOJS,O,X,O,X,O,X,O,X,O,X,X
ILTZOSJ,O,X,O,X,O,X,X,X,X,X,O
ILTOJSZ,O,X,X,O,O,X,X,X,X,X,X
ILTOJZS,O,X,O,O,O,X,O,X,X,X,X
ILTOSJZ,O,X,X,X,O,X,X,X,X,X,O
ILTOSZJ,O,X,X,X,O,X,X,X,X,X,O
ILTOZJS,O,X,O,X,O,X,O,X,X,X,X
ILTOZSJ,O,X,O,X,O,X,X,X,X,X,X
ILJTSZO,O,O,O,X,O,X,O,X,O,O,X
ILJTSOZ,O,O,X,O,O,X,X,X,X,X,X
ILJTZSO,O,O,O,X,O,X,O,X,O,O,X
ILJTZOS,X,X,O,O,O,X,O,X,O,O,X
ILJTOSZ,O,X,X,O,O,X,X,X,X,X,X
ILJTOZS,O,X,O,O,O,X,O,X,O,O,X
ILJSTZO,O,O,X,X,X,X,O,X,O,O,X
ILJSTOZ,O,O,X,O,X,X,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X,O,X,O,O,X
ILJSZOT,X,O,X,X,X,X,X,X,O,X,X
ILJSOTZ,X,O,X,O,X,X,X,X,X,X,O
ILJSOZT,X,O,X,X,X,X,X,X,X,X,O
ILJZTSO,O,O,O,X,O,X,O,X,O,O,X
ILJZTOS,X,X,O,O,O,X,O,X,O,O,X
ILJZSTO,X,O,X,X,X,X,O,X,O,O,X
ILJZSOT,X,O,X,X,X,X,X,X,O,X,O
ILJZOTS,X,X,O,O,O,X,O,X,O,O,X
ILJZOST,X,O,X,X,X,X,X,X,O,X,O
ILJOTSZ,O,X,X,O,O,X,X,X,X,X,X
ILJOTZS,O,X,X,O,O,X,O,X,O,O,X
ILJOSTZ,O,O,X,O,X,X,X,X,X,X,O
ILJOSZT,X,O,X,X,X,X,X,X,X,X,O
ILJOZTS,O,X,X,O,O,X,O,X,O,O,X
ILJOZST,X,O,X,X,X,X,X,X,O,X,X
ILSTJZO,X,O,X,X,O,X,O,X,X,X,X
ILSTJOZ,X,O,X,X,O,X,X,X,X,X,X
ILSTZJO,X,O,X,X,O,X,O,X,X,X,X
ILSTZOJ,X,O,X,X,O,X,X,X,X,X,X
ILSTOJZ,X,X,X,X,O,X,X,X,X,X,O
ILSTOZJ,X,X,X,X,O,X,X,X,X,X,O
ILSJTZO,X,O,X,X,X,X,O,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X,O,X,X,X,X
ILSJZOT,X,O,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X,X,O
ILSJOZT,X,O,X,X,X,X,X,X,X,X,O
ILSZTJO,X,O,X,X,O,X,O,X,X,X,X
ILSZTOJ,X,O,X,X,O,X,X,X,X,X,O
ILSZJTO,X,O,X,X,X,X,O,X,X,X,X
ILSZJOT,X,O,X,X,X,X,X,X,X,X,O
ILSZOTJ,X,O,X,X,O,X,X,X,X,X,O
ILSZOJT,X,X,X,X,X,X,X,X,X,X,O
ILSOTJZ,X,X,X,X,O,X,X,X,X,X,O
ILSOTZJ,X,X,X,X,O,X,X,X,X,X,O
ILSOJTZ,X,X,X,X,X,X,X,X,X,X,O
ILSOJZT,X,X,X,X,X,X,X,X,X,X,O
ILSOZTJ,X,X,X,X,O,X,X,X,X,X,O
ILSOZJT,X,X,X,X,X,X,X,X,X,X,O
ILZTJSO,O,X,O,X,O,X,O,X,O,O,X
ILZTJOS,O,X,O,X,O,X,O,X,O,O,X
ILZTSJO,O,O,O,X,O,X,O,X,X,X,X
ILZTSOJ,O,O,O,X,O,X,X,X,X,X,O
ILZTOJS,O,X,O,X,O,X,O,X,O,X,X
ILZTOSJ,O,X,O,X,O,X,X,X,X,X,O
ILZJTSO,O,O,O,X,O,X,O,X,O,O,X
ILZJTOS,O,X,O,X,O,X,O,X,O,O,X
ILZJSTO,O,O,X,X,X,X,O,X,O,O,X
ILZJSOT,X,O,X,X,X,X,X,X,O,X,O
ILZJOTS,O,X,O,X,O,X,O,X,O,O,X
ILZJOST,O,O,X,X,X,X,X,X,O,X,O
ILZSTJO,X,O,X,X,O,X,O,X,X,X,X
ILZSTOJ,X,O,X,X,O,X,X,X,X,X,O
ILZSJTO,X,O,X,X,X,X,O,X,X,X,X
ILZSJOT,X,O,X,X,X,X,X,X,X,X,O
ILZSOTJ,X,O,X,X,O,X,X,X,X,X,O
ILZSOJT,X,X,X,X,X,X,X,X,X,X,O
ILZOTJS,O,X,O,X,O,X,O,X,O,X,X
ILZOTSJ,O,X,O,X,O,X,X,X,X,X,O
ILZOJTS,O,X,O,X,O,X,O,X,O,X,X
ILZOJST,O,X,X,X,X,X,X,X,O,X,O
ILZOSTJ,O,O,X,X,O,X,X,X,X,X,O
ILZOSJT,O,X,X,X,X,X,X,X,X,X,O
ILOTJSZ,O,X,X,O,O,X,X,X,X,X,X
ILOTJZS,O,X,X,O,O,X,O,X,X,X,X
ILOTSJZ,O,X,X,X,O,X,X,X,X,X,O
ILOTSZJ,O,X,X,X,O,X,X,X,X,X,O
ILOTZJS,O,X,X,X,O,X,O,X,X,X,X
ILOTZSJ,O,X,X,X,O,X,X,X,X,X,X
ILOJTSZ,O,X,X,O,O,X,X,X,X,X,X
ILOJTZS,O,X,X,O,O,X,O,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X,X,X,O
ILOJSZT,X,X,X,X,X,X,X,X,X,X,O
ILOJZTS,O,X,X,O,O,X,O,X,X,X,X
ILOJZST,O,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,X,O,X,X,X,X,X,O
ILOSTZJ,O,X,X,X,O,X,X,X,X,X,O
ILOSJTZ,O,X,X,X,X,X,X,X,X,X,O
ILOSJZT,X,X,X,X,X,X,X,X,X,X,O
ILOSZTJ,O,X,X,X,O,X,X,X,X,X,O
ILOSZJT,O,X,X,X,X,X,X,X,X,X,O
ILOZTJS,O,X,X,X,O,X,O,X,X,X,X
ILOZTSJ,O,X,X,X,O,X,X,X,X,X,O
ILOZJTS,O,X,X,X,O,X,O,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,X,O
ILOZSTJ,O,X,X,X,O,X,X,X,X,X,O
ILOZSJT,O,X,X,X,X,X,X,X,X,X,O
IJTLSZO,O,O,O,X,O,X,O,X,O,O,X
IJTLSOZ,O,O,X,O,O,X,X,X,X,X,X
IJTLZSO,O,O,O,X,O,X,O,X,O,O,X
IJTLZOS,X,X,O,O,O,X,O,X,O,O,X
IJTLOSZ,O,X,X,O,O,X,X,X,X,X,X
IJTLOZS,O,X,O,O,O,X,O,X,O,O,X
IJTSLZO,O,O,O,X,X,X,O,X,O,O,X
IJTSLOZ,O,O,X,O,X,X,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,O,O,X,X,X
IJTSZOL,X,O,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,O,X,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,O,X,O,X,O,O,O,O,X
IJTZLOS,X,X,O,O,O,X,O,O,O,O,X
IJTZSLO,O,O,O,X,X,O,O,O,X,X,X
IJTZSOL,X,O,O,X,X,O,X,X,X,X,X
IJTZOLS,X,X,O,O,O,X,O,O,X,X,X
IJTZOSL,X,X,O,X,X,O,X,X,X,X,X
IJTOLSZ,O,X,X,O,O,X,X,X,X,X,X
IJTOLZS,O,X,O,O,O,X,O,X,O,O,X
IJTOSLZ,O,X,X,O,X,X,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,X,X,X,X,X
IJTOZLS,O,X,O,O,O,X,O,X,X,X,X
IJTOZSL,O,X,O,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,X,O,X,O,X,O,O,X
IJLTSOZ,O,O,X,O,O,X,X,X,X,X,X
IJLTZSO,O,O,O,X,O,X,O,X,O,O,X
IJLTZOS,X,X,O,O,O,X,O,X,O,O,X
IJLTOSZ,O,X,X,O,O,X,X,X,X,X,X
IJLTOZS,O,X,O,O,O,X,O,X,O,O,X
IJLSTZO,O,O,X,X,X,X,O,X,O,O,X
IJLSTOZ,O,O,X,O,X,X,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X,O,O,O,O,X
IJLSZOT,X,O,X,X,X,X,X,O,O,X,X
IJLSOTZ,X,O,X,O,X,X,X,X,X,X,O
IJLSOZT,X,O,X,X,X,X,X,X,X,X,O
IJLZTSO,O,O,O,X,O,X,O,O,O,O,X
IJLZTOS,X,X,O,O,O,X,O,O,O,O,X
IJLZSTO,X,O,X,X,X,O,O,O,O,O,X
IJLZSOT,X,O,X,X,X,O,X,O,O,X,O
IJLZOTS,X,X,O,O,O,X,O,O,O,O,X
IJLZOST,X,O,X,X,X,O,X,O,O,X,O
IJLOTSZ,O,X,X,O,O,X,X,X,X,X,X
IJLOTZS,O,X,X,O,O,X,O,X,O,O,X
IJLOSTZ,O,O,X,O,X,X,X,X,X,X,O
IJLOSZT,X,O,X,X,X,X,X,X,X,X,O
IJLOZTS,O,X,X,O,O,X,O,X,O,O,X
IJLOZST,X,O,X,X,X,X,X,X,O,X,X
IJSTLZO,O,O,O,X,X,X,O,X,O,O,X
IJSTLOZ,O,O,X,O,X,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,O,O,X,X,X
IJSTZOL,X,O,O,X,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,O,X,X,X,X,X,X,X
IJSTOZL,O,O,X,X,X,X,X,X,X,X,X
IJSLTZO,O,O,X,X,X,X,O,X,O,O,X
IJSLTOZ,O,O,X,O,X,X,X,X,X,X,X
IJSLZTO,X,O,X,X,X,X,O,O,O,O,X
IJSLZOT,X,O,X,X,X,X,X,O,O,X,X
IJSLOTZ,X,O,X,O,X,X,X,X,X,X,O
IJSLOZT,X,O,X,X,X,X,X,X,X,X,O
IJSZTLO,O,O,O,X,X,O,O,O,X,X,X
IJSZTOL,X,O,O,X,X,O,X,X,X,X,X
IJSZLTO,X,O,X,X,X,O,O,O,X,X,X
IJSZLOT,X,O,X,X,X,O,X,O,X,X,X
IJSZOTL,X,O,O,X,X,O,X,X,X,X,X
IJSZOLT,X,O,X,X,X,O,X,O,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X,X,X,X
IJSOLZT,X,O,X,X,X,X,X,X,X,X,X
IJSOZTL,O,O,X,X,X,X,X,X,X,X,X
IJSOZLT,X,O,X,X,X,X,X,O,X,X,X
IJZTLSO,O,O,O,X,O,X,O,O,O,O,X
IJZTLOS,X,X,O,O,O,X,O,O,O,O,X
IJZTSLO,O,O,O,X,X,O,O,O,X,X,X
IJZTSOL,X,O,O,X,X,O,X,X,X,X,X
IJZTOLS,X,X,O,O,O,X,O,O,X,X,X
IJZTOSL,X,X,O,X,X,O,X,X,X,X,X
IJZLTSO,O,O,O,X,O,X,O,O,O,O,X
IJZLTOS,X,X,O,O,O,X,O,O,O,O,X
IJZLSTO,X,O,X,X,X,O,O,O,O,O,X
IJZLSOT,X,O,X,X,X,O,X,O,O,X,O
IJZLOTS,X,X,O,O,O,X,O,O,O,O,X
IJZLOST,X,O,X,X,X,O,X,O,O,X,O
IJZSTLO,O,O,O,X,X,O,O,O,X,X,X
IJZSTOL,X,O,O,X,X,O,X,X,X,X,X
IJZSLTO,X,O,X,X,X,O,O,O,X,X,X
IJZSLOT,X,O,X,X,X,O,X,O,X,X,O
IJZSOTL,X,O,O,X,X,O,X,X,X,X,X
IJZSOLT,X,O,X,X,X,O,X,O,X,X,X
IJZOTLS,X,X,O,O,O,X,O,O,X,X,X
IJZOTSL,X,X,O,X,X,O,X,X,X,X,X
IJZOLTS,X,X,O,O,O,X,O,O,X,X,X
IJZOLST,X,O,X,X,X,O,X,O,X,X,X
IJZOSTL,X,O,O,X,X,O,X,X,X,X,X
IJZOSLT,X,O,X,X,X,O,X,O,X,X,X
IJOTLSZ,O,X,X,O,O,X,X,X,X,X,X
IJOTLZS,O,X,O,O,O,X,O,X,O,O,X
IJOTSLZ,O,X,X,O,X,X,X,X,X,X,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,X,O,O,O,X,O,X,X,X,X
IJOTZSL,O,X,O,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,O,O,X,X,X,X,X,X
IJOLTZS,O,X,X,O,O,X,O,X,O,O,X
IJOLSTZ,O,O,X,O,X,X,X,X,X,X,X
IJOLSZT,X,O,X,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,O,O,X,O,X,O,O,X
IJOLZST,X,O,X,X,X,X,X,X,O,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X,X,X,X
IJOSLZT,X,O,X,X,X,X,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X,X,X
IJOSZLT,X,O,X,X,X,X,X,O,X,X,X
IJOZTLS,O,X,O,O,O,X,O,O,X,X,X
IJOZTSL,O,X,O,X,X,O,X,X,X,X,X
IJOZLTS,O,X,O,O,O,X,O,O,X,X,X
IJOZLST,X,O,X,X,X,O,X,O,X,X,X
IJOZSTL,O,O,O,X,X,O,X,X,X,X,X
IJOZSLT,X,O,X,X,X,O,X,O,X,X,X
ISTLJZO,X,O,X,X,O,X,O,X,X,X,X
ISTLJOZ,X,O,X,X,O,X,X,X,X,X,X
ISTLZJO,X,O,X,X,O,X,O,X,X,X,X
ISTLZOJ,X,O,X,X,O,X,X,X,X,X,X
ISTLOJZ,X,X,X,X,O,X,X,X,X,X,O
ISTLOZJ,X,X,X,X,O,X,X,X,X,X,O
ISTJLZO,X,O,X,X,X,X,O,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X,X,X,X,X
ISTJZLO,X,O,X,X,X,X,O,X,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X,X,X,X
ISTZLJO,X,O,X,X,O,X,O,O,X,X,X
ISTZLOJ,X,O,X,X,O,X,X,O,X,X,X
ISTZJLO,X,O,X,X,X,X,O,X,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X,X,X,X
ISTZOLJ,X,O,X,X,O,X,X,X,X,X,X
ISTZOJL,X,O,X,X,X,X,X,X,X,X,X
ISTOLJZ,X,X,X,X,O,X,X,X,X,X,X
ISTOLZJ,X,X,X,X,O,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,X,X,X,X,X,X
ISTOZJL,X,X,X,X,X,X,X,X,X,X,X
ISLTJZO,X,O,X,X,O,X,O,X,X,X,X
ISLTJOZ,X,O,X,X,O,X,X,X,X,X,X
ISLTZJO,X,O,X,X,O,X,O,X,X,X,X
ISLTZOJ,X,O,X,X,O,X,X,X,X,X,X
ISLTOJZ,X,X,X,X,O,X,X,X,X,X,O
ISLTOZJ,X,X,X,X,O,X,X,X,X,X,O
ISLJTZO,X,O,X,X,X,X,O,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,X,X,X,X,X
ISLJZTO,X,O,X,X,X,X,O,X,X,X,X
ISLJZOT,X,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,X,X,O
ISLJOZT,X,O,X,X,X,X,X,X,X,X,O
ISLZTJO,X,O,X,X,O,X,O,O,X,X,X
ISLZTOJ,X,O,X,X,O,X,X,O,X,X,O
ISLZJTO,X,O,X,X,X,X,O,O,X,X,X
ISLZJOT,X,O,X,X,X,X,X,O,X,X,O
ISLZOTJ,X,O,X,X,O,X,X,O,X,X,O
ISLZOJT,X,X,X,X,X,X,X,O,X,X,O
ISLOTJZ,X,X,X,X,O,X,X,X,X,X,O
ISLOTZJ,X,X,X,X,O,X,X,X,X,X,O
ISLOJTZ,X,X,X,X,X,X,X,X,X,X,O
ISLOJZT,X,X,X,X,X,X,X,X,X,X,O
ISLOZTJ,X,X,X,X,O,X,X,X,X,X,O
ISLOZJT,X,X,X,X,X,X,X,X,X,X,O
ISJTLZO,X,O,X,X,X,X,O,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X,X,X,X,X
ISJTZLO,X,O,X,X,X,X,O,O,X,X,X
ISJTZOL,X,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,X,X,X,X
ISJLTZO,X,O,X,X,X,X,O,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X,X,X,X,X
ISJLZTO,X,O,X,X,X,X,O,O,X,X,X
ISJLZOT,X,O,X,X,X,X,X,O,X,X,X
ISJLOTZ,X,O,X,X,X,X,X,X,X,X,O
ISJLOZT,X,O,X,X,X,X,X,X,X,X,O
ISJZTLO,X,O,X,X,X,X,O,O,X,X,X
ISJZTOL,X,O,X,X,X,X,X,X,X,X,X
ISJZLTO,X,O,X,X,X,X,O,O,X,X,X
ISJZLOT,X,O,X,X,X,X,X,O,X,X,X
ISJZOTL,X,O,X,X,X,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,O,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,X,X,X,X,X
ISJOLZT,X,O,X,X,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X,X,X,X,X
ISJOZLT,X,O,X,X,X,X,X,O,X,X,X
ISZTLJO,X,O,X,X,O,X,O,O,X,X,X
ISZTLOJ,X,O,X,X,O,X,X,O,X,X,O
ISZTJLO,X,O,X,X,X,X,O,X,X,X,X
ISZTJOL,X,O,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,O,X,X,O,X,X,X,X,X,X
ISZTOJL,X,O,X,X,X,X,X,X,X,X,X
ISZLTJO,X,O,X,X,O,X,O,O,X,X,X
ISZLTOJ,X,O,X,X,O,X,X,O,X,X,O
ISZLJTO,X,O,X,X,X,X,O,O,X,X,X
ISZLJOT,X,O,X,X,X,X,X,O,X,X,O
ISZLOTJ,X,O,X,X,O,X,X,O,X,X,O
ISZLOJT,X,X,X,X,X,X,X,O,X,X,O
ISZJTLO,X,O,X,X,X,X,O,O,X,X,X
ISZJTOL,X,O,X,X,X,X,X,X,X,X,X
ISZJLTO,X,O,X,X,X,X,O,O,X,X,X
ISZJLOT,X,O,X,X,X,X,X,O,X,X,O
ISZJOTL,X,O,X,X,X,X,X,X,X,X,X
ISZJOLT,X,O,X,X,X,X,X,O,X,X,X
ISZOTLJ,X,O,X,X,O,X,X,X,X,X,X
ISZOTJL,X,O,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,O,X,X,O,X,X,O
ISZOLJT,X,X,X,X,X,X,X,O,X,X,O
ISZOJTL,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,X,X,X,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,O,X,X,X,X,X,O
ISOLTZJ,X,X,X,X,O,X,X,X,X,X,O
ISOLJTZ,X,X,X,X,X,X,X,X,X,X,O
ISOLJZT,X,X,X,X,X,X,X,X,X,X,O
ISOLZTJ,X,X,X,X,O,X,X,X,X,X,O
ISOLZJT,X,X,X,X,X,X,X,X,X,X,O
ISOJTLZ,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,X,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,O,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,X,O,X,X,X
ISOZLJT,X,X,X,X,X,X,X,O,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,O,X,O,X,O,X,X,X,X
IZTLJOS,O,X,O,X,O,X,O,X,X,X,X
IZTLSJO,O,O,O,X,O,X,O,X,X,X,X
IZTLSOJ,O,O,O,X,O,X,X,X,X,X,O
IZTLOJS,O,X,O,X,O,X,O,X,X,X,X
IZTLOSJ,O,X,O,X,O,X,X,X,X,X,O
IZTJLSO,O,X,O,X,O,X,O,X,X,X,X
IZTJLOS,O,X,O,X,O,X,O,X,X,X,X
IZTJSLO,O,X,O,X,X,X,O,X,X,X,X
IZTJSOL,O,X,O,X,X,X,X,X,X,X,X
IZTJOLS,O,X,O,X,O,X,O,X,X,X,X
IZTJOSL,O,X,O,X,X,X,X,X,X,X,X
IZTSLJO,O,O,O,X,O,X,O,X,X,X,X
IZTSLOJ,O,O,O,X,O,X,X,X,X,X,O
IZTSJLO,O,O,O,X,X,X,O,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,O,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X,X,X
IZTOLJS,O,X,O,X,O,X,O,X,X,X,X
IZTOLSJ,O,X,O,X,O,X,X,X,X,X,X
IZTOJLS,O,X,O,X,O,X,O,X,X,X,X
IZTOJSL,O,X,O,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,O,X,O,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,O,X,O,X,O,O,X,X,X
IZLTJOS,O,X,O,X,O,X,O,O,X,X,X
IZLTSJO,O,O,O,X,O,X,O,X,X,X,X
IZLTSOJ,O,O,O,X,O,X,X,X,X,X,O
IZLTOJS,O,X,O,X,O,X,O,O,X,X,X
IZLTOSJ,O,X,O,X,O,X,X,X,X,X,O
IZLJTSO,O,O,O,X,O,X,O,O,X,X,X
IZLJTOS,O,X,O,X,O,X,O,O,X,X,X
IZLJSTO,O,O,X,X,X,X,O,O,X,X,X
IZLJSOT,X,O,X,X,X,X,X,O,X,X,O
IZLJOTS,O,X,O,X,O,X,O,O,X,X,X
IZLJOST,O,O,X,X,X,X,X,O,X,X,O
IZLSTJO,X,O,X,X,O,X,O,O,X,X,X
IZLSTOJ,X,O,X,X,O,X,X,O,X,X,O
IZLSJTO,X,O,X,X,X,X,O,O,X,X,X
IZLSJOT,X,O,X,X,X,X,X,O,X,X,O
IZLSOTJ,X,O,X,X,O,X,X,O,X,X,O
IZLSOJT,X,X,X,X,X,X,X,O,X,X,O
IZLOTJS,O,X,O,X,O,X,O,O,X,X,X
IZLOTSJ,O,X,O,X,O,X,X,X,X,X,O
IZLOJTS,O,X,O,X,O,X,O,O,X,X,X
IZLOJST,O,X,X,X,X,X,X,O,X,X,O
IZLOSTJ,O,O,X,X,O,X,X,O,X,X,O
IZLOSJT,O,X,X,X,X,X,X,O,X,X,O
IZJTLSO,O,O,O,X,O,X,O,O,X,X,X
IZJTLOS,O,X,O,X,O,X,O,O,X,X,X
IZJTSLO,O,O,O,X,X,O,O,O,X,X,X
IZJTSOL,O,O,O,X,X,O,X,X,X,X,X
IZJTOLS,O,X,O,X,O,X,O,O,X,X,X
IZJTOSL,O,X,O,X,X,O,X,X,X,X,X
IZJLTSO,O,O,O,X,O,X,O,O,X,X,X
IZJLTOS,O,X,O,X,O,X,O,O,X,X,X
IZJLSTO,O,O,X,X,X,O,O,O,X,X,X
IZJLSOT,X,O,X,X,X,O,X,O,X,X,O
IZJLOTS,O,X,O,X,O,X,O,O,X,X,X
IZJLOST,O,O,X,X,X,O,X,O,X,X,O
IZJSTLO,O,O,O,X,X,O,O,O,X,X,X
IZJSTOL,O,O,O,X,X,O,X,X,X,X,X
IZJSLTO,O,O,X,X,X,O,O,O,X,X,X
IZJSLOT,X,O,X,X,X,O,X,O,X,X,O
IZJSOTL,O,O,O,X,X,O,X,X,X,X,X
IZJSOLT,O,O,X,X,X,O,X,O,X,X,X
IZJOTLS,O,X,O,X,O,X,O,O,X,X,X
IZJOTSL,O,X,O,X,X,O,X,X,X,X,X
IZJOLTS,O,X,O,X,O,X,O,O,X,X,X
IZJOLST,O,O,X,X,X,O,X,O,X,X,X
IZJOSTL,O,O,O,X,X,O,X,X,X,X,X
IZJOSLT,O,O,X,X,X,O,X,O,X,X,X
IZSTLJO,X,O,X,X,O,X,O,O,X,X,X
IZSTLOJ,X,O,X,X,O,X,X,O,X,X,O
IZSTJLO,X,O,X,X,X,O,O,X,X,X,X
IZSTJOL,X,O,X,X,X,O,X,X,X,X,X
IZSTOLJ,X,O,X,X,O,X,X,X,X,X,X
IZSTOJL,X,O,X,X,X,O,X,X,X,X,X
IZSLTJO,X,O,X,X,O,X,O,O,X,X,X
IZSLTOJ,X,O,X,X,O,X,X,O,X,X,O
IZSLJTO,X,O,X,X,X,X,O,O,X,X,X
IZSLJOT,X,O,X,X,X,X,X,O,X,X,O
