sequence,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBTeBCiB2rBln?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFmcBqiBTeBFhB3m?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcB8hBSjB2rBln?BzsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBcjBTmB6sBFn?BmsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFTeBFhB0iB3mBmm?BqsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFeiBCeBFhBXjBTm?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFcjBFhB6nB3mBmm?BzsB
TLOIZJS,X,O,X,O,X,X,X
TLOIZSJ,X,X,X,O,O,X,X
TLOJISZ,O,O,X,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,X
TLOSIZJ,X,O,X,O,X,X,X
TLOSJIZ,X,O,X,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X
TLOSZIJ,X,O,X,O,X,X,X
TLOSZJI,X,O,X,O,X,X,X
TLOZIJS,X,O,X,O,X,X,X
TLOZISJ,X,X,X,O,O,X,X
TLOZJIS,X,O,X,O,X,X,X
TLOZJSI,X,X,X,O,X,X,X
TLOZSIJ,X,X,X,O,O,X,X
TLOZSJI,X,X,X,O,O,X,X
TJILSZO,O,O,O,X,X,X,X
TJILSOZ,O,O,X,X,X,X,X
TJILZSO,O,O,O,X,X,X,X
TJILZOS,O,O,O,X,X,X,X
TJILOSZ,O,O,X,X,X,X,X
TJILOZS,O,O,O,X,X,X,X
TJISLZO,O,O,O,X,X,X,O
TJISLOZ,O,O,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,O
TJISZOL,O,O,O,X,O,X,X
TJISOLZ,O,O,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X
TJIZLSO,O,O,O,X,X,O,X
TJIZLOS,O,O,O,X,X,X,X
TJIZSLO,O,O,O,X,X,O,O
TJIZSOL,O,O,O,X,X,O,X
TJIZOLS,O,O,O,X,X,X,X
TJIZOSL,O,X,O,X,O,O,X
TJIOLSZ,O,O,X,X,X,X,X
TJIOLZS,O,O,O,X,X,X,X
TJIOSLZ,O,O,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X
TJIOZLS,O,O,O,X,X,X,X
TJIOZSL,O,X,O,X,O,X,X
TJLISZO,O,O,O,X,X,X,X
TJLISOZ,O,O,X,X,X,X,X
TJLIZSO,O,O,O,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X
TJLIOSZ,O,O,X,X,X,X,X
TJLIOZS,O,O,O,X,X,X,X
TJLSIZO,O,O,O,X,X,X,X
TJLSIOZ,O,O,X,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X
TJLZISO,O,O,O,X,X,X,X
TJLZIOS,O,O,O,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X
TJLZOIS,O,O,O,X,X,X,X
TJLZOSI,O,O,O,X,X,X,X
TJLOISZ,O,O,X,X,X,X,X
TJLOIZS,O,O,O,X,X,X,X
TJLOSIZ,O,O,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X,X
TJLOZIS,O,O,O,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X
TJSILZO,O,O,O,X,X,X,O
TJSILOZ,O,O,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,O
TJSIZOL,O,O,O,X,O,X,X
TJSIOLZ,O,O,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X
TJSLIZO,O,O,O,X,X,X,O
TJSLIOZ,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,O
TJSLZOI,O,O,O,X,X,X,O
TJSLOIZ,O,O,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,O
TJSZIOL,O,O,O,X,O,X,X
TJSZLIO,O,O,O,X,X,X,O
TJSZLOI,O,O,O,X,X,X,O
TJSZOIL,O,O,O,X,O,X,X
TJSZOLI,O,O,O,X,O,X,X
TJSOILZ,O,O,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X
TJSOLIZ,O,O,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X
TJZILSO,O,O,O,X,X,O,X
TJZILOS,O,O,O,X,X,X,X
TJZISLO,O,O,O,X,X,O,O
TJZISOL,O,O,O,X,X,O,X
TJZIOLS,O,O,O,X,X,X,X
TJZIOSL,O,X,O,X,O,O,X
TJZLISO,O,O,O,X,X,O,X
TJZLIOS,O,O,O,X,X,X,X
TJZLSIO,O,O,O,X,X,O,X
TJZLSOI,O,O,O,X,X,O,X
TJZLOIS,O,O,O,X,X,X,X
TJZLOSI,O,O,O,X,X,X,X
TJZSILO,O,O,O,X,X,O,O
TJZSIOL,O,O,O,X,X,O,X
TJZSLIO,O,O,O,X,X,O,O
TJZSLOI,O,O,O,X,X,O,O
TJZSOIL,O,O,O,X,X,O,X
TJZSOLI,O,O,O,X,X,O,X
