sequence,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBTeBCiB2rBln?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFmcBqiBTeBFhB3m?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcB8hBSjB2rBln?BzsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBcjBTmB6sBFn?BmsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFTeBFhB0iB3mBmm?BqsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFeiBCeBFhBXjBTm?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFcjBFhB6nB3mBmm?BzsB
ISZTLOJ,X,O,X,X,O,X,O
ISZTJLO,X,O,X,X,X,O,O
ISZTJOL,X,O,X,X,O,O,X
ISZTOLJ,X,O,X,O,O,X,O
ISZTOJL,X,O,X,X,O,O,X
ISZLTJO,X,O,X,X,X,O,O
ISZLTOJ,X,O,X,X,O,X,O
ISZLJTO,X,O,O,X,X,O,O
ISZLJOT,X,O,O,X,X,O,X
ISZLOTJ,X,O,X,O,O,X,O
ISZLOJT,X,O,X,O,X,O,X
ISZJTLO,O,O,O,X,X,O,O
ISZJTOL,O,O,O,X,O,O,X
ISZJLTO,X,O,O,X,X,O,O
ISZJLOT,O,O,O,X,X,O,X
ISZJOTL,O,O,O,X,O,O,X
ISZJOLT,O,O,O,O,X,O,X
ISZOTLJ,X,O,X,O,O,X,O
ISZOTJL,X,O,X,X,O,O,X
ISZOLTJ,X,O,X,O,O,X,O
ISZOLJT,X,O,X,O,X,O,X
ISZOJTL,O,O,X,X,O,O,X
ISZOJLT,O,O,X,O,X,O,X
ISOTLJZ,X,O,X,X,X,X,X
ISOTLZJ,X,O,X,O,X,X,O
ISOTJLZ,O,O,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X
ISOTZLJ,X,O,X,O,O,X,O
ISOTZJL,X,O,X,X,O,X,X
ISOLTJZ,X,O,X,X,X,X,X
ISOLTZJ,X,O,X,O,X,X,O
ISOLJTZ,O,O,X,X,X,X,X
ISOLJZT,O,O,O,O,X,X,X
ISOLZTJ,X,O,X,O,X,X,O
ISOLZJT,X,O,X,O,X,X,X
ISOJTLZ,O,O,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,X
ISOJLZT,O,O,O,O,X,X,X
ISOJZTL,O,X,O,X,X,X,X
ISOJZLT,O,O,O,O,X,X,X
ISOZTLJ,X,O,X,O,O,X,O
ISOZTJL,X,O,X,X,O,X,X
ISOZLTJ,X,O,X,O,O,X,O
ISOZLJT,X,O,X,O,X,X,X
ISOZJTL,O,O,X,X,O,X,X
ISOZJLT,O,O,X,O,X,X,X
IZTLJSO,X,O,O,X,X,O,X
IZTLJOS,X,O,O,X,X,X,X
IZTLSJO,X,O,X,X,X,O,O
IZTLSOJ,X,O,X,X,X,X,O
IZTLOJS,X,O,X,O,X,X,X
IZTLOSJ,X,O,X,O,O,X,X
IZTJLSO,O,O,O,X,X,O,X
IZTJLOS,O,O,O,X,X,X,X
IZTJSLO,O,O,O,X,X,O,O
IZTJSOL,O,O,O,X,X,O,X
IZTJOLS,O,O,O,X,X,X,X
IZTJOSL,O,X,O,X,O,O,X
IZTSLJO,X,O,X,X,X,O,O
IZTSLOJ,X,O,X,X,O,X,O
IZTSJLO,X,O,X,X,X,O,O
IZTSJOL,X,O,X,X,O,O,X
IZTSOLJ,X,O,X,O,O,X,O
IZTSOJL,X,O,X,X,O,O,X
IZTOLJS,X,O,X,O,X,X,X
IZTOLSJ,X,O,X,O,O,X,X
IZTOJLS,O,O,X,X,X,X,X
IZTOJSL,O,X,X,X,O,O,X
IZTOSLJ,X,O,X,O,O,X,O
IZTOSJL,X,O,X,X,O,O,X
IZLTJSO,X,O,O,X,X,O,X
IZLTJOS,X,O,O,X,X,X,X
IZLTSJO,X,O,X,X,X,O,O
IZLTSOJ,X,O,X,X,X,X,O
IZLTOJS,X,O,X,O,X,X,X
IZLTOSJ,X,O,X,O,O,X,X
IZLJTSO,X,O,O,X,X,O,X
IZLJTOS,X,O,X,X,X,X,X
IZLJSTO,X,O,O,X,X,O,X
IZLJSOT,X,O,O,X,X,O,X
IZLJOTS,X,O,X,O,X,X,X
IZLJOST,X,O,O,O,X,X,X
IZLSTJO,X,O,X,X,X,O,O
IZLSTOJ,X,O,X,X,O,X,O
IZLSJTO,X,O,O,X,X,O,O
IZLSJOT,X,O,O,X,X,O,X
IZLSOTJ,X,O,X,O,O,X,O
IZLSOJT,X,O,X,O,X,O,X
IZLOTJS,X,O,X,O,X,X,X
IZLOTSJ,X,O,X,O,O,X,X
IZLOJTS,X,O,X,O,X,X,X
IZLOJST,X,O,X,O,X,X,X
IZLOSTJ,X,O,X,O,O,X,X
IZLOSJT,X,O,X,O,X,X,X
IZJTLSO,O,O,O,X,X,O,X
IZJTLOS,O,O,O,X,X,X,X
IZJTSLO,O,O,O,X,X,O,O
IZJTSOL,O,X,O,X,X,O,X
IZJTOLS,O,O,O,X,X,X,X
IZJTOSL,O,X,O,X,O,O,X
IZJLTSO,X,O,O,X,X,O,X
IZJLTOS,X,O,O,X,X,X,X
IZJLSTO,X,O,O,X,X,O,X
IZJLSOT,O,O,O,X,X,O,X
IZJLOTS,X,O,X,O,X,X,X
IZJLOST,O,O,O,O,X,X,X
IZJSTLO,O,O,O,X,X,O,O
IZJSTOL,O,O,O,X,O,O,X
IZJSLTO,X,O,O,X,X,O,O
IZJSLOT,O,O,O,X,X,O,X
IZJSOTL,O,O,O,X,O,O,X
IZJSOLT,O,O,O,O,X,O,X
IZJOTLS,O,O,O,X,X,X,X
IZJOTSL,O,X,O,X,O,O,X
IZJOLTS,X,O,X,O,X,X,X
IZJOLST,O,O,O,O,X,X,X
IZJOSTL,O,O,O,X,O,O,X
IZJOSLT,O,O,O,O,X,O,X
IZSTLJO,X,O,X,X,X,O,O
IZSTLOJ,X,O,X,X,O,X,O
IZSTJLO,X,O,X,X,X,O,O
IZSTJOL,X,O,X,X,O,O,X
IZSTOLJ,X,O,X,O,O,X,O
IZSTOJL,X,O,X,X,O,O,X
IZSLTJO,X,O,X,X,X,O,O
IZSLTOJ,X,O,X,X,O,X,O
IZSLJTO,X,O,O,X,X,O,O
IZSLJOT,X,O,O,X,X,O,X
IZSLOTJ,X,O,X,O,O,X,O
IZSLOJT,X,O,X,O,X,O,X
IZSJTLO,O,O,O,X,X,O,O
IZSJTOL,O,O,O,X,O,O,X
IZSJLTO,X,O,O,X,X,O,O
IZSJLOT,O,O,O,X,X,O,X
IZSJOTL,O,O,O,X,O,O,X
IZSJOLT,O,O,O,O,X,O,X
IZSOTLJ,X,O,X,O,O,X,O
IZSOTJL,X,O,X,X,O,O,X
IZSOLTJ,X,O,X,O,O,X,O
IZSOLJT,X,O,X,O,X,O,X
IZSOJTL,O,O,X,X,O,O,X
IZSOJLT,O,O,X,O,X,O,X
IZOTLJS,X,O,X,O,X,X,X
IZOTLSJ,X,O,X,O,O,X,X
IZOTJLS,O,O,X,X,X,X,X
IZOTJSL,O,X,X,X,O,O,X
IZOTSLJ,X,O,X,O,O,X,O
IZOTSJL,X,O,X,X,O,O,X
IZOLTJS,X,O,X,O,X,X,X
IZOLTSJ,X,O,X,O,O,X,X
IZOLJTS,X,O,X,O,X,X,X
IZOLJST,X,O,X,O,X,X,X
IZOLSTJ,X,O,X,O,O,X,X
IZOLSJT,X,O,X,O,X,X,X
IZOJTLS,O,O,X,X,X,X,X
IZOJTSL,O,X,X,X,O,O,X
IZOJLTS,X,O,X,O,X,X,X
IZOJLST,O,O,X,O,X,X,X
IZOJSTL,O,O,X,X,O,O,X
IZOJSLT,O,O,X,O,X,O,X
IZOSTLJ,X,O,X,O,O,X,O
IZOSTJL,X,O,X,X,O,O,X
IZOSLTJ,X,O,X,O,O,X,O
IZOSLJT,X,O,X,O,X,O,X
IZOSJTL,O,O,X,X,O,O,X
IZOSJLT,O,O,X,O,X,O,X
IOTLJSZ,O,O,X,X,X,X,X
IOTLJZS,O,O,O,X,X,X,X
IOTLSJZ,X,O,X,X,X,X,X
IOTLSZJ,X,O,X,O,X,X,X
IOTLZJS,X,O,X,O,X,X,X
IOTLZSJ,X,X,X,O,O,X,X
IOTJLSZ,O,O,X,X,X,X,X
IOTJLZS,O,O,O,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X
IOTJZLS,O,O,O,X,X,X,X
IOTJZSL,O,X,O,X,O,X,X
IOTSLJZ,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,O,X,X,O
IOTSJLZ,O,O,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X
IOTSZLJ,X,O,X,O,O,X,O
IOTSZJL,X,O,X,X,O,X,X
IOTZLJS,X,O,X,O,X,X,X
IOTZLSJ,X,O,X,O,O,X,X
IOTZJLS,O,O,X,X,X,X,X
IOTZJSL,O,X,X,X,O,O,X
IOTZSLJ,X,O,X,O,O,X,O
IOTZSJL,X,X,X,X,O,O,X
IOLTJSZ,O,O,X,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X
IOLTSJZ,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,O,X,X,X
IOLTZJS,X,O,X,O,X,X,X
IOLTZSJ,X,X,X,O,O,X,X
IOLJTSZ,O,O,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,X,X
IOLJSZT,O,O,O,O,X,X,X
IOLJZTS,X,X,X,O,X,X,X
IOLJZST,O,X,O,O,X,X,X
IOLSTJZ,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,O,X,X,X
IOLSJTZ,O,O,X,X,X,X,X
IOLSJZT,O,O,O,O,X,X,X
IOLSZTJ,X,O,X,O,X,X,X
IOLSZJT,X,O,X,O,X,X,X
IOLZTJS,X,O,X,O,X,X,X
IOLZTSJ,X,X,X,O,O,X,X
IOLZJTS,X,X,X,O,X,X,X
IOLZJST,X,X,X,O,X,X,X
IOLZSTJ,X,O,X,O,O,X,X
IOLZSJT,X,O,X,O,X,X,X
IOJTLSZ,O,O,X,X,X,X,X
IOJTLZS,O,O,O,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X
IOJTZLS,O,X,O,X,X,X,X
IOJTZSL,O,X,O,X,O,X,X
IOJLTSZ,O,O,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,X,X
IOJLSZT,O,O,O,O,X,X,X
IOJLZTS,X,X,X,O,X,X,X
IOJLZST,O,X,O,O,X,X,X
IOJSTLZ,O,O,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X
IOJSLTZ,O,O,X,X,X,X,X
IOJSLZT,O,O,O,O,X,X,X
IOJSZTL,O,X,O,X,X,X,X
IOJSZLT,O,X,O,O,X,X,X
IOJZTLS,O,X,O,X,X,X,X
IOJZTSL,O,X,O,X,O,X,X
IOJZLTS,X,X,X,O,X,X,X
IOJZLST,O,X,O,O,X,X,X
IOJZSTL,O,X,O,X,O,X,X
IOJZSLT,O,X,O,O,X,X,X
IOSTLJZ,X,O,X,X,X,X,X
IOSTLZJ,X,O,X,O,X,X,O
IOSTJLZ,O,O,X,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X
IOSTZLJ,X,O,X,O,O,X,O
IOSTZJL,X,O,X,X,O,X,X
IOSLTJZ,X,O,X,X,X,X,X
IOSLTZJ,X,O,X,O,X,X,O
IOSLJTZ,O,O,X,X,X,X,X
IOSLJZT,O,O,O,O,X,X,X
IOSLZTJ,X,O,X,O,X,X,O
IOSLZJT,X,O,X,O,X,X,X
IOSJTLZ,O,O,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X
IOSJLTZ,O,O,X,X,X,X,X
IOSJLZT,O,O,O,O,X,X,X
IOSJZTL,O,X,O,X,X,X,X
IOSJZLT,O,O,O,O,X,X,X
IOSZTLJ,X,O,X,O,O,X,O
IOSZTJL,X,O,X,X,O,X,X
IOSZLTJ,X,O,X,O,O,X,O
IOSZLJT,X,O,X,O,X,X,X
IOSZJTL,O,O,X,X,O,X,X
IOSZJLT,O,O,X,O,X,X,X
IOZTLJS,X,O,X,O,X,X,X
IOZTLSJ,X,O,X,O,O,X,X
IOZTJLS,O,O,X,X,X,X,X
IOZTJSL,O,X,X,X,O,O,X
IOZTSLJ,X,O,X,O,O,X,O
IOZTSJL,X,O,X,X,O,O,X
IOZLTJS,X,O,X,O,X,X,X
IOZLTSJ,X,O,X,O,O,X,X
IOZLJTS,X,O,X,O,X,X,X
IOZLJST,X,O,X,O,X,X,X
IOZLSTJ,X,O,X,O,O,X,X
IOZLSJT,X,O,X,O,X,X,X
IOZJTLS,O,O,X,X,X,X,X
IOZJTSL,O,X,X,X,O,O,X
IOZJLTS,X,O,X,O,X,X,X
IOZJLST,O,O,X,O,X,X,X
IOZJSTL,O,O,X,X,O,O,X
IOZJSLT,O,O,X,O,X,O,X
IOZSTLJ,X,O,X,O,O,X,O
IOZSTJL,X,O,X,X,O,O,X
IOZSLTJ,X,O,X,O,O,X,O
IOZSLJT,X,O,X,O,X,O,X
IOZSJTL,O,O,X,X,O,O,X
IOZSJLT,O,O,X,O,X,O,X
LTIJSZO,O,O,O,X,X,X,X
LTIJSOZ,O,O,X,X,X,X,X
LTIJZSO,O,O,O,X,X,X,X
LTIJZOS,O,O,O,X,X,X,X
LTIJOSZ,O,O,X,X,X,X,X
LTIJOZS,O,O,O,X,X,X,X
LTISJZO,X,O,O,X,X,X,O
LTISJOZ,X,O,X,X,X,X,X
LTISZJO,X,O,X,X,X,X,O
LTISZOJ,X,O,X,X,O,X,O
LTISOJZ,X,O,X,X,X,X,X
LTISOZJ,X,O,X,X,X,X,O
LTIZJSO,X,O,O,X,X,O,X
LTIZJOS,X,O,O,X,X,X,X
LTIZSJO,X,O,X,X,X,O,O
LTIZSOJ,X,O,X,X,X,X,O
LTIZOJS,X,O,X,O,X,X,X
LTIZOSJ,X,O,X,O,O,X,X
LTIOJSZ,O,O,X,X,X,X,X
LTIOJZS,O,O,O,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,X
LTIOSZJ,X,O,X,O,X,X,X
LTIOZJS,X,O,X,O,X,X,X
LTIOZSJ,X,X,X,O,O,X,X
LTJISZO,O,O,O,X,X,X,X
LTJISOZ,O,O,X,X,X,X,X
LTJIZSO,O,O,O,X,X,X,X
LTJIZOS,O,O,O,X,X,X,X
LTJIOSZ,O,O,X,X,X,X,X
LTJIOZS,O,O,O,X,X,X,X
LTJSIZO,O,O,O,X,X,X,X
LTJSIOZ,O,O,X,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,O,O,X,X,X,X,X
LTJSOZI,O,O,X,X,X,X,X
LTJZISO,O,O,O,X,X,X,X
LTJZIOS,O,O,O,X,X,X,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,O,O,O,X,X,X,X
LTJZOSI,O,O,O,X,X,X,X
LTJOISZ,O,O,X,X,X,X,X
LTJOIZS,O,O,O,X,X,X,X
LTJOSIZ,O,O,X,X,X,X,X
LTJOSZI,O,X,X,X,X,X,X
LTJOZIS,O,O,O,X,X,X,X
LTJOZSI,O,X,O,X,X,X,X
LTSIJZO,X,O,O,X,X,X,O
LTSIJOZ,X,O,X,X,X,X,X
LTSIZJO,X,O,X,X,X,X,O
LTSIZOJ,X,O,X,X,O,X,O
LTSIOJZ,X,O,X,X,X,X,X
LTSIOZJ,X,O,X,X,X,X,O
LTSJIZO,X,O,O,X,X,X,O
LTSJIOZ,X,O,X,X,X,X,X
LTSJZIO,X,O,O,X,X,X,O
LTSJZOI,X,O,O,X,X,X,O
LTSJOIZ,X,O,X,X,X,X,X
LTSJOZI,X,O,X,X,X,X,X
LTSZIJO,X,O,X,X,X,X,O
LTSZIOJ,X,O,X,X,O,X,O
LTSZJIO,X,O,X,X,X,X,O
LTSZJOI,X,O,X,X,X,X,O
LTSZOIJ,X,O,X,X,O,X,O
LTSZOJI,X,O,X,X,O,X,O
LTSOIJZ,X,O,X,X,X,X,X
LTSOIZJ,X,O,X,X,X,X,O
LTSOJIZ,X,O,X,X,X,X,X
LTSOJZI,X,O,X,X,X,X,X
LTSOZIJ,X,O,X,X,X,X,O
LTSOZJI,X,O,X,X,X,X,O
LTZIJSO,X,O,O,X,X,O,X
LTZIJOS,X,O,O,X,X,X,X
LTZISJO,X,O,X,X,X,O,O
LTZISOJ,X,O,X,X,X,X,O
LTZIOJS,X,O,X,O,X,X,X
LTZIOSJ,X,O,X,O,O,X,X
LTZJISO,X,O,O,X,X,O,X
LTZJIOS,X,O,O,X,X,X,X
LTZJSIO,X,O,O,X,X,O,X
LTZJSOI,X,O,O,X,X,O,X
LTZJOIS,X,O,O,X,X,X,X
LTZJOSI,X,O,O,X,X,X,X
LTZSIJO,X,O,X,X,X,O,O
LTZSIOJ,X,O,X,X,X,X,O
LTZSJIO,X,O,X,X,X,O,O
LTZSJOI,X,O,X,X,X,O,O
LTZSOIJ,X,O,X,X,X,X,O
LTZSOJI,X,O,X,X,X,X,O
LTZOIJS,X,O,X,O,X,X,X
LTZOISJ,X,O,X,O,O,X,X
LTZOJIS,X,O,X,O,X,X,X
LTZOJSI,X,O,X,O,X,X,X
LTZOSIJ,X,O,X,O,O,X,X
LTZOSJI,X,O,X,O,O,X,X
LTOIJSZ,O,O,X,X,X,X,X
LTOIJZS,O,O,O,X,X,X,X
LTOISJZ,X,O,X,X,X,X,X
LTOISZJ,X,O,X,O,X,X,X
LTOIZJS,X,O,X,O,X,X,X
LTOIZSJ,X,X,X,O,O,X,X
LTOJISZ,O,O,X,X,X,X,X
LTOJIZS,O,O,O,X,X,X,X
LTOJSIZ,O,O,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,X
LTOJZIS,O,O,O,X,X,X,X
LTOJZSI,O,X,O,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,X
LTOSIZJ,X,O,X,O,X,X,X
LTOSJIZ,X,O,X,X,X,X,X
LTOSJZI,X,O,X,X,X,X,X
LTOSZIJ,X,O,X,O,X,X,X
LTOSZJI,X,O,X,O,X,X,X
LTOZIJS,X,O,X,O,X,X,X
LTOZISJ,X,X,X,O,O,X,X
LTOZJIS,X,O,X,O,X,X,X
LTOZJSI,X,X,X,O,X,X,X
LTOZSIJ,X,X,X,O,O,X,X
LTOZSJI,X,X,X,O,O,X,X
LITJSZO,O,O,O,X,X,X,X
LITJSOZ,O,O,X,X,X,X,X
LITJZSO,O,O,O,X,X,X,X
LITJZOS,O,O,O,X,X,X,X
LITJOSZ,O,O,X,X,X,X,X
LITJOZS,O,O,O,X,X,X,X
LITSJZO,X,O,O,X,X,X,O
LITSJOZ,X,O,X,X,X,X,X
LITSZJO,X,O,X,X,X,X,O
LITSZOJ,X,O,X,X,O,X,O
LITSOJZ,X,O,X,X,X,X,X
LITSOZJ,X,O,X,X,X,X,O
LITZJSO,X,O,O,X,X,O,X
LITZJOS,X,O,O,X,X,X,X
LITZSJO,X,O,X,X,X,O,O
LITZSOJ,X,O,X,X,X,X,O
LITZOJS,X,O,X,O,X,X,X
LITZOSJ,X,O,X,O,O,X,X
LITOJSZ,O,O,X,X,X,X,X
LITOJZS,O,O,O,X,X,X,X
LITOSJZ,X,O,X,X,X,X,X
LITOSZJ,X,O,X,O,X,X,X
LITOZJS,X,O,X,O,X,X,X
LITOZSJ,X,X,X,O,O,X,X
LIJTSZO,O,X,O,X,X,X,X
LIJTSOZ,O,O,X,X,X,X,X
LIJTZSO,O,X,O,X,X,X,X
LIJTZOS,O,O,O,X,X,X,X
LIJTOSZ,O,O,X,X,X,X,X
LIJTOZS,O,O,O,X,X,X,X
LIJSTZO,O,O,O,X,X,X,X
LIJSTOZ,O,O,X,X,X,X,X
LIJSZTO,X,X,O,X,X,X,X
LIJSZOT,O,O,O,X,X,X,X
LIJSOTZ,O,O,X,X,X,X,X
LIJSOZT,O,O,O,X,X,X,X
LIJZTSO,X,X,O,X,X,X,X
LIJZTOS,X,X,O,X,X,X,X
LIJZSTO,X,X,O,X,X,X,X
LIJZSOT,O,X,O,X,X,X,X
LIJZOTS,X,X,X,O,X,X,X
LIJZOST,O,X,O,O,X,X,X
LIJOTSZ,O,O,X,X,X,X,X
LIJOTZS,O,O,X,X,X,X,X
LIJOSTZ,O,O,X,X,X,X,X
LIJOSZT,O,O,O,O,X,X,X
LIJOZTS,X,X,X,O,X,X,X
LIJOZST,O,X,O,O,X,X,X
LISTJZO,X,O,O,X,X,X,O
LISTJOZ,X,O,X,X,X,X,X
LISTZJO,X,O,X,X,X,X,O
LISTZOJ,X,O,X,X,O,X,O
LISTOJZ,X,O,X,X,X,X,X
LISTOZJ,X,O,X,X,X,X,O
LISJTZO,O,O,O,X,X,X,O
LISJTOZ,O,O,X,X,X,X,X
LISJZTO,X,O,O,X,X,X,O
LISJZOT,O,O,O,X,X,X,X
LISJOTZ,O,O,X,X,X,X,X
LISJOZT,O,O,O,X,X,X,X
LISZTJO,X,O,X,X,X,X,O
LISZTOJ,X,O,X,X,O,X,O
LISZJTO,X,O,O,X,X,X,O
LISZJOT,X,O,O,X,X,X,X
LISZOTJ,X,O,X,O,O,X,O
LISZOJT,X,O,X,O,X,X,X
LISOTJZ,X,O,X,X,X,X,X
LISOTZJ,X,O,X,O,X,X,O
LISOJTZ,O,O,X,X,X,X,X
LISOJZT,O,O,O,O,X,X,X
LISOZTJ,X,O,X,O,X,X,O
LISOZJT,X,O,X,O,X,X,X
LIZTJSO,X,O,O,X,X,O,X
LIZTJOS,X,O,O,X,X,X,X
LIZTSJO,X,O,X,X,X,O,O
LIZTSOJ,X,O,X,X,X,X,O
LIZTOJS,X,O,X,O,X,X,X
LIZTOSJ,X,O,X,O,O,X,X
LIZJTSO,X,O,O,X,X,O,X
LIZJTOS,X,O,X,X,X,X,X
LIZJSTO,X,O,O,X,X,O,X
LIZJSOT,X,O,O,X,X,O,X
LIZJOTS,X,O,X,O,X,X,X
LIZJOST,X,O,O,O,X,X,X
LIZSTJO,X,O,X,X,X,O,O
LIZSTOJ,X,O,X,X,O,X,O
LIZSJTO,X,O,O,X,X,O,O
LIZSJOT,X,O,O,X,X,O,X
LIZSOTJ,X,O,X,O,O,X,O
LIZSOJT,X,O,X,O,X,O,X
LIZOTJS,X,O,X,O,X,X,X
LIZOTSJ,X,O,X,O,O,X,X
LIZOJTS,X,O,X,O,X,X,X
LIZOJST,X,O,X,O,X,X,X
LIZOSTJ,X,O,X,O,O,X,X
LIZOSJT,X,O,X,O,X,X,X
LIOTJSZ,O,O,X,X,X,X,X
LIOTJZS,O,O,O,X,X,X,X
LIOTSJZ,X,O,X,X,X,X,X
LIOTSZJ,X,O,X,O,X,X,X
LIOTZJS,X,O,X,O,X,X,X
LIOTZSJ,X,X,X,O,O,X,X
LIOJTSZ,O,O,X,X,X,X,X
LIOJTZS,O,O,X,X,X,X,X
LIOJSTZ,O,O,X,X,X,X,X
LIOJSZT,O,O,O,O,X,X,X
LIOJZTS,X,X,X,O,X,X,X
LIOJZST,O,X,O,O,X,X,X
LIOSTJZ,X,O,X,X,X,X,X
LIOSTZJ,X,O,X,O,X,X,X
LIOSJTZ,O,O,X,X,X,X,X
LIOSJZT,O,O,O,O,X,X,X
LIOSZTJ,X,O,X,O,X,X,X
LIOSZJT,X,O,X,O,X,X,X
LIOZTJS,X,O,X,O,X,X,X
LIOZTSJ,X,X,X,O,O,X,X
LIOZJTS,X,X,X,O,X,X,X
LIOZJST,X,X,X,O,X,X,X
LIOZSTJ,X,O,X,O,O,X,X
LIOZSJT,X,O,X,O,X,X,X
LJTISZO,O,X,O,X,X,X,X
LJTISOZ,O,O,X,X,X,X,X
LJTIZSO,O,X,O,X,X,X,X
LJTIZOS,O,O,O,X,X,X,X
LJTIOSZ,O,O,X,X,X,X,X
LJTIOZS,O,O,O,X,X,X,X
LJTSIZO,O,X,O,X,X,X,X
LJTSIOZ,O,O,X,X,X,X,X
LJTSZIO,O,X,O,X,X,X,X
LJTSZOI,O,X,O,X,X,X,X
LJTSOIZ,O,O,X,X,X,X,X
LJTSOZI,O,X,X,X,X,X,X
LJTZISO,O,X,O,X,X,X,X
LJTZIOS,O,O,O,X,X,X,X
LJTZSIO,O,X,O,X,X,X,X
LJTZSOI,O,X,O,X,X,X,X
LJTZOIS,O,O,O,X,X,X,X
LJTZOSI,O,X,O,X,X,X,X
LJTOISZ,O,O,X,X,X,X,X
LJTOIZS,O,O,O,X,X,X,X
LJTOSIZ,O,O,X,X,X,X,X
LJTOSZI,O,X,X,X,X,X,X
LJTOZIS,O,O,O,X,X,X,X
LJTOZSI,O,X,O,X,X,X,X
LJITSZO,O,X,O,X,X,X,X
LJITSOZ,O,O,X,X,X,X,X
LJITZSO,O,X,O,X,X,X,X
LJITZOS,O,O,O,X,X,X,X
LJITOSZ,O,O,X,X,X,X,X
LJITOZS,O,O,O,X,X,X,X
LJISTZO,O,O,O,X,X,X,X
LJISTOZ,O,O,X,X,X,X,X
LJISZTO,X,X,O,X,X,X,X
LJISZOT,O,O,O,X,X,X,X
LJISOTZ,O,O,X,X,X,X,X
LJISOZT,O,O,O,X,X,X,X
LJIZTSO,X,X,O,X,X,X,X
LJIZTOS,X,X,O,X,X,X,X
LJIZSTO,X,X,O,X,X,X,X
LJIZSOT,O,X,O,X,X,X,X
LJIZOTS,X,X,X,O,X,X,X
LJIZOST,O,X,O,O,X,X,X
LJIOTSZ,O,O,X,X,X,X,X
LJIOTZS,O,O,X,X,X,X,X
LJIOSTZ,O,O,X,X,X,X,X
LJIOSZT,O,O,O,O,X,X,X
LJIOZTS,X,X,X,O,X,X,X
LJIOZST,O,X,O,O,X,X,X
LJSTIZO,O,O,O,X,X,X,X
LJSTIOZ,O,O,X,X,X,X,X
LJSTZIO,O,O,O,X,X,X,X
LJSTZOI,O,O,O,X,X,X,X
LJSTOIZ,O,O,X,X,X,X,X
LJSTOZI,O,O,X,X,X,X,X
LJSITZO,O,O,O,X,X,X,X
LJSITOZ,O,O,X,X,X,X,X
LJSIZTO,X,X,O,X,X,X,X
LJSIZOT,O,O,O,X,X,X,X
LJSIOTZ,O,O,X,X,X,X,X
LJSIOZT,O,O,O,X,X,X,X
LJSZTIO,X,X,O,X,X,X,X
LJSZTOI,X,X,O,X,X,X,X
LJSZITO,X,X,O,X,X,X,X
LJSZIOT,O,O,O,X,X,X,X
LJSZOTI,O,X,O,X,X,X,X
LJSZOIT,O,O,O,X,X,X,X
LJSOTIZ,O,O,X,X,X,X,X
LJSOTZI,O,O,X,X,X,X,X
LJSOITZ,O,O,X,X,X,X,X
LJSOIZT,O,O,O,X,X,X,X
LJSOZTI,O,X,O,X,X,X,X
LJSOZIT,O,O,O,X,X,X,X
LJZTISO,X,X,O,X,X,X,X
LJZTIOS,X,X,O,X,X,X,X
LJZTSIO,X,X,O,X,X,X,X
LJZTSOI,X,X,O,X,X,X,X
LJZTOIS,X,X,O,X,X,X,X
LJZTOSI,X,X,O,X,X,X,X
LJZITSO,X,X,O,X,X,X,X
LJZITOS,X,X,O,X,X,X,X
LJZISTO,X,X,O,X,X,X,X
LJZISOT,O,X,O,X,X,X,X
LJZIOTS,X,X,X,O,X,X,X
LJZIOST,O,X,O,O,X,X,X
LJZSTIO,X,X,O,X,X,X,X
LJZSTOI,X,X,O,X,X,X,X
LJZSITO,X,X,O,X,X,X,X
LJZSIOT,O,X,O,X,X,X,X
