sequence,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiB6rBcs?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsB6r?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcByiBcmBTiBWw?BFsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFyiBFhBGnBXnBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFeiBzdBFhBcsBXm?BSwB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdB8qBCnBXs?BFrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdBFhBcsBCr?B3rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBFhB3iBWsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBlmBcsBzq?BCsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFzdBFhB/nBumB8q?BywB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBGhB3iB8qBFs?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhF0cB3iBTmBuqBln?BywB
TLSJOIZ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
TLSJOZI,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TLSZIJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLSZIOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLSZJIO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLSZJOI,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O,X
TLSZOIJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLSZOJI,O,X,O,X,X,O,X,O,X,O,X,X,X,O,O,X
TLSOIJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TLSOIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O
TLSOJZI,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O
TLSOZIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZIJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLZIJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZISJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLZISOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLZIOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLZJISO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLZJIOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZJSIO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLZJSOI,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X
TLZJOIS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZJOSI,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZSIJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLZSIOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLZSJIO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLZSJOI,O,O,O,X,O,O,X,O,X,O,X,O,X,X,O,X
TLZSOIJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLZSOJI,O,X,O,X,X,O,X,O,X,O,X,X,X,O,O,X
TLZOIJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZOISJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLZOJIS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZOJSI,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLZOSJI,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLOIJSZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLOIJZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOIZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TLOJISZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLOJIZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLOJSZI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
