sequence,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBigB0?kBFmB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFzbBFdBcmBx?kB3kByuB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBOpB8?pBFmBiqB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFygBFdBcmBx?kBXlB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFzbBFdBcmBx?kBmpB3pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBckBigBF?mBzpBOpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFFdBRgBcmB3?gBOpBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBTfBigBF?mB0kB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFZkBUgBamBl?fBGhBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jez6IvhFXdBamBFlB0?pBZkBGrB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je+/IvhFKgBXdBUhBZ?kBFmBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2AJvhFXdBTfBxlBF?mBipB0pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFXdBUhBxkBa?qBFmBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBclBO?mBikB1uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBlgBc?mBaqBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBOmBi?pBcqBlpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBcmBF?lBTpBiqB
TILOZJS,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TILOZSJ,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TIJLSZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJLZSO,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJSZLO,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIJSZOL,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJSOZL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZLSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TIJZSOL,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJZOLS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJOLZS,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJOZLS,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOZSL,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TISLJZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TISLOZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TISJLZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TISJOZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISZLJO,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TISZOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TISOLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TISOLZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TISOJLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TISOJZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOZLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TISOZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLJSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TIZOLJS,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X
TIZOSLJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOSJL,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X
TIOLJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOLJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOLSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIOLZJS,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJZLS,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOJZSL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOSLJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOSLZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIOSJLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TIOSZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLJS,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X
TIOZJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TIOZJSL,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X
TIOZSJL,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIJSZO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIJSOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLIJZSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLIJOZS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLISJOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLISZOJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLISOZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLIZJSO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLIOJZS,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X
TLIOSJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLIOSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLIOZJS,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLIOZSJ,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TLJISZO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLSIJOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLSIOZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLSJIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TLSZJIO,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSZJOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLSOIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLZIJSO,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TLZIJOS,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TLZIOJS,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZJISO,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TLZJIOS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TLZJSIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLZJSOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZJOIS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TLZJOSI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TLZSJIO,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZSJOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLZOIJS,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZOJIS,X,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLOIJZS,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X
TLOISJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLOISZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLOIZJS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLOIZSJ,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLOJISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLOJZIS,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TLOSIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLOSJIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOZIJS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLOZSIJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJILSZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJISOZL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIZLSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJIOLZS,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIOZLS,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJIOZSL,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLISZO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLZISO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLZIOS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLZOIS,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
