sequence,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFZhBfiB8iB+?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFxdBfmBSnBT?jBUsBtrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFCeBfmB5mBN?nBToBUsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhFyhBGeBfmBU?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhF0cBxdBTjBm?rB/rB9sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF8iB+jBChBd?nB/rBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF9jBzgBfnB0?rB6sBmsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBGiBTjBX?hB9rBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBTjBmrBt?rB6sBXrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8JeU9IvhF9jBzgB5mBi?nBmlB3sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFXdBTeBWoBd?mB5mBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFxdBNmBTjBX?nBGsB0rB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFUdB9jBfmB5?mBziBKsB
TISJOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,O,X,X,O,X,X,O,X,X,X
TISZOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TISOLJZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TISOLZJ,X,X,O,O,X,X,X,X,X,O,X,O,X
TISOJLZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TISOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,O,O,X,X,O,X,X,O,X,O,X
TISOZJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,X,X,O,X,X,X
TIZJLSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZJOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZSLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,O,X,X,O,X,X,O,X,X,X
TIZSOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,O,X,X,X,O,X,X,O,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,O,X,X,O,X,X,X
TIZOSJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,X,X,O,X
TIOLSZJ,X,X,O,X,X,X,X,X,X,O,X,O,X
TIOLZJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,X,X,O,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,X,X,X,X,O,X
TIOSLZJ,X,X,O,X,X,X,X,X,X,O,X,O,X
TIOSJLZ,O,X,O,X,X,X,X,X,X,X,X,O,X
TIOSJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,O,X,X,O,X,O,X
TIOSZJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,O,X,X,X,O,X,X,O,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,O,X,X,O,X,X,X
TIOZSJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,O,X,X,X,X,X,X,O
TLIJSOZ,O,X,X,X,X,O,X,X,X,X,X,X,O
TLIJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIJZOS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLISJZO,O,X,X,X,X,O,X,X,X,X,X,X,O
TLISJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLISZJO,O,X,X,X,X,O,X,X,X,X,X,X,O
TLISZOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TLISOJZ,O,X,O,X,X,O,X,X,X,X,X,O,O
TLISOZJ,X,X,O,X,X,X,X,X,X,O,X,O,O
TLIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIZJOS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TLIZOJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TLIZOSJ,X,X,X,X,X,X,O,O,X,O,X,X,O
TLIOJSZ,O,X,O,X,X,X,X,O,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,O,X,X,X,O,O
TLIOSZJ,X,X,O,X,X,X,X,O,X,O,X,O,O
TLIOZJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TLIOZSJ,X,X,O,X,X,X,O,O,X,O,X,X,O
TLJISZO,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJISOZ,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJIZSO,O,X,X,X,O,X,X,X,X,X,X,X,O
TLJIZOS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLJIOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJIOZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TLJSIZO,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSIOZ,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSZIO,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSZOI,O,X,X,X,O,O,X,O,X,X,O,X,X
TLJSOIZ,O,X,X,X,O,O,X,O,X,X,X,O,O
TLJSOZI,O,X,X,X,O,O,X,O,X,X,O,O,X
TLJZISO,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJZSIO,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,O,X,X,O,X,X,O,X,X
TLJZOIS,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJZOSI,O,X,X,X,O,X,X,O,X,X,O,X,X
TLJOISZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJOIZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TLJOSIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
TLJOSZI,O,X,X,X,O,X,X,O,X,X,O,O,X
TLJOZIS,O,X,X,X,O,X,X,O,X,X,X,X,X
TLJOZSI,O,X,X,X,O,X,X,O,X,X,O,X,X
TLSIJZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TLSIJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSIZJO,O,X,X,O,X,O,X,X,X,X,X,X,O
TLSIZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
TLSIOJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TLSIOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
TLSJIZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TLSJIOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSJZIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TLSJZOI,O,X,X,O,X,O,X,O,X,X,O,X,X
TLSJOIZ,O,X,O,X,X,O,X,O,X,X,X,O,O
TLSJOZI,O,O,O,X,X,O,X,O,X,X,O,O,X
TLSZIJO,O,X,X,O,X,O,X,X,X,X,X,X,O
TLSZIOJ,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSZJIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TLSZJOI,O,X,X,O,X,O,X,O,X,X,O,X,X
TLSZOIJ,X,X,X,O,X,X,X,O,X,X,X,O,X
TLSZOJI,X,X,X,O,X,X,X,O,X,X,X,O,X
TLSOIJZ,O,X,O,O,X,O,X,O,X,X,X,O,O
TLSOIZJ,X,O,O,O,X,X,X,O,X,O,X,O,O
TLSOJIZ,O,X,O,O,X,O,X,O,X,X,X,O,O
TLSOJZI,O,O,O,O,X,O,X,O,X,X,X,O,X
TLSOZIJ,X,O,O,O,X,X,X,O,X,X,X,O,X
TLSOZJI,X,O,O,O,X,X,X,O,X,X,X,O,X
TLZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZIJOS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZISOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TLZIOJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TLZIOSJ,X,X,X,X,X,X,O,O,X,O,X,X,O
TLZJISO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZJSIO,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,O,X,X,O,X,X
TLZJOIS,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,O,X,X,O,X,X
TLZSIJO,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZSIOJ,X,X,X,O,X,X,O,X,X,X,X,X,O
TLZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZSJOI,O,X,X,O,X,X,O,O,X,X,O,X,X
TLZSOIJ,X,X,X,O,X,X,O,O,X,X,X,O,X
TLZSOJI,X,X,X,O,X,X,O,O,X,X,X,O,X
TLZOIJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TLZOISJ,X,X,X,X,X,X,O,O,X,O,X,X,X
TLZOJIS,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,O,O,X,X,X,O,X
TLZOSJI,X,X,X,X,X,X,O,O,X,X,X,O,X
TLOIJSZ,O,X,O,X,O,X,X,O,X,X,X,X,X
TLOIJZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TLOISJZ,O,X,O,X,X,X,X,O,X,X,X,O,O
TLOISZJ,X,O,O,X,X,X,X,O,X,O,X,O,O
TLOIZJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOIZSJ,X,X,O,X,X,X,O,O,X,O,X,X,O
TLOJISZ,O,X,O,X,O,X,X,O,X,X,X,X,X
TLOJIZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TLOJSIZ,O,X,O,X,O,X,X,O,X,X,X,O,X
TLOJSZI,O,X,O,X,O,X,X,O,X,X,X,O,X
TLOJZIS,O,X,X,X,O,X,X,O,X,X,X,X,X
TLOJZSI,O,X,X,X,O,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,O,X,X,X,O,O
TLOSIZJ,X,O,O,X,X,X,X,O,X,O,X,O,O
TLOSJIZ,O,X,O,X,X,X,X,O,X,X,X,O,O
TLOSJZI,O,O,O,X,X,X,X,O,X,X,X,O,X
TLOSZIJ,X,O,O,X,X,X,X,O,X,X,X,O,X
TLOSZJI,X,O,O,X,X,X,X,O,X,X,X,O,X
TLOZIJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOZISJ,X,X,O,X,X,X,O,O,X,O,X,X,X
TLOZJIS,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,X,O,O,X,X,X,O,X
TLOZSJI,X,X,O,X,X,X,O,O,X,X,X,O,X
TJILSZO,O,X,X,X,O,O,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,O,O,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,O,O,X,X,X
TJILOSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TJILOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
TJISLZO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJISZOL,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISOLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIZSLO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X,X,X,O,O,X,X,X
TJIZOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TJIOLZS,O,X,X,X,O,X,X,X,O,O,X,X,X
TJIOSLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,O,X,X,X,O,O,X,X,X
TJIOZSL,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,O,X,X,X,X,X,X,O
TJLISOZ,O,X,X,X,O,O,X,X,X,X,X,X,O
TJLIZSO,O,X,X,X,O,X,X,X,X,X,X,X,O
TJLIZOS,O,X,X,X,X,X,X,X,O,O,X,X,X
TJLIOSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TJLIOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
TJLSIZO,O,X,X,X,O,O,X,X,X,X,X,X,O
TJLSIOZ,O,X,X,X,O,O,X,X,X,X,X,X,O
TJLSZIO,O,X,X,X,O,O,X,X,X,X,X,X,O
TJLSZOI,O,X,X,X,O,O,X,X,O,X,O,X,X
TJLSOIZ,O,X,X,X,O,O,X,X,O,X,X,O,O
TJLSOZI,O,X,X,X,O,O,X,X,O,X,O,O,X
TJLZISO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,O,X,X,X,O,X,O,X,X
TJLZOIS,O,X,X,X,O,X,X,O,O,X,X,X,X
TJLZOSI,O,X,X,X,O,X,X,O,O,X,O,X,X
TJLOISZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TJLOIZS,O,X,X,X,O,X,X,O,O,O,X,X,X
TJLOSIZ,O,X,X,X,O,X,X,X,O,X,X,O,X
TJLOSZI,O,X,X,X,O,X,X,X,O,X,O,O,X
TJLOZIS,O,X,X,X,O,X,X,O,O,X,X,X,X
TJLOZSI,O,X,X,X,O,X,X,O,O,X,O,X,X
TJSILZO,O,X,X,O,O,O,X,X,X,X,X,X,O
TJSILOZ,O,X,O,X,O,O,X,X,X,X,X,X,O
TJSIZLO,O,X,X,O,O,O,X,X,X,X,X,X,X
TJSIZOL,O,X,O,O,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,O,O,O,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,O,O,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,O,O,O,X,X,X,X,X,X,O
TJSLIOZ,O,X,O,X,O,O,X,X,X,X,X,X,O
TJSLZIO,O,X,X,O,O,O,X,X,X,X,X,X,O
TJSLZOI,O,X,X,O,O,O,X,X,O,X,O,X,X
TJSLOIZ,O,X,O,X,O,O,X,X,O,X,X,O,O
TJSLOZI,O,X,O,X,O,O,X,X,O,X,O,O,X
TJSZILO,O,X,X,O,O,O,X,X,X,X,X,X,X
TJSZIOL,O,X,O,O,O,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,O,O,O,X,X,X,X,X,X,O
TJSZLOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TJSZOIL,O,X,O,O,O,X,X,X,X,X,O,X,X
TJSZOLI,O,X,O,O,O,O,X,X,O,X,O,X,X
TJSOILZ,O,X,O,O,O,X,X,X,X,X,X,O,X
TJSOIZL,O,X,O,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,O,O,O,X,X,O,X,X,O,O
TJSOLZI,O,X,O,O,O,O,X,X,O,X,O,O,X
TJSOZIL,O,X,O,O,O,X,X,X,X,X,O,X,X
TJSOZLI,O,X,O,O,O,O,X,X,O,X,O,X,X
TJZILSO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJZILOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJZISLO,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZISOL,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZIOLS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJZIOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TJZLISO,O,X,X,X,O,X,X,X,X,X,X,X,X
TJZLIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJZLSIO,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZLSOI,O,X,X,O,O,X,X,X,O,X,O,X,X
TJZLOIS,O,X,X,X,O,X,X,X,O,X,X,X,X
TJZLOSI,O,X,X,X,O,X,X,X,O,X,O,X,X
TJZSILO,O,X,X,O,O,O,X,X,X,X,X,X,X
TJZSIOL,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZSLIO,O,X,X,O,O,O,X,X,X,X,X,X,X
TJZSLOI,O,X,X,O,O,O,O,X,O,X,X,X,X
TJZSOIL,O,X,X,O,O,X,O,X,X,X,O,X,X
TJZSOLI,O,X,X,O,O,O,O,X,O,X,O,X,X
TJZOILS,O,X,X,X,O,X,X,O,O,X,X,X,X
TJZOISL,O,X,X,X,O,X,O,X,X,X,X,X,X
TJZOLIS,O,X,X,X,O,X,X,O,O,X,X,X,X
TJZOLSI,O,X,X,X,O,X,X,O,O,X,O,X,X
TJZOSIL,O,X,X,O,O,X,O,X,X,X,O,X,X
TJZOSLI,O,X,X,O,O,X,O,X,O,X,O,X,X
TJOILSZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TJOILZS,O,X,X,X,O,X,X,O,O,O,X,X,X
TJOISLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TJOISZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TJOIZLS,O,X,X,X,O,X,X,O,O,O,X,X,X
TJOIZSL,O,X,X,X,O,X,O,X,X,X,X,X,X
TJOLISZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TJOLIZS,O,X,X,X,O,X,X,O,O,O,X,X,X
TJOLSIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TJOLSZI,O,X,O,X,O,X,X,X,O,X,O,O,X
TJOLZIS,O,X,X,X,O,X,X,O,O,X,X,X,X
TJOLZSI,O,X,X,X,O,X,X,O,O,X,O,X,X
TJOSILZ,O,X,O,X,O,X,X,X,X,X,X,O,X
TJOSIZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TJOSLZI,O,X,O,X,O,X,X,X,O,X,O,O,X
TJOSZIL,O,X,O,X,O,X,X,X,X,X,O,X,X
TJOSZLI,O,X,O,X,O,X,X,X,O,X,O,X,X
TJOZILS,O,X,X,X,O,X,X,O,O,X,X,X,X
TJOZISL,O,X,X,X,O,X,O,X,X,X,X,X,X
TJOZLIS,O,X,X,X,O,X,X,O,O,X,X,X,X
TJOZLSI,O,X,X,X,O,X,X,O,O,X,O,X,X
TJOZSIL,O,X,X,X,O,X,O,X,X,X,O,X,X
TJOZSLI,O,X,X,X,O,X,O,X,O,X,O,X,X
TSILJZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSILJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TSILZJO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSILZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
TSILOJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSILOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
TSIJLZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSIJLOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TSIJZLO,O,X,X,O,X,O,X,X,X,X,X,X,X
