sequence,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehB3dBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Jei6IvhFRdBckB?mgBTiB3gBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehBUdB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?3dBzfBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFVgBahB?RdBTiB3kBcqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFufBahB?3dBTgBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?UdBzfB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbB3dB?zgBUiBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbBUdB?zgB3iBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFRdB8lB?TiB3kBFlBiqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeaBJvhFRdBOkB?XgBTiBcqBlpB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFzbB3dB?ukBUiBllBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFlbBRdB?8lBTiB3kBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFlbBaiB?uiB8lBzkBfqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeK/IvhFfgBlbB?RdB8lBTiBmpB
TLISJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TLISZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TLISOZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIZJSO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X
TLIZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TLIZOSJ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLIOJZS,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TLIOSJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLIOSZJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIOZJS,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TLIOZSJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLJISZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TLJIZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TLJIOSZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TLJIOZS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
TLJSIZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TLJSZIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TLJSOZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
TLJZISO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
TLJZSIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
TLJZOIS,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X
TLJZOSI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
TLJOISZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TLJOIZS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X
TLJOSIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TLJOSZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
TLJOZIS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X
TLJOZSI,O,O,O,X,X,O,X,O,O,X,O,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TLSIZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TLSIOZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSJIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TLSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSJOIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TLSJOZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
TLSZIJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLSZOJI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLSOIJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLSOIZJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLSOJZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLSOZJI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLZIJSO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZIJOS,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X
TLZISJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TLZIOSJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLZJISO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X
TLZJSIO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
TLZJOIS,O,O,O,X,O,X,O,O,O,X,O,X,X,O,X
TLZJOSI,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
TLZSIJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
TLZSOIJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLZSOJI,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLZOIJS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
TLZOISJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLZOJIS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
TLZOJSI,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X
TLZOSIJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLZOSJI,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLOIJSZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLOIJZS,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X
TLOISJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLOISZJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
TLOIZSJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLOJISZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLOJIZS,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X
TLOJSIZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLOJSZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
TLOJZIS,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X
TLOJZSI,O,O,O,X,X,O,X,O,O,X,O,X,X,X,X
TLOSIJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLOSIZJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TLOSJZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLOSZJI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLOZIJS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
TLOZISJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLOZJIS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
TLOZJSI,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X
TLOZSIJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TLOZSJI,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TJILSZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJILSOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TJILZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJILZOS,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TJILOSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TJILOZS,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TJISLZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TJISZLO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJISOLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJISOZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJIZLSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJIZLOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TJIZSLO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJIZOLS,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TJIZOSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TJIOLSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TJIOLZS,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TJIOSLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJIOSZL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TJIOZLS,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TJIOZSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TJLISZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJLISOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLIZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJLIZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TJLIOSZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TJLIOZS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
TJLSIZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJLSIOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLSZIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJLSZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O
TJLSOIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O
TJLSOZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O
TJLZISO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJLZIOS,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
TJLZSIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJLZSOI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
TJLZOIS,O,O,O,X,X,X,O,O,O,X,O,X,X,O,O
TJLZOSI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
TJLOISZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O
TJLOIZS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
TJLOSIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O
TJLOSZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O
TJLOZIS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
TJLOZSI,O,O,O,X,X,O,X,O,O,X,O,X,X,X,O
TJSILZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TJSIZLO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJSIOLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJSIOZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJSLIZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TJSLZIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSLOIZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TJSLOZI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJSZLIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TJSZOLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJSOIZL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TJSOLIZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TJSOLZI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TJSOZIL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TJSOZLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJZILOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TJZISLO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJZIOLS,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TJZIOSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TJZLISO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TJZLIOS,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
TJZLSIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
