sequence,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBOkBlgBSoBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFTeBflBlgBWoBCl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFCbBlgBGjBXjBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTeBKkBflBlgBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBlgBSoBmkBTk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFFbBTeBqkB3gBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTfBlgBGjBXjByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFOkBlgBUjBzkBft?B6tB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFflBlgBunBcoBCl?BTtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhF6jBukB3gBziBFl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeT6IvhF1gBGjBXjBxkByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFufB1gB6jBXlBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF6jBlfB3gB2pBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Le1/IvhF0bBCjBxkBXoB2p?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBWoBikB0kBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFKkBflBlgBunBco?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF0fBlgBCjB2pBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBUjBmkBftBTk?B6tB
TIJZOSL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIJOLSZ,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TIJOLZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
TISLJOZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLZJO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLOJZ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJLZO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
TISJLOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
TISJZOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TISJOLZ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISZLOJ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZJLO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
TISZOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOZJL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIZLSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOJS,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZJOLS,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TIZJOSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZSLOJ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSJLO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOLJZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIOJLZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOZLJS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZSJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TLIJSOZ,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIJZOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIZSJO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIOZJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJISZO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TLJISOZ,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLJIZSO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLJIZOS,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLJIOSZ,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLJIOZS,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJSIZO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TLJSIOZ,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TLJSZIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TLJSZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
TLJSOIZ,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
TLJSOZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
TLJZISO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X
TLJZIOS,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TLJZSIO,O,X,O,X,O,O,X,X,O,X,X,X,O,X,O,O,O,X
TLJZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X
TLJZOIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJZOSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,O,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJOIZS,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJOSZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOZSI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
TLSIJOZ,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TLSIZJO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TLSIZOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TLSIOZJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TLSJIOZ,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TLSJZIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TLSJZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
TLSJOIZ,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
TLSJOZI,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,O,O,X
TLSZIJO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TLSZIOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X
TLSZJOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
TLSZOIJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
TLSOIZJ,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
TLSOJZI,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X
TLSOZIJ,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSOZJI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TLZIJSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZISJO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZISOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZJIOS,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TLZJSIO,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZJSOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLZJOIS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLZJOSI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLZSIJO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZSIOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZSJOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOIJZS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOIZJS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLOJIZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLOJSZI,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TLOJZIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLOJZSI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TLOSJZI,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSZJI,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLOZIJS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOZJIS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOZSJI,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJILSZO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TJILSOZ,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TJILZSO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TJILZOS,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJILOSZ,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TJILOZS,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJISLZO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TJISLOZ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TJISZLO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TJISZOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TJISOLZ,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJISOZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TJIZLSO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TJIZLOS,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJIZSLO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TJIZSOL,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TJIZOLS,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TJIOLSZ,O,X,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TJIOLZS,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLISZO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TJLISOZ,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TJLIZSO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TJLIZOS,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJLIOSZ,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TJLIOZS,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJLSIZO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TJLSIOZ,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TJLSZIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TJLSZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
TJLSOIZ,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
TJLSOZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
