sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TLOSZIJ,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,O,X
TLOZISJ,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,O,X
TLOZJSI,X,X,X,X,X,O,X
TLOZSIJ,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,O,X
TJISLZO,O,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X
TJISZLO,O,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X
TJIZOLS,X,O,O,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X
TJIOLZS,X,X,O,X,X,O,X
TJIOSLZ,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X
TJIOZLS,X,O,O,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X
TJLIOZS,X,X,O,X,X,O,X
TJLSIZO,O,X,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X
TJLZSOI,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,O,X
TJLOSIZ,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,O,X
TJLOZSI,X,X,O,X,X,O,X
TJSILZO,O,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,X
TJZILOS,X,O,X,X,X,X,X
TJZISLO,O,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X
TJZIOLS,X,O,O,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,X,X
TJZLIOS,X,O,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X
TJZLSOI,O,X,X,X,X,X,X
TJZLOIS,X,O,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X
TJZOILS,X,O,O,X,X,X,X
TJZOISL,X,X,X,X,X,X,X
TJZOLIS,X,O,O,X,X,X,X
TJZOLSI,X,X,O,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X
TJOILZS,X,X,O,X,X,O,X
TJOISLZ,X,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X
TJOIZLS,X,O,O,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X
TJOLIZS,X,X,O,X,X,O,X
TJOLSIZ,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X
TJOLZIS,X,X,O,X,X,O,X
TJOLZSI,X,X,O,X,X,O,X
TJOSILZ,X,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X
TJOZILS,X,O,O,X,X,X,X
TJOZISL,X,X,X,X,X,X,X
TJOZLIS,X,O,O,X,X,X,X
TJOZLSI,X,X,O,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X,X
