sequence,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFUbBFcBXdBWlBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeT6IvhF0bBxcBykB3hBWr?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex7IvhFXdBOkBlgB0fBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufB3bBFdB6mB8p?BzqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBXdBlgB8pBTr?BCrB,v115@7gB8GeC8FeD8FeE8AeH8JeO/IvhF0bBxcBzfBCmB3m?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeK/IvhFzaBfhBxcBumB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jey/IvhFfhBxcBumBTfB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex6IvhFXdBTfBmgB6mB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex8IvhFTfBlgB3hB8pBip?BWwB,v115@7gB8GeC8FeD8FeE8AeH8Jem7IvhFxfB3hBTfB0lBCn?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBlgB3hB8pBzq?BCsB
TILOJZS,O,O,X,O,X,O,O,X,X,X,X,X
TILOSJZ,O,O,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,O,X,O,X,X,X,X,X,X
TILOZJS,O,O,X,O,X,O,O,X,X,X,X,X
TILOZSJ,O,O,X,O,X,O,O,X,X,X,X,X
TIJLSZO,X,O,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,O,X,O,O,X,X,X,X,X
TIJLZOS,X,O,X,O,X,O,O,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,O,X,O,X,O,O,X,X,X,X,X
TIJSLZO,X,O,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,O,X,O,X,O,O,O,X,X,X,X
TIJZLOS,X,O,X,O,X,O,O,X,X,X,X,X
TIJZSLO,X,O,X,O,X,X,O,O,X,X,X,X
TIJZSOL,X,O,X,O,X,X,O,O,X,X,X,X
TIJZOLS,X,O,X,O,X,O,X,X,X,X,X,X
TIJZOSL,X,X,X,O,X,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,O,X,X,X,X,X,X
TIJOLZS,X,O,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZLS,X,O,X,O,X,O,X,X,X,X,X,X
TIJOZSL,X,X,X,O,X,O,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,O,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,O,X,X,X,X,X,X
TISLZOJ,X,O,X,O,X,O,X,X,X,O,X,X
TISLOJZ,O,O,X,X,X,O,X,X,X,X,X,X
TISLOZJ,O,O,X,O,X,O,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,X,X,O,X,X
TISJOLZ,O,O,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,O,X,X,X,X,X,X
TISZLJO,O,O,X,O,O,X,X,X,X,X,O,O
TISZLOJ,X,O,X,O,X,X,X,X,X,O,X,X
TISZJLO,X,O,X,O,O,X,X,X,X,X,O,O
TISZJOL,X,O,X,O,O,X,X,X,O,O,O,O
TISZOLJ,O,O,X,O,O,X,X,X,O,O,X,X
TISZOJL,X,X,X,O,O,X,X,X,O,O,O,O
TISOLJZ,O,O,X,X,X,O,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,O,X,X,O,X,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,O,X,X,X
TISOZLJ,O,O,X,O,O,X,X,X,O,O,X,X
TISOZJL,X,X,X,O,O,O,X,X,O,O,X,X
TIZLJSO,X,O,X,O,O,O,O,O,X,X,X,O
TIZLJOS,X,O,X,O,X,O,O,X,X,X,X,X
TIZLSJO,X,X,X,O,O,O,O,O,X,X,O,O
TIZLSOJ,X,O,X,O,X,O,O,X,X,X,X,X
TIZLOJS,X,O,X,O,X,O,O,X,X,X,X,X
TIZLOSJ,X,O,X,O,X,O,O,X,X,X,X,X
TIZJLSO,X,O,X,O,O,O,O,O,X,X,X,O
TIZJLOS,X,O,X,O,X,O,O,X,X,X,X,X
TIZJSLO,X,O,X,O,O,X,O,O,X,X,O,O
TIZJSOL,X,X,X,O,O,X,O,O,O,X,O,O
TIZJOLS,X,O,X,O,O,O,X,X,O,X,X,X
TIZJOSL,X,X,X,O,O,O,X,X,O,X,X,O
TIZSLJO,X,O,X,O,O,X,O,O,X,X,O,O
TIZSLOJ,X,O,X,O,X,X,O,X,X,O,X,X
TIZSJLO,X,O,X,O,O,X,O,O,X,X,O,O
TIZSJOL,X,X,X,O,O,X,O,O,O,O,O,O
TIZSOLJ,X,O,X,O,O,X,O,X,O,O,X,X
TIZSOJL,X,X,X,O,O,X,X,X,O,O,O,O
TIZOLJS,X,X,X,O,O,O,X,X,O,X,X,X
TIZOLSJ,X,X,X,O,O,O,X,X,O,X,X,X
TIZOJLS,X,X,X,O,O,O,X,X,O,X,X,X
TIZOJSL,X,X,X,O,O,O,X,X,O,X,X,O
TIZOSLJ,X,X,X,O,O,X,X,X,O,O,X,X
TIZOSJL,X,X,X,O,O,O,X,X,O,O,O,O
TIOLJSZ,O,O,X,X,X,O,X,X,X,X,X,X
TIOLJZS,O,O,X,O,X,O,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,O,X,O,X,O,X,X,O,X,X,X
TIOLZJS,O,O,X,O,X,O,X,X,O,X,X,X
TIOLZSJ,O,O,X,O,X,O,X,X,O,X,X,X
TIOJLSZ,O,O,X,X,X,O,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,O,X,X,X
TIOJZLS,X,O,X,O,X,O,X,X,O,X,X,X
TIOJZSL,X,X,X,O,X,O,X,X,O,X,X,X
TIOSLJZ,O,O,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,O,X,X,O,X,X,X
TIOSJLZ,O,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,O,X,X,X
TIOSZLJ,O,O,X,O,O,X,X,X,O,X,X,X
TIOSZJL,X,X,X,O,O,O,X,X,O,X,X,X
TIOZLJS,O,X,X,O,O,O,X,X,O,X,X,X
TIOZLSJ,O,X,X,O,O,O,X,X,O,X,X,X
TIOZJLS,X,X,X,O,O,O,X,X,O,X,X,X
TIOZJSL,X,X,X,O,O,O,X,X,O,X,X,X
TIOZSLJ,O,X,X,O,O,X,X,X,O,X,X,X
TIOZSJL,X,X,X,O,O,O,X,X,O,X,X,X
TLIJSZO,O,O,O,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,O,X,O,O,X,X,X,X,X
TLIJZOS,O,O,X,O,X,O,O,X,X,X,X,X
TLIJOSZ,O,O,O,X,X,O,X,X,X,X,X,X
TLIJOZS,O,O,X,O,X,O,O,X,X,X,X,X
TLISJZO,O,O,O,X,X,O,X,X,X,X,X,X
TLISJOZ,O,O,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,X,O,X,X,X,X,X,X
TLISZOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLISOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLISOZJ,X,O,X,O,X,O,X,X,X,X,X,X
TLIZJSO,X,O,O,O,X,O,O,X,X,X,X,X
TLIZJOS,X,O,X,O,X,O,O,X,X,X,X,X
TLIZSJO,X,O,O,O,X,O,O,X,X,X,X,X
TLIZSOJ,X,O,X,O,X,O,O,X,X,X,X,X
TLIZOJS,X,O,X,O,X,O,O,X,X,X,X,X
TLIZOSJ,X,O,X,O,X,O,O,X,X,X,X,X
TLIOJSZ,O,O,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,O,X,O,X,O,O,X,X,X,X,X
TLIOSJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,X,O,X,X,X,X,X,X
TLIOZJS,O,O,X,O,X,O,O,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,O,O,X,X,X,X,X
TLJISZO,O,O,O,X,X,O,X,X,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,O,O,X,O,O,X,X,X,X,X
TLJIZOS,O,O,X,O,X,O,O,X,X,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,X,X,X,X,X
TLJIOZS,O,O,X,O,X,O,O,X,X,X,X,X
TLJSIZO,O,O,O,X,X,O,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,X,O,O,X,X,X,X,X
TLJSZOI,O,O,O,O,X,X,O,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,O,O,X,X,O,X,X,X,X,X
TLJZISO,O,O,O,O,X,O,O,O,X,X,X,X
TLJZIOS,O,O,X,O,X,O,O,X,X,X,X,X
TLJZSIO,O,O,O,O,X,O,O,O,X,X,X,X
TLJZSOI,O,O,O,O,X,X,O,O,X,X,X,X
TLJZOIS,O,O,X,O,X,O,O,X,X,X,X,X
TLJZOSI,O,O,X,O,X,O,O,O,X,X,X,X
TLJOISZ,O,O,O,X,X,O,X,X,X,X,X,X
TLJOIZS,O,O,O,O,X,O,O,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,O,X,X,X,X,X,X
TLJOSZI,O,O,O,O,X,O,O,X,X,X,X,X
TLJOZIS,O,O,O,O,X,O,O,X,X,X,X,X
TLJOZSI,O,O,O,O,X,O,O,X,X,X,X,X
TLSIJZO,O,O,O,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,X,O,X,X,X,X,X,X
TLSIZOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,X,O,X,O,X,O,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,O,O,X,X,X,X,X
TLSJZOI,O,O,O,O,X,X,O,X,X,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,X,X,O,X,X,X,X,X
TLSZIJO,O,O,O,O,X,O,O,X,X,X,O,X
TLSZIOJ,X,O,X,O,X,O,O,X,X,X,X,X
TLSZJIO,O,O,O,O,X,O,O,X,X,X,O,X
TLSZJOI,O,O,O,O,X,X,O,X,O,X,X,X
TLSZOIJ,X,O,X,O,X,O,O,X,O,X,X,X
TLSZOJI,X,O,X,O,X,O,O,X,O,X,X,X
TLSOIJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLSOIZJ,X,O,X,O,X,O,X,X,O,X,X,X
TLSOJIZ,O,O,O,X,X,O,X,X,X,X,X,X
TLSOJZI,O,O,O,O,X,O,O,X,X,X,X,X
TLSOZIJ,X,O,X,O,X,O,O,X,O,X,X,X
TLSOZJI,X,O,X,O,X,O,O,X,O,X,X,X
TLZIJSO,X,O,O,O,X,O,O,O,X,X,X,X
TLZIJOS,X,O,X,O,X,O,O,X,X,X,X,X
TLZISJO,X,O,O,O,X,O,O,O,X,X,O,X
TLZISOJ,X,O,X,O,X,O,O,X,X,X,X,X
TLZIOJS,X,O,X,O,X,O,O,X,X,X,X,X
TLZIOSJ,X,O,X,O,X,O,O,X,X,X,X,X
TLZJISO,X,O,O,O,X,O,O,O,X,X,X,X
TLZJIOS,X,O,X,O,X,O,O,X,X,X,X,X
TLZJSIO,X,O,O,O,X,O,O,O,X,X,X,X
TLZJSOI,X,O,O,O,X,X,O,O,O,X,X,X
TLZJOIS,X,O,X,O,X,O,O,X,O,X,X,X
TLZJOSI,X,O,X,O,X,O,O,O,O,X,X,X
TLZSIJO,X,O,O,O,X,O,O,O,X,X,O,X
TLZSIOJ,X,O,X,O,X,O,O,X,X,X,X,X
TLZSJIO,X,O,O,O,X,O,O,O,X,X,O,X
TLZSJOI,X,O,O,O,X,X,O,O,O,X,X,X
TLZSOIJ,X,O,X,O,X,O,O,X,O,X,X,X
TLZSOJI,X,O,X,O,X,O,O,O,O,X,X,X
TLZOIJS,X,O,X,O,X,O,O,X,O,X,X,X
TLZOISJ,X,O,X,O,X,O,O,X,O,X,X,X
TLZOJIS,X,O,X,O,X,O,O,X,O,X,X,X
TLZOJSI,X,O,X,O,X,O,O,O,O,X,X,X
TLZOSIJ,X,O,X,O,X,O,O,X,O,X,X,X
TLZOSJI,X,O,X,O,X,O,O,O,O,X,X,X
TLOIJSZ,O,O,O,X,X,O,X,X,X,X,X,X
TLOIJZS,O,O,O,O,X,O,O,X,X,X,X,X
TLOISJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLOISZJ,O,O,O,O,X,O,X,X,O,X,X,X
TLOIZJS,O,O,O,O,X,O,O,X,O,X,X,X
TLOIZSJ,O,O,O,O,X,O,O,X,O,X,X,X
TLOJISZ,O,O,O,X,X,O,X,X,X,X,X,X
TLOJIZS,O,O,O,O,X,O,O,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,O,X,X,X,X,X,X
TLOJSZI,O,O,O,O,X,O,O,X,X,X,X,X
TLOJZIS,O,O,O,O,X,O,O,X,X,X,X,X
TLOJZSI,O,O,O,O,X,O,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,O,X,X,O,X,X,X
TLOSJIZ,O,O,O,X,X,O,X,X,X,X,X,X
TLOSJZI,O,O,O,O,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,O,O,X,O,O,X,O,X,X,X
TLOSZJI,O,O,O,O,X,O,O,X,O,X,X,X
TLOZIJS,O,O,O,O,X,O,O,X,O,X,X,X
TLOZISJ,O,O,O,O,X,O,O,X,O,X,X,X
TLOZJIS,O,O,O,O,X,O,O,X,O,X,X,X
TLOZJSI,O,O,O,O,X,O,O,X,O,X,X,X
TLOZSIJ,O,O,O,O,X,O,O,X,O,X,X,X
TLOZSJI,O,O,O,O,X,O,O,X,O,X,X,X
TJILSZO,X,O,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,O,X,O,X,O,O,X,X,X,X,X
TJILZOS,X,O,X,O,X,O,O,X,X,X,X,X
TJILOSZ,X,O,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,O,X,O,X,O,O,X,X,X,X,X
TJISLZO,X,O,X,X,X,O,X,X,X,X,X,X
TJISLOZ,X,O,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,O,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,O,X,X,X,O,X,X,X,X,X,X
TJISOZL,X,O,X,X,X,O,X,X,X,X,X,X
TJIZLSO,X,O,X,O,X,O,O,O,X,X,X,X
TJIZLOS,X,O,X,O,X,O,O,X,X,X,X,X
TJIZSLO,X,O,X,O,X,X,O,O,X,X,X,X
TJIZSOL,X,O,X,O,X,X,O,O,X,X,X,X
TJIZOLS,X,O,X,O,X,O,X,X,X,X,X,X
TJIZOSL,X,X,X,O,X,O,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,O,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,O,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZLS,X,O,X,O,X,O,X,X,X,X,X,X
TJIOZSL,X,X,X,O,X,O,X,X,X,X,X,X
TJLISZO,X,O,O,X,X,O,X,X,X,X,X,X
TJLISOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJLIZSO,X,O,O,O,X,O,O,X,X,X,X,X
TJLIZOS,X,O,X,O,X,O,O,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,O,X,X,X,X,X,X
TJLIOZS,X,O,X,O,X,O,O,X,X,X,X,X
TJLSIZO,X,O,O,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZIO,X,O,O,O,X,O,O,X,X,X,X,X
TJLSZOI,X,O,O,O,X,X,O,X,X,X,X,X
TJLSOIZ,X,O,O,X,X,X,X,X,X,X,X,X
TJLSOZI,X,O,O,O,X,X,O,X,X,X,X,X
TJLZISO,X,O,O,O,X,O,O,O,X,X,X,X
TJLZIOS,X,O,X,O,X,O,O,X,X,X,X,X
TJLZSIO,X,O,O,O,X,O,O,O,X,X,X,X
TJLZSOI,X,O,O,O,X,X,O,O,X,X,X,X
TJLZOIS,X,O,X,O,X,O,O,X,X,X,X,X
TJLZOSI,X,O,X,O,X,O,O,O,X,X,X,X
TJLOISZ,X,O,O,X,X,O,X,X,X,X,X,X
TJLOIZS,X,O,O,O,X,O,O,X,X,X,X,X
TJLOSIZ,X,O,O,X,X,O,X,X,X,X,X,X
TJLOSZI,X,O,O,O,X,O,O,X,X,X,X,X
TJLOZIS,X,O,O,O,X,O,O,X,X,X,X,X
TJLOZSI,X,O,O,O,X,O,O,X,X,X,X,X
TJSILZO,X,O,X,X,X,O,X,X,X,X,X,X
TJSILOZ,X,O,X,X,X,X,X,X,X,X,X,X
TJSIZLO,X,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,X,X,O,X,X,X,X,X,X
TJSIOZL,X,O,X,X,X,O,X,X,X,X,X,X
TJSLIZO,X,O,O,X,X,O,X,X,X,X,X,X
TJSLIOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJSLZIO,X,O,O,X,X,O,O,X,X,X,X,X
TJSLZOI,X,O,O,X,X,X,O,X,X,X,X,X
TJSLOIZ,X,O,O,X,X,X,X,X,X,X,X,X
TJSLOZI,X,O,O,X,X,X,O,X,X,X,X,X
TJSZILO,X,O,X,X,X,X,O,O,X,X,O,X
TJSZIOL,X,O,X,X,X,X,O,O,O,X,O,X
TJSZLIO,X,O,X,X,X,X,O,O,X,X,O,X
TJSZLOI,X,O,X,X,X,X,O,O,O,X,X,X
TJSZOIL,X,O,X,X,X,X,O,O,O,X,O,X
TJSZOLI,X,O,X,X,X,X,O,O,O,X,X,X
TJSOILZ,X,O,O,X,X,O,X,X,X,X,X,X
TJSOIZL,X,O,O,X,X,O,X,X,O,X,X,X
TJSOLIZ,X,O,O,X,X,O,X,X,X,X,X,X
TJSOLZI,X,O,O,X,X,O,X,X,X,X,X,X
TJSOZIL,X,O,O,X,X,O,X,X,O,X,X,X
TJSOZLI,X,O,O,X,X,O,X,X,O,X,X,X
TJZILSO,X,O,X,O,X,O,O,O,X,X,X,X
TJZILOS,X,O,X,O,X,O,O,X,X,X,X,X
TJZISLO,X,O,X,O,X,X,O,O,X,X,O,X
TJZISOL,X,O,X,O,X,X,O,O,O,X,O,X
TJZIOLS,X,O,X,O,X,O,X,X,O,X,X,X
TJZIOSL,X,X,X,O,X,O,X,X,O,X,X,X
TJZLISO,X,O,X,O,X,O,O,O,X,X,X,X
TJZLIOS,X,O,X,O,X,O,O,X,X,X,X,X
TJZLSIO,X,O,X,O,X,O,O,O,X,X,X,X
TJZLSOI,X,O,X,O,X,X,O,O,O,X,X,X
TJZLOIS,X,O,X,O,X,O,O,X,O,X,X,X
TJZLOSI,X,O,X,O,X,X,O,O,O,X,X,X
TJZSILO,X,O,X,O,X,X,O,O,X,X,O,X
TJZSIOL,X,O,X,O,X,X,O,O,O,X,O,X
TJZSLIO,X,O,X,O,X,X,O,O,X,X,O,X
TJZSLOI,X,O,X,O,X,X,O,O,O,X,X,X
TJZSOIL,X,O,X,O,X,X,O,O,O,X,O,X
TJZSOLI,X,O,X,O,X,X,O,O,O,X,X,X
TJZOILS,X,O,X,O,X,O,X,X,O,X,X,X
TJZOISL,X,X,X,O,X,O,X,X,O,X,X,X
TJZOLIS,X,O,X,O,X,O,O,X,O,X,X,X
TJZOLSI,X,O,X,O,X,O,O,O,O,X,X,X
TJZOSIL,X,O,X,O,X,O,O,O,O,X,X,X
TJZOSLI,X,O,X,O,X,O,O,O,O,X,X,X
TJOILSZ,X,O,O,X,X,O,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,O,X,X,X,X,X,X
TJOISLZ,X,X,O,X,X,O,X,X,X,X,X,X
TJOISZL,X,X,O,X,X,O,X,X,O,X,X,X
TJOIZLS,X,O,X,O,X,O,X,X,O,X,X,X
TJOIZSL,X,X,O,O,X,O,X,X,O,X,X,X
TJOLISZ,X,O,O,X,X,O,X,X,X,X,X,X
TJOLIZS,X,O,O,X,X,O,O,X,X,X,X,X
TJOLSIZ,X,O,O,X,X,O,X,X,X,X,X,X
TJOLSZI,X,O,O,X,X,O,O,X,X,X,X,X
TJOLZIS,X,O,O,X,X,O,O,X,X,X,X,X
TJOLZSI,X,O,O,X,X,O,O,X,X,X,X,X
TJOSILZ,X,O,O,X,X,O,X,X,X,X,X,X
TJOSIZL,X,O,O,X,X,O,X,X,O,X,X,X
TJOSLIZ,X,O,O,X,X,O,X,X,X,X,X,X
TJOSLZI,X,O,O,X,X,O,X,X,X,X,X,X
TJOSZIL,X,O,O,O,X,O,X,X,O,X,X,X
TJOSZLI,X,O,O,O,X,O,X,X,O,X,X,X
TJOZILS,X,O,X,O,X,O,X,X,O,X,X,X
TJOZISL,X,X,O,O,X,O,X,X,O,X,X,X
TJOZLIS,X,O,X,O,X,O,O,X,O,X,X,X
TJOZLSI,X,O,X,O,X,O,O,O,O,X,X,X
TJOZSIL,X,O,O,O,X,O,O,O,O,X,X,X
TJOZSLI,X,O,O,O,X,O,O,O,O,X,X,X
TSILJZO,O,O,O,X,X,O,X,X,X,X,X,X
TSILJOZ,O,O,O,X,X,X,X,X,X,X,X,X
TSILZJO,O,O,O,O,X,O,X,X,X,X,X,X
TSILZOJ,X,O,X,O,X,O,X,X,X,O,X,X
TSILOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSILOZJ,O,O,X,O,X,O,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,O,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJZLO,X,O,X,X,X,X,X,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,X,X,X,O,X,X
TSIJOLZ,O,O,X,X,X,O,X,X,X,X,X,X
TSIJOZL,X,O,X,X,X,O,X,X,X,X,X,X
TSIZLJO,O,O,X,O,O,X,X,X,X,X,O,O
TSIZLOJ,X,O,X,O,X,X,X,X,X,O,X,X
TSIZJLO,X,O,X,O,O,X,X,X,X,X,O,O
TSIZJOL,X,O,X,O,O,X,X,X,O,O,O,O
TSIZOLJ,O,O,X,O,O,X,X,X,O,O,X,X
TSIZOJL,X,X,X,O,O,X,X,X,O,O,O,O
TSIOLJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,O,X,X,O,X,X,X
TSIOJLZ,O,X,O,X,X,O,X,X,X,X,X,X
TSIOJZL,X,X,O,X,X,O,X,X,O,X,X,X
TSIOZLJ,O,O,X,O,O,X,X,X,O,O,X,X
TSIOZJL,X,X,O,O,O,O,X,X,O,O,X,X
TSLIJZO,O,O,O,X,X,O,X,X,X,X,X,X
TSLIJOZ,O,O,O,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,O,O,X,O,X,X,X,X,X,X
TSLIZOJ,X,O,X,O,X,O,X,X,X,O,X,X
TSLIOJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSLIOZJ,O,O,X,O,X,O,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,O,X,X,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,X,X,X,X,X
TSLJZIO,O,O,O,O,X,O,O,X,X,X,X,X
TSLJZOI,O,O,O,O,X,X,O,X,X,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TSLJOZI,O,O,O,O,X,X,O,X,X,X,X,X
TSLZIJO,O,O,O,O,X,O,O,X,X,X,O,O
TSLZIOJ,X,O,X,O,X,O,O,X,X,O,X,X
