sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
TIOJLZS,O,X,O,O,O,X,X,X,X,O,X,O
TIOJSLZ,O,X,X,X,X,X,X,X,X,O,X,X
TIOJSZL,O,X,X,X,O,X,X,X,X,X,O,X
TIOJZLS,X,X,X,X,O,X,X,X,X,O,X,O
TIOJZSL,X,X,X,X,O,X,X,X,X,O,X,O
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,X,X,O
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,O,O,X,X,O,X,X,X,X,X,X,O
TIOSZJL,O,X,X,X,O,X,X,X,X,X,X,O
TIOZLJS,X,X,O,X,X,X,X,X,X,X,X,O
TIOZLSJ,X,X,O,X,O,X,X,X,X,X,X,O
TIOZJLS,X,X,X,X,X,X,X,X,X,X,X,O
TIOZJSL,X,X,X,X,O,X,X,X,X,X,X,O
TIOZSLJ,X,X,X,X,O,X,X,X,X,X,X,O
TIOZSJL,X,X,X,X,O,X,X,X,X,X,X,O
TLIJSZO,X,O,O,O,X,O,X,X,X,O,X,X
TLIJSOZ,O,O,O,O,X,X,O,X,X,X,X,X
TLIJZSO,O,O,O,O,X,O,X,X,X,O,X,X
TLIJZOS,O,O,O,O,X,O,X,X,X,O,X,X
TLIJOSZ,O,O,O,O,X,X,O,O,X,X,X,X
TLIJOZS,O,O,O,O,X,O,O,O,X,O,X,X
TLISJZO,X,O,O,O,X,X,X,X,X,X,X,X
TLISJOZ,O,O,O,O,X,X,O,X,X,X,X,X
