sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
ITLSZJO,X,O,O,O,X,X,X,X,X,X,X,X
ITLSZOJ,O,O,O,O,X,X,X,X,X,X,X,X
ITLSOJZ,O,O,O,O,X,X,O,X,X,X,X,X
ITLSOZJ,O,O,O,O,X,X,X,X,X,X,X,X
ITLZJSO,X,X,O,O,X,O,X,X,X,O,X,X
ITLZJOS,X,X,O,O,X,O,X,X,X,O,X,X
ITLZSJO,X,X,O,O,O,O,X,X,X,X,X,X
ITLZSOJ,O,X,O,O,O,O,X,X,X,X,X,X
ITLZOJS,X,X,O,O,X,X,X,O,X,O,X,O
ITLZOSJ,O,X,O,O,O,X,X,X,X,X,X,O
ITLOJSZ,O,O,O,O,X,X,O,O,X,O,X,X
ITLOJZS,X,O,O,O,X,X,O,O,X,O,X,O
ITLOSJZ,O,O,O,O,X,X,O,X,X,X,X,X
ITLOSZJ,O,O,O,O,X,X,X,X,X,X,X,O
ITLOZJS,X,X,O,O,X,X,X,O,X,X,X,O
ITLOZSJ,O,X,O,O,O,X,X,X,X,X,X,O
ITJLSZO,O,X,O,O,X,O,X,X,X,O,X,X
ITJLSOZ,O,X,O,O,X,X,O,X,X,X,X,X
ITJLZSO,O,X,O,O,O,O,X,X,X,O,X,X
ITJLZOS,O,X,O,O,O,O,X,X,X,O,X,X
ITJLOSZ,O,X,O,O,X,X,O,O,X,X,X,X
ITJLOZS,O,X,O,O,O,O,O,O,X,O,X,X
ITJSLZO,O,X,X,X,X,O,X,X,X,O,X,X
ITJSLOZ,O,X,X,X,X,X,O,X,X,X,X,X
ITJSZLO,X,X,X,X,O,X,X,X,X,X,O,X
ITJSZOL,O,X,X,X,O,X,X,X,X,X,O,X
ITJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,X,X,O,X,X,X,X,X,O,X
ITJZLSO,X,X,X,X,O,O,X,X,X,O,X,X
ITJZLOS,X,X,X,X,O,O,X,X,X,O,X,X
ITJZSLO,X,X,X,X,O,O,X,X,X,O,X,X
ITJZSOL,X,X,X,X,O,O,X,X,X,X,X,X
ITJZOLS,X,X,X,X,O,O,X,X,X,O,X,X
ITJZOSL,X,X,X,X,O,X,X,X,X,X,X,X
ITJOLSZ,O,X,O,O,X,X,X,X,X,X,X,X
ITJOLZS,O,X,O,O,O,O,X,X,X,O,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,X,X,O,X,X,X,X,X,O,X
ITJOZLS,X,X,X,X,O,X,X,X,X,X,X,X
ITJOZSL,X,X,X,X,O,X,X,X,X,X,X,X
ITSLJZO,X,O,X,O,X,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,O,X,X,X,X,X
ITSLZJO,X,O,X,O,X,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,O,X,X,X,X,X,X,X,X
ITSLOJZ,O,O,X,O,X,X,O,X,X,X,X,X
ITSLOZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,O,X,X,X,X,X
ITSJZLO,X,X,X,X,X,X,X,X,X,X,O,X
ITSJZOL,O,X,X,X,X,X,X,X,X,X,O,X
ITSJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,X,X,X,X,X,X,X,O,X
ITSZLJO,X,X,X,X,O,X,X,X,X,X,X,X
ITSZLOJ,X,X,X,X,O,X,X,X,X,X,X,X
ITSZJLO,X,X,X,X,O,X,X,X,X,X,X,X
ITSZJOL,O,X,X,X,O,X,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,O,X,X,X,X,X,X,X
ITSZOJL,O,X,X,X,O,X,X,X,X,X,X,X
ITSOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,X,X,X,X,X,X,X,O,X
ITSOZLJ,O,O,X,X,O,X,X,X,X,X,X,X
ITSOZJL,O,X,X,X,O,X,X,X,X,X,X,X
ITZLJSO,X,X,O,X,X,O,X,X,X,O,X,X
ITZLJOS,X,X,O,X,X,O,X,X,X,O,X,X
ITZLSJO,X,X,O,X,O,O,X,X,X,X,X,X
ITZLSOJ,X,X,O,X,O,O,X,X,X,X,X,X
ITZLOJS,X,X,O,X,X,X,X,O,X,O,X,O
ITZLOSJ,X,X,O,X,O,X,X,X,X,X,X,O
ITZJLSO,X,X,X,X,X,O,X,X,X,O,X,X
ITZJLOS,X,X,X,X,X,O,X,X,X,O,X,X
ITZJSLO,X,X,X,X,O,O,X,X,X,O,X,X
ITZJSOL,X,X,X,X,O,O,X,X,X,X,X,X
ITZJOLS,X,X,X,X,X,O,X,X,X,O,X,X
ITZJOSL,X,X,X,X,O,X,X,X,X,X,X,X
ITZSLJO,X,X,X,X,O,O,X,X,X,X,X,X
ITZSLOJ,X,X,X,X,O,O,X,X,X,X,X,X
ITZSJLO,X,X,X,X,O,O,X,X,X,X,X,X
ITZSJOL,X,X,X,X,O,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,X,O,O,X,X,X,X,X,X
ITZSOJL,X,X,X,X,O,O,X,X,X,X,X,X
ITZOLJS,X,X,O,X,X,X,X,X,X,O,X,O
ITZOLSJ,X,X,O,X,O,X,X,X,X,X,X,O
ITZOJLS,X,X,X,X,X,X,X,X,X,O,X,O
ITZOJSL,X,X,X,X,O,X,X,X,X,O,X,O
ITZOSLJ,X,X,X,X,O,X,X,X,X,X,X,O
ITZOSJL,X,X,X,X,O,X,X,X,X,X,X,O
ITOLJSZ,O,O,O,O,X,X,X,X,X,O,X,X
ITOLJZS,X,O,O,O,X,X,X,X,X,O,X,O
ITOLSJZ,O,O,O,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,O,O,X,X,X,X,X,X,X,O
ITOLZJS,X,X,O,O,X,X,X,X,X,X,X,O
ITOLZSJ,O,X,O,O,O,X,X,X,X,X,X,O
ITOJLSZ,O,X,O,O,X,X,X,X,X,O,X,X
ITOJLZS,O,X,O,O,O,X,X,X,X,O,X,O
ITOJSLZ,O,X,X,X,X,X,X,X,X,O,X,X
ITOJSZL,O,X,X,X,O,X,X,X,X,X,O,X
ITOJZLS,X,X,X,X,O,X,X,X,X,O,X,O
ITOJZSL,X,X,X,X,O,X,X,X,X,O,X,O
ITOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X,X,X,X,O
ITOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X,X,X,X,X,O,X
ITOSZLJ,O,O,X,X,O,X,X,X,X,X,X,O
ITOSZJL,O,X,X,X,O,X,X,X,X,X,X,O
ITOZLJS,X,X,O,X,X,X,X,X,X,X,X,O
ITOZLSJ,X,X,O,X,O,X,X,X,X,X,X,O
ITOZJLS,X,X,X,X,X,X,X,X,X,X,X,O
ITOZJSL,X,X,X,X,O,X,X,X,X,X,X,O
ITOZSLJ,X,X,X,X,O,X,X,X,X,X,X,O
ITOZSJL,X,X,X,X,O,X,X,X,X,X,X,O
ILTJSZO,X,O,O,O,X,O,X,X,X,O,X,X
ILTJSOZ,O,O,O,O,X,X,O,X,X,X,X,X
ILTJZSO,O,O,O,O,X,O,X,X,X,O,X,X
ILTJZOS,O,O,O,O,X,O,X,X,X,O,X,X
ILTJOSZ,O,O,O,O,X,X,O,O,X,X,X,X
ILTJOZS,O,O,O,O,X,O,O,O,X,O,X,X
ILTSJZO,X,O,O,O,X,X,X,X,X,X,X,X
ILTSJOZ,O,O,O,O,X,X,O,X,X,X,X,X
ILTSZJO,X,O,O,O,X,X,X,X,X,X,X,X
ILTSZOJ,O,O,O,O,X,X,X,X,X,X,X,X
ILTSOJZ,O,O,O,O,X,X,O,X,X,X,X,X
ILTSOZJ,O,O,O,O,X,X,X,X,X,X,X,X
ILTZJSO,X,X,O,O,X,O,X,X,X,O,X,X
ILTZJOS,X,X,O,O,X,O,X,X,X,O,X,X
ILTZSJO,X,X,O,O,O,O,X,X,X,X,X,X
ILTZSOJ,O,X,O,O,O,O,X,X,X,X,X,X
ILTZOJS,X,X,O,O,X,X,X,O,X,O,X,O
ILTZOSJ,O,X,O,O,O,X,X,X,X,X,X,O
ILTOJSZ,O,O,O,O,X,X,O,O,X,O,X,X
ILTOJZS,O,O,O,O,X,X,O,O,X,O,X,O
ILTOSJZ,O,O,O,O,X,X,O,X,X,X,X,X
ILTOSZJ,O,O,O,O,X,X,X,X,X,X,X,O
ILTOZJS,X,X,O,O,X,X,X,O,X,X,X,O
ILTOZSJ,O,X,O,O,O,X,X,X,X,X,X,O
ILJTSZO,O,O,O,O,X,O,X,X,X,O,X,X
ILJTSOZ,O,O,O,O,X,X,O,X,X,X,X,X
ILJTZSO,O,O,O,O,X,O,X,X,X,O,X,X
ILJTZOS,O,O,O,O,X,O,X,X,X,O,X,X
ILJTOSZ,O,O,O,O,X,X,O,O,X,X,X,X
ILJTOZS,O,O,O,O,X,O,O,O,X,O,X,X
ILJSTZO,X,X,O,O,X,O,X,X,X,O,X,X
ILJSTOZ,O,O,O,O,X,X,X,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X,X,X,X,O,X
ILJSZOT,O,O,O,X,X,X,X,X,X,X,O,X
ILJSOTZ,O,O,O,O,X,X,O,O,X,X,X,X
ILJSOZT,O,O,O,X,X,X,X,O,X,X,O,X
ILJZTSO,O,O,O,O,X,O,X,X,X,O,X,X
ILJZTOS,O,O,O,O,X,O,X,X,X,O,X,X
ILJZSTO,O,O,X,X,X,X,X,X,X,O,X,X
ILJZSOT,O,O,O,X,X,X,X,X,X,X,X,X
ILJZOTS,O,O,O,O,X,X,O,O,X,O,X,O
ILJZOST,O,O,O,X,X,X,X,O,X,O,X,O
ILJOTSZ,O,O,O,O,X,X,O,O,X,O,X,X
ILJOTZS,O,O,O,O,X,O,O,O,X,O,X,X
ILJOSTZ,O,O,O,O,X,X,O,O,X,O,X,X
ILJOSZT,O,O,O,X,X,X,X,O,X,X,O,X
ILJOZTS,O,O,O,O,X,X,O,O,X,O,X,X
ILJOZST,O,O,O,X,X,X,X,O,X,X,X,X
ILSTJZO,X,X,O,O,X,X,X,X,X,X,X,X
ILSTJOZ,X,O,O,O,X,X,X,X,X,X,X,X
ILSTZJO,X,X,O,O,X,X,X,X,O,X,X,X
ILSTZOJ,X,X,O,O,X,X,X,X,O,X,X,X
ILSTOJZ,O,O,O,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSJTZO,X,X,O,O,X,X,X,X,X,O,X,X
ILSJTOZ,O,O,O,O,X,X,X,X,X,X,X,X
ILSJZTO,O,X,X,X,X,X,X,X,X,X,O,X
ILSJZOT,O,O,O,X,X,X,X,X,X,X,O,X
ILSJOTZ,O,O,O,O,X,X,X,X,X,X,X,X
ILSJOZT,O,O,O,X,X,X,X,X,X,X,O,X
ILSZTJO,X,X,X,X,X,X,X,X,O,X,X,X
ILSZTOJ,O,X,X,X,X,X,X,X,O,X,X,X
ILSZJTO,X,X,X,X,X,X,X,X,X,O,X,X
ILSZJOT,O,O,O,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,X,X,X,O
ILSZOJT,O,O,O,X,X,X,X,X,X,O,X,O
ILSOTJZ,O,O,O,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILSOJTZ,O,O,O,O,X,X,X,X,X,O,X,X
ILSOJZT,O,O,O,X,X,X,X,X,X,X,O,X
ILSOZTJ,O,X,X,X,X,X,X,X,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X,X,X,X,X,X
ILZTJSO,O,O,O,O,X,X,X,X,X,O,X,X
ILZTJOS,O,O,O,O,X,X,X,X,X,O,X,X
ILZTSJO,O,O,O,O,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,O,O,O,X,X,X,X,X,X,X
ILZTOJS,O,O,O,O,X,X,X,X,X,O,X,O
ILZTOSJ,O,O,O,O,O,X,X,X,X,X,X,O
ILZJTSO,O,O,O,O,X,X,X,X,X,O,X,X
ILZJTOS,O,O,O,O,X,X,X,X,X,O,X,X
ILZJSTO,O,O,X,X,X,X,X,X,X,O,X,X
ILZJSOT,O,O,O,X,X,X,X,X,X,X,X,X
ILZJOTS,O,O,O,O,X,X,X,X,X,O,X,O
ILZJOST,O,O,O,X,X,X,X,X,X,O,X,O
ILZSTJO,X,O,X,X,O,X,X,X,O,X,X,X
ILZSTOJ,O,O,X,X,O,X,X,X,O,X,X,X
ILZSJTO,X,O,X,X,O,X,X,X,X,O,X,X
ILZSJOT,O,O,O,X,O,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,O,X,X,X,X,X,X,O
ILZSOJT,O,O,O,X,O,X,X,X,X,O,X,O
ILZOTJS,O,O,O,O,X,X,X,X,X,O,X,O
ILZOTSJ,O,O,O,O,O,X,X,X,X,X,X,O
ILZOJTS,O,O,O,O,X,X,X,X,X,O,X,O
ILZOJST,O,O,O,X,X,X,X,X,X,O,X,O
ILZOSTJ,O,O,X,X,O,X,X,X,X,X,X,O
ILZOSJT,O,O,O,X,O,X,X,X,X,O,X,O
ILOTJSZ,O,O,O,O,X,X,O,O,X,O,X,X
ILOTJZS,O,O,O,O,X,X,O,O,X,O,X,O
ILOTSJZ,O,O,O,O,X,X,O,X,X,X,X,X
ILOTSZJ,O,O,O,O,X,X,X,X,X,X,X,O
ILOTZJS,X,X,O,O,X,X,X,O,X,X,X,O
ILOTZSJ,O,X,O,O,O,X,X,X,X,X,X,O
ILOJTSZ,O,O,O,O,X,X,O,O,X,O,X,X
ILOJTZS,O,O,O,O,X,X,O,O,X,O,X,O
ILOJSTZ,O,O,O,O,X,X,O,O,X,O,X,X
ILOJSZT,O,O,O,X,X,X,X,O,X,X,O,X
ILOJZTS,O,O,O,O,X,X,O,O,X,O,X,O
ILOJZST,O,O,O,X,X,X,X,O,X,O,X,O
ILOSTJZ,O,O,O,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,X,X,X,X,X,O
ILOSJTZ,O,O,O,O,X,X,X,X,X,O,X,X
ILOSJZT,O,O,O,X,X,X,X,X,X,X,O,X
ILOSZTJ,O,X,X,X,X,X,X,X,X,X,X,O
ILOSZJT,O,O,O,X,X,X,X,X,X,X,X,O
ILOZTJS,O,O,O,O,X,X,X,X,X,O,X,O
ILOZTSJ,O,O,O,O,O,X,X,X,X,X,X,O
ILOZJTS,O,O,O,O,X,X,X,O,X,O,X,O
ILOZJST,O,O,O,X,X,X,X,O,X,O,X,O
ILOZSTJ,O,O,X,X,O,X,X,X,X,X,X,O
ILOZSJT,O,O,O,X,O,X,X,X,X,O,X,O
IJTLSZO,O,X,O,O,X,O,X,X,X,O,X,X
IJTLSOZ,O,X,O,O,X,X,O,X,X,X,X,X
IJTLZSO,O,X,O,O,O,O,X,X,X,O,X,X
IJTLZOS,O,X,O,O,O,O,X,X,X,O,X,X
IJTLOSZ,O,X,O,O,X,X,O,O,X,X,X,X
IJTLOZS,O,X,O,O,O,O,O,O,X,O,X,X
IJTSLZO,O,X,X,X,X,O,X,X,X,O,X,X
IJTSLOZ,O,X,X,X,X,X,O,X,X,X,X,X
IJTSZLO,X,X,X,X,O,X,X,X,X,X,O,X
IJTSZOL,O,X,X,X,O,X,X,X,X,X,O,X
IJTSOLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJTSOZL,O,X,X,X,O,X,X,X,X,X,O,X
IJTZLSO,X,X,X,X,O,O,X,X,X,O,X,X
IJTZLOS,X,X,X,X,O,O,X,X,X,O,X,X
IJTZSLO,X,X,X,X,O,O,X,X,X,O,X,X
IJTZSOL,X,X,X,X,O,O,X,X,X,X,X,X
IJTZOLS,X,X,X,X,O,O,X,X,X,O,X,X
IJTZOSL,X,X,X,X,O,X,X,X,X,X,X,X
IJTOLSZ,O,X,O,O,X,O,X,X,X,X,X,X
IJTOLZS,O,X,O,O,O,O,X,X,X,O,X,X
IJTOSLZ,O,X,X,X,X,O,X,X,X,X,X,X
IJTOSZL,O,X,X,X,O,X,X,X,X,X,O,X
IJTOZLS,X,X,X,X,O,O,X,X,X,X,X,X
IJTOZSL,X,X,X,X,O,X,X,X,X,X,X,X
IJLTSZO,O,X,O,O,X,O,X,X,X,O,X,X
IJLTSOZ,O,X,O,O,X,X,O,X,X,X,X,X
IJLTZSO,O,X,O,O,O,O,X,X,X,O,X,X
IJLTZOS,O,X,O,O,O,O,X,X,X,O,X,X
IJLTOSZ,O,X,O,O,X,X,O,O,X,X,X,X
IJLTOZS,O,X,O,O,O,O,O,O,X,O,X,X
IJLSTZO,X,X,O,O,X,O,X,X,X,O,X,X
IJLSTOZ,O,X,O,O,X,X,X,X,X,X,X,X
IJLSZTO,O,X,X,X,X,X,X,X,X,X,O,X
IJLSZOT,O,X,O,X,X,X,X,X,X,X,O,X
IJLSOTZ,O,X,O,O,X,X,O,O,X,X,X,X
IJLSOZT,O,X,O,X,X,X,X,O,X,X,O,X
IJLZTSO,O,X,O,O,O,O,X,X,X,O,X,X
IJLZTOS,O,X,O,O,O,O,X,X,X,O,X,X
IJLZSTO,O,X,X,X,O,X,X,X,X,O,X,X
IJLZSOT,O,X,O,X,O,X,X,X,X,X,X,X
IJLZOTS,O,X,O,O,O,X,O,O,X,O,X,O
IJLZOST,O,X,O,X,O,X,X,O,X,O,X,O
IJLOTSZ,O,X,O,O,X,O,O,O,X,O,X,X
IJLOTZS,O,X,O,O,O,O,O,O,X,O,X,X
IJLOSTZ,O,X,O,O,X,X,O,O,X,O,X,X
IJLOSZT,O,X,O,X,X,X,X,O,X,X,O,X
IJLOZTS,O,X,O,O,O,X,O,O,X,O,X,X
IJLOZST,O,X,O,X,O,X,X,O,X,X,X,X
IJSTLZO,X,X,X,X,X,O,X,X,X,O,X,X
IJSTLOZ,X,X,X,X,X,X,O,X,X,X,X,X
IJSTZLO,X,X,X,X,O,X,X,X,X,X,O,X
IJSTZOL,X,X,X,X,O,X,X,X,X,X,O,X
IJSTOLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSTOZL,X,X,X,X,O,X,X,X,X,X,O,X
IJSLTZO,X,X,O,O,X,O,X,X,X,O,X,X
IJSLTOZ,O,X,O,O,X,X,X,X,X,X,X,X
IJSLZTO,X,X,X,X,X,X,X,X,X,X,O,X
IJSLZOT,O,X,O,X,X,X,X,X,X,X,O,X
IJSLOTZ,O,X,O,O,X,X,O,O,X,X,X,X
IJSLOZT,O,X,O,X,X,X,X,O,X,X,O,X
IJSZTLO,X,X,X,X,O,O,X,X,X,X,O,X
IJSZTOL,X,X,X,X,O,X,X,X,X,X,O,X
IJSZLTO,X,X,X,X,O,X,X,X,X,X,O,X
IJSZLOT,X,X,X,X,O,X,X,X,X,X,O,X
IJSZOTL,X,X,X,X,O,X,X,X,X,X,O,X
IJSZOLT,O,X,X,X,O,X,X,X,X,X,O,X
IJSOTLZ,O,X,X,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,X,X,O,X,X,X,X,X,O,X
IJSOLTZ,O,X,O,O,X,X,X,X,X,X,X,X
IJSOLZT,O,X,O,X,X,X,X,X,X,X,O,X
IJSOZTL,X,X,X,X,O,X,X,X,X,X,O,X
IJSOZLT,O,X,X,X,O,X,X,X,X,X,O,X
IJZTLSO,O,X,X,X,O,O,X,X,X,O,X,X
IJZTLOS,O,X,X,X,O,O,X,X,X,O,X,X
IJZTSLO,O,X,X,X,O,O,X,X,X,O,X,X
IJZTSOL,O,X,X,X,O,O,X,X,X,X,X,X
IJZTOLS,O,X,X,X,O,O,X,X,X,O,X,X
IJZTOSL,O,X,X,X,O,X,X,X,X,X,X,X
IJZLTSO,O,X,O,O,O,O,X,X,X,O,X,X
IJZLTOS,O,X,O,O,O,O,X,X,X,O,X,X
IJZLSTO,O,X,X,X,O,X,X,X,X,O,X,X
IJZLSOT,O,X,O,X,O,X,X,X,X,X,X,X
IJZLOTS,O,X,O,O,O,X,O,O,X,O,X,O
IJZLOST,O,X,O,X,O,X,X,O,X,O,X,O
IJZSTLO,X,X,X,X,O,O,X,X,X,O,O,X
IJZSTOL,O,X,X,X,O,O,X,X,X,X,O,X
IJZSLTO,O,X,X,X,O,O,X,X,X,O,O,X
IJZSLOT,O,X,X,X,O,O,X,X,X,X,O,X
IJZSOTL,O,X,X,X,O,O,X,X,X,X,O,X
IJZSOLT,O,X,X,X,O,O,X,X,X,X,O,X
IJZOTLS,O,X,X,X,O,O,X,X,X,O,X,O
IJZOTSL,O,X,X,X,O,X,X,X,X,O,X,O
IJZOLTS,O,X,O,O,O,X,X,X,X,O,X,O
IJZOLST,O,X,O,X,O,X,X,X,X,O,X,O
IJZOSTL,O,X,X,X,O,O,X,X,X,O,O,O
IJZOSLT,O,X,X,X,O,O,X,X,X,O,O,O
IJOTLSZ,O,X,O,O,X,O,X,X,X,O,X,X
IJOTLZS,O,X,O,O,O,O,X,X,X,O,X,X
IJOTSLZ,O,X,X,X,X,O,X,X,X,O,X,X
IJOTSZL,O,X,X,X,O,X,X,X,X,X,O,X
IJOTZLS,X,X,X,X,O,O,X,X,X,O,X,X
IJOTZSL,X,X,X,X,O,O,X,X,X,X,X,X
IJOLTSZ,O,X,O,O,X,O,O,O,X,O,X,X
IJOLTZS,O,X,O,O,O,O,O,O,X,O,X,X
IJOLSTZ,O,X,O,O,X,X,O,O,X,O,X,X
IJOLSZT,O,X,O,X,X,X,X,O,X,X,O,X
IJOLZTS,O,X,O,O,O,X,O,O,X,O,X,X
IJOLZST,O,X,O,X,O,X,X,O,X,X,X,X
IJOSTLZ,O,X,X,X,X,O,X,X,X,O,X,X
IJOSTZL,X,X,X,X,O,X,X,X,X,X,O,X
IJOSLTZ,O,X,O,O,X,X,X,X,X,O,X,X
IJOSLZT,O,X,O,X,X,X,X,X,X,X,O,X
IJOSZTL,X,X,X,X,O,X,X,X,X,X,O,X
IJOSZLT,O,X,X,X,O,X,X,X,X,X,O,X
IJOZTLS,O,X,X,X,O,O,X,X,X,O,X,X
IJOZTSL,O,X,X,X,O,X,X,X,X,X,X,X
IJOZLTS,O,X,O,O,O,X,X,X,X,O,X,X
IJOZLST,O,X,O,X,O,X,X,X,X,X,X,X
IJOZSTL,O,X,X,X,O,O,X,X,X,X,O,X
IJOZSLT,O,X,X,X,O,O,X,X,X,X,O,X
ISTLJZO,X,O,X,O,X,X,X,X,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,O,X,X,X,X,X
ISTLZJO,X,O,X,O,X,X,X,X,O,X,X,X
ISTLZOJ,O,O,X,O,X,X,X,X,O,X,X,X
ISTLOJZ,O,O,X,O,X,X,O,X,X,X,X,X
ISTLOZJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTJLZO,O,X,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X,O,X,X,X,X,X
ISTJZLO,X,X,X,X,X,X,X,X,X,X,O,X
ISTJZOL,O,X,X,X,X,X,X,X,X,X,O,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJOZL,O,X,X,X,X,X,X,X,X,X,O,X
ISTZLJO,X,X,X,X,O,X,X,X,O,X,X,X
ISTZLOJ,X,X,X,X,O,X,X,X,O,X,X,X
ISTZJLO,X,X,X,X,O,X,X,X,O,X,X,X
ISTZJOL,O,X,X,X,O,X,X,X,O,X,X,X
ISTZOLJ,O,O,X,X,O,X,X,X,O,X,X,X
ISTZOJL,O,X,X,X,O,X,X,X,O,X,X,X
ISTOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,O,X,X,X,X,X,X,X,X,X,O,X
ISTOZLJ,O,O,X,X,O,X,X,X,O,X,X,X
ISTOZJL,O,O,X,X,O,X,X,X,O,X,X,X
ISLTJZO,X,X,O,O,X,X,X,X,X,X,X,X
ISLTJOZ,O,O,O,O,X,X,X,X,X,X,X,X
ISLTZJO,X,X,O,O,X,X,X,X,O,X,X,X
ISLTZOJ,X,X,O,O,X,X,X,X,O,X,X,X
ISLTOJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,O,O,X,X,X,X,X,X,X,X
ISLJTZO,X,X,O,O,X,X,X,X,X,O,X,X
ISLJTOZ,X,O,O,O,X,X,X,X,X,X,X,X
ISLJZTO,X,X,X,X,X,X,X,X,X,X,O,X
ISLJZOT,X,O,O,X,X,X,X,X,X,X,O,X
ISLJOTZ,O,O,O,O,X,X,X,X,X,X,X,X
ISLJOZT,O,O,O,X,X,X,X,X,X,X,O,X
ISLZTJO,X,X,X,X,X,X,X,X,O,X,X,X
ISLZTOJ,X,X,X,X,X,X,X,X,O,X,X,X
ISLZJTO,X,X,X,X,X,X,X,X,X,O,X,X
ISLZJOT,X,O,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X,O
ISLZOJT,O,O,O,X,X,X,X,X,X,O,X,O
ISLOTJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,O,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,O,O,X,X,X,X,X,O,X,X
ISLOJZT,O,O,O,X,X,X,X,X,X,X,O,X
ISLOZTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,O,O,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,X,X,X,X,X,O,X,X
ISJTLOZ,O,X,X,X,X,X,O,X,X,X,X,X
ISJTZLO,X,X,X,X,X,X,X,X,X,X,O,X
ISJTZOL,O,X,X,X,X,X,X,X,X,X,O,X
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,O,X,X,X,X,X,X,X,X,X,O,X
ISJLTZO,X,X,O,O,X,X,X,X,X,O,X,X
ISJLTOZ,O,X,O,O,X,X,X,X,X,X,X,X
ISJLZTO,X,X,X,X,X,X,X,X,X,X,O,X
ISJLZOT,O,X,O,X,X,X,X,X,X,X,O,X
ISJLOTZ,O,X,O,O,X,X,X,X,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X,X,X,X,O,X
