sequence,v115@EhD8EeF8DeI8BeC8JeT6IvhFegBCcBxdBlhB3lB0rB,v115@EhD8EeF8DeI8BeC8Jei6IvhFFcBxdBzfB+lB3hB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhF0cBxdBmgBXgB1qBqrB,v115@EhD8EeF8DeI8BeC8JeT6IvhFxdBSlBXmBOlBlmB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhFibBxdBUhBFlBGrBfsB,v115@EhD8EeF8DeI8BeC8JeT6IvhF2gBxdB3hBFlBCmB0rB,v115@EhD8EeF8DeI8BeC8Je//IvhFFbBOhBxdBclBSrBzrB,v115@EhD8EeF8DeI8BeC8Jei6IvhFfhBxdBzfBumB1qB0rB
TIJZLSO,X,O,X,X,O,O,X,X
TIJZLOS,O,O,X,X,O,O,X,X
TIJZSLO,X,O,X,X,O,O,X,X
TIJZSOL,X,O,X,X,O,O,X,O
TIJZOLS,O,O,X,X,O,O,X,O
TIJZOSL,X,O,X,X,O,O,X,O
TIJOLSZ,O,O,O,X,X,O,X,O
TIJOLZS,O,O,O,X,O,X,X,O
TIJOSLZ,O,O,X,X,X,O,X,O
TIJOSZL,O,O,X,X,X,O,X,O
TIJOZLS,O,O,X,X,O,O,X,O
TIJOZSL,X,O,X,X,O,O,X,O
TISLJZO,O,O,O,O,X,X,O,X
TISLJOZ,O,O,O,O,X,O,X,X
TISLZJO,O,O,O,O,X,X,O,X
TISLZOJ,X,X,O,O,X,X,O,X
TISLOJZ,O,O,O,O,X,O,X,X
TISLOZJ,X,X,O,O,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,O,X,O
TISJZLO,O,O,X,X,X,X,O,X
TISJZOL,O,O,X,X,X,O,X,O
TISJOLZ,O,O,X,X,X,O,X,O
TISJOZL,O,O,X,X,X,O,X,O
TISZLJO,O,O,X,X,X,O,O,X
TISZLOJ,X,X,X,X,X,O,O,X
TISZJLO,O,O,X,X,X,O,O,X
TISZJOL,O,O,X,X,X,O,X,X
TISZOLJ,X,X,X,X,X,O,O,X
TISZOJL,O,X,X,X,X,O,X,X
TISOLJZ,O,O,O,X,X,O,X,O
TISOLZJ,X,X,O,X,X,X,X,X
TISOJLZ,O,O,X,X,X,O,X,O
TISOJZL,O,O,X,X,X,O,X,O
TISOZLJ,X,X,X,X,X,O,O,X
TISOZJL,O,X,X,X,X,O,X,X
TIZLJSO,X,X,O,X,O,O,O,X
TIZLJOS,O,X,O,X,O,O,X,X
TIZLSJO,O,X,O,X,X,O,O,X
TIZLSOJ,X,X,O,X,X,O,O,X
TIZLOJS,X,X,O,X,O,O,X,X
TIZLOSJ,X,X,O,X,X,O,X,X
TIZJLSO,X,X,X,X,O,O,X,X
TIZJLOS,O,X,X,X,O,O,X,X
TIZJSLO,X,X,X,X,O,O,X,X
TIZJSOL,X,X,X,X,O,O,X,X
TIZJOLS,O,X,X,X,O,O,X,X
TIZJOSL,X,X,X,X,O,O,X,X
TIZSLJO,O,X,X,X,X,O,O,X
TIZSLOJ,X,X,X,X,X,O,O,X
TIZSJLO,O,X,X,X,X,O,O,X
TIZSJOL,O,X,X,X,X,O,X,X
TIZSOLJ,X,X,X,X,X,O,O,X
TIZSOJL,O,X,X,X,X,O,X,X
TIZOLJS,X,X,O,X,O,O,X,X
TIZOLSJ,X,X,O,X,X,O,X,X
TIZOJLS,O,X,X,X,O,O,X,X
TIZOJSL,X,X,X,X,O,O,X,X
TIZOSLJ,X,X,X,X,X,O,X,X
TIZOSJL,O,X,X,X,X,O,X,X
TIOLJSZ,O,O,O,X,X,O,X,O
TIOLJZS,O,O,O,X,O,X,X,O
TIOLSJZ,O,O,O,O,X,O,X,O
TIOLSZJ,X,X,O,O,X,X,X,X
TIOLZJS,X,X,O,X,O,O,X,X
TIOLZSJ,X,X,O,X,X,O,X,X
TIOJLSZ,O,O,O,X,X,O,X,O
TIOJLZS,O,O,O,X,O,X,X,O
TIOJSLZ,O,O,X,X,X,O,X,O
TIOJSZL,O,O,X,X,X,O,X,O
TIOJZLS,O,O,X,X,O,O,X,O
TIOJZSL,X,O,X,X,O,O,X,O
TIOSLJZ,O,O,O,X,X,O,X,O
TIOSLZJ,X,X,O,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,O,X,O
TIOSJZL,O,O,X,X,X,O,X,O
TIOSZLJ,X,X,X,X,X,O,X,X
TIOSZJL,O,X,X,X,X,O,X,X
TIOZLJS,X,X,O,X,O,O,X,X
TIOZLSJ,X,X,O,X,X,O,X,X
TIOZJLS,O,X,X,X,O,O,X,X
TIOZJSL,X,X,X,X,O,O,X,X
TIOZSLJ,X,X,X,X,X,O,X,X
TIOZSJL,O,X,X,X,X,O,X,X
TLIJSZO,O,O,O,X,X,X,O,X
TLIJSOZ,O,O,O,X,X,O,X,X
TLIJZSO,X,O,O,X,O,X,O,X
TLIJZOS,O,O,O,X,O,X,X,X
TLIJOSZ,O,O,O,X,X,O,X,O
TLIJOZS,O,O,O,X,O,X,X,O
TLISJZO,O,O,O,O,X,X,O,X
TLISJOZ,O,O,O,O,X,O,X,X
TLISZJO,O,O,O,O,X,X,O,X
TLISZOJ,X,X,O,O,X,X,O,X
TLISOJZ,O,O,O,O,X,O,X,X
TLISOZJ,X,X,O,O,X,X,X,X
TLIZJSO,X,X,O,X,O,O,O,X
TLIZJOS,O,X,O,X,O,O,X,X
TLIZSJO,O,X,O,X,X,O,O,X
TLIZSOJ,X,X,O,X,X,O,O,X
TLIZOJS,X,X,O,X,O,O,X,X
TLIZOSJ,X,X,O,X,X,O,X,X
TLIOJSZ,O,O,O,X,X,O,X,O
TLIOJZS,O,O,O,X,O,X,X,O
TLIOSJZ,O,O,O,O,X,O,X,X
TLIOSZJ,X,X,O,O,X,X,X,X
TLIOZJS,X,X,O,X,O,O,X,X
TLIOZSJ,X,X,O,X,X,O,X,X
TLJISZO,O,O,O,X,X,X,O,X
TLJISOZ,O,O,O,X,X,O,X,O
TLJIZSO,X,O,O,X,O,X,O,X
TLJIZOS,O,O,O,X,O,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,O
TLJIOZS,O,O,O,X,O,X,X,O
TLJSIZO,O,O,O,X,X,X,O,X
TLJSIOZ,O,O,O,X,X,O,X,O
TLJSZIO,O,O,O,X,O,X,O,X
TLJSZOI,O,X,O,X,O,X,O,X
TLJSOIZ,O,O,O,X,X,O,X,O
TLJSOZI,O,X,O,X,O,O,X,O
TLJZISO,X,O,O,X,O,X,O,X
TLJZIOS,O,O,O,X,O,X,X,X
TLJZSIO,X,O,O,X,O,X,O,X
TLJZSOI,X,O,O,X,O,X,O,X
TLJZOIS,O,O,O,X,O,X,X,X
TLJZOSI,X,X,O,X,O,X,X,X
TLJOISZ,O,O,O,X,X,O,X,O
TLJOIZS,O,O,O,X,O,X,X,O
TLJOSIZ,O,X,O,X,X,O,X,O
TLJOSZI,X,X,O,X,O,O,X,O
TLJOZIS,O,X,O,X,O,X,X,O
TLJOZSI,X,X,O,X,O,X,X,O
TLSIJZO,O,O,O,O,X,X,O,X
TLSIJOZ,O,O,O,O,X,O,X,X
TLSIZJO,O,O,O,O,X,X,O,X
TLSIZOJ,X,X,O,O,X,X,O,X
TLSIOJZ,O,O,O,O,X,O,X,X
TLSIOZJ,X,X,O,O,X,X,X,X
TLSJIZO,O,O,O,O,X,X,O,X
TLSJIOZ,O,O,O,O,X,O,X,O
TLSJZIO,O,O,O,O,O,X,O,X
TLSJZOI,O,X,O,O,O,X,O,X
TLSJOIZ,O,O,O,O,X,O,X,O
TLSJOZI,O,X,O,O,O,O,X,O
TLSZIJO,O,O,O,O,X,X,O,X
TLSZIOJ,X,X,O,O,X,X,O,X
TLSZJIO,O,X,O,O,O,X,O,X
TLSZJOI,O,X,O,O,O,X,O,X
TLSZOIJ,X,X,O,O,X,X,O,X
TLSZOJI,X,X,O,O,O,X,O,X
TLSOIJZ,O,O,O,O,X,O,X,O
TLSOIZJ,X,X,O,O,X,X,X,X
TLSOJIZ,O,X,O,O,X,O,X,O
TLSOJZI,O,X,O,O,O,O,X,O
TLSOZIJ,X,X,O,O,X,X,X,X
TLSOZJI,X,X,O,O,O,X,X,O
TLZIJSO,X,X,O,X,O,O,O,X
TLZIJOS,O,X,O,X,O,O,X,X
TLZISJO,O,X,O,X,X,O,O,X
TLZISOJ,X,X,O,X,X,O,O,X
TLZIOJS,X,X,O,X,O,O,X,X
TLZIOSJ,X,X,O,X,X,O,X,X
TLZJISO,X,X,O,X,O,O,O,X
TLZJIOS,O,X,O,X,O,O,X,X
TLZJSIO,X,X,O,X,O,O,O,X
TLZJSOI,X,X,O,X,O,O,O,X
TLZJOIS,O,X,O,X,O,O,X,X
TLZJOSI,X,X,O,X,O,O,X,X
TLZSIJO,O,X,O,X,X,O,O,X
TLZSIOJ,X,X,O,X,X,O,O,X
TLZSJIO,O,X,O,X,O,O,O,X
TLZSJOI,O,X,O,X,O,O,O,X
TLZSOIJ,X,X,O,X,X,O,O,X
TLZSOJI,X,X,O,X,O,O,O,X
TLZOIJS,X,X,O,X,O,O,X,X
TLZOISJ,X,X,O,X,X,O,X,X
TLZOJIS,X,X,O,X,O,O,X,X
TLZOJSI,X,X,O,X,O,O,X,X
TLZOSIJ,X,X,O,X,X,O,X,X
TLZOSJI,X,X,O,X,O,O,X,X
TLOIJSZ,O,O,O,X,X,O,X,O
TLOIJZS,O,O,O,X,O,X,X,O
TLOISJZ,O,O,O,O,X,O,X,O
TLOISZJ,X,X,O,O,X,X,X,X
TLOIZJS,X,X,O,X,O,O,X,X
TLOIZSJ,X,X,O,X,X,O,X,X
TLOJISZ,O,O,O,X,X,O,X,O
TLOJIZS,O,O,O,X,O,X,X,O
TLOJSIZ,O,O,O,X,X,O,X,O
TLOJSZI,X,O,O,X,O,O,X,O
TLOJZIS,O,O,O,X,O,X,X,O
TLOJZSI,X,O,O,X,O,X,X,O
TLOSIJZ,O,O,O,O,X,O,X,O
TLOSIZJ,X,X,O,O,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,O
TLOSJZI,O,O,O,O,O,O,X,O
TLOSZIJ,X,X,O,O,X,X,X,X
TLOSZJI,X,X,O,O,O,X,X,O
TLOZIJS,X,X,O,X,O,O,X,X
TLOZISJ,X,X,O,X,X,O,X,X
TLOZJIS,X,X,O,X,O,O,X,O
TLOZJSI,X,X,O,X,O,O,X,O
TLOZSIJ,X,X,O,X,X,O,X,X
TLOZSJI,X,X,O,X,O,O,X,O
TJILSZO,O,O,O,X,X,X,X,X
TJILSOZ,O,O,O,X,X,O,X,O
TJILZSO,X,O,O,X,O,X,X,X
TJILZOS,O,O,O,X,O,X,X,X
TJILOSZ,O,O,O,X,X,O,X,O
TJILOZS,O,O,O,X,O,X,X,O
TJISLZO,O,O,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,O,X,O
TJISZLO,O,O,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,O,X,O
TJISOLZ,O,O,X,X,X,O,X,O
TJISOZL,O,O,X,X,X,O,X,O
TJIZLSO,X,O,X,X,O,O,X,X
TJIZLOS,O,O,X,X,O,O,X,X
TJIZSLO,X,O,X,X,O,O,X,X
TJIZSOL,X,O,X,X,O,O,X,O
TJIZOLS,O,O,X,X,O,O,X,O
TJIZOSL,X,O,X,X,O,O,X,O
TJIOLSZ,O,O,O,X,X,O,X,O
TJIOLZS,O,O,O,X,O,X,X,O
TJIOSLZ,O,O,X,X,X,O,X,O
TJIOSZL,O,O,X,X,X,O,X,O
TJIOZLS,O,O,X,X,O,O,X,O
TJIOZSL,X,O,X,X,O,O,X,O
TJLISZO,O,O,O,X,X,X,X,X
TJLISOZ,O,O,O,X,X,O,X,O
TJLIZSO,X,O,O,X,O,X,X,X
TJLIZOS,O,O,O,X,O,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,O
TJLIOZS,O,O,O,X,O,X,X,O
TJLSIZO,O,O,O,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,O,X,O
TJLSZIO,O,O,O,X,O,X,X,X
TJLSZOI,O,X,O,X,O,X,X,X
TJLSOIZ,O,O,O,X,X,O,X,O
TJLSOZI,O,X,O,X,O,O,X,O
TJLZISO,X,O,O,X,O,X,X,X
TJLZIOS,O,O,O,X,O,X,X,X
TJLZSIO,X,O,O,X,O,X,X,X
TJLZSOI,X,O,O,X,O,X,X,X
TJLZOIS,O,O,O,X,O,X,X,X
TJLZOSI,X,X,O,X,O,X,X,X
TJLOISZ,O,O,O,X,X,O,X,O
TJLOIZS,O,O,O,X,O,X,X,O
TJLOSIZ,O,O,O,X,X,O,X,O
TJLOSZI,X,X,O,X,O,O,X,O
TJLOZIS,O,O,O,X,O,X,X,O
TJLOZSI,X,X,O,X,O,X,X,O
TJSILZO,O,O,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,O,X,O
TJSIZLO,O,O,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,O,X,O
TJSIOLZ,O,O,X,X,X,O,X,O
TJSIOZL,O,O,X,X,X,O,X,O
TJSLIZO,O,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,O,X,O
TJSLZIO,O,O,X,X,O,X,X,X
TJSLZOI,O,X,X,X,O,X,X,X
TJSLOIZ,O,O,X,X,X,O,X,O
TJSLOZI,O,O,X,X,O,O,X,O
TJSZILO,O,O,X,X,O,X,X,X
TJSZIOL,O,O,X,X,O,O,X,O
TJSZLIO,O,O,X,X,O,X,X,X
TJSZLOI,O,X,X,X,O,X,X,X
TJSZOIL,O,O,X,X,O,O,X,O
TJSZOLI,O,O,X,X,O,O,X,O
TJSOILZ,O,O,X,X,X,O,X,O
TJSOIZL,O,O,X,X,X,O,X,O
TJSOLIZ,O,O,X,X,X,O,X,O
TJSOLZI,O,O,X,X,O,O,X,O
TJSOZIL,O,O,X,X,O,O,X,O
TJSOZLI,O,O,X,X,O,O,X,O
TJZILSO,X,O,X,X,O,O,X,X
TJZILOS,O,O,X,X,O,O,X,X
TJZISLO,X,O,X,X,O,O,X,X
TJZISOL,X,O,X,X,O,O,X,O
TJZIOLS,O,O,X,X,O,O,X,O
TJZIOSL,X,O,X,X,O,O,X,O
TJZLISO,X,O,X,X,O,O,X,X
TJZLIOS,O,O,X,X,O,O,X,X
TJZLSIO,X,O,X,X,O,O,X,X
TJZLSOI,X,O,X,X,O,O,X,X
TJZLOIS,O,O,X,X,O,O,X,X
TJZLOSI,X,O,X,X,O,O,X,X
TJZSILO,X,O,X,X,O,O,X,X
TJZSIOL,X,O,X,X,O,O,X,O
TJZSLIO,X,O,X,X,O,O,X,X
TJZSLOI,X,O,X,X,O,O,X,X
TJZSOIL,X,O,X,X,O,O,X,O
TJZSOLI,X,O,X,X,O,O,X,O
TJZOILS,O,O,X,X,O,O,X,O
TJZOISL,X,O,X,X,O,O,X,O
TJZOLIS,O,O,X,X,O,O,X,O
TJZOLSI,X,O,X,X,O,O,X,O
TJZOSIL,X,O,X,X,O,O,X,O
TJZOSLI,X,O,X,X,O,O,X,O
TJOILSZ,O,O,O,X,X,O,X,O
TJOILZS,O,O,O,X,O,X,X,O
TJOISLZ,O,O,X,X,X,O,X,O
TJOISZL,O,O,X,X,X,O,X,O
TJOIZLS,O,O,X,X,O,O,X,O
TJOIZSL,X,O,X,X,O,O,X,O
TJOLISZ,O,O,O,X,X,O,X,O
TJOLIZS,O,O,O,X,O,X,X,O
TJOLSIZ,O,O,O,X,X,O,X,O
TJOLSZI,X,O,O,X,O,O,X,O
TJOLZIS,O,O,O,X,O,X,X,O
TJOLZSI,X,O,O,X,O,X,X,O
TJOSILZ,O,O,X,X,X,O,X,O
TJOSIZL,O,O,X,X,X,O,X,O
TJOSLIZ,O,O,X,X,X,O,X,O
TJOSLZI,O,O,X,X,O,O,X,O
TJOSZIL,O,O,X,X,O,O,X,O
TJOSZLI,O,O,X,X,O,O,X,O
TJOZILS,O,O,X,X,O,O,X,O
TJOZISL,X,O,X,X,O,O,X,O
TJOZLIS,O,O,X,X,O,O,X,O
TJOZLSI,X,O,X,X,O,O,X,O
TJOZSIL,X,O,X,X,O,O,X,O
TJOZSLI,X,O,X,X,O,O,X,O
TSILJZO,O,O,O,O,X,X,O,X
TSILJOZ,O,O,O,O,X,O,X,X
TSILZJO,O,O,O,O,X,X,O,X
TSILZOJ,X,X,O,O,X,X,O,X
TSILOJZ,O,O,O,O,X,O,X,X
TSILOZJ,X,X,O,O,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,O
TSIJZLO,O,O,X,X,X,X,O,X
TSIJZOL,O,O,X,X,X,O,X,O
TSIJOLZ,O,O,X,X,X,O,X,O
TSIJOZL,O,O,X,X,X,O,X,O
TSIZLJO,O,O,X,X,X,O,O,X
TSIZLOJ,X,X,X,X,X,O,O,X
TSIZJLO,O,O,X,X,X,O,O,X
TSIZJOL,O,O,X,X,X,O,X,X
TSIZOLJ,X,X,X,X,X,O,O,X
TSIZOJL,O,X,X,X,X,O,X,X
TSIOLJZ,O,O,O,X,X,O,X,O
TSIOLZJ,X,X,O,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,O,X,O
TSIOJZL,O,O,X,X,X,O,X,O
TSIOZLJ,X,X,X,X,X,O,O,X
TSIOZJL,O,X,X,X,X,O,X,X
TSLIJZO,O,O,O,O,X,X,O,X
TSLIJOZ,O,O,O,O,X,O,X,X
TSLIZJO,O,O,O,O,X,X,O,X
TSLIZOJ,X,X,O,O,X,X,O,X
TSLIOJZ,O,O,O,O,X,O,X,X
TSLIOZJ,X,X,O,O,X,X,X,X
TSLJIZO,O,O,O,O,X,X,O,X
TSLJIOZ,O,O,O,O,X,O,X,O
TSLJZIO,O,O,O,O,O,X,O,X
TSLJZOI,O,X,O,O,O,X,O,X
TSLJOIZ,O,O,O,O,X,O,X,O
TSLJOZI,O,O,O,O,O,O,X,O
TSLZIJO,O,O,O,O,X,X,O,X
TSLZIOJ,X,X,O,O,X,X,O,X
TSLZJIO,O,X,O,O,O,X,O,X
TSLZJOI,O,X,O,O,O,X,O,X
TSLZOIJ,X,X,O,O,X,X,O,X
TSLZOJI,X,X,O,O,O,X,O,X
TSLOIJZ,O,O,O,O,X,O,X,O
TSLOIZJ,X,X,O,O,X,X,X,X
TSLOJIZ,O,X,O,O,X,O,X,O
TSLOJZI,O,X,O,O,O,O,X,O
TSLOZIJ,X,X,O,O,X,X,X,X
TSLOZJI,X,X,O,O,O,X,X,O
TSJILZO,O,O,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,O,X,O
TSJIZLO,O,O,X,X,X,X,O,X
TSJIZOL,O,O,X,X,X,O,X,O
TSJIOLZ,O,O,X,X,X,O,X,O
TSJIOZL,O,O,X,X,X,O,X,O
TSJLIZO,O,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,X,O,X,O
TSJLZIO,O,O,X,X,O,X,X,X
TSJLZOI,O,X,X,X,O,X,X,X
TSJLOIZ,O,O,X,X,X,O,X,O
TSJLOZI,O,O,X,X,O,O,X,O
TSJZILO,O,O,X,X,O,X,O,X
TSJZIOL,O,O,X,X,O,O,X,O
TSJZLIO,O,O,X,X,O,X,O,X
TSJZLOI,O,X,X,X,O,X,O,X
TSJZOIL,O,O,X,X,O,O,X,O
TSJZOLI,O,O,X,X,O,O,X,O
TSJOILZ,O,O,X,X,X,O,X,O
TSJOIZL,O,O,X,X,X,O,X,O
TSJOLIZ,O,O,X,X,X,O,X,O
TSJOLZI,O,O,X,X,O,O,X,O
TSJOZIL,O,O,X,X,O,O,X,O
TSJOZLI,O,O,X,X,O,O,X,O
TSZILJO,O,O,X,X,X,O,O,X
TSZILOJ,X,X,X,X,X,O,O,X
TSZIJLO,O,O,X,X,X,O,O,X
TSZIJOL,O,O,X,X,X,O,X,X
TSZIOLJ,X,X,X,X,X,O,O,X
TSZIOJL,O,X,X,X,X,O,X,X
TSZLIJO,O,O,X,X,X,O,O,X
TSZLIOJ,X,X,X,X,X,O,O,X
TSZLJIO,O,X,X,X,O,O,O,X
TSZLJOI,O,X,X,X,O,O,O,X
TSZLOIJ,X,X,X,X,X,O,O,X
TSZLOJI,X,X,X,X,O,O,O,X
TSZJILO,O,O,X,X,O,O,O,X
TSZJIOL,O,O,X,X,O,O,X,O
TSZJLIO,O,O,X,X,O,O,O,X
TSZJLOI,O,X,X,X,O,O,O,X
TSZJOIL,O,O,X,X,O,O,X,O
TSZJOLI,O,O,X,X,O,O,X,O
TSZOILJ,X,X,X,X,X,O,O,X
TSZOIJL,O,X,X,X,X,O,X,X
TSZOLIJ,X,X,X,X,X,O,O,X
TSZOLJI,X,X,X,X,O,O,O,O
TSZOJIL,O,X,X,X,O,O,X,O
TSZOJLI,O,X,X,X,O,O,X,O
TSOILJZ,O,O,O,X,X,O,X,O
TSOILZJ,X,X,O,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,O,X,O
TSOIJZL,O,O,X,X,X,O,X,O
TSOIZLJ,X,X,X,X,X,O,O,X
TSOIZJL,O,X,X,X,X,O,X,X
TSOLIJZ,O,O,O,X,X,O,X,O
TSOLIZJ,X,X,O,X,X,X,X,X
TSOLJIZ,O,O,O,X,X,O,X,O
TSOLJZI,O,O,O,X,O,O,X,O
TSOLZIJ,X,X,O,X,X,X,X,X
TSOLZJI,X,X,O,X,O,X,X,O
TSOJILZ,O,O,X,X,X,O,X,O
TSOJIZL,O,O,X,X,X,O,X,O
TSOJLIZ,O,O,X,X,X,O,X,O
TSOJLZI,O,O,X,X,O,O,X,O
TSOJZIL,O,O,X,X,O,O,X,O
TSOJZLI,O,O,X,X,O,O,X,O
TSOZILJ,X,X,X,X,X,O,O,X
TSOZIJL,O,X,X,X,X,O,X,X
TSOZLIJ,X,X,X,X,X,O,O,X
TSOZLJI,X,X,X,X,O,O,O,O
TSOZJIL,O,X,X,X,O,O,X,O
TSOZJLI,O,X,X,X,O,O,X,O
TZILJSO,X,X,O,X,O,O,O,X
TZILJOS,O,X,O,X,O,O,X,X
TZILSJO,O,X,O,X,X,O,O,X
TZILSOJ,X,X,O,X,X,O,O,X
TZILOJS,X,X,O,X,O,O,X,X
TZILOSJ,X,X,O,X,X,O,X,X
TZIJLSO,X,X,X,X,O,O,X,X
TZIJLOS,O,X,X,X,O,O,X,X
TZIJSLO,X,X,X,X,O,O,X,X
TZIJSOL,X,X,X,X,O,O,X,X
TZIJOLS,O,X,X,X,O,O,X,X
TZIJOSL,X,X,X,X,O,O,X,X
TZISLJO,O,X,X,X,X,O,O,X
TZISLOJ,X,X,X,X,X,O,O,X
TZISJLO,O,X,X,X,X,O,O,X
TZISJOL,O,X,X,X,X,O,X,X
TZISOLJ,X,X,X,X,X,O,O,X
TZISOJL,O,X,X,X,X,O,X,X
TZIOLJS,X,X,O,X,O,O,X,X
TZIOLSJ,X,X,O,X,X,O,X,X
TZIOJLS,O,X,X,X,O,O,X,X
TZIOJSL,X,X,X,X,O,O,X,X
TZIOSLJ,X,X,X,X,X,O,X,X
TZIOSJL,O,X,X,X,X,O,X,X
TZLIJSO,X,X,O,X,O,O,O,X
TZLIJOS,O,X,O,X,O,O,X,X
TZLISJO,O,X,O,X,X,O,O,X
TZLISOJ,X,X,O,X,X,O,O,X
TZLIOJS,X,X,O,X,O,O,X,X
TZLIOSJ,X,X,O,X,X,O,X,X
TZLJISO,X,X,O,X,O,O,O,X
TZLJIOS,O,X,O,X,O,O,X,X
TZLJSIO,X,X,O,X,O,O,O,X
TZLJSOI,X,X,O,X,O,O,O,X
TZLJOIS,O,X,O,X,O,O,X,X
TZLJOSI,X,X,O,X,O,O,X,X
TZLSIJO,O,X,O,X,X,O,O,X
TZLSIOJ,X,X,O,X,X,O,O,X
TZLSJIO,O,X,O,X,O,O,O,X
TZLSJOI,O,X,O,X,O,O,O,X
TZLSOIJ,X,X,O,X,X,O,O,X
TZLSOJI,X,X,O,X,O,O,O,X
TZLOIJS,X,X,O,X,O,O,X,X
TZLOISJ,X,X,O,X,X,O,X,X
TZLOJIS,X,X,O,X,O,O,X,X
TZLOJSI,X,X,O,X,O,O,X,X
TZLOSIJ,X,X,O,X,X,O,X,X
TZLOSJI,X,X,O,X,O,O,X,X
TZJILSO,X,X,X,X,O,O,X,X
TZJILOS,O,X,X,X,O,O,X,X
TZJISLO,X,X,X,X,O,O,X,X
TZJISOL,X,X,X,X,O,O,X,O
TZJIOLS,O,X,X,X,O,O,X,O
TZJIOSL,X,X,X,X,O,O,X,O
TZJLISO,X,X,X,X,O,O,X,X
TZJLIOS,O,X,X,X,O,O,X,X
TZJLSIO,X,X,X,X,O,O,X,X
TZJLSOI,X,X,X,X,O,O,X,X
TZJLOIS,O,X,X,X,O,O,X,X
TZJLOSI,X,X,X,X,O,O,X,X
TZJSILO,X,X,X,X,O,O,X,X
TZJSIOL,X,X,X,X,O,O,X,O
TZJSLIO,X,X,X,X,O,O,X,X
TZJSLOI,X,X,X,X,O,O,X,X
TZJSOIL,X,X,X,X,O,O,X,O
TZJSOLI,X,X,X,X,O,O,X,O
TZJOILS,O,X,X,X,O,O,X,O
TZJOISL,X,X,X,X,O,O,X,O
TZJOLIS,O,X,X,X,O,O,X,O
TZJOLSI,X,X,X,X,O,O,X,O
TZJOSIL,X,X,X,X,O,O,X,O
