sequence,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBGcB3gBqpB0m?BlqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufB3bBchB6qB1r?BzpB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hB0fBlgB/pB2r?BTqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBTfBlgB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhFTcBOkB0gBqpB/q?B1wB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFUbBFcBflBqmBzl?BWvB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBUhBupB1qBqm?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufBchBTgB1rBCq?B3qB,v115@5gD8FeD8FeD8GeD8CeF8Jem6IvhFCcBTfBxlB0mBlp?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBWhBClBXmB0m?BVvB,v115@5gD8FeD8FeD8GeD8CeF8Jei6IvhFzbB+hB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFFcB0gBqmBzkB3q?BupB,v115@5gD8FeD8FeD8GeD8CeF8Je2/IvhFCcBThB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBlgBTkB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8JeT6IvhFGcBUhB/pBFlBRr?BKqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhF3bBchBWlB1rBzk?BSvB,v115@5gD8FeD8FeD8GeD8CeF8JeO/IvhF8fBzbBxlBqmBlp?B3qB
TISOLJZ,X,O,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X
TISOLZJ,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X
TISOZJL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O
TIZLJSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TIZLJOS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O,O
TIZLSJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZLOJS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TIZLOSJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TIZJLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TIZJLOS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O
TIZJSLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TIZJSOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIZJOLS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
TIZJOSL,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TIZSLOJ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TIZSJLO,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O
TIZSJOL,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TIZSOLJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZSOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZOLJS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIZOLSJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIZOJLS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
TIZOJSL,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TIOLSJZ,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIOLZJS,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TIOLZSJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIOJLSZ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZLS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOSZJL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOZLJS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIOZLSJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIOZJLS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
TIOZJSL,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLIJSOZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TLIJZOS,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X
TLIJOSZ,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O,X
TLISJZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLISJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLISZJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TLISZOJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TLISOJZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLIZJSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TLIZJOS,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,O
TLIZSJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLIZOJS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TLIZOSJ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TLIOJSZ,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TLIOSJZ,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIOZJS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TLIOZSJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TLJISZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLJISOZ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TLJIZOS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLJIOSZ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X
TLJSIZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLJSIOZ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O
TLJSZOI,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X
TLJSOIZ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O
TLJZIOS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,O
TLJZSIO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TLJZSOI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TLJZOIS,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X
TLJZOSI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLJOISZ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X
TLJOSIZ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X
TLJOZSI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLSIJZO,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TLSIJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TLSIZOJ,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X
TLSIOJZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLSJIZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLSJIOZ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O
TLSJZOI,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X
TLSJOIZ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O
TLSZIOJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TLSZJIO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O
TLSZJOI,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TLSZOIJ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
TLSZOJI,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
TLSOIJZ,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TLSOJIZ,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLSOZJI,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLZIJSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TLZIJOS,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,O
TLZISJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLZISOJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLZIOJS,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TLZIOSJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZJISO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O
TLZJIOS,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,O
TLZJSIO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TLZJSOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TLZJOIS,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X
TLZJOSI,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLZSIJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TLZSIOJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TLZSJIO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TLZSJOI,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TLZSOIJ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
TLZSOJI,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
TLZOIJS,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TLZOISJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZOJIS,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZOJSI,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZOSIJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZOSJI,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLOIJSZ,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLOIJZS,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TLOISJZ,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TLOIZSJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TLOJISZ,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLOJIZS,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TLOJSIZ,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TLOJZSI,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLOSIJZ,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLOSZJI,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLOZIJS,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TLOZISJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLOZJIS,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLOZJSI,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLOZSIJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLOZSJI,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TJILSZO,X,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X
TJILSOZ,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TJILZSO,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TJILZOS,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X
TJILOSZ,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TJILOZS,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,O,X
TJISLZO,X,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TJISLOZ,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TJISZLO,X,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,O
TJISZOL,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
TJISOLZ,X,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TJISOZL,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TJIZLSO,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,O
TJIZLOS,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O
TJIZSLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TJIZSOL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TJIZOSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TJIOLZS,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIOSZL,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIOZLS,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X
TJLISOZ,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TJLIZSO,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TJLIZOS,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X
TJLIOSZ,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLIOZS,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X
TJLSIZO,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X
TJLSIOZ,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TJLSZIO,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,O
TJLSZOI,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X
TJLSOIZ,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLSOZI,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLZISO,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,O
TJLZIOS,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,O,O
TJLZSIO,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X
TJLZSOI,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X
TJLZOIS,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X
TJLZOSI,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TJLOISZ,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLOIZS,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X
TJLOSIZ,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLOSZI,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X
TJLOZIS,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X
TJLOZSI,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TJSILZO,O,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TJSILOZ,O,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TJSIZLO,X,X,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O
