sequence,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFxcBXeB?8kB+lBThBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeR7IvhFCdBXeB?ukBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFcgBxcB?XeBThBSqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhF2gBCdB?XeBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeSAJvhFxcBXeB?ThBUgBWqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeG7IvhFxcBXeB?ThBClBUlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhFibBXeB?clBThBFnBGrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFUcBXeB?TgB6rBFsBRvB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFXeB0gB?5mBzpBerBFsB
IJTSZOL,O,O,X,X,O,X,O,X,X
IJTSOLZ,O,O,O,O,O,O,X,O,X
IJTSOZL,O,X,X,O,O,X,O,X,X
IJTZLSO,O,O,X,X,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,O,X,O,X,X
IJTZOLS,O,O,X,X,O,X,O,X,X
IJTZOSL,O,O,X,X,O,X,O,X,X
IJTOLSZ,O,O,O,O,O,O,X,O,X
IJTOLZS,O,X,O,O,O,O,X,O,X
IJTOSLZ,O,O,O,O,O,O,X,O,X
IJTOSZL,O,X,X,O,O,X,O,X,X
IJTOZLS,O,X,X,O,O,X,O,X,X
IJTOZSL,O,X,X,O,O,X,O,X,X
IJLTSZO,X,O,X,X,X,O,X,X,X
IJLTSOZ,X,O,X,O,O,O,X,X,X
IJLTZSO,X,O,X,X,X,X,X,X,X
IJLTZOS,X,O,X,X,X,X,X,X,X
IJLTOSZ,X,O,X,O,O,X,X,X,X
IJLTOZS,X,X,X,O,O,X,X,X,X
IJLSTZO,X,O,X,X,X,O,X,X,X
IJLSTOZ,X,O,X,O,O,O,X,X,X
IJLSZTO,O,O,O,X,X,O,X,X,X
IJLSZOT,O,O,O,X,X,X,O,O,X
IJLSOTZ,X,O,X,O,X,O,X,O,X
IJLSOZT,X,O,X,O,X,X,O,O,X
IJLZTSO,O,X,O,X,X,X,X,X,X
IJLZTOS,X,X,X,X,X,X,X,X,X
IJLZSTO,O,O,O,X,X,O,X,X,X
IJLZSOT,O,O,O,X,X,X,O,O,X
IJLZOTS,X,X,X,X,X,X,O,O,X
IJLZOST,O,X,O,X,X,X,O,O,X
IJLOTSZ,X,O,X,O,X,X,X,O,X
IJLOTZS,X,X,X,X,X,X,X,O,X
IJLOSTZ,X,O,X,O,X,O,X,O,X
IJLOSZT,X,O,X,O,X,X,O,O,X
IJLOZTS,X,X,X,X,X,X,O,O,X
IJLOZST,X,O,X,O,X,X,O,O,X
IJSTLZO,O,O,O,X,X,O,X,X,X
IJSTLOZ,X,O,X,O,O,O,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,O,X,O,X,X
IJSTOLZ,O,O,O,O,O,O,X,O,X
IJSTOZL,O,X,X,O,O,X,O,X,X
IJSLTZO,X,O,X,X,X,O,X,X,X
IJSLTOZ,X,O,X,O,O,O,X,X,X
IJSLZTO,O,O,O,X,X,O,X,X,X
IJSLZOT,O,O,O,X,X,X,O,O,X
IJSLOTZ,X,O,X,O,X,O,X,O,X
IJSLOZT,X,O,X,O,X,X,O,O,X
IJSZTLO,O,X,X,X,X,X,X,X,X
IJSZTOL,O,X,X,X,O,X,O,X,X
IJSZLTO,O,O,X,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,O,X,X
IJSZOTL,X,X,X,X,X,X,O,X,X
IJSZOLT,O,X,X,X,X,X,O,O,X
IJSOTLZ,X,O,X,O,O,X,X,O,X
IJSOTZL,X,O,X,O,O,X,O,X,X
IJSOLTZ,X,O,X,O,X,X,X,O,X
IJSOLZT,X,O,X,O,X,X,O,O,X
IJSOZTL,X,O,X,X,X,X,O,X,O
IJSOZLT,O,O,X,O,X,X,O,O,O
IJZTLSO,O,X,X,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,X,X
IJZTSOL,O,X,X,X,O,X,O,X,X
IJZTOLS,O,X,X,X,O,X,O,X,X
IJZTOSL,O,X,X,X,O,X,O,X,X
IJZLTSO,O,X,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,O,X,X
IJZLOTS,X,X,X,X,X,X,O,X,X
IJZLOST,O,X,X,X,X,X,O,X,X
IJZSTLO,O,X,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,O,X,O,X,X
IJZSLTO,O,O,X,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,O,X,X
IJZSOTL,X,X,X,X,X,X,O,X,X
IJZSOLT,O,X,X,X,X,X,O,O,X
IJZOTLS,X,X,X,X,X,X,O,X,X
IJZOTSL,X,X,X,X,X,X,O,X,X
IJZOLTS,X,X,X,X,X,X,O,O,X
IJZOLST,O,X,X,X,X,X,O,O,X
IJZOSTL,X,X,X,X,X,X,O,X,X
IJZOSLT,O,X,X,X,X,X,O,O,X
IJOTLSZ,X,O,X,O,O,X,X,O,X
IJOTLZS,X,O,X,O,O,X,X,O,X
IJOTSLZ,X,O,X,O,O,X,X,O,X
IJOTSZL,X,O,X,O,O,X,O,X,X
IJOTZLS,X,O,X,O,O,X,O,X,X
IJOTZSL,X,O,X,O,O,X,O,X,X
IJOLTSZ,X,O,X,O,X,X,X,O,X
IJOLTZS,X,X,X,X,X,X,X,O,X
IJOLSTZ,X,O,X,O,X,X,X,O,X
IJOLSZT,X,O,X,O,X,X,O,O,X
IJOLZTS,X,X,X,X,X,X,O,O,X
IJOLZST,X,O,X,O,X,X,O,O,X
IJOSTLZ,X,O,X,O,O,X,X,O,X
IJOSTZL,X,O,X,O,O,X,O,X,X
IJOSLTZ,X,O,X,O,X,X,X,O,X
IJOSLZT,X,O,X,O,X,X,O,O,X
IJOSZTL,X,O,X,X,X,X,O,X,O
IJOSZLT,O,O,X,O,X,X,O,O,O
IJOZTLS,X,O,X,X,X,X,O,X,O
IJOZTSL,X,O,X,X,X,X,O,X,O
IJOZLTS,X,O,X,X,X,X,O,O,O
IJOZLST,O,O,X,O,X,X,O,O,O
IJOZSTL,X,O,X,X,X,X,O,X,O
IJOZSLT,O,O,X,O,X,X,O,O,O
ISTLJZO,O,O,O,X,X,O,X,X,X
ISTLJOZ,X,O,X,O,O,O,X,X,X
ISTLZJO,O,O,O,X,X,O,X,X,X
ISTLZOJ,O,O,O,O,X,X,X,O,X
ISTLOJZ,O,O,O,O,O,O,X,O,X
ISTLOZJ,X,X,O,O,X,O,X,O,X
ISTJLZO,O,O,O,X,X,O,X,X,X
ISTJLOZ,X,O,X,O,O,O,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,O,X,O,X,X
ISTJOLZ,O,O,O,O,O,O,X,O,X
ISTJOZL,O,X,X,O,O,X,O,X,X
ISTZLJO,O,O,O,X,X,O,X,X,X
ISTZLOJ,O,O,O,O,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X
ISTZJOL,O,O,X,X,O,X,O,X,X
ISTZOLJ,O,O,O,O,X,O,X,X,X
ISTZOJL,O,O,X,O,O,X,X,X,X
ISTOLJZ,O,O,O,O,O,O,X,O,X
ISTOLZJ,X,X,O,O,X,O,X,O,X
ISTOJLZ,O,O,O,O,O,O,X,O,X
ISTOJZL,O,O,X,O,O,X,X,X,X
ISTOZLJ,O,O,O,O,X,O,X,X,O
ISTOZJL,O,O,X,O,O,X,X,X,O
ISLTJZO,O,O,O,X,X,O,X,X,X
ISLTJOZ,X,O,X,O,O,O,X,X,X
ISLTZJO,O,O,O,X,X,O,X,X,X
ISLTZOJ,O,O,O,O,X,X,X,O,X
ISLTOJZ,O,O,O,O,O,O,X,O,X
ISLTOZJ,X,X,O,O,X,O,X,O,X
ISLJTZO,X,O,X,X,X,O,X,X,X
ISLJTOZ,X,O,X,O,O,O,X,X,X
ISLJZTO,O,O,O,X,X,O,X,X,X
ISLJZOT,O,O,O,X,X,X,O,O,X
ISLJOTZ,X,O,X,O,X,O,X,O,X
ISLJOZT,X,O,X,O,X,X,O,O,X
ISLZTJO,O,X,O,X,X,X,X,X,X
ISLZTOJ,O,X,O,O,X,X,X,O,X
ISLZJTO,O,X,O,X,X,O,X,X,X
ISLZJOT,O,X,O,X,X,X,O,O,X
ISLZOTJ,O,X,X,X,X,X,X,O,X
ISLZOJT,O,X,O,O,X,X,X,O,X
ISLOTJZ,X,X,X,O,X,X,X,O,X
ISLOTZJ,X,X,X,O,X,X,X,O,X
ISLOJTZ,X,O,X,O,X,O,X,O,X
ISLOJZT,X,O,X,O,X,X,X,O,X
ISLOZTJ,X,X,X,X,X,X,X,O,O
ISLOZJT,X,X,O,O,X,X,X,O,O
ISJTLZO,O,O,O,X,X,O,X,X,X
ISJTLOZ,X,O,X,O,O,O,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X,X
ISJTZOL,O,O,X,X,O,X,O,X,X
ISJTOLZ,O,O,O,O,O,O,X,O,X
ISJTOZL,O,X,X,O,O,X,O,X,X
ISJLTZO,X,O,X,X,X,O,X,X,X
ISJLTOZ,X,O,X,O,O,O,X,X,X
ISJLZTO,O,O,O,X,X,O,X,X,X
ISJLZOT,O,O,O,X,X,X,O,O,X
ISJLOTZ,X,O,X,O,X,O,X,O,X
ISJLOZT,X,O,X,O,X,X,O,O,X
ISJZTLO,O,X,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,O,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,O,X,X
ISJZOTL,X,X,X,X,X,X,O,X,X
ISJZOLT,O,X,X,X,X,X,O,O,X
ISJOTLZ,X,O,X,O,O,X,X,O,X
ISJOTZL,X,O,X,O,O,X,O,X,X
ISJOLTZ,X,O,X,O,X,X,X,O,X
ISJOLZT,X,O,X,O,X,X,O,O,X
ISJOZTL,X,O,X,X,X,X,O,X,O
ISJOZLT,O,O,X,O,X,X,O,O,O
ISZTLJO,O,X,O,X,X,O,X,X,X
ISZTLOJ,O,X,O,O,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,O,X,O,X,X
ISZTOLJ,O,X,O,O,X,O,X,X,X
ISZTOJL,O,X,X,O,O,X,X,X,X
ISZLTJO,O,X,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,O,X,X,X,O,X
ISZLJTO,O,X,O,X,X,O,X,X,X
ISZLJOT,O,X,O,X,X,X,O,O,X
ISZLOTJ,O,X,X,X,X,X,X,O,X
ISZLOJT,O,X,O,O,X,X,X,O,X
ISZJTLO,O,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,O,X,O,X,X
ISZJLTO,O,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,O,X,X
ISZJOTL,X,X,X,X,X,X,O,X,X
ISZJOLT,O,X,X,X,X,X,O,O,X
ISZOTLJ,X,X,X,O,X,X,X,X,O
ISZOTJL,X,X,X,O,X,X,X,X,O
ISZOLTJ,O,X,X,X,X,X,X,O,O
ISZOLJT,O,X,X,O,X,X,X,O,O
ISZOJTL,X,X,X,X,X,X,O,X,O
ISZOJLT,O,X,X,O,X,X,O,O,O
ISOTLJZ,O,O,O,O,O,O,X,O,X
ISOTLZJ,X,X,O,O,X,O,X,O,X
ISOTJLZ,O,O,O,O,O,O,X,O,X
ISOTJZL,O,O,X,O,O,X,X,X,X
ISOTZLJ,O,O,O,O,X,O,X,X,O
ISOTZJL,O,O,X,O,O,X,X,X,O
ISOLTJZ,X,X,X,O,X,X,X,O,X
ISOLTZJ,X,X,X,O,X,X,X,O,X
ISOLJTZ,X,O,X,O,X,O,X,O,X
ISOLJZT,X,O,X,O,X,X,X,O,X
ISOLZTJ,X,X,X,X,X,X,X,O,O
ISOLZJT,X,X,O,O,X,X,X,O,O
ISOJTLZ,X,O,X,O,O,X,X,O,X
ISOJTZL,X,O,X,O,O,X,O,X,X
ISOJLTZ,X,O,X,O,X,X,X,O,X
ISOJLZT,X,O,X,O,X,X,O,O,X
ISOJZTL,X,O,X,X,X,X,O,X,O
ISOJZLT,O,O,X,O,X,X,O,O,O
ISOZTLJ,X,O,X,O,X,X,X,X,O
ISOZTJL,X,X,X,O,X,X,X,X,O
ISOZLTJ,O,O,X,X,X,X,X,O,O
ISOZLJT,O,O,X,O,X,X,X,O,O
ISOZJTL,X,O,X,X,X,X,O,X,O
ISOZJLT,O,O,X,O,X,X,O,O,O
IZTLJSO,O,X,O,X,X,O,X,X,X
IZTLJOS,O,X,O,X,X,X,X,X,X
IZTLSJO,O,X,O,X,X,O,X,X,X
IZTLSOJ,O,X,O,O,X,X,X,X,X
IZTLOJS,X,X,O,O,X,X,X,X,X
IZTLOSJ,O,X,O,O,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,X
IZTJSOL,O,X,X,X,O,X,O,X,X
IZTJOLS,O,X,X,X,O,X,O,X,X
IZTJOSL,O,X,X,X,O,X,O,X,X
IZTSLJO,O,X,O,X,X,O,X,X,X
IZTSLOJ,O,X,O,O,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X,X,X,X
IZTSJOL,O,X,X,X,O,X,O,X,X
IZTSOLJ,O,X,O,O,X,O,X,X,X
IZTSOJL,O,X,X,O,O,X,X,X,X
IZTOLJS,X,X,O,O,X,O,X,X,X
IZTOLSJ,O,X,O,O,X,O,X,X,X
IZTOJLS,O,X,X,O,O,X,X,X,X
IZTOJSL,O,X,X,O,O,X,X,X,X
IZTOSLJ,O,X,O,O,X,O,X,X,X
IZTOSJL,O,X,X,O,O,X,X,X,X
IZLTJSO,O,X,O,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,X
IZLTSJO,O,X,O,X,X,X,X,X,X
IZLTSOJ,O,X,X,O,X,X,X,O,X
IZLTOJS,X,X,X,O,X,X,X,O,X
IZLTOSJ,O,X,X,O,X,X,X,O,X
IZLJTSO,O,X,O,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X
IZLJSTO,O,X,O,X,X,O,X,X,X
IZLJSOT,O,X,O,X,X,X,O,O,X
IZLJOTS,X,X,X,X,X,X,O,O,X
IZLJOST,O,X,O,X,X,X,O,O,X
IZLSTJO,O,X,O,X,X,X,X,X,X
IZLSTOJ,O,X,X,O,X,X,X,O,X
IZLSJTO,O,X,O,X,X,O,X,X,X
IZLSJOT,O,X,O,X,X,X,O,O,X
IZLSOTJ,O,X,X,X,X,X,X,O,X
IZLSOJT,O,X,O,O,X,X,X,O,X
IZLOTJS,X,X,X,X,X,X,X,O,X
IZLOTSJ,X,X,X,X,X,X,X,O,X
IZLOJTS,X,X,X,X,X,X,X,O,X
IZLOJST,X,X,O,O,X,X,X,O,X
IZLOSTJ,O,X,X,X,X,X,X,O,X
IZLOSJT,O,X,O,O,X,X,X,O,X
IZJTLSO,O,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,X,O,X,O,X,X
IZJTOLS,O,X,X,X,O,X,O,X,X
IZJTOSL,O,X,X,X,O,X,O,X,X
IZJLTSO,O,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,O,X,X
IZJLOTS,X,X,X,X,X,X,O,X,X
IZJLOST,O,X,X,X,X,X,O,X,X
IZJSTLO,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,O,X,O,X,X
IZJSLTO,O,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X,O,X,X
IZJSOTL,X,X,X,X,X,X,O,X,X
IZJSOLT,O,X,X,X,X,X,O,O,X
IZJOTLS,X,X,X,X,X,X,O,X,X
IZJOTSL,X,X,X,X,X,X,O,X,X
IZJOLTS,X,X,X,X,X,X,O,O,X
IZJOLST,O,X,X,X,X,X,O,O,X
IZJOSTL,X,X,X,X,X,X,O,X,X
IZJOSLT,O,X,X,X,X,X,O,O,X
IZSTLJO,O,X,O,X,X,O,X,X,X
IZSTLOJ,O,X,O,O,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,O,X,O,X,X
IZSTOLJ,O,X,O,O,X,O,X,X,X
IZSTOJL,O,X,X,O,O,X,X,X,X
IZSLTJO,O,X,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,O,X
IZSLJTO,O,X,O,X,X,O,X,X,X
IZSLJOT,O,X,O,X,X,X,O,O,X
IZSLOTJ,O,X,X,X,X,X,X,O,X
IZSLOJT,O,X,O,O,X,X,X,O,X
IZSJTLO,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,X,O,X,X
IZSJLTO,O,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,O,X,X
IZSJOTL,X,X,X,X,X,X,O,X,X
IZSJOLT,O,X,X,X,X,X,O,O,X
IZSOTLJ,X,X,X,O,X,X,X,X,O
IZSOTJL,X,X,X,O,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,X,X,O,O
IZSOLJT,O,X,X,O,X,X,X,O,O
IZSOJTL,X,X,X,X,X,X,O,X,O
IZSOJLT,O,X,X,O,X,X,O,O,O
IZOTLJS,X,X,X,O,X,X,X,X,O
IZOTLSJ,X,X,X,O,X,X,X,X,O
IZOTJLS,X,X,X,O,X,X,X,X,O
IZOTJSL,X,X,X,O,X,X,X,X,O
IZOTSLJ,X,X,X,O,X,X,X,X,O
IZOTSJL,X,X,X,O,X,X,X,X,O
IZOLTJS,X,X,X,X,X,X,X,O,O
IZOLTSJ,X,X,X,X,X,X,X,O,O
IZOLJTS,X,X,X,X,X,X,X,O,O
IZOLJST,X,X,X,O,X,X,X,O,O
IZOLSTJ,O,X,X,X,X,X,X,O,O
IZOLSJT,O,X,X,O,X,X,X,O,O
IZOJTLS,X,X,X,X,X,X,O,X,O
IZOJTSL,X,X,X,X,X,X,O,X,O
IZOJLTS,X,X,X,X,X,X,O,O,O
IZOJLST,O,X,X,O,X,X,O,O,O
IZOJSTL,X,X,X,X,X,X,O,X,O
IZOJSLT,O,X,X,O,X,X,O,O,O
IZOSTLJ,X,X,X,O,X,X,X,X,O
IZOSTJL,X,X,X,O,X,X,X,X,O
IZOSLTJ,O,X,X,X,X,X,X,O,O
IZOSLJT,O,X,X,O,X,X,X,O,O
IZOSJTL,X,X,X,X,X,X,O,X,O
IZOSJLT,O,X,X,O,X,X,O,O,O
IOTLJSZ,O,O,O,O,O,O,X,O,X
IOTLJZS,O,O,O,O,O,O,X,O,X
IOTLSJZ,O,O,O,O,O,O,X,O,X
IOTLSZJ,X,X,O,O,X,O,X,O,X
IOTLZJS,X,X,O,O,X,O,X,O,X
IOTLZSJ,X,X,O,O,X,O,X,O,X
IOTJLSZ,O,O,O,O,O,O,X,O,X
IOTJLZS,O,O,O,O,O,O,X,O,X
IOTJSLZ,O,O,O,O,O,O,X,O,X
IOTJSZL,O,O,X,O,O,X,X,X,X
IOTJZLS,O,O,X,O,O,X,X,X,X
IOTJZSL,O,O,X,O,O,X,X,X,X
IOTSLJZ,O,O,O,O,O,O,X,O,X
IOTSLZJ,X,X,O,O,X,O,X,O,X
IOTSJLZ,O,O,O,O,O,O,X,O,X
IOTSJZL,O,O,X,O,O,X,X,X,X
IOTSZLJ,O,O,O,O,X,O,X,X,O
IOTSZJL,O,O,X,O,O,X,X,X,O
IOTZLJS,X,O,O,O,X,O,X,X,O
IOTZLSJ,O,O,O,O,X,O,X,X,O
IOTZJLS,O,O,X,O,O,X,X,X,O
IOTZJSL,O,O,X,O,O,X,X,X,O
IOTZSLJ,O,O,O,O,X,O,X,X,O
IOTZSJL,O,O,X,O,O,X,X,X,O
IOLTJSZ,X,X,X,O,X,X,X,O,X
IOLTJZS,X,X,X,O,X,X,X,O,X
IOLTSJZ,X,X,X,O,X,X,X,O,X
IOLTSZJ,X,X,X,O,X,X,X,O,X
IOLTZJS,X,X,X,O,X,X,X,O,X
IOLTZSJ,X,X,X,O,X,X,X,O,X
IOLJTSZ,X,O,X,O,X,X,X,O,X
IOLJTZS,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,O,X,O,X,O,X,O,X
IOLJSZT,X,O,X,O,X,X,X,O,X
IOLJZTS,X,X,X,X,X,X,X,O,X
IOLJZST,X,O,X,O,X,X,X,O,X
IOLSTJZ,X,X,X,O,X,X,X,O,X
IOLSTZJ,X,X,X,O,X,X,X,O,X
IOLSJTZ,X,O,X,O,X,O,X,O,X
IOLSJZT,X,O,X,O,X,X,X,O,X
IOLSZTJ,X,X,X,X,X,X,X,O,O
IOLSZJT,X,X,O,O,X,X,X,O,O
IOLZTJS,X,X,X,X,X,X,X,O,O
IOLZTSJ,X,X,X,X,X,X,X,O,O
IOLZJTS,X,X,X,X,X,X,X,O,O
IOLZJST,X,X,O,O,X,X,X,O,O
IOLZSTJ,X,X,X,X,X,X,X,O,O
IOLZSJT,X,X,O,O,X,X,X,O,O
IOJTLSZ,X,O,X,O,O,X,X,O,X
IOJTLZS,X,O,X,O,O,X,X,O,X
IOJTSLZ,X,O,X,O,O,X,X,O,X
IOJTSZL,X,O,X,O,O,X,O,X,X
IOJTZLS,X,O,X,O,O,X,O,X,X
IOJTZSL,X,O,X,O,O,X,O,X,X
IOJLTSZ,X,O,X,O,X,X,X,O,X
IOJLTZS,X,X,X,X,X,X,X,O,X
IOJLSTZ,X,O,X,O,X,X,X,O,X
IOJLSZT,X,O,X,O,X,X,O,O,X
IOJLZTS,X,X,X,X,X,X,O,O,X
IOJLZST,X,O,X,O,X,X,O,O,X
IOJSTLZ,X,O,X,O,O,X,X,O,X
IOJSTZL,X,O,X,O,O,X,O,X,X
IOJSLTZ,X,O,X,O,X,X,X,O,X
IOJSLZT,X,O,X,O,X,X,O,O,X
IOJSZTL,X,O,X,X,X,X,O,X,O
IOJSZLT,O,O,X,O,X,X,O,O,O
IOJZTLS,X,O,X,X,X,X,O,X,O
IOJZTSL,X,O,X,X,X,X,O,X,O
IOJZLTS,X,O,X,X,X,X,O,O,O
IOJZLST,O,O,X,O,X,X,O,O,O
IOJZSTL,X,O,X,X,X,X,O,X,O
IOJZSLT,O,O,X,O,X,X,O,O,O
IOSTLJZ,O,O,O,O,O,O,X,O,X
IOSTLZJ,X,X,O,O,X,O,X,O,X
IOSTJLZ,O,O,O,O,O,O,X,O,X
IOSTJZL,O,O,X,O,O,X,X,X,X
IOSTZLJ,O,O,O,O,X,O,X,X,O
IOSTZJL,O,O,X,O,O,X,X,X,O
IOSLTJZ,X,X,X,O,X,X,X,O,X
IOSLTZJ,X,X,X,O,X,X,X,O,X
IOSLJTZ,X,O,X,O,X,O,X,O,X
IOSLJZT,X,O,X,O,X,X,X,O,X
IOSLZTJ,X,X,X,X,X,X,X,O,O
IOSLZJT,X,X,O,O,X,X,X,O,O
IOSJTLZ,X,O,X,O,O,X,X,O,X
IOSJTZL,X,O,X,O,O,X,O,X,X
IOSJLTZ,X,O,X,O,X,X,X,O,X
IOSJLZT,X,O,X,O,X,X,O,O,X
IOSJZTL,X,O,X,X,X,X,O,X,O
IOSJZLT,O,O,X,O,X,X,O,O,O
IOSZTLJ,X,O,X,O,X,X,X,X,O
IOSZTJL,X,X,X,O,X,X,X,X,O
IOSZLTJ,O,O,X,X,X,X,X,O,O
IOSZLJT,O,O,X,O,X,X,X,O,O
IOSZJTL,X,O,X,X,X,X,O,X,O
IOSZJLT,O,O,X,O,X,X,O,O,O
IOZTLJS,X,X,X,O,X,X,X,X,O
IOZTLSJ,X,O,X,O,X,X,X,X,O
IOZTJLS,X,X,X,O,X,X,X,X,O
IOZTJSL,X,X,X,O,X,X,X,X,O
IOZTSLJ,X,O,X,O,X,X,X,X,O
IOZTSJL,X,X,X,O,X,X,X,X,O
IOZLTJS,X,X,X,X,X,X,X,O,O
IOZLTSJ,X,O,X,X,X,X,X,O,O
IOZLJTS,X,O,X,X,X,X,X,O,O
IOZLJST,X,O,X,O,X,X,X,O,O
IOZLSTJ,O,O,X,X,X,X,X,O,O
IOZLSJT,O,O,X,O,X,X,X,O,O
IOZJTLS,X,O,X,X,X,X,O,X,O
IOZJTSL,X,O,X,X,X,X,O,X,O
IOZJLTS,X,O,X,X,X,X,O,O,O
IOZJLST,O,O,X,O,X,X,O,O,O
IOZJSTL,X,O,X,X,X,X,O,X,O
IOZJSLT,O,O,X,O,X,X,O,O,O
IOZSTLJ,X,O,X,O,X,X,X,X,O
IOZSTJL,X,X,X,O,X,X,X,X,O
IOZSLTJ,O,O,X,X,X,X,X,O,O
IOZSLJT,O,O,X,O,X,X,X,O,O
IOZSJTL,X,O,X,X,X,X,O,X,O
IOZSJLT,O,O,X,O,X,X,O,O,O
LTIJSZO,O,O,O,X,X,O,X,X,X
LTIJSOZ,X,O,X,O,O,O,X,X,X
LTIJZSO,O,O,O,X,X,O,X,X,X
LTIJZOS,O,O,O,X,X,X,X,X,X
LTIJOSZ,X,O,X,O,O,O,X,X,X
LTIJOZS,X,X,X,O,O,O,X,X,X
LTISJZO,O,O,O,X,X,O,X,X,X
LTISJOZ,X,O,X,O,O,O,X,X,X
LTISZJO,O,O,O,X,X,O,X,X,X
LTISZOJ,O,O,O,O,X,X,X,O,X
LTISOJZ,O,O,O,O,O,O,X,O,X
LTISOZJ,X,X,O,O,X,O,X,O,X
LTIZJSO,O,O,O,X,X,O,X,X,X
LTIZJOS,O,O,O,X,X,X,X,X,X
LTIZSJO,O,O,O,X,X,O,X,X,X
LTIZSOJ,O,O,O,O,X,X,X,O,X
LTIZOJS,X,O,O,O,X,X,X,O,X
LTIZOSJ,O,O,O,O,X,X,X,O,X
LTIOJSZ,O,O,O,O,O,O,X,O,X
LTIOJZS,O,O,O,O,O,O,X,O,X
LTIOSJZ,O,O,O,O,O,O,X,O,X
LTIOSZJ,X,X,O,O,X,O,X,O,X
LTIOZJS,X,X,O,O,X,O,X,O,X
LTIOZSJ,X,X,O,O,X,O,X,O,X
LTJISZO,O,O,O,X,X,O,X,X,X
LTJISOZ,X,O,X,O,O,O,X,X,X
LTJIZSO,O,O,O,X,X,O,X,X,X
LTJIZOS,O,O,O,X,X,X,X,X,X
LTJIOSZ,X,O,X,O,O,O,X,X,X
LTJIOZS,X,X,X,O,O,O,X,X,X
LTJSIZO,O,O,O,X,X,O,X,X,X
LTJSIOZ,X,O,X,O,O,O,X,X,X
LTJSZIO,O,O,O,X,X,O,X,X,X
LTJSZOI,O,O,O,X,O,O,X,X,X
LTJSOIZ,O,O,O,O,O,O,X,X,X
LTJSOZI,O,O,O,O,O,O,X,X,X
LTJZISO,O,O,O,X,X,O,X,X,X
LTJZIOS,O,O,O,X,X,X,X,X,X
LTJZSIO,O,O,O,X,X,O,X,X,X
LTJZSOI,O,O,O,X,O,O,X,X,X
LTJZOIS,O,O,O,X,O,O,X,X,X
LTJZOSI,O,O,O,X,O,O,X,X,X
