sequence,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFxcBXeB?8kB+lBThBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeR7IvhFCdBXeB?ukBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFcgBxcB?XeBThBSqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhF2gBCdB?XeBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeSAJvhFxcBXeB?ThBUgBWqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeG7IvhFxcBXeB?ThBClBUlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhFibBXeB?clBThBFnBGrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFUcBXeB?TgB6rBFsBRvB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFXeB0gB?5mBzpBerBFsB
TLISOJZ,O,O,O,O,O,O,X,O,X
TLISOZJ,X,X,O,O,X,O,X,O,X
TLIZJSO,O,O,O,X,X,O,X,X,X
TLIZJOS,O,O,O,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,O,X,X,X
TLIZSOJ,O,O,O,O,X,X,X,O,X
TLIZOJS,X,O,O,O,X,X,X,O,X
TLIZOSJ,O,O,O,O,X,X,X,O,X
TLIOJSZ,O,O,O,O,O,O,X,O,X
TLIOJZS,O,O,O,O,O,O,X,O,X
TLIOSJZ,O,O,O,O,O,O,X,O,X
TLIOSZJ,X,X,O,O,X,O,X,O,X
TLIOZJS,X,X,O,O,X,O,X,O,X
TLIOZSJ,X,X,O,O,X,O,X,O,X
TLJISZO,O,O,O,X,X,O,X,X,X
TLJISOZ,X,O,X,O,O,O,X,X,X
TLJIZSO,O,O,O,X,X,O,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X,X
TLJIOSZ,X,O,X,O,O,O,X,X,X
TLJIOZS,X,X,X,O,O,O,X,X,X
TLJSIZO,O,O,O,X,X,O,X,X,X
TLJSIOZ,X,O,X,O,O,O,X,X,X
TLJSZIO,O,O,O,X,X,O,X,X,X
TLJSZOI,O,O,O,X,O,O,X,X,X
TLJSOIZ,O,O,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,O,O,X,X,X
TLJZISO,O,O,O,X,X,O,X,X,X
TLJZIOS,O,O,O,X,X,X,X,X,X
TLJZSIO,O,O,O,X,X,O,X,X,X
TLJZSOI,O,O,O,X,O,O,X,X,X
TLJZOIS,O,O,O,X,O,O,X,X,X
TLJZOSI,O,O,O,X,O,O,X,X,X
TLJOISZ,O,O,O,O,O,O,X,X,X
TLJOIZS,O,O,O,O,O,O,X,X,X
TLJOSIZ,O,O,O,O,O,O,X,X,X
TLJOSZI,O,O,O,O,O,O,X,X,X
TLJOZIS,O,O,O,O,O,O,X,X,X
TLJOZSI,O,O,O,O,O,O,X,X,X
TLSIJZO,O,O,O,X,X,O,X,X,X
TLSIJOZ,X,O,X,O,O,O,X,X,X
TLSIZJO,O,O,O,X,X,O,X,X,X
TLSIZOJ,O,O,O,O,X,X,X,O,X
TLSIOJZ,O,O,O,O,O,O,X,O,X
TLSIOZJ,X,X,O,O,X,O,X,O,X
TLSJIZO,O,O,O,X,X,O,X,X,X
TLSJIOZ,X,O,X,O,O,O,X,X,X
TLSJZIO,O,O,O,X,X,O,X,X,X
TLSJZOI,O,O,O,X,O,O,X,X,X
TLSJOIZ,O,O,O,O,O,O,X,X,X
TLSJOZI,O,O,O,O,O,O,X,X,X
TLSZIJO,O,O,O,X,X,O,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,O,X
TLSZJIO,O,O,O,X,X,O,X,X,X
TLSZJOI,O,O,O,X,X,O,X,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,X
TLSZOJI,O,O,O,O,X,O,X,X,X
TLSOIJZ,O,O,O,O,O,O,X,X,X
TLSOIZJ,X,X,O,O,X,O,X,X,X
TLSOJIZ,O,O,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,O,O,X,X,X
TLSOZIJ,X,O,O,O,X,O,X,X,X
TLSOZJI,X,O,O,O,X,O,X,X,X
TLZIJSO,O,O,O,X,X,O,X,X,X
TLZIJOS,O,O,O,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,O,X,X,X
TLZISOJ,O,O,O,O,X,X,X,O,X
TLZIOJS,X,O,O,O,X,X,X,O,X
TLZIOSJ,O,O,O,O,X,X,X,O,X
TLZJISO,O,O,O,X,X,O,X,X,X
TLZJIOS,O,O,O,X,X,X,X,X,X
TLZJSIO,O,O,O,X,X,O,X,X,X
TLZJSOI,O,O,O,X,X,O,X,X,X
TLZJOIS,O,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,X,X,O,X,X,X
TLZSIJO,O,O,O,X,X,O,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,O,X
TLZSJIO,O,O,O,X,X,O,X,X,X
TLZSJOI,O,O,O,X,X,O,X,X,X
TLZSOIJ,O,O,O,O,X,O,X,X,X
TLZSOJI,O,O,O,O,X,O,X,X,X
TLZOIJS,X,O,O,O,X,O,X,X,X
TLZOISJ,O,O,O,O,X,O,X,X,X
TLZOJIS,O,O,O,O,X,O,X,X,X
TLZOJSI,O,O,O,O,X,O,X,X,X
TLZOSIJ,O,O,O,O,X,O,X,X,X
TLZOSJI,O,O,O,O,X,O,X,X,X
TLOIJSZ,O,O,O,O,O,O,X,X,X
TLOIJZS,O,O,O,O,O,O,X,X,X
TLOISJZ,O,O,O,O,O,O,X,X,X
TLOISZJ,X,X,O,O,X,O,X,X,X
TLOIZJS,X,X,O,O,X,O,X,X,X
TLOIZSJ,X,X,O,O,X,O,X,X,X
TLOJISZ,O,O,O,O,O,O,X,X,X
TLOJIZS,O,O,O,O,O,O,X,X,X
TLOJSIZ,O,O,O,O,O,O,X,X,X
TLOJSZI,O,O,O,O,O,O,X,X,X
TLOJZIS,O,O,O,O,O,O,X,X,X
TLOJZSI,O,O,O,O,O,O,X,X,X
TLOSIJZ,O,O,O,O,O,O,X,X,X
TLOSIZJ,X,X,O,O,X,O,X,X,X
TLOSJIZ,O,O,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,O,O,X,X,X
TLOSZIJ,X,O,O,O,X,O,X,X,X
TLOSZJI,X,O,O,O,X,O,X,X,X
TLOZIJS,X,O,O,O,X,O,X,X,X
TLOZISJ,X,O,O,O,X,O,X,X,X
TLOZJIS,X,O,O,O,X,O,X,X,X
TLOZJSI,X,O,O,O,X,O,X,X,X
TLOZSIJ,X,O,O,O,X,O,X,X,X
TLOZSJI,X,O,O,O,X,O,X,X,X
TJILSZO,O,O,O,X,X,O,X,X,X
TJILSOZ,X,O,X,O,O,O,X,X,X
TJILZSO,O,O,O,X,X,O,X,X,X
TJILZOS,O,O,O,X,X,X,X,X,X
TJILOSZ,X,O,X,O,O,O,X,X,X
TJILOZS,X,X,X,O,O,X,X,X,X
TJISLZO,O,O,O,X,X,O,X,X,X
TJISLOZ,X,O,X,O,O,O,X,X,X
TJISZLO,O,O,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,O,X,O,X,X
TJISOLZ,O,O,O,O,O,O,X,X,X
TJISOZL,O,X,X,O,O,X,O,X,X
TJIZLSO,O,O,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,O,X,O,X,X
TJIZOLS,O,O,X,X,O,X,O,X,X
TJIZOSL,O,O,X,X,O,X,O,X,X
TJIOLSZ,O,O,O,O,O,O,X,X,X
TJIOLZS,O,X,O,O,O,O,X,X,X
TJIOSLZ,O,O,O,O,O,O,X,X,X
TJIOSZL,O,X,X,O,O,X,O,X,X
TJIOZLS,O,X,X,O,O,X,O,X,X
TJIOZSL,O,X,X,O,O,X,O,X,X
TJLISZO,O,O,O,X,X,O,X,X,X
TJLISOZ,X,O,X,O,O,O,X,X,X
TJLIZSO,O,O,O,X,X,O,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X,X
TJLIOSZ,X,O,X,O,O,O,X,X,X
TJLIOZS,X,X,X,O,O,O,X,X,X
TJLSIZO,O,O,O,X,X,O,X,X,X
TJLSIOZ,X,O,X,O,O,O,X,X,X
TJLSZIO,O,O,O,X,X,O,X,X,X
TJLSZOI,O,O,O,X,O,O,X,X,X
TJLSOIZ,O,O,O,O,O,O,X,X,X
TJLSOZI,O,O,O,O,O,O,X,X,X
TJLZISO,O,O,O,X,X,O,X,X,X
TJLZIOS,O,O,O,X,X,X,X,X,X
TJLZSIO,O,O,O,X,X,O,X,X,X
TJLZSOI,O,O,O,X,O,O,X,X,X
TJLZOIS,O,O,O,X,O,O,X,X,X
TJLZOSI,O,O,O,X,O,O,X,X,X
TJLOISZ,O,O,O,O,O,O,X,X,X
TJLOIZS,O,O,O,O,O,O,X,X,X
TJLOSIZ,O,O,O,O,O,O,X,X,X
TJLOSZI,O,O,O,O,O,O,X,X,X
TJLOZIS,O,O,O,O,O,O,X,X,X
TJLOZSI,O,O,O,O,O,O,X,X,X
TJSILZO,O,O,O,X,X,O,X,X,X
TJSILOZ,X,O,X,O,O,O,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,O,X,O,X,X
TJSIOLZ,O,O,O,O,O,O,X,X,X
TJSIOZL,O,X,X,O,O,X,O,X,X
TJSLIZO,O,O,O,X,X,O,X,X,X
TJSLIOZ,X,O,X,O,O,O,X,X,X
TJSLZIO,O,O,O,X,X,O,X,X,X
TJSLZOI,O,O,O,X,O,O,X,X,X
TJSLOIZ,O,O,O,O,O,O,X,X,X
TJSLOZI,O,O,O,O,O,O,X,X,X
TJSZILO,O,O,X,X,X,X,X,X,X
TJSZIOL,O,O,X,X,O,X,O,X,X
TJSZLIO,O,O,X,X,X,X,X,X,X
TJSZLOI,O,O,X,X,O,X,X,X,X
TJSZOIL,O,O,X,X,O,X,O,X,X
TJSZOLI,O,O,X,X,O,X,O,X,X
TJSOILZ,O,O,O,O,O,O,X,X,X
TJSOIZL,O,O,X,O,O,X,O,X,X
TJSOLIZ,O,O,O,O,O,O,X,X,X
TJSOLZI,O,O,O,O,O,O,X,X,X
TJSOZIL,O,O,X,O,O,X,O,X,X
TJSOZLI,O,O,X,O,O,X,O,X,X
TJZILSO,O,O,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,X,X
TJZISOL,O,O,X,X,O,X,O,X,X
TJZIOLS,O,O,X,X,O,X,O,X,X
TJZIOSL,O,O,X,X,O,X,O,X,X
TJZLISO,O,O,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,X,X,X,X,X
TJZLSIO,O,O,X,X,X,X,X,X,X
TJZLSOI,O,O,X,X,O,X,X,X,X
TJZLOIS,O,O,X,X,O,X,X,X,X
TJZLOSI,O,O,X,X,O,X,X,X,X
TJZSILO,O,O,X,X,X,X,X,X,X
TJZSIOL,O,O,X,X,O,X,O,X,X
TJZSLIO,O,O,X,X,X,X,X,X,X
TJZSLOI,O,O,X,X,O,X,X,X,X
TJZSOIL,O,O,X,X,O,X,O,X,X
TJZSOLI,O,O,X,X,O,X,O,X,X
TJZOILS,O,O,X,X,O,X,O,X,X
TJZOISL,O,O,X,X,O,X,O,X,X
TJZOLIS,O,O,X,X,O,X,O,X,X
TJZOLSI,O,O,X,X,O,X,O,X,X
TJZOSIL,O,O,X,X,O,X,O,X,X
TJZOSLI,O,O,X,X,O,X,O,X,X
TJOILSZ,O,O,O,O,O,O,X,X,X
TJOILZS,O,O,O,O,O,O,X,X,X
TJOISLZ,O,O,O,O,O,O,X,X,X
TJOISZL,O,O,X,O,O,X,O,X,X
TJOIZLS,O,O,X,O,O,X,O,X,X
TJOIZSL,O,O,X,O,O,X,O,X,X
TJOLISZ,O,O,O,O,O,O,X,X,X
TJOLIZS,O,O,O,O,O,O,X,X,X
TJOLSIZ,O,O,O,O,O,O,X,X,X
TJOLSZI,O,O,O,O,O,O,X,X,X
TJOLZIS,O,O,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,O,O,X,X,X
TJOSILZ,O,O,O,O,O,O,X,X,X
TJOSIZL,O,O,X,O,O,X,O,X,X
TJOSLIZ,O,O,O,O,O,O,X,X,X
TJOSLZI,O,O,O,O,O,O,X,X,X
TJOSZIL,O,O,X,O,O,X,O,X,X
TJOSZLI,O,O,X,O,O,X,O,X,X
TJOZILS,O,O,X,O,O,X,O,X,X
TJOZISL,O,O,X,O,O,X,O,X,X
TJOZLIS,O,O,X,O,O,X,O,X,X
TJOZLSI,O,O,X,O,O,X,O,X,X
TJOZSIL,O,O,X,O,O,X,O,X,X
TJOZSLI,O,O,X,O,O,X,O,X,X
TSILJZO,O,O,O,X,X,O,X,X,X
TSILJOZ,X,O,X,O,O,O,X,X,X
TSILZJO,O,O,O,X,X,O,X,X,X
TSILZOJ,O,O,O,O,X,X,X,O,X
TSILOJZ,O,O,O,O,O,O,X,O,X
TSILOZJ,X,X,O,O,X,O,X,O,X
TSIJLZO,O,O,O,X,X,O,X,X,X
TSIJLOZ,X,O,X,O,O,O,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X
TSIJZOL,O,O,X,X,O,X,O,X,X
TSIJOLZ,O,O,O,O,O,O,X,O,X
TSIJOZL,O,X,X,O,O,X,O,X,X
TSIZLJO,O,O,O,X,X,O,X,X,X
TSIZLOJ,O,O,O,O,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X,X
TSIZJOL,O,O,X,X,O,X,O,X,X
TSIZOLJ,O,O,O,O,X,O,X,X,X
TSIZOJL,O,O,X,O,O,X,X,X,X
TSIOLJZ,O,O,O,O,O,O,X,O,X
TSIOLZJ,X,X,O,O,X,O,X,O,X
TSIOJLZ,O,O,O,O,O,O,X,O,X
TSIOJZL,O,O,X,O,O,X,X,X,X
TSIOZLJ,O,O,O,O,X,O,X,X,O
TSIOZJL,O,O,X,O,O,X,X,X,O
TSLIJZO,O,O,O,X,X,O,X,X,X
TSLIJOZ,X,O,X,O,O,O,X,X,X
TSLIZJO,O,O,O,X,X,O,X,X,X
TSLIZOJ,O,O,O,O,X,X,X,O,X
TSLIOJZ,O,O,O,O,O,O,X,O,X
TSLIOZJ,X,X,O,O,X,O,X,O,X
TSLJIZO,O,O,O,X,X,O,X,X,X
TSLJIOZ,X,O,X,O,O,O,X,X,X
TSLJZIO,O,O,O,X,X,O,X,X,X
TSLJZOI,O,O,O,X,O,O,X,X,X
TSLJOIZ,O,O,O,O,O,O,X,X,X
TSLJOZI,O,O,O,O,O,O,X,X,X
TSLZIJO,O,O,O,X,X,O,X,X,X
TSLZIOJ,O,O,O,O,X,X,X,O,X
TSLZJIO,O,O,O,X,X,O,X,X,X
TSLZJOI,O,O,O,X,X,O,X,X,X
TSLZOIJ,O,O,O,O,X,O,X,X,X
TSLZOJI,O,O,O,O,X,O,X,X,X
TSLOIJZ,O,O,O,O,O,O,X,X,X
TSLOIZJ,X,X,O,O,X,O,X,X,X
TSLOJIZ,O,O,O,O,O,O,X,X,X
TSLOJZI,O,O,O,O,O,O,X,X,X
TSLOZIJ,X,O,O,O,X,O,X,X,X
TSLOZJI,X,O,O,O,X,O,X,X,X
