sequence,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFCdBTfB2lB8mB3q?BdrB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgB8gB5hBOiBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jem6IvhFCdBTfB9lBZmB8m?B3qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgBxcBtlBmhBcr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXcBOiBTfBCrBNq?BcrB,v115@7gB8GeC8GeF8CeF8CeE8Jei6IvhFWhBxcB3fB8mBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhFxcB8lBzhBXrBOq?BCqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBigB0hB+q?BNrB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBCrBOqBdr?B0rB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBZmBzhBGlBCn?BUqB,v115@7gB8GeC8GeF8CeF8CeE8JeT6IvhF0bBXdBykBZmBtm?B+qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFxcB9lBmhBTmBfq?B0qB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBCdBZmB8mBzf?B+qB
TISOZJL,X,X,O,X,X,X,O,X,X,O,X,X,X
TIZLJSO,X,O,X,O,X,O,X,X,X,X,X,X,O
TIZLJOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TIZLSJO,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZLSOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZLOJS,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZJLSO,X,O,X,O,X,O,X,X,X,X,X,X,O
TIZJLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TIZJSLO,X,O,X,O,X,O,X,X,X,X,X,X,O
TIZJSOL,X,X,X,X,X,O,X,X,X,O,X,X,O
TIZJOLS,X,O,O,O,X,O,X,X,X,X,X,X,O
TIZJOSL,X,X,O,X,X,O,X,X,X,O,X,X,O
TIZSLJO,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZSJLO,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZSOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZOLJS,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZOJLS,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZOSLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZOSJL,X,X,O,X,X,O,O,X,X,O,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,O,X,O,X
TIOLJZS,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOLSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,O,X,O,X
TIOJLZS,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,O,X,O,X
TIOJSZL,X,X,O,X,X,X,O,X,X,O,X,X,X
TIOJZLS,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOJZSL,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,O,X,X,X,O,X,X,O,X,X,X
TIOSZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,O,X,X,O,X,X,X
TIOZLJS,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,O,X,X,O,X,X,X
TLIJSZO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X,O,O,X,X,X
TLIJZSO,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,O,X,X,X,O,O,X,X,X
TLIJOZS,X,O,X,X,O,X,X,X,O,X,X,X,X
TLISJZO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISZOJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X,O,O,X,X,X
TLISOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIZJSO,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,O,O,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,O,X,X,X,O,O,X,O,X
TLIOJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
TLIOSJZ,X,O,X,X,O,X,X,X,O,O,X,X,X
TLIOSZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
TLIOZJS,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,X,O,X,X,X,X,X,X,X,O
TLJISOZ,X,O,X,X,X,X,X,X,O,O,X,X,X
TLJIZSO,X,O,X,O,O,X,X,X,X,X,X,X,O
TLJIZOS,X,O,X,O,O,X,X,X,X,X,X,X,O
TLJIOSZ,X,O,X,X,O,X,X,X,O,O,X,X,X
TLJIOZS,X,O,X,X,O,X,X,X,O,X,X,X,X
TLJSIZO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJSZIO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,O,X,X,X,O,X,O,X,X
TLJSOIZ,X,O,X,X,O,X,X,O,O,X,X,X,X
TLJSOZI,X,O,X,X,O,X,X,O,O,X,O,X,X
TLJZISO,X,O,X,O,O,X,X,X,X,X,X,X,O
TLJZIOS,X,O,X,O,O,X,X,X,X,X,X,X,O
TLJZSIO,X,O,X,O,O,X,X,X,X,X,X,X,O
TLJZSOI,X,O,X,O,O,X,X,X,O,X,O,X,X
TLJZOIS,X,O,X,O,O,X,X,X,O,X,X,X,O
TLJZOSI,X,O,X,O,O,X,X,X,O,X,O,X,X
TLJOISZ,X,O,X,X,O,X,X,O,O,O,X,O,X
TLJOIZS,X,O,X,X,O,X,X,X,O,X,X,O,X
TLJOSIZ,X,O,X,X,O,X,X,O,O,X,X,O,X
TLJOSZI,X,O,X,X,O,X,X,O,O,X,O,O,X
TLJOZIS,X,O,X,X,O,X,X,X,O,X,X,O,X
TLJOZSI,X,O,X,X,O,X,X,X,O,X,O,O,X
TLSIJZO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIZJO,X,O,X,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,O,O,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSJIZO,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,X,O,X,X,O,O,X,X,X,X,X,X,X
TLSJZOI,X,O,X,X,O,O,X,X,O,X,O,X,X
TLSJOIZ,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSJOZI,X,O,X,X,O,X,X,X,O,X,O,X,X
TLSZIJO,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,O,O,X,X,X,X,X,X,X
TLSZJIO,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSZJOI,X,O,X,O,O,O,O,X,O,X,X,X,X
TLSZOIJ,X,O,X,X,O,O,O,X,X,X,O,X,X
TLSZOJI,X,O,X,O,O,O,O,X,O,X,O,X,X
TLSOIJZ,X,O,X,X,O,X,X,O,O,X,X,X,X
TLSOIZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,O,X,X,O,O,X,X,O,X
TLSOJZI,X,O,X,X,O,X,X,O,O,X,O,O,X
TLSOZIJ,X,O,X,X,O,O,O,X,X,X,O,X,X
TLSOZJI,X,O,X,X,O,O,O,X,O,X,O,X,X
TLZIJSO,X,O,X,O,O,O,X,X,X,X,X,X,O
TLZIJOS,X,O,O,O,O,X,X,X,X,X,X,X,O
TLZISJO,X,O,X,O,O,O,X,X,X,X,X,X,X
TLZISOJ,X,O,O,X,O,O,X,X,X,X,X,X,X
TLZIOJS,X,O,O,X,O,O,X,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,O,O,X,X,X,X,X,X,X
TLZJISO,X,O,X,O,O,O,X,X,X,X,X,X,O
TLZJIOS,X,O,O,O,O,X,X,X,X,X,X,X,O
TLZJSIO,X,O,X,O,O,O,X,X,X,X,X,X,O
TLZJSOI,X,O,X,O,O,O,X,X,O,X,O,X,X
TLZJOIS,X,O,O,O,O,X,X,X,O,X,X,X,O
TLZJOSI,X,O,O,O,O,X,X,X,O,X,O,X,X
TLZSIJO,X,O,X,O,O,O,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,X,O,O,X,X,X,X,X,X,X
TLZSJIO,X,O,X,O,O,O,X,X,X,X,X,X,O
TLZSJOI,X,O,X,O,O,O,X,X,O,X,X,X,X
TLZSOIJ,X,O,O,X,O,O,X,X,X,X,O,X,X
TLZSOJI,X,O,O,O,O,O,X,X,O,X,O,X,X
TLZOIJS,X,O,O,X,O,O,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,O,O,X,X,X,X,X,X,X
TLZOJIS,X,O,O,O,O,O,X,X,O,X,X,O,O
TLZOJSI,X,O,O,O,O,O,X,X,O,X,O,O,X
TLZOSIJ,X,O,O,X,O,O,X,X,X,X,O,X,X
TLZOSJI,X,O,O,O,O,O,X,X,O,X,O,X,X
TLOIJSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
TLOIJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
TLOISJZ,X,O,X,X,O,X,X,O,O,O,X,X,X
TLOISZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
TLOIZJS,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,O,X,X,O,O,O,X,O,X
TLOJIZS,X,O,O,X,O,X,X,X,O,X,X,O,X
TLOJSIZ,X,O,X,X,O,X,X,O,O,X,X,O,X
TLOJSZI,X,O,X,X,O,X,X,O,O,X,O,O,X
TLOJZIS,X,O,O,X,O,X,X,X,O,X,X,O,X
TLOJZSI,X,O,O,X,O,X,X,X,O,X,O,O,X
TLOSIJZ,X,O,X,X,O,X,X,O,O,X,X,X,X
TLOSIZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,O,X,X,O,O,X,X,O,X
TLOSJZI,X,O,X,X,O,X,X,O,O,X,O,O,X
TLOSZIJ,X,O,X,X,O,X,O,X,X,X,O,X,X
TLOSZJI,X,O,X,X,O,X,O,X,O,X,O,X,X
TLOZIJS,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOZISJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,O,O,X,O,X,X,X,O,X,X,O,X
TLOZJSI,X,O,O,X,O,X,X,X,O,X,O,O,X
TLOZSIJ,X,O,O,X,O,X,X,X,X,X,O,X,X
TLOZSJI,X,O,O,X,O,X,X,X,O,X,O,X,X
TJILSZO,X,O,X,X,X,X,X,X,X,X,X,X,O
TJILSOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
TJILZSO,X,O,X,O,X,X,X,X,X,X,X,X,O
TJILZOS,X,O,X,O,X,X,X,X,X,X,X,X,O
TJILOSZ,X,O,X,X,X,X,X,O,X,O,X,X,X
TJILOZS,X,O,X,X,X,X,X,O,X,X,X,X,X
TJISLZO,X,O,X,X,X,X,X,X,X,X,X,X,O
TJISLOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
TJISZLO,X,O,X,X,X,X,X,X,X,X,X,X,O
TJISZOL,X,X,X,X,X,X,X,X,X,O,X,X,O
TJISOLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
TJISOZL,X,X,X,X,X,X,O,O,X,O,X,X,O
TJIZLSO,X,O,X,O,X,X,X,X,X,X,X,X,O
TJIZLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TJIZSLO,X,O,X,O,X,X,X,X,X,X,X,X,O
TJIZSOL,X,X,X,X,X,X,X,X,X,O,X,X,O
TJIZOLS,X,O,O,O,X,X,X,X,X,X,X,X,O
TJIZOSL,X,X,O,X,X,X,X,X,X,O,X,X,O
TJIOLSZ,X,O,X,X,X,X,X,O,X,O,X,X,X
TJIOLZS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
TJIOSZL,X,X,O,X,X,X,O,O,X,O,X,X,O
TJIOZLS,X,O,O,X,X,X,X,O,X,X,X,X,O
TJIOZSL,X,X,O,X,X,X,X,O,X,O,X,X,O
TJLISZO,X,O,X,X,O,X,X,X,X,X,X,X,O
TJLISOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
TJLIZSO,X,O,X,O,O,X,X,X,X,X,X,X,O
TJLIZOS,X,O,X,O,O,X,X,X,X,X,X,X,O
TJLIOSZ,X,O,X,X,O,X,X,O,X,O,X,X,X
TJLIOZS,X,O,X,X,O,X,X,O,X,X,X,X,X
TJLSIZO,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLSIOZ,X,O,X,X,X,X,X,O,X,X,X,X,X
TJLSZIO,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLSZOI,X,O,X,X,O,X,X,O,X,X,O,X,X
TJLSOIZ,X,O,X,X,O,X,X,O,X,X,X,X,X
TJLSOZI,X,O,X,X,O,X,X,O,X,X,O,X,X
TJLZISO,X,O,X,O,O,X,X,X,X,X,X,X,O
TJLZIOS,X,O,X,O,O,X,X,X,X,X,X,X,O
TJLZSIO,X,O,X,O,O,X,X,X,X,X,X,X,O
TJLZSOI,X,O,X,O,O,X,X,O,X,X,O,X,X
TJLZOIS,X,O,X,O,O,X,X,O,X,X,X,X,O
TJLZOSI,X,O,X,O,O,X,X,O,X,X,O,X,X
TJLOISZ,X,O,X,X,O,X,X,O,X,O,X,O,X
TJLOIZS,X,O,X,X,O,X,X,O,X,X,X,O,X
TJLOSIZ,X,O,X,X,O,X,X,O,X,X,X,O,X
TJLOSZI,X,O,X,X,O,X,X,O,X,X,O,O,X
TJLOZIS,X,O,X,X,O,X,X,O,X,X,X,O,X
TJLOZSI,X,O,X,X,O,X,X,O,X,X,O,O,X
TJSILZO,X,O,X,X,X,X,X,X,X,X,X,X,O
TJSILOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
TJSIZLO,X,O,X,X,X,X,X,X,X,X,X,X,O
TJSIZOL,X,X,X,X,X,X,X,X,X,O,X,X,O
TJSIOLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
TJSIOZL,X,X,X,X,X,X,O,O,X,O,X,X,O
TJSLIZO,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,O,X,X,X,X,X,O,X,X,X,X,X
TJSLZIO,X,O,X,X,X,O,X,X,X,X,X,X,X
TJSLZOI,X,O,X,X,X,O,X,O,X,X,O,X,X
TJSLOIZ,X,O,X,X,X,X,X,O,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,O,X,X,O,X,X
TJSZILO,X,O,X,X,X,O,X,X,X,X,X,X,O
TJSZIOL,X,X,X,X,X,O,O,X,X,X,X,X,O
TJSZLIO,X,O,X,X,X,O,X,X,X,X,X,X,O
TJSZLOI,X,O,X,X,X,O,O,O,X,X,O,X,X
TJSZOIL,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSZOLI,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,O,X,O,X,X,X
TJSOIZL,X,X,X,X,X,X,O,O,X,O,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,O,O,X,X,X,X,X
TJZILSO,X,O,X,O,X,O,X,X,X,X,X,X,O
TJZILOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TJZISLO,X,O,X,O,X,O,X,X,X,X,X,X,O
TJZISOL,X,X,X,X,X,O,X,X,X,O,X,X,O
TJZIOLS,X,O,O,O,X,O,X,X,X,X,X,X,O
TJZIOSL,X,X,O,X,X,O,X,X,X,O,X,X,O
TJZLISO,X,O,X,O,X,O,X,X,X,X,X,X,O
TJZLIOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TJZLSIO,X,O,X,O,X,O,X,X,X,X,X,X,O
TJZLSOI,X,O,X,O,X,O,X,O,X,X,O,X,X
TJZLOIS,X,O,O,O,X,X,X,O,X,X,X,X,O
TJZLOSI,O,O,O,O,X,X,X,O,X,X,O,X,X
TJZSILO,X,O,X,O,X,O,X,X,X,X,X,X,O
TJZSIOL,X,X,X,X,X,O,X,X,X,X,X,X,O
TJZSLIO,X,O,X,O,X,O,X,X,X,X,X,X,O
TJZSLOI,X,O,X,O,X,O,X,O,X,X,O,X,X
TJZSOIL,X,X,X,X,X,O,X,O,X,X,X,X,X
TJZSOLI,X,X,X,X,X,O,X,O,X,X,X,X,X
TJZOILS,X,O,O,O,X,O,X,O,X,X,X,X,O
TJZOISL,O,X,O,X,X,O,X,O,X,O,X,X,O
TJZOLIS,X,O,O,O,X,O,X,O,X,X,X,X,O
TJZOLSI,O,O,O,O,X,O,X,O,X,X,X,X,X
TJZOSIL,O,X,O,X,X,O,X,O,X,X,X,X,X
TJZOSLI,O,X,O,X,X,O,X,O,X,X,X,X,X
TJOILSZ,X,O,X,X,O,X,X,O,X,O,X,O,X
TJOILZS,X,O,O,X,O,X,X,O,X,X,X,O,X
TJOISLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
TJOISZL,X,X,O,X,X,X,O,O,X,O,X,X,O
TJOIZLS,X,O,O,X,X,X,X,O,X,X,X,O,O
TJOIZSL,O,X,O,X,X,X,X,O,X,O,X,X,O
TJOLISZ,X,O,X,X,O,X,X,O,X,O,X,O,X
TJOLIZS,X,O,O,X,O,X,X,O,X,X,X,O,X
TJOLSIZ,X,O,X,X,O,X,X,O,X,X,X,O,X
TJOLSZI,X,O,X,X,O,X,X,O,X,X,X,O,X
TJOLZIS,X,O,O,X,O,X,X,O,X,X,X,O,X
TJOLZSI,X,O,O,X,O,X,X,O,X,X,X,O,X
TJOSILZ,X,X,X,X,X,X,X,O,X,O,X,O,X
TJOSIZL,X,X,O,X,X,X,O,O,X,O,X,X,X
TJOSLIZ,X,X,X,X,X,X,X,O,X,X,X,O,X
TJOSLZI,X,X,X,X,X,X,X,O,X,X,X,O,X
TJOSZIL,X,X,O,X,X,X,O,O,X,X,X,X,X
TJOSZLI,X,X,O,X,X,X,O,O,X,X,X,X,X
TJOZILS,X,O,O,X,X,X,X,O,X,X,X,O,O
TJOZISL,O,X,O,X,X,X,X,O,X,O,X,X,O
TJOZLIS,X,O,O,X,X,X,X,O,X,X,X,O,O
TJOZLSI,O,O,O,X,X,X,X,O,X,X,X,O,X
TJOZSIL,O,X,O,X,X,X,X,O,X,X,X,X,X
TJOZSLI,O,X,O,X,X,X,X,O,X,X,X,X,X
TSILJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
TSILJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,X,O,X,X,X,O,X,X,X,X,X,X,X
TSILZOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TSILOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TSIJLZO,X,O,X,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TSIJZLO,X,O,X,X,X,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIJOZL,X,X,X,X,X,X,O,X,X,O,X,X,X
